"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
9.945130403,10.95652653,13.0333562,12.0172091,9.613500169,12.39679256,9.07136707,13.57733931,12.77970982,14.12779715,13.88761778,10.41408888,13.59240414,13.92104277,13.25634943,12.8724848,11.82560193,13.8934885,12.51767306,12.21825555,11.79572576,15.00628446,13.63659025,11.20756062,12.17704351,10.26329425,12.64144547,13.79309484,9.524281972,14.51834098,14.42473529,11.96165558,11.86505269,11.31036433,10.22049521,10.10504793,12.40598842,12.03499973,11.3543204,11.63737223,10.37362447,10.00945827,6.560935355,7.194238982,10.26202781,9.345011088,12.29895899,8.942941581,11.92340924,13.33632861,7.51686733,10.02561481,11.82883618,9.714856826,10.77865044,10.67001189,9.069418616,8.339506791,9.159083466,3.526237308,11.76266777,8.902897085,7.241652282,12.54513731,12.08962134,6.274309934,9.602808082,10.45985541,4.972843315,8.243945543,7.091708307,11.74764507,10.8111336,8.664310887,7.497510282,8.885908909,3.750226658,10.43439268,12.1163646,11.89835988,10.44354733,11.17670878,12.30090891,12.50664918,11.91269381,10.73003751,12.20977876,10.30409165,9.869343793,14.4013465,13.64063728,11.09615246,10.82725555,10.40480023,9.330072986,9.978019458,14.17091635,5.649066493,12.65393939,12.42153982,14.50964983,14.1463925,12.26592466,13.36196944,14.17400742,9.255132427,12.40770661,14.96787125,11.15490449,14.20254806,11.65060536,11.78741455,11.3710077,11.22789239,15.00547663,11.13819039,10.83095417,10.67216734,14.01344969,13.61456312,9.928162694,11.09099336,11.39804848,10.6499417,14.45972024,11.45430162,10.38389018,12.15449666,10.81771584,10.99083952,7.830843687,13.58675543,9.866016745,4.415951588,9.573514681,14.2074415,13.26828225,6.569568654,11.47631109,13.19199201,12.6518938,14.09000588,10.76293113,12.90036692,5.535410948,8.586637968,10.30526811,6.952913645,10.9393977,9.855538892,5.803418381,9.066372431,11.02763391,11.76887468,7.998125854,9.424560562,9.568872937,10.63054012,10.00925885,9.576037352,11.89954537,12.79682377,9.697714345,9.679399234,11.44043426,11.89600665,12.6101883,10.04630104,9.841864469,12.77808868,8.970613706,11.94588678,9.703549917,7.280505293,12.27048217,12.70536566,12.29027353,12.34751005,11.26180422,10.89572203,9.054272711,12.38522633,11.56903123,11.27771755,10.85049231,9.185148517,11.7504175,9.149525114,10.47090603,9.685599584,9.60643448,10.20638736,9.348362298,9.252087258,9.761168817,11.07554187,10.81551228,11.896968,9.369977072,6.832917492,10.67284821,10.32623875,8.970996353,9.312492419,10.37976155,11.83020245,9.124503238,0
10.07714602,11.57255878,12.51858526,11.24094534,9.713822207,13.84352044,9.873315641,13.2307073,12.27423317,14.19883132,14.17864274,10.56239365,13.81453012,14.03443394,13.64957858,12.72533865,12.60741714,13.95239087,13.15746841,11.19371527,12.59735694,14.92027782,13.38687548,12.12528129,13.01073873,10.48015821,13.06672597,14.06230551,11.2430766,14.21359082,14.09684016,11.29991727,11.00333507,9.504985063,10.36261052,10.26104268,11.25232127,12.78829152,12.41551073,11.12157868,10.59860329,10.06640658,6.055001466,7.633039125,8.76970706,9.568004097,12.98867929,9.263578024,11.7401079,12.71041018,6.450905072,9.649139377,13.08893594,10.89569391,11.80489824,10.83560629,11.47466438,8.344198401,9.231101842,7.152917093,10.95412444,9.395368681,7.217152264,13.07134678,11.46445502,5.943283471,10.29040679,10.86736001,3.253916554,8.587404443,7.996400616,12.06571833,10.76219746,9.079952985,3.12803541,9.832305714,3.49902399,10.2706141,12.26765458,12.09899028,11.02696331,10.79253687,11.68911725,12.28543545,13.09363579,11.43611803,12.73257325,10.31729554,10.22075161,13.21593215,12.43306682,10.31863374,10.38052334,10.78501521,9.184072166,10.59142083,14.30709383,5.566591941,11.14784462,12.71463863,14.15116903,14.27145876,11.76881889,10.47098821,13.45522079,8.620995294,11.70464953,14.89934929,10.40566966,14.32425386,10.87840508,11.62003029,10.71906587,11.56336104,14.87799135,10.18333616,10.70662338,10.9127028,14.31474384,13.54829428,10.26313629,11.84751586,11.99374338,10.42882748,14.12205603,12.31131835,10.39297318,11.52342067,11.53248265,9.756329756,6.324264159,11.8736449,9.866223426,3.564987747,10.08907618,14.28678863,13.85499512,4.627608817,11.85108666,12.97270525,11.33528341,13.91082554,10.02820745,11.86132479,7.708236483,9.807545375,10.74912545,6.319882427,10.3690145,9.640726534,6.820681291,8.117459796,10.72044499,10.82504421,8.411224136,8.979852666,9.487016789,11.45415975,9.963767243,9.751796492,12.52873053,13.26320109,9.721248354,10.11305399,13.19063832,12.01376198,13.30589607,10.05994522,9.912598286,11.65517119,9.274193123,11.25725429,10.14039095,7.665602329,11.97563255,12.1470918,12.21749646,12.19402917,11.03239441,11.1422815,9.762996228,12.6814041,11.72724423,10.95361196,10.1938064,8.594903851,11.17965079,8.77303534,10.80060154,9.457001845,10.22345911,10.29735904,9.380899506,9.791111754,9.323091677,11.74582717,11.56925997,11.87162641,9.267932084,7.974390546,9.570832874,10.82429892,9.341257649,9.164942371,9.491149024,10.94485121,9.441557323,0
9.664625457,11.28485149,12.60495166,13.19787368,9.229634008,13.28955593,9.118227102,13.32687165,13.77345404,14.04811441,14.31085228,11.17423457,13.45293146,13.83051281,13.27677427,13.43286523,13.1882969,14.03400197,12.66132049,12.61075735,11.57312499,14.85130562,14.39964658,11.30755075,13.42130603,10.14647829,13.13141902,13.86038853,10.45204386,14.83934427,14.35788865,12.73207903,13.17481357,11.05908626,10.00351708,10.61771003,12.3124649,11.42891232,10.83410108,11.63765107,11.56774049,10.11504603,6.571779576,7.416580982,11.14700215,9.288742219,13.95666019,9.138382537,12.0843229,13.41080262,7.310740037,9.811644437,11.99537977,10.25852196,11.04687598,11.39868576,10.42400914,8.164969948,9.280578475,4.964821677,12.04424164,9.198815767,7.388704995,12.56171247,12.16963002,7.812648249,9.421375177,10.53314429,5.352513013,8.924469341,4.995927316,12.17088571,11.78630998,8.141221619,4.589759014,9.343710723,3.884950306,10.12465484,12.24657658,11.85066603,10.47101395,10.83767831,11.79173799,12.58528368,13.04067351,9.879443654,10.64259263,10.22662853,10.25207247,13.57826521,12.64551063,10.38272994,10.90958978,11.18760367,9.590504706,10.1493796,13.95467358,6.230658862,12.90386712,12.71111103,14.80926754,14.4042717,13.0344153,11.15142678,13.96740139,9.302190666,12.27222033,14.80152424,11.57746219,14.39449318,11.32846732,11.33096422,11.19786471,10.79402927,14.8925415,11.4956633,11.71508394,10.563268,14.30161744,13.5318312,10.02823839,11.11293859,11.80269962,10.88219153,14.76892974,11.29203316,10.18949746,10.58374982,11.34291806,10.7317864,6.446530802,12.40152052,10.01073958,3.827949107,10.07993668,14.45658808,13.74571844,6.840120265,11.50437948,13.09040386,12.80661874,13.76714109,10.61172772,11.88079604,7.898311435,8.526920471,11.28403721,6.139045039,11.28348068,9.471246208,6.741213384,8.802993419,11.13419941,12.55616593,8.035812413,10.1942815,8.709210714,10.09835195,10.61615266,9.338139322,12.2922207,12.85292062,9.950465106,10.09770004,12.46337358,11.76004008,12.8229054,9.334470935,9.472601882,12.8481478,8.606864843,11.61108265,9.554197383,7.692980467,12.84985555,12.48129428,13.0035024,12.02554753,10.08743959,10.11378391,8.622050281,12.3166386,11.2061646,10.58960361,10.99492882,8.591604266,11.99794051,9.524981267,11.60954701,9.03304818,8.641447561,10.23272891,8.740309139,9.89969097,9.68429647,9.389903183,8.764983885,11.28913183,9.630332634,9.314019119,9.805901666,10.08666268,9.521424074,9.555026223,9.980882035,11.69712653,9.31111469,0
9.680232913,10.80223699,13.41902024,13.39980461,10.4170834,13.23830345,8.429788933,13.01744703,12.93052361,12.80672686,13.91592925,10.24181419,12.87006548,13.26130746,13.94942511,13.1690968,12.37220957,13.96989222,9.770282596,11.85592749,10.84787164,14.74505317,14.04563168,9.002794362,11.60234548,9.518317848,12.44871615,13.43519526,9.574113724,14.65744817,13.01265044,12.72768134,13.40245711,10.29656323,8.19781246,11.33282833,13.10509796,10.51532753,9.572910634,10.24317795,10.76849586,9.28755676,6.844704147,7.633871527,10.1359301,9.633327772,12.62662949,8.371268994,12.01955482,13.01807639,8.430754305,10.19012752,8.854911675,10.87686587,9.446031293,9.891322009,10.14747665,8.787991718,9.981126999,4.574834397,11.55778584,10.56856703,7.812538474,11.14932892,11.47367487,5.229182136,8.801479471,10.2195406,3.531216242,7.464347066,9.369950026,11.72448208,10.47204418,7.555176366,9.085297891,9.074792,3.423341142,10.08134727,12.63217818,12.46748592,10.93944798,10.84967937,12.68746536,10.96054093,12.05745173,10.73745664,11.99930137,10.78216784,10.52735745,13.19983566,12.30773174,11.66324874,10.55769576,10.42789503,8.740763675,11.32218608,9.368987694,6.195621031,12.76570004,12.50520962,14.6444117,11.8764724,11.79212268,10.76621858,14.07325137,10.15515024,12.0084272,14.81045591,9.918167409,11.74027152,11.15287193,11.58952757,10.48688687,10.90826092,14.78265482,11.53390815,10.69986609,11.10187843,11.59946538,13.58058855,10.53797703,10.41778913,10.88646368,10.74795564,14.62515521,8.770931311,10.24036857,11.32662149,10.93669316,10.14055108,7.149231925,12.05486163,9.790504654,4.276342565,9.614604837,12.03863138,13.12490132,6.858577416,10.25792751,12.95001672,12.22961777,13.51271981,10.31263339,12.11017086,9.337983267,8.393343807,9.06642868,6.535394912,11.23294107,8.340696072,6.849162314,8.745712535,10.11906796,10.99219899,7.423540379,8.839621258,8.229485378,11.38836774,9.933018056,8.945167253,10.29632547,11.19983285,9.631985595,10.24840335,12.4634373,11.7227774,8.317238187,9.392340623,8.747586978,12.54786592,9.429055602,11.20717743,9.484510074,8.175922404,12.05471112,13.11700561,12.08251719,11.75099365,11.09239343,10.5974183,9.339820404,11.94293157,11.63808493,11.6682854,10.79268157,8.520187404,11.78879015,9.929934685,9.464700233,11.47378981,9.243219741,10.66969746,9.131134688,9.853913436,8.776645327,11.48874809,10.99922531,10.98667258,8.38348155,8.117634351,9.179422235,10.41141463,9.16119343,8.897069386,10.04957152,10.95811569,9.04639347,0
10.16902665,11.0212842,12.90746642,12.75007662,10.08728805,14.04530471,9.087146792,13.48990534,12.71863976,12.5160066,14.17882354,9.893310871,13.66007345,13.58069171,12.62141279,12.77648449,11.76354141,13.62351218,11.99827858,12.67089857,10.09270683,14.8490988,14.00674946,8.338777937,11.88827133,10.20838697,12.46483305,12.84771397,9.740267193,14.23474234,13.01787559,12.79543981,12.70923724,9.85376926,10.08627615,9.2708304,12.37084169,10.32551153,9.477968547,11.65082344,10.89241706,9.96217951,6.379301646,7.975189759,9.583043066,9.812981789,13.08931369,9.155482094,11.77997845,13.17360888,6.587897075,9.783923925,8.279372303,10.38317543,10.60396527,9.97344595,11.72864232,11.15283783,9.74632896,2.802484091,9.639476149,8.709809743,7.695032469,10.32643958,11.78874086,7.792188672,9.132225999,10.58489829,4.181866174,8.660086154,5.020962643,11.57529715,9.425736185,8.201898417,3.740035917,9.06201264,3.684705244,10.78930701,12.47208828,12.2673273,11.21367821,10.82834732,12.01681495,11.84321653,11.60074049,10.92853786,11.99968921,9.727002592,10.01276592,12.88396408,12.20851108,10.56847314,9.468608971,10.28732577,9.841988165,10.81012749,13.22628521,6.213399991,11.69710338,12.41459061,14.15635912,10.49793392,12.57819636,8.5755839,14.18858319,9.719552918,12.75510192,14.83069692,11.80716843,10.25889336,12.02070274,11.66734059,11.13673529,8.882163594,14.76751132,10.77953599,11.39738893,10.19218969,10.53233128,12.94870344,9.897105402,10.61023324,11.12901264,10.97829448,14.13635801,7.8310674,10.84661912,11.49081079,10.58334983,10.0665675,6.505234082,11.398364,10.3680762,4.269786281,9.983406203,10.25325878,13.77283995,7.662109837,9.717886273,13.14627086,12.38141324,13.8954432,12.82734585,11.94603013,8.669823892,9.842893336,10.35761319,6.817760608,11.72560229,9.560595542,7.04437126,8.208371304,11.27758666,11.17865066,8.053542565,9.973651798,9.161976058,11.22514207,10.76348779,8.159368955,9.249455491,10.41094332,9.709645339,9.704051436,13.40728276,11.76073076,7.175178449,9.590990179,9.78946276,13.009203,9.258083993,11.15665496,9.875584811,7.825313575,12.06927454,12.55200147,12.64665533,11.98217918,11.46293706,10.53035061,8.418810982,11.96199724,11.62096277,10.22021825,10.57210074,9.383560748,12.00974866,9.691135989,10.99867695,10.32179294,9.898590496,10.35607139,9.406134661,9.962290235,9.939574506,13.03450128,12.73156236,10.91682355,9.378492505,8.126915615,11.01842075,11.56011355,9.476498909,9.606534933,10.17879865,12.06922035,9.884788845,0
10.02228944,10.85415909,12.76859811,12.88617053,10.19537518,14.02399974,8.834334345,13.2353496,12.51741108,12.91851273,13.92976078,9.672491221,12.98554778,13.25130061,12.68581099,12.83692037,12.36616072,13.9546368,10.4125243,12.09534364,10.32898499,14.88086415,14.24862104,8.95781682,12.76343483,10.59548465,11.46436418,13.03617083,9.959765509,14.28853735,13.28028601,12.57854764,12.85616033,9.403208951,10.49542402,9.795789084,12.62388261,10.58108686,9.684278997,10.84476737,11.13310743,9.087640846,6.084110828,8.227024222,8.916167236,9.880323539,12.40325626,8.995602605,12.52074191,13.12738583,7.820531725,9.04507115,9.640673535,10.45411952,9.863580628,10.754519,12.24116607,9.154268147,9.058788778,2.900383718,11.25954951,8.814893086,7.656818273,10.94398249,11.70848112,7.38398337,9.272865677,10.80278718,1.811299519,7.334262556,6.66006602,11.14952274,10.21857787,8.501957574,6.463784861,8.798299382,3.331133993,10.01689426,12.64226034,12.79380442,11.73567837,10.25750682,12.08956955,11.75521268,12.91420577,11.63826068,12.91165165,9.955539213,9.590074426,13.27671686,12.43901494,10.53321423,10.86624146,10.6751385,9.60453691,10.6077156,12.23008675,4.473800961,12.33604575,12.60491336,14.20040533,14.2300459,12.14775585,8.478413525,14.25987222,9.921060133,11.90436185,14.77077895,11.62395849,14.21147546,10.91458707,10.98772088,11.57480551,8.641233437,14.8342827,11.31128933,11.1769949,10.57761673,14.19264464,13.43480887,9.655002357,10.40425506,11.52710664,11.06722562,14.16073374,8.523151965,10.76761468,10.97085055,11.53016169,9.571203879,7.305329234,11.97819924,9.547417107,4.36959984,9.485427397,14.2431043,13.34815918,5.547226677,9.360704699,13.31658952,12.70724824,13.92574048,11.04568964,11.65913972,8.605262306,8.918676799,9.757146129,6.396199841,11.49741739,9.860123499,6.876916514,8.698774276,11.61474722,11.50682673,7.464368289,10.1839591,9.423250599,9.824520969,9.640623448,8.782724507,9.975249015,11.19457444,9.901844165,10.07116846,13.53511407,12.15756054,8.835278759,9.930154964,7.935986272,12.80461957,9.714633475,10.65406569,9.522236261,8.345758076,11.82443027,12.55730243,11.99920181,11.87802649,10.66104299,10.26270457,9.643416221,12.19911765,11.26500351,10.73353328,11.04691349,9.605091029,11.34680346,9.719874089,9.251824325,9.856235891,9.779470335,10.43648847,9.216448864,9.60846967,10.30858742,10.79697509,10.46332979,11.78397082,10.13225574,7.283074655,10.69611649,10.73283371,9.834172815,9.547388333,10.60458762,11.83838377,9.190334824,0
9.03360136,10.82378806,12.54741468,14.21463647,9.086350682,13.24959185,9.629400913,13.73748812,13.58056517,14.01542122,14.63020064,11.65920222,13.75009534,14.2993505,12.58560516,13.56921191,11.54038985,13.60831128,12.02527426,12.64354956,11.20033178,15.52594134,14.27523979,11.1329857,11.76386719,10.3248039,13.49274863,13.75775203,10.81297061,14.7899992,14.39521171,13.40669269,14.33822499,11.1067409,10.8574976,11.51198538,11.66751873,11.52999643,10.690108,12.16332413,10.55841043,11.14310032,6.547851747,7.439035043,10.1915214,10.4978709,14.28332269,8.847084714,11.25583873,12.93912367,7.374743443,9.60451634,11.42121813,10.23016746,11.2581859,11.40003986,9.728774286,8.986910905,9.831444956,3.548494346,9.988027169,7.965396494,7.200783095,11.77224769,12.44070145,7.604965775,9.824687364,10.64823316,6.111345033,8.240527936,5.034256395,12.45248644,10.75377299,8.249889398,3.53316836,9.130757401,4.059253915,10.71799546,12.30906291,12.44538528,11.07753574,10.95288984,11.6713888,11.88806402,11.69750886,12.37781218,12.88557141,10.08205067,9.88035967,11.96518962,11.54857502,9.985535962,10.86188736,10.85464277,9.405800782,10.39650738,14.25833027,6.869783891,12.25501566,12.06758852,14.79452421,13.95406054,12.42202693,9.857816031,14.28616469,9.445315841,12.50459652,15.49862625,11.89488298,14.01711082,11.67639416,11.87642902,10.11020721,10.19756666,15.55770348,10.88875026,11.05725648,10.359459,13.9394064,13.90293137,9.565973776,11.41704124,11.68800083,9.98790757,14.78285247,11.03153024,10.84976706,9.886350185,10.93004465,10.74594751,4.526029986,11.04143389,9.927052392,5.6577901,9.202428017,13.96088902,13.99222382,7.755770147,11.08467525,13.11654414,12.76739732,14.21195935,10.04703691,11.20942712,7.650481293,9.167812818,10.71916646,4.074468315,10.71580256,9.585359557,6.702205822,8.47436765,11.96721268,11.8839991,7.158831966,10.40977779,10.26918575,9.863638736,10.32187979,8.773394007,10.92181591,12.27449268,9.940538352,9.750677658,12.66793362,12.4523549,9.882308484,9.774027435,11.13086894,13.41488988,9.451986663,11.12120158,9.40963889,7.945795205,12.91907513,12.41883751,11.8374639,11.94994259,10.72363806,11.03691776,9.55954445,11.80616658,11.28850269,9.897465069,10.65501285,9.025768788,11.51409096,9.197926779,10.69185306,9.07526655,9.030091019,10.85344433,9.750949913,9.474156641,9.198588238,10.61979553,10.36819063,11.32310376,9.062034278,7.763254002,8.008751777,10.04318914,9.498513327,9.675314937,10.25148799,11.87877804,9.45725072,0
9.838696331,11.04184272,11.31453954,11.12723836,9.544420842,11.38971215,7.581159275,14.4894342,11.75805409,11.26101095,12.79174617,9.866670468,12.2099038,13.27182142,11.8871463,10.24103244,12.73261615,13.69668791,8.634013484,10.71702882,8.928132132,15.77073459,13.21212739,8.677294315,9.469634966,10.85007317,10.25207747,11.34317652,11.39495339,14.025332,13.96174279,11.00301343,10.58069736,8.816095647,9.686448152,8.854763018,10.93253886,12.22384376,9.885106676,11.15143409,12.59105956,9.796789878,5.826580385,5.583273745,9.451263487,10.06229239,10.41394495,10.41824312,11.82970244,11.73945532,3.87801574,8.241314552,8.746285754,10.82430901,7.844237122,12.62283982,9.654423373,6.754954193,10.09654907,3.697028309,9.784845959,9.134803788,7.044154868,8.193310866,11.47792115,5.390099022,9.161128387,10.28943235,5.518587799,3.581985819,5.266836717,8.800589882,9.447207969,8.506787367,7.715946037,8.422065152,2.925410729,8.214365307,13.61133876,13.36973011,11.4515944,12.09052244,9.608484912,12.01047616,9.30026538,12.40747956,12.85380101,9.996839022,9.114505659,13.61368108,11.34080534,11.44437036,11.32479935,10.62251336,8.778545432,10.37248562,11.09896313,4.706041694,13.23905062,13.17707671,14.05520198,12.06696558,12.63721002,8.564506235,14.31445273,11.59183639,10.10735912,15.77231857,14.0512431,12.15342167,9.372090213,12.19337223,10.56086572,9.721860472,15.72122642,10.65012613,10.1222178,9.546789554,11.61165625,13.45296569,10.13778383,8.988258754,10.42381694,8.395516533,13.94309691,8.5091596,10.32131705,9.660249102,9.847429471,8.590296264,6.795620704,12.38184454,9.492234951,4.938017431,9.270295708,11.91414629,10.00501434,2.630972187,9.508082049,13.66117235,12.19940133,13.64331824,9.478686696,12.51454537,6.560886697,8.405383682,9.38311232,6.711380406,11.94246214,9.219541965,7.066210519,8.739758353,13.89429244,10.57469123,9.304780625,8.660259843,8.739929969,12.13036951,11.26231652,8.247094588,9.346647867,8.341676106,10.15527777,11.1846144,11.03995988,11.7282728,4.444035188,10.38072712,9.03579489,13.54357791,8.170336551,9.590171458,9.57215047,7.290074276,11.03026884,10.67035496,10.43788794,12.53825972,10.42967482,10.15084945,8.691972096,11.51914331,12.7056998,10.32804463,10.57736821,9.370791862,11.45426886,10.46750566,10.91700443,8.808583583,9.285030455,9.250485828,8.704026887,9.179103781,9.494475139,6.809823475,3.068405142,10.63858063,8.111191253,8.993177613,7.886709297,10.44177182,9.314978968,10.90958134,10.22385931,11.8462998,8.377752233,0
9.601337858,11.32973289,12.55007568,11.23908031,9.966172778,13.66206514,8.860205458,13.64457407,12.26325112,14.30267031,13.9383277,10.32746182,12.58198895,13.25442948,12.13564801,12.5681227,11.36395585,14.23754621,11.97114004,11.75246552,11.87758275,14.90764253,13.64973258,11.42711739,11.41933585,10.04755238,11.82063833,14.01515539,10.84348991,13.6120282,14.2079255,10.65375316,10.85153435,10.14924985,8.960107522,9.621863129,11.82529904,12.15513987,11.33505319,10.35109746,10.60320151,9.85556722,5.657746027,6.574168347,9.511841697,9.698018123,12.19055097,8.812117307,12.08719791,11.9173182,6.930776773,9.015797464,12.12612339,9.40925078,10.48047838,11.67480528,11.04882412,8.085269848,8.856086243,3.458241514,10.64406893,9.65057751,8.587317146,12.50409097,10.35691181,6.084183916,9.391582548,10.97920321,5.913430553,7.706499059,6.835850538,10.78157849,8.739103669,8.263252655,7.968426143,8.693235755,4.875918298,10.96227192,10.70838898,10.66682947,8.601989755,10.75252813,10.57883135,11.41521672,11.39405322,10.69743541,12.15209031,9.605334777,9.860416097,11.69644063,11.00958981,9.607795793,11.16179527,10.35984073,9.448476409,11.15215421,11.63157783,3.020413301,11.1026965,12.27746606,13.5826337,14.11145854,12.33149959,9.945589457,13.98031075,10.17693252,10.95033746,14.7185595,12.98524865,14.22462858,10.18912725,11.14882768,11.80021458,9.316006473,14.86870714,10.34194403,11.26959278,11.14248878,13.98247339,13.82592763,9.937501487,10.33496301,11.31051168,10.71348497,13.50340533,11.96194853,10.71909163,10.45083654,10.26450914,8.998041376,4.30525329,10.64507863,9.988564834,4.988435313,9.935635901,14.15352557,12.83510432,6.339448399,11.82542999,13.03589814,11.50084709,13.22543349,11.74423124,11.11796624,8.207934115,10.75921951,10.05113351,7.02821684,11.87325016,9.71478301,5.851677603,8.532260192,12.31522284,10.80527956,8.683474324,9.113473292,9.357750763,11.66966548,10.34560051,9.157110715,12.55557607,13.07906923,10.49407262,11.1879212,13.08309415,12.41855314,10.71483713,10.25881697,8.951232804,11.59141428,8.787733189,9.930477475,9.912457492,7.946204652,11.31842258,12.07254081,11.04474842,11.27490228,11.2875832,10.81252827,9.212003208,11.79491736,12.00692065,9.917203389,11.64710497,9.938477794,11.62067045,10.02363834,10.03645906,9.499802218,9.895983288,10.28410843,9.503875189,9.43359425,9.985291142,10.57005902,10.11527386,11.78162395,10.02810574,9.055764018,10.30786997,11.23567749,9.840051782,9.781791618,9.903574308,9.871768637,10.07403691,0
10.43666309,11.08367379,11.75123674,12.60805677,10.5315293,13.03337719,9.28261707,14.03966773,12.4380552,13.21770718,13.85232128,9.717871449,12.35005331,12.82707123,12.64606498,12.48973677,12.52725828,14.07311539,9.782657881,11.8710436,10.78375128,14.94074124,14.00702811,9.371615993,9.377058204,10.90594603,10.23759989,12.79119208,10.12718505,14.27806584,12.6598763,12.46115298,12.47151512,9.427851824,8.806433808,9.360439459,11.0959808,10.6848074,10.04258355,9.667721398,10.7621973,10.02903512,6.49576901,7.840319023,10.11864772,10.20066602,13.30603782,9.630922742,12.87049057,12.33630956,7.72430764,9.707060347,9.357183389,9.406978439,7.535747648,11.39843902,10.5650617,8.61826009,10.1824671,3.681896478,9.779750537,9.127265768,7.355906104,11.35300325,12.17450006,7.284354977,9.467871751,10.46734854,5.707596775,8.536223811,9.696821136,12.75252259,9.181743766,8.435181505,8.947839691,9.444729869,3.36876874,9.9895536,10.9134471,10.6120803,9.299621783,10.60546571,10.00303555,10.62588914,10.4501557,9.647989054,10.70193685,9.630388768,9.517003355,12.20403018,11.57947797,9.255199174,10.63138961,9.622186628,9.544916609,11.66172876,7.991272319,6.227853642,11.5581976,12.08295789,14.21732409,12.73710157,11.9943348,9.948279729,13.79185036,11.17868987,10.68684211,14.79904973,12.72355469,12.94989286,9.723587106,10.99312471,11.79485317,8.449141882,14.9031314,10.53530506,10.94446167,10.79257976,12.35857435,12.09828395,9.69766227,9.603357337,10.49056757,10.4557753,14.21018483,9.402380186,10.34805444,11.52845903,10.62593849,9.2261176,7.026357168,11.15729316,10.32396368,3.99229539,10.0017074,12.60261373,12.77378026,6.426358854,9.917956733,13.4415442,10.58716188,12.84800614,11.70899049,12.18400388,8.629681852,9.340269954,9.747675096,6.744924964,12.10993476,9.671040626,6.941922067,9.123282553,11.378247,10.66697197,7.478922804,10.32149211,9.581319515,10.18391091,10.22948004,9.011719795,10.78924535,11.83752047,10.73512955,9.441799551,12.49922043,12.27584455,8.998679298,9.386822661,9.019903869,12.80110127,9.553969828,10.25684862,9.995953577,8.179652366,11.27409413,11.33554013,11.11484128,11.07410161,11.19404703,10.63343143,9.276059538,11.27496118,12.034844,9.809893513,11.3174191,10.06525076,11.52799013,10.17815166,9.847453719,12.03719842,9.873753796,10.34646715,9.273339387,9.583129733,10.58909032,12.50796754,12.26366472,10.33682764,9.833516146,9.784511838,10.69715696,11.14402693,9.327075607,9.629421706,10.02430068,10.43094627,9.047033155,0
