"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
669.9,2460.6,3270.5,18234,316,6305.3,730.1,17382.2,5773.8,16030.8,11164.3,1869.9,15657.4,17310.1,9567.8,17938.8,7654.5,14298.4,854.2,5082.9,8320.9,22684.6,9648,3437.9,2428.2,1483.2,2848.1,7488.1,870,32701.7,46864.7,6052.8,18937.3,5447.2,1271.8,893.4,1569.2,15045.4,5603,2472.8,1525.4,3495.3,91.1,196.9,1040.3,546.4,15593.9,488.1,4050.4,2973.9,102.7,528.3,1496.4,1080.3,572.8,9164.3,17.3,496.7,348.3,31.6,638.8,1336.2,466.9,2589,3018.9,266.7,804.7,1641.4,54,385.3,298.4,2638.4,1101.5,142.2,19.5,4246.1,23.6,1586.4,3757,5411.4,1101.4,1676.2,1252.4,1483,787.2,758.5,538.4,595.8,954.1,6649.3,3797.5,2936.6,805.8,2687.8,697.4,995.4,5579.1,74.8,6118.8,4105,33527.3,15286.7,8176.2,3239,55337.8,163.9,6595.1,20680.8,2952.2,18439.7,3092.1,2950.7,937.9,2052,21845.5,1825.6,3290.8,4567.7,11882.7,35049.6,489.4,2159.4,3979.2,571.9,30326.8,4649.6,761.9,2028.7,1655.6,1369,534.5,5724.2,1353.3,38.4,192.3,15954,2474,142.7,5885.6,5108.7,4062.5,11553.6,507.1,7559.9,653.5,726.4,480.2,8.7,1760.5,1194.2,240,452.3,3232.5,2441.9,228.2,448.8,763,557,768.5,1042.2,3832.1,3299.3,722.7,1494.7,3604.7,3865.6,1677,1102.2,611,4515.1,446.5,1405.7,1164.5,160.1,1359.4,2158,5773,7173.4,1646.4,771.7,1311.4,2005,2105.7,841.7,1125.1,1095.4,2535.1,285.9,915.7,355.5,509,1048.7,430.6,497.3,690.7,458.5,57.4,2039.6,619,516.3,289.9,1188.1,1017.8,948.7,1097.7,1271.1,357.1,0
398.8,2437.9,5500,1272.6,460.5,4624.4,758.7,16712.2,19201.4,8102,13310.5,4777,18445.9,20859.8,5470.4,6721.8,11554.1,14063.7,7752.1,8701.6,1489.9,44617,8655.3,2087.7,3946.9,402.3,5063.8,4045,831.9,31981.1,53833.3,2260.1,1006.2,2071.1,310.2,1194.3,2712.7,3183.7,957.9,1409.2,557.8,6833.9,102.6,196.9,725.3,389.2,10057.9,347.4,1221.4,6621.2,111.1,296.8,2957.1,2401.3,873.4,5940.2,93.7,433.8,568,35.6,723.2,313.7,325.7,3144.3,1877.7,307.6,515.7,2202.7,95.4,208.9,66.5,3006.9,1611.5,120.5,7.4,285.3,30.4,1883.4,15901.6,20425.3,3689.5,2696.3,2644.7,1308.7,503.2,1263.5,1705.5,3415.8,1975.4,2966.8,1524.3,5461.3,2404.3,1333.9,345.5,827.7,16552.4,17.8,17812.5,9942.4,31275.9,9171.3,2419.6,538,31124.9,379.6,3569.5,35489.9,635.2,11591.9,1571.5,2580,1546,4037.1,41965.8,7423,1904.5,3206.1,8858.3,19519.4,607.4,1983.8,3540.1,2016.8,28207.3,3428.2,576.8,1902.9,995.5,490.9,22.6,1396.4,1263.9,75.5,144.1,9655.4,2561.7,50,5367.7,5848.5,2437.1,8243.4,416.9,9308.9,114.2,1037.7,412.8,123.4,2228.5,179.9,204.5,272.3,705.6,1327.7,181.9,1075.3,467.8,378,3059,578.2,796.5,6165.8,1027,4915.5,4320.9,3638.6,1219.2,677.9,151.9,3508.3,219.3,3295.7,1754.8,145,1707.5,2834.6,10095.1,5612,1702.1,1311.6,1522.7,2842.8,2378.9,161,4111.9,550.4,3258.3,669.6,1776.6,246.3,1060.9,645.6,622.6,552.8,304.9,770,274.2,2905.9,222,326.8,349.7,974.7,728.3,358.2,632.5,3579,240.4,0
570.2,2908,3950,1380.7,455.8,8881,490.8,20912.4,54282.2,4267.6,51478.4,1974.3,9772.5,17692.2,2433,13461.1,9310.8,22629.8,9338.3,2338.1,3688.7,69561.4,13663.4,672.7,1549.6,992.7,1701,2116.3,428.8,52274.7,9879.6,3903.2,1334.4,2034.5,8894.4,4697.6,4051.1,5114.8,1447.3,2653.4,800.7,6643,84.2,288.4,708.8,2452.6,10768.1,1097,2434.2,1519.6,101.1,179.3,2351.9,699.5,412,6615.5,1627.9,361.5,803.2,14.4,367.6,805.4,196.5,1857.4,6519.1,178.7,628.1,1783.1,26.3,255.8,169.8,6537.2,970,165.9,5.1,604.3,15.3,171.5,4850.6,6770.1,958.2,1108.9,744.6,889.9,802,1912.2,2668.3,1313.7,838.5,26533.1,5260.5,455.1,1158.3,666.9,211.1,340.6,34392.9,40.1,42336.3,11282.1,49572.5,10262.4,12720.8,841.1,26737.9,291.8,845.5,55722.1,8294.1,14291.4,296.7,7415.6,2960.8,1073.9,57134.7,6596.7,2893.6,3474.1,9834.3,9112.2,712.8,976.2,2376.5,455.8,49256.4,1173.2,2114.5,196.9,622.4,126.9,132.3,7889.7,462.8,27.5,51,10174.3,13813.5,131.2,3249.5,17144.3,6346.8,16372.3,1255.9,5310,37.9,765,749.6,258.6,4775.4,1177.8,204.7,320.4,7171.8,3998.5,1450.6,2422.2,1137.9,160.1,305.2,431.3,367,3161.7,1020.3,1768.6,6404.8,7763.2,592.7,1301.3,3766.6,29104.2,829.2,808.8,968,467.7,5784,2135.4,1928.7,2658,1328,18175,921.4,1040.3,1846,245.9,1710.5,646.9,2698.4,389.7,5344.9,275.4,371.3,1749.9,467.1,1155.4,249.4,157.3,34.6,2385.9,422.3,1145.6,371.5,1441.8,267.6,490.7,1939,4214.2,250.5,0
472.7,2205.4,4225.8,6422.1,1074.4,5411.2,750.2,14374.7,12524.3,6804.2,12410.1,1966.2,7882.6,9277.9,14272.8,4770.3,9063.2,15655.7,3323.3,6567.4,2644.3,45247.2,18739.2,1216.7,5300.6,526.1,5161.4,10514.4,1243.4,31237.4,14126.9,6423.4,5109,6940.8,30.7,2298.6,5367.6,9970.9,3746.7,3662.3,483.1,10504.4,111.2,321.7,3022,331.2,1928.1,238.2,2154.7,1661.1,90.9,1146.9,1794,1329.4,1686,2206.5,513.1,309.2,521.9,26.2,999.8,762,30.8,1727.3,1584.8,25,674.1,1972.4,93,56.3,194.8,2387.4,2609.4,105.2,6.7,452.5,30.4,1578.6,1801.2,2630.7,349.9,2176.7,2327.2,2084.2,656.2,2438.6,2779.8,1144.9,875.3,22752.9,7385.8,1496.6,5173.5,2280.7,265.3,2420.5,6667.5,27.2,11313.7,9748,29780.3,11058.7,10153.5,687.7,20522,308.4,3186.4,35277.5,751.7,11202.8,826.2,3223.2,3041.4,966.6,38970.2,4815.6,4960.6,1595.5,8938.1,8754.6,1104.9,1452.4,2615.8,1618.6,29134.8,1935.7,983,1758.1,747.8,266,304.7,9758.7,1228.3,57,305.2,11496,2915.7,138.9,1044.2,5657.2,664.1,10619.2,526,7511.9,78,645.7,457.1,212.6,2167.9,512.7,160.4,290.1,815.8,3028,198.9,1097.7,524.2,1136.3,1045,848.1,514,2153,1636.3,1251.7,4830,5063.5,1174.3,844.7,1606.8,4577.6,523.1,7122.9,1506.5,100.3,1552.7,2860.9,2816.5,8507.3,2742.9,638.8,1025.5,5749.6,2751.5,569.3,3168.5,511.4,14449.5,547.9,1485.9,498.6,798.1,934.1,685.8,425.2,551.1,96.1,149.3,2027.7,411.6,221.6,442.7,1209.4,418.9,527.9,2144.9,9205.8,210.3,0
377.7,1855.8,2491.4,697.2,315.4,4837.3,441,10458.9,6397.8,19822.3,5903.6,1086.6,8723.8,14589.8,4131.3,3675.1,2836.5,14943.3,10194.4,4226.5,5868.7,80727.8,4243.1,4583.1,2840.2,370.7,9132,18659.2,1219,15278,16137.2,582.3,805.3,1670.8,310,1099.9,1185.1,14689.3,3190.9,2283.5,957.6,3085.5,136.9,85.1,601,509.4,3093.1,349.7,1336.2,1724,18,495.1,4083.8,1360.7,7519.7,1429.9,367.5,299.4,283.9,45.9,1050.1,173.9,120.4,4023.6,870.1,37.5,390.5,1595,151.2,61.9,158.7,1417.5,3525.8,246.7,122.3,495,51.5,2149.7,2647.9,4051.4,1007.8,1543.9,1345.1,1225.6,997.9,1148.2,1517.3,1063.1,1301.1,6384.8,2308.6,1586.8,5174.2,821.2,151.7,1010,4258.3,11.7,2613.1,6504.1,15396.3,14104.2,2217.5,1009.9,28347.3,758.9,1644.7,61458.1,1042.6,16545.8,614.3,2156.8,1973.2,2330.7,67868.5,616.9,751.3,1877.7,13759.7,9969.6,1093,4427.2,2467.7,2413.1,13122.5,9071.9,613.7,270.1,842.6,541.6,22.4,1331.3,899.1,98.2,130.3,14383.3,853.5,106,3534.3,4162.3,387.9,8308.9,862.1,2158.7,49.5,894.9,335.8,258.6,3165.6,265,166,395.7,1286.6,2257.9,580.5,622,99,333.8,710.5,1333.6,865.7,6680.9,1930.4,1638,3793.2,5144.7,4210.1,1031.1,872.3,1724.7,331.8,3732.8,2523.5,29.9,1468.4,2216,1008.1,3342.3,1217.7,1742.6,764.2,1333.1,3552.5,1306.1,3927.9,574.8,2487.9,638.8,1774.4,401.4,575.8,773.5,965.5,425.6,623.5,587.5,63.8,947.5,324.6,115.4,34,1457,727.2,860.4,2091.8,496,479.7,0
256.9,2591,3174.2,5339.3,658.6,12192,509.3,14378,14103,10528.6,13506,978.9,25040.5,29912.5,4521.7,5076.7,42120.1,13828,17824.7,3501.9,3026.6,46824.8,11188.3,3094.6,2939.7,2425.9,4712.8,9047.3,485.5,42953.3,12136.2,3206.8,5145.6,823.2,1785.4,940.7,2373.3,3690,1387,2816.2,761.9,2022.6,134.7,196.8,1331.8,729,5411,231.5,12501.1,2022.6,117.2,479,2630.7,2453.1,2806,7406.2,437.1,955.5,544.1,12.1,470.8,476.6,108.3,2838.1,2843,184.8,369.7,1785.2,3,164,148.9,1363,1571,167.7,27.1,990.8,8.9,1540.4,3476.4,4024.9,1445.7,2330.4,1436.6,3360.7,1465.6,1194.4,1263.6,1169,1749.4,10153.3,5511.5,955.4,2997.8,814.5,449.7,491.6,33626.6,26.8,6504.5,5185.1,40765.7,12503,3480.3,2158.4,22273.7,405,1245.1,37771.2,9595.2,14360,560.3,4827.4,11599.9,4856.5,42362.9,1648,1779.1,2012,11330,12640.5,521.5,2401.3,6943.3,820.6,38037.4,3235,1028.8,746.9,541.3,376.4,29.6,5580.1,851.3,44.6,332.1,11649.7,3060.6,72.9,1714.9,7113.3,1961.3,12225.1,712.8,2790.5,395,617,576.6,32.4,1616,687.5,267.3,452.7,8481.6,2244.9,771.3,907.1,549.5,294.9,682.5,751,1801.1,4818.6,2053.4,4030.1,7867,5217.9,3238,789.2,755.3,3457.8,435.6,1783,1221.2,225.3,2906,1828.7,1426.3,4640.9,1474.5,3649.6,841.9,1796.3,1592.6,3364.3,7129.3,463.7,2266.2,450.7,878.1,376.1,755.9,946.4,700,863.4,591.2,313.1,151.3,4670.9,539.5,467.3,506.3,1756.5,860.2,612.9,1889.9,3106.2,216.1,0
433.9,1828.8,6220.8,9569.9,590.9,3947.8,906.2,10146.2,5987.3,42271.4,6141.9,2633.4,9185.9,12224.4,10271.8,5658.2,11166,19786.8,2388.8,15810.6,5288,28283.7,13198.9,10067.5,13955.3,352.5,1564.4,26047.2,1549.1,27600.9,33190.3,7188.5,7157.3,3173.4,2053.9,580.9,1700.9,7933.6,3074.7,2667.6,568.7,2622.2,225,322.7,1057,806.1,7212.3,108,2056.1,5088,13.3,704,18361.2,1681.9,674,3956.5,242.2,353.8,244.4,22.2,2431,514.3,409.1,20319.8,1267.2,145.8,429.5,1458.9,15.4,285.4,492,1895.3,4172.4,210,135.2,416.9,112.9,203.1,17522.4,19726.1,6739,1807.1,3795.5,1858.5,8072.9,1652.8,1885.9,2497,1190.4,18441,7214.3,2244.6,5952.8,1823.9,320.7,990.4,1156.1,81.7,21874.6,8772.7,26861.2,61189.3,12687,1289,23865.7,398.8,3085.6,24825.5,1508.9,63340.9,1653.9,6008,2288.9,6310.2,25089.8,8480.1,6461,2502.9,62164.3,19655.5,1159.3,1914.2,3604.1,2098.5,26238.8,18378.3,680.3,2254.5,1808.4,450.9,2238.3,8992.8,825.1,77.7,335.6,62952.1,1278.6,16.3,6265.8,7222.6,2332.5,7693.3,577.5,7896,272.4,533,778.2,24.6,2228.9,462.7,220.1,284.9,1192.6,3939.8,231.4,1317.4,161.5,96.4,732.9,680.7,7795.8,28333.6,1085.9,3125,3108.5,2727.3,11030.9,1128.1,603.9,3376.2,85.2,2330.9,1320.5,9.7,1830.1,5164.6,11174.3,3164.2,940.6,965.5,2946,2211.3,1909.9,1472.1,3540.6,861.9,3750.7,390.9,1196.3,354,540.6,925.1,989.6,664.2,895.7,35.8,20.8,3693.3,350.7,316.8,351.7,1543.5,537.8,550.3,1395.4,1543,687.4,0
297.1,1323.9,3227.7,922.8,600.5,2774.5,766.9,5369.9,11837.2,8491.4,3527.8,1519.3,7088.5,16821.8,1560.2,3062,1753.6,6287.3,960.7,2310.3,2136.5,38942.6,4471,5656.1,1909.9,600.5,2678.5,6130.3,594.3,15179.5,15665.2,836.3,1642.5,443.2,744.9,702.8,876.6,11278.9,2270.2,2198.5,963,909,34.9,346.1,425.9,568.7,2724.6,406.6,1284.4,1186.3,152.2,505.9,3713.8,1614.8,2418.3,2052.9,315.2,623.6,88,27.3,618.6,463.3,386,2671.1,1358.9,14.3,643.8,1227.4,71.9,106.4,458.4,1641.6,1587.3,276.7,71.4,421.5,43.2,963.9,1428.4,4809.7,620.1,633.9,992.8,1274.2,445.5,852.8,875.5,1959.7,1320.8,3388.7,1536,811.1,1577.5,977.2,46.1,405.1,6696.2,56,5239.1,2564.8,16530.5,9905.6,840.7,629.8,9447.7,276.4,1185.7,37236.3,3791.2,15439.5,180.1,1411.6,759.4,2314.2,39925.8,824.8,855.1,2387.6,11322.8,9508.3,581,3917.6,4177.6,637.5,14525.9,8392.4,499.9,210.3,629.8,697.9,82.4,2208.4,387,229.5,46.2,10207.5,40.3,68.6,2962.2,3367.6,1310.7,4419.1,395.6,1750.8,119.1,1930.2,389.4,196.9,2550.4,53.3,363.3,1024.1,6610.5,1425.6,253.7,826.1,393.6,675.7,1477.3,852.2,1037.7,5106.7,2387.7,774.9,3040.2,3486.6,2674,210,957.8,1103.1,630,988.1,1355.6,66.3,1350.7,1176.9,1122.3,1590.1,1420.7,2333.4,592.6,1023.4,1060.5,455.5,2178.4,130.9,1652.8,205.7,516,610.8,545.9,1490.8,1456.4,884.8,1288.9,872.1,572.5,1858.5,294.8,719.1,66.6,958.9,1005.8,201.6,1622.1,1083.9,109.9,0
644.5,1666.4,4156.4,1747.7,243,7952.1,278.2,17393.2,35110.9,42419.1,18996.9,6155.6,29215.6,30983.2,12077.4,22478.3,7258.4,18300.1,41761,10358.3,9399.2,56208,26434.8,11760.7,16801,756.6,3103.3,34283.1,717.3,56555.6,44416.9,1075.6,931.6,3881,1103.6,2416.3,3083.6,15153.5,7607.6,2620.4,2130.2,5407.3,100,132.2,773.4,651.9,10186.9,253.2,3473.4,11651,18.5,752.7,13477.8,779.8,7774.3,8835.1,104,109.2,386,198.9,2291.3,268.3,445.2,16511.1,613.4,30.7,677.7,1275.3,16.8,361.9,341.1,4321.4,1695.2,194.9,36.1,268.3,12.4,977.4,4946.2,7024.9,1614.3,1245.1,2637.8,2698.1,4957.6,2013.5,2610.5,1840.4,1273.2,25918,14511.5,2282.6,1294.3,652.3,32.7,1193.4,9773.9,54.8,15753.3,7058.3,55138.3,72465.3,4780.9,2925.8,17643.7,96.8,6543.9,50597.9,1158.8,70819.3,3891.9,5101.4,1679.9,7079.3,51514.3,5881.6,2485.1,4060.4,70515.3,34187.8,857.6,3676.5,6893,957,51094,19159,603.7,1536.9,3175.3,874,448.4,15896.3,996.6,39.8,581.7,69294,7112.8,51.4,6042.2,7919.8,3931.6,11229.5,343.6,5462.3,437.8,1034.7,382.3,11.9,2011.2,396.2,180.2,177.7,901.8,2883.8,143.8,1481.9,70.3,241.4,433.5,603.2,12938.7,23931,732,2862,5222.3,4765.4,17763.3,937.2,861,4066.1,381,1732.4,911.3,290.1,4433.6,3225.7,7143.3,5812.8,943.9,1400.9,2051.8,1340,1558.1,1190.9,1794.7,772.1,3739.3,356.7,1188.2,412.1,724,678.1,849.4,863.4,648.9,77.6,63,5464.6,198.8,435.4,221,1012.3,1746.5,542,1323.1,3377.4,1379.9,0
110.3,1599.8,2304.4,2345.4,892.2,6739,354.9,9906,17826.3,20699.2,15389.5,1269.2,8878.9,12784.2,5908.3,4655,20995.6,20566,5912.5,4059.5,4474.2,59502.9,11601.4,4383.6,1592.8,398,1796.7,10454,528.3,31111.4,11364.7,1527.6,1584,451,9196.2,1507.5,1844,4195.2,1472.4,1510.8,951.1,2088,42.7,475.1,457.2,626.7,10388.6,244.3,1114.7,1382.3,66.6,341.9,6105.5,977.8,1454.9,2644.2,1365.8,292.5,204.2,11.3,442.8,518.7,34.8,6053.5,3084.5,95.1,656.2,1638.3,50.6,304.1,139.9,1257.6,1162.4,304.4,47.2,361.7,36.2,308.3,2034,3036.8,970.3,1209.5,1692.3,1413.9,1029.7,5903.1,9413.3,2284.9,1161.7,25128.5,12755.4,858.6,795.2,525.2,444.1,384.6,7275.1,38.4,11577,8811.7,30867.2,22730.7,6828.1,854.8,11529.8,398.3,1521.8,51878.6,932.9,23849.1,590.6,4444.7,2317.8,3487.9,55080.1,4997.5,3276.2,1857.2,20741.8,9912.3,799.4,2017.2,4282,749.7,27572.8,7250.6,1001,404.1,741.2,303.3,554.8,15133.4,668.6,50.2,530.8,24010.1,4758,158,2335.3,5875.5,1139.5,9963.6,924,1043.5,696.5,1577.2,848.4,167.1,1746.2,404.3,269.4,258.5,1199.9,3804.1,568.9,367.4,794.9,194.9,555,474.4,2405.3,11813,1357.1,4907.2,4970,5902.2,7713.4,1136.9,743.4,9270.6,531.5,692.6,1700.9,174.1,3554.4,1336.3,1543,5842.8,1441.2,3081.6,2988.6,1689.4,1799.2,2436.8,3348.1,498.8,1681.2,427,2301.2,242,1045.2,852.2,497.4,470.8,978.2,1259.8,760.4,3231.7,550.7,215.5,383.3,1262,2373.9,656.4,2305.1,1823.4,196.7,0
