"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
526.335,988.78296,4088.4233,2626.2249,120.57564,2134.637,208.2907,6208.2876,2626.9258,8926.116,5851.819,1079.8119,9374.078,9846.386,2488.2185,4959.9937,5839.971,6837.1416,4021.9177,1905.2091,7042.9644,11250.515,1656.7661,2287.1392,1406.3395,1479.6482,3492.357,10218.261,1023.4492,8413.85,10351,2558.422,1900.465,691.89557,1945.6605,166.15472,593.39526,5933.857,3021.0066,1144.8857,1613.5505,2067.743,82.958725,3.6802661,1295.6963,1215.6088,1147.1398,290.35513,2329.811,1645.91,80.75727,571.2646,2750.7114,174.38719,2342.4846,1342.3665,88.19311,7181.048,326.40958,11.476346,1221.292,434.90405,34.751503,2525.9783,554.285,42.243458,735.74854,767.0507,46.48076,71.48389,82.52934,1846.3275,1409.4457,394.02002,16.218777,541.5332,27.146862,698.4114,6958.5527,5584.5923,3440.6804,739.0293,2098.2192,1420.7206,1778.1521,1683.3657,3122.717,513.80133,648.35706,6540.975,2782.9077,850.65216,474.95016,499.8753,135.15694,367.38837,6203.771,10.758892,5545.1665,4448.7173,8324.696,8754.3125,2175.7913,3306.4854,5427.3022,66.60141,5804.762,11011.656,1275.3699,9066.481,4194.287,2225.6208,3327.4075,669.36914,10913.072,1583.2455,590.58496,2639.3582,9844.124,4776.0713,977.20575,2234.5547,3787.124,1844.6466,8102.2705,2592.6797,609.5665,734.2039,1350.8713,944.3063,21.326912,3549.8718,567.1408,1.4821981,257.7414,8611.812,2792.8318,14.097655,3871.0242,5569.3115,3092.7146,4483.5225,791.6026,2364.001,45.396263,459.28534,886.3863,108.22288,2087.5054,664.29913,96.1626,141.67308,1045.7941,1242.114,517.6853,322.78177,192.3048,120.65623,467.14966,2007.8557,1325.7523,2888.5095,141.6328,2425.4124,1927.2415,3109.5293,6164.19,493.6814,273.19766,2555.1077,355.29523,479.72418,638.1137,148.74768,2572.028,3624.6787,4920.85,1976.3723,864.7119,1892.7217,5014.649,1029.6777,1572.763,2162.363,1695.6237,331.2409,1430.5393,376.20987,525.2591,299.961,448.40607,569.2074,314.05487,379.87036,416.4474,60.089237,13.047361,3710.5488,85.18998,52.180874,132.32954,1296.1364,39.748936,581.3962,940.3196,1134.2203,844.40576,0
559.4459,932.5349,3045.2483,4465.722,139.40054,2323.3389,190.25237,5621.5176,1996.5546,6767.3496,6102.1377,1303.2327,11680.971,11580.514,2797.7598,10725.5625,6381.1245,6269.701,3758.252,4020.9226,7189.673,10973.965,1950.423,529.7643,520.90643,1444.8708,5033.4185,11397.857,1188.6395,10697.78,13091.187,2962.567,3076.11,831.53107,862.0412,269.89233,469.0871,4235.386,2501.6562,1136.977,1696.8134,2834.2432,89.89255,30.241392,1170.3118,1130.3328,1051.5118,251.44513,2087.1187,1487.3607,48.61975,665.2015,579.3217,214.21776,2189.5435,2220.3435,83.4984,3692.3335,298.83957,12.455493,5061.287,658.1222,446.91068,863.7418,5742.1226,105.05184,442.45926,739.7156,636.48706,333.00113,21.184608,1950.7854,747.4351,352.89484,35.596176,756.7532,1.542645,1265.6965,6452.65,5692.398,5431.7656,807.4223,1583.0177,2812.1074,1296.2758,1160.2695,2136.0122,447.94394,871.74866,6940.8027,4818.2593,2483.3882,313.3289,1424.3486,225.35028,454.43677,9756.518,2.7981753,3220.7788,5929.1616,10467.6,6105.228,1415.3134,4297.5967,6147.1313,118.8923,2744.4448,10533.956,1130.704,5421.3213,1810.7462,2152.82,2454.3643,624.4708,10016.532,1493.2236,538.9746,3843.3054,4989.216,5825.174,1139.343,2167.2935,3880.85,2009.5127,10396.838,473.81143,585.60736,475.06058,1425.3654,492.39206,54.334633,5202.2275,454.92343,8.343032,447.21042,5476.193,4407.147,12.621988,3120.892,5927.337,3240.854,4617.813,986.23157,1006.67096,96.35838,280.1646,875.93915,89.01799,1720.6335,712.63165,95.33805,147.03435,790.2654,1333.1958,545.86847,688.3429,269.2847,147.46214,245.6048,1993.156,915.4764,837.0593,239.93457,1880.8529,1954.3939,2852.2852,1328.341,562.02563,288.6465,2833.6992,438.79602,598.9892,556.87683,263.19348,3449.8777,3194.5435,4355.0166,3340.777,921.7251,1549.2123,6517.1914,1052.8289,1199.9146,1331.5818,1660.276,303.01047,1998.268,535.7626,840.38885,374.27484,427.13242,422.54938,333.5873,538.40985,471.9659,127.80645,3.6097841,4023.3447,285.9275,160.77629,605.47894,2079.5508,87.69235,494.31992,910.68616,3819.4653,1088.5277,0
163.36964,728.8073,3620.565,269.9595,90.05719,1858.4467,134.2691,5581.948,1147.8961,6702.563,3857.6177,2029.1826,3754.5159,4570.487,1353.8436,3620.9663,3503.07,3843.2373,5207.686,3019.89,1932.6416,9796.615,1317.1489,1743.8204,3800.7556,977.43225,2069.4944,9121.916,509.82904,6622.8096,8424.709,243.3814,222.89903,241.2737,239.02786,220.99353,1058.8851,3469.9324,1732.5316,425.37997,646.46326,1508.1655,33.715,22.314978,238.7246,495.38016,860.4165,200.80138,1355.1537,1547.4757,67.73947,416.6687,2738.2942,162.02258,2785.6157,619.4021,139.56061,124.59036,159.37918,34.930244,1108.7604,214.50749,2536.156,986.3605,54.288864,33.696507,241.88449,752.0925,36.408287,30.777767,25.51689,1005.70496,1030.871,82.52011,28.906023,270.7181,7.9544334,1255.7084,2384.967,1969.469,967.7421,681.26587,1936.5433,627.99756,4175.658,351.79315,545.4697,613.1301,737.0431,2001.7423,654.85645,922.5957,549.8528,219.63261,71.81314,325.118,5184.613,35.029575,1800.7914,2071.4084,6378.347,4625.2944,1233.3901,529.8844,3487.4773,184.22574,3288.1184,9283.432,625.9202,4907.5547,1970.7885,1207.5416,1641.5596,441.75598,8450.822,628.7793,203.3991,986.89996,4489.756,3019.9387,260.86176,2627.139,894.0915,1896.6042,5987.3535,1891.2449,608.6712,354.72812,454.7418,749.0164,36.42984,514.86786,471.17343,1.0566875,128.75827,4624.8765,2227.1123,62.26902,890.10156,3667.5632,1173.917,3801.3345,337.35757,1506.5499,53.48008,403.66925,128.98962,31.199461,1279.3092,287.92493,136.98692,260.78583,519.4581,419.83685,109.24535,341.4404,87.927,112.064896,128.03902,713.3604,484.9206,1396.7915,245.08228,773.91473,1368.4583,2322.176,1674.8684,325.54086,275.7672,805.8741,274.34146,428.30893,243.39061,89.45358,1026.5676,3446.2976,1964.1196,994.74286,861.28516,779.5956,561.43756,663.21075,766.74866,1169.0524,1065.9152,144.32172,733.4351,270.0862,238.70851,149.91644,283.56906,204.36238,211.80582,203.79721,557.7656,237.87547,26.744446,1156.1146,227.8107,62.26026,245.78828,665.4176,163.21304,205.76219,354.5766,813.70825,481.7944,0
81.5591,416.46524,1530.3623,630.0663,69.62609,1040.9825,37.732754,4859.0205,685.0702,1524.4099,3115.2136,49.30535,3213.0955,4880.5234,977.3,2054.4756,1660.8801,2474.2544,1964.9042,758.37195,199.32947,10848.4,477.35077,270.55048,109.60005,663.0147,2038.5867,7209.982,149.9582,3371.362,1757.2603,494.5489,413.2434,189.91727,196.81007,70.95562,182.81564,971.19934,357.79916,222.67343,761.47174,467.67477,18.085072,7.5774274,165.64099,417.62228,420.638,50.22335,625.8248,241.46994,5.4014845,92.20603,57.01023,69.0659,2765.4082,110.52008,36.02114,94.84311,174.0423,4.3765063,681.62994,272.61954,42.560112,67.0367,13.340812,12.784591,101.45336,371.5115,28.867275,81.93029,27.484882,510.63153,537.8488,125.77087,8.181797,370.17065,4.7877474,3158.3657,626.09,425.67075,336.56393,560.1702,1055.2627,828.3478,254.75232,273.38144,363.8553,284.46616,191.25656,1177.5997,161.24217,65.30475,221.09412,266.43732,77.75476,112.14756,1234.8114,2.2513013,4592.099,1652.4026,3295.411,810.93744,179.04282,310.4239,4607.776,17.456179,122.53583,10569.503,723.1321,379.8001,91.88811,525.61346,2538.6543,49.035934,9972.28,1706.5342,131.22327,600.20404,436.3966,1006.6199,761.2624,2588.0015,741.61725,3318.9485,3205.8845,231.14604,430.56543,447.6737,617.52814,28.931517,5.005738,418.57617,141.92172,1.225222,261.00183,809.001,1871.221,4.2112937,685.0179,3151.98,20.800167,2014.8206,396.3456,1901.1493,3.0949175,181.59743,27.664965,18.158894,1479.8567,267.8561,92.17166,48.886585,673.14606,754.48157,73.26104,96.60642,10.756566,92.112114,185.95085,323.18585,37.35146,65.69186,100.969574,357.3933,959.92975,2020.8851,97.03804,143.21368,193.1726,1783.7092,102.11799,149.255,120.22273,39.96738,2152.6582,1133.2623,115.901726,650.727,314.16003,743.9377,48.486065,472.26703,524.6615,247.94891,483.22052,87.96733,740.77057,58.103233,353.60526,72.100815,120.74017,200.49255,101.8734,211.6933,590.7723,167.84421,3.4507055,1116.8639,113.922325,44.515697,232.00613,361.96857,12.288287,147.62282,261.73175,219.0131,82.60478,0
213.40508,915.2399,1128.764,272.90097,73.91908,1603.5404,133.21776,4648.736,1660.6228,4787.497,5171.1333,998.5202,4617.7207,5410.045,598.029,6068.8926,1915.7255,2684.3198,9373.159,1712.8932,316.419,10133.642,766.0285,795.7349,157.71964,573.3408,3129.9255,9532.652,136.83089,6197.27,5789.9194,177.60193,204.80649,724.5267,287.70575,209.07417,80.55542,523.0653,258.2767,365.01746,360.93857,3098.6736,43.41051,14.963346,467.2357,377.1147,972.15125,104.25264,1251.6873,1153.9816,69.40823,173.39967,359.89883,90.603645,9010.029,96.48135,12.940834,117.23025,89.63082,40.390636,164.11487,1071.7549,585.08575,407.14984,29.135311,30.87569,235.90956,1031.3167,4648.3364,111.809,12.996115,1241.8016,367.39478,111.57844,18.322412,136.37437,27.515678,1400.692,2321.9673,1900.673,1375.6675,562.91815,415.14713,1895.4227,313.5404,944.29205,1987.1754,156.83789,319.96036,195.42284,95.89968,116.25559,290.04492,324.4358,168.24307,219.0939,7518.8013,37.39757,1764.5714,2251.8909,5970.293,6375.938,1413.4081,975.4987,5257.07,370.66302,440.45416,9522.319,518.06305,6695.706,400.0898,1324.4982,1614.2708,66.749306,8830.446,726.8047,358.48898,1410.2179,6443.4385,1999.3617,1668.4446,5487.1084,1791.2715,1816.4257,5796.035,839.9896,404.3431,172.62657,98.53792,65.195015,30.354143,73.53777,414.5578,7.550725,200.32869,6306.177,3614.2417,55.88175,285.7728,3920.9412,1841.871,4549.188,344.18536,464.8594,17.373661,173.69136,136.40009,25.42543,1364.3495,292.2854,136.22377,178.88809,488.0597,746.68506,811.9919,264.34366,52.801144,56.011192,186.19139,56.128616,220.56052,404.5143,450.08405,963.794,1226.2754,1801.0072,7.325923,338.63486,285.04703,852.6869,156.34229,562.3398,283.8153,138.44281,2448.852,1046.7639,230.28287,831.7191,854.0401,920.3248,116.43538,351.71158,841.7085,299.02542,1406.5088,181.3286,565.1591,210.22975,428.36987,93.10431,136.0786,209.60248,211.8977,165.99281,740.15375,154.42607,32.687202,1628.1725,162.16869,39.499035,576.7659,774.6669,90.746414,198.62463,196.32582,243.98604,412.48566,0
113.75226,648.0913,1649.3268,561.6236,134.44229,1241.2092,115.20658,4626.3447,986.44293,5741.184,3306.581,339.28433,2415.8728,4052.0505,1549.8235,1499.0392,2048.0972,3587.1047,2206.2898,1440.7012,1836.8254,12577.736,585.2669,1201.1953,3111.3118,679.35004,2022.5583,8870.432,512.7565,2960.9697,2620.3152,754.41956,414.53906,241.79082,351.64673,289.04776,497.1286,2247.6372,1007.58514,531.12683,910.7495,536.199,56.52281,26.994373,272.6564,336.5267,1726.8453,167.0595,1306.4714,881.3276,57.218513,281.24603,575.01514,198.24757,3379.846,602.1936,75.48063,118.088844,209.01639,27.997557,1445.953,346.6607,88.84946,964.46826,36.075344,27.596674,255.99094,728.61035,33.053387,85.708664,38.10163,558.61975,797.0373,170.64398,26.090677,293.43768,17.65843,3323.5305,2044.2515,1922.4352,795.3223,640.9012,1059.8221,905.342,1630.6793,499.98987,795.9499,363.31674,379.59872,1539.1504,374.64053,279.1691,652.5927,294.22772,98.53177,265.02084,439.40747,40.113342,3384.8125,2642.804,2790.5796,2712.8528,914.94464,1006.1861,4625.8403,60.125732,243.39207,12136.781,1065.0046,3047.9167,230.0336,994.7487,1730.2233,206.41641,11424.142,1861.0627,195.27213,705.6951,2379.895,2720.451,751.6594,3486.9585,873.3189,3666.13,2554.7405,1261.4271,402.8004,614.7895,812.08026,87.19668,33.75274,304.36746,350.24384,3.49912,177.46951,2478.6157,2064.976,54.13737,1090.4927,2407.7249,216.39137,3607.3083,442.30533,1734.5776,24.805315,402.70312,145.30356,50.768703,1819.7852,284.74924,119.60151,260.7133,1929.0427,643.4511,193.74815,178.19565,24.969076,362.2129,189.3295,796.6576,370.6888,1235.3059,300.16202,807.511,843.8275,2534.3647,1954.2969,250.11137,238.79977,1420.0916,175.12958,323.93265,224.94739,121.1722,1178.4448,1578.7122,915.9239,1072.6426,1044.4459,633.92957,206.26537,1288.6427,1059.4948,417.3124,1359.8751,138.37051,472.98077,139.18535,582.18854,109.10607,314.35822,207.78375,259.54,390.32877,1063.2814,202.53268,31.900251,1954.7001,272.95657,49.068344,446.15927,661.04205,34.597626,361.25836,400.74078,682.74115,132.78308,0
434.71216,662.37854,1432.5852,1173.6163,72.24157,1362.0883,153.64398,3236.1858,392.27188,3601.8506,3324.9355,628.61084,2796.4011,3723.561,811.7521,2620.8477,1590.7732,2699.1223,5423.569,1290.381,765.3291,7114.436,444.5459,742.86035,536.81964,795.03076,1194.5896,7917.439,240.59384,4584.7153,3030.8518,887.6896,958.71716,454.79694,855.669,254.13615,167.50919,930.1431,452.21005,514.62476,459.9161,1950.7128,34.71355,28.109795,399.9635,382.66336,497.07742,146.26326,1117.8346,672.08936,81.95176,172.3727,427.59363,81.32571,2989.1108,266.92447,116.976105,140.21335,220.15556,31.55691,218.94296,588.17334,332.72385,774.33575,43.80684,54.667603,486.77905,558.5354,3870.5818,70.121155,29.126081,1058.497,372.6733,1008.6261,30.573528,149.87688,13.133931,258.5613,1300.9034,1140.088,509.13004,574.30273,742.92523,699.2048,953.9945,474.93948,838.5082,174.6643,306.75784,855.60736,406.81113,88.29132,788.78284,191.25726,118.01983,307.7458,3640.9304,33.53154,973.72455,1634.0485,4443.1304,3381.3445,547.5175,511.86115,2389.8716,977.5119,570.0491,6540.486,577.49695,3453.5876,412.686,1055.4557,1273.9884,102.821754,6398.4985,467.5868,138.3644,748.50665,3319.8533,1674.838,422.41672,2702.6448,1186.0297,429.64548,3981.5298,750.8911,365.20117,142.5877,259.22964,158.15134,28.142952,247.19919,351.5125,3.3068624,142.07668,3256.313,2916.8794,68.85336,447.6657,2282.0173,670.1329,2251.384,285.90335,314.5364,23.81419,175.45389,172.67624,42.8453,851.95197,523.1216,85.44057,221.65698,421.0121,863.0409,821.3882,526.0004,57.875465,46.540607,177.55446,527.3669,388.87,962.9231,220.82182,505.42163,983.55756,1470.3551,1939.0057,242.12074,313.10422,1012.34436,159.44133,269.5426,270.23175,178.34901,1352.2231,1237.036,166.97467,816.19904,656.80273,524.6539,493.5305,451.33725,892.9227,368.49594,1153.5546,97.86408,938.6557,165.52795,414.30975,315.54037,187.5237,280.9868,202.11453,164.74565,560.69086,632.06964,33.18964,1566.5273,141.9532,60.79831,193.93076,694.28107,113.49174,177.9518,357.655,1006.1969,531.8874,0
330.50455,988.37366,2582.7603,526.0609,78.245,1174.225,156.09662,5762.2124,3507.199,6153.6294,4104.1704,989.7029,1440.4858,2848.396,1772.0275,3178.6624,6750.785,5523.2036,7356.8345,1359.2052,49.886524,12143.781,1350.049,109.20496,3768.3276,1970.2817,184.66536,9336.456,68.77416,7609.589,699.9158,514.24646,392.28317,2270.8875,29.295273,84.62669,153.48714,80.29098,20.771227,600.7034,411.91705,4095.0535,44.244102,25.19804,359.4636,778.91614,2913.7322,187.37553,1770.4484,158.76686,55.611576,510.00967,22.377493,10.47674,3189.678,894.37115,112.55596,125.71114,180.06613,40.997433,51.07822,1937.5958,1990.2697,67.74031,39.35513,27.572935,856.4354,992.36273,1588.5323,30.365486,5.897718,1211.6171,291.86166,80.6847,22.654764,999.684,14.482173,23.373734,4925.958,4503.787,2610.2083,272.48267,993.05853,2224.2146,2553.3262,1601.1965,3298.5662,536.84,330.32263,149.0947,43.973736,381.2511,847.12854,170.88568,71.36625,132.09435,1185.117,33.86519,639.5394,3898.5264,7276.216,3379.253,511.6854,1945.1572,5204.04,36.654858,94.22545,11532.659,711.7668,4036.7732,128.41449,1214.5466,2025.2855,79.68689,10944.169,180.60005,98.99376,1141.8052,3600.6191,562.9714,972.77057,3361.7344,172.20036,31.10282,6894.821,129.6228,636.9142,76.50263,378.7519,26.80122,36.135315,32.251205,634.6569,4.3063526,84.865166,2920.3633,2342.8625,65.44012,199.26924,6215.728,3428.1099,3584.3538,350.3796,264.31992,5.2597065,348.04453,68.19327,17.242493,1372.6113,470.79483,141.47374,220.44066,563.9524,1093.8462,305.40546,81.329704,131.6817,34.26293,173.83913,1981.163,22.372992,63.83371,308.2325,757.8863,840.8264,3791.1238,10.884039,388.88956,394.73898,2273.8076,297.894,102.55141,424.44778,103.79093,1520.3386,1885.9761,240.29248,1000.9583,650.54785,798.48596,313.27988,445.54074,1278.0519,154.52312,1482.419,159.63136,642.3363,255.73143,190.54103,136.85329,381.03592,272.07343,284.0093,80.86291,597.2513,117.23783,33.0027,239.25175,280.42252,50.938374,697.8866,966.5381,1014.96497,254.78613,461.03384,974.31384,231.3115,0
406.32443,467.301,1048.6343,696.7035,96.28093,1440.6519,131.06462,3576.664,4330.9087,9699.192,4713.7812,624.5616,3063.7678,5594.171,2251.7458,1435.7047,4549.3184,6314.796,5522.528,1854.7609,5734.467,11211.395,708.4708,2462.9084,1966.3214,1216.7737,1585.5474,8813.617,655.78687,7910.3535,4536.277,858.4108,594.51056,1169.7249,484.15854,335.8861,671.508,4588.501,2131.1267,1100.5879,851.1068,309.9093,39.537117,27.743305,333.55463,320.35306,1575.1776,290.67343,1501.3282,1235.4602,895.6865,417.7917,3590.8047,141.37077,1452.2444,1973.4875,62.529064,154.9886,256.79395,29.069763,1032.9437,254.7938,161.54971,3566.5981,165.58594,38.31797,259.29376,369.99097,305.3586,62.92228,32.881832,509.57202,1008.9193,153.545,40.218834,167.06226,16.016838,669.0285,1355.9526,1307.3795,457.5474,336.10056,1089.7437,1715.9612,2080.5728,540.50305,638.90967,597.6471,494.53745,1927.6869,321.03055,163.2945,561.4042,484.98135,88.89068,264.84277,1399.876,15.248119,1107.1136,2521.9634,7810.8916,5675.9116,1270.4524,622.3429,3910.8206,287.2111,468.40372,10695.59,2968.2583,5796.198,263.54074,1034.2433,2260.6338,326.5107,10581.309,459.73276,222.64795,694.98004,5359.815,3617.601,497.22986,1566.2046,1227.8201,2167.17,7595.08,2665.0332,201.10973,330.2647,1930.1682,138.71634,31.92432,282.03967,432.86737,6.769482,163.9956,5626.3833,3099.7727,48.776512,2751.9707,2940.684,232.48851,2257.7205,305.75778,1047.7468,80.03494,342.3959,473.35904,60.89708,1823.1533,257.21326,126.663994,287.56393,7363.517,2053.9978,284.81186,71.72695,47.685158,67.03245,436.03772,716.6644,2876.086,4075.9045,185.36809,835.16144,964.8892,1617.0856,11051.172,240.57326,146.39053,3190.412,231.23778,554.1705,248.992,136.35573,2322.9634,1523.5377,863.6049,1043.0754,1411.3383,352.77716,241.21234,2145.9595,1209.7151,324.7424,1155.7345,184.46735,356.5178,63.90248,820.1505,210.7565,291.29013,235.52321,292.49667,304.0173,851.7336,509120.66,2104.1638,2531.6777,265.56552,386.01016,60.85284,532.3653,286.23047,334.19037,477.51498,700.54126,324.72757,0
254.13252,542.4569,2742.0063,428.96262,75.33859,1538.0255,103.36279,4305.4224,1054.9686,8034.1826,4388.0317,1251.5553,6219.9663,8000.884,1524.6022,4065.7917,4791.076,3570.922,4424.7627,1456.2222,1676.3047,8204.011,503.31604,2363.7554,5057.015,920.8365,4904.636,9684.994,1129.7164,7982.314,7066.4243,363.79468,299.5291,1586.495,1509.0756,102.49306,626.29333,3108.7007,1692.9888,384.71317,784.29065,445.65027,42.005215,35.513836,499.27332,320.81,639.9569,153.26791,1589.1014,1070.8707,65.08549,337.1549,2421.6895,186.38432,3085.4814,1109.4965,46.348236,129.81749,123.008415,988.7747,556.5159,368.95468,747.8483,3415.057,38.121296,34.372684,152.84303,530.8164,15.148559,58.49593,22.618284,781.86005,855.1754,132.12785,24.016634,195.25555,16.997677,2085.4517,1136.4056,922.1781,418.03644,784.41626,1227.2206,1129.0519,4344.4546,148.63098,293.38885,666.1156,476.36258,1614.008,641.13086,240.03706,833.6477,600.2101,121.92745,250.61366,4187.2627,31.335215,2810.2922,2596.6387,7871.184,7993.214,709.39453,316.27078,5671.0527,24.284859,1924.9835,7531.1978,366.30652,7869.2056,1221.7605,2198.0234,1527.7863,830.291,7156.9673,1123.8824,174.68765,528.8883,7601.0146,3025.4019,501.70212,2738.4226,2612.2454,2358.894,7699.5273,2585.4214,432.33557,189.44199,795.2382,308.73404,45.9127,469.2024,389.21313,1.7694511,213.96591,7505.727,3555.1814,61.99019,2202.277,2458.2676,824.73676,3011.933,568.02325,504.82202,56.18133,466.1156,191.82634,29.83586,1053.7579,232.11476,111.85685,254.25912,514.6529,984.1984,185.37276,294.4471,128.02496,88.38677,266.5258,296.26654,2737.5437,3759.7605,307.07043,607.7817,1040.4686,1497.3312,1274.7461,221.79323,226.75296,888.44055,147.05058,858.836,274.8991,77.84637,1659.6875,2913.1943,951.5688,802.2275,1204.12,431.899,1644.4108,843.91254,1051.6328,509.81506,805.4762,128.88725,609.1384,99.13765,210.83174,148.24812,183.29398,227.80089,215.2885,345.82816,490.93216,219.13174,37.508118,3170.3037,147.03574,48.940678,238.10406,420.2142,34.30986,184.54187,402.14896,633.7885,264.72394,0
