"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
8.125588358,9.692531907,11.12868061,11.66556581,6.892546257,11.81965291,7.816220565,12.61849782,11.35884171,11.46226228,12.19645936,8.756592885,12.14371483,12.76973491,10.13177595,12.81715476,12.39534142,12.50484187,12.43670883,11.14079645,9.654580686,13.85348278,12.6998618,9.426698512,10.78322681,8.992558581,12.03949613,13.30650763,8.995981712,14.10063453,13.54864134,11.04459518,10.78741595,8.467784085,10.55388151,8.145055975,11.48337796,11.16356531,9.989530635,8.462593999,9.979473859,8.874363503,4.056555206,4.885565284,8.77817587,9.47897025,9.992905969,6.555809101,10.57696053,9.87775345,4.045323998,7.386424537,9.325475265,6.710133842,10.1682633,10.78104954,6.81208194,7.383038146,8.362564512,4.138635473,9.883205499,8.210083326,4.059937974,10.94511789,10.72682912,4.280737038,8.028895821,8.847742525,3.392268656,5.829621963,6.062073824,10.47566327,10.06429451,7.86350122,4.50817044,7.663469492,3.530154017,10.09677518,12.48911698,11.89027924,12.05932605,9.7383447,10.92446079,11.22855851,10.9758223,9.110371247,10.24821155,8.503119937,8.547128096,12.75355592,11.61756996,8.649847816,9.582570947,9.18034257,7.007750977,9.692683787,11.3102974,3.62572646,10.4600713,11.43844661,14.09278836,12.84774425,10.23713019,8.17193421,12.44083494,8.778745359,9.990535801,13.82609817,10.40857963,12.89924118,9.559301714,10.1704805,10.39083617,6.837749881,13.82159858,8.596683151,8.986789538,10.94224809,12.75117743,11.8757061,9.31877396,9.709659021,9.706242579,11.06607554,13.98788796,9.995305053,9.364446578,9.007133244,9.808370555,7.998967915,6.994282703,11.54925098,8.320063041,6.164909682,8.886407216,12.87059611,11.20699336,3.964282014,10.70768343,12.04754593,10.34230677,11.96211938,9.571007572,11.07809306,6.228844086,8.3135851,7.585797813,4.709535892,10.80329416,8.006417571,4.290513191,6.887746966,10.15281129,10.23077067,7.911375013,7.972080149,6.228732279,5.518457023,8.326326352,8.579790763,8.678056513,11.57626878,8.695267508,9.925606309,11.49889051,11.13237517,7.013056681,7.986813429,8.175547534,11.05617454,7.426998931,10.37751309,8.130315761,6.109980275,11.49114286,11.41840301,11.15358461,10.72976629,8.99341507,9.367306898,8.402946537,10.63975134,9.726857922,9.760450216,9.517682752,8.73351712,10.40862843,7.55274614,7.957361527,8.618956026,7.843055741,8.78566491,6.957084532,8.608840322,9.712786169,4.840959403,4.135106778,10.23009825,7.876037426,8.370455157,8.196541239,10.5234159,6.848642474,7.898189801,8.935945176,11.03318202,8.632741345,0
7.892261233,9.586103331,11.27661984,10.43388741,6.778789845,10.72250977,6.504365776,13.06521936,13.3191059,13.46364853,13.46478051,8.735278561,12.78141688,13.37690225,9.925620459,12.0844478,12.01585534,12.85406963,13.41253869,11.29138931,10.21615396,13.64299598,12.06879745,10.37631756,11.77174911,9.668526523,12.18071263,13.04110413,8.118434546,13.84997454,13.03868621,10.19507467,9.928678356,9.828218387,7.491540794,8.106323755,9.121653585,11.90421785,11.0277215,9.108398755,10.30888482,9.293211765,4.242154963,5.46862055,9.002961784,9.060072579,11.76518285,7.931504356,10.48964174,10.14261293,4.215892903,7.033461656,12.34434973,6.38707556,8.907772738,10.43093504,4.870923188,5.863931641,8.151903063,8.356331807,10.80879578,8.792182306,4.089111204,12.59719594,9.919383375,4.583746835,6.737857478,8.57900058,2.903651042,8.572026911,4.974933159,11.68447535,8.898825827,7.091387286,3.600348912,7.435173791,4.029955601,9.72906342,10.34163055,9.730389118,9.186927318,9.935929259,10.54352072,10.36541434,11.92260334,8.384376111,10.25602438,8.853422761,8.781298884,12.2370425,11.80642976,8.655293348,9.484746538,9.863342895,7.277688959,9.117629146,14.05951002,3.710324852,12.93115668,12.0218339,13.81456047,14.07080023,11.24589492,9.097237983,12.96747532,6.703030446,9.768482979,13.6263077,11.35467743,14.17775672,9.509781661,10.34904803,10.46903266,8.01556826,13.55426314,11.34672424,9.388328429,9.764492387,14.30553542,12.17963226,9.122118053,9.295625509,10.65941199,11.18888778,13.73491042,10.71718713,8.802348635,8.607564109,9.281744178,7.657934082,7.784508285,11.60951481,8.242206963,6.480352799,8.385678398,14.09171353,12.97438263,3.544157577,11.59043471,12.27958235,9.665596956,11.33175187,9.641843332,9.890148734,7.399471689,8.869268379,8.699274168,5.537794877,10.12465577,8.375168688,4.261765781,6.768248892,10.31653076,10.5824597,9.959933072,8.313121021,7.56029417,7.054564074,7.192378403,8.49713267,11.19527699,12.9413411,7.868487154,10.31611581,10.31087192,9.911229539,12.97807757,8.151735405,8.104422442,12.87552873,7.585475567,8.598855516,8.549650375,7.767030507,11.62741449,11.12499195,9.463550902,10.68935844,7.801242549,9.421060625,8.520741077,10.47171571,9.810176033,9.599111724,9.636247836,7.904830486,10.77643796,7.241172665,10.42497996,8.011063549,7.881838237,7.64195488,7.05574889,8.393038187,9.49794917,5.279056211,4.069805664,11.60767311,8.41389195,6.770508138,8.293217183,9.655358297,7.510893796,9.032406676,8.358420514,10.59847486,8.699637055,0
8.227343282,9.994697561,10.60154896,11.53666096,6.825491135,11.83215748,7.724806743,12.43382969,9.873961778,12.62759745,11.9722232,8.666761578,11.44390924,12.42812941,9.950236502,11.03423663,11.79669506,13.09008641,10.12671248,11.06986133,9.792192541,14.40221163,12.4107644,10.05948302,10.6513788,8.388711952,10.88509833,12.14099222,9.263822441,12.89845888,13.14672516,11.41189476,10.77971158,8.37578741,9.178628959,7.776366879,10.15986978,13.34193599,11.93968354,8.602863592,10.05229946,8.681431778,4.084716849,4.838856631,7.869458807,8.757955341,11.43581702,5.223754094,9.971522559,8.781759085,4.173622927,7.132895421,10.88973056,7.036314703,8.973514266,9.068344647,5.477318226,6.624412618,7.513593131,4.31873103,9.864843253,7.355950807,4.209058725,11.58529788,10.69307624,4.666513429,7.715282676,9.262096106,3.208080753,5.57502566,4.912814773,9.175577227,8.648551093,6.321305583,3.821411877,8.851443227,3.885336441,8.387461988,10.79476372,10.03284438,9.46578947,9.267353177,10.26757752,10.5039167,9.676337256,10.13063263,11.1766188,7.666677274,8.431518723,11.89703716,9.951046941,7.333272628,11.34778779,8.57684468,7.400058071,8.830959494,7.582251596,3.782369987,11.0083191,12.63457718,12.88015764,12.87972001,11.10605431,7.541298387,13.11800368,7.732907982,9.166545074,14.44882528,10.48446302,13.02757138,8.626029466,10.75008448,10.20717419,6.983381732,14.44396907,8.917237713,9.629980394,10.26115985,12.70865672,12.43649918,8.078530569,8.9711253,9.2740652,10.17951488,12.7229938,10.6664109,9.663629058,7.722088496,9.703371054,6.831135947,6.386292678,10.10699987,8.324789209,6.259286756,7.681866323,12.90192959,10.52502056,3.853129738,11.69194837,11.9357737,6.947748632,11.92586209,8.802739403,9.857219631,6.058282741,8.808817522,6.928069263,4.553445682,10.99313628,8.499190024,5.814515928,6.671139049,9.959642781,9.671373804,5.932165703,6.745809523,6.436250453,6.756961453,7.138469362,7.617480941,9.656305204,12.11213885,7.982765521,10.11561553,11.33316031,10.54071744,11.62608594,8.338142082,8.437576423,10.55924851,7.213633785,8.747689495,8.688581751,5.496772112,10.80489459,10.75974617,11.07480814,10.89030909,8.970339659,9.206999152,7.082025803,11.93002706,10.63749418,9.891049073,10.31989573,8.205154894,10.60354736,7.924992512,8.332490655,8.029282666,8.09765344,8.472068149,7.819746999,7.96420492,9.058946195,4.898446336,4.065243445,10.15006257,7.782442603,5.56069534,8.008690146,9.356513415,6.420314621,9.088855642,9.774306026,9.637923053,7.338712304,0
8.559017382,9.532451706,9.816459994,10.35380897,6.7093285,10.99801692,6.850258034,12.21844828,13.06079485,13.22166019,12.49074945,9.42028438,11.88603014,12.65911483,10.32867279,10.95645344,9.990083117,12.47350046,11.34412752,11.58950521,10.410455,13.89697433,12.42415881,10.92475562,11.25072088,7.857432827,11.40894783,12.81139773,8.831125483,12.49226069,13.50078889,9.959296009,9.518377361,9.151426468,8.477444485,8.415756227,9.605003917,12.42808501,10.82634247,8.161433075,9.049852844,8.804405569,4.213807138,4.776473434,8.60180701,9.142433105,11.45542058,6.103564676,9.718309665,10.79376936,4.480452404,8.479981304,12.06516209,6.698215705,9.364007715,9.717526617,3.761775978,7.637847575,7.041351102,4.924036259,10.01851542,7.935093126,4.132147169,12.90061025,10.36809262,4.950676936,8.058283156,8.662811364,3.037334344,7.383153195,4.650298148,10.77947803,9.797454123,6.612815162,4.019587813,7.933879886,4.124874362,9.577515693,11.80662387,11.25581863,10.26420968,8.745561767,9.539890197,10.18504661,10.69376527,10.29958745,11.34684802,8.034153016,8.321618579,13.29101504,12.6463085,8.896072737,10.25725666,8.972297571,7.303572013,8.078278012,11.96988769,3.312708495,12.46841851,11.79826786,12.50576049,13.72170625,12.25368153,8.364042848,13.37990468,7.166401868,9.99072624,13.83529912,10.23147779,13.83222788,9.199045118,10.39405618,10.37450591,8.414570529,13.83597131,10.66748935,11.14756407,9.368942999,13.6829621,12.33986729,8.380009827,9.146041161,9.965823392,9.299347142,12.39787433,11.84966699,9.506510222,8.594032172,9.541411044,7.882077493,9.714692325,13.18338073,8.223436282,6.598977758,7.82968861,13.74582775,11.1162475,3.722256171,11.79973779,11.68721425,10.71420977,12.34681854,8.276648473,10.57891922,6.663296207,8.895212779,8.204006912,4.396950976,10.56692098,8.029183778,5.540537815,7.234110967,10.4060839,9.691865754,7.109562308,7.503488425,6.87831482,5.809707099,7.155269572,7.893002603,11.07220148,13.37238134,8.031798764,9.751310486,10.91995025,11.06273857,12.97499844,8.118351062,8.264623117,10.98202926,7.54760705,8.314829298,8.544189366,7.187754363,10.38266462,10.33423583,11.53081186,10.89639226,8.615351471,8.835981013,7.070366194,9.848859822,10.62774471,9.42028438,9.40243374,8.083351026,10.9142436,7.272004301,10.66674561,8.727376532,8.088465008,8.007637717,8.183401186,7.834487603,8.731532736,4.965753789,4.353502474,11.17219547,8.004825353,5.429637783,7.874105567,9.507948996,6.465499605,8.513736456,9.465363744,9.131799381,7.644489069,0
8.059233635,9.517334697,10.72415656,11.46959426,6.708351211,11.61491297,7.11045349,12.3769861,11.14500178,12.98621553,12.98665007,9.507342729,11.3647663,12.21022979,9.728594514,10.65661706,10.97165887,12.73133052,10.54141501,11.30186413,10.02199191,13.80675531,12.47185971,9.732843553,10.24604488,9.674633464,11.50123227,12.76058137,9.83202908,12.87532388,13.89100369,11.40105846,10.75973797,8.33744115,9.456796826,8.314682783,11.38530357,12.85390095,11.44818391,9.144682371,9.068918727,9.819948887,4.483708864,4.804541143,8.108969065,8.47181848,11.29829589,7.963218048,10.82429383,9.426466552,3.980939688,6.929913305,10.90568515,6.634638102,9.580771564,10.49580792,8.256010339,8.139414155,7.655642549,4.567899089,9.641815927,7.557746407,4.050533398,12.20665181,9.610460613,4.535651858,7.067701911,8.798047384,3.002672572,7.065512924,7.114941827,9.37178667,10.56112511,5.951796056,3.877406258,7.732210219,3.685626658,8.790856601,12.04336685,11.34793054,10.5358271,8.825224046,10.4698374,10.19378729,10.96019757,10.39368969,11.56657753,7.910474143,8.197960529,11.8401149,9.997911578,10.23408866,10.03060389,8.589299496,7.284073203,8.248337185,11.5234637,3.891377654,11.51351264,12.17101423,12.81826799,13.48904709,11.79490992,8.39357317,13.18840128,9.757446289,10.71655779,13.77135963,10.36753745,13.56128425,10.11030727,10.47842133,11.04130524,9.520114738,13.7747131,9.377100346,10.13019147,9.233230545,13.33323586,12.6912719,8.025486441,9.492220806,9.296627609,9.760178321,12.68432658,10.47468551,8.963615425,9.695550314,9.766672123,7.309184224,5.935950389,9.979556877,8.31175574,6.596565184,7.245686806,13.48090257,11.670945,3.779018219,11.41721705,12.35952153,10.29702406,12.14006431,8.571143218,11.55719424,6.584722796,8.812726474,8.723712914,5.069858926,10.72458961,8.855034997,5.514482384,6.369069072,10.13222644,10.68921976,7.651347595,7.934472135,8.844851817,7.696164171,7.590921491,8.162138823,10.65953486,12.81758,8.244706508,9.827409818,11.18578462,10.92174042,13.02896165,8.471923792,8.304973484,11.1455674,7.744128974,9.196296203,8.714787081,5.526511854,10.62142523,10.99536643,10.71637939,10.55087599,8.674132358,9.106891341,8.389523056,10.68910085,10.49774375,8.951783353,10.08021995,8.7750408,11.90656967,7.081079758,10.42333184,7.659312052,7.631656191,8.623408907,7.591587509,7.347158778,8.963570111,5.212450393,3.492151132,10.30614499,7.968563898,6.281148771,7.614863532,9.922360665,6.11522428,8.294768761,9.266387623,10.65225505,7.485046048,0
8.045087585,9.606292534,11.39087674,10.83509875,6.161188388,11.15650021,6.471744113,12.65536023,14.35930551,12.84902336,13.70912353,9.260984031,12.20183061,12.93670868,10.70812288,11.89314646,12.93360557,12.89619747,12.15859584,12.56446275,9.550188976,14.32007476,11.68821822,9.789025867,10.79389068,9.490069466,11.09985727,13.08489723,8.534732005,14.33539988,13.38068015,10.66513222,10.25512678,9.614370609,10.44559839,9.39054595,11.20462255,11.44824058,10.52065848,8.53013391,10.30955094,9.960733178,4.791419277,5.552334304,8.367219385,9.112206551,13.85159416,8.100734519,9.980172428,10.49344918,3.865190418,7.716345891,11.27654626,6.283064838,8.154772799,11.23661654,8.136543704,7.501349629,8.091083724,6.940208269,10.63740708,8.355629018,5.694941747,11.59011553,9.907697401,5.369345721,7.955022906,8.65814635,2.948445742,8.177575669,5.191689682,12.1133003,10.02379447,7.343311447,3.976633972,9.320201867,4.113537689,9.365025549,11.56511748,10.88742734,10.60089467,8.931842835,11.07157445,10.84998815,10.56959476,8.159886242,10.05164546,8.654397368,8.265611986,12.77013179,12.36296179,8.856047161,9.327213112,9.622109493,7.61313518,8.698411373,12.9596724,3.405340478,11.92539044,11.4307625,14.30825898,13.48812727,13.08007898,9.713358167,13.21871885,6.354213275,10.47232844,14.25540096,10.66446105,13.51958303,10.14573893,9.803074834,9.897202896,8.742293528,14.21714452,10.21687935,11.81312882,9.245580564,13.38566427,12.22917595,8.418598803,8.485720741,9.713523686,10.04291103,14.19754334,10.17182644,9.259266535,10.18054481,9.003684325,8.31999744,7.799887951,12.23430573,7.654641688,6.129226939,8.070497624,13.52182884,13.45804349,3.920549035,10.93095955,11.78813541,11.00403159,11.24914961,8.92642703,11.27176766,7.492383561,8.560953832,8.846161794,5.158935959,10.41302353,8.713979697,4.26482682,6.853301703,9.953626816,11.08224535,7.356920174,8.804178937,8.493815858,7.067815474,7.562644157,8.891417236,10.47101073,12.06912377,7.490560446,9.827541215,10.71797103,9.958211126,11.60028251,8.302901423,9.449362399,12.79160638,7.453123038,9.199292672,7.380420771,7.432163764,11.709993,11.53244744,12.56328866,10.81099925,8.30157871,10.73558183,9.723738743,10.66470155,9.925635229,8.691346058,9.378799165,9.883269711,11.09317727,7.972923023,10.39757329,8.057799378,6.854740773,7.739133451,7.058674753,9.385172234,8.971322963,5.704490898,4.726448339,9.989116378,9.045699084,7.301941584,9.036260947,9.061774318,7.536987898,8.572065593,8.421274702,12.02589145,9.078666873,0
7.914331452,9.696393297,11.85356313,12.28905989,6.677848052,11.17360068,7.381776532,12.70657014,11.39315899,12.13783748,12.35740362,8.611232601,12.11689056,12.97732031,10.35501974,11.89029626,12.86167489,12.65962494,12.5039494,12.55,10.49242382,13.88192154,12.50151419,10.10088814,13.14403288,9.238583557,11.56943271,13.44899781,8.810249683,13.36866962,12.84231193,12.53959968,11.64128258,8.93445323,10.98303162,8.032526325,11.47322921,12.34696771,11.12804272,8.695882922,10.54933266,8.897526611,4.15547564,4.704594614,8.730940293,8.5259124,10.58676453,7.375126158,10.78382783,10.01843364,4.29395339,7.147374676,10.86345474,6.104093361,9.177311645,10.971865,6.598726994,7.612887868,8.712212878,4.76140476,12.30305233,8.870288131,3.844644801,10.54486622,11.08059977,8.921932345,6.253608468,8.565661583,3.004136763,5.624987903,6.064513018,10.56244735,11.21881033,7.432027803,3.742094253,9.153732292,3.628986539,9.578948417,12.24085954,11.39944305,10.67475203,9.326483303,10.96457136,10.41630106,12.57589728,9.715017511,10.99702355,8.196714898,8.10940168,14.10083762,12.54171612,10.12742663,10.52714516,8.970861543,6.385331773,8.760195168,13.85450027,3.450447439,11.37195259,12.12083077,13.3396915,13.52003328,11.68473452,9.181032512,13.85730701,8.413900957,10.1321071,13.8827417,10.96971544,13.62062459,9.579481146,9.954158998,11.00751049,8.452158277,13.86232437,9.044318906,9.538629576,10.48108461,13.46909692,12.25913025,9.036302535,9.170671474,9.714857913,11.32208241,13.1960545,10.53237574,8.431133876,9.321904457,10.12201771,7.393986643,11.17601602,12.72515894,7.820744707,5.862842404,7.893228075,13.57167468,11.20871333,3.663188937,12.52896256,12.08549311,10.14740797,11.21860386,9.301662394,11.24563983,6.609852009,8.22735073,8.738843979,5.272048127,12.06848078,7.776526569,5.260017695,6.215772177,10.27219724,9.690990149,8.369373893,8.759196687,6.289974399,4.775931076,7.821643132,8.800646264,8.647175648,11.04797787,7.377276899,10.16411699,10.53089073,9.845799718,9.03733791,7.954380407,7.357261123,10.75812766,7.340310164,9.567915026,7.979519025,5.226551614,11.37047046,12.01312462,12.41550467,10.73976985,7.957820167,9.657626856,9.975562555,10.4590587,10.36542925,9.605075464,10.27881663,8.574701653,10.11782659,8.075608055,9.134140017,8.726162552,7.370872254,7.951690437,6.495616844,8.28760206,8.671665715,5.1864154,3.290152978,10.88928205,7.463524635,6.668419183,8.08779077,9.719767585,5.967360674,9.222634951,8.511441144,11.71503179,8.7751668,0
8.147773579,9.890101218,12.19006865,12.04036235,7.211767536,11.01783863,7.209252903,12.23967842,11.26724254,12.41739751,13.06967757,8.238221509,12.07538254,12.82766261,10.12952516,12.39514072,13.98357403,13.26487412,11.81071013,11.89026634,8.372328748,13.80814028,11.68644222,9.070868006,10.83814339,9.613579601,12.37790219,12.77433088,8.830228111,14.42417771,13.17413936,12.19046045,11.49933663,9.097572581,9.816788796,8.637839086,11.03006919,11.34907917,10.46782326,9.247081039,10.34946879,8.84735322,4.220432452,5.165788928,9.617297814,9.567702875,11.56269942,7.774062471,10.96554308,10.38495114,4.221344518,7.983516078,10.51385488,6.826796825,8.697215442,10.20358768,5.199409166,6.687746462,7.507007589,6.259355298,9.997081709,8.770739186,4.454316213,11.38847307,10.65031761,4.743393029,7.012859604,9.076189545,3.118775281,7.855344358,4.927160633,11.52076066,8.857751152,6.745875522,3.777541967,10.1430217,4.124104437,10.41234127,12.44382719,11.65533574,11.60283978,9.291667022,11.7498431,10.36977938,9.319818298,7.47407084,9.2138324,8.879439236,8.546199491,14.09604227,13.29709504,9.371710686,8.578338387,10.6258511,7.738505111,8.477381995,13.68544119,3.773794929,11.55015909,11.75199549,14.44013472,13.08881373,11.94942984,8.25130575,13.42724922,6.802714333,11.02278418,13.82673413,10.76047815,13.16158155,10.72910129,9.422885445,11.0888272,7.092441112,13.70195042,9.815126127,10.44608462,9.78384119,12.94689199,12.22731588,9.037689458,9.061637675,10.20095477,11.12004083,14.32733424,9.449337535,9.233739182,10.52263865,9.988968325,8.897736375,8.534064647,13.43431148,7.644101356,6.205523259,8.482547108,13.03563651,12.58625955,4.00852164,11.23200193,11.56968041,11.22595544,11.59539785,9.828238826,11.76716545,7.38806049,7.918877077,8.072973583,5.245109129,10.74372104,8.789213581,4.111879374,6.862369796,9.984238129,10.26697133,8.64336201,9.431145919,6.850020235,5.803186969,7.508318191,7.556532708,9.627059335,11.81039914,8.564395048,10.55251441,10.46504516,10.66592976,11.18017659,9.049852833,8.122197367,11.6936418,7.390953225,8.890623724,8.494053532,6.911589949,11.64520941,12.03507027,12.40270635,10.92373917,8.133186977,10.00256363,11.40892822,11.22596996,10.37916655,9.408174451,10.62407399,7.57301761,10.87543857,8.479133055,9.61218509,7.64396094,7.565106528,8.846452868,7.219416965,8.964468687,9.370427492,4.994499778,3.664771971,10.81307023,8.832416078,7.455664356,9.358209224,9.141804039,6.241193387,8.427092454,8.559237375,10.99722963,7.219395119,0
8.881434218,10.58158726,10.45947696,12.62351216,6.328062858,11.03474072,7.989092331,12.5989592,11.96662433,11.98284387,12.32567303,9.139878391,11.9074415,12.48126246,9.559373293,12.64068532,12.44106691,12.93753949,12.00342869,11.46923353,10.42024257,13.92111757,12.2424568,9.492139882,11.54395706,9.25521369,12.17817841,13.16910755,9.033629118,13.06827368,12.76216845,11.72807775,11.97376424,9.338213048,9.778026178,8.777686685,10.27479331,11.06293673,9.778070157,8.508105121,10.06336188,8.344348014,4.258510537,4.707671722,8.323751766,9.304819954,11.48673159,7.693524218,10.75696246,9.136041242,5.106703818,6.989117053,9.919247442,6.607951245,9.577147857,10.36827821,5.570745156,6.558658699,8.859323884,4.952226687,9.635323987,8.092591536,3.876008717,11.16089772,9.999551205,5.787398172,7.61313518,9.572165347,3.052175423,6.461890061,5.968964301,9.870338566,9.592292986,6.527088776,4.161623646,7.687261186,3.698399307,9.643550755,12.26936104,11.28577086,11.06389731,9.752280168,10.28343911,10.36948704,10.7730582,8.024285576,9.17460313,7.415517696,8.387170245,12.44648481,11.3043147,8.67193065,9.705333674,8.792228887,7.110057533,8.829816682,13.19294416,3.639653752,11.99248491,11.96985483,13.03399133,12.84768455,11.68172831,8.184312549,12.51710415,8.05230821,9.626321166,13.87314426,9.923067194,12.90501616,9.153262061,9.687795552,9.739646997,7.454859442,13.8702168,10.18856472,10.63819604,10.81701031,12.63010911,11.92943274,8.532032607,9.254120839,9.820787754,10.37426699,12.94863513,10.02616211,9.444472717,8.588045626,9.853243302,7.20925808,8.076562041,11.34908619,8.553077281,6.418874294,7.705963361,12.84957831,11.41630382,3.481390179,11.36937387,12.58799325,9.354135714,11.91364818,8.867030118,10.41134087,6.081411817,8.377303132,7.411709719,4.237229488,10.29833497,8.482530722,4.20763571,7.11283966,10.17980501,10.48605098,8.321960721,7.897102163,7.045162323,4.830967075,7.776652214,9.337720583,8.614679685,11.75221707,8.011226505,10.23271872,10.85221137,11.06272531,10.96725296,8.33137193,7.846046079,11.32722719,7.739973183,9.811683296,8.242783731,5.777143609,10.948027,10.66193392,10.95788547,10.77073087,8.241314865,9.189093305,8.311137631,11.03084081,10.76428258,9.207721371,10.03771906,8.601263954,9.640371382,8.225101592,8.709933792,7.72133571,7.40862392,8.642501044,7.354834159,7.917131312,9.086340357,5.478654036,4.014088019,10.33311051,7.086228928,6.96874614,7.29846181,9.138287048,6.72749236,8.706102598,9.66008481,9.288682097,8.031582347,0
8.748591025,9.620082726,10.85896349,11.27298715,8.18253751,10.69733436,6.587525643,12.60708077,13.19229191,12.09504209,12.88109023,7.967361927,12.1594025,12.84802246,9.631321666,11.29548984,10.43243785,12.90779142,11.92528494,11.38692983,9.533442762,13.87277042,12.40293936,9.304059816,9.545536348,8.499894586,12.46033658,12.43349997,8.841555141,13.28931218,13.39105182,10.87425135,10.52830836,9.498037569,9.966864556,8.805652934,10.04904394,11.83342984,10.61046441,8.584287878,10.94427758,9.990579172,4.31557854,4.362764669,8.995308846,9.12846246,10.22864915,6.702206968,10.22375033,9.906367673,3.969295205,7.02463526,10.58770351,6.461538389,9.139109393,10.7378579,8.331626617,7.767223168,7.922188259,10.89621374,9.331391539,8.328658256,4.299256469,10.85342209,10.87297663,4.790434935,7.663178906,8.803349209,2.879822556,7.319535256,6.326590946,10.62589148,9.198890149,7.934753554,3.681965425,9.431599586,3.899786188,9.863603953,11.64535653,10.78114531,10.49195053,9.342427929,10.17805372,10.37967317,10.40067988,10.68452284,12.2637578,8.044075513,8.162943687,10.80823756,9.610424122,9.15289525,9.544900951,8.944160088,6.780214292,9.081710193,11.62500397,3.515561864,12.68182348,11.56819244,13.28215869,13.36338891,12.02484284,8.245860368,13.13096704,9.283962781,8.552074632,13.81717903,10.86300588,13.48577379,8.157641257,9.997101716,10.9897001,7.170593454,13.69067282,10.90867523,10.38149425,9.523155153,13.31396922,11.30801129,8.894412259,9.178483628,9.605012959,10.17332247,13.06502648,9.73484044,9.232747965,8.940982823,11.50478559,6.892265655,5.108436094,9.465231595,7.815358856,5.807178633,8.303402259,13.4032248,12.16510635,3.678839969,10.12155473,12.35024517,9.474959052,12.08165906,9.068050884,10.64652553,6.150779102,8.132014094,8.826526994,4.569302983,10.60741343,8.0511667,4.692938232,6.299803483,10.20754463,9.833958384,8.627076469,8.958275567,8.415389684,6.241489445,8.77497234,7.695347407,9.137700818,11.29865644,7.754482307,8.278262861,10.47640442,10.5526963,9.693257356,7.580271643,8.518884951,11.3957271,8.351306494,9.046955437,8.725509809,5.984518948,11.14831796,10.85137329,10.4781445,10.34340373,8.932469348,9.041911295,7.84893061,10.34322744,9.976488524,9.586602361,10.20350198,8.995388591,10.04300572,6.962750453,9.859386343,7.858266842,8.155023812,7.978775248,7.332725128,8.185953027,9.023947716,4.963247754,3.868212492,9.947828298,8.297627152,6.678370758,9.953717946,10.02778137,6.206847222,8.555098647,9.249090343,10.73520102,9.392462896,0
