"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
8.185261409,10.10839234,10.79428697,10.2183511,8.419803278,12.15099006,7.990068919,12.28885248,10.66876299,12.82318849,12.54995307,9.020937221,11.33759946,12.1449448,10.88958557,11.58099081,10.33668425,12.96855597,11.07375913,10.58583337,10.43949732,13.42645735,12.21177994,9.449167391,9.355098423,8.935892517,11.11364694,12.47807156,8.724834829,13.15512996,11.68925765,9.88877836,10.00391056,8.004004749,6.407694982,9.04133632,9.886178813,10.10522994,9.865985282,9.395862021,9.861984063,8.721519768,4.34602255,6.417892293,9.144734142,8.198978558,10.40428287,8.287420605,11.1324139,11.08531162,6.50936941,8.753672372,11.47934031,8.269661233,8.187138494,9.520055183,9.764706848,7.396038793,7.633649375,6.83450917,9.037953532,7.699455693,8.135736436,11.79002791,9.854173684,4.557434535,9.255228443,10.07282577,4.1294138,7.281296496,6.635326845,10.69796418,7.757658634,6.078905509,7.70299083,8.394441808,7.404607026,9.038521595,10.15334609,9.577386691,9.191358317,9.154207455,9.606900081,10.0586885,10.26288553,9.090865752,11.59328327,8.607462259,8.457976491,11.51521861,10.7111367,8.884639205,9.858350258,9.824563227,8.381183291,9.685514472,10.57401734,4.671524703,10.24118106,10.99888109,13.17051608,13.05312418,10.6597325,8.643526391,12.51658392,8.51005405,9.835551598,13.27284619,11.77037811,13.18759064,9.208937131,10.08507771,11.22791676,7.571431312,13.32842791,9.519691847,9.690817302,9.470609424,12.47443657,11.3568301,8.704377622,9.335104004,9.032673012,9.603667477,13.06150215,9.464468408,9.495196767,9.648668513,10.03229284,7.872966873,4.996793885,10.52786783,9.026495796,6.668666382,9.66672365,13.09125431,11.72830431,5.645559858,9.855676061,12.04567953,9.788204533,11.92043345,9.847812094,10.92451213,8.046599839,8.47811954,8.445313844,4.979429072,10.73432655,8.612992406,6.254156072,7.557946958,11.31857981,9.681534859,5.194278804,8.318767573,7.713498388,9.004504373,8.562187094,7.717742829,11.16133865,11.9538709,9.307250436,8.985645424,11.43673353,11.07064288,10.94303782,8.22608851,8.749786972,10.82300363,8.367555742,9.442666012,9.673099469,5.681089299,9.642586257,10.37173202,10.05531313,10.55771094,9.783552398,9.925163081,8.614401144,10.41106408,10.44398209,9.885971531,9.777810812,8.454887694,10.55418433,8.030377142,7.672527757,9.627831341,8.651586754,9.221045044,8.605202086,8.921341824,9.062960142,10.47499463,9.804061863,8.916529648,9.2976905,6.652415856,10.08621056,10.34694047,9.14937959,8.825950163,8.733403234,9.948062094,7.967183442,0
9.066979023,9.648028893,11.18001876,9.74076095,9.705597062,11.7084702,8.005330391,11.99233885,10.76659088,10.90597079,12.16734452,8.698588722,11.04387409,11.99029136,10.63322573,11.59575317,10.29348381,12.66645715,11.01608761,9.921317706,9.059655751,13.48934047,12.16722068,8.343078918,7.251902074,7.75318801,11.1608219,12.15289138,8.412605607,13.18457812,10.35746011,8.472964832,9.422030442,7.414604066,7.022249229,8.783332867,8.833322991,7.575943863,8.065709855,9.004628499,10.49065555,7.765660549,4.390471511,6.392178165,9.21292564,8.202930848,9.062540929,7.127969302,11.10565516,10.99161342,7.491109955,8.517470031,7.645731876,8.601330987,8.871315942,9.43468917,9.078830925,8.242114815,8.797328147,6.677068003,7.667563308,7.307611871,7.413644736,10.5296711,10.16427307,4.327562795,8.727022647,9.905738427,4.00590957,7.559334212,6.399149595,9.687495864,7.579183311,6.190630354,9.590118098,8.179174718,7.522518438,9.836251048,9.290195351,8.81250626,8.441411088,9.591547908,9.941136999,9.953970025,9.523985819,7.502437034,9.804942842,8.57753541,8.247664411,10.3858576,9.37215056,8.192580863,9.122185276,8.666116881,7.607465908,10.99703435,8.715034357,4.439385332,10.64622702,10.75146756,13.22715849,12.01448435,9.434656321,8.798354325,12.48788272,10.04348225,9.673355293,13.39652104,10.9810188,12.30152172,9.113396336,10.1196112,10.67556275,7.548801721,13.3745863,10.14861172,9.36262745,9.515186021,11.39162121,9.972867845,9.755719019,9.77775652,9.300796329,10.19365109,13.03528156,6.696696631,8.649205648,10.12671502,10.20506033,8.022609294,5.021529672,9.263571201,9.58062294,7.201014168,9.53078559,12.0494454,11.3674591,5.531249185,8.409532461,11.55777172,7.014079502,11.49488603,10.29891038,11.38539637,8.614159044,7.682982777,7.332320856,4.90710326,11.1687908,8.154890785,6.144789453,7.758721699,10.2789546,10.02130752,5.626215569,8.261390425,7.011357726,7.657618668,9.14873743,7.702908927,8.678753105,10.42472993,9.133759025,8.945672847,11.22340395,10.89155554,7.837097501,7.792904059,8.040816121,12.2943565,9.022390516,9.1730272,9.107722161,6.052667601,9.159092899,10.70208063,9.009023617,9.881279364,9.891401165,10.11088933,7.500805665,10.25687162,10.70001762,10.02009707,9.822264136,8.357687549,10.02359344,9.611642032,8.188287443,11.71022341,8.515801501,9.314062506,8.113619445,8.276904495,9.092623472,11.59939984,11.046451,9.490794555,8.603034558,6.640279777,10.17250036,9.671030729,9.206080369,9.313949162,9.045238766,8.542096351,7.764962825,0
8.62380851,10.33425314,10.55040844,10.77851993,8.337956259,11.7514721,8.09139602,12.49136445,10.74724123,12.88889454,12.73094997,9.139444372,12.00158433,12.85718974,11.0941933,11.46853965,11.10840825,12.56999169,11.71152962,11.24003586,10.20049146,13.66514611,12.13957226,10.26496678,10.16938521,9.213562667,11.79497628,12.69918886,10.02769197,12.81790444,12.58471028,10.97587801,10.61648334,8.767957765,7.931465143,8.259103985,9.686793133,11.12447753,10.80361352,9.217444424,10.36254343,9.5084585,4.626242884,6.691396267,8.640671335,8.494840455,10.76944404,8.421292546,11.08016264,11.34434734,6.488157134,8.279157125,11.66259823,7.952334875,9.136109681,9.113293553,9.838651813,6.72461055,8.221468491,7.180870215,10.15227956,8.024747551,6.846859367,12.13399063,9.314484168,4.481314567,8.837140113,10.15646027,4.056318241,7.737304925,5.974665333,10.35789832,8.177970952,6.985258067,5.599642071,7.377106591,6.899591155,9.714970399,10.70685139,9.988168445,9.422271266,9.336853899,9.419616103,10.82264691,10.81148359,8.335090364,10.50305186,8.931316108,8.229781701,11.18909819,10.31015712,8.769318629,10.35042602,9.57710885,8.623177062,9.445757943,11.83544646,4.428784819,12.17846818,11.16507186,12.83979346,13.15708324,10.74280711,10.32008883,12.46735161,7.924497362,9.59607903,13.59433334,11.45607679,13.17331056,9.037696068,10.31108386,10.63840597,7.883455098,13.68829357,11.63535418,9.390138207,9.543070778,12.59398037,11.64473326,8.903180014,9.709303001,9.945699282,10.77911954,12.67395785,10.24166131,9.189366046,9.095938311,10.48742413,7.796227494,5.0312923,9.988249354,9.223390723,6.703389361,9.52886138,13.1201435,12.09838538,5.421405816,10.5717196,12.30891408,10.07345541,11.73340531,10.23055549,10.42857759,8.02573327,8.531848819,9.30865694,5.3422117,10.48340023,8.860958257,6.08162484,7.146241043,10.114021,10.23114371,6.418864268,9.11105147,7.663988332,9.073005237,8.857699434,8.5984812,11.44560244,12.17358257,8.786936981,9.719449126,11.13982373,10.98985886,9.818336252,8.408706911,8.150525252,11.10121086,8.108970325,9.554028281,9.063222335,6.054456784,10.22535764,10.01462834,10.27022027,10.00565179,9.551646637,10.22498638,8.957116271,10.11721754,10.1525839,9.74744801,9.300754743,8.662029875,10.44078196,8.077219452,8.477983443,8.441801319,8.390785849,8.729843472,8.341087846,9.078450065,8.661627451,8.119557523,7.508919075,10.17318596,9.214447178,7.46061494,10.28153078,9.79011615,9.305302895,9.01603327,9.198783567,9.847513132,8.097661917,0
7.387987315,10.61896946,10.5618187,9.361202187,8.746832336,12.60923472,8.621370193,12.155771,11.04093662,11.16229925,12.57846353,9.032698071,11.3989094,11.95892913,9.971648802,11.06377845,8.717739818,12.59632275,9.24244496,9.982944833,8.907017478,13.42049794,11.6644639,8.699897667,8.868336394,7.570669537,10.7409178,11.88567223,8.287828236,12.66545779,11.68434904,8.334827056,8.475662091,5.954727993,6.370508791,9.04789306,9.411047184,8.840784397,8.136311852,8.481223301,9.805370766,7.289037827,4.832375231,6.08018974,7.782971906,7.671920541,9.119145866,7.045574198,10.66976845,10.4777599,6.838032561,7.12518031,7.830904858,8.70786392,6.902603091,9.678026977,11.78443176,8.405117774,7.391216239,6.611358085,8.714832635,6.881718686,6.733638402,9.424152564,9.191083132,4.206802507,9.168109429,10.45360749,4.315688249,7.621927954,6.235114122,9.625847868,7.885795485,6.301033565,6.92090489,7.538874041,7.946311701,9.821444627,9.253522503,8.935993146,8.450261957,8.648513756,9.401427735,10.28234589,9.242546148,8.701984198,10.88520058,8.292376849,7.786434987,10.06596795,8.135451666,7.711234484,8.329536873,9.273218445,7.707717203,9.872052176,8.055609978,4.648040707,8.888516163,10.57863109,12.66915864,13.30387788,10.68384982,8.319654663,12.17755212,8.49597101,8.714517,13.31175422,11.89552051,13.35325944,8.667240515,9.6096596,11.12683853,7.637753755,13.35019386,8.638648897,10.12288696,9.331293176,12.79451583,11.38490428,8.672060865,9.636195091,9.576284418,8.674235484,12.53068178,8.933368252,8.520470048,8.091340544,10.66137892,7.716100001,4.919337788,7.846015168,9.305840717,7.083814204,9.186272158,13.31700985,11.60501201,5.30078537,7.556015483,11.7400757,7.830649072,11.51360708,10.58620412,10.17188787,8.061886209,9.137008954,7.497903799,4.420423508,11.01848334,8.627730333,6.270176006,7.914045924,11.72578167,10.20389005,5.264197092,7.976870889,7.727024136,9.003407772,9.441418855,7.492792373,8.015691789,9.106608943,9.731525669,9.886022198,12.30115641,11.09336801,7.707808125,8.575119545,8.465724393,11.19841713,7.725225374,7.841761976,8.956891278,5.496590159,9.318889453,10.0193182,7.858473109,9.712167016,9.824869143,9.937948666,7.218397869,10.16473564,10.04362354,9.694879711,10.10487928,8.180799372,10.39325699,7.822701862,6.896572013,8.560500422,7.972784788,9.422396978,8.436207333,9.287217295,9.248737437,11.87405074,11.22651237,10.10178455,8.427632395,7.833436625,10.28541245,9.657454832,10.23934408,9.014039393,9.618049172,7.356838382,6.046352924,0
7.587556524,10.14834306,10.37246985,10.62526846,7.528131902,12.16959602,8.071627587,11.81648674,12.20977864,12.69212598,12.52288432,8.779076328,12.25549099,12.87601597,11.2026652,11.98483186,13.50695186,12.29605603,11.37503508,12.00769582,10.26014822,13.42049794,11.68686295,9.988008461,10.05321065,7.831525396,11.93714427,12.8890812,9.612971311,13.29750728,12.30546662,10.25397367,10.25681063,9.735167922,9.156797576,8.723465445,9.913163619,10.99860342,10.52979507,9.203217396,9.945275452,9.865466022,4.319645436,6.157060463,9.008049913,7.343754494,11.31125283,7.157175228,10.64214272,10.65644551,6.319424857,8.066656286,11.07875039,8.67935406,9.61016263,10.29800338,8.051753768,7.81684211,7.175457084,7.185013792,8.193476102,8.128430319,7.088381574,11.35802193,10.21222425,4.68801528,9.025595052,10.06678148,4.693326348,7.284064261,6.603826206,10.35822934,8.827989554,5.87693802,6.343053761,7.601416623,7.506954321,10.41716284,9.842056081,9.50374746,8.842001744,9.36824876,9.4497078,10.91591488,9.431923119,8.294077026,9.911958039,9.433204256,8.570471806,12.41342544,11.81036933,10.35972846,10.28866559,8.964262993,7.220314575,8.895484134,11.36963878,4.339761826,12.7194983,11.04499922,13.30736294,12.79950097,10.92995146,8.587687934,12.80103139,8.104332945,10.25126027,13.31501717,11.32056324,12.87917393,9.515087951,9.881982097,10.31709412,8.014530836,13.32539486,12.48886321,9.786982503,9.992529821,12.2301596,12.22588719,8.221443449,9.970661749,10.52263491,11.16900924,13.17428376,10.26372922,8.679670448,11.1014284,10.28813397,8.024751482,5.624480483,11.75456229,9.013447839,6.712295974,9.51232041,12.84342601,11.79251978,5.452319595,10.71272565,11.41116068,10.59644383,11.55418817,9.220631689,11.76409386,8.39976054,8.645224105,7.598834164,4.863896169,10.4888593,8.287598061,6.414762625,7.817885326,11.23406573,10.54584626,7.942995441,9.6622003,7.245484642,7.64645267,8.946426939,9.953558942,11.45023071,11.26822786,9.00751926,9.941025274,11.45295075,11.07985359,11.46090564,8.175336629,8.343502099,11.01138119,7.988232242,9.978415348,8.788719034,5.991258543,10.55188897,10.19683149,10.18837153,9.846158584,9.558970744,9.243747436,8.067112368,10.68378375,10.02393647,10.35348844,9.775563233,8.394484249,11.15195175,7.415846765,8.602562811,7.94143465,7.976782939,8.309189612,8.676586043,8.822691997,8.896467377,10.79943777,10.04749395,10.8718108,8.724213105,7.928268354,9.573979286,9.544346993,9.380588177,8.07890758,8.696837258,10.09195511,7.070791448,0
8.348517946,10.47953145,11.16748062,10.7368671,8.407634025,12.17432833,7.218123272,12.13815786,11.06113706,12.70321727,12.95564141,9.304927229,11.57540016,12.28782998,10.96459402,11.5786892,11.12062016,12.64355364,10.96819065,11.789341,10.3116846,13.27726449,12.15792594,9.631301753,10.84568701,8.622682709,11.37174314,12.93391915,9.899612177,13.0408364,12.01604383,10.79224794,10.66419546,8.545884923,7.752725721,8.983277865,11.10451196,9.859252432,9.69874436,9.143704817,10.16702948,8.712839327,4.536765082,6.177899722,8.967511242,8.306073496,11.21622123,7.905705517,10.84624032,11.08386531,6.168128885,8.427330359,10.75002011,8.342882752,8.844202683,9.441868683,9.59603318,6.48309767,7.298222231,6.830922783,10.11766352,7.865700162,7.680693765,11.49087386,9.640153222,4.171164153,8.775733223,10.36325272,4.014782604,8.079970989,6.501193453,10.43419871,9.371055375,6.667569393,6.96901153,7.908532921,7.160538896,9.844892939,10.34407029,10.02463252,9.672528518,9.353880433,10.04574545,10.42374113,10.95211774,8.898811385,10.8910181,9.196608498,8.309585728,12.4079868,11.44060175,9.61666448,9.594024617,9.370512468,8.02604133,9.511344679,10.59089521,4.604478371,10.51841755,10.99113227,13.04159926,12.7478647,11.12377194,9.572375222,12.57070294,8.473433367,10.91055035,13.2209612,11.38210912,12.75768847,10.37327427,10.14288575,10.44274336,7.841104083,13.23428928,10.24349434,10.34721904,10.06248106,12.07632315,12.29103001,8.657123089,9.776010629,9.258608964,9.678131801,12.87806178,9.802967538,9.154532023,10.07429086,9.390903049,8.442790491,7.643166799,11.47484208,8.985794315,7.063599312,9.378828717,12.70267328,12.18199518,5.120403078,9.888076549,11.84228929,10.90552722,11.98939122,9.667464238,11.01669273,8.661275425,8.77621241,7.972384511,4.505271847,10.70190112,8.737085725,6.72663646,8.197573848,11.12537838,9.996557388,6.041692512,8.549353747,7.439166035,9.741182405,8.996149618,8.603057324,10.9827783,11.55215236,8.804179824,9.6747311,11.66968958,11.00179353,9.59701731,8.346974656,8.298041669,11.04392,8.213017724,9.227487339,8.516476308,6.189209299,10.08123492,11.03961757,10.9451322,10.49253003,9.440230641,10.03174638,8.428337165,10.20792819,10.45717614,10.60970504,9.27510433,8.882893184,11.38475635,8.100899357,8.818823353,8.569092394,7.967848459,9.385171138,8.211695234,8.849660014,8.986167168,9.784650968,9.235341685,9.488179213,9.170055109,8.336701855,9.872235624,9.757059322,9.096933664,8.232386814,8.56128351,9.916869988,7.655338385,0
8.607616281,10.4384933,10.49408723,9.398529345,8.686655003,12.66575789,8.129611214,12.35939298,10.97771328,12.00249772,13.13423188,8.949982455,10.97146926,11.66774239,10.34183432,11.07978243,9.499098995,12.50618662,9.306721056,10.80845678,10.19276313,13.44426493,12.6333766,8.816739447,9.447913699,8.835772767,10.52277691,12.03583877,9.289922328,12.69601471,11.61971742,9.251323543,9.216503838,7.134817732,6.850135502,9.108192461,10.13071411,8.884150333,8.470150646,8.707330784,9.76400253,8.585356757,4.3177052,6.643465198,8.87318763,8.262138756,10.16992591,8.893629145,11.03155846,10.92545496,6.64425366,8.082462387,9.742216895,8.567619272,7.041418141,9.364735274,10.02722495,7.862020582,7.764524815,6.260096827,8.063757322,7.248497114,6.742559237,10.30548912,9.799612107,3.984741446,9.299485331,10.36029345,4.126514682,7.734260901,6.587394226,10.30234579,7.544007925,6.126233774,7.317922169,7.444301787,7.552328437,9.231199093,9.560328025,9.553420084,8.544052998,9.360253222,9.316645835,9.853733198,9.25027935,8.520537922,10.49086551,8.484774727,8.214390466,10.97182264,9.777497908,8.092027944,9.341329915,9.362575259,7.836105625,9.704852345,7.839399037,4.514985014,10.7127406,10.49116777,12.6980378,12.22690956,10.36151086,8.028836453,12.16588521,8.983144747,9.637949751,13.37746233,11.44692198,12.25638875,9.009050714,9.941331339,10.69099025,7.693821213,13.30630256,10.31682404,9.528744275,9.140347967,11.44964976,11.77888289,7.978393963,9.374787301,8.798807386,9.342413487,12.54801948,8.906730095,9.283208265,9.092839817,9.986484216,7.543864809,5.189109832,9.688532968,9.627034374,7.06439295,9.493064912,12.26854542,12.26476785,5.63370836,9.039207127,11.91411166,8.749702671,11.87003037,11.06457042,10.38055251,7.842704972,8.540620238,8.269421498,4.561087372,10.31561467,8.997151427,6.238947656,7.872218381,10.87267826,9.620588828,5.211381075,8.820776867,7.871459383,10.13156303,8.978777668,7.569282544,9.944298097,10.35016635,9.068227265,9.404427349,12.16162395,11.22528064,8.774754812,8.344293818,8.587347342,11.29239735,8.587275887,8.816625306,9.017343589,6.042741387,9.45226888,10.33047763,9.075855172,9.996034061,9.971847129,9.948232796,8.171571733,10.33521697,10.51416235,9.601338464,10.19826467,9.137325512,10.84268846,8.373406614,8.861812306,9.792746556,8.214416988,9.707806253,8.789676508,9.393917802,8.850423872,11.51875113,10.77718603,8.987593038,8.617509527,7.930560712,9.650822069,10.00501408,9.721575204,9.024378636,8.703893637,9.09038211,7.022423101,0
8.322928751,10.01220788,11.45369995,12.04444793,8.336986903,11.32314323,7.594030391,12.087284,11.57078229,13.02601109,12.77457284,9.77934993,12.10837895,12.77897807,11.17061648,11.40693354,11.73696068,12.35117953,11.66496248,12.14423404,10.6042172,13.45330945,11.88057624,10.69861811,12.0756871,8.668324865,11.79147848,13.3546767,9.625952896,12.83148618,12.47041546,12.15236011,11.99027863,8.88173373,7.712845127,8.88792439,11.15572432,11.7947261,11.21200534,9.250494802,10.16702948,9.699365987,4.625551436,6.276190785,9.073734175,8.199361753,11.62883924,7.712439136,10.52447141,11.30023674,6.437039808,8.352800516,11.83540572,8.31813628,9.033883125,10.1979522,7.806597265,8.120492373,7.335943045,6.922866226,10.7924615,7.997692994,8.007511037,12.03108321,9.66666871,4.118443768,8.639556186,9.98733528,3.952120862,7.401042994,8.56050226,11.06358516,8.74758686,6.304824721,5.515553759,7.581780323,7.240858358,10.27158367,11.13866322,10.70772093,9.950472994,9.621988344,10.28522992,10.74559884,11.97413668,9.06168634,11.0417804,9.415954968,8.218635014,11.77038229,10.59133331,9.459268895,9.776690014,9.33255777,7.133954595,8.94498791,13.25789437,4.665482652,10.68722689,11.2426024,12.78112771,13.58614171,11.68950261,9.686093117,12.82675007,7.834046248,11.26698441,13.41465843,10.20612906,13.54031144,10.68224534,10.45588898,10.27804666,8.757883059,13.36913003,10.33203268,10.44956891,9.836672838,12.89052697,12.29895865,9.139302551,9.741590899,10.36679756,10.56098357,12.58824752,10.61858721,9.052558938,10.01281293,10.30424462,8.66681665,7.738347105,10.50667797,9.094227848,6.8962561,9.364429287,13.51051715,11.98097991,5.468968282,11.1441216,11.55464039,11.21315573,11.66397405,9.430730053,11.0830659,8.3750948,8.756720744,8.025793524,4.729918822,10.38567455,8.170648124,6.381778986,7.699229689,9.647901752,10.72507206,5.868338662,9.823978337,7.228537708,8.424552653,9.10215805,8.264307148,11.38416097,12.08393725,8.870508278,9.735424022,10.57499548,11.20650309,11.47488644,8.431103834,8.297936406,10.88527056,7.845532904,10.14757682,8.786306841,6.107968754,10.2375623,11.13677666,11.30505806,10.14232867,9.708228684,10.01710347,9.044525012,10.20231932,9.872140038,9.947635,9.620422145,8.930472463,11.20646385,7.614366658,8.64646097,8.254108033,8.10975486,8.526638497,8.122443544,8.887795587,8.731452308,7.290009622,6.239628756,11.01522858,8.08648353,8.265445355,9.612385058,9.958732743,9.062962553,8.290761861,8.803225554,10.49491593,7.755754688,0
9.162243681,10.09613618,11.14197344,10.4839585,9.205623477,12.95823408,7.460492856,11.92364373,11.23774806,12.53455691,12.73786863,9.00631274,11.23854711,12.15362211,10.85739902,11.30453027,9.647014124,12.47162315,10.73172429,11.35563629,9.681897272,13.60054341,11.49568417,8.962517137,10.75380424,8.70810959,11.24723734,12.41422754,9.270055169,12.83148618,11.61389351,10.65252171,10.46534576,7.76631211,7.40309845,9.245491278,10.40578887,9.95631793,9.621554682,9.701152655,10.17337073,8.440704962,4.73458099,6.184973289,8.251674426,8.76816203,11.028876,7.511841084,10.76666668,11.17187467,7.052937742,8.451294587,10.57928283,8.592417532,8.909089998,8.679031747,10.78594605,7.863936607,8.582168056,6.261537566,8.988628232,7.27016486,7.052559039,11.21941603,9.600946377,3.890652267,8.697083591,10.04955635,4.065030869,7.310438687,6.365876012,9.749067303,8.80184965,6.857503844,8.729086846,7.853336612,7.225332229,8.892879261,10.06044854,9.887940588,8.979775099,9.317984955,10.65118498,10.64953883,10.92442096,9.862294474,11.46450011,9.025702675,8.61564934,10.95871601,10.21369499,9.343808779,9.126553391,9.355626915,8.000990649,9.678814566,10.99197304,4.841925672,10.45234674,10.9819593,12.87161343,12.9744471,10.82155192,8.433381783,12.30651542,9.655781742,9.928975078,13.53142015,10.11610414,12.83737057,9.288165009,10.42717693,10.50032703,9.367664207,13.54107377,9.99040221,9.601186156,9.138946773,12.26957216,11.80638953,9.577699961,9.630096988,9.515210886,9.485723508,12.65758583,8.876299496,9.867449073,9.162671012,9.484485294,7.759507082,5.236056543,9.588936038,9.453717968,7.074433376,9.135329531,12.85375017,12.01889579,5.429883158,9.534354146,11.85597172,8.712196845,12.40134155,9.763053203,10.2251547,7.67463686,8.964484482,8.180346402,4.800943481,10.63661048,8.715935104,6.752684054,7.711327689,10.26718529,9.967895742,7.393726083,8.158079755,7.75499321,9.617799117,9.668850185,7.752490435,9.982725223,10.99267172,8.701563302,9.22233354,12.18870482,10.72160958,10.02972572,8.38526291,8.637001343,11.45530635,8.550520237,9.509096764,8.709288008,5.881258208,10.0054996,11.08813007,9.283302109,10.48735608,9.450219462,10.16914886,8.197310559,10.75750938,10.62570717,9.839034903,10.01043564,8.629116033,9.885630861,7.999893227,8.719615492,9.68947791,8.193441297,9.416684694,8.616939243,9.176168278,8.303609735,11.99414461,11.23494897,10.14499446,8.425120602,7.900318496,9.324599284,9.889405003,9.026906564,9.153574758,8.887098346,10.08646481,7.828133392,0
9.034887525,10.27254139,10.73371659,11.45710112,9.149333372,12.75230217,7.869554894,12.29237087,11.09909947,12.04472489,12.57539614,9.300620463,11.42930848,12.17765966,11.1193999,11.47041963,10.06574788,12.74032079,9.571507944,10.73090694,9.402839225,13.68860194,12.43385698,8.640638858,10.24656556,8.821564433,10.95291792,11.92250619,8.460576498,13.00538439,11.66232587,11.34710925,11.34180959,8.217898538,7.304766634,9.456066542,10.26170648,9.351860333,9.156983189,9.62662717,10.44052838,8.599099388,4.677340731,6.244505295,8.055296476,8.873843692,10.96525258,8.065413336,10.63312641,11.59107302,6.391622067,8.639278806,9.363703266,8.545850923,7.57907421,9.292850355,10.54218769,8.240150037,9.165778237,6.232855472,8.999026844,7.413156925,6.831807284,10.36246781,9.603266102,4.04364053,8.732503031,10.14608634,4.13173122,8.054842951,6.205442932,10.69336197,7.927118902,6.808205997,6.86079658,7.360171835,7.00671538,8.970092867,10.29453778,10.35733808,9.453839478,9.624625522,10.20479375,10.51962809,10.00336946,9.701060012,11.37780263,8.826080116,8.324089671,10.37971118,9.477751928,8.599254895,9.185193392,9.004047706,8.614594083,9.27875986,9.717836029,5.060672331,9.810400965,10.76442969,13.02471154,11.37874466,10.59896277,8.07179297,12.047466,9.216615615,9.987160083,13.58824821,10.33986637,11.40345341,9.375521502,10.07262683,10.28278071,8.722069292,13.68413419,9.546856757,9.448685023,8.821057372,10.74977801,11.11365499,8.871909592,9.265427534,9.514560143,9.523241829,12.891486,8.536464908,9.507383003,9.313915287,9.23504486,8.123306183,5.143031898,9.007036831,9.298016939,7.191506455,9.396496573,11.40323655,12.13622597,5.749924798,8.650163913,12.05663223,9.446359883,12.29686283,10.86536287,10.44386133,7.800110421,8.028850125,8.324768681,4.491151546,10.82753215,9.170987976,6.069811445,7.607934701,10.24977845,10.8134916,5.175376713,8.629906663,8.274303904,9.382212216,9.425946781,7.542494958,9.276061406,10.19262255,8.485322922,9.183074374,12.25479511,10.98323452,9.052663259,8.452298858,9.054573744,11.69497409,9.032992429,9.930808876,8.751262588,6.174986821,10.54107089,10.32185437,9.624576633,10.37593907,9.419364404,10.29344684,7.31672543,10.21995348,10.11909384,10.06032072,9.246943271,8.867115872,10.72076896,7.617589593,9.182982858,8.657346636,8.172324101,9.665137697,8.577878005,9.251566859,8.433026401,11.73989707,11.06561841,10.02191301,8.604940978,6.725192522,9.679268571,9.603835821,9.006713016,8.7242019,9.394446082,9.801936271,7.916377139,0
