"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.70419679,9.125635759,10.00551859,10.04462452,6.472960822,9.988907813,6.369713671,11.39755593,11.76258278,11.73491242,12.58458206,8.287439875,11.80591721,12.41530039,9.660487274,10.43687727,9.816994504,12.05552457,11.75603495,9.558639998,10.41717631,12.77803212,10.12486103,9.00532587,9.409909925,8.341919396,11.66408,12.23033154,8.382919456,12.47952154,11.38387314,8.919930423,9.111371605,7.294963056,8.102490549,8.59071202,8.730673423,10.15669211,9.164946349,8.914222365,8.329080122,8.230183707,3.254477271,3.456881547,9.027779882,8.788867046,10.58341948,7.271192797,9.672967171,7.971079365,5.050078279,6.255945993,11.00985441,8.121029013,9.874017346,10.29186769,8.161083563,7.858772892,7.310397434,3.827768286,7.507947287,7.090786902,3.982061992,10.91030839,8.903120821,3.010387335,6.955579178,8.222620109,2.45792501,6.116438848,3.240686589,10.46495129,8.335726593,6.483014297,2.868555151,6.808580801,2.685737724,8.810607911,9.079358763,8.584841429,8.14749943,8.309923695,8.9004379,9.477349876,9.958930165,7.092346569,8.526753783,6.285435056,7.150525846,8.406850974,6.550240698,8.181753402,8.396236657,8.318513023,6.520979784,7.515593267,12.30779245,2.880048167,9.361836209,9.984802795,12.42074719,13.51698065,10.94770906,6.78885325,12.02175342,6.946215426,8.58594404,12.7470407,9.148843453,13.42610354,8.313901773,9.765117245,9.88606945,8.762733748,12.54519023,7.132599239,8.858720726,9.144691719,13.29566953,11.03728223,8.847434384,9.088610608,9.765373531,9.526641338,12.36825795,9.494623783,8.468299236,6.992610896,7.475482705,7.120449038,3.24659577,6.992800653,6.888940139,4.334343367,6.44196174,13.52812462,11.43271264,2.773215319,10.22637163,11.12620117,6.5431109,11.13125192,8.147245749,9.031483895,4.667696225,6.986661048,7.002954787,4.085139703,9.51791028,7.706794098,3.10755227,5.317908859,8.441497469,10.02542997,6.68317001,7.004725223,6.348975379,4.203833705,6.995779677,5.664663549,10.28368897,11.55629732,6.403001381,7.95602447,9.828042244,9.504341425,10.52454137,6.85345461,7.918668661,10.90763429,7.327527052,7.979681969,7.332621762,5.861261463,10.74940208,9.415299562,8.483570525,9.329512402,8.129067627,8.392634996,6.5027955,9.639923067,9.619911114,8.191235972,7.71884045,7.94693719,9.357761178,5.920710642,10.59567164,7.363827679,6.585960954,9.463947168,6.364725733,7.329398922,6.511330611,3.007475754,2.785008964,10.70511302,5.596279006,6.586144563,4.055971568,9.46986601,5.587371621,7.369987901,8.073074028,8.487389151,7.485018113,0
7.725022366,8.546663637,10.64710541,8.810895549,6.083531395,10.31418392,5.160604065,11.48545968,10.16322064,11.8845705,11.9066862,7.557576117,11.20702148,12.03746254,9.415251165,9.695726888,9.847823835,11.9056413,11.23760258,9.553904236,9.981069651,12.85230636,10.19080509,8.966087121,8.832234733,8.697760392,11.30586048,11.87576808,8.737840219,12.48868063,10.98599442,8.531155798,8.203245379,8.502444159,8.426444358,6.928467451,8.777490458,10.62678257,9.256149058,9.069460876,8.181926482,9.296726888,3.334847937,3.339671255,7.886626465,9.006692773,9.262161033,7.390539475,9.688894352,7.539904125,3.831828262,5.695724239,10.38984271,8.581304364,9.720950346,9.099160465,6.049349109,8.211046949,6.96061259,3.125267671,7.391408144,7.480160853,4.123224549,11.02522455,9.145601089,2.506395949,5.769874237,7.433901296,2.719521193,5.219805067,3.62594626,9.330948451,8.841634253,5.317960025,2.693708224,6.234121501,2.550477003,8.997888819,11.39776442,10.92035848,10.13817506,8.409764872,9.311706947,9.588822548,9.244451043,8.904247012,9.908821765,7.158386634,7.157863415,9.242655977,7.526606441,7.755536953,8.040134268,7.687844245,5.713305686,7.96397181,10.77821245,2.752640665,10.381589,10.3160185,12.44851481,13.01236353,10.20708632,6.782540101,12.15105172,8.853643529,7.748858297,12.86402485,9.798993211,12.9837073,7.254865718,9.596645,10.08226952,9.769240397,12.77068109,7.846680321,7.928728134,8.964797263,12.84131589,11.2603316,7.989217719,9.011047357,9.143451909,10.23573512,12.35935588,9.451106182,8.095015102,5.323567844,7.714072795,6.36797984,2.977981061,7.899994585,7.012258938,4.662234827,6.806259461,13.06634757,10.19932744,2.638987576,10.39940742,12.13623028,8.113076919,11.08788873,7.34543206,7.624747036,4.771964002,7.044862679,6.627814571,4.251206467,9.875658043,7.440523199,3.474544551,5.316996526,8.868814804,9.058012161,6.210340908,8.436862494,6.080963194,6.36243265,7.420921232,5.506254503,9.86921005,11.81034692,6.603271814,8.61565866,10.00504184,9.910308668,11.59735838,7.027885347,7.148275782,9.966661804,6.948404698,7.66098703,7.678952729,4.568997677,9.835478723,10.13089985,9.03324803,9.536762989,7.882524104,9.139872643,6.482225968,10.01207385,9.285771998,7.584626772,7.901889279,7.588903728,8.59232903,6.537116888,9.494275444,7.712932092,6.85135436,8.381686268,5.950575927,7.432918259,6.427346981,3.036393957,2.693369051,10.33791897,5.258488246,7.801820374,4.593855383,9.080742125,5.887162553,7.456973777,7.814380073,8.454708018,7.410293231,0
7.802460645,9.23047721,10.32667535,9.810712013,6.034250168,10.18830502,5.790101679,11.7738603,9.605836194,12.57105444,11.35739799,8.211309988,11.25466089,12.05454209,9.950504545,10.31338253,10.16213927,12.6734717,11.70163289,10.12852882,11.49167404,12.82097909,9.69928214,10.2204154,10.04633854,8.689200374,10.96717805,12.70906153,8.638670074,12.43624584,11.71867661,9.355027086,9.161720857,8.567260096,8.346210209,6.660823454,7.228398296,10.37847992,9.317199615,9.306829163,8.86148452,8.824341774,3.761285151,3.666245082,9.328916304,8.990738837,9.021262772,5.623662529,9.945993954,7.899294783,6.122992036,6.415618921,11.70362183,8.060920503,10.00958118,10.36962745,8.18262985,6.605550127,6.974232582,4.537223749,9.483830992,6.979444494,3.485519525,11.70199029,8.435957212,2.977772671,6.922336304,8.333340276,2.723287037,3.721795086,5.388812179,9.165903964,8.889581815,6.292502259,3.219831013,8.082733019,2.331089016,7.861770331,9.366020108,8.856126223,8.632718214,8.493534948,9.439982805,9.575722234,11.40874385,7.896511493,9.312908654,6.564077082,7.460483966,11.12370972,9.889282049,6.328110075,8.753053975,7.522557646,5.537252539,8.050001901,11.54587749,2.851358221,9.8730083,10.51614809,12.34140018,13.71464076,8.991230475,8.6333429,11.7171737,9.027842581,8.113233881,12.84197762,9.125825246,13.55987998,7.894488545,9.968309148,10.2991471,9.556624552,12.76691212,7.719743835,7.146936035,9.16739207,13.50343606,10.68305793,7.99773786,9.110705153,9.16895701,10.16877719,12.23489524,10.47686902,7.915254405,5.759244021,8.312510557,6.243464847,4.599169652,10.0517152,7.05656595,4.369338588,6.73468593,13.6743713,9.934496731,2.828034296,10.47052775,11.60812027,7.434949078,10.72469682,8.692786942,7.643029047,4.567702888,7.181726823,7.984439877,4.591836212,9.816041795,7.767747199,3.37598084,5.911353392,8.344213953,9.87979253,6.771879666,6.25494617,6.036870007,4.281414174,7.026686549,7.698566916,11.26478556,12.30154482,6.817773666,8.57525809,10.03868397,9.871020791,12.96107821,7.317082794,5.856907841,9.921591483,7.040272482,7.985690506,7.898253526,4.809798088,10.28258103,9.992876043,7.928996238,9.530240301,8.150907373,8.96800016,6.78839811,9.669282018,8.771660637,8.586077175,8.076911537,7.111377188,8.261984986,6.686434557,7.037826295,7.146439956,7.306441819,8.360744058,5.943483649,7.179200271,6.986294392,3.135016497,2.454838212,10.205265,6.104148012,5.54353123,5.764684326,9.166646527,4.982105493,7.921985712,8.428436127,7.969720091,8.308136487,0
7.591735824,9.724154525,10.0012818,9.558453953,5.406480005,10.34232221,5.561006426,11.88603634,11.69795369,11.98597565,11.74220087,9.067110482,10.71560588,11.56406288,10.43962456,11.62695754,11.56432836,12.47317464,10.76039216,10.0537293,9.806395927,13.3506439,10.57129166,9.326405498,11.69898866,9.398695157,9.940294552,12.47565052,9.64333056,13.35539662,11.15636395,9.258165008,8.779841844,8.513949385,6.892210175,7.504069589,9.62786981,10.45884298,9.401665347,9.336256999,8.555586752,9.716267602,3.0752446,3.592090096,7.104832964,9.176641827,10.77294144,7.786244885,9.490657842,9.044770059,4.775580018,6.724479778,10.81056464,6.774301256,7.659469922,10.31380971,7.588618483,7.134191421,7.281808142,4.17003728,8.435589533,8.021715044,5.078074811,10.87881801,9.818713765,2.486126145,7.196421941,8.807134718,2.573032955,4.707685734,3.241867265,9.578013895,8.563057457,6.065631996,2.954295247,7.087707089,2.548640615,10.09226473,9.460298898,8.718423914,8.546721178,7.921186369,8.993633466,10.56156742,11.17540469,7.447859424,8.789565464,7.328588621,6.952231686,11.36775807,10.24665655,7.497146339,9.248141715,8.886426027,6.106213347,6.766171615,11.04484991,2.743306928,12.3838509,10.2237499,13.31826995,13.56922296,11.60897874,7.049454903,11.82143814,6.919603041,8.738792752,13.35047879,8.928339877,13.44563219,8.493442531,9.782957789,9.422101366,9.322208049,13.21665596,10.38302909,9.532964553,10.01173552,13.35077592,12.37616656,7.378170271,7.78649204,8.776601665,8.913929848,13.12534596,9.595463223,8.282478614,8.090902624,7.966573486,7.042615046,5.768207258,10.53803105,7.134449569,4.392172966,6.896914775,13.58704527,10.42731023,2.868986994,10.04991985,11.9941815,10.26569944,11.42045423,8.541708508,9.90818442,5.250028381,7.875772684,6.747972568,4.136914655,8.800017079,7.834351221,3.82261915,5.591297821,8.30268017,10.14046868,5.565878401,6.355831724,7.245815797,4.442007659,7.796901351,5.329939448,10.30908884,11.47678969,6.766787262,9.630064959,10.13520245,9.899328102,11.17067126,7.245420699,8.03334995,10.50077207,7.034654651,8.166084506,7.318552822,5.833376229,10.13948978,9.594934419,9.931551973,9.291062762,7.316007749,9.890388922,7.796991047,9.299091964,9.343399844,8.827275831,7.919092613,7.228719146,8.348852812,7.948472437,8.733447032,6.849297545,6.752231162,7.504726999,6.20594838,7.234175928,7.05475089,2.992122145,2.303668879,9.657790453,7.267684973,6.226619836,6.723342405,9.069581532,7.046840757,7.226106512,7.594932571,9.202241211,7.540920275,0
7.701462648,8.859529578,11.15390281,10.25008248,5.626240422,9.721940806,6.000599615,11.24496507,11.44862162,11.49918622,11.95467489,9.071098809,11.8881633,12.38655283,9.780532043,10.79460714,10.07065081,12.26826887,11.06623301,9.139589827,9.290469112,12.77736131,10.45948814,8.4675373,9.634376979,8.477004022,11.44898005,12.60066133,8.701502344,12.80437753,11.40052277,10.03632563,9.374732834,7.737140403,7.362856314,6.918773146,8.81326038,9.775827209,8.692849435,8.890123972,8.164789411,9.043931028,3.268381814,3.66226218,7.450140884,8.877076024,9.735663683,6.146173891,9.546223931,9.037241616,5.102860346,6.280434051,10.05137671,8.303123058,9.032771548,8.587322048,5.100223344,8.077346139,6.255770333,3.227147266,6.992746533,7.510581464,7.806890234,10.50477103,9.163876687,2.657542909,6.082693957,7.812418395,2.418856557,5.947833571,3.806440542,8.738082941,8.148385287,5.158743984,5.708332779,8.276233296,2.433574114,8.900577832,9.061825347,8.274620516,8.204608072,8.54976132,9.919708855,11.34874749,10.34711612,7.39198717,8.615980814,7.964399374,7.079309858,12.3824707,11.25141413,7.762615752,8.645334238,8.439448936,5.752297028,7.795020425,9.998486161,2.793192135,10.03907501,10.35587396,12.72930851,12.96394283,10.55945509,6.640094156,12.01098044,7.185247885,9.661185263,12.78405454,9.320911139,12.96315525,9.124700461,9.865226489,9.987778582,9.569751257,12.58187936,8.059802816,8.440981429,8.644676759,12.85105926,11.96750043,7.006859913,8.565216812,9.849849551,10.32213766,12.62293258,8.978845846,8.998075288,7.108160504,7.994337832,6.949242342,5.405589543,11.57713048,6.824911788,4.705050416,6.192648687,13.12422359,10.54774013,2.741124049,9.404635395,11.172347,8.272294588,10.88959329,8.493711388,9.094070557,4.377509766,8.499259571,7.555484608,4.104651436,8.80867672,7.629687253,3.215020204,6.287486179,8.178107738,9.204203458,6.560167032,7.176301922,6.902196099,4.953838644,7.981399094,5.313653781,9.583387808,11.2036924,6.572341775,8.967809549,9.572795439,9.634669854,10.30353012,6.779114056,6.930285933,9.16776398,7.270146602,10.05035254,7.603007321,4.543924268,10.27995659,10.71594048,9.184996277,9.76783646,8.174711874,8.697707843,6.415524316,8.368741913,9.000723186,7.828642939,8.431206536,6.999858255,8.332474136,6.33828691,10.1249528,6.954640664,6.0635965,7.555312183,5.343171449,7.793242596,6.776010261,5.692914165,5.551941349,10.88583068,7.171961644,4.825768315,5.244656501,9.152539217,6.575730237,7.697572619,7.694315472,9.491925925,7.279109172,0
6.96027245,10.07840981,9.632594052,8.288171773,6.579453615,10.96967883,6.831848976,11.76327746,10.04953133,10.73973574,11.73467959,7.102868551,10.21789017,10.84613169,9.556544538,10.82067026,13.1703538,11.83652409,10.43488344,8.770685968,8.404277019,12.97845988,10.31556375,7.122759425,7.912493275,10.00362678,10.7282308,11.05432288,7.716238604,11.86082699,10.9518035,7.412375563,7.564265518,6.836334934,4.875012135,7.610578549,6.898246947,8.922894484,7.814920055,8.717645016,9.428549565,8.548940817,3.638222796,3.896976912,7.069483979,9.000266187,11.01461446,7.455224628,10.27331285,5.477735719,3.312634652,5.491259581,10.16525868,8.311258459,7.596540546,7.017347831,6.979528873,6.121594447,8.208736285,3.030975702,6.696421849,6.584880951,3.52071338,8.55456755,8.745052936,2.61196365,8.354217108,9.155629117,3.007456166,4.641060798,3.944021031,8.54338423,8.199115211,5.162864929,4.293562106,8.88633535,2.518654192,6.193725543,10.62335109,9.956738882,9.851578186,7.896013579,8.68507715,10.84086264,8.422225049,4.600038556,5.487923843,5.745565261,7.000891896,11.39729273,10.28589829,5.915135441,8.746279057,8.364451524,5.530835756,9.146233667,10.33941401,3.023647429,8.700841575,10.13320638,11.8082383,11.59888579,9.955810649,4.143812792,11.92201009,6.48492585,7.311454831,12.96102057,9.235860406,11.52522676,7.233543843,9.04575485,9.459617846,7.36809796,12.81163605,6.776911297,7.670415295,8.780450061,11.21791239,11.75908763,7.842674329,7.98773632,7.966469374,8.651557657,11.66808364,7.49139056,8.660455156,7.696482362,5.917682362,6.033751416,5.100761829,10.55494656,7.428495277,4.402592647,7.165913488,11.48159188,10.26512116,2.924614877,7.379474991,11.60420618,10.57661297,11.14674072,8.000229837,9.57492252,5.015548742,7.594504682,8.033005197,4.252890753,9.135139181,8.303579322,3.37295118,5.907777412,8.399593473,8.830574966,6.993926464,4.502360441,8.217009612,5.298538013,8.112857793,7.058716247,8.697424996,9.197336597,6.196586789,9.547307444,10.81629581,9.505285971,8.478926905,7.954014419,8.232498222,10.2916141,7.928098938,9.292655878,7.995388153,5.138442562,10.18684792,9.164626832,11.38540438,10.37189482,8.23204385,9.318143514,7.136824583,10.63020548,9.575648257,7.865178122,8.159443778,7.363664918,6.927486021,6.479893473,8.010314482,6.773848709,6.803559216,7.947514101,6.46922948,8.896971842,6.962846783,2.9903675,2.767696057,8.127565243,7.689247335,7.816785811,7.343921464,9.638008736,7.340651503,7.299971794,8.485600089,8.912434505,7.631391064,0
7.247314106,9.091874012,10.17666197,9.52072324,5.852049411,9.831378385,5.984077377,11.45247866,8.870261368,12.69130011,11.42502614,7.69755749,10.90289527,11.66837918,10.20992371,10.36218923,10.2695313,12.35370162,11.69621121,10.36818056,11.41219424,13.0365297,10.92031458,9.890543125,10.17901938,8.358491811,10.83143753,12.47165364,9.199677678,12.63355492,11.71338754,8.373600007,8.736691172,8.87947567,8.281455875,5.440103383,8.971869852,10.3633968,9.246884646,9.016948212,8.393437255,8.575172441,3.834507503,3.211490001,8.12169241,8.894443498,10.19554938,7.564260399,9.465750098,8.439791974,5.017415376,6.563676695,11.48217309,8.014507057,9.744057758,10.76257222,5.82174347,7.192604425,6.84287228,3.214262246,9.074426737,7.300580836,3.192763756,11.80874461,8.108128972,2.636796081,6.603582367,8.149052128,2.437722315,4.408653278,4.313571279,9.491151896,9.005550124,6.124146973,2.830598387,8.902084498,2.337613664,7.933472524,9.733347607,9.30781703,9.048144166,8.032192289,9.451188593,9.497293289,10.8343644,7.363716238,8.601225689,6.120451022,7.60585312,9.254090274,7.777206281,6.50512399,8.709189361,7.730584291,6.134359339,7.780942414,10.06051875,2.722529964,10.13681809,10.40229078,12.57104582,13.49482529,9.43195858,8.227742986,11.5466197,8.446801811,8.037263097,13.0161246,9.244514049,13.39739879,8.036600903,9.943228612,9.718272152,9.221153353,12.94465899,8.110716582,7.465312462,9.251768498,13.26293142,10.36408027,7.864602699,9.134986318,8.615151256,9.998409687,12.46474134,10.31150317,8.50012247,5.829172166,8.272695211,6.310716091,3.479999501,7.855846689,6.340838564,4.120503116,7.083151681,13.49377568,10.01865621,2.768608621,9.879607547,11.83294504,7.904102288,11.07619166,8.107003254,7.698222712,4.357660874,7.120734101,7.897432692,5.009674278,9.760883463,7.533399312,3.245396379,5.530912298,8.260977457,9.797768734,5.84056265,7.074911952,6.394882822,5.378441711,7.299398343,6.253468405,11.24005199,12.27385918,6.187347832,8.421646059,9.672201501,9.561717475,13.08480819,7.033896203,6.643800672,10.20076878,7.172564222,7.667436785,7.989249927,4.112578916,10.19978578,10.06055321,8.536564194,9.818025644,7.749001574,8.774973709,6.743846235,9.767387314,9.164556956,9.383711565,7.704276777,7.618652627,8.486091099,6.782451425,7.807225587,8.619234749,7.231594739,7.541534355,6.752225403,7.374563211,7.106212561,2.703860041,2.545786553,9.560811741,6.683927394,5.181295181,6.429202707,8.904684963,5.935206993,7.491703654,8.289213041,7.615231989,7.592836127,0
8.070604632,9.686315187,10.52049779,9.350021495,5.929937444,9.548567374,6.291936722,11.99398705,9.117418599,11.77439657,11.52234427,7.465148049,11.4626191,12.19327445,9.970501619,10.00328014,9.766907608,13.28753612,11.52351766,11.00065151,10.06178328,13.32605984,10.02979672,8.70514061,9.420649008,8.763432521,11.42524894,11.82657185,8.290789452,12.61144086,11.17309388,8.595763629,8.546206038,8.214194228,8.497122933,7.20885978,7.106284283,10.00103537,8.596842363,8.631366708,9.16152752,8.406302085,3.288317401,3.544723238,8.645564432,9.115693482,8.762112234,6.365923539,9.794287186,7.239649521,3.750765105,6.08071055,10.26357545,8.924314539,9.176801335,9.426237353,8.522357988,8.479393237,7.491663124,3.377602491,9.526069404,7.237463608,3.435190931,10.22441297,8.608773814,2.736889349,6.933573635,8.805891683,2.610718949,4.216599411,3.765449536,9.43928085,9.306504059,5.633936256,2.946943129,6.544769079,2.471172317,8.845438388,9.131823355,8.492431296,8.386871789,8.883056437,9.389054972,10.09563052,10.15801252,6.869041108,8.13489405,6.87245994,7.432626484,9.110160384,7.451213475,9.00955085,9.118104415,8.342543008,6.208557914,8.253272262,8.362380122,2.865545976,9.695580394,10.31471929,12.59311976,13.12572237,9.60035692,6.670459898,11.65876904,9.139411907,7.83169553,13.36187136,9.218412998,13.03875021,7.617040044,9.783295755,9.934492225,8.95486992,13.21448,7.790566933,7.870977743,8.363385451,12.78903068,10.91485826,7.96950241,8.878902986,9.460010766,10.43509898,12.39211273,9.186958706,8.319204834,5.966885064,7.080642388,6.357131775,3.319796882,7.944250623,6.885939134,4.420137971,7.104877429,13.16118932,9.769292761,2.896184093,10.51296422,11.0175814,6.922418316,10.56664328,8.404175922,8.108311964,4.779197229,7.345987758,7.335227566,4.35651904,9.388479748,7.730705249,3.408069234,5.713338485,8.382428533,9.748798103,5.429003636,7.282895677,6.528004827,6.680778298,7.436167989,9.940704429,9.838414004,10.95428011,6.599775465,8.603268554,9.390188438,9.570584904,11.21654727,7.038726002,7.158588013,10.80011737,6.997729948,7.393275649,7.505862569,3.793598927,9.867059249,10.06739355,8.058301143,9.172052003,8.017017459,9.43076443,6.086096682,10.45565649,8.981276553,9.214087052,7.607302296,8.287049968,8.316927094,6.896405776,7.360607959,7.581995083,7.639958898,8.193600285,6.288931419,7.888673419,7.478882188,3.048517941,2.464771512,10.29670545,6.157384781,4.972668717,6.070004696,8.40783129,4.797271496,8.389826386,7.961179399,7.970875492,7.052355915,0
6.915630871,9.189158046,10.34060914,8.663400136,5.792205297,10.46301157,6.524398039,11.93660148,8.094825962,11.67014842,11.21828519,7.382504599,10.84119419,11.67648796,9.413333849,10.58117868,9.355032157,12.08066574,10.52147126,10.11906028,9.944586456,12.26795404,10.54436309,8.000861638,8.495814486,8.5786638,11.33119238,11.44951931,9.154780729,12.72688145,11.71352382,8.277928667,7.945181931,9.322636342,9.934350194,5.989548799,8.965211033,10.2589623,8.818484431,9.068991089,7.826056177,8.613546186,3.445479452,3.365347702,9.09325528,8.892186407,9.049082028,6.184277719,9.951115428,7.912947141,3.839127003,5.837054084,10.25892377,8.420749257,9.191315245,10.82282797,4.770464632,7.294581817,7.492832187,3.718574542,7.482181438,7.492400047,4.037365082,10.62464183,8.136468978,3.648801045,6.5581356,8.252096728,2.774686811,4.132729828,3.269162813,8.915381332,8.528804968,6.204071681,2.570740788,7.789120852,2.593712178,8.397748621,9.111906438,8.633090565,7.997768366,8.567519049,9.250120917,9.781953549,9.340633492,5.962403292,7.321965136,6.042211387,7.264383397,10.79643885,9.009032284,8.307865735,8.368741913,7.196252608,7.461897737,8.347675618,9.22100796,3.055841423,9.338429732,9.847483667,12.68296196,12.76729959,9.633456382,6.486821894,11.72373094,10.00240354,7.49932413,12.19012049,9.104222517,12.64448251,7.171889023,9.834193892,10.85618142,7.754270157,12.18998163,7.121645984,7.13339197,8.51695849,12.52914297,10.86299934,7.798808326,8.940025414,9.278650391,10.57111924,12.54442158,8.553323584,7.684125616,4.919705749,7.511802575,6.474730494,3.751107045,9.44879681,6.773736388,4.194002425,6.45433483,12.68716525,9.302207812,2.596743501,9.69023927,10.88864688,8.545450912,11.87992556,8.350212014,7.239952066,4.621140183,7.464910168,7.059811459,4.946887123,9.778399747,8.069969128,3.516997019,4.838368504,8.41988342,9.798399725,5.044613463,9.304409583,5.392735933,5.075967937,8.069289617,10.19569591,9.600563561,11.06178754,7.044474,8.730939453,10.41698922,9.770741998,11.12876988,6.811958173,6.231989679,10.11958805,6.955942032,7.54010704,7.98044921,4.670044532,9.94745833,9.824937955,7.810769892,9.212959677,8.231271792,9.759893822,6.944061767,9.6992577,9.13316514,7.472971564,8.647314325,7.192391219,8.169753457,7.147426025,8.024518219,7.829882221,7.569599803,7.842196998,6.234086137,7.206770506,6.786655583,2.793717756,2.521890071,9.701485493,5.235297558,5.893340743,5.362638643,8.265598032,6.436273953,7.312764382,7.819737381,7.088521326,7.309609246,0
7.41989648,10.07212865,9.790302011,8.184371699,5.927135606,10.24104916,5.987694626,11.69251826,10.99617978,10.46141464,10.81482919,7.488609328,10.09566768,10.76241986,9.546407741,10.07958874,7.91211054,12.10893444,10.24395411,10.537576,8.370617248,13.21754396,11.34712274,7.702816875,8.514821613,9.311350834,10.60287735,11.15147159,8.205778079,11.0158001,11.98251565,7.147440242,7.373581167,7.347656614,9.730802604,6.950094219,6.429682714,8.038675504,6.990020797,9.221054447,9.907160558,7.796898831,3.108568069,3.737513705,8.101600058,8.738095081,9.047791137,6.822686397,10.43879033,6.634390961,3.035665113,5.147094911,8.695767901,8.674704168,8.528379183,8.128787405,7.364665123,9.77363737,8.230622626,2.987063797,7.838403197,7.245373182,3.557931473,8.280173863,8.841111597,2.768223068,6.404870188,9.060846946,2.43268587,5.690441322,3.632692966,10.52562131,8.136300004,4.886291775,3.007612118,9.171106483,2.604998011,8.733347432,8.395770915,7.885368031,7.557287303,8.561527115,8.446986682,9.8327312,8.475726138,5.384519673,7.196354477,5.951133087,7.588290409,10.31731216,9.038236746,7.892537641,8.162866773,7.885955647,8.423159346,7.621948023,9.978830109,3.108931158,8.086229867,9.912015004,10.91664997,12.12059106,9.263424874,6.301749376,10.97040195,9.479715917,6.325561326,13.23324553,9.377361098,12.13650171,6.196560042,9.479078059,9.828739558,8.691490148,13.07493066,6.017908845,7.375300602,8.063357979,11.78294035,10.61449131,7.652607218,8.401410732,8.022441919,10.11584911,10.77804043,7.989688089,9.875894078,5.182401727,5.791468077,5.445456527,3.890726199,9.440392559,6.903647945,4.501595567,6.514332364,12.10876908,9.073630467,2.880859957,7.442499055,11.80944275,8.217657079,11.61092691,8.80022331,7.054383004,4.677670378,6.873838911,6.548668109,4.470023847,10.22077532,8.206203856,3.244611011,6.035093161,8.449727538,9.209305221,4.522949733,6.360005472,6.238771948,5.421740447,7.03227994,5.587276753,7.762376881,8.756245017,6.45718838,9.058689214,10.15684846,9.592775229,4.236778694,7.281701495,7.303150735,10.82527586,6.722349425,6.931146889,7.905359282,4.854044631,10.09013056,9.406341618,7.146103901,9.512757333,7.813763506,9.140648767,4.93653521,11.03387584,9.072532734,8.548742918,7.677069981,7.554067487,8.183445306,7.269682724,9.211800348,8.400563665,7.304214798,8.696325479,6.133798557,7.57220908,7.260276431,2.939228089,2.630234083,8.70689844,6.590551907,7.516841317,6.680952656,8.608158255,5.315024634,8.806387024,7.598706518,7.708193283,6.966468267,0
