"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
1402.45,2387.19,9105.33,7372.76,1270.86,12237.3,262.745,11897.9,3827.18,9401.53,22355.1,390.368,4933.32,8097.03,6085.41,1942.76,2973.16,23652.7,1901.22,4224.84,1009.62,43236.9,23695.3,560.393,5101.08,2074.47,1847.19,7343.21,1200.38,26602.8,4413.66,11860.4,5377.55,1326.67,1518.16,829.99,3817.98,1829.02,738.457,2618.93,4415.18,1167.88,100.004,118.188,1139.75,1943.4,3784.36,1134.72,4634.44,5782.2,57.1067,365.868,1290.06,612.524,380.831,1673.96,4876.76,60.5489,917.358,19.4896,1730,824.253,80.1411,3233.16,6774.87,65.8516,1437.4,839.856,48.9143,189.128,18.1935,4747.72,390.98,719.088,68.5298,216.628,6.51359,570.227,6757.87,7337.17,3733.24,1988.29,3843.18,3681.11,5654.95,1190.44,3748.1,534.147,413.566,5421.17,2243.56,683.818,3819.1,1305.57,468.013,1801.89,4841.44,32.6535,5968.32,7731.4,26403.3,18189.1,8253.83,1124.85,16037.3,243.13,1784.53,40959.4,857.882,21835.2,832.393,1660.03,5036.49,642.325,42465.5,1237.43,912.469,1046.13,17617.7,4519.28,1100.44,319.214,743.096,1339.78,26791.6,675.352,1017.73,731.145,1300.15,356.621,185.73,2426.31,409.551,8.49504,725.116,19018.1,8852.45,3.37868,1306.6,13090.3,7931.28,11413.4,6771.16,3364.13,87.6684,1065.85,4440.83,256.123,5443.63,1062.99,57.5483,250.954,463.323,2598.71,152.406,2949.43,370.504,2030.83,836.473,214.645,2216.49,4324.7,843.49,847.18,7750.76,1411.44,505.592,785.263,425.566,8495.67,578.189,559.119,1020.25,254.417,6654.47,8147.65,2393.87,5992.18,2128.55,1696.03,2266.19,4924.53,4470.29,1246.32,2006.38,1041.66,4275.35,823.111,1886.81,819.344,801.559,1229.96,422.882,1257.09,321.315,544.261,651.071,1782.54,564.941,165.341,806.736,2712.01,609.392,1847.11,1412.53,4783.3,1436.73,0
1666.63,3111.79,8940.52,4223.99,1242.94,7512.62,333.29,13056.5,9437.57,15013.7,19520.3,540.456,5458.04,9187.04,4401.07,3524.78,2221.25,17758.9,2889.94,5539.39,3805.9,24807.7,16111.3,1398.15,6650.66,2384.76,2929.55,12196.7,1212.04,16163.2,4237.92,7060.6,3714.32,997.009,533.435,528.325,3998.1,3751.81,1260.91,2104.97,1955.19,1082.88,143.581,83.2362,1404.4,1409.43,5019.31,1029.3,6185.91,3723.78,129.427,284.155,4791.84,807.769,566.056,1130.8,5159.63,136.251,1243.42,48.5807,3942.73,791.071,171.755,5139.27,4506.52,78.6729,564.779,1347.94,22.2804,238.217,4.03049,3203.86,715.498,770.467,361.514,627.898,7.35231,956.28,3497.23,4363.03,1780.57,3092.36,3730.56,2300.67,7483.37,2174.88,5476.46,918.111,554.017,4083.29,1772.82,1177.86,2356.39,1130.8,193.094,1508.79,2223.84,30.6739,5163.91,7287.66,15190,8156.98,14621.5,461.413,16891.8,931.995,1905.95,22457,1507.13,9772.97,941.233,2862.47,4358.91,1097.86,22100.1,1083.66,2845.18,1957.94,7300.97,8064.31,983.617,390.524,902.626,1935.65,15741.3,1777.99,1546.61,1061.73,966.684,673.635,104.109,1949.26,366.099,9.32444,763.987,7913.25,7109.31,34.3769,3776.52,10210.4,3298.58,9531.24,7720.61,3258.94,107.587,983.939,518.059,172.621,4030.48,716.599,50.0736,143.412,803.913,2248.08,198.302,711.125,236.999,3364.82,945.993,201.231,5213.73,6087.38,771.85,1377.49,5066.68,1609.39,726.053,580.389,226.743,4420.21,447.452,777.925,1049.82,347.223,4044.51,9383.39,4312.02,3817.24,1865.06,2119.94,881.197,3498.11,6313.07,871.072,2496.25,1261.54,4602.6,1159.48,2629.79,882.111,615.348,817.958,464.737,859.682,437.676,2223.99,4392.92,1836.63,435.188,460.152,503.06,3158.99,579.628,1161.92,1014.22,3837.18,1899.56,0
1711.55,2887.7,7952.48,3375.01,1301.98,8202.11,205.702,16763.7,5953.93,14207.8,18892.1,521.161,8599.95,13897,5218.24,4228.57,4504.94,21263.9,2477.41,4075.38,1584.11,44793.7,23873.9,679.093,6233.54,2511.5,2550.06,11734,1476.27,24822.7,7280.63,6766.12,2639.7,2021.67,1962.24,262.674,4056.48,4516.99,1590.65,2426.61,2384.43,1561.18,124.722,87.6973,1478.38,999.274,5705.14,754.911,6881.01,7648.06,87.7393,374.598,2045.06,748.546,304.709,1069.64,4635.5,360.993,1607.69,45.1591,4102.81,832.517,37.4857,4706.04,4213.3,79.4397,754.272,896.148,27.853,189.075,140.493,3113.46,999.881,655.236,251.161,518.097,26.6823,676.065,5085.75,5748.92,2903.55,3101.24,3793.77,4142.32,8170.11,1611.11,4760.21,571.089,415.492,7599.77,3495.95,878.014,2302.94,1277.17,409.133,3222.73,14652.5,31.3118,10468.3,8435.55,23820.9,9596.2,7236.59,1650.67,20437.3,1299.42,1158.08,40420.8,1005.04,10126.2,454.221,1891.63,4471.89,1093.08,39887.7,2219.81,877.898,1614.35,8697.12,8598.9,1348.35,313.369,1535.04,2628.89,23597.8,870.524,928.536,950.341,1392.05,473.46,122.283,3290.09,439.009,5.67792,727.782,8452.89,7343.37,11.6122,2031.52,11281.9,10633.5,10022.6,3576.61,3706.44,105.316,861.878,942.578,135.168,5028.55,729.109,43.2531,132.732,468.465,2986.28,235.91,1049.61,219.946,2505.85,863.646,557.78,2945.68,6403.33,647.577,1237.14,5255.62,1544.45,1646.14,512.475,450.566,8236.79,383.894,963.799,789.617,238.464,8281.69,8141.95,5419.45,4740.08,1638.52,1936.19,612.226,4783.58,8220.22,3140.02,1613,896.277,2785.22,1429.27,1744.37,2264.4,654.351,1019.89,371.766,1567.26,503.987,1704.98,3149.96,3131.2,660.313,120.072,789.423,2802.39,315.938,1514.03,1230.87,6066.82,1160.07,0
2930.96,3916.8,7200.37,2410.74,1678.85,14010.6,259.796,17676.5,2914.03,12153.7,16664.7,527.156,5769.49,11110.4,4610.17,3910.38,2236.93,25703.6,1607.11,2804.34,1953.79,38236.9,18585.5,628.229,6793.95,2657.98,1926.36,10729.5,2544.57,23095.6,3774.28,3586.03,1677.5,749.083,804.719,160.405,2712.47,2743.73,979.046,1654.51,2200.05,612.375,134.367,99.8462,1040.99,1704.14,3218.8,1288.97,8865,7515.03,210.009,489.693,1912.27,711.477,273.818,810.738,11254.7,57.088,1628.44,4.3686,2972.07,759.704,56.4544,2835.02,1751.59,46.9981,1389.89,1965.69,9.34369,82.6581,55.0879,1059.99,455.116,741.986,86.8148,462.415,4.14818,489.317,3035.75,3058.53,1255.66,2988.8,2617.27,2450.14,5948.46,2199.62,7072.93,354.955,395.721,6940.5,2638.95,690.257,3104,1213.22,278.021,3159.89,2255.07,21.0046,5723.88,9212.03,22587.9,6670.21,8034.12,930.125,20990.5,1810.26,825.353,35519.8,884.12,8232.26,256.14,845.928,6247.51,830.139,34460.7,1101.51,829.984,1553.78,6633.33,8559.68,994.074,379.266,815.567,1435.2,22538.8,699.107,982.77,719.242,472.507,330.774,60.5145,2271.47,439.805,14.8321,445.866,6749.63,4916.09,4.35075,1963.92,12708.5,4201.38,11390.8,11421.7,2835.79,121.266,820.865,511.721,129.82,5711.53,799.395,54.2151,118.829,464.574,774.079,186.486,528.832,231.519,4863.28,1487.56,886.009,2262.45,3912.98,524.671,1225.18,8427.32,1371.71,625.172,606.782,436.796,8177.84,583.2,526.589,1033.58,170.291,3799.1,5619.17,2390.78,4199.67,2039.36,1810.61,168.149,5077.92,8283.19,3113.52,1821.56,1198.62,1470.09,1676.43,1102.04,1253.83,602.282,1419.08,471.897,1411.62,404.065,4958.92,9395.78,3009.03,733.507,252.78,322.004,2707.51,372.111,2287.95,1437.59,5374.8,1148.39,0
2537.19,3901.98,10360.8,3020.1,1021.07,11205.9,230.298,19094.9,12547.4,11158,18008.7,481.586,2366.51,5280.69,4273.6,2230.89,1048.43,27305.3,849.082,2340.05,1136.03,47940.9,23442.3,829.834,2668.22,3029.89,2431.3,6686.16,732.303,34055.3,1737.87,4995.66,2322.25,896.36,475.955,786.662,4217.79,1431.51,458.334,2672.33,2283.3,761.469,98.2845,144.466,886.43,2033.06,4301.5,978.902,5568.01,8219.26,94.4138,406.507,2931.13,1143.26,358.16,338.244,2030.32,59.4371,1660.97,15.8794,1054.37,660.17,95.8669,2630.05,5111.89,108.901,1631.49,2058.49,53.6347,203.113,95.5898,2610.26,482.722,1139.08,528.394,499.428,6.63166,397.032,5015.21,5232.39,1938.36,3630.03,3520.4,1708.33,3795.22,5555.92,16254.3,1080.71,456.36,2246.25,863.637,942.553,1866.63,1545.38,337.729,2208.04,1511.59,8.38454,1872.45,7310.41,33850.4,7731.4,6758.77,344.276,15200.4,1350.23,778.833,44547.5,3117.35,9870.21,394.057,2684.88,4370.92,742.585,46362.4,414.916,814.228,1558.17,6981.37,7720.54,1021.03,337.632,458.986,786.658,34149.5,1007.39,984.789,681.205,348.34,481.477,37.8109,805.675,550.528,21.6355,520.972,7147.12,5489.73,36.9541,1386.09,13679.8,1589.82,9356.98,2375.81,2552.32,101.288,548.575,642.261,158.436,4444.17,669.494,89.3403,117.607,1057.53,2028.51,91.1463,395.478,303.544,9685.86,1291.14,189.291,1606.55,4315.77,801.056,2136.47,6516.59,1307.08,761.419,567.063,1041.95,14934.7,713.743,1054.23,961.913,248.33,6679.74,7771.44,2980.34,3977.97,1672.84,3972.81,239.436,5947.22,7024.09,6541.04,2291.68,1419.04,4809.04,1970.88,2453.7,1048.56,738.337,1737.1,424.331,1859.39,355.803,774.398,1617.82,1114.56,542.511,536.321,389.526,1725.48,761.613,1817.27,1367.24,4916.12,1785.14,0
2185.75,3742.17,4863.58,1992.65,759.906,15606.2,322.57,21340.2,8159.63,9965.92,17115.2,526.468,5449.07,10622.3,5452.49,3486.03,3415.55,23566.8,1240.83,2795.07,940.527,50671.6,17998.9,534.678,2297.04,6116.03,1978.36,8619.42,1988.69,27622.2,6219.44,4604.61,1379.83,587.741,1084.46,402.257,4807.88,2110.22,861.55,1778.14,2228.71,512.833,69.7718,107.255,1146.74,1445.12,4178.53,1272.75,8029.68,4499.41,66.1629,438.894,1170.43,846.013,212.519,583.664,4492.99,143.915,1015.22,36.7502,1721.94,814.654,268.911,1937.95,2799.93,50.9727,1966.94,1409.12,19.9433,137.143,12.687,4326.27,438.297,610.013,171.397,739.55,34.0491,278.803,3689.36,4575.31,2149.29,2305.36,2654.44,4888.41,4293.12,3126.65,9344.78,548.958,409.629,10529.4,4509.94,524.265,2920.87,1419.76,551.473,3804.69,8630.1,50.928,4324.04,9202.57,26708.3,10748.3,6677.14,665.716,15523.1,1222.35,1536.96,43170.8,855.155,11189.1,655.671,1065.8,5505.58,733.866,42880.4,806.282,872.546,1888.79,10185.7,11051.9,1020.1,292.566,1287.39,805.47,26969,557.021,1440.4,920.904,1074.61,426.93,82.1377,4086.96,586.124,13.4972,560.463,9992.88,6910.01,4.38024,1555.23,13952.5,4801.65,14610,3420.27,3677.6,97.7078,1263.6,509.869,75.5483,5283.95,1026.48,24.9231,90.3978,614.081,1516.03,168.859,422.305,376.434,3154.38,1234.47,493.222,1831.48,2771.31,551.65,1342.74,10464.8,1621.77,451.18,685.127,458.37,5721.19,426.506,426.567,643.448,236.806,7656.51,4631.46,4383.56,4931.07,2059.93,2522.47,860.43,5861.06,9655.02,1561.75,2012.25,837.944,2801.07,1295.91,1710.11,792.521,845.288,1891.13,600.789,2208.85,310.895,4204.61,6864.16,3139.68,840.638,1007.04,420.73,3003.67,542.753,2209.96,1361.46,4641.43,914.452,0
1496.33,1924.3,11152.3,12643.1,1157.5,5530.72,254.098,14970.7,6623.61,19089.1,24057.8,699.553,9806.68,16305.8,6644.88,7713.43,10613.6,20815.5,4445.18,3529.24,2872.68,45671.5,25180.5,1596.02,11179.5,3028.61,5026.99,15128.4,3123.62,29862.4,10495.9,16516,10049.3,3161.23,1418.85,433.544,6770.99,5773.37,2094.48,3663.63,3126.21,1587.03,98.3972,127.624,1602.95,2148.22,4683.14,608.462,6467.28,7482.99,186.875,585.358,6239.23,987.745,468.458,1714.01,1064.78,74.3988,1440.91,26.441,1681.89,1091.35,106.489,7636.79,10666.8,193.777,978.135,853.883,37.0039,223.511,7.09676,4029.13,875.909,417.364,207.876,345.865,67.8702,1132.91,6165.69,7306.21,3435.46,3812.56,5224.44,4649.14,11004,2698.5,6795.21,747.067,500.395,14630.9,7470.99,1538.03,3208.75,1565.45,455.478,2724.11,21551.4,18.3778,13921,8681.32,29581.7,21322.6,4851.03,1096.09,21858.1,1199.15,2249.57,39834.4,867.716,23489.1,1219.85,2051.62,3572.6,1189.43,37897.9,3044.63,680.468,1951.79,20700.8,7012.15,1867.24,679.541,1640.42,5721.7,29424.8,2238.68,1077.3,983.743,1764.43,943.307,176.026,7785.61,493.036,6.44039,769.72,20961.3,8494.24,6.73207,4101.06,11273.6,3890.66,10691,2485.98,3865.01,198.376,570.367,1106.91,107.691,4348.64,640.885,42.7731,177.826,548.585,3590.38,228.934,997.92,443.138,2271.2,741.019,681.629,4833.69,11025.8,614.516,1448.12,3348.92,1649.52,3596.19,629.11,277.172,6640.09,530.322,1627.04,723.543,222.48,7361.88,11622,3590,5205.53,2128.49,1887.88,748.44,5271.13,6204.89,3840.08,1742.15,530.785,3518.1,1238.58,2076.81,697.569,537.87,1334.69,322.247,1041.84,281.701,203.34,309.585,3687.68,346.39,431.471,291.064,1951.67,591.268,1039.77,1389.1,8923.02,1248.92,0
1814.6,4765.88,14877.8,2808.99,607.922,20486.6,294.472,19015.8,7405.64,11624.8,19858.4,627.083,4810.95,8753.19,3909.11,4776.34,1943.07,27993,1310.98,3150.95,1187.19,43440.7,13499.7,1034.6,2688.65,3178.73,1807.49,7551.64,1245.46,22090.2,6505.38,5331.72,1918.86,736.341,952.691,1083.46,4733.14,2433.8,863.294,1915.81,2215.3,522.853,35.7904,69.1997,1085.18,1932.98,5215.41,895.824,7193.01,6417.63,96.8888,494.617,1845.63,589.349,209.797,1188.97,1348.21,35.2808,1178.02,2.63587,2089.44,720.781,43.7071,3747.7,1691.69,91.0467,1232.03,2030.79,46.912,127.783,6.98094,4670.95,750.519,513.5,285.005,342.043,18.6353,258.391,7267.58,7351,3751.23,3406.79,8138.35,3804.01,5675.81,3431.23,8930.68,670.851,443.929,18006.4,8486.76,792.846,1569.83,1621.25,351.714,2293.12,6456.64,22.1717,8478.29,7535.27,20796.4,18505.7,7012.21,2183.53,13647.5,805.76,859.756,36553.8,1084.64,20163.6,369.307,2613.89,8198.01,921.613,36283,1541.27,940.57,1506.01,17851,10811,983.119,210.239,759.303,1092.52,21095.2,1316.68,1137.79,796.914,880.385,338.452,157.423,8242.72,341.243,4.22783,721.646,16583.4,7423.39,3.97861,1472.12,11034.3,3663.51,12774.5,3585.38,3297.8,20.5657,553.643,374.774,121.231,3852.71,1103.06,60.8114,131.842,606.415,1842.78,153.229,583.614,336.165,4842.82,755.15,148.822,1955.74,4677.62,949.078,1085.13,13914.9,1629.09,731.629,610.72,687.778,8247.14,363.673,477.737,1131.37,197.839,5051.95,12828.7,3468.44,5087.84,1221.53,2243.7,827.239,6217.72,8734.45,3002.52,2861.84,1217.49,4122.2,1527.76,1942.95,1436.79,535.562,1954.6,428.843,1527.65,342.85,2000.75,3187.45,1661.08,549.595,865.318,500.841,1864.41,260.276,2066.49,1051.85,4886,1919.65,0
1589.44,2084.69,12425.6,2105.69,431.628,5230.09,248.095,14013.3,3151.82,26925.1,16356.2,981.22,11777.7,16373.1,7379.75,6129.9,10755.4,19765.1,15556.6,3601.78,9565.87,31129.2,8681.52,4223.41,32721.4,1673.03,4324.98,22081.5,2098.39,19891.4,10261.1,4151.27,1760.56,1277.7,1548.97,397.634,3711.35,15808.4,6999.53,2607.57,2712.36,1851.19,70.3512,100.759,1121.53,2173.82,3232.51,914.271,6036.15,5801.06,223.425,303.329,16508.2,698.235,1818.46,2120.46,1575.24,47.6046,1002.92,745.972,9441.51,1109.46,96.638,13267.5,2314.39,79.9378,795.224,705.028,35.2554,359.916,323.856,4456.95,3532.4,550.613,47.9342,458.921,9.29559,1321.69,3313.5,4752.32,1530.76,1557.78,6126.35,4930.53,29600.7,1058.87,4011.06,1615.16,683.51,8039.91,3899.43,1508.17,3641.97,1539.06,263.085,2380.16,24082.2,5.37283,7424.67,9521.05,19972.7,18394.8,7859.79,3566.38,18151.4,285.749,2434.8,29157,1027.73,21872.4,1290.78,1180.48,6637.89,1925.47,27598.6,1861.73,793.84,2344.35,17063.2,11466.3,1569.18,1345.15,2160.5,3852.87,20272,7033.12,1228.46,503.131,3684.54,642.255,107.019,3323.32,307.443,15.3127,570.97,17901.7,5860.08,6.9052,7762.43,13054.5,5336.91,11209.2,2253.73,1481.76,141.456,730.345,935.138,223.377,5940.79,999.434,50.7447,127.31,790.009,3403.75,597.793,794.05,204.162,1348.98,689.283,1427.97,12496.6,16051.7,732.208,1955.7,3426.06,2015.31,13212.7,648.723,237.012,4194.65,626.936,698.708,660.685,209.443,8693.32,16256.2,8285.48,4038.52,686.872,2090.12,1788.34,3826.87,6157.88,1339.87,2352.94,825.443,1560.43,1097.95,3501.36,899.249,373.351,1053.59,289.336,919.679,479.379,103.122,173.409,4676.22,388.43,321.894,384.56,1497.09,303.203,1560.34,1326.48,8147.3,2080.04,0
1487.43,3556.3,9519.18,1453.29,1225.48,19679.5,309.502,13123.9,2812.58,13217,26015.9,537.875,8133.4,14318.5,5337.93,5713.25,2353.88,27544.5,3107.34,3124.43,1386.18,37482.9,14225.6,736.285,1600.74,1879.87,3102.38,10423.5,1251.61,20206,5287.73,1856.21,920.913,481.168,1380.89,393.484,3393.51,2338.98,809.873,2540.09,1907.16,674.711,115.857,119.872,1030.31,1770.78,4424.36,1032.61,6145.88,5271.8,23.2239,471.167,2674,1188.07,543.717,577.192,9229.95,10.2152,1068.64,7.09667,1016.04,1346.19,65.4841,2926.07,1929.81,56.2228,845.836,1538.9,20.16,129.432,18.5247,2623.11,457.357,576.114,44.5382,537.696,26.5608,1261.57,2714.68,2594.72,1031.57,2749.49,3893.48,2364.66,2340.34,2269.67,6255.03,568.26,544.428,4780.12,2531.83,538.647,1157.58,1195.22,259.482,1542.83,495.735,35.5039,6531.09,7913.32,20972.8,9195.75,4779.15,370.681,23941.8,1419.97,742.948,35498.9,1332.81,9621.14,435.556,2735.24,4589.91,1010.82,32661.9,1379.35,793.059,1712.86,8612.63,7458.13,1140.59,440.636,1177.95,1807.98,20546.3,904.524,1562.94,756.308,472,335.654,58.8612,2490.36,305.191,9.20052,718.599,8385.96,9937.33,23.2464,2290.9,10292.4,1754.56,10708.8,10437.9,3102.12,92.4972,443.208,879.542,150.965,4432.14,840.359,64.9652,181.056,700.853,1713.96,252.395,338.358,310.092,3286.42,641.168,160.726,2929.12,5228.06,989.5,1578.75,12330.1,1609.49,309.842,709.67,557.286,6149.13,502.084,969.567,871.701,161.339,4431.86,8516.37,1693.3,4550.57,1771.63,2625.9,826.357,5236.65,10349.2,5849.19,3098.23,1047.3,2765.37,1775.27,1910.04,2550.07,746.988,1413.62,481.263,1286.58,287.037,2405.43,4828.13,2497.93,446.11,229.346,298.046,2586.28,244.593,1151.83,1397.23,3520.52,1863.65,0
