"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
6340.86,2882.5,3314.09,5162.37,450.922,4731.1,11958.9,2645.98,5627.42,6104.3,7424.64,5274.24,2324.25,2921.27,34776,5342.88,1205.51,1584,336.065,3984.54,9854.94,723.256,13810,6941.66,3539.19,4488.46,304.708,590.516,594.562,1538.12,6468.86,4645.85,471.633,1532.23,985.361,26.7281,96.8125,330.745,483.154,3038.27,90.2214,2156.2,844.357,82.7405,279.393,2112.24,248.068,1302.47,878.492,306.88,720.606,254.505,15.9849,1475,241.29,54.5351,1805.27,2091.51,124.069,420.866,844.393,34.2825,233.506,237.109,1810.88,804.911,267.846,23.9111,774.294,12.4517,1244.1,2984.68,1346,867.272,454.429,518.308,1974.77,1318.92,864.541,1668.62,407.908,592.463,4665.86,1186.72,601.811,2951.95,776.821,210.742,347.056,7047.63,49.6381,1777.28,4270.67,15299.6,8602,1168.32,550.042,12675.7,266.924,1230.31,37574.4,550.758,9219.73,497.903,1917.59,1246.82,504.255,35985.3,883.901,1303.79,1682.26,7627.62,7924.6,753.911,1259.41,2498.58,3277.81,13750.6,1836,729.36,491.161,524.903,185.465,209.346,1633.04,639.29,73.0605,403.657,10255.9,2096.23,20.408,1194.82,3143.33,450.513,5920.25,496.319,1683.35,45.6968,304.744,259.98,44.2462,2523.67,330.926,79.4297,141.507,516.042,2299.6,499.298,601.732,93.8745,70.6402,486.71,296.594,789.043,2283.49,271.497,713.042,858.237,268.872,0
6119.24,1779.66,9064.18,5455.68,592.961,4481.22,12312.9,4019.79,11694,6578.2,7304.32,2787.51,3418.27,2360.4,24131.9,7392.36,4094.37,1083.88,268.663,4940.96,12541.7,5453.51,24080.7,15340.1,969.477,1220.17,388.979,650.905,386.518,2214.22,2985.72,2126.72,520.725,1090.12,1583.04,41.881,19.9567,521.896,522.36,1718.02,152.391,2960.5,3126.85,84.2973,569.234,4834.57,348.12,1119.78,1417.38,215.954,551.693,68.0927,17.9605,1472.72,317.576,202.621,6188.05,2715.45,30.2181,243.101,752.19,24.2753,38.6084,66.8864,1536.4,531.17,196.999,66.7052,481.535,26.3602,1067.16,2189.98,869.615,203.838,549.626,913.488,2984.69,1629.24,667.436,1745.47,976.176,691.73,5875.48,1554.98,520.622,1322.12,739.122,163.161,396.967,4497.59,10.6002,9765.07,3897.94,22765.6,14286.9,721.431,864.467,9997.37,445.944,1826.95,23368.7,292.719,14320.8,927.992,1660.47,1335.38,1743.49,24161.2,2266.23,880.652,2895.75,13477.2,5029.39,993.476,1019.02,2972.14,2159.38,19658.7,3877.19,629.639,610.104,1030.26,308.92,32.6159,3032.69,601.448,35.6459,275.192,12960.9,1790.67,29.6495,1707.9,3078.22,631.558,4539.52,346.933,6377.44,107.523,137.25,399.317,21.2853,1135.36,318.71,37.2007,249.602,211.391,2191.82,268.622,728.255,190.102,167.956,696.776,534.543,3958.43,7160.06,321.005,670.008,2020.48,739.69,0
6900.95,5780.55,4365.12,7509.48,401.745,3864.98,8669.58,2277.35,7632.98,4633.41,7928.57,3361.02,2376.08,1285.91,21899.4,6401.58,440.057,4253.55,249.464,4697.88,7703.61,857.602,10308.7,6753.45,2133.3,2011.9,483.955,2588.3,233.573,1826.72,4409.53,3164.35,558.2,4283.11,589.587,44.8118,133.91,811.477,558.606,1000.9,144.786,3073.67,868.215,8.54953,339.529,596.009,140.738,456.757,3976.22,234.781,219.152,342.559,5.27108,1087.49,414.161,41.02,1278.6,1769.18,77.0644,189.322,1109.38,87.3397,237.226,113.089,2165.72,734.809,113.059,24.5853,237.251,9.48883,914.652,1408.05,998.739,287.074,1037.53,927.947,1518.33,2674.11,493.54,1066.96,721.922,434.325,1220.16,521.563,891.475,2873.32,1329.57,429.397,293.705,3064.51,49.1146,2106.11,3911.25,9899.81,4692.47,2843.92,374.62,11437.5,185.263,1286.8,22551.2,439.606,4979.83,821.449,2263.53,987.442,445.123,22442.3,808.556,1666.68,2109.72,3041.04,4881.5,610.059,537.497,1907.26,3135.96,9545.76,566.762,815.671,338.267,481.341,194.224,55.5815,411.274,418.007,42.3483,357.112,4578.55,3749.41,12.6975,1537.03,4700.6,287.76,6597.05,507.264,1306.78,155.64,183.739,264.41,77.3611,2181.05,223.518,72.7182,137.017,440.634,2433.53,371.3,952.987,143.883,138.893,535.616,859.127,396.599,1371.72,258.355,537.921,1504.18,283.668,0
6400.85,2185.63,7792.82,7174.14,634.252,4827.69,9809.68,1851.64,3968.27,2710.12,11964.7,6665.9,3164.22,1903.21,20374.7,7647.18,1060.12,5441.22,622.945,4364.25,13008.1,525.41,9200.61,5681.4,2224.84,1972.85,383.476,2014.03,351.293,821.903,2147.23,1798.21,628.509,717.855,409.305,50.062,100.102,760.003,413.182,942.426,168.773,4857.05,2015.92,25.1413,179.969,1020.18,245.006,2359.92,1636.39,325.504,379.079,257.156,14.1878,2841.21,277.116,28.0856,2083.28,245.128,63.877,235.35,801.682,63.5626,96.1343,130.192,900.268,1749.37,149.217,29.336,815.455,20.413,1368.24,3653.75,1864.13,865.7,789.327,1335.04,2361.76,2362.61,282.025,477.028,695.084,538.507,5508.26,2439.36,809.998,961.951,755.442,204.851,443.325,8448.61,97.5292,1413.27,3768.01,8308.79,10398.2,1973.75,896.417,11390.2,729.318,1488.32,20038.4,453.516,9402.73,879.74,2406.93,1307.15,893.078,20796.6,704.775,1237.61,1128.65,7919.49,6273.87,911.768,2586.7,2075.36,2463.42,7959.24,1304.31,489.003,1848.46,684.035,321.464,322.808,2150.52,615.94,33.6722,343.938,10934.1,3651.71,9.57689,2018.47,2738.28,668.934,4801.49,571.101,4057.86,234.145,268.375,440.807,31.8474,1527.47,338.379,37.7157,156.042,260.086,2029.37,117.885,1839.2,99.8394,151.9,365.698,615.676,1374.75,2388.52,362.285,497.268,693.329,327.345,0
5777.37,2580.94,6398.34,6271.99,545.312,6678.68,13773.6,2136.95,6100.97,2755.19,5143.81,14682.9,2429.49,2329.45,25412,5188.36,1204.15,919.942,139.816,13547.1,13414.9,578.982,11108.2,15666.7,2057.74,1723.3,392.873,1034.39,600.803,934.128,1850.03,1102.01,535.134,745.805,609.675,81.8302,183.028,415.188,418.466,1203.9,120.609,2094.46,534.6,103.195,155.382,2092.63,282.424,5982.59,1037.94,53.3396,287.486,85.7359,7.22013,961.323,701.126,211.996,3087.37,688.927,65.2271,231.899,732.805,62.196,363.36,233.482,1362.96,582.225,279.407,43.3851,713.084,9.46935,2707.44,1721.35,1244,484.892,668.552,402.825,2450.65,931.114,622.801,938.575,592.498,805.098,1324.93,815.024,402.186,1287.39,1018.7,109.001,286.155,8457.66,78.4012,2514.83,3097.58,10441.6,17469.3,1843.47,411.359,14251.7,200.009,1311.2,23551.7,490.311,15782.8,819.169,2000.97,1252.96,748.223,22939.3,911.313,1233.41,1254.77,17085.1,5616.01,797.512,5562.62,4388.86,3020.46,9688.44,1960.18,479.923,361.27,392.339,242.937,49.1271,533.344,643.131,127.707,264.806,17018.9,2407.4,15.6881,2009.51,3127.5,211.837,5030.66,854.391,1283.65,167.969,320.989,292.29,63.0125,1874.79,448.181,88.2139,163.565,598.373,2703.26,390.591,886.363,204.66,129.175,348.102,660.863,1099,2941.45,552.828,596.865,220.107,250.677,0
5025.19,1900.84,7629.55,5922.07,447.655,3755.28,8819.46,2801.58,6307.32,1681.41,10212.5,4010.72,4562.78,856.149,20712.3,9896.58,1567.16,2978.23,331.535,4860.93,5867.83,597.04,9836.97,15281,3387.27,3293.08,257.429,678.397,494.671,1477.2,4415.85,3110.83,845.895,731.068,998.119,44.043,135.261,373.409,283.988,2495.47,105.584,3115.54,3142.9,21.3312,314.972,3000.4,210.38,705.998,1234.05,116.925,596.579,148.794,63.4674,7544.1,329.775,173.382,3661.8,1716.71,90.5939,284.644,661.845,55.0809,96.7092,221.578,1746.47,1176.2,118.283,8.93675,561.274,15.7346,884.222,3917.1,2352.22,1341.49,658.374,893.239,1579.74,2974.36,2401.54,7861.04,596.621,550.186,4272.81,2478.34,1921.35,1604.58,1302.9,81.3526,309.975,3603.04,184.334,7317.04,4030.49,9606.21,11525.8,3498.78,917.57,9217.57,531.243,1361.36,20540.7,347.372,12688.6,580.757,1734.81,1440.55,440.451,21124.9,2163.11,1655.9,712.28,8817.08,8978.99,568.868,789.511,2003.42,1369.29,9077.79,1496.76,428.404,1118.13,511.931,270.033,291.954,2143.31,320.039,63.2226,500.116,10710.9,2486.73,18.1297,1264.16,3532.54,1499.03,6282.86,757.433,3282.33,293.469,173.965,302.107,46.4049,2116.5,315.39,44.7397,180.829,391.091,1600.73,253.718,1562.37,277.839,205.839,206.435,837.714,1285.81,3980.94,357.629,575.795,1553.42,180.389,0
5220.38,2065.63,6106.15,5165.88,425.589,9251.03,14510.4,2561.41,8961.61,2290.16,5876.39,8842.38,2689.51,1473.51,20326.5,6071.98,1761.13,1338.63,270.08,13360.5,10456.9,854.968,12849.7,15608.2,576.008,639.673,165.727,271.159,402.737,572.408,1994.19,1486.42,566.113,644.561,899.759,31.7655,73.7348,518.442,216.28,1071.86,152.98,2396.03,676.756,11.8296,386.162,2470.48,369.133,6842.02,1251.34,121.756,213.454,190.815,11.3493,1346.63,749.741,46.2835,4537.06,496.931,56.3312,228.972,813.925,51.5706,329.048,46.3639,825.848,684.349,156.195,24.2114,499.701,9.31116,3238.94,1379.71,683.96,290.22,924.766,443.483,2238.59,2781.09,466.164,739.133,641.321,760.268,3217.16,2363.3,867.717,993.731,1195.73,235.382,425.79,19264.6,92.1225,2402.49,3647.53,14103.9,15329.1,1471.47,502.268,11943.6,280.569,1497.96,23412.5,292.711,12531.5,275.635,1907.39,1284.2,646.158,21181,1229.8,1601.83,1339.66,14484.7,7063.44,893.473,8634.43,2898.34,3155.04,12797.3,1937.18,572.276,623.26,162.522,280.16,155.343,1839.89,510.984,80.6105,650.964,15430.3,2381.1,86.9172,1550.78,3193.98,394.751,5456.86,789.785,2636.33,135.221,288.262,415.078,41.5041,1338.04,382.822,127.311,197.118,354.166,1488.13,306.572,484.849,338.528,467.506,381.78,311.726,1448.13,5937.01,359.386,778.747,392.623,329.943,0
8137.61,10494.7,5282.09,12461.1,1039.95,2485.58,6122.45,2267.31,4683.19,592.6,10849.1,2171.74,3209.79,1094.45,34537.7,3219.07,664.995,1034.41,418.475,2200.15,4727.59,519.632,6025.2,6516.34,2651.73,4189.86,147.24,808.513,409.557,476.898,3375.87,2859.44,511.914,1052.32,340.154,12.2442,21.884,116.28,201.202,1461.23,214.334,2410.65,1077.17,68.4606,208.96,1060.57,219.917,692.425,1882.83,74.408,604.771,148.366,6.25452,3173.86,185.209,21.0714,1966.57,1178,62.6946,384.571,860.887,7.77048,188.532,89.5863,3539.2,612.195,126.616,78.5237,480.317,13.5794,583.936,2194.9,1077.04,764.214,825.61,393.67,1560.98,574.067,1641.65,4846.66,265.984,560.91,3776.01,1963.87,821.437,290.727,842.854,151.214,153.377,6050.68,53.9282,8997.28,3243.51,6187.93,10157.6,3640.91,209.111,10943.4,1424.42,1157.08,34900.5,487.457,8085.39,412.086,2286.03,1035.44,428.534,32788.8,3376.2,2201.22,654.387,7276.76,8290.94,633.526,878.407,1270.77,444.912,5553.61,462.76,626.56,603.148,489.561,206.675,345.442,2704.59,623.323,69.0187,573.881,10511.2,9081.2,17.7027,516.3,2995.53,151.778,6431.55,828.507,2512.04,222.896,307.093,690.356,18.3803,784.133,459.874,46.6633,126.098,708.873,2458.72,965.343,541.462,565.203,232.361,326.559,482.951,745.329,2218.9,397.648,597.822,713.714,87.1908,0
7266.55,13954.2,8244.79,11164.1,852.066,4972.99,11027.1,2880.99,3069.51,1537.6,8556.5,6067.13,5468.09,1252.42,23336.7,5723.72,1630.3,4219,692.484,6729.71,7230.54,460.841,10494.7,14847,1025.47,1368.07,692.539,433.507,579.753,949.77,7389.93,5391.1,469.312,632.325,257.98,11.6485,135.738,878.721,348.244,2385.64,149.306,3887.31,1772.34,10.8017,282.841,2230.32,239.883,1138.15,1760.43,31.6856,368.929,233.383,13.0155,5014,185.533,68.877,3909.77,856.211,76.2231,308.824,1221.25,7.91359,214.784,94.5019,2205.12,1389.75,87.8192,6.15392,1718.46,5.32293,1125.71,3156.8,1511.22,731.489,1017.32,800.292,1598.15,2888.71,2198.71,6505.23,806.077,507.108,6972.5,3958.46,2563.82,817.026,1251.62,299.889,328.952,4927.81,75.0498,5917.18,4258.78,10142.4,15678.6,5602.37,429.287,12466.1,452.461,1646.82,22685.8,405.994,15971,837.631,2107.12,1302.93,894.889,23824.2,2001.02,3253.27,788.609,13526.3,11567.2,673.556,1092.24,2037.88,1008.19,9378.47,1841.22,500.926,1092.34,679.411,336.425,421.481,3702.19,679.913,53.5365,379.401,15204.6,6644.67,10.2414,955.315,2866.82,1304.59,5264.92,424.422,2944.71,370.418,240.842,351.329,61.5489,1250.29,368.597,147.237,158,306.438,1943.05,161.792,310.09,461.332,153.173,343.091,259.457,1885.39,4682.03,325.883,623.229,1052.66,151.176,0
5216.62,4409.68,8144.78,6394.36,485.311,4681.59,11870.2,3480.9,8966.58,8565.5,5284.85,8300.23,3917.96,2086.18,27013.4,4969.76,2931.82,3735.99,236.135,9715.76,12316,590.02,11246.2,12026.5,6351.81,9693.53,478.39,1119.93,424.739,1905.1,3269.95,1764.42,675.725,948.851,1375.78,22.7643,16.808,384.651,447.003,3053.66,144.661,2407.5,2447.41,32.0712,323.497,3184.37,630.15,2360.58,2235.06,79.0073,359.037,176.114,15.378,1159.11,318.177,103.304,4405.45,1299.43,61.1248,221.247,643.421,50.503,98.918,175.034,1915.77,1363.49,186.855,12.5145,582.117,7.29432,1617.35,4044.31,2697.19,1291.16,835.049,731.014,1774.84,2405.88,501.952,889.711,875.773,841.277,3744.8,1109.98,737.209,3258.31,505.098,212.232,598.761,8301.03,35.0027,3261.64,5318.48,11201.4,15677.1,3562.22,514.289,14337.7,95.2862,1626.87,27394.4,379.471,12711.7,1044.4,2926.6,780.541,1143.33,26745,984.995,2157.16,2266.74,13301.5,6177.85,788.493,2693.44,3306.25,2635.2,10534.6,3917.67,708.572,870.409,964.063,492.408,168.347,1362.02,359.609,45.711,354.973,16925.6,2248.83,43.8492,2473.42,2939.01,721.333,5919.98,858.242,2988.36,193.856,265.354,400.694,47.2117,1644,263.505,60.6873,135.467,382.326,4004.71,495.599,540.069,195.056,126.217,518.265,850.287,1613.18,5807.14,477.991,669.342,696.522,314.483,0
