"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
64.8,214.4,711,281.7,78.3,416.9,31.5,1674.2,1068.4,1331,505.1,107.6,428.5,890.2,923.9,703.5,658.7,2198.9,525,832.8,397.2,8974.6,313.1,381.3,1022.5,140.7,343.8,4496.7,205.2,2155.2,1955.2,130.5,96.9,122.2,514.8,158.8,317.6,1027.2,601.2,35,292.6,241.5,7.3,1.3,111.8,167,216.5,13.7,224,260.1,7025.5,54.6,333.7,21.4,546.7,151.7,82.8,23.5,18.4,882.9,765.1,66.2,298.3,1124.7,15.6,0.7,31.8,124.9,1.4,15.1,7.1,49.2,666.9,76.5,2,50.5,1.5,269.2,421.9,119.9,226.2,87.8,829.8,370.6,1204.9,455.5,942.2,94,165.6,415.1,89.4,93.1,161.5,109.9,18.1,129.3,236,211.2,1028.7,1233.6,2226.6,2143.7,499.6,534.4,1223.8,36.6,97.2,8036.1,29.7,2307.3,61,794.1,716,287.5,8154.8,305.3,341,344.6,1529.3,630.6,253.8,312.2,129.2,216.4,2073.2,914.9,211.8,12.7,22.6,3.9,5.7,214.5,131.2,3.7,34.7,2186.2,323.1,0.8,294.5,911.9,101.4,773.2,72.4,99.6,29.3,99.4,32.8,6.6,350.3,67,34.8,29.4,92.6,244,34.8,47.2,31.3,10.7,170.4,143.2,176.5,1681,214.6,492.5,446.2,595.9,157.4,155.5,47.1,273.4,22.4,72.3,73.2,6,351,625.6,393.6,355.6,199.4,170.2,64,315.5,270.9,127,291.9,89,143.8,46,38.9,21.4,101.4,59.9,79.3,185.2,190.1,12,4.2,292.2,106.8,19.8,77.2,400.7,33.6,48.6,309,931.2,181,0
86.2,423.1,174.9,142.6,150,744.8,71.5,2575.8,459.5,1403.2,2589.9,149.8,532.5,904.6,229.9,264.7,49.3,2374.8,300.8,121.1,181.7,10793,582.8,179.4,167.4,154.4,193.3,1198.5,296.2,283.4,969.7,241.2,106.6,38.7,99.6,73.3,77.5,94.5,33.5,193.1,462.1,1220.2,28.8,14.8,85.8,361.8,460.2,175.1,129.3,100,6190.8,23.4,510.9,37.5,258.2,349.8,172.5,8,42.5,207.2,446.3,98.4,609.2,698.5,212.2,9.9,107.6,256,8.6,59.1,1.7,123.9,83.4,133.8,1.1,82.7,9.8,50.8,209.3,115.7,32.1,76.6,139.9,594.9,113.9,739.6,2268.5,117.5,233.9,98.2,25.1,22.6,56.4,86.5,51.8,63.5,395.4,725.2,713.2,1382.3,333.3,2243,858.9,955.7,513.7,12.1,41.1,9560.1,468.9,2610.3,23.9,1147.1,1986.2,158.8,9933.2,201.8,158.5,163.3,2121.9,384.2,114.7,195.6,107.2,44.6,282.1,270.2,624.4,120.3,143.2,24.3,9.4,18.1,119.1,2.3,36.9,2164,1320.9,0.7,80,2658.9,93.9,3348.3,223.1,368.1,1.5,68.6,33.1,28.8,234.6,230.4,33.1,26.9,568.5,224.4,140.3,111,311.6,15.9,106,24.5,52.3,776,511.3,287.9,476.7,1451.8,0.5,254.4,120.1,437.8,26.1,18,107.9,32.8,270.1,199.9,105.3,1135.2,277.3,159.6,171.7,559.1,532.8,96.5,769.7,74.3,160.6,73.3,778.4,31.9,99.5,109.9,105.5,289.4,134.5,14.3,2.1,245.4,205.1,24.9,111.1,395.2,102.2,297,389.2,229.8,131.7,0
246.3,470.6,556.2,222.7,117.2,1212,85.1,3141.6,2170.7,3226.9,4290.2,284.8,653.1,1094.7,765.7,742.5,510.9,2727.5,446.2,463.9,232.3,12014.6,1479.4,331.2,1185.3,196.2,200.8,5136.6,355.3,2000.7,2217.6,400.1,197.5,279.8,1073,227.4,199.8,547.7,193.5,185.6,729,784,31.4,8.6,103.7,472.8,1117.2,214,254.7,218.3,9022.5,46.6,479,28.9,323.1,182.7,539.3,18.6,113.3,1007.8,770.1,160.9,711.8,2108.3,22.8,20.1,179.4,219.6,3.9,147.8,2,346,203.3,179.4,1.2,93.9,0.7,78.2,605.8,385.3,152.6,210.1,491.2,1168.1,424.8,474.6,1576.4,164.9,182.1,605.9,135.4,84.7,138.6,158.6,60,83,1084.6,591.2,849.8,1594.4,2086.9,6408.7,2345.4,1542.4,1257.3,55.6,117.3,11316.6,460.2,6752.9,104.9,1402.3,1828.6,502.7,11988.4,204,546.8,402.6,5976.3,572.8,225.8,180,208.3,178.6,1964.7,407.2,705.8,124.2,285.2,32.5,11.5,139.5,108.4,3.5,66.4,6719.5,2690.8,2.1,486,3161.1,421,3202.7,365.4,378.8,13.2,104.5,69.5,48.8,321.6,217.8,29.2,50.1,632.2,369.9,128.9,101.8,301.2,8.7,148.4,100.3,260.3,2345.4,279.1,473.6,791.9,1612.8,4.9,233.7,295.6,1737.7,41.5,40.7,166.3,42,849.3,764,769.2,1031.9,193.9,292.7,217.4,425.9,527.5,145.9,567.4,135.5,171,129.6,1235.9,68.6,75.1,121.2,95.2,288.9,250.9,19.7,6.8,406.5,352.9,43.2,371.5,372,69.9,334.8,478.3,520.1,247.2,0
188,466,288.5,318,64.5,1223,58.6,2831.1,665.9,1860.5,2248.4,167,2447.1,4224.4,396.1,1108.9,519.7,3184.3,1292.3,91,317.1,14100.3,1175.2,122.7,295.1,395,2010.3,3544.8,148,2963.6,3672.5,405,163.3,195.7,199.4,53.6,100.3,454,308.5,67.6,612.5,2322.8,33.2,1.4,134.7,908.1,269.4,54.1,245.7,364.4,7264.5,45,372.3,19.1,1059.5,166.7,260.7,9.1,32.6,338.7,608.4,156,191.6,2279.1,47.6,4.6,230.1,257,0.8,57.4,23.5,124.8,105.3,205,5.9,129.4,0.7,152,314.8,80.8,158.1,105.1,228.3,1085.5,570.8,247.9,697.8,154.3,181,159,59.4,12,33.3,145.4,12.7,91.6,7533,330.4,214.8,1562.6,3054.3,3397.9,289.1,805.3,1164.5,3.9,195.3,12453,65.1,3272.9,135.3,722.8,2747.9,295.7,12536.3,67.9,175.5,125.4,2217.2,342.8,229,485.1,424.5,47.8,2844.5,212.1,728.3,53,34.6,65.8,4.1,86.6,103.2,4.6,82.7,2972,1469.4,1.2,208.8,2332.7,227.8,2473.3,436.5,303.4,1.2,26.7,40.6,19.9,237.8,430.8,8.5,18.1,294.7,348.4,117.6,154.8,417.9,6.9,111.4,56.7,117.7,2646.1,299.4,269.2,1032.1,2219.1,1,319.6,172.3,846.1,111.9,45.9,115.6,42.3,741.6,180.9,267.9,1261.9,219.9,269.3,199.1,354.5,337.7,81.7,389,156.6,189.2,51.9,215.2,22.4,40.6,212.9,63.3,414.1,216.4,12.2,0.9,492.3,355.1,14.4,340.6,399,36.6,109.3,690.2,134.4,140.9,0
107.2,305.9,881.1,124.4,98.4,909.8,43.2,3031.3,1115.2,2254,2037.4,146.9,768.1,1123,524.5,842.5,676.7,2780.2,980.6,277.8,390.9,5187.1,2911.5,286.8,1122,204.4,311.3,2975.1,268.1,958.4,1909.4,143,109.3,166,507.4,125.8,183.4,607.8,219.5,224.4,749.9,496.6,47.9,2.4,150.9,289.3,306.7,93.9,341.3,180.5,8041.9,41.2,214.7,23,296.8,107.5,553.4,14.5,59.3,920.9,1497.4,152.3,1325.2,1484.1,64,14.2,33.8,217.3,10.6,29.9,3.5,140.5,224.9,63.9,1.3,34,1.4,113.8,314.5,175.2,102.3,178.3,729.8,542.6,1014.2,739.9,2465.9,114.2,218.8,447.7,90.9,101,159.5,78.8,48.6,211.8,2223.8,1783.9,659.7,1771.1,924.4,2576.9,1126.7,1371.4,1554.4,245.6,109.6,4736.9,486.5,2866.1,89.2,1413,1509.9,219.4,5046,157,198.9,464.7,2302.2,747.4,263.7,259.4,307.4,194.4,941.8,379.6,245,137.9,603.9,22.6,17.8,132.6,147,5,68.9,2869.6,845.6,9.2,524.5,1896.6,450,1009.2,160.9,423.9,15.1,103,55.1,57.9,478.1,140,54.7,34.5,403.6,330.6,185.8,303.4,40.7,9.2,239.2,107.8,249.8,1819.1,327.8,1080.4,774.7,713.9,125.8,216.4,33.1,364.2,28.7,65.8,151.2,28,366.6,1000.9,281.3,715.6,217.8,306.3,163,704.1,303.5,194.5,1210.5,157.6,325.2,226.8,318.1,63.9,149.5,147.6,50.7,150.7,321,9.9,2.8,522.8,212.5,91.2,102.8,468.6,94.2,224.8,407,486,398.1,0
94.9,213.8,782,168.3,84.4,406.3,24.4,2229.6,1199.7,2684.5,929.4,103.5,565.4,1075.6,619.5,476.6,702.2,2064.5,2064.4,775.3,379.5,6553.9,1013.9,560.9,1861.6,195.6,612.6,3981.5,426.6,2265.4,2136.5,142.7,123.4,201.5,746.4,177.6,142.3,875.2,239,176.6,263.6,389.7,29.3,8.4,148.1,198.2,487,45.9,320,255.4,7155.8,45.8,690.6,38.3,658.7,150.6,214.8,9.5,63.6,123.5,1339.7,113.3,1109.3,816.4,22.2,15.3,61,120.6,6.3,24.4,19,77.3,335.8,79,10.4,111.9,2.4,129.3,712.4,372.3,128.2,168.9,695.8,466,353.5,484.2,1085.6,57,127.6,575.9,72.2,91.9,331,111.7,11.6,152.3,1739.8,594.6,492.6,1180.2,2535.2,2191.9,674.1,639,1807.3,122.5,115.8,6721.1,238.6,2580.1,73.2,951.3,1061.7,334.8,6679.5,99.1,158.8,414.3,1657.2,908.4,230.9,357.2,276.5,312.9,2420.9,716.2,245,31.7,195.4,34.6,21.4,108.6,108.7,2.8,27,2346.5,327.2,1.8,830.8,1116.6,339,877.9,103.5,115.7,18.7,166.5,80.9,25.1,273.1,92.3,12.9,26.4,329.7,283.1,82.3,112.7,55.8,5.6,261.9,239.5,207.8,1131.8,222.8,537.2,267.1,583.6,50,139.3,33.4,411.5,52.2,85.7,215,17.9,216.6,1037.6,348,792.6,247.6,167.1,133.9,339.5,326.9,109.5,607.3,119.1,207.5,99.3,192.5,51.8,89,61,61.5,82.1,173.2,20.2,3.2,482.4,71.8,19.2,25.2,331.9,69.7,135.9,350.7,487.1,467.1,0
136.9,250.9,200,193.3,69.3,962.9,52.9,2690.7,523.1,2064.6,1352.6,111.5,486.2,830.8,401.2,299.6,258.5,2196,204.3,66.1,223.1,7476.9,1044.6,348.3,90.5,374.3,161,1675,284.7,3125.3,870,394.9,171.5,164.2,486.4,197.2,81.1,115.5,40.5,139.6,533.5,358,38.7,2.1,125.8,170.1,133.7,115.5,294.4,64.5,9793.3,27.2,187.8,31.2,220,68.1,245.3,16.5,57.6,962.4,137,261,1081.5,831,14.9,20.9,36.2,133,4.1,32.3,5.8,57.4,45.3,139.7,1.4,82.8,1.5,62.2,200.9,166.3,48.3,198,178.4,1088.1,92.4,454.3,887.6,123.8,199.2,202,53.8,26.7,107.2,90.9,40.8,255.9,132.6,538.6,222.8,1608.4,3142.4,2633.7,425,1762.6,457,19.5,39.2,7047.9,398.4,2989.7,9.8,1622.5,1430.6,184.4,7987.6,81.9,107.1,199.3,2229.5,75.4,300.9,218,292.6,101.9,3198.1,647.6,296.5,151.6,79,19.5,8.8,52.7,165,3.6,73.3,2686.1,531.5,5.2,426.8,1604,67.2,1397.9,173.4,399.4,2.1,83.9,21.7,30.4,489.4,123.7,60.3,42.2,427.8,432.2,62.3,108.9,57.3,15.1,233.1,64.7,112,969.1,296.9,471.2,661.3,596.8,1,168.8,36.6,241.4,23.9,17.5,260.1,26.1,348.1,234.3,220.2,1467.6,149.2,187,153.3,533.8,713.5,117.2,726,122.7,266.5,73.5,218,70.4,170.2,105.4,155.6,205.8,305.6,0.9,1.2,536.3,185.9,28.5,315,666.8,73.4,299.3,318.4,274.5,401.6,0
165.7,258.1,557,201.5,59.2,1649.6,34.6,3965.6,465.1,1346.2,2400.5,113.1,989.7,1447.4,183.9,746.9,191.3,2602.9,1043.3,71.3,84.2,8806.3,1275.8,117.3,40.1,241.4,533.9,3648,173.7,1344.7,512.6,302.5,177.5,53.1,1930.8,110,101.9,125.8,60.4,94.9,868.2,514.4,32.4,23.3,204.5,495.8,160.8,174.8,631.3,109.2,10248.4,13.9,111.9,27.1,422.8,39.7,237.2,2.5,62.9,407.7,418.1,126.6,1449,77.5,0.7,11.6,114.2,124.7,2,14.4,1857.7,149.8,53.3,96.1,12.8,187.4,1.9,287.3,146.6,99.4,39.5,167.2,196.1,864.2,87.1,346.6,1425.4,161.8,137.2,254.9,65.7,30.5,51.2,93.7,20.6,127.1,264.6,592.8,90.6,1795.4,1319.5,2308.8,178.5,1505.9,907.9,93.1,40.5,8087.7,316.5,2386,15.4,1563.5,2192.6,59.4,8407.4,33.5,51.3,305.2,1786.8,214.9,538,253,244.7,350.5,1210.1,133.3,667.1,98.2,55.9,17.3,0.5,83.6,186.3,3,94.4,2508.4,1009.9,2.4,71.7,3445.9,36,2999.3,540.4,212.8,0.9,44.5,36.5,30.7,448.2,180.2,11.1,42.7,321,368.5,190.1,77.3,315.4,23.4,179,79.1,43.5,88.8,423.2,389.5,1197.2,1851.4,0.6,245.7,59.3,259,110.9,40.3,136,29.2,372.2,445.7,159.3,708.8,95,180.3,249.2,506.2,963.9,151.4,1334.4,134.9,504.3,132.6,236.4,36.8,106.2,63.9,121.5,148.2,345.3,9.6,2,433.8,223.3,23.7,749.5,1033.4,30.4,504.9,574.3,146,180.6,0
57.4,212.6,569.8,138.1,94,383.9,46.9,1405.2,358.4,2273.9,987,117,1579.6,2567.9,441.4,824,602,1748.7,5142.1,613.9,582.5,7332,652.4,592.6,1801.4,90.8,1909,3506.9,200.4,1630.1,1555,184,112,54.5,309.2,44.5,84,1025.3,436.2,128.5,334.8,5977.1,12.5,10.5,62.8,169.4,593,51.9,159.7,206.4,3642.3,36,577,44.2,1407.1,120.7,233.4,7,30.5,252.3,1190.6,154.7,191.8,2067.9,46.1,5.8,71.4,120.9,8.1,10.5,5.2,94.4,427.4,66.9,0.8,34.9,0.6,239,364.9,253.7,112.2,125.8,580,363,981.6,494.9,1414.3,62.8,140.3,755.7,185.1,90.8,170.9,104.3,31.8,114.5,678.7,272.4,455.4,1256.1,1617.2,4016.3,823.7,903.4,2295.3,18,141.9,6741,209.1,3989.2,115.4,682.8,698.6,154.3,7135.3,109.5,174.2,366.9,3310.5,981,176.4,721.3,331.5,328.5,1677.7,675.9,212.8,61.9,104.6,33.1,28.7,215.6,61.1,1.6,63,4112.6,452.7,1.7,512.7,886.8,374.7,897.9,109.1,244.3,13.7,57.1,38.3,36.3,291.2,66,22.1,38.5,280.4,206.2,146,66.8,26.8,13.9,78.1,106.7,187.9,2241.8,268.1,248.2,299.4,491,19.9,113.9,33.3,254.3,15,119.8,126.8,11.6,321,798.1,757.8,677.3,219.1,105.5,89.1,342,267.4,70.4,324.1,65.2,116.1,76.6,164.1,24.8,76.3,44.5,56,170,132.5,16.8,0.7,679.3,86.9,9.4,161,209.9,79.4,137.3,193.3,532.5,232.7,0
133.2,330.2,294.7,222.8,45.7,788.8,33.7,2763.5,228.8,1549.6,1439.4,66.8,858.5,1233.7,288.5,594,314.1,2158.7,486.9,69.6,126.4,6980.8,910.6,171.1,112.8,251.3,404.6,4971.1,172.1,1419,1279.4,361.3,165.4,65.8,698.6,78,107.5,398.9,168,90.4,415.7,247.4,30.2,2.5,99.3,442.7,180.4,137.7,421.7,97.8,6380.5,31.7,150.7,41.3,356.8,61.7,171.7,12.7,41.3,675.9,202.2,82.6,598.7,407.8,10.2,12.5,80.4,224.6,5.1,40.3,95.9,65.1,115.9,74.6,9.2,91.7,2.2,287.1,162.5,123,9.2,194.4,219.8,247.1,164.9,243.4,657.2,91.5,140.4,318.1,87.2,30.7,75.6,85.7,22.9,189.5,895.3,413.3,288,985,1459.8,1831.8,328.7,638.5,915.1,148.7,61.6,5867.2,559.4,2273.8,18.8,881.8,1422.2,144.2,6320.1,72.2,110.8,203.5,1681.2,264.2,254.4,294.1,211.6,378.5,1465.1,283.9,413.7,57.7,94.5,30.8,0.5,109.3,154.1,3.6,75.1,2290,637.3,9.6,128,1734.8,59.1,1354.8,358,169.1,5.2,64.9,44.2,27.4,551.6,144.8,22.2,34.3,562.1,298.4,133.4,44.6,208.2,25.9,164.5,82.8,110,519.7,433.2,219.9,620.2,1009.6,33.2,153.2,85,169.1,78.1,45.4,219.4,29.1,287.5,225.9,184.6,429.4,286.3,134.8,126.1,319.3,690.5,96.4,972.7,125.7,149.8,100.7,223.5,40,70.3,68.5,101.7,213.1,442.9,28.9,5.5,513.6,242.3,30.1,643,514.8,32.8,314.1,355,123.3,189.6,0
