"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
9.385,10.337,12.059,10.315,9.325,11.086,7.704,14.142,11.588,12.789,13.084,9.001,12.587,13.432,11.496,10.958,12.063,13.067,12.521,12.076,10.883,16.298,10.156,9.664,12.698,10.336,12.466,15.673,10.599,13.007,12.833,10.916,9.91,9.29,9.812,8.944,9.927,11.611,9.574,10.867,11.342,9.933,6.854,5.307,9.895,9.149,11.578,8.439,11.368,9.659,2.828,7.923,8.475,10.658,12.51,10.351,8.971,4.479,9.185,2.744,12.064,10.769,8.343,8.972,8.597,6.287,9.276,8.789,7.18,6.471,6.536,8.239,11.075,9.22,7.713,7.839,4.986,12.907,12.171,11.672,10.353,10.847,11.305,11.342,8.986,9.473,11.015,8.797,10.02,12.177,9.334,9.534,11.187,9.79,7.095,9.023,12.016,4.536,13.598,12.881,12.976,11.988,10.983,10.726,14.095,7.193,9.739,16.317,12.822,12.299,8.39,11.416,12.591,8.931,16.338,10.915,9.413,11.28,11.871,13.011,10.639,11.625,9.87,13.515,12.815,9.719,10.254,9.014,9.455,7.174,7.86,9.583,9.138,5.527,9.88,11.805,11.011,4.684,11.336,13.091,9.494,12.866,10.131,11.286,6.875,9.684,8.503,7.741,12.656,9.147,7.294,8.439,13.794,11.527,9.528,8.373,5.004,9.801,9.5,10.501,8.244,9.856,8.998,10.519,10.611,12.895,6.914,10.126,9.009,12.246,8.628,8.814,9.922,7.504,10.927,11.741,10.271,11.506,11.024,10.931,8.912,11.38,11.421,10.471,10.085,8.911,10.875,9.452,10.739,9.144,10.172,9.353,9.343,10.328,10.186,7.267,3.797,10.59,7.741,2.848,8.845,10.845,6.461,9.836,9.878,10.325,9.689,0
10.01,10.989,11.009,10.698,8.396,12.121,8.032,14.717,11.367,12.851,14.022,9.166,12.602,13.576,11.001,11.02,11.147,12.617,12.968,11.88,10.178,16.112,8.82,8.458,11.358,11.029,13.369,15.672,9.589,13.817,14.493,10.716,9.695,7.472,9.352,9.375,10.884,11.689,9.965,10.668,11.567,11.999,7.051,6.732,10.083,9.59,12.705,9.504,11.812,8.786,6.767,6.318,6.96,10.452,12.124,9.614,7.996,6.009,9.27,4.036,11.092,10.344,9.833,8.142,7.071,6.333,10.207,10.001,7,6.718,6.547,9.176,10.384,8.799,6.04,9.225,4.385,13.664,12.271,11.091,10.424,11.458,10.978,11.884,8.898,9.515,10.541,9.996,10.383,10.696,8.212,8.585,10.663,9.825,9.533,8.986,11.113,6.471,12.199,12.989,13.812,11.813,10.33,9.194,13.507,7.52,8.638,16.095,13.03,11.955,8.099,11.016,12.824,9.191,16.179,9.351,8.586,10.851,11.493,12.83,10.555,11.344,9.738,12.76,13.583,8.843,10.563,8.051,8.568,8.104,3.392,8.928,9.543,3.263,9.792,12.005,12.352,2.233,10.416,13.997,8.715,13.642,10.591,9.697,4,9.826,8.715,7.58,11.741,11.096,7.198,8.436,13.773,11.322,9.244,8.634,8.727,10.957,8.405,11.176,9.304,9.184,9.222,10.21,11.821,12.624,6.131,10.477,9.602,13.062,9.486,7.836,9.543,9.439,11.101,11.061,8.858,11.378,10.745,11.126,8.69,11.766,11.493,9.422,10.282,9.633,10.661,9.977,10.18,8.882,10.73,9.628,8.77,10.108,10.261,8.253,6.025,11.292,8.609,3.7,8.933,10.73,7.866,10.181,10.412,10.01,7.98,0
10.505,10.821,11.443,10.293,8.318,12.341,7.907,15.08,11.696,13.373,14.595,9.405,14.048,14.67,10.508,11.905,11.943,12.762,14.72,12.204,10.594,16.443,9.567,7.352,11.149,11.06,14.016,15.344,8.956,13.957,13.997,10.915,9.889,9.013,9.346,9.871,9.936,12.129,10.086,10.679,10.928,10.66,6.618,4.365,9.969,10.034,12.161,9.915,12.329,8.141,7.558,7.872,8.787,9.686,12.8,9.2,8.498,6.172,9.55,3.278,11.269,10.486,9.162,9.415,8.452,7.739,10.513,9.699,2.807,8.073,5.533,9.404,10.407,8.157,6.213,9.226,4.194,13.244,11.392,10.499,9.762,11.442,10.652,12.484,8.776,9.196,10.175,9.596,10.328,10.122,8.187,9.838,10.136,10.366,9.662,8.027,10.053,4.027,11.616,12.934,13.931,12.543,10.545,8.697,14.293,7.397,9.812,16.482,13.477,12.643,9.184,11.101,13.184,8.629,16.488,9.532,9.023,10.511,12.077,12.88,10.723,11.833,10.847,12.968,13.747,8.82,10.518,7.542,9.075,8.703,6.087,7.9,9.23,3.807,9.408,12.599,12.575,6.307,10.619,14.543,9.423,13.967,10.887,9.813,5.463,8.399,6.78,8.783,12.199,11.283,6.717,8.35,14.262,12.097,9.154,9.593,8.412,10.525,8.734,10.16,9.353,9.415,9.278,9.653,11.207,12.806,7.641,10.623,10.07,13.236,9.253,8.725,9.352,8.419,11.668,10.981,8.829,11.224,10.111,11.79,8.381,11.848,11.213,9.231,9.029,10.41,10.331,9.488,11.584,8.709,9.598,10.144,8.644,10.158,9.821,1.766,6.654,11.599,9.606,2.982,8.95,10.751,7.816,9.73,10.651,10.509,7.335,0
9.365,11.073,11.432,9.469,9.842,12.005,8.113,14.52,10.884,11.475,13.856,8.538,12.527,13.452,10.666,10.897,10.628,11.98,12.804,11.582,10.283,16.378,8.994,8.457,11.571,11.391,12.595,15.44,8.376,13.323,13.805,9.991,9.124,8.223,8.544,7.981,9.433,11.057,9.221,11.287,10.043,11.514,6.244,2.982,9.603,10.124,12.262,9.666,11.312,7.93,5.274,7.848,9.23,9.709,11.835,9.683,8.4,6.098,10.018,1.926,10.339,10.202,8.118,8.494,9.789,7.003,8.962,10.401,4.285,8.018,7.308,8.378,9.854,9.28,7.775,8.74,3.138,12.585,12.221,11.067,9.554,11.753,10.053,11.416,8.741,8.895,9.593,9.416,9.69,10.361,8.275,8.791,10.043,9.984,8.582,9.479,8.027,8.269,11.075,13.096,13.41,11.246,10.399,8.983,13.362,5.82,9.109,16.402,14.222,11.4,7.897,11.309,12.841,9.059,16.44,8.654,8.248,10.651,10.935,12.319,9.455,11.576,9.321,11.732,13.184,8.892,9.755,3.485,8.522,7.981,6.217,8.551,8.848,3.561,9.145,11.344,11.816,1.926,9.898,14.162,9.509,13.527,11.21,8.913,6.265,10.853,7.948,7.952,12.247,10.804,6.463,7.927,11.815,11.626,8.459,9.214,9.153,11.395,8.553,10.856,8.342,8.567,9.995,10.305,10.969,12.937,6.78,10.448,10.238,12.683,9.419,8.071,9.978,7.326,11.618,10.815,8.555,11.129,10.969,11.256,8.172,10.712,11.044,9.435,10.513,9.73,10.405,10.296,10.076,9.236,9.296,9.179,9.45,9.747,10.048,7.716,5.916,9.72,9.021,3.459,8.494,11.17,7.346,10.166,10.581,10.445,8.726,0
9.811,10.832,10.589,9.58,9.531,12.479,8.559,14.208,10.45,11.066,13.475,8.401,11.753,12.986,11.751,9.895,11.714,12.331,8.857,10.042,8.834,15.94,10.61,7.291,7.521,11.141,11.19,14.787,8.89,11.764,12.489,10.5,9.152,7.119,10.305,7.22,9.767,10.152,8.774,10.506,9.285,11.405,6.418,6.384,10.302,10.062,10.224,10.243,11.566,7.873,6.125,3.689,7.007,10.415,10.827,8.601,8.684,6.027,9.909,2.722,8.28,10.09,7.336,8.38,5.885,6.7,10.436,9.933,3.711,8.171,4.954,9.439,9.706,8.893,5.365,9.322,3.053,12.552,13.421,12.343,11.637,10.731,9.57,12.015,6.109,8.371,8.125,9.642,8.766,10.084,6.42,7.596,8.717,8.067,8.126,9.426,10.104,11.214,9.685,12.935,11.759,8.751,10.579,8.301,12.804,6.763,8.961,15.961,12.704,8.036,7.281,10.95,13.174,10.848,15.946,7.852,8.099,9.828,7.859,11.893,9.114,9.875,8.817,12.787,11.606,7.416,10.454,8.215,7.989,6.862,1.433,7.96,10.115,2.926,8.596,8.64,11.739,5.406,9.454,13.665,7.268,13.526,12.107,10.765,6.816,11.672,7.451,8.003,11.753,9.391,6.988,6.72,12.93,12.572,10.597,9.288,9.394,8.11,7.692,8.921,7.595,8.382,10.109,9.093,11.804,12.721,3.233,10.574,8.837,12.343,9.677,7.198,10.103,6.568,11.27,10.373,6.37,11.584,11.473,10.472,7.044,10.622,10.73,10.036,10.86,9.176,9.84,3.787,11.71,9.147,10.583,8.895,9.533,11.762,10.449,5.982,6.695,10.892,9.329,4.672,9.546,10.406,4.792,10.237,10.773,9.397,8.786,0
9.448,11.613,10.979,9.956,7.955,12.508,8.912,14.543,9.689,11.211,13.849,9.708,14.075,15.079,11.338,11.504,12.252,13.351,13.918,10.992,9.696,16.354,10.383,8.499,11.731,11.723,14.303,15.037,9.143,13.376,13.952,9.964,9.066,6.904,9.685,9.419,9.659,11.807,10.376,10.241,12.034,9.065,6.729,5.44,10.153,10.45,14.491,9.695,12.34,8.618,4.178,8.11,9.028,10.58,13.032,8.382,7.638,6.469,9.597,2.609,9.427,10.086,7.303,9.537,6.053,5.94,11.008,10.397,3.536,7.823,2.561,8.862,10.67,8.283,6.733,8.689,2.536,13.294,12.526,11.297,10.511,11.622,10.13,10.688,10.499,8.835,10.567,8.891,10.38,10.863,7.588,8.011,9.606,10.226,7.213,10.246,12.544,3.278,10.365,12.53,13.537,12.923,9.371,9.248,14.534,3.818,9.38,16.379,13.365,13.336,7.662,11.133,13.209,8.382,16.41,7.277,7.6,10.909,12.564,13.233,10.009,12.301,11.656,12.022,13.357,8.893,10.69,7.785,8.58,7.652,2.459,8.02,9.37,3.154,9.084,13.036,12.084,5.109,11.722,13.688,10.208,13.565,11.588,10.13,3.858,9.09,6.356,8.107,12.66,10.615,4.638,7.946,13.447,11.455,9.778,9.181,7.831,7.195,8.943,7.319,8.438,10.012,9.773,10.014,11.517,12.205,8.323,10.531,9.421,12.752,9.547,10.147,10.792,8.936,11.139,10.095,9.619,11.473,11.307,11.427,6.809,11.257,11.739,10.008,10.541,10.252,10.987,9.708,10.026,9.148,10.054,9.975,9.044,8.954,10.221,5.825,2.35,12.566,8.356,3.585,9.873,11.447,6.127,10.169,10.842,9.679,8.579,0
9.823,11.055,11.41,10.472,9.67,11.456,8.256,14.422,12.254,12.815,13.616,10.213,13.192,13.914,12.103,12.131,12.303,13.033,10.999,12.308,10.971,16.184,7.938,10.242,13.103,10.826,13.067,15.483,10.858,13.86,15.715,10.755,9.707,8.394,8.031,9.375,10.679,13.576,11.642,11.515,11.228,9.51,6.571,6.925,10.599,9.087,13.507,8.842,11.247,9.636,6.816,8.232,9.913,10.604,10.916,10.394,8.927,3.036,9.143,5.977,10.138,10.49,8.411,11.294,9.191,7.574,9.142,10.226,6.194,7.177,7.954,9.184,11.071,8.045,5.986,8.486,4.739,12.133,12.469,11.737,10.645,11.984,11.005,11.535,9.829,9.622,10.011,10.223,9.809,12.216,9.596,9.445,11.973,10.164,9.012,9.337,11.209,2.632,13.052,13.036,13.716,12.869,12.287,10.913,14.089,7.85,9.25,16.261,13.763,12.876,8.52,11.677,12.027,10.755,16.243,10.189,10.023,12.094,12.209,13.206,10.41,10.743,10.384,12.739,13.704,11.212,10.304,8.276,9.251,7.649,6.047,9.99,9.775,4.096,9.26,12.617,11.185,7.13,11.225,12.997,9.209,13.253,10.251,10.513,6.576,10.23,8.753,8.026,12.029,10.338,8.215,7.981,13.729,10.806,8.456,8.78,9.041,9.562,9.859,10.884,10.731,11.611,9.583,9.586,10.455,12.752,9.794,10.328,9.442,12.341,8.871,8.474,10.114,7.603,11.023,11.304,10.299,11.5,11.605,10.765,8.516,11.326,11.119,9.189,10.069,9.973,10.636,9.49,10.826,8.3,9.815,9.163,8.987,9.996,9.763,3.573,2.104,10.358,8.623,3.722,8.472,10.239,6.693,9.978,10.949,9.966,9.467,0
10.547,10.87,12.127,10.719,8.871,12.353,7.711,15.1,10.775,13.152,13.976,9.237,13.431,14.321,10.666,12.77,12.775,13.958,13.756,11.307,11.142,16.406,10.116,8.844,12.82,10.657,13.308,15.412,9.681,13.764,14.36,11.251,10.106,8.029,9.353,9.009,9.91,13.034,11.49,10.475,10.9,9.222,7.485,3.472,9.479,10.147,11.431,10.986,12.256,9.667,7.527,7.837,8.055,9.733,12.976,10.036,7.662,3.818,9.4,2.926,11.546,10.383,8.054,9.045,8.198,8.323,9.752,9.435,3.954,8.519,5.895,8.715,10.363,9.139,7.191,8.508,2.807,13.107,13.021,11.73,10.444,11.179,10.82,11.486,9.946,8.231,9.532,8.666,9.97,12.715,10.394,9.266,10.989,10.529,8.064,8.954,11.672,2.511,12.42,12.727,13.717,12.245,10.872,9.95,14.488,7.365,9.873,16.209,13.55,12.163,9.418,10.22,13.15,8.629,16.342,10.104,8.132,11.649,11.701,13.044,10.927,12.266,10.688,13.073,13.544,9.466,10.794,7.548,9.252,8.034,6.859,10.474,8.284,5.638,8.213,12.115,12.011,6.555,11.197,14.899,9.363,14.281,11.314,9.109,5.174,9.523,8.669,6.823,13.038,11.095,4.644,8.186,14.136,12.132,8.987,9.368,7.459,10.225,8.9,10.952,9.228,9.812,9.105,8.994,11.55,12.989,10.66,9.801,9.303,13.555,10.532,8.728,8.552,9.071,11.991,11.692,9.262,11.213,10.016,12.293,8.952,10.719,11.347,8.623,9.302,9.894,9.752,9.849,11.847,9.395,8.762,10.196,8.186,10.47,9.341,6.793,5.399,11.963,9.204,6.426,10.451,10.4,3.711,10.347,10.563,10.895,8.175,0
9.71,10.91,11.796,9.692,8.796,12.018,7.921,14.368,11.922,11.565,13.744,9.335,14.89,15.33,11.2,11.014,12.258,12.333,14.056,11.865,9.436,15.95,11.542,8.536,10.88,10.531,15.024,15.46,8.937,14.139,13.982,9.42,8.767,6.672,9.884,8.89,11.029,11.479,9.939,11.24,10.489,9.994,6.396,3.121,10.402,9.394,11.243,9.262,11.843,8.814,3.711,8.448,8.63,11.354,13.093,9.216,8.131,3.897,9.585,6.182,10.275,11.237,8.454,9.554,7.964,7.383,9.222,9.18,4.603,3.609,6.168,8.495,10.979,9.514,8.244,9.594,2.433,13.968,12.718,11.58,10.941,12.166,11.203,11.817,9.16,9.043,9.03,9.565,11.217,10.072,7.55,9.901,9.716,11.168,7.488,9.207,9.485,4.524,8.768,12.841,14.216,11.933,9.955,9.176,14.777,7.941,10.716,16.018,13.048,11.877,10.792,11.741,11.903,8.372,15.991,4.336,8.571,10.084,11.497,13.844,10.548,12.186,11.855,13.181,14.046,8.924,10.248,6.215,9.38,9.044,4.209,7.519,9.935,3.868,9.551,12.134,11.714,2.485,12.03,13.345,10.251,13.102,11.25,8.763,4.524,10.33,5.433,7.563,11.978,10.477,4.027,7.714,13.69,11.285,9.655,9.029,4.609,10.088,10.304,8.726,8.862,9.914,9.206,9.254,11.769,13.092,6.67,10.024,9.64,12.581,9.138,10.755,9.952,7.059,11.552,11.171,9.092,11.433,11.432,11.104,8.213,11.698,10.934,9.455,10.548,9.404,11.38,9.221,9.825,9.264,10.073,10.003,9.022,10.769,10.139,7.545,5.95,12.626,8.78,6.361,8.815,10.952,6.477,9.655,10.36,11.221,8.718,0
9.741,11.584,9.679,8.672,10,12.273,7.986,14.365,9.343,9.391,13.853,7.086,11.1,12.612,7.598,9.701,13.561,12.763,12.649,8.439,7.025,16.761,8.483,4.573,7.52,11.476,8.571,14.494,6.598,9.799,8.408,9.63,8.423,2.379,9.224,8.226,10.267,8.796,7.135,10.886,9.26,9.722,5.833,7.023,10.961,10.833,12.616,10.435,11.298,3.597,5.221,4.787,2.945,10.916,10.234,6.213,5.379,5.053,8.872,3.433,6.904,9.309,4.524,6.233,10.712,6.326,11.053,10.35,3.818,6.603,14.49,8.941,10.197,9.626,5.511,10.748,2.722,11.515,8.31,5.206,4.209,10.688,9.047,11.681,4.256,8.37,8.379,8.008,9.728,8.664,7.183,6.37,7.802,7.469,8.365,9.844,7.599,5.606,8.933,12.551,9.988,8.831,6.844,7.91,12.864,3.907,8.36,16.6,13.24,8.318,7.678,11.32,13.471,3.459,16.602,7.485,7.677,9.749,7.448,10.943,8.69,9.838,7.84,11.91,10.009,7.161,10.526,7.905,6.52,3.945,3.828,3.07,9.74,4.498,9.119,7.877,12.427,6.552,6.779,13.75,6.865,13.362,11.741,10.266,3.524,11.609,7.077,7.916,11.426,10.538,8.31,8.154,12.374,11.995,10.723,7.705,9.209,3.916,5.104,4.129,6.481,7.061,9.578,10.119,11.494,12.904,3.689,10.758,10.098,12.706,9.545,7.679,10.648,4.615,11.103,9.487,7.2,11.386,11.46,10.324,7.568,10.326,9.895,9.639,10.902,9.503,10.042,6.377,9.428,8.759,10.829,9.993,9.917,10.128,10.64,4.248,3.35,8.164,9.625,3.379,10.218,10.992,7.667,10.477,10.978,8.873,6.618,0
