"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
2086.893,2933.291,13464.35,1473.301,313.5126,8259.629,291.7417,18907.45,15244.97,16469.86,17338.66,1176.946,4793.901,9324.15,5481.791,8466.403,3260.572,26740.75,14069.95,7624.619,6826.802,29475.63,2675.978,2671.93,12241.51,1394.509,3984.56,16211.85,1872.369,23392.06,11281.86,1632.705,1198.021,1611.872,17238.97,131.7017,1556.578,5043.693,1683.854,2296.946,939.0521,5578.259,74.54681,126.741,1973.004,3320.255,3002.715,435.6515,7393.93,1558.16,224.1443,427.0825,5312.794,643.8383,1562.101,1942.406,621.0084,1817.125,2825.466,30.40653,3687.51,878.1564,201.6874,6802.463,2966.159,60.44522,492.071,1363.16,168.0711,55.38976,437.4907,5162.063,5159.474,298.1662,2.191669,2488.883,6.020173,1199.233,2128.216,2535.726,893.662,3137.303,4620.137,5606.772,9768.582,641.7642,1441.019,494.6205,770.5165,12236.88,3903.377,1297.597,2397.321,681.0378,2139.323,1299.147,1993.284,25.04181,6264.858,5810.169,23661.59,19675.53,5462.113,1116.764,12898.31,2734.178,645.8303,26848.05,3908.239,21580.6,275.7021,4967.278,1969.096,1213.274,25295.77,1084.498,738.1482,5035.079,19691.56,5934.409,1004.155,1518.213,1374.503,2283.95,23656.42,3625.556,1130.561,173.4728,698.4818,198.3052,451.5823,3941.424,373.9781,6.504243,550.931,18858.66,4014.674,4.142686,3684.028,11509.78,1719.237,12967.74,1088.67,548.0784,117.6841,717.6234,1325.162,159.9912,5859.647,973.4,74.38353,141.3778,1654.318,3066.692,426.4078,1725.956,93.06903,81.06921,583.4322,681.1947,2990.883,9299.448,1004.938,1525.999,4252.737,2301.019,6847.728,523.1138,278.1148,5246.592,914.0919,584.7753,1011.758,212.103,6588.182,11868.94,2731.663,2347.373,767.0729,2147.245,478.7745,9224.869,5438.324,888.0288,1586.224,754.7679,1438.776,675.0309,1385.179,970.2111,812.2202,856.4958,653.1434,631.4697,400.2774,22.98619,6.094174,2727.219,250.822,1034.631,96.50269,2842.241,385.4891,2865.469,1057.559,3151.916,818.8326,0
1147.144,3087.524,9644.973,2178.163,480.762,4638.678,439.7482,17705.64,29476.43,11656.34,27628.22,3877.079,12709.24,17813.08,6864.033,5731.335,3694.502,27993.63,10678.92,3329.463,950.3336,40608.77,13198.49,1730.512,6497.967,1706.647,5786.672,18797.77,1990.476,20091.06,14079.39,4194.003,1365.577,1747.748,605.3191,722.0095,2136.854,4143.434,1637.776,2249.596,1371.319,2565.084,34.60168,71.63646,1074.587,3173.433,10223.61,409.6565,5241.031,2134.597,139.0584,337.4097,4706.96,665.7632,2193.859,2270.94,476.8353,2805.888,1162.552,1.532583,1830.104,991.7691,98.11851,4049.155,3540.295,57.2983,815.4964,1329.239,17.04602,215.1328,6.983088,4624.707,2924.04,403.9638,5.943122,1990.438,2.601899,1116.485,1757.884,3358.513,723.3141,2513.096,3060.221,16118.52,5335.818,4024.472,8522.581,1479.165,792.0245,31239.92,14503.66,1089.734,5161.755,2666.844,128.8981,809.9243,7892.765,82.19061,2380.855,7019.285,20554.2,24721.82,18717.2,331.3375,18229.44,1108.57,1997.363,35133.42,2405.172,27712.32,962.9927,3969.498,4416.566,2357.624,34853.73,360.9501,3288.114,3309.116,25141.45,17114.09,888.7633,1256.515,1302.618,2975.768,19925.68,2358.872,1349.846,3270.337,1507.93,510.6518,212.751,15337.2,404.3687,5.70817,253.7631,24142.45,7672.27,24.66486,3608.641,10822.18,1677.498,13816.29,1574.335,12536.94,94.38676,766.1044,465.1593,198.4433,3008.546,807.4503,274.9898,103.1864,1469.818,2408.024,289.6077,1644.105,287.2613,80.62132,870.6692,2547.202,2005.819,7122.723,489.4044,2367.467,2871.011,3158.836,1044.381,685.0836,1175.672,4509.123,303.5451,1236.196,1019.524,350.926,10023.02,7497.33,9458.888,3460.26,1044.402,1687.563,663.1562,6213.587,4315.149,721.9764,1834.953,969.3679,2694.929,513.6259,5174.026,660.0722,477.641,810.9473,257.2593,740.7886,417.9109,17.76877,6.609425,2545.355,478.0873,150.6741,533.564,5280.459,442.4717,2825.577,657.8672,8867.709,735.825,0
1728.897,1620.536,4808.647,1614.984,198.5377,3253.235,323.3784,10141.21,20449.12,9234.106,10826.65,870.2454,6473.209,13698.63,4258.287,2173.256,3262.23,11653.81,8403.804,2345.094,1659.007,17909.46,7020.554,1451.772,3592.809,4276.598,2970.543,9348.554,5174.684,14088.28,4773.102,2909.051,1479.67,1311.02,976.5413,498.871,901.8099,2339.309,620.507,1586.753,921.493,4229.812,130.7063,72.96114,1338.657,2268.625,14019.92,1875.897,4538.364,1177.864,117.8689,150.7025,1714.641,395.7533,738.5123,2998.532,1254.034,519.1661,1422.177,17.32541,1567.053,797.3683,51.38406,4476.638,3773.817,78.80966,249.4808,922.1749,26.17116,126.2999,52.42133,2504.617,1207.871,275.4957,14.664,378.5332,4.41507,332.4199,1889.49,2366.663,608.0895,2313.157,1104.203,3950.941,5230.593,678.2318,1347.559,451.183,497.7974,8023.167,2796.497,702.9823,2723.373,869.4363,157.7047,1377.866,7525.365,10.18091,10719.94,9222.785,13814.87,16165.83,12657.11,475.8652,10296.24,719.963,974.5242,17622.32,3563.917,19029.61,388.3958,6263.591,3006.956,7217.694,17157.94,1213.726,1761.427,1362.154,16240.38,14493.35,1439.74,820.8987,1438.308,1350.814,13679.9,2528.823,1039.35,971.8859,562.1876,348.88,133.5812,2390.585,285.2519,4.739807,463.2356,15421.79,1842.645,26.06132,1901.375,12450.97,1299.156,10859.13,1400.605,3084.433,101.6471,1869.563,507.3293,190.8639,2262.354,1535.361,57.9897,51.3984,1566.84,4000.934,4970.438,446.0948,509.9319,257.8867,565.9163,111.8545,1250.222,6896.7,753.9013,2591.188,1687.439,3090.6,1336.471,1137.718,187.3238,7536.113,680.9442,299.6588,842.087,407.5575,6080.369,3283.731,2667.959,4102.402,1149.948,2338.505,1399.096,4294.275,2825.061,494.302,1807.355,347.5159,704.7653,1264.474,2443.087,393.5207,474.3201,732.2324,395.2866,1040.834,348.3777,20.56949,3.614632,3003.293,382.4003,435.2372,462.0574,1972.799,312.5559,770.1724,1425.986,1289.18,454.6635,0
1029.125,1305.604,7320.685,1505.634,284.2754,4548.733,192.2007,13799.29,12505.75,15080.87,11917.73,1686.313,8402.612,14008.6,6544.934,7613.2,15116.61,13264.08,8100.671,3900.423,6984.225,27691.61,5300.438,3755.982,17363.76,1588.956,3568.103,19757.01,3155.101,17827.34,11789.11,2755.81,1169.965,2462.854,1449.576,231.4035,1101.57,14205.45,6602.799,2668.694,1605.349,3092.637,61.64268,92.8839,1609.712,2632.852,4218.069,566.2281,4350.897,5546.265,118.6629,265.1635,7019.693,823.5601,1265.478,3489.602,465.1396,269.1113,1070.111,61.68742,4660.577,1466.659,109.1201,9738.109,1661.121,86.81895,340.6011,671.7679,20.17778,111.6309,276.5461,2063.237,3641.042,485.7018,75.13318,744.4738,4.868932,1196.341,3280.86,3688.033,1210.561,1878.582,2502.192,4734.868,15781.29,2410.65,4831.836,1162.328,739.2766,14598.57,5148.733,692.5305,4290.222,1617.136,160.4578,1202.332,14956.27,27.07396,19079.3,8840.832,17599.02,20527.71,5119.394,2253.091,14588.62,766.1003,993.6504,25106.72,3204.674,24635.31,485.7063,4505.521,5219.512,3467.69,24969.09,4385.797,762.1811,7139.948,22761.5,13259.78,1642.115,1070.259,2030.496,4372.704,18070.99,6498.503,1075.641,501.5631,2552.881,383.078,172.1186,4986.4,284.9359,7.652694,295.7141,19753.03,2611.026,2.797224,4142.958,8408.207,1603.035,10087.31,1373.989,1940.948,147.4282,810.1475,645.9952,183.239,3669.912,569.9854,77.92366,111.9344,1486.454,2387.593,772.6891,575.86,372.3443,148.2377,720.2398,584.0371,4416.417,12971.45,650.1996,2793.899,2641.708,2803.595,11020.09,734.4883,319.9091,3272.168,579.6373,1099.545,804.1286,191.823,4504.299,6181.264,2695.178,3345.732,1192.193,2000.504,1263.794,3670.313,4840.266,892.9113,2613.134,553.6628,2166.368,771.7795,1942.998,510.7979,670.8547,618.0414,320.851,867.8185,442.2267,21.77033,34.07491,4274.867,286.3465,524.9604,266.657,1480.561,175.9473,1009.413,1225.966,3892.258,1624.392,0
1275.463,1561.84,13356.61,2776.894,482.1288,4450.367,136.497,17811.59,4498.129,21145.35,33911.56,1335.492,3918.975,10156.97,6691.74,8775.604,3967.258,22285.85,3530.403,3383.351,4522.21,32940.89,10838.62,3672.394,2526.158,3165.478,1835.857,12919.46,1671.967,34354.13,7222.968,4649.205,2449.524,8671.048,12544.11,1088.846,2007.615,10105.79,2312.698,1387.857,1143.11,3581.178,82.22942,81.09946,1208.507,2980.909,7020.6,453.6497,6148.924,3909.95,250.3793,256.0244,9312.317,1006.176,511.365,16154.57,1958.678,1593.905,1298.668,2.361779,810.9764,597.4077,140.6783,6440.213,3474.002,46.65382,60.93325,810.7424,2.088957,68.35306,27.09845,4217.407,2697.755,215.726,1.428947,254.916,23.2055,292.9144,8674.867,10659.11,3573.538,3438.01,4322.387,2475.426,3371.816,596.1422,769.73,261.2725,626.3666,13646.38,3452.77,1225.25,1773.57,1040.754,410.9549,1781.938,13433.53,11.84481,4330.194,4018.454,34242.38,32345.73,26038.27,702.3318,17666.69,1005.941,838.5447,31356.61,5409.38,39305.77,280.8483,11408.67,1625.488,5200.213,31855.06,589.7195,5026.625,7426.838,33609.7,15316.59,1368.891,749.923,890.5513,1509.242,35771.59,5663.635,601.8852,539.871,303.369,261.3794,93.11697,3654.49,827.5462,10.28207,358.6205,31542.38,8792.536,1.862031,5947.99,7439.889,3159.602,12708.77,804.2234,3322.657,98.15671,601.1461,543.3393,150.3674,2852.884,864.8364,55.95877,110.9487,2895.474,2124.713,650.0157,2844.999,258.5866,76.25528,598.8687,143.0949,4662.788,13903.78,875.9571,1443.16,2438.983,4632.219,3155.444,732.1113,342.788,4833.7,695.0493,437.6418,1051.266,316.0576,6714.724,10069.03,11108.36,3608.017,1034.418,1353.911,909.3095,6987.551,3644.448,529.5766,1760.471,632.3541,3851.452,486.5194,3386.781,946.5984,611.1742,364.8906,289.8306,1299.669,370.5215,25.21333,5.307852,2034.714,101.9741,1464.231,101.8682,2848.322,224.0465,990.5756,1273.056,1841.145,750.9662,0
873.5398,2228.739,8393.372,1263.043,472.6395,3305.962,189.2697,12664.03,2605.863,23335.62,13288.74,876.338,4719.311,9678.699,6773.271,4002.988,6565.727,19269.01,5980.478,3526.996,11799.98,29287.57,6575.109,5664.557,5953.679,1840.758,2380.828,19437.17,2845.828,18589.73,8233.229,2609.07,910.98,5746.952,3821.542,172.0063,2125.57,11169.14,3357.928,2210.478,1227.048,3620.582,105.6742,47.22152,1401.866,2359.707,10682.81,719.8635,4579.917,2249.764,109.5121,421.9102,11662.06,1031.683,1197.193,4618.363,1098.167,850.0798,1181.492,57.52034,2708.768,1385.429,75.80233,14970.71,4703.574,92.0491,303.2906,983.1005,5.835356,57.45686,177.4033,2201.131,2761.791,387.9626,39.63968,274.4652,28.10595,562.0999,12573.95,11662.65,4797.316,1975.177,2658.721,4090.576,11108.08,1069.891,2402.871,481.0587,625.3741,13961.62,4185.966,2545.553,5031.921,648.2888,245.3449,2682.613,10167,22.16656,10582.9,6396.538,18159.12,23761.09,4914.232,2684.218,16387.21,633.2841,998.5259,25297.63,4234.797,32463.56,438.5983,4009.725,4743.432,2625.572,25030.66,1461.291,512.9319,2882.858,30682.62,9192.23,1353.188,1238.976,1205.592,4930.642,18050.6,7565.998,814.9281,535.5482,1030.778,346.014,90.93333,3857.845,385.3012,7.732368,364.1418,23154.32,2546.236,10.97501,4367.526,10118.95,705.1801,8154.982,1115.375,2028.034,109.4983,721.9785,2201.803,241.0936,7099.053,612.765,68.79813,165.4375,1442.349,2288.975,445.2486,1364.681,224.0718,86.4813,556.5251,824.76,8177.568,19789.08,476.3572,2123.573,1795.175,2915.961,17745.74,790.6145,264.6088,5224.798,607.5546,497.9469,929.9985,144.0227,4740.441,7147.407,1508.398,2925.51,1686.596,1817.024,1163.794,5582.818,4973.314,735.0019,1758.778,591.2469,919.0658,902.7225,1066.484,929.8725,517.4799,473.1075,577.324,800.252,379.2052,44.40556,19.84287,3013.051,244.2298,326.9539,124.0595,2569.954,223.8967,1267.061,1896.353,1976.809,2317.493,0
762.9044,2396.258,8968.824,3003.956,561.8542,5551.705,329.7583,13790.41,9537.225,13902.56,19390.01,1710.023,9675.6,16284.45,2981.429,13488.37,4339.764,9471.714,7778.611,3255.986,3834.512,23750.46,2360.947,1831.425,4129.052,2301.558,7512.381,17396.25,4951.174,17135.13,7316.259,3785.056,2459.041,6375.53,857.2637,649.0638,850.6951,5924.452,1973.649,2116.862,1475.469,1743.424,61.44803,56.42252,1440.177,2089.728,5298.63,510.9962,6495.501,953.8391,43.76796,364.2318,9209.209,1290.259,1392.149,1865.837,184.1079,512.0706,987.4717,121.585,712.9497,1437.731,334.1736,6082.67,1943.734,96.88013,408.4893,1134.896,1.837411,186.6098,28.55373,2542.764,1216.049,504.9185,4.030749,800.3818,4.424779,488.7401,1564.482,1662.119,507.9926,4666.965,2813.308,8443.264,6438.227,643.5575,1482.056,378.0778,506.6886,28483.3,15542.91,666.1796,1538.933,1629.198,255.2799,1033.025,28510.11,10.90821,11535.77,7667.904,16429.37,23342.57,5810.014,494.1342,13236.09,1364.735,1977.864,22859.41,3276.859,30483.25,709.1406,4119.028,3079.027,1576.344,21889.33,1896.207,811.3099,6824.91,28703.6,10651.23,1257.455,1212.25,1356.443,6414.163,16807.57,2929.248,1142.279,469.8456,2841.633,798.7862,273.6863,16309.41,418.308,6.304299,176.9732,22178.43,5672.345,14.12808,2251.646,7406.47,2109.906,14211.22,2097.003,1825.294,76.15144,1628.014,973.2505,123.6532,2677.529,604.4946,92.26899,76.05432,1129.551,2080.506,1407.531,481.6107,594.7397,172.3581,955.5115,191.9455,4541.726,8210.216,474.6932,2163.079,3320.912,2944.729,6884.846,847.1625,625.7556,6036.286,472.0391,1337.147,546.7638,674.7515,11685.93,6714.274,6422.156,4653.059,2083.761,2299.481,835.5444,3510.169,3829.6,865.7621,1799.048,413.211,2608.611,885.1592,4614.395,652.7077,415.3382,742.9409,231.7364,688.7969,472.3155,52.67955,86.06209,2892.066,749.6146,523.4859,242.9478,3307.527,288.762,1323.387,985.954,2247.398,1254.741,0
1134.796,5621.432,8036.633,2058.961,185.1299,5440.762,555.8749,18797.45,2643.492,24792.61,20820.42,1344.466,16957.21,21226.71,6103.177,4900.705,3067.465,19412.01,15554.89,2710.53,14383.94,25690.23,5974.388,2677.477,5674.548,1956.772,5520.68,18425.25,1764.919,19593.96,5270.776,2633.608,1796.944,1841.835,2260.293,132.6338,1400.886,8155.866,2276.316,3138.975,1189.248,1549.097,38.6803,80.98948,1278.821,1435.018,5101.646,930.2499,5914.812,911.8433,105.0792,335.059,12296.49,866.7645,2608.546,4505.2,227.4448,2512.324,990.6849,27.71659,1552.249,1065.067,93.18003,13192.84,2936.764,93.15694,193.3967,2576.266,3.881377,60.1894,532.2004,6871.43,3383.487,258.6076,3.469179,1471.191,3.119528,881.7921,1182.755,1107.735,456.045,3857.486,2078.259,4792.162,4975.211,586.4521,1037.757,569.6163,721.8005,6415.945,3135.68,1521.338,1585.05,1254.194,315.3978,1196.746,4927.051,11.51853,7566.533,6378.757,20320.66,28320.07,7006.293,1033.737,14106.85,997.5389,1133.179,25701.35,4676.44,35188.73,537.7734,6789.346,2601.945,1979.337,25369.85,878.2836,1024.132,2616.661,33374.41,8055.647,947.2876,1962.757,2362,2717.946,20167.03,5048.173,1186.519,209.5748,1325.126,365.1241,158.3801,3338.61,477.42,19.69664,439.8513,26621.89,3639.348,3.251954,4429.06,12031.11,941.5727,9931.799,1214.038,641.1128,145.6351,956.779,1721.501,203.5962,3747.137,666.3349,150.8416,116.1685,1100.025,2884.964,394.1963,1970.199,275.8512,109.9081,605.4333,1061.087,8767.121,16043.51,783.0993,1985.3,2904.639,2391.902,16566.93,643.4547,466.5764,8040.076,767.3085,1644.72,1107.148,372.472,4049.229,7761.089,1230.509,2190.778,902.2953,1323.268,779.3234,6031.817,5603.52,644.0074,2221.36,1469.129,1590.764,607.0945,3147.713,1230.463,588.8468,1012.855,490.7133,394.212,357.082,6.032518,83.20832,5708.39,307.1945,43.10958,129.6985,3011.147,467.3582,2678.01,1053.6,1211.005,1352.83,0
2480.415,3099.701,5440.623,529.3395,537.2186,3181.688,265.0066,15300.14,15350.18,13768.31,23750.3,4362.958,11457.64,19540.61,5157.739,5714.578,1164.085,18481.36,11622.81,5505.567,1618.486,30912.68,5771.119,3470.44,3631.961,4798.061,4995.591,19603.34,2528.559,31524.62,8197.23,724.6644,420.4732,657.5671,334.1358,929.0105,2477.179,4476.438,1311.562,3790.914,792.5535,1506.327,62.25827,71.38887,1582.12,2776.024,11024.29,919.434,4181.508,1059.208,72.4342,1160.399,2942.979,2097.878,1329.624,2165.084,1343.718,4201.916,3172.244,1.597799,577.7235,711.4977,48.80616,3461.521,2493.124,51.93318,309.1561,1492.013,42.98473,246.2418,21.89067,2444.701,1455.611,116.0036,445.4992,706.7726,53.09756,1535.137,814.2149,813.9854,128.0692,2344.51,2217.998,8719.031,10177.76,5752.87,10195.08,1369.805,759.9016,35246.84,16339.01,506.1832,895.1615,715.0077,42.68756,1911.794,15493.82,22.30701,9292.905,4942.928,29631.61,19975.93,9730.107,162.4026,10242.09,2918.267,1958.762,31806.62,5041.364,23192.54,871.1565,4378.93,2444.31,1164.186,30384.64,1302.667,1103.53,3358.956,19425.27,18790.89,958.8914,1287.946,2271.61,1460.458,31699.07,4971.621,1780.501,784.4011,1428.231,622.3309,183.5459,17403.01,423.7825,5.187927,418.2763,19529.21,5924.94,3.93616,3161.549,8645.848,1354.281,18207.1,767.1149,3115.587,24.77191,1553.319,839.9744,194.7155,2113.765,847.2048,800.5364,70.48338,1347.485,1136.621,206.2015,366.4297,1189.944,462.7851,2222.958,143.6714,1076.611,5417.84,1650.427,1820.688,1714.789,4552.76,969.3636,1045.844,1003.627,4852.993,1115.703,1724.049,1184.439,264.6841,3300.589,4202.696,3861.632,4328.211,2302.624,3390.966,516.7612,2617.611,5486.124,2925.131,3161.862,229.513,2714.229,467.2104,2874.736,562.0616,738.4184,595.3704,724.5926,1609.057,624.552,25.89009,5.829031,5600.031,341.1323,1111.698,136.2716,3511.704,871.4526,516.0397,1296.046,2953.163,1636.846,0
2101.688,1677.237,13310.57,2495.201,452.276,5350.816,193.9587,16800.65,6242.064,12188.15,15662.89,1006.272,8645.95,13986.85,5399.563,7096.317,6462.99,15113.39,8722.599,3605.74,3777.468,31753.4,4991.345,1725.448,3509.752,2659.34,5619.38,17076.09,3183.828,18186.65,11286.6,3916.359,1959.406,2011.445,650.49,333.7618,1453.577,9962.676,3875.968,1772.048,1414.079,3620.371,80.994,61.4401,991.3255,1927.651,8801.265,1112.15,5070.098,1875.811,70.09589,314.0422,4409.406,1065.433,689.3395,2231.544,314.4011,1237.599,905.9816,22.58813,2083.934,1143.398,1773.122,7217.03,211.1114,36.85038,781.0383,913.1021,10.67698,116.2985,28.8578,1178.997,1698.196,488.6615,32.22993,704.1436,6.52469,1773.498,1687.303,2011.15,576.9611,2700.452,4414.01,4997.208,3759.164,892.1044,2204.624,944.1379,605.5513,20947.59,10106.25,835.5694,2618.803,1436.363,190.804,1773.327,7714.68,2.557512,4909.26,7419.104,18712.61,19820.23,3191.612,954.5698,16018.84,913.0297,1651.683,28234.6,3156.445,23544.14,925.196,4021.465,3602.742,1153.171,26695.96,757.504,554.2581,4637.676,21525.06,12466.26,1810.941,999.8309,1556.521,6088.983,18273.42,3080.355,1490.692,250.5167,1759.651,427.3612,349.6919,9711.562,469.2015,10.15716,343.417,19427.08,3410.943,21.64244,2840.674,13712.38,706.6746,9382.777,1589.964,962.9769,97.28905,677.8932,890.0946,197.1334,3669.164,760.264,103.2872,73.0594,1368.739,1205.148,928.696,854.0021,435.922,770.5303,1578.185,386.9417,2758.109,9269.541,462.7803,2732.119,3114.258,2607.599,3965.748,642.0084,463.4317,5326.132,457.8728,2412.824,1148.434,277.2539,3875.353,10641.33,3835.448,3777.246,1441.831,2205.095,664.6036,5248.211,4124.268,786.5313,1485.744,709.9583,1639.448,851.219,1851.606,578.3987,695.1004,710.5715,367.2412,1313.469,427.4932,8.297566,11.31273,3321.618,434.6961,639.3052,285.955,1914.113,288.232,780.2648,1034.457,5164.875,1000.017,0
