"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
6431,4326.3,5513.5,4817.1,1171.9,2499.6,6917.9,3856.3,7590.2,2013.1,7881.9,5185,2108.9,2776.6,34983.5,2825.7,3225.7,991.3,681.3,4040.3,16272.8,1382.5,20358,19510.4,393.9,560,409.7,280.8,370.4,901.8,3767.5,1625.1,847.4,562.1,1447.4,9.5,20.2,647.5,1186.4,1487.4,117.9,2248.3,3052.4,76.1,500.2,3339.4,820.2,1767.5,2114.9,762.5,114.9,152.8,22.4,1237,360.6,17,3146.1,729,26.7,499.4,1077.4,13.4,205.1,124.9,1367.1,1490.5,160.8,54.9,1071.4,25.1,1041.3,885.4,442.7,22.8,437.2,518.7,2877.2,15833,1395.6,3382.3,540.4,587.8,3920.3,1061.9,465.9,1514.2,886.1,38.6,156.8,3882.3,17.5,3228.2,2959.3,23028.2,20760.7,2655.5,661.1,6673.2,39.7,1509.2,43381,666.9,15974.4,405,1764.2,1459.9,1851.6,38771.4,640.1,1190.7,1694.6,18202.2,8180.3,841.3,1778.5,791.4,1369.8,22243.4,2809.5,558.4,200,325,200.1,90.4,1778.3,250.5,37.7,180.3,19331,994,31.8,1689.3,4048.1,349.2,6751,484.4,782.4,282.8,211.8,170.6,6.2,867.2,164.9,63.3,173.6,437,1536,297.2,283,339.7,104.6,640.8,246.7,1446.1,5723.4,214.6,914.4,1613.7,621.5,0
4598.7,2604,11015.6,3514.9,738.7,3632.7,7412.5,2704.4,4164.9,2554.8,8394.3,5490.4,2580.1,7473,21218.3,3387.8,3274.3,2242,347,3663.2,18409.7,830.3,11614.6,7912.6,874.1,1221.2,454.7,906,573.1,1227.1,2058.8,2242.1,418.8,549.8,1078.9,99.6,177,455,143.5,6557.6,206.9,1772.1,3031.4,161.6,514.2,5968.3,529.7,3219,1782,499.2,867.5,37.2,111.5,874.1,321.5,148.1,5830.4,1066.3,192,344.1,808.4,110.6,73.7,108.7,2144.9,803.5,197.2,296.1,887.8,155.9,1394.2,1298.1,601.7,128.8,325.7,205.5,1559.9,2633.1,390.3,590.4,146.3,750.3,2035,561.8,1347.6,972.1,1617.5,380.1,560.4,7869.6,130,3696.2,2563.3,11289.6,17338,1256.6,423.2,4250,150.3,2182.1,20478.5,807.3,16110.2,1174.2,1458.8,1564.7,845.7,17128.6,2403.7,1462.8,840.3,17673.3,7966.3,1122.1,1719.9,2240.3,1180.4,10073.8,3813.6,1346,468.8,629.5,325.6,58.8,558.1,453,141.7,432.6,17785.2,1855.2,64.5,1932,2990.6,170.7,3751.7,451.5,1293.6,96.7,121.5,389.8,16.9,1629.3,344.3,54,406.7,1029.6,1064.4,313.6,547.8,292.4,328.7,211.6,157.4,5266.7,7291.4,585.5,284.3,238.5,293,0
6968.9,4686.1,10808.4,6368.9,1348.8,6064.1,11857.9,2556,5584,4785.6,10594.4,6099.4,3030.7,4749.2,26310.7,2382.7,3711.3,1529.1,598.9,6076.9,16521.9,1450.3,19840.7,15682.4,827.8,953.1,1009.2,489.4,1077.1,624.4,2817.9,3078.9,640.3,886.8,2998,48.4,191.3,313.6,448.6,2005.6,68.5,3081.2,1169,82.9,457.1,5163.6,247,1405.6,2361.3,141.8,495.9,106.8,8.1,826.3,311.4,119.6,6677.8,472.5,61.7,571,942.3,46.2,160.1,160,2145.6,1730.9,187.3,53.7,368.8,12.5,1060.3,838.2,443.7,158.9,458.2,653.3,4376,3875.3,993.9,3390.8,659,713.1,11824.3,5635.4,1044.1,1139.9,1264.8,139.6,427.8,9681.4,43.9,3701.5,2619.9,19133,19936.4,2012.4,540.5,8075.4,230.3,1831.6,25730.3,1296.3,15988.8,1040.7,1510.6,1470.1,795.9,27205.1,1187.3,1168.3,1320.3,18879.7,7700.3,977.2,1545.1,2682.3,1364.4,18613.2,3602.5,824.5,307.5,670.3,296.3,137.7,6484.7,379.1,58.8,653.2,20438.8,3465.9,38,2055.6,3565.6,421.2,4527.1,567.8,964.9,235.8,855.1,390.7,33.7,787.1,342.4,55.3,197.1,1222.2,1541.4,422.4,319.5,353.7,80.6,823,451.4,4212.8,7607.2,379.8,587.4,813.8,361.6,0
5548.1,3233.8,5725.1,4510.8,463.8,6738.7,13119,1682.8,3685.7,2525.4,6357.1,7280.5,2371.2,1988.7,19734.5,4795.2,1202.3,1876.5,404.2,8160.9,12818.8,942.8,13009.6,10205.7,498.3,733.4,944.3,2642.4,266.7,1032.3,1812.8,1797.5,481.9,603.9,1104.2,25.9,121.9,425.3,516.9,2296.7,158.4,2250.5,2325.2,85,234.2,1886.5,398.5,3073.8,2759.7,447.6,1496.9,192.4,44.6,865.9,377.2,102.4,3135.3,737.1,106.7,345.6,944.5,270.8,101.5,113.2,962.1,1292.5,109.8,166.3,1092.5,186.8,1558.4,715.3,354.4,25.7,802.8,799.9,4402.2,2777.6,752.8,1672.3,732.4,655.1,8255.9,2803.8,766.8,2190.4,1317.6,156.2,315.3,6864.1,32.2,2503.4,2887.6,12775.9,12761.3,794.4,365.1,5514.7,749.9,1665.2,20265.4,579.5,10887.7,692.5,1198.7,1146.9,353.9,20261.1,1504.7,1047.3,802.1,11696,9761.3,796.5,2666.4,2586.6,1832.4,10701.7,1609.1,748.5,404.2,565.2,418.1,38.5,3606.1,387.3,187.2,498.4,12737.7,2341.5,33.5,864.4,3191.2,419.7,6568.8,720.9,912.7,81.7,437.8,270.2,9.2,679.8,245.6,147.3,330.5,671.8,978.5,490.7,721.8,374.3,251.4,1020.7,264.3,2053.6,3302.9,289.1,374.7,841.9,232.8,0
8186.2,3574.7,15967.5,5343.6,1279,8472.5,18916.3,2366.9,8257.6,5178,6010.1,6704.6,3051.2,6132,16172.6,2679.7,3884.1,1890.3,330.4,11938.3,21278.2,1164.7,19513.4,16160.2,634.2,877.3,534.9,734.6,365.9,794.1,4931.1,5008.5,520.4,1063.2,2055,20,88.9,386.8,375.6,2545.8,78.2,2457.2,2666.5,59.4,447.4,5986,298.1,2663.9,3422.9,162.8,314.9,141.3,272.5,902.8,516.6,193.1,7200.1,571.7,47.5,209.4,796.1,27.8,281.7,128.1,2047.1,1149.2,89.3,43,290.7,8.8,2581.1,2083.5,1222.8,621.6,585.3,685,3325.5,4519,502.3,1163.5,351,686.6,2145.6,904.2,901.4,934.1,1037.3,215.2,364.8,5360.6,44.8,7578.5,2660,20108.5,22976.9,1441.1,525.1,12413.1,120,2222.9,18702.5,1156.9,18871.2,914.5,1155.1,1551.5,617.1,16016.2,1968.2,1152.7,1153.2,20667.8,11130.3,904.1,1880.9,3512.3,2712.1,16557.4,4833.9,676.3,1160.7,607.2,386.3,40.5,1110.2,427.9,27.8,560.3,23827.5,3253.3,11.7,3162.9,2870.8,1055.3,5748.2,609.7,4328.2,269.4,238.1,209.9,17.5,1111.3,290.3,58.8,188.7,1541.8,1984.4,187.4,562.2,242.1,88.3,364,612.5,9273.7,9287.3,415.2,560.7,719.9,329.4,0
8616.5,2098.7,11439.1,6499.1,1379.8,6851.9,12025.9,1866.5,6739.9,4609.5,5007.8,7166.1,2953.2,3878.4,20583.9,1502.1,2046.4,2769.7,550,9797,18289.1,876.8,14338.5,17082.5,707.7,633.7,493.6,683.8,513,637.4,3767.2,2631.7,685.3,822.9,1375.3,37.3,156.4,434.1,345.4,1581.9,48.7,2735.7,1118.7,103.6,327.6,3904.3,296.3,2517.1,2473.1,120,225.5,171.6,12.9,1291.6,446.2,489.9,5568.1,190.7,33.9,192,727.6,12.1,225.4,58.2,1746.5,968.1,109.7,47.9,544.9,7,2272.6,1781.5,615.7,32.2,504.8,781.3,3735.3,5046.3,501.3,1209.9,539.8,644.3,2703.5,1171.4,826.1,911.3,1087.8,216.5,268.9,10817.2,28.7,3009.9,2914.5,13596.7,18044.6,911,594.7,6645.7,179.3,1502.3,21360.1,1119.6,15705.6,846.1,1265.3,2758.2,266.9,22180.1,985.2,544.8,1217.7,17938.9,10690.2,946.1,2020.1,2851.2,3621.6,12338.8,2872,673.7,535.3,1133.7,236.8,40.8,1426.2,437.6,24.6,801.9,17782,2861,78.3,1946.5,4249.8,832,5788.7,786.6,1484.6,215.9,363,252.6,47.6,1126.1,381.2,48.2,171.8,1233.2,2208.1,213.1,489.3,391.1,121.4,380,314.1,5285,6785.2,561.1,660.6,494.5,333.4,0
7820,1348.1,6253.9,8202.1,902.3,4687.9,11596,1814.4,7044.3,1279.6,6641.2,4832.6,1236.3,1579.3,31540.8,773.2,1369.9,1293.7,1257.9,8405.5,15504.8,1198.1,13748.6,7092.3,363.6,555.1,208.2,282.7,276.4,712.3,1241.1,1498.8,420.7,897.4,2320.4,58,88.6,305.8,398.6,1968.3,124.5,2942.6,902,102.5,254.9,1986,334.2,1604.2,2664.2,188.1,193.3,185.4,38.8,1593.7,199.9,411.9,2365.3,610.1,60.3,432.2,1195,58.7,418.7,146.7,1731.7,527.4,128.2,76.7,311,12.4,1155.2,455.7,254.7,14.3,548.8,259.5,5389.1,1703.3,454,1037.4,318.3,468.1,4671.9,1744.6,404.5,299.1,1078.7,133.4,189.9,7430.7,33.3,4357.1,2065.8,11970.1,13654.3,2913.9,546.6,5335.3,312.8,1454.7,24638.8,1713.4,12372.5,797.4,1342.7,4264.7,670.7,31531.5,905.9,1719.6,1168.1,10717.9,10606.3,528,1415.8,2647.5,1820.9,11610.3,971.3,1021,492,223.6,242.1,61.8,2173.5,548.6,34.2,410.7,13128.7,3921.2,42.8,765.3,4003.4,624.4,3515.2,1059.7,1386.5,285.1,347,307.5,30.7,716.6,469,62.4,213.5,1377.7,2036.6,359,297.8,957,299.2,483.8,154,2817.3,4178,566.2,474.5,792.4,548.1,0
7423,8856.4,7529.2,5521.2,1232.5,6927.5,13667.1,4188.4,9936.2,6929.9,7383.9,5268.5,2607,1425.8,19207.9,3142.9,3120.1,2164.2,1083.2,2497.6,10337.9,2451,11454.3,12354.4,588.8,750.3,461.5,93.3,1060.7,1064.3,1660.8,1117.9,824.2,484.6,2329.1,22,129.4,566.8,336,9582.7,105.8,2896.3,2528.5,13.8,356,3587.4,247,1269.5,2853.3,409.5,285.4,168,3.1,788.1,856,66.1,3779.3,1261.7,32.3,224.8,2326.2,13.6,99.2,43.5,1865.5,368.8,114.9,5.5,629.7,4.1,683.1,1120.8,629.4,101.7,425.4,553.7,3532.5,1610.9,550.5,669.4,453.7,507,3932.7,1577.3,665.6,756.7,1586.6,251.6,304.2,2401.2,35.7,10756.7,3811.1,11318.1,13431,2677.4,195.3,18015.7,398.4,3477.4,20293.2,1391.3,12020.8,1918.3,1686.9,852.3,2280.6,19527.3,2834.8,1349.8,3563,11962,16063.2,640,1065.1,3193.2,715,9946,2659.6,769.2,937,671.1,368.1,84.3,2086.3,516.5,13.8,769,12688.9,2116.3,6.9,1546.3,2426.7,1912.8,7056.4,1765.1,4323.2,176.1,453,466.3,43.3,533.1,632.7,53.1,165.8,1441.8,1956,138.2,149.4,475.9,111.4,323.8,95.5,3730.7,4266.2,559,706.5,1270.3,716.1,0
6981.7,10924.2,13878.5,11880.7,1262.7,3936.2,8180.5,3082.7,9745.6,4397.2,10428.2,7117.1,3830.4,8333,23746.4,2466.1,4294.5,1706.9,559.7,4324,16443.5,609.8,19203,14294.5,1311.5,1973.4,612.6,3670,261.5,728.2,3706.9,3668.5,519.3,1056.7,1290.3,13.8,167.1,484.6,331.3,3028.8,51.1,4033.9,1940.1,272.9,524.1,7920.3,283,1751.5,1664.5,298.7,1217.5,130.9,75.7,676.4,194.4,44.8,9583.3,1027.7,28.3,153.5,1367.4,26.8,161.6,135.3,4107.4,2023.6,113.4,29.4,697.8,5.6,583.1,2517.6,1035,1014.3,421.8,1597.4,2534,4172.8,775,1673.8,159.1,662.7,3873.3,2091.2,674,700.2,855.1,748,267.9,10614,21.3,4511.3,2896.4,16644.1,21788.3,2936.4,517.3,5557.4,397.8,1545.1,20099.1,1525,19238.3,772,2053.9,1351.9,2862.5,20729.4,1356.1,1793.9,1971.5,18213.2,6932.1,619.1,1398.3,3168.1,1069.5,17236.7,5436.2,687.8,317.9,430.4,355.3,88.1,2717.3,501.5,22.7,560.7,19959.9,7877,6.4,2858.2,2648.3,443.2,5612.1,264.7,840.5,303.4,238.8,537.1,52.9,828.3,407.6,49.7,268,1586.6,2356.7,236.1,1145.9,166.4,47.7,372.1,239.5,9013.5,12779.5,319.7,474.4,396.8,307.7,0
6955.5,14272.2,8641.8,5505.8,2069.5,3338.5,6407.4,2021.7,3638.7,2547.9,5584.4,4065.9,1878.5,2489.9,24092.9,1895.7,1395.7,2417.8,1175.1,3655.6,20097.5,445.6,12785.9,6902.3,1348.1,2124.3,409.7,60.3,839.6,630.1,1198.3,1022.4,342.6,1095.6,754.7,49.4,210.1,357,554.6,4145,287.6,2419.6,460.9,28.5,436.4,3355.7,276.3,1320.5,872.4,244.6,114.5,236.3,11,883.1,485,497.7,3488.1,1323.1,52.3,597.1,1494.4,45.4,194.4,62.8,1856.6,1075.4,119,52.2,261.4,18.2,458.4,611.1,439.3,54.4,504.1,1112.2,5668.8,1893,487.3,1122.5,295.6,418,10990.1,6048.1,430.1,675.6,1187.8,255.7,323,4370.7,46.5,5549,1926.6,12220.1,14576.2,2822.2,336.2,4389.3,197.9,1314.5,20883,852.6,12619.5,571.4,978.3,1338.4,790,21642.1,1700.2,1587.5,794,13698.1,12009.3,384.7,1410.3,1670.2,573.7,10976.4,1559,1050.8,838.6,1253,171.3,360.7,8591.9,526.4,97.9,517.1,13419.9,2490.1,18.4,1035.2,4572.2,584.8,6655,586,2277,262,819.5,188.6,51.2,520.9,710.6,80.3,139.7,534.1,649.5,204.1,289.1,633.2,96.4,414.3,139.6,2974.5,5089.9,549.6,329.2,663,247.7,0
