"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
8.239894579,11.19191743,10.89598366,9.957043199,9.9678,12.97894377,8.821319323,15.06148197,11.5431616,11.81126959,14.24129649,8.466668548,13.96302357,14.88917281,9.769698781,9.97604695,10.47391125,13.01971307,13.65052671,9.808456901,11.61817783,16.26663991,13.32106967,9.203926712,8.619105985,10.53217887,13.72108168,13.66574961,9.400151957,12.63026008,12.95927686,10.42268196,9.781779012,8.038297393,8.875426853,10.28061253,7.742976657,10.01027375,8.067751375,10.4093022,11.59226844,7.904423224,6.086704989,6.26109707,10.60063836,9.43673121,12.85312511,9.395580079,11.49944078,8.76800953,8.159429725,8.380876618,8.010909246,10.49443851,12.95815725,8.189409062,6.235460272,5.250087311,9.531414899,1.762277929,8.479548765,10.86606097,8.365262051,9.352091324,9.64437134,6.687215646,8.176586651,10.4831716,4.931835456,5.232950418,5.722279556,10.86741453,10.82882743,9.312451898,6.011046979,6.409563191,3.279467271,11.12319313,9.011718498,9.207135404,7.392284056,12.81227613,8.676506433,12.09644538,5.933199578,9.364151492,11.09281576,12.29591252,9.71948321,8.50478471,5.415752104,7.601847346,6.906995536,9.566726738,8.225483935,10.13913981,15.61365369,9.059841473,9.055136328,12.84904163,12.74089819,13.35396928,9.760857334,9.412159571,14.51021268,5.057428172,8.948407729,16.14943125,9.741425463,13.50989774,8.144717986,11.52711151,11.76885369,7.561992351,16.30463185,5.441772967,7.675113355,10.71288534,13.15931003,11.53238603,11.06088808,13.4257115,11.82218711,12.57480273,12.59074395,9.052363307,10.05334992,7.115767555,8.36266955,7.563268633,4.348107352,7.168323834,9.650975341,3.365665741,7.394030406,13.40736944,10.90942322,5.23856539,11.35825189,13.09715587,7.971522635,13.27513173,11.14371281,10.6851459,3.002042619,9.237174498,7.28560054,7.033310055,12.13268667,9.849138613,6.775877466,4.316403194,8.687087852,10.92655617,8.808813112,8.751038209,4.503556235,10.11203469,8.422278107,9.139180244,6.563122761,9.750995072,9.734506938,10.3904257,12.10445871,12.84166362,10.8454656,10.4070526,10.31409605,11.68393805,7.737113377,10.71754628,10.74166117,7.329814305,10.36095619,10.98261804,9.05482133,12.06845269,11.70092027,11.76775483,6.16787899,12.39805158,11.17503021,10.15866343,11.49459827,9.555007198,11.52753826,10.56528512,10.18185726,9.326832576,9.294426162,8.975396477,7.692963174,9.90708153,11.13387445,5.926521434,6.31472522,12.4588259,9.202534944,6.736864264,10.13044231,12.22940406,7.67004526,9.490587047,10.15081191,9.414094348,8.786569852,0
8.499465185,10.98654962,11.13283066,9.079466356,10.1065083,13.53571894,8.934216988,14.96438901,13.27513173,13.74962752,13.61432973,8.875154397,13.51889561,14.81910754,10.88415393,10.15197917,11.35186194,13.40514799,14.15620493,9.881813965,12.67236694,15.82082128,13.90439527,10.32338376,10.02360012,11.15767708,13.7425189,13.99651319,9.471062101,13.71225056,13.21760277,9.621850009,8.327254665,7.570481408,10.23885362,10.05489177,7.415309643,10.85969598,8.858703105,11.43411816,11.34315361,8.291467631,6.860646199,3.686014024,10.57800864,9.781002251,10.10557779,9.415582353,11.50397966,6.905559037,4.154286496,7.645222066,10.1991103,10.20975096,13.67135357,7.673034283,5.779995234,6.000919901,9.530200654,2.260292128,9.139683809,10.838129,7.424316142,10.67279109,10.70761217,6.409070064,8.938384536,9.368985622,0.719470289,2.665335041,6.307319509,10.45438543,11.28268915,7.62397632,4.862263992,8.655504524,3.414465765,11.02017736,9.380370347,9.668927118,7.620323656,12.07470702,8.693817384,11.93141191,6.772477091,9.894692221,11.62816895,13.14479793,9.410267664,9.045852016,6.284434784,6.88738034,8.979136728,9.75331639,7.378004891,10.31543916,14.93331362,5.243792381,7.895968185,13.33014531,13.69566862,13.83802231,10.23371932,9.412850588,14.31129949,3.633022484,9.555149588,15.75634449,9.721540961,14.1889528,8.708567436,12.17467995,12.32450196,10.7482829,15.92636212,4.478773983,7.788392722,10.99143132,13.61702062,11.57594236,11.35895243,13.36903112,11.92413075,10.87371531,13.84722411,10.47595869,9.305373449,7.587686079,8.514312784,7.695767607,6.014090063,7.167879175,9.598043728,3.966771449,7.80832782,13.97764575,9.522793873,3.743996484,11.93087526,13.12858223,8.740533749,13.02419968,10.72571344,12.63648111,3.258412125,9.62813321,8.063355586,8.514819444,11.7356038,9.517919825,4.995159739,7.410458876,8.97362394,11.07524973,9.396913025,8.965008413,6.218116435,10.55552226,9.241390732,10.36784811,8.429520416,11.45913667,9.77667812,10.62284696,12.51760079,12.93836811,12.7277601,9.865659439,9.44578638,11.95773654,8.274081132,10.90589279,11.30290368,6.088192195,10.01376863,11.18256803,9.254820194,12.58972457,11.01321878,11.35377107,7.551198278,12.05220495,11.72068714,9.891172108,12.50781246,9.385836088,10.76983832,11.00246323,9.590993308,9.475440703,8.847595505,8.738344413,8.396826071,9.742606332,10.75243998,7.692101872,2.600255868,12.03178073,10.59564654,7.227081754,9.001904664,12.26095522,7.277936843,9.706587761,10.82183075,10.53959026,10.28503969,0
8.471206702,11.35552328,10.34074562,8.436354227,10.50293946,12.8617702,9.457949374,14.47776797,12.03032463,12.28034932,14.9979399,8.460798011,12.45126034,13.5613807,9.668304617,9.220054961,9.830702891,13.2890559,12.32610187,9.709570063,11.99715455,15.99743966,13.26132178,9.044895626,7.619556546,11.6562898,13.07682462,12.90288433,8.845184097,12.66196123,9.865185846,9.550301198,8.273113323,6.845806364,9.997955376,10.0528992,8.355899141,7.166193841,4.587874004,11.36647642,11.75766038,7.965054697,6.886795557,6.88738034,10.08846879,9.93368864,10.04619333,9.905675915,11.83136022,7.433638067,3.369425477,7.202199287,7.909816782,10.50543653,12.27834917,7.418062413,6.013434971,6.035978453,9.974013693,3.523128393,8.173110702,10.96942423,6.033300093,10.13245592,8.716917906,6.629457535,8.246788057,10.61017096,1.797498391,6.77829164,5.280037643,10.0262153,10.66051045,7.493215529,5.390285436,7.569179958,1.70373232,10.78225572,8.935154881,9.182087385,7.655469395,11.90280696,8.461846216,12.22778885,6.269475513,8.806171732,9.875818289,11.85268862,9.390863343,8.963012073,6.056118784,7.115148946,6.97691376,9.782822027,8.278136332,10.38927958,14.20820021,2.015174796,7.873211895,12.6901095,12.69103805,11.24161728,9.818366702,7.920791396,14.0965872,3.558210919,8.360551877,15.94329026,10.29522062,11.13017994,7.327497609,12.21031116,11.89498572,9.787180197,16.08857579,3.833801504,8.010909246,9.977743068,11.03918525,9.903307818,11.41206368,11.68853092,9.926806988,12.14549028,12.70618216,9.069924912,10.87756017,7.189519388,7.605341612,6.982686626,4.49762471,6.850859022,9.53560267,4.464851798,8.157724709,11.23329358,11.72611055,5.339065962,11.09944928,13.28201796,9.040235785,12.90959219,10.89565533,10.85640444,3.058554681,9.54387947,9.483121571,8.710753477,11.52666292,10.32194168,5.828785071,6.15833523,8.959626409,10.66451809,8.731638158,8.467480746,5.184723379,10.14721598,8.215637167,9.856444714,5.827328676,10.83116548,9.736236318,9.914372991,11.8131974,12.89004698,7.053556043,10.32432881,10.44970509,11.74745591,7.492039539,9.324017081,10.8148805,7.494291678,10.74620424,10.59320601,8.625707569,12.02407785,11.41822406,11.73775043,5.748577416,12.79637819,10.75755741,9.216142674,11.78893386,9.359435039,11.06660787,10.12191416,9.893754547,9.466753819,9.080850949,9.179297158,7.888733121,10.78841087,10.87697215,6.983889633,6.552000756,10.69038946,10.24652785,7.67481494,9.492222641,11.81441829,6.505890931,9.539282611,10.85205451,8.276122214,8.838269242,0
8.772739313,11.97115907,10.16806824,9.269559423,10.25620662,11.80916481,8.713859212,14.90002003,11.96780711,12.94682496,14.29858183,8.82090402,13.49688992,14.68459807,10.0008267,9.636029775,10.70398788,13.52507644,13.68951359,10.6473582,10.81894814,16.21702059,12.98995074,8.181519538,9.666539635,11.52145217,13.32479677,13.57508716,9.875329999,12.80042063,12.6665727,9.855997925,8.643479898,7.968393228,8.798967181,10.10818882,7.63220649,8.27673763,6.682605864,11.07714728,11.7903321,7.357598516,7.000669046,6.782633911,10.70426314,9.775619563,9.925147758,10.08893533,11.76251065,9.404566179,7.89495938,8.603781162,8.4328094,9.942100292,11.75518322,8.383794361,6.613731691,4.447634227,10.04925035,5.121077847,6.911421774,11.07597424,6.865244484,10.05592342,9.838460928,6.071190533,9.81685964,11.03356115,3.248391531,6.781640527,2.497091351,10.85640444,9.335003539,7.573973763,6.414462288,7.042574438,2.125522483,12.31032389,8.535219497,9.055136328,6.231926174,13.00649429,7.791624316,11.35492588,7.523003858,9.10690824,10.22627126,12.37216183,9.344157464,9.192863815,6.147657547,8.125453313,7.603710957,9.896365068,8.72185254,9.235588497,13.58096228,8.31219513,8.548188045,12.85733431,12.88908422,12.55814294,9.858501204,10.76632787,13.76579709,3.852166686,9.139856987,16.11018179,10.12237927,12.56674226,8.349007147,11.18722595,11.96967918,7.149195132,16.20227201,3.552549464,7.777253791,10.51992113,12.30437741,11.34787218,12.25049432,11.66779206,11.51779132,11.60928448,12.85219779,7.930428741,10.2128243,5.866676662,8.278469202,7.467255658,3.123522744,7.451450468,10.39697515,4.945122872,7.603355533,12.54795133,10.91518141,5.780836042,11.96716277,13.04823859,7.658723381,12.74207762,11.78986109,9.911968176,3.3737235,10.28034812,7.689673919,7.953160461,11.53767119,10.42851352,6.861146537,6.31547893,9.147161062,10.43046405,9.156916692,9.550093153,6.447816331,10.32086253,8.679518714,9.213083625,7.250385794,10.72571344,9.446834409,10.0613969,11.16751589,12.88079146,6.524681554,10.59435983,10.6702741,11.72767633,7.638888902,9.746068,10.97097839,7.101338083,10.09252036,9.961611597,9.008927634,12.01899972,11.8999942,11.37895771,6.639218625,11.78121065,11.28185738,9.70181473,11.35186194,9.377762655,11.83235753,10.06632344,10.41821783,9.709570063,9.596604535,8.448426859,9.014688737,10.22653553,11.16552203,7.355370783,4.329882038,11.76043561,10.40620009,9.15921476,9.982567282,12.24401636,6.794541864,10.08338867,10.19133656,9.399308764,8.326032236,0
8.335105475,11.67569865,11.47829254,8.730623844,9.52854103,11.80817913,8.811506292,14.60145871,9.941711519,12.82874273,13.88516478,8.825294659,13.18558262,14.46312354,11.76832654,9.386042205,10.48660644,12.93466328,13.37806138,10.89183124,9.77253773,15.48062855,12.70032029,9.189108383,12.65843599,10.92124928,13.75175096,12.77572818,10.04505023,13.00414608,14.08641862,10.07239976,8.702304349,7.897524035,8.765714712,7.536689503,7.163540695,10.71316655,8.839163529,10.09920848,11.21469032,9.591852924,6.867695527,5.073753044,10.43516647,8.798145624,10.63370589,9.802732769,11.71920418,7.198063659,8.359551305,7.714889967,8.39945077,10.31746678,10.89565533,7.597221094,2.881405237,5.318759432,9.645720552,4.653867244,8.174572677,10.6759718,6.731448911,10.40470665,7.701383742,7.121883102,10.1749989,10.91688435,4.995502453,3.595218676,4.569393704,9.667246852,11.39429729,6.993739879,6.343628436,8.889846227,2.504142075,12.2692323,9.688202632,9.910479217,7.497447221,12.83447362,8.539663932,11.51509664,10.62027116,9.616180156,11.03183506,12.18625177,9.621850009,9.460117016,6.768112255,7.862687373,8.312769492,10.30039749,8.481066953,10.2642805,12.52309556,4.078403535,9.290882229,13.4512188,12.92751514,14.85723313,9.100744908,9.265596966,14.96438901,5.132177934,9.330018666,15.49262656,9.46087764,15.11980058,8.080800883,11.77659842,12.20229696,7.24702866,15.63191092,6.914803318,7.829844904,10.71719047,14.50521229,11.32024545,11.5965147,11.86217585,11.50221954,11.95573862,13.04823859,9.278685925,9.121809638,5.800497552,8.184174448,7.611294398,3.352605672,8.011918566,9.734656446,3.405029242,7.311986448,14.9688875,10.4131946,5.790900869,11.61869852,12.96260825,8.375578702,12.46461172,11.44215378,9.117284559,3.151982572,10.65277782,8.77391927,8.026770041,12.25661649,9.737332236,3.462249241,6.89119664,9.169707844,10.29892243,8.649833251,9.096908782,6.381323453,10.30345162,8.325882656,8.815033313,9.040617581,11.03859177,9.56743516,9.331866613,10.94154413,12.39502533,11.61580202,9.849377207,9.846148664,10.35167821,8.451188858,10.12415967,11.28185738,7.36819969,9.758924017,11.45354827,8.55852749,12.43034637,11.6045114,10.23656206,6.613925037,12.43204582,11.23395046,9.863342374,10.3830115,9.733710027,11.15583851,9.882881618,9.723889954,9.185871299,8.835880196,7.935772723,9.087803073,9.8328632,10.42831252,5.34091444,2.930785725,11.31646501,10.34697264,6.408855016,9.923490621,12.50554225,5.86521947,9.966042945,9.989113875,10.21176747,9.206957231,0
8.627489292,11.97115907,11.10357252,8.592180961,9.1895058,12.19198235,9.489458412,15.29252362,12.93206964,12.42494237,15.16241906,8.97269299,12.36959976,13.61213772,11.48257448,9.958368964,11.20263995,13.27354511,12.42651335,10.09160938,12.46372036,15.69175072,13.69757599,8.002032911,9.205095294,11.07331519,13.41757169,13.0216094,10.3983708,12.52019234,11.08482747,9.782194629,8.221877644,8.232799223,10.41033502,10.67303172,8.867574954,7.792267525,6.831408638,11.21293596,11.10082575,10.39974015,6.220923824,5.894859154,10.34823289,9.351872901,10.45384671,9.602007631,11.74075927,9.650025966,7.28377208,8.791092279,10.52179343,10.00483084,11.8330579,8.874669424,5.804705183,5.859376098,10.050087,4.684035645,7.318888102,10.36973853,3.288930588,10.01250431,9.749834147,6.866597574,10.12549519,11.14645978,1.637566447,6.362610279,6.095993299,10.83845902,10.41955997,7.991573895,5.257763717,7.524606104,2.821131322,13.16950139,10.12803964,10.2455074,8.738344413,12.74955684,8.550004928,12.37302618,8.126351003,9.79488824,10.9684829,11.53767119,9.196729592,10.09742947,7.709281785,7.717460795,7.46200453,9.681200788,7.97361149,10.28311755,13.96557235,7.618169772,7.696581613,13.26132178,12.49754391,12.4603373,10.29892243,9.252824291,14.52282944,6.248200212,9.005854369,15.67153566,9.927882032,12.73378124,7.262829732,11.96903813,11.96006447,6.957988351,15.76243413,6.744311788,8.277240736,10.38045706,12.1694271,11.01053431,11.3483393,11.46654015,10.80775023,11.94863335,12.50081987,8.266384363,10.14217387,7.194536303,8.202480064,7.443628404,5.833670962,8.654501126,9.472182771,4.186802291,7.513221615,12.53615742,11.68273487,6.133741403,11.52711151,13.19095763,8.607536666,12.68285399,11.40899539,11.13677596,3.220406232,9.220605231,8.598454965,8.129511887,11.42661259,10.25566624,5.905851897,7.817138656,8.630759025,11.46245982,9.184475223,9.434176741,6.369573104,9.902502902,8.800685436,10.44784144,6.67548776,11.19598064,9.573662644,10.37272325,11.3486999,12.27834917,8.29820774,9.741795721,9.656861527,11.32070692,8.285761912,9.33295489,10.52848897,7.38819459,9.707187673,11.52183165,9.644130938,12.47448797,11.08032972,10.24219695,6.630573124,11.72923465,11.38386467,9.942560956,11.523966,9.298422853,11.12847385,11.21359064,10.17794972,9.421500081,8.913818759,9.153204254,7.928410197,9.384675671,10.69267935,7.421877947,4.419664566,10.99954952,10.52413317,8.246666425,10.66089771,12.70408907,7.69195016,9.822418336,9.979753986,9.843581854,9.162282717,0
8.612266741,11.78229501,10.83176917,9.987191592,9.910479217,12.46301553,9.010923306,15.10929284,12.05986379,13.65718188,14.20820021,8.741518771,13.92625573,15.02578923,11.16183835,10.25745267,12.07069208,13.31055264,13.36472506,11.14441471,10.4699324,15.95584798,13.00768858,10.3690081,11.54261459,11.43932079,14.45079989,13.84030283,9.506842596,13.47830991,15.06653328,10.60008791,9.138555596,8.456869222,10.04054032,8.608583049,8.440219984,11.80708333,9.753726907,11.4082367,11.70984805,8.292136817,7.035964093,4.988608957,10.60447531,9.583932331,11.50397966,9.820336677,12.08287852,8.954899719,8.48854203,8.928103271,12.36320396,10.20458019,13.01636378,9.122379658,5.608078286,5.044382046,9.661242,5.235670512,8.835375854,11.41954616,8.126680082,11.44621502,8.733443861,6.216883756,10.36973853,10.74221695,2.037467466,5.661629216,7.25363126,10.78930144,11.08312318,7.329364797,5.059520116,8.544007262,3.421516678,12.11331937,9.442807275,9.726422572,8.151189027,13.30067959,8.897090601,11.4094583,9.323046591,9.732557261,10.78702432,11.97660155,9.559779059,9.749362156,7.589942322,9.602692527,8.568137596,8.905357008,8.190610396,10.37708509,13.52507644,8.947647808,9.116470475,13.56791038,13.49842316,14.83595746,10.06374927,9.995812255,14.37184931,6.26016526,9.162544669,15.91972427,9.948968366,15.0199699,7.638639298,11.9337194,11.56101886,9.613640471,15.97913963,7.082211678,8.539488603,10.38623181,14.67335706,11.69432724,10.90178328,12.84545521,11.71404152,11.82014128,13.51889561,10.21768912,10.30440788,7.47205513,8.72603628,7.341297787,1.657078902,7.944657701,9.117689488,4.455661667,8.211147575,15.04986938,10.68543001,1.999427662,11.98362475,13.34833135,9.668304617,13.00414608,10.82183075,11.77222512,3.160861705,8.783191791,8.755167417,8.015276629,11.78852896,9.628708343,6.235918428,6.379613921,8.223696664,10.48271433,8.439175288,9.823883255,6.590633518,9.362150757,8.602123415,9.270281677,11.10244554,12.44942664,9.377956344,9.947036329,11.59503899,12.53546174,10.07501742,9.83112019,10.14547999,11.49708296,8.327993317,10.42458645,10.88660963,7.212821337,10.43627826,11.02501543,10.01120913,11.96780711,10.98757127,11.56838602,7.159838844,12.48973453,11.08735891,10.07810179,10.96487725,9.190831347,11.04704262,9.966751616,10.06231298,9.488358915,9.081938091,8.806171732,8.160737982,9.973079005,11.02467552,5.564075014,3.494398704,12.2924264,10.10417179,7.574940398,8.703783132,12.02407785,6.558814736,9.673626487,10.10755691,10.66761797,9.079466356,0
10.00110263,11.61040446,11.3444059,10.27984888,8.058804183,13.34681853,9.358608228,15.45741536,10.49263239,10.81457273,15.02578923,9.159425325,13.30896565,14.21988648,10.32064291,10.6655787,11.01082407,13.48102034,12.1347253,10.688128,10.102714,15.60711598,12.48529138,8.462306917,10.24361711,11.70890278,14.07711223,13.17123088,9.223047356,13.28378384,12.52019234,10.45169294,9.865185846,7.702573961,9.593539084,10.56645954,7.954168255,8.65584516,7.490205181,10.76509955,11.77758562,8.592007063,7.334195735,8.012777734,10.24652785,9.900559992,10.60650075,10.82020182,12.82425646,9.446632252,8.531939888,8.935154881,7.944421512,10.32086253,10.56587541,6.895970875,5.817582463,7.465724263,9.461699973,4.337391862,8.679518714,11.28268915,7.553568612,8.735256928,8.327098212,6.390811762,10.5874412,10.82428714,2.225607069,6.367803258,6.085545564,10.9885088,10.61949144,8.202050929,3.730835684,9.048602211,3.054980347,12.91441632,9.782194629,9.705989368,8.308288452,12.7398113,8.792641942,11.32663712,9.147477192,9.078319127,10.42512715,11.15969813,9.239909283,9.942279156,8.050293654,10.29799461,7.528271623,10.22328016,9.13357909,9.785012832,13.25819464,8.435810431,8.202649021,12.69599454,13.34355357,11.47829254,9.572269651,9.916802248,13.48582032,6.660244903,9.40135325,15.55799163,10.09618458,11.69635146,8.365606133,11.12286879,12.13797161,6.125588878,15.63841144,6.045772504,8.353530142,10.19422984,11.21429266,10.38477504,11.44748623,10.39697515,11.13352935,12.32298981,13.31482485,8.291185901,10.3806927,7.4239336,8.510933407,7.2423201,3.483944651,8.833748916,9.935228997,4.584570643,9.085836191,11.42365052,11.74392211,3.348443947,10.54891018,13.69566862,9.90809152,13.72108168,11.39691006,10.12867183,3.462249241,8.995871076,8.582183522,8.500729046,11.9790489,10.54944178,6.113845094,7.830103418,8.900334075,10.60741233,8.710598664,10.96966889,5.015743993,10.87634877,8.5451028,9.0354716,7.896266641,9.291641496,9.633615565,10.27194277,12.59540923,12.46549882,4.169323677,10.56559359,11.01593616,12.8698868,8.728832597,9.850210504,10.07680022,7.700689871,10.88633359,11.08068087,8.950918354,11.63745762,11.13387445,11.11053067,7.640841146,12.48710257,11.50309167,9.789246003,10.18252945,10.04524543,11.93301203,9.708217693,10.04230427,9.501523236,9.492402142,9.359806709,9.259063928,10.62516651,10.93367853,6.390225692,6.217483741,10.37205447,10.32955166,8.302734682,9.561363658,12.34384329,8.187184126,10.24172781,10.67848049,9.593288954,8.07993886,0
10.18751139,11.27693355,10.41409552,10.16965982,8.009290533,12.72667398,9.071123079,15.04986938,11.04129648,11.85207898,14.41613613,8.613894758,13.13589849,13.90169879,9.747842059,10.98717151,11.4833775,12.95218514,12.76523021,10.52794409,9.801426522,16.37691827,12.98885832,8.522286018,8.827919675,11.38076506,13.96557235,13.59391736,9.636449832,12.87344822,11.62763807,10.22147097,9.784397455,8.846650731,9.356235903,9.996224434,7.886678302,9.472761723,8.149516141,10.91882062,11.81441829,8.525739033,7.507339524,7.347965309,9.865659439,9.830473467,9.348602267,10.28527271,12.37060493,7.96967619,8.987447385,8.627489292,8.299606196,10.38623181,11.50647988,7.761495695,6.47004392,4.232585871,9.42004412,5.334244007,8.2998636,11.13634526,8.252935167,8.93901218,9.712143467,6.225548165,9.702245188,10.5257501,3.915158188,7.55902954,6.720010146,11.47484469,11.09905678,8.117279642,6.016665906,9.032645711,2.054510081,12.51160931,10.21486925,10.31570267,9.042913368,12.18134183,8.275337935,12.31111787,7.324358808,9.343504586,10.8833263,12.38540735,9.602241558,9.756108662,8.398439321,8.391107799,7.861459546,10.10505766,8.573657881,9.699478152,13.7543521,9.213411797,7.852435468,12.89722033,12.90288433,11.29499528,9.12394259,9.694362782,13.91310726,6.273305683,8.884421752,16.14943125,10.42057851,11.22812206,7.263806917,10.87332409,12.44746757,7.543924258,16.16743647,6.325850022,7.843872816,11.36176182,10.96283974,10.01054293,12.16087182,11.4730234,11.14026815,12.2692323,12.95927686,8.254938185,11.07676185,6.992981755,9.213083625,7.604046504,4.902183091,8.835177379,10.01448944,4.000406654,8.626140823,11.10773669,11.16298818,5.103137416,11.55182759,13.77299013,8.352915892,13.65948358,10.65120869,10.32338376,3.109723294,9.127431923,8.018935948,8.262478721,11.51945439,9.886680044,5.681259591,7.003654441,8.244008597,10.31794813,9.253907151,9.6792289,5.217116519,10.70376665,8.623254502,9.914372991,7.345395952,9.972907383,9.839513133,10.56645954,11.93243676,12.8698868,6.347728656,10.79249709,10.65019209,11.41738757,8.496811128,9.994072026,10.16262849,7.777068456,10.59585076,10.48689599,9.750020318,11.70514098,11.29164436,11.01347951,7.420051369,13.09715587,11.92368219,10.13893494,10.57268187,10.17475775,12.06353718,10.42661532,10.37833072,9.175752274,9.223748161,8.329118232,8.909722314,10.28082322,10.88600589,5.691658365,6.752592831,11.03145392,9.724090804,7.552193213,9.277100451,11.94099168,7.906867791,9.456695281,9.975338821,9.35961335,8.483146283,0
8.66217395,12.14157894,10.27284197,11.046647,9.333531754,12.19198235,10.2380612,14.88244751,12.18349242,11.7104937,13.94466258,10.21712524,13.27853003,14.91544156,10.74424122,10.95119406,10.9370319,13.22147831,13.35142153,10.1646938,11.26964785,16.36130428,12.46372036,10.03094306,8.647138456,11.79758095,15.16241906,13.41558888,9.979507377,13.56348235,14.66343004,9.826328399,10.48922588,6.062434796,8.04111367,9.830923207,7.966544507,9.470695218,8.329004811,10.22727168,11.9176146,7.591057809,7.316314924,6.638272102,10.00774541,9.739844717,9.990096729,8.505965065,11.98238842,4.668844965,7.27654542,8.101308635,9.999529784,10.02807405,13.03667385,8.267351875,6.429138115,5.906481832,8.685251493,2.199501671,8.532583302,10.99724199,4.404049942,10.58333132,8.596656089,6.212823671,10.72550262,11.7066598,3.449190319,8.274536504,4.126210011,11.2662078,11.77191115,8.461124995,6.346779454,9.722749867,3.058554681,13.2385138,8.637758538,8.0918718,8.825294659,11.08907276,9.294942151,12.55814294,7.074765788,9.678613929,9.720918076,12.89722033,10.17266873,9.295751926,7.407598126,7.250285415,5.92979288,10.73317446,9.611589346,10.2999392,13.77542834,7.09831466,11.07465726,11.99497082,13.50989774,14.13336908,9.777791574,7.554751128,13.54700482,4.365384661,10.16158306,16.29333155,8.909861386,13.67557481,8.914565363,12.30224015,10.72521097,8.692970205,16.27866486,8.568661701,9.135072234,11.0173252,14.24535493,10.68120742,12.6901095,12.72877137,12.02643143,12.63477846,13.65294136,9.838047563,11.90802906,7.707042836,7.896601902,5.163783488,4.156845756,8.150229724,10.36625082,3.940936147,9.544516227,13.98408677,11.28153329,4.036480004,10.39432012,12.57664538,8.724635879,13.98673664,12.16246812,11.71153482,3.461072794,9.378878468,6.570348164,7.534132944,10.48087,11.10734611,6.524463304,7.18557843,9.416358592,10.87524638,8.259772462,9.731648799,6.521651954,10.42431526,8.815404559,8.668363615,8.706864,10.93367853,10.15498674,10.52657539,12.41238214,13.03156029,8.226745785,11.143365,11.9137176,12.90721576,8.973073335,10.508813,9.403336758,8.167318288,11.53562419,10.53633782,9.465196581,12.10225046,11.22703793,12.54697702,6.503633929,13.18413165,11.09146738,10.30811391,9.813440693,9.306343852,13.11197646,9.137727816,10.01075768,9.35961335,9.948968366,9.452247525,9.556734891,10.51163703,10.77459221,7.043436027,4.379359162,11.36463583,10.83716698,7.608015453,9.38217571,12.03239388,7.939635363,9.075053256,10.76796192,9.372762779,8.204970214,0
