"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
4.4654,3.5784,6.4106,8.8155,3.9356,3.8242,2.8607,5.8257,6.1297,9.1999,8.1878,3.9765,10.1865,9.0741,7.4276,8.2912,6.2218,7.7377,9.0942,7.3954,8.7994,9.6927,5.014,7.0922,6.1498,4.7542,7.1492,10.9927,5.3949,9.1592,7.1335,4.6006,8.037,5.0503,7.4611,3.7802,4.814,7.6328,6.5797,4.7116,5.4281,5.3291,1.9212,2.9,3.3816,5.6165,6.1019,2.4868,5.847,4.0762,2.5651,4.0169,8.1032,6.5785,5.7118,6.2631,1.7642,6.0699,4.4268,5.7984,6.649,3.0285,2.3262,8.4396,3.5073,3.9516,3.269,4.115,1.2676,6.5268,1.7837,4.9388,5.5989,4.1941,3.5924,7.9227,2.6175,5.3396,4.0753,5.8326,5.4834,6.7027,6.32,6.2506,8.6294,5.7467,6.1538,6.3454,2.6123,6.706,6.9658,5.4136,5.6533,6.5054,6.0301,4.7881,7.7994,1.7241,6.6637,5.5277,9.1653,10.751,7.0756,3.9768,8.4924,3.7623,6.6674,9.5164,12.9895,10.7133,5.4174,6.4633,4.8914,7.1454,10.2593,6.4707,7.0928,6.3291,10.5459,7.3944,5.4654,6.8224,8.2433,4.2191,9.1544,7.14,4.5845,4.0623,2.8712,5.1278,3.8505,6.6581,4.5271,4.6828,5.9544,10.6738,7.6776,1.8565,6.8119,7.189,3.6612,6.6016,3.8297,5.014,6.1882,4.9946,3.793,1.2158,6.3949,2.9364,2.4207,4.5188,12.2681,7.3785,2.7583,4.9802,3.347,2.2388,3.8497,4.1743,10.0463,8.5688,5.1011,5.1804,5.7589,7.4021,7.8621,3.6941,5.0079,6.0825,4.3112,5.3072,4.4027,6.1624,6.3541,6.5074,4.1558,5.5536,4.5507,5.6897,3.7356,5.6795,4.1014,5.1254,5.0253,3.601,5.2895,1.8175,5.3254,3.5212,3.0659,5.3479,5.6613,4.524,3.7259,2.2977,1.9211,6.3823,3.5721,3.474,2.681,3.2404,3.5282,2.966,4.626,2.4138,4.4622,0
4.1282,4.3823,5.883,8.1092,3.8436,5.0473,3.659,6.4577,6.5674,7.7071,7.7113,4.85,8.8779,7.6427,6.3114,8.7247,5.2234,6.8664,7.8621,6.3776,7.2392,10.3535,5.5509,6.6368,5.247,6.2653,6.1752,10.2843,7.3815,8.825,6.9222,3.306,7.4676,2.6209,5.1322,4.3603,5.5295,6.7065,5.8411,3.8352,5.5708,4.942,1.8294,2.8954,3.2854,6.4415,6.6958,2.6991,6.6323,3.7393,2.0725,4.3589,6.1108,5.6328,5.1543,4.7548,2.4526,5.2135,5.3071,4.3584,5.3433,4.9627,1.8908,6.3552,3.2448,4.5901,3.695,4.6108,1.0367,5.88,2.3738,3.6116,5.2663,3.8861,3.1945,9.1653,3.2782,3.9412,5.2407,6.8472,6.7371,6.8555,6.3649,6.5739,6.7493,5.1077,5.7907,5.7278,2.7208,6.3,6.5888,4.4774,5.5219,6.2712,5.5295,5.0305,7.4301,1.5329,5.7359,5.5727,8.8072,8.756,6.7007,2.9022,7.1662,3.1618,6.4186,10.0861,12.8418,8.6435,4.8219,7.1475,4.1784,5.3137,10.7335,5.2692,7.3765,6.386,8.3874,7.5634,4.8079,6.1711,6.5913,3.7026,8.74,6.6191,5.2434,5.3154,2.7791,4.492,3.9627,5.9657,4.0317,4.4808,5.2096,8.5997,7.3488,2.327,4.8051,8.4151,5.5038,7.4016,4.1359,6.1247,5.8722,5.2571,5.459,1.1779,5.9399,3.8217,2.4209,4.2493,11.9753,5.8398,1.7774,3.0247,3.421,2.5658,3.7437,4.0317,7.783,6.4426,5.607,5.5675,6.2349,7.9809,5.2637,4.4469,4.9114,5.396,4.5617,4.7935,5.2359,5.9243,6.362,6.2186,5.0624,6.0384,5.1747,5.1549,3.84,5.2598,4.118,4.8337,6.1383,3.8924,4.0658,1.885,5.2587,2.7538,3.0394,5.8945,5.8352,4.0689,3.7399,1.8329,1.8966,4.3456,2.8266,4.1253,2.1406,4.4066,4.1882,2.874,5.0139,2.3933,5.6854,0
4.1024,3.2372,8.0668,8.6368,4.2948,4.7492,2.5748,6.3434,6.1946,7.9615,8.1796,4.3158,9.6767,8.6508,6.636,8.2291,6.5855,7.2641,9.7274,6.0733,7.1423,9.5441,6.6913,6.772,5.5909,5.2154,7.2286,10.4765,4.9377,9.0683,7.226,3.4326,7.8917,4.1264,6.1812,5.131,3.8343,6.9056,5.388,4.9076,5.7459,5.065,1.9079,2.7127,3.4475,5.7074,5.6223,2.7786,6.5209,3.5156,2.3487,3.9342,6.9689,6.4962,6.2598,4.8859,1.5518,5.8859,4.0382,4.7584,6.4467,3.8901,3.9847,7.3815,4.2523,4.6979,3.783,3.6816,1.1622,7.5844,2.467,4.5978,5.1349,3.9896,3.4044,8.5338,2.5188,5.6521,2.529,4.9209,3.7653,6.5512,7.4952,7.1844,6.9408,5.3134,5.8563,5.6495,3.2875,7.8024,8.3972,4.7243,5.6231,6.5967,4.655,4.6634,6.673,0.9783,5.7846,5.5242,9.1765,10.2974,6.3064,3.1097,8.3506,4.1908,6.1509,9.0578,12.5208,10.4604,4.9397,6.2109,4.9682,6.2192,9.9665,4.9368,6.0365,5.8082,10.0248,6.501,4.3711,7.4993,7.7113,5.0664,9.0134,6.7284,6.0164,3.8228,3.4033,4.5505,5.7987,7.9867,3.8535,4.5369,5.8025,10.1972,7.5905,2.3016,5.6719,7.1094,4.8243,7.1548,3.4863,5.5954,5.228,4.7235,3.048,1.3397,6.2198,3.8432,2.0343,4.6454,11.9753,6.3873,3.1318,3.7073,3.4826,3.0257,4.4255,4.0945,7.9386,7.3544,4.9555,6.0616,5.6826,7.3879,6.5619,3.589,4.4542,5.8146,3.7754,5.2544,4.7317,5.983,6.6408,8.081,4.5924,6.1789,4.2687,5.4496,2.8525,5.7517,5.0043,5.2213,5.3519,4.2369,4.5891,2.06,6.6932,2.5827,3.4166,5.7832,4.9636,3.6742,3.9211,3.0031,1.9667,5.6742,2.6933,2.6242,2.0517,4.4876,3.5683,3.0309,5.1888,2.1976,3.4319,0
4.1969,3.3524,7.0839,8.8338,4.1173,3.807,2.4005,6.0511,5.3913,9.1495,7.5223,5.1493,9.5236,8.4618,7.4894,8.2363,6.5581,8.007,8.3187,7.3361,8.7826,10.1242,6.586,7.8485,5.5514,4.5567,6.3727,10.3127,5.6592,9.0329,7.3372,4.0445,8.207,4.1496,5.3913,4.2753,3.8474,7.8324,6.3665,5.49,6.3003,5.3011,1.7049,2.7788,3.8627,5.2271,5.6374,1.8674,6.331,5.1579,2.0618,4.2054,8.2162,6.234,5.8641,6.3376,2.7484,4.5455,3.3869,5.6564,6.9185,3.3301,3.0138,8.7166,3.9948,4.7106,3.414,3.7749,1.3442,5.7955,2.5933,4.0181,5.2418,4.3121,3.8474,8.2942,2.6146,5.1443,3.404,5.5694,4.2903,6.2994,6.5252,7.2749,7.6815,4.8226,5.9261,5.8096,3.2632,7.7764,8.3762,5.0676,6.5508,6.4042,4.597,4.2448,7.8605,1.2634,5.3884,5.9747,9.0841,11.0153,7.3526,4.465,9.0468,3.1707,6.0727,9.9665,13.0622,10.8305,5.4127,6.2628,5.2719,6.8639,10.5253,4.7188,6.6711,6.2678,10.751,6.9745,5.4296,7.015,7.9425,5.1113,9.1427,8.1135,4.6027,4.5036,3.8675,4.4177,5.5157,7.2518,4.3995,5.0259,5.8197,10.7897,6.855,1.6445,6.2948,6.1928,3.7753,7.174,3.2325,6.3123,6.3474,5.6042,3.1769,1.5354,6.3152,3.351,2.7027,3.618,11.9249,7.2597,2.1525,3.6618,3.2463,2.1219,4.3215,4.1544,9.4412,8.5651,5.0861,6.4467,5.6594,7.3278,7.825,3.3102,4.0861,5.343,3.6272,5.6588,4.7973,5.9692,6.5227,6.4835,5.379,5.9257,3.574,4.922,3.4678,5.5593,4.2856,5.3947,5.0888,3.9826,4.1279,1.8462,4.8322,2.8818,3.4907,5.2714,4.9562,3.745,3.59,2.0577,2.5956,5.7174,2.9903,1.9081,1.8762,2.7277,3.8533,2.9346,5.4989,2.8291,4.663,0
4.5991,2.7475,7.1327,8.3731,3.7058,3.9282,3.2778,6.507,7.3986,9.0893,7.825,5.909,10.4128,9.1268,7.5519,7.6868,5.674,7.3973,9.0422,6.7197,8.756,9.885,6.5052,8.3403,7.4406,4.6175,7.0825,10.6738,5.2242,8.9682,7.9901,3.8111,7.6165,4.2355,6.5761,3.9864,3.8516,7.6588,6.8692,5.4938,6.6855,5.7337,2.1378,2.7404,4.1223,6.1699,6.6613,1.9564,6.1904,4.3925,2.2181,3.9556,8.1073,6.4651,6.0828,5.9936,1.6939,4.9283,3.7179,5.5606,7.0718,2.8856,2.1865,8.1301,3.8738,4.9006,3.4677,2.9478,1.0251,6.5379,1.9368,5.078,5.3727,4.5324,3.4569,8.8155,2.506,5.271,2.9294,6.1007,4.3358,6.0888,6.6665,6.6003,8.1439,5.92,7.5878,6.1082,2.1151,7.0742,6.7816,3.9041,6.1652,6.101,4.7463,3.4683,9.4602,1.0948,6.7138,5.5545,9.0288,11.3753,8.1239,3.8466,8.9249,3.0487,6.4327,9.5236,12.5208,11.5203,5.3539,6.4483,6.026,7.2897,10.1752,6.0779,7.5634,5.9488,11.2626,6.9892,4.5918,7.5046,8.1709,5.1854,8.9105,8.2184,4.157,5.6421,3.7478,4.9668,4.0122,5.9641,4.2011,4.2037,5.3992,11.3021,7.6079,1.8704,6.0769,6.8369,3.6558,7.3504,3.2263,6.394,6.012,5.1265,3.2488,1.2188,6.9222,3.6914,2.8677,4.3711,11.832,7.7014,1.9982,3.3465,3.5575,2.0171,3.9308,3.7501,9.2537,8.2005,5.3226,6.3388,5.4662,7.5102,7.1103,3.8833,3.629,5.8972,4.1986,5.5264,4.1933,5.5703,7.1126,6.5876,4.4591,5.9848,4.6696,5.1025,4.0075,5.4104,5.5032,5.7139,5.2367,2.7624,5.471,1.6114,4.9561,1.8548,2.8208,5.2813,4.9013,3.529,3.9596,1.9433,2.3067,6.0218,3.065,2.6743,2.2954,3.4633,3.5942,3.1081,5.616,2.4354,3.8509,0
2.9754,3.3791,5.3014,7.4219,4.1671,4.7342,2.6021,5.8708,6.3463,8.5481,7.5533,5.7314,9.3906,7.9081,6.6432,7.9977,4.8379,6.1824,5.9893,5.4055,7.6574,9.7894,3.5636,8.5233,5.2597,6.3924,6.4711,10.3127,6.4302,8.9394,7.2682,2.8262,7.1407,3.2029,2.8765,4.5831,2.642,7.1522,5.8172,3.6826,4.0209,5.6452,1.9989,2.7096,3.8001,6.5631,5.0856,1.6785,6.1652,3.6938,3.5456,4.8116,6.5178,7.5167,6.6542,5.3717,3.2567,3.878,3.7162,3.8147,4.8034,3.1131,2.492,7.3224,3.4304,3.0957,2.5926,3.9669,1.0501,7.3544,2.0385,4.9536,5.3142,4.0161,3.5368,9.0288,3.2307,5.5954,2.151,3.8155,3.4619,6.3851,5.9669,5.6671,7.4282,6.3406,7.2641,5.7337,3.851,5.225,6.4327,2.845,5.2192,4.956,5.2866,2.8096,7.7566,0.9707,6.0205,5.0922,8.7479,10.3377,6.436,2.8484,7.2212,2.3721,5.8702,9.551,6.1108,10.2333,4.9847,6.9056,4.4721,7.4309,10.1331,5.3641,8.3643,5.6816,10.0463,7.6129,4.6159,7.8867,7.1967,3.1413,8.7512,8.6859,5.4425,3.7763,3.2093,5.2066,3.0328,5.4606,4.7796,4.8993,4.7257,10.1141,7.3114,1.8781,4.9324,5.7878,4.9239,7.1991,3.2906,4.8467,5.9488,5.9698,3.1319,1.8127,5.4005,3.3574,2.3805,4.6126,8.1092,7.0258,2.0199,3.0454,4.347,2.1707,4.464,3.6437,8.9946,7.2301,4.5178,4.8265,6.6554,8.0128,5.346,3.7188,4.4177,5.9875,3.9275,5.2655,4.2429,5.9774,5.8482,5.5325,4.1621,5.0708,4.5856,6.1511,3.6124,4.8504,3.9517,5.2903,3.9366,3.7715,3.7813,1.5952,5.023,1.758,3.3088,6.135,4.6588,3.1038,4.3685,1.6765,3.3194,4.5623,3.2372,2.5992,2.1877,3.5531,3.7231,1.5745,6.2901,1.7791,4.2491,0
2.6622,2.706,4.0631,7.1882,4.0589,3.9941,2.7428,4.2743,7.062,5.7859,4.4919,5.8863,8.9249,7.1772,4.4244,7.8066,3.3414,4.0693,5.548,4.3563,6.781,10.3127,3.1012,7.9066,5.3164,4.6302,6.8681,10.4918,4.483,8.0952,6.5477,2.2813,7.6803,3.4065,2.3557,4.4451,3.6247,7.139,6.8262,3.3475,2.7283,5.8847,2.1733,2.913,4.2468,6.2513,6.7919,2.0568,3.4428,3.825,3.7934,4.3493,5.2966,5.5664,6.1367,5.8377,1.3188,3.9499,3.4029,4.3041,4.724,2.0494,4.0084,5.4811,3.4131,2.7855,3.4524,3.7437,1.0686,7.0778,2.6281,3.4115,6.0387,3.8284,4.1404,9.0329,3.1202,4.4114,2.2123,4.4545,3.625,5.0518,7.7057,4.1703,4.9841,4.3039,4.4931,6.6182,3.0481,5.812,6.0078,4.0291,5.9617,4.981,4.6613,2.0885,4.493,1.392,5.5376,2.8699,7.9425,7.097,4.1833,3.094,8.8608,2.5759,6.2637,9.8074,11.4018,7.1442,4.6031,6.3219,3.6158,6.9321,10.2095,4.9193,7.8852,6.6261,6.0735,5.8829,4.0256,7.825,5.7878,2.3775,8.1439,7.6464,5.0036,2.7868,2.8178,4.8146,2.8731,4.1149,4.39,5.4388,4.6449,6.994,6.1071,1.8459,3.0321,4.6714,3.3951,4.1603,3.0153,3.4877,6.3594,6.6901,2.987,1.9345,6.009,3.2686,2.6758,4.3427,11.9753,4.6846,1.6423,3.0804,3.8542,2.1739,4.1368,3.7145,7.2082,6.0344,4.4074,4.8443,6.3396,7.1268,3.5581,4.2928,4.6446,4.1907,4.9513,5.6573,3.7306,5.8015,5.5559,5.0413,2.6056,4.4404,4.8365,6.307,2.8647,4.4765,3.6817,4.8582,4.1539,2.7051,3.0265,1.5299,4.0789,2.4334,2.6181,7.0578,4.6887,3.2646,4.5975,2.0604,3.1951,2.1737,2.8873,2.4752,1.9621,2.3951,3.6285,2.0284,6.0808,1.7065,2.9918,0
4.2978,3.3484,6.0656,7.3991,3.8546,4.2331,2.6542,6.3884,5.4592,8.037,8.5204,5.4221,9.5051,8.3343,6.675,9.1055,5.9113,6.3639,7.7712,5.6465,7.3973,9.132,4.0585,6.7919,5.9015,6.1403,7.5005,10.4287,6.7157,9.0376,6.6943,3.4525,6.961,3.1582,4.8474,4.3081,3.6063,6.7852,6.0919,4.2453,4.6379,5.108,1.7713,2.56,3.9294,5.685,5.186,2.5921,7.0177,2.895,1.9219,3.1737,6.2177,8.2311,5.1279,6.2981,2.0301,3.8164,4.0209,4.8158,5.6566,4.7316,5.9281,6.6554,3.9049,4.6206,3.0396,4.0346,1.1025,6.2198,1.9605,5.0389,4.5481,3.4956,2.8869,8.6827,2.818,5.7157,3.142,5.297,4.8675,7.0992,5.8632,6.5248,6.4801,4.3093,4.6345,5.8148,2.8061,6.6706,6.8851,4.5808,5.1416,6.4376,5.802,4.3445,7.1382,1.3531,6.2751,5.273,9.0329,9.5441,6.8136,2.3776,8.8113,3.6546,7.3259,9.1205,12.7716,9.5361,5.856,6.7274,4.8272,6.44,9.7721,5.3445,6.7761,7.2988,9.2205,8.0829,4.667,6.3011,7.6439,5.2422,9.0288,6.9085,4.8854,5.3217,3.5098,5.6967,5.0665,6.5118,4.3264,4.428,5.6377,9.379,7.8218,1.7106,6.2205,7.5113,3.6841,6.8636,4.0178,6.5781,6.4585,4.7415,3.8192,1.7418,5.8787,3.3593,1.785,4.3908,12.2034,7.2057,1.9782,4.4461,3.8975,3.3943,4.9024,3.6832,8.4005,6.6079,6.2663,6.8335,5.5784,8.1688,5.6401,3.488,4.3645,5.5957,4.0202,5.5159,4.6819,5.9472,5.6715,6.4009,4.5739,5.6965,5.7219,5.108,4.1213,5.9239,4.6945,5.1583,5.2684,4.7836,5.586,1.6497,5.4845,2.5662,3.2705,5.6227,5.2933,4.8489,3.9152,2.9011,2.2244,5.1291,3.1445,3.7449,2.6423,3.824,3.6656,3.5482,5.2168,1.3677,4.3981,1
3.7152,3.7272,7.1783,8.9551,3.3715,4.2319,3.8718,6.4488,6.9474,9.0329,8.7134,5.1029,10.0155,8.8293,7.7222,8.7737,7.0595,8.0511,8.7911,6.5419,8.0873,9.2108,5.5344,7.2724,6.6816,4.7381,6.4962,11.2406,4.8926,10.0052,6.5542,4.0599,8.1053,4.1313,5.49,4.771,4.23,7.2562,5.9567,5.427,5.4767,5.935,1.7597,2.9145,4.3788,5.2161,6.5386,3.1338,6.3089,4.7528,2.7643,4.1243,8.2162,6.6413,5.715,6.2332,2.5593,4.8686,3.4621,6.7161,7.2698,3.746,3.6016,7.9586,3.9526,4.7528,4.1535,4.1121,1.1776,7.1795,1.5766,5.379,5.3752,4.2626,3.0396,8.756,2.1796,4.6609,2.7509,4.5659,4.055,6.8302,6.406,7.4567,8.033,6.2149,7.0021,6.0913,2.0954,8.0973,8.3371,4.8031,6.6759,7.3399,4.4486,4.4057,9.7981,1.2352,6.4916,5.9411,10.0248,11.5203,8.3103,3.5491,8.4033,3.3879,6.4908,8.9739,13.1426,11.5489,5.5058,6.1085,5.4778,8.8653,9.885,6.4049,7.9081,6.1994,11.2626,7.2237,4.8779,6.984,7.7872,4.6347,9.9225,7.4525,5.0167,5.1312,3.9437,5.1291,6.4298,7.8867,4.777,4.422,5.5089,11.4295,8.382,2.136,6.3884,6.5438,4.7879,6.8109,3.3479,6.7018,6.3501,5.0063,2.6252,1.5385,5.6189,3.4186,2.0461,4.5644,12.0869,7.6261,2.2595,3.5005,3.8507,2.0892,4.3869,4.0458,10.1551,7.9733,4.8494,6.5054,5.5028,6.8364,6.1598,3.8831,4.5598,6.0451,3.8731,4.8329,5.0953,6.1574,6.2895,7.3391,5.6549,5.598,4.6168,4.457,3.8369,5.9712,4.5444,5.5596,5.0557,3.6847,5.5976,1.966,5.8047,2.2632,3.424,5.2336,5.0085,4.0625,3.5393,1.7437,2.0097,5.716,2.5375,3.449,2.188,4.0209,3.7504,2.5845,5.7392,3.2908,4.056,1
3.3633,3.3426,7.7275,8.2912,3.4571,4.2993,2.8124,6.3329,5.7433,7.7509,7.7264,4.2751,8.9946,8.0586,7.5707,8.9451,6.4467,7.2588,8.1154,6.9858,8.0993,9.7808,5.7888,6.0129,7.0043,4.5384,6.4808,10.5253,5.9845,8.8155,6.5411,3.9462,7.6828,3.6904,5.1522,4.3663,4.4441,7.1681,6.0293,5.2973,5.4159,6.1471,1.6308,2.5643,3.731,5.0882,6.8722,2.8346,5.6476,5.0624,2.0568,3.7134,6.7836,7.2091,5.4443,6.8746,2.492,5.7503,3.4284,4.0998,7.2057,4.2572,4.2666,6.743,3.5577,5.5482,3.0384,3.7849,1.0297,5.8859,2.9823,4.053,5.3773,4.1998,3.783,7.8571,2.152,5.9542,4.2918,5.7514,4.9612,6.549,6.6554,6.9421,8.035,5.7312,6.7179,5.7803,2.2236,7.4801,8.037,5.3903,7.1811,6.5459,4.9197,4.1725,6.5909,1.2252,5.6849,6.8877,8.825,9.0235,6.9697,3.9013,8.6263,3.105,5.5998,9.7981,12.7716,9.0578,4.4773,6.2295,5.4204,5.637,10.4918,4.9221,6.1971,6.181,8.5048,7.3785,4.9467,6.6149,7.3744,6.0121,8.8072,5.9386,4.9861,5.0072,3.5626,4.0995,5.4625,7.0123,4.1578,4.2847,5.5469,8.8608,6.7142,1.9634,5.6533,6.411,5.3158,6.9243,3.7806,6.2045,6.3657,4.8646,3.2932,1.6604,6.06,3.5386,1.6247,4.0166,11.8763,6.6236,2.0097,4.2279,3.2922,2.1704,4.7568,4.3369,8.1816,6.9725,5.138,5.9006,5.0745,7.4448,5.7639,3.5104,4.6167,5.4877,3.4699,5.2348,5.1104,5.4849,6.2628,7.8752,5.3312,5.7118,4.7889,4.8365,3.3739,5.8865,4.7711,4.9454,5.8547,3.8828,5.2018,1.4348,4.9384,3.3242,3.6868,5.1872,5.2477,3.036,3.5568,2.92,1.561,4.8665,2.8834,2.5098,2.0137,3.8245,4.2681,3.0781,5.2906,3.5867,4.549,1
