"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
537.1518,3736.173,2395.534,12490.347,140.24518,14207.968,427.0522,29829.84,9026.421,9500.088,22960.23,1708.9295,11713.377,20199.619,8576.691,5388.809,8589.637,23797.52,3913.861,8273.642,9375.259,34174.47,17773.301,2235.6755,5456.743,1773.073,2658.088,14765.07,1138.639,23512.861,6775.811,10387.69,10109.02,2167.714,2826.9373,462.5342,776.4895,16142.3302,4384.3332,1047.325,4536.673,1267.9067,61.58269,55.786975,1989.367,692.7017,10098.332,983.2184,5021.881,2054.6475,24.4063,187.4228,2067.798,767.166,710.6575,3875.1524,67.30673,445.36413,833.7522,3.649948,963.5685,1098.0634,7.702431,1918.6681,3038.51766,117.70303,570.5149,2192.6568,32.461365,56.317601,97.52121,5674.015,1963.8882,365.7236,2.618607,118.01419,4.428765,286.3139,15006.651,10738.781,3681.829,4710.4207,350.844,1669.268,739.0279,477.4126,1170.628,770.1756,520.1207,19305.424,2963.2441,959.6528,5435.903,619.6992,236.32925,518.0207,6228.5458,8.7752667,4157.445,9233.332,23653.97,16452.5,7923.827,435.8518,26601.99,583.4527,958.3732,33599.15,1007.9089,20862.15,297.7865,2931.726,3467.041,1277.3284,35961.97,491.5134,1125.8968,5194.936,15437.49,7555.249,1569.374,678.2,2808.582,2442.7393,23787.249,2707.6632,493.7,148.8021,3877.2823,370.8134,275.38754,4941.0326,597.6105,6.712477,301.6004,17147.93,1519.4652,8.935777,2309.71,8915.238,3116.3222,6855.441,2278.691,3780.44,134.020738,616.0768,821.1474,112.04234,5803.771,647.4933,68.3715,53.28508,448.1075,2293.715,756.0942,210.5806,74.79273,104.59,676.6493,3978.967,1527.272,4233.44,470.6795,2693.751,7055.372,3133.51,3215.3424,518.3571,617.5587,5030.538,268.2172,2927.2147,841.5839,229.0199,3524.206,2651.959,19174.555,4098.36,1433.9218,934.3796,1764.9652,5436.48,5749.755,2178.611,2816.5777,1057.8176,9305.59,1254.3152,1563.3572,1166.7239,678.2487,508.3313,308.3069,654.9567,2332.294,105.0067,34.052555,4629.717,1194.804,435.94203,1828.541,4179.772,126.44538,2744.1705,588.5691,1327.9,941.8617,0
959.3455,2037.481,4230.913,5914.494,168.6426,7141.019,244.4858,17023.48,11612.428,14972.938,20852.29,912.3461,16128.624,19263.53,9584.11,5395.902,10272.593,19434.92,8925.602,8441.335,7899.116,29998.49,15211.695,2834.618,15050.914,1626.406,8323.431,20107.16,3047.935,17399.59,12534.607,8824.367,4891.246,4317.306,4976.132,690.2661,2729.8953,8737.907,3262.8766,1962.258,4985.253,3741.3382,106.00416,53.288991,1665.604,598.004,19364.944,746.3273,5517.467,1745.9821,22.637595,221.0187,3026.301,1830.711,1740.8032,5042.8758,430.52275,195.20086,1098.4506,18.035833,3532.517,1260.3669,38.747289,2159.486,2258.5684,77.73456,282.5279,1219.3169,2.178533,89.893141,162.245422,5658.254,6951.86,296.4909,6.163365,390.3854,2.466716,1236.7594,13718.209,8686.722,4724.4972,1390.61,724.8088,3809.58,6811.939,902.9791,3083.774,754.5538,592.1996,14513.77,2631.3863,852.6004,3559.162,556.9518,193.67547,876.2382,12174.4734,12.9839,5410.974,14897.354,17659.39,19674.81,10601.462,1108.2351,16514.77,525.0818,1421.2662,28580.92,443.2363,22261.63,667.7169,3872.543,5500.334,2340.8581,29920.84,543.8783,2185.824,4446.963,20130.34,11987.708,2059.909,1732.6233,4192.681,6252.867,17091.6,4434.247,551.4775,277.64298,3516.2747,364.0759,554.187,3999.4056,565.6298,4.557989,203.0459,19991.63,2739.526,1.451959,5308.858,6246.952,5953.6654,5205.137,1818.9176,4842.087,100.462609,746.407,606.6537,195.74895,4049.074,403.4016,70.55972,48.45851,257.3871,2863.816,1461.6585,448.0096,86.54956,41.45513,476.7625,1617.0808,3547.3723,3125.724,429.9114,1758.431,3342.035,2759.421,8473.5599,630.1517,544.2744,4085.347,212.8325,1928.2137,642.6513,199.65746,3122.624,4886.324,15183.945,4796.192,1452.9622,1084.4903,848.8502,5478.26,3818.792,2526.301,2695.64,537.2073,7475.832,802.0813,1703.22,981.246,774.2337,474.1377,469.6929,1370.0772,2885.918,30.256767,9.50162,6242.62,2148.1178,739.41747,3024.791,5969.623,77.56056,1125.1692,924.7425,3164.972,839.8347,0
603.7093,1810.365,7896.319,6258.366,292.90411,9892.072,222.6081,19507.07,11552.612,10655.627,16294.12,552.6139,10450.232,15729.833,5426.897,3234.535,16425.052,22092.08,9200.79,14849.56,1819.338,31112.04,17180.729,2202.6018,17746.333,1797.36,8463.764,18917.95,1886.134,19622.769,4056.595,15668.882,5573.3,2147.803,5815.3448,142.5046,6028.0459,6749.8963,2008.687,2302.404,4829.876,872.0331,83.13897,70.260533,1482.569,632.1553,3694.524,600.3926,3802.637,1809.8594,23.58718,176.6718,2249.133,1024.4851,1622.9731,2881.5386,418.63292,335.84279,1053.4137,1.655136,7145.7058,2005.616,44.879001,1369.4336,3724.06422,68.19122,183.7494,959.4968,20.643272,38.298417,110.89682,3141.912,5481.5821,382.8785,9.14878,85.19802,5.619161,2250.7497,12128.244,9714.472,3655.0865,2182.5335,1496.6277,3448.467,10734.5547,847.9913,3365.94,1557.4498,663.6974,16802.169,3023.4682,1362.6466,4085.833,1389.1302,127.07926,958.2251,10069.0825,33.1433806,8234.413,15721.965,19622.7,19330.26,8444.047,967.1483,24909.96,561.5325,1878.27,29839.06,451.3195,21808.15,905.8445,3721.912,4780.779,1018.3712,32212.17,892.7772,1056.6836,4564.845,18992.4,11832.717,2655.159,2839.8228,2395.968,7205.129,19341.98,2960.7143,574.1299,494.8414,2263.8649,256.9693,94.11447,3919.06,568.6102,10.382359,216.857,19757.64,1411.1524,4.484046,6447.883,6059.777,1981.9478,5702.341,1857.931,8826.128,129.654586,446.6713,569.0095,180.15072,3643.15,506.1723,50.97101,57.85348,304.662,2815.379,4320.0313,781.7277,87.23188,181.35894,408.7844,1084.7426,1701.202,2428.721,563.7934,2404.227,5235.599,2587.94,2110.3531,518.5852,320.2526,2203.645,144.77397,2029.9562,532.5366,138.9732,3045.763,9496.176,19897.012,5824.206,1899.486,966.5769,1281.5235,6086.454,3665.297,3316.64,1674.6238,504.3049,5644.999,495.9461,1573.7766,677.9822,680.2855,364.1976,443.35,744.1955,2658.103,30.17606,3.797254,3805.245,1088.164,118.84823,3123.08,9930.103,114.84533,1451.2252,986.1009,9067.331,806.3563,0
766.3679,3031.351,4389.359,3866.552,206.84937,5921.496,335.2883,20802.59,10123.138,20804.098,18142.85,977.7266,14997.7,16552.979,12747.376,6484.889,25896.2,22374.66,8847.084,4010.409,8885.75,26085.89,13600.594,4477.1399,9580.432,2131.775,8558.978,16995.66,1927.586,19087.078,8802.256,5096.526,3132.307,2353.091,1618.9881,291.0121,2158.7919,9944.6097,3882.3276,2268.726,5094.079,1295.3018,91.17326,44.627138,2821.931,591.2693,5718.965,1098.2487,6469.656,5495.8319,27.9438,219.2628,11927.336,1132.9069,606.3323,4158.4465,1391.26065,919.09877,808.5089,11.167901,1559.9356,1344.9326,109.005837,11853.5603,988.51503,27.56268,412.9491,1807.3011,13.266421,86.70003,67.30899,4639.042,2608.3035,306.6909,1.199828,395.20165,24.583858,1469.1073,8255.997,6475.662,2354.3886,3868.9758,868.0849,3990.953,8456.2582,653.3945,2796.322,1651.2424,850.9131,12185.706,3345.2113,1371.4786,1409.991,2767.7369,206.49427,768.0818,8703.0328,12.6669789,10055.964,12289.463,19020.25,22563.3,3983.564,1534.7617,17279.3,188.1727,2089.7187,23679.37,520.9887,24751.04,1075.6376,3132.388,4529.311,2692.1428,24464.71,1283.0639,797.6939,3041.965,28504.68,8145.83,1504.655,573.8554,3390.832,3969.432,19084.766,7044.7308,597.0841,452.9828,1970.3818,534.3464,68.74029,5091.0855,777.9903,5.66628,338.8574,22350.97,2127.9551,10.662916,11898.059,8698.839,5427.602,5593.384,1306.36,6838.392,104.796283,587.528,570.326,212.9015,2851.793,1440.0306,48.28261,25.00307,284.842,1385.521,295.3099,516.583,350.47157,624.24536,347.7228,507.6172,12233.834,15981.997,403.4172,3129.299,3374.436,2945.494,20643.9313,1032.3819,710.5388,3002.402,305.72757,1841.0509,815.0305,267.6727,2725.369,6292.179,19597.568,6767.281,1981.977,1244.4739,3027.6122,8068.763,3509.117,1986.123,1206.8364,834.6063,9289.421,1423.9505,2240.9603,598.3059,801.0585,632.6366,375.0611,684.0873,1912.052,28.12377,31.00208,4772.101,2089.395,205.55873,3480.183,2657.908,68.94004,1324.96,798.8322,3826.527,996.7638,0
878.9628,1522.803,4325.755,9222.991,1551.4777,12896.055,211.8518,19648.41,6436.552,11150.052,19041.49,1099.5453,9434.314,14025.775,10776.346,16977.206,22019.808,26084.73,3082.137,6669.337,2224.3337,28650.74,19554.583,2411.0556,3221.842,1293.895,3390.132,13786.844,1386.5342,23565.73,18776.605,10419.425,8120.785,1723.9612,1367.1096,1174.0534,9959.6988,2938.824,950.9041,2176.953,6300.477,1142.7834,61.45425,78.856985,3982.8859,569.2451,4140.183,518.6441,6622.809,9360.8966,32.533746,981.71975,2023.7925,679.945,416.4354,3756.9702,461.88265,28.56356,1696.0832,6.160205,3137.8987,716.553,52.82796,1798.2208,10396.2802,28.39496,193.6212,1010.924,14.038176,6.950122,64.47064,3758.218,1926.8457,397.9911,196.272938,560.60418,6.825592,526.2394,3796.859,3015.884,1075.187,3790.661,776.0392,3439.004,4263.611,856.6909,4019.698,1264.3634,530.071,28788.799,10551.5683,210.4038,1923.7008,797.7356,192.76322,4813.4915,4468.5477,13.68005,3535.7295,13293.52,23561.51,14125.75,3156.608,1226.0564,20755.52,1586.3615,2558.3191,26946.7,577.3767,16106.02,1196.9139,3318.406,3693.464,619.4323,27842.18,423.126,500.0322,10195.849,13870.398,3839.247,3676.9746,364.1094,1800.808,2766.974,23534.75,3452.5255,537.1059,1196.0638,1259.7956,826.0433,162.4034,16165.441,512.944,5.549434,526.052,14651.36,2031.8087,22.451748,3630.512,8423.892,1018.2706,5918.905,927.1667,16109.102,67.833864,217.4139,1561.2169,106.19028,7838.995,490.9473,27.695567,57.71816,358.715,1813.875,537.1872,410.6384,19.26237,263.94608,361.3007,998.2256,1320.525,2798.333,431.7864,2326.406,6888.624,2416.073,158.14425,506.3239,433.9264,4803.966,347.3927,4010.126,779.6353,168.4269,1309.585,5501.079,6784.499,7133.613,1487.4145,1070.7867,274.5075,7718.972,4632.717,18200.5708,2002.278,1090.9655,9115.405,2674.082,960.0947,2987.1139,583.3024,866.8527,351.1869,789.3436,2033.929,39.340916,6.638403,3451.693,1843.129,1176.84888,5577.853,5333.571,184.23761,1082.3555,956.311,7243.043,898.8848,0
536.089,2397.345,5545.129,7203.086,163.59264,7014.99,191.3173,21280.44,17341.489,14425.899,26726.61,1234.2091,21069.88,22865.068,10714.414,5304.097,16187.854,18537.18,15886.723,9594.398,5052.944,27688.61,11729.838,3496.8857,13864.668,4795.219,7029.432,19816.36,1250.738,20454.911,13229.403,8942.28,5760.7,14372.173,3424.745,621.8875,666.7167,15375.6754,6717.319,1685.103,4602.657,1008.0264,35.44762,91.565704,3158.447,469.0279,18404.417,911.2196,6908.948,5974.1281,70.84651,336.7231,15430.16,503.6493,1017.6913,11284.4299,34.27316,46.48236,1097.1883,36.880229,1820.3101,1521.3496,4790.597815,5156.0443,2862.4975,117.19513,201.1289,1573.4116,28.396401,189.83053,80.62313,8577.17,1357.018,372.5714,3.139712,886.21127,6.660445,864.5653,1984.53,1530.426,578.4335,1973.917,1153.5852,3029.593,8628.9251,1243.8004,5548.561,1297.2772,872.6557,18639.242,8309.4763,1114.5447,1755.405,1080.5164,89.50608,1402.2979,26211.7273,3.1565119,33608.866,12218.469,21000.01,24113.62,13621.613,1838.413,24974.09,202.5051,4478.7399,25296.04,524.531,27481.76,2071.4538,3030.324,2949.153,4643.6163,26658.35,13161.3802,3629.7111,6425.649,29651.37,15559.327,2140.842,1240.3381,7307.254,4322.3672,20953.926,4287.5568,732.4685,257.5637,3876.0007,1153.1989,570.3219,11869.5397,696.5157,4.651062,252.0512,24315.46,7681.4016,12.137408,9502.647,8979.054,5742.5146,6558.374,1496.184,3822.19,532.395875,530.2508,516.5286,103.79083,4952.809,719.9404,125.7654,43.4257,362.3631,3048.015,1010.8222,367.9643,126.94296,165.21549,385.6497,994.4065,17555.566,6227.32,207.6028,2600.673,3405.686,1902.354,5187.441,663.0214,459.675,5046.404,97.86868,2508.4062,700.4001,601.0799,2205.842,7087.511,15200.527,5723.352,1152.2294,738.6598,574.8558,4810.714,2264.454,1740.144,885.8875,818.1551,12163.233,655.6698,4037.3982,640.6041,860.4757,671.9592,252.1953,699.7592,2746.533,201.45422,322.527399,10330.547,1398.846,1279.67844,1741.318,1890.875,71.2245,621.1748,726.1576,6077.254,704.2721,0
815.5363,2773.832,4033.635,2896.036,298.9096,5462.831,273.3048,18616.43,8190.098,18325.595,19039.5,928.3878,16431.589,19898.71,9953.623,6823.773,13047.201,20170.13,15234.875,4934.374,4765.105,24792.79,15705.663,3967.32,9267.725,1637.91,8006.526,20902.95,2296.777,20971.26,12239.548,4451.832,2301.021,2293.751,3578.095,185.7686,2317.038,7775.362,2308.921,2397.184,3871.097,2299.0408,128.18443,14.270846,2339.27,487.7485,4342.318,1528.519,6929.465,3860.8877,35.738006,210.685,13672.124,1888.6109,1154.3679,7613.3012,130.97472,1781.19229,836.7402,10.234433,2797.9119,1907.4921,50.297876,8662.091,1907.3418,46.71702,227.8827,1638.4627,17.279522,64.185276,397.411629,2596.964,2623.172,313.9486,3.139435,124.0276,1.686294,2232.8023,11061.786,8468.039,3202.6172,1937.593,592.4524,2687.315,7179.516,580.2068,1739.216,1291.1542,725.0297,17348.169,3300.9194,466.1205,2652.904,883.0845,112.83984,1073.1077,10593.3988,15.896322,20908.948,15269.03,19717.76,23770.08,10758.723,1274.3877,19778.13,367.9118,1992.0983,23433.77,463.0165,26927.48,794.2048,3266.939,5322.457,2914.32,25278.75,3109.2135,1903.4675,5201.401,29536.67,11251.108,2491.89,1482.5407,4091.814,4527.168,19794,5297.742,384.4041,409.95888,2461.6326,416.7957,96.76655,4935.8497,629.7079,5.059433,226.9496,23158.89,1864.592,4.959369,9653.721,8446.72,1402.8986,5238.67,2398.2513,7223.279,80.224144,923.3827,1456.3421,174.76969,3358.476,523.6849,31.10785,32.86678,293.6338,1954.28,1064.3712,802.7172,174.89182,246.03947,476.024,1830.1001,8655.6355,12349.771,535.5316,3157.871,2929.851,2825.56,15381.9895,640.5384,421.83,2298.832,256.0385,1804.7027,847.8031,204.0535,1944.117,5242.958,8812.178,5010.093,1773.4472,893.855,1866.3337,4281.114,3621.699,2603.051,2614.375,1170.0923,7261.059,1004.461,1753.309,1745.8528,476.2161,640.2606,460.1544,658.8237,2184.957,47.95426,16.013212,6240.918,1245.5822,329.24496,2771.478,3485.68,80.32438,891.2926,967.9037,3607.092,1085.4092,0
655.115,2896.527,2578.394,4105.881,389.7685,7799.557,340.5472,16760.82,13731.826,13784.333,16067.31,725.4559,16373.34,19532.69,4562.404,2878.009,3792.946,16136.78,22042.601,11476.28,1979.639,30138.24,18484.303,1798.821,4349.095,1502.23,18136.757,16150.37,1466.055,21343.1,6814.265,5520.048,3560.941,5798.855,1175.636,493.1426,894.012,3905.608,1230.9368,1287.921,2968.808,1792.8359,70.71341,66.09555,1890.804,541.4082,11507.61,556.0888,4781.063,941.4684,32.801954,280.7509,4375.576,1718.2308,3597.7117,5776.5164,624.32944,1116.98387,654.4575,13.290565,3259.7709,1219.7838,741.548314,2935.164,2966.667,23.84707,556.5465,1762.8387,4.541434,76.617044,268.979251,4216.518,2848.69,468.9147,3.553559,282.759,3.212255,2198.296,1261.511,1035.393,329.8828,2538.633,416.3946,7223.317,3750.596,606.9166,2156.491,1010.6119,519.2064,6261.72,1746.359,774.511,2128.908,1739.4664,269.05389,797.5861,6848.4313,2.918992,15908.757,12457.425,21041.18,25578.63,9506.039,734.9108,20508.52,1235.7601,2120.1856,27451.66,458.6098,30067.22,974.7929,3192.604,2348.798,2912.9459,29670.87,2157.7942,2543.7035,2571.09,31786.18,16298.081,1898.232,2798.0764,3946.869,5284.186,21471.31,2017.137,618.8813,361.02839,617.8606,380.0701,72.60324,2585.206,571.3825,6.698854,174.6991,25161.24,1686.271,15.13343,4006.403,9921.612,775.3506,6655.22,1822.2909,4875.62,297.449251,445.1369,432.3146,150.27028,3567.583,577.0081,55.32277,68.74368,274.562,1750.788,1528.709,568.3087,189.9427,936.49485,537.0914,698.952,2176.1407,4978.44,382.2591,1719.068,4223.454,2950.286,8271.314,574.1868,476.2626,4191.021,159.8141,1930.0525,851.0659,316.4377,1861.6847,2740.111,3861.082,3789.578,1916.7795,1026.3058,362.9135,4604.977,3258.787,1071.266,1059.248,731.5124,8955.883,976.5254,2653.188,761.9086,480.8886,586.9051,542.6676,690.3742,1748.868,391.030456,476.191075,6571.758,3545.7108,466.36196,3240.15,3306.417,147.64385,1114.8525,601.9434,3323.507,1557.903,0
1632.2416,1683.604,3670.624,2446.857,226.5919,5440.711,326.4878,22437.81,4311.775,22843.346,16342.99,1064.0595,10719.594,15072.75,7363.586,6419.094,6952.23,19660.31,11513.03,6157.584,10079.228,34456.34,9456.948,1496.698,8104.37,1093.135,5089.581,25789.93,1645.624,13220.4,5781.367,3380.833,2118.265,3637.137,1856.031,385.6207,1157.0546,10564.907,3733.0565,2679.098,3971.707,1295.9265,106.92829,62.319627,1020.769,472.9255,18006.017,711.9272,6093.54,2766.7344,39.958102,106.5678,6813.783,1066.5286,1555.7256,3192.807,422.37436,522.23504,868.39,2.114031,5354.0231,1458.0131,55.283858,8534.152,662.4242,111.87434,469.3398,836.0977,28.974108,481.724583,209.868867,3022.988,3113.624,281.3862,41.412691,659.2521,8.130982,2976.1468,4524.334,3433.555,956.7993,1770.718,590.8648,4123.011,3613.719,654.8442,2190.92,1008.5997,616.2481,8119.753,1677.4527,1166.0589,2135.215,759.6213,209.63129,1087.2287,6374.5008,20.284921,6281.294,10537.769,13549.11,19189,3682.233,3839.2568,21126.23,213.1957,793.0358,33440.03,724.0928,23997.17,231.4852,2136.4,4172.514,1394.0237,33419.22,687.4238,700.2357,4395.584,18437.99,7966.464,2107.116,1450.2871,2589.233,6821.293,13298.75,3010.897,955.062,283.77987,1611.9254,184.2562,118.5099,2505.9814,481.0107,13.732147,170.8015,19791.72,1498.696,8.64738,5592.823,8015.93,1325.8205,11072.609,1964.218,2962.05,77.219014,658.5043,679.1538,210.08158,5791.896,629.872,67.22896,104.66015,412.6996,2520.732,706.9781,325.2027,94.0609,134.93431,223.4609,1689.5113,7407.985,11645.303,366.1686,1911.654,3225.516,2793.21,20789.1249,624.7304,410.1139,2285.617,523.4566,1185.4548,690.8613,206.58618,1890.0646,4551.03,5625.501,3741.044,1272.7611,1171.7773,460.5198,4042.419,2907.513,1649.285,1172.837,854.7625,3992.241,747.2249,15026.382,777.8447,438.257,429.1154,362.5799,817.8147,1778.663,99.485637,19.46996,6387.283,1340.107,163.10896,2779.768,2074.684,154.98055,1091.3842,932.5736,3543.321,1049.4823,0
628.142,1589.747,6980.946,3952.316,332.70449,10796.169,290.9979,20051.05,4049.394,13880.379,10669.57,561.162,10658.869,18846.196,8373.939,3283.989,14590.74,22542.08,16476.45,4894.552,3140.478,33647.66,17766.334,2956.4328,13226.607,1355.923,5643.456,22784.21,1486.131,22576.813,8479.583,7675.533,3379.281,2352.182,3083.5944,142.7404,1274.675,6821.9468,1447.8632,1939.543,3365.172,1633.3051,110.49934,43.453986,1479.879,479.9913,10107.96,709.2057,4316.257,3866.6849,40.63372,145.3028,5598.555,1275.4614,4998.2308,4447.9158,760.68182,343.68549,905.0198,17.073588,5624.693,1616.8388,65.884707,4002.2553,1874.96359,204.82198,221.2513,708.7445,32.690382,21.375672,168.51294,1113.081,5302.9902,413.5484,95.735999,84.08921,32.634419,1496.6188,6644.09,5158.642,1697.4095,3047.1614,1036.5734,3537.645,5513.9316,817.9644,2451.858,1141.2941,571.634,8577.56,1122.342,809.5757,3141.472,1006.1421,212.91511,735.7924,990.4061,34.6955938,8513.496,14397.02,22866.11,24751.16,5360.794,2018.6521,20181.14,341.5761,1100.4909,31737.3,1476.9194,27774.61,453.0758,2555.413,3283.202,2665.4962,34753.56,817.3058,733.6344,3957.559,23295.56,10166.489,2886.809,5390.7019,2342.377,5264.9687,22928.766,3991.309,328.8972,243.4265,2002.0086,215.8613,47.45549,1863.9471,446.5178,7.283882,308.2413,25109.42,524.5322,27.68519,5478.881,7061.267,946.6629,4322.742,1589.546,4812.972,123.626927,735.1377,464.611,300.78369,6242.373,480.3419,58.67087,42.45312,574.375,1717.102,1041.5661,823.1478,143.69091,371.57501,421.1788,1136.7311,2866.927,7598.874,489.3868,1752.599,5125.846,3152.01,9713.3999,501.3986,333.3685,2302.197,194.67628,2048.7783,694.2501,137.5838,1524.415,7799.038,11126.03,4175.001,1634.7627,1008.1025,2114.9389,5670.039,2496.324,1852.702,1861.6257,725.1909,2807.76,685.8428,801.7229,692.4944,559.7964,327.7809,330.3689,729.9629,3028.706,72.7152,21.883624,4312.801,1103.466,215.47161,2094.238,3487.853,146.0252,1271.3355,1190.1162,6308.435,1040.333,0
