"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
12.532,9.832,11.547,12.465,7.619,10.816,11.843,10.392,10.965,9.12,10.005,11.938,9.917,9.382,14.716,7.677,8.447,8.216,8.19,11.873,13.338,7.527,11.957,11.276,8.422,8.112,5.87,9.06,9.217,7.569,8.907,8.488,8.772,10.32,11.183,6.002,5.252,8.925,8.427,9.624,6.44,10.629,7.677,5.678,8.709,8.447,8.363,10.794,7.885,5.508,7.308,7.258,2.104,9.081,10.244,7.693,9.253,6.428,5.76,8.321,9.903,3.202,8.04,5.358,9.828,9.856,7.055,3.548,8.209,2.888,12.843,9.475,8.66,6.733,9.707,9.433,11.299,6.828,7.552,8.381,10.401,8.957,8.58,6.027,8.013,7.478,9.592,7.64,8.837,7.829,5.792,11.413,10.849,11.799,10.978,8.163,7.45,12.223,5.984,8.035,14.576,7.504,10.826,6.791,10.521,10.456,4.995,14.672,9.976,8.542,9.329,10.45,10.799,11.449,10.922,10.082,12.724,11.777,8.52,9.499,7.524,6.957,6.604,3,6.406,9.277,3.722,9.681,11.209,11.418,5.289,8.694,11.088,6.791,12.288,9.85,9.037,6.541,8.545,7.176,5.567,10.705,8.047,5.233,7.581,8.466,10.377,6.622,9.298,7.194,7.884,6.252,8.414,7.244,9.083,9.545,9.078,7.066,6.146,0
13.554,10.294,11.984,12.552,8.518,10.411,12.015,11.343,10.717,8.671,10.938,11.159,9.708,10.037,15.505,7.665,10.068,9.39,8.845,12.063,12.805,8.969,12.325,12.422,8.023,7.743,7.355,8.059,9,8.482,10.812,10.055,9.443,8.872,11.058,6.479,6.289,7.909,10.016,11.039,7.61,9.882,8.29,5.838,8.383,9.575,8.071,11.751,8.237,5.202,7.91,7.875,2.17,7.875,7.528,8.734,9.492,6.77,4.787,8.264,9.69,4.807,3.42,5.318,8.841,10.304,7.003,6.284,8.366,3.217,11.825,10.015,8.785,3.848,10.81,8.882,10.02,8.314,7.696,8.417,9.667,9.284,8.906,3.278,7.532,8.855,9.109,6.455,9.487,5.104,5.65,11.473,11.145,12.119,10.91,8.674,8.261,12.658,4.65,8.37,15.364,6.349,10.96,8.307,10.461,10.522,8.489,15.434,8.814,8.081,9.628,10.539,10.61,11.717,11.685,9.106,10.612,12.102,10.84,10.254,5.88,7.504,7.754,4.315,6.592,9.657,4.087,4.883,10.865,10.089,4.603,9.711,11.865,6.705,12.6,9.339,9.323,5.336,8.685,7.551,5.681,9.788,8.781,1.807,7.348,8.134,8.688,6.192,8.555,7.95,8.877,8.169,8.42,7.558,9.579,7.919,10.016,7.803,7.081,0
13.066,10.289,11.274,12.498,7.765,10.594,11.938,10.166,10.366,8.839,10.778,11.153,10.433,9.076,14.893,8.56,8.296,9.244,8.035,11.083,13.333,8.184,11.932,10.752,9.681,8.545,6.801,7.448,9.045,7.875,8.872,7.837,8.96,10.274,11.555,6.009,6.914,8.838,8.864,9.969,7.234,9.981,8.215,2.433,8.44,8.423,8.098,11.028,7.794,7.148,7.556,7.625,2.632,9.731,9.183,8.589,7.711,7.038,5.492,8.688,9.691,4.446,4.479,5.049,8.987,9.607,6.787,4.888,8.326,2.722,11.92,9.678,9.089,5.42,9.93,9.673,10.296,6.665,8.669,9.389,9.827,9.262,8.437,6.391,7.757,9.029,9.149,6.896,9.352,6.111,5.888,11.865,11.448,11.922,10.389,8.655,8.361,12.962,5.423,8.308,14.886,5.9,9.739,7.086,10.758,11.329,6.135,14.92,9.551,8.413,9.468,9.672,11.234,11.648,11.147,9.73,11.853,11.852,7.904,10.417,6.845,6.463,5.973,3.087,7.172,9.186,4.609,6.974,10.117,10.783,3.392,8.308,11.396,7.265,12.021,9.653,8.934,6.522,8.866,8.345,7.021,10.288,8.678,1.536,7.082,7.408,9.155,7.514,8.206,7.746,8.325,7.609,8.403,6.797,7.367,8.564,9.675,7.011,7.534,0
12.784,9.21,11.623,12.223,8.093,10.997,12.033,10.144,10.579,9.66,10.523,11.386,10.096,9.038,14.936,8.044,8.286,10.346,8.347,12.99,13.207,8.651,12.553,11.882,8.703,8.064,4.104,9.862,9.346,7.898,10.014,9.434,8.789,10.326,12.976,6.164,6.74,8.669,9.272,11.86,6.771,10.343,5.406,5.612,9.182,9.173,7.949,11.096,8.507,5.792,7.703,7.489,2.406,9.395,9.162,7.121,9.234,5.681,6.125,8.145,10.052,5.776,6.022,7.994,9.602,9.344,6.744,2.459,9.564,3.548,12.121,10.61,9.537,6.802,9.224,9.937,10.562,7.317,8.127,8.576,9.275,8.792,9.844,6.674,6.793,8.023,9.5,7.13,9.687,6.932,5.564,11.125,11.314,12.594,10.92,8.176,8.35,12.52,5.459,7.901,15.036,6.553,11.109,6.671,10.541,10.428,6.525,15.03,9.172,8.3,8.702,10.742,10.927,11.857,11.098,9.211,12.196,12.467,8.516,10.026,6.558,8.007,5.399,6.172,7.652,9.406,4.766,7.483,11.008,11.259,3.991,8.72,11.324,6.194,12.913,9.088,9.475,6.436,8.251,7.999,6.233,10.27,8.066,5.409,7.582,8.281,9.224,7.304,8.36,7.548,6.762,7.588,8.528,7.283,9.459,7.515,9.215,7.27,6.914,0
13.004,9.611,11.202,12.706,7.599,10.909,11.834,9.989,10.492,8.17,10.979,11.265,9.965,8.551,14.703,9.204,7.598,9.567,8.487,11.396,13.227,8.001,11.973,10.587,9.22,8.652,6.236,7.516,8.624,8.174,8.767,7.78,8.463,10.029,11.243,5.81,6.885,8.021,9.172,9.026,7.532,10.373,7.293,3.322,8.52,8.026,8.042,11.096,7.945,4.65,7.711,8.142,5.318,9.825,8.895,8.153,7.645,6.945,6.825,8.234,9.621,5.221,4.07,5.375,8.82,9.629,7.217,5.304,7.86,3.233,12.255,9.228,8.714,4.561,9.998,10.413,10.463,7.655,8.3,8.633,9.82,9.234,8.33,5.933,8.001,8.157,9.571,7.115,9.368,8.166,4.263,11.042,11.119,12.064,10.289,7.907,8.458,12.505,5.416,8.256,14.791,6.874,10.156,7.557,10.722,11.067,4.632,14.748,9.342,8.054,9.267,9.854,10.895,11.432,10.845,9.616,11.603,11.881,7.577,10.223,7.275,7.06,6.111,3.667,6.931,8.817,4.797,7.116,10.316,11.4,6.131,9.035,11.715,7.558,12.101,9.432,9.029,6.773,8.76,8.481,5.928,10.913,8.763,6.338,7.222,8.424,9.017,7.172,9.468,7.389,8.789,7.456,8.281,6.113,7.599,8.713,9.65,6.955,7.185,0
13.176,10.215,11.163,12.131,7.682,9.974,11.468,9.598,9.266,7.485,10.436,10.396,9.145,8.896,15.292,8.033,8.219,6.119,8.441,10.644,13.232,7.993,11.746,11.212,8.717,8.589,6.211,7.991,8.341,8.055,9.251,8.173,9.019,9.576,11.82,6.152,7.109,8.628,9.622,9.798,7.368,10.144,7.349,3.365,8.185,8.602,8.117,10.333,7.689,6.479,7.954,7.25,3.07,8.943,9.207,7.273,8.22,5.585,5.858,10.078,9.763,5.963,3.818,4.154,9.079,8.825,9.099,3.392,9.703,4.285,11.463,11.172,10.341,7.385,10.512,10.759,10.513,6.727,9.434,9.873,11.102,9.141,8.435,3.907,7.031,8.378,9.723,5.1,9.106,7.871,6.907,11.089,10.726,11.88,10.512,7.74,7.573,12.286,6.349,7.766,15.419,5.154,10.107,7.05,10.886,11.348,5.597,15.358,9.156,8.254,8.807,9.963,9.883,10.311,10.739,9.589,11.55,11.721,8.044,10.686,7.421,7.023,6.937,3.689,6.271,9.185,4.644,7.076,10.483,10.185,3.322,8.648,11.362,6.603,12.425,8.828,10.092,6.394,8.342,8.318,7.445,10.146,9.06,6.53,7.511,7.271,9.718,6.728,8.191,7.19,9.297,7.491,8.208,6.168,8.088,8.556,10.026,6.64,6.645,0
12.846,9.626,11.828,12.295,8.197,11.031,12.009,10.665,10.259,9.858,10.978,11.933,10.197,9.596,14.378,8.6,8.666,11.1,8.031,11.916,13.153,8.785,12.354,11.774,9.315,8.105,7.451,7.425,9.363,8.629,9.879,8.634,9.016,9.482,11.675,5.24,4.75,8.555,8.581,10.2,6.833,10.428,8.419,5.209,8.235,9.656,8.517,11.527,8.728,6.497,8.311,7.382,2.35,10.304,10.284,7.98,9.99,5.916,6.619,8.683,9.803,4.75,6.664,6.969,9.388,9.497,7.188,4.888,8.03,3.278,11.898,10.935,10.168,7.738,10.137,8.987,11.082,8.495,8.418,9.288,9.776,9.179,9.193,6.477,8.129,8.923,9.752,7.447,8.913,9.994,5.354,11.89,11.465,12.235,11.083,8.94,8.796,13.044,3.17,8.61,14.433,6.925,11.002,7.74,10.629,10.737,7.335,14.366,9.693,8.663,9.197,10.499,10.786,10.543,11.618,9.925,12.458,12.141,9.441,9.706,7.526,7.459,7.51,3.644,7.816,9.604,4.982,7.764,11.048,10.026,3.935,8.751,11.431,7.964,12.182,9.874,10.313,6.104,8.59,8.066,7.236,10.208,8.642,5.818,7.429,8.34,9.661,7.492,8.731,7.479,8.901,8.347,9.229,7.522,9.72,8.382,8.758,7.747,7.371,0
13.072,9.706,11.528,12.645,8.021,10.814,11.956,12.238,10.75,8.722,10.411,12.08,10.641,9.071,14.606,8.486,8.436,9.162,8.685,12.391,13.545,7.849,12.405,11.331,8.764,8.271,6.44,10.085,8.845,8.594,9.037,8.499,8.868,9.177,10.011,2,7.199,7.561,8.973,11.437,7.017,9.948,7.163,5.138,9.237,8.55,8.296,11.283,7.973,6.302,7.347,7.71,2.104,8.697,9.353,8.083,8.01,5.121,6.55,8.82,9.742,4.466,4.591,3.963,8.56,10.023,6.711,2.379,8.773,2.744,12.917,9.522,8.859,7.116,10.366,9.51,11.48,7.194,8.349,8.564,9.525,8.719,8.017,3.678,7.321,8.356,10.186,7.564,9.667,9.198,5.85,11.682,11.202,12.575,9.805,8.895,7.894,12.82,5.76,8.815,14.77,6.513,9.326,7.068,10.741,10.963,7.454,14.646,9.936,8.765,9.59,9.207,10.898,11.501,11.158,9.988,11.705,12.398,8.152,9.874,7.638,6.787,7.215,6.238,6.622,9.091,4.517,8.414,10.007,11.385,5.82,10.071,11.843,7.637,12.436,10.316,9.692,6.184,8.367,7.195,6.497,9.942,8.549,6.458,7.641,7.885,9.406,8.693,9.311,7.792,9.431,7.207,8.713,7.455,7.74,8.212,9.001,7.329,6.392,0
12.828,9.8,11.39,12.213,7.883,10.917,12.096,12.057,10.193,8.473,10.41,11.698,9.63,8.549,14.411,9.277,8.1,9.837,7.845,12.015,13.104,7.643,11.444,10.078,8.599,7.947,6.42,8.843,8.997,7.616,8.707,7.654,8.192,8.723,11.578,5.739,6.358,8.31,9.021,9.372,7.254,10.039,7.953,2.766,9.712,7.819,8.515,11.339,7.735,6.703,7.172,7.689,1.926,9.443,9.414,8.129,7.168,6.775,5.977,8.037,9.92,4.406,7.711,5.423,9.26,9.409,6.677,3.263,8.412,3.202,12.592,9.848,9.096,6.591,10.667,9.854,10.526,7.553,8.65,8.673,8.895,9.014,8.557,6.451,7.559,8.284,9.206,7.415,9.58,5.875,6.109,11.999,11.122,11.318,10.941,8.557,8.011,12.572,2.926,7.678,14.325,7.895,10.838,6.837,10.937,10.506,5.358,14.37,10.416,8.363,9.641,10.452,10.747,11.577,11.444,10.179,11.887,11.321,9.064,9.513,7.772,7.842,6.699,3.609,6.852,9.087,4.466,8.78,10.946,11.005,5.57,8.565,11.718,7.153,11.92,9.231,9.42,6.016,8.922,7.2,7.125,10.202,8.398,4.009,6.156,8.514,9.664,7.188,9.456,6.928,8.334,7.406,8.696,6.471,7.16,8.246,8.911,6.848,7.283,0
13.178,10.544,11.586,12.771,7.633,11.658,12.52,9.858,10.281,8.976,10.238,12.849,10.698,9.392,14.523,8.15,8.08,7.069,9.256,13.45,13.09,7.408,12.53,11.301,8.58,8.687,5.07,5.655,9.547,9.94,8.647,8.242,8.693,9.35,10.987,4.787,6.736,8.391,8.901,11.099,7.209,10.61,5.044,3.689,8.875,7.728,8.651,11.619,7.421,6.304,7.7,6.492,3.35,9.05,9.354,8.086,7.602,6.878,5.678,9.247,9.872,2.17,5.83,6.044,8.817,9.96,7.089,3.7,7.553,5.763,12.656,9.082,8.242,4.485,10.428,9.002,10.259,6.208,8.16,8.749,10.306,9.544,7.054,3.392,8.688,8.381,9.446,7.822,8.636,6.99,2.322,8.953,11.276,12.328,9.761,8.749,6.459,12.632,4.113,8.498,14.469,8.132,9.334,7.945,11.057,10.612,5.552,14.516,7.727,8.62,8.68,9.108,11.038,10.775,11.729,9.987,10.288,12.331,6.954,10.278,6.534,7.035,7.391,3.121,5.818,9.2,3.678,8.598,9.529,11.679,3.797,8.537,11.324,6.922,12.297,9.481,8.02,6.685,8.528,7.435,4.781,9.456,8.689,3.644,7.833,8.296,9.357,7.389,8.535,7.511,9.243,7.601,8.216,6.827,7.619,7.448,9.188,7.877,6.456,0
