"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
8.426,11.054,12.422,9.63,9.621,13.049,8.548,13.968,12.871,12.075,14.319,9.34,14.797,15.198,10.93,10.857,10.805,11.238,14.557,12.734,9.744,15.852,10.344,10.014,9.267,9.647,15.329,14.751,9.149,13.083,15.072,9.081,9.211,7.181,8.088,11.333,11.258,10.918,9.964,10.625,9.421,11.758,5.009,6.24,10.15,9.641,12.495,8.083,11.431,8.5,4.959,7.886,9.024,8.335,13.929,8.958,4.615,7.039,8.595,1.678,9.072,10.713,7.432,11.056,3.818,7.151,9.039,10.923,5.909,7.127,6.789,11.074,11.634,8.447,3.433,9.331,4.42,13.791,10.915,10.797,8.617,11.411,10.83,11.247,7.609,9.119,9.344,11.287,10.586,9.225,6.284,9.97,8.535,10.517,8.782,9.49,12.754,5.615,8.687,12.448,13.045,13.317,11.325,9.803,14.865,3.233,11.36,15.633,8.481,13.119,10.802,11.53,12.094,8.571,15.663,8.109,10.442,9.68,12.76,13.924,11.07,13.034,13.114,13.019,13.002,10.274,10.849,8.099,9.208,9.372,0.585,7.44,10.265,5.931,8.673,13.081,12.887,6.98,11.389,12.974,8.925,13.727,10.796,10.317,5.413,10.957,8.027,7.241,11.481,9.863,6.845,7.589,8.166,11.266,9.374,10.249,7.976,10.239,9.627,7.035,8.903,11.275,9.654,11.348,12.449,13.042,8.192,10.721,9.849,12.494,8.433,10.808,10.562,7.594,12.013,12.06,8.255,11.669,10.954,11.257,7.407,12.138,11.375,9.926,11.18,9.254,11.292,9.746,10.488,9.13,10.409,9.495,9.274,10.389,9.238,4.711,5.741,12.987,8.649,6.974,8.565,11.613,7.645,9.475,10.939,9.752,7.775,0
9.13,11.566,12.186,10.059,10.027,12.934,8.776,14.635,12.531,14.059,14.851,9.74,14.395,15.361,11.155,12.433,11.786,12.172,15.569,12.264,11.207,16.218,10.234,11.423,10.504,10.517,15.489,15.341,9.542,14.012,15.049,9.397,9.694,9.247,8.093,9.722,9.006,11.721,10.785,9.999,11.101,10.362,2.945,6.927,9.144,9.659,12.887,8.588,11.721,8.569,4.776,9.167,10.771,8.58,14.756,9.66,6.728,6.651,9.114,1.807,10.137,10.258,8.887,10.64,6.527,6.345,8.735,11.001,6.256,7.358,3.485,10.935,11.454,9.532,5.079,7.814,3.787,13.459,10.672,10.208,8.195,11.193,10.428,11.62,9.054,9.452,10.333,11.396,10.847,9.191,6.921,11.56,10.059,11.065,8.054,9.439,12.668,3.818,10.419,12.705,14.028,14.037,10.904,11.451,14.811,6.862,11.392,15.996,7.921,14.081,10.929,11.287,11.39,10.285,16.121,9.448,10.042,10.506,13.527,13.922,11.483,14.905,12.803,12.986,14.009,11.445,12.828,7.96,9.168,9.064,3.472,7.681,10.008,5.005,8.955,14.246,13.473,3.104,11.447,13.208,8.898,14.056,11.503,10.166,7.551,10.279,8.817,6.55,11.192,10.486,5.684,8.682,8.312,11.117,9.069,10.067,7.836,10.258,10.348,9.288,10.225,11.131,8.899,10.824,12.576,13.269,7.22,11.187,10.06,12.148,8.656,10.66,10.567,4.062,11.869,11.899,9.678,12.071,10.733,11.181,8.819,12.094,11.143,10.082,10.607,10.257,11.04,9.432,10.549,9.446,9.7,9.817,9.123,10.169,9.354,6.413,3.609,12.847,9.39,8.111,7.977,10.624,8.27,9.555,10.688,10.631,8.562,0
9.061,11.778,11.51,8.384,10.322,12.94,8.928,14.426,11.236,11.646,13.483,9.487,13.181,14.339,10.128,10.352,10.64,11.849,13.485,11.664,9.392,16.39,8.409,8.931,10.296,10.657,13.214,14.024,8.877,13.156,13.165,7.913,7.75,8.242,7.592,9.543,9.992,10.209,9.306,10.46,8.848,11.381,6.95,6.657,9.904,9.918,11.245,8.933,11.511,9.23,3.585,9.317,8.656,7.742,12.214,8.641,2.07,7.598,8.981,2,8.272,10.568,7.875,9.14,7.974,7.419,9.781,11.252,5.952,3.609,4.661,9.651,10.504,7.792,3.104,9.061,6.32,13.48,9.489,9.152,5.343,12.252,9.787,10.471,7.909,7.1,7.734,12.437,11.348,8.88,5.1,12.678,8.178,10.362,9.477,9.591,9.517,6.254,11.441,12.356,13.255,10.779,10.429,7.764,14.23,5.361,9.162,16.321,7.376,10.651,8.641,11.93,11.516,8.105,16.304,8.999,9.334,9.997,9.999,11.492,11.195,12.189,11.89,12.49,13.141,8.837,11.06,6.796,8.842,7.383,3.597,5.9,10.598,4.385,7.448,10.351,11.387,6.703,11.41,12.479,9.339,13.842,10.325,9.413,3.935,10.36,8.44,6.414,10.599,10.554,6.555,8.532,8.459,9.887,8.594,9.207,8.05,12.714,9.753,8.267,7.72,9.408,9.836,10.886,12.301,13.617,6.978,11.029,10.676,11.922,8.603,8.881,11.227,7.016,12.043,10.911,9.453,11.722,11.531,11.683,6.829,11.547,10.884,9.754,11.484,9.864,10.653,9.517,10.069,8.406,9.788,8.983,8.693,9.02,9.348,5.005,4.217,11.374,8.531,6.883,6.53,10.993,8.099,8.961,11.398,8.247,6.667,0
9.009,12.036,12.645,10.433,9.546,12.904,8.846,14.334,11.264,12.07,14.679,10.322,13.181,14.057,9.995,12.293,11.375,11.916,11.864,13.038,9.515,15.887,10.652,9.114,10.766,10.746,14.523,15.151,8.192,13.527,14.776,10.176,9.993,6.624,9.615,12.254,11.783,10.692,9.298,10.413,10.605,9.857,5.747,7.617,10.096,9.605,13.794,8.675,11.77,8.742,6.055,8.833,9.318,8.731,10.475,8.188,4.217,6.595,8.472,1.963,8.98,10.39,5.85,11.527,6.762,7.614,9.62,11.4,5.459,8.633,4.027,12.417,12.55,8.131,3.609,10.362,4.3,13.851,10.297,10.158,7.749,11.486,11.37,10.931,8.463,8.894,8.815,10.985,9.929,9.014,6.493,12.667,8.658,10.452,9.499,9.243,12.902,4.802,9.294,12.215,13.494,13.504,11.973,9.249,14.315,4.868,10.87,15.756,7.957,13.466,9.333,11.167,11.292,7.741,15.767,7.84,10.842,9.788,12.974,13.367,10.634,10.602,11.37,13.19,13.346,9.826,11.275,5.626,8.965,7.711,4.446,7.051,10.634,4.959,8.898,13.473,13.561,3.202,10.848,12.949,9.183,14.225,10.764,8.296,6.752,9.676,6.992,7.696,10.362,10.406,6.142,7.699,8.576,11.629,10.271,10.55,9.282,9.271,8.951,7.424,8.691,12.048,9.369,10.444,12.485,12.967,8.03,10.757,10.897,12.702,8.633,9.78,10.586,7.978,12.24,12.586,9.037,11.371,12.44,10.924,7.227,12.014,10.911,8.364,10.784,9.375,12.186,8.791,11.338,8.929,10.03,9.14,9.023,9.622,9.663,7.689,6.855,11.324,9.48,7.069,9.627,10.421,6.336,9.353,10.511,10.304,7.208,0
8.773,11.538,12.064,8.412,9.352,12.712,8.409,14.053,10.887,13.804,13.572,8.935,13.526,14.265,12.249,11.099,11.029,12.323,14.265,11.581,11.25,15.381,10.242,11.418,9.288,9.803,12.994,14.618,9.812,13.509,15.101,8.68,8.575,7.041,10.441,10.857,10.118,11.701,10.844,10.343,10.788,11.676,5.87,5.72,9.151,10.031,12.985,9.065,11.165,8.467,2.722,9.781,11.794,9.025,12.733,9.879,2.406,6.287,8.924,3.945,10.794,10.078,7.878,12.153,6.86,7.292,9.129,11.011,5.057,7.584,6.791,10.6,9.472,7.167,3.573,9.683,3.446,12.634,10.82,9.999,8.312,11.746,10.355,11.482,10.397,9.267,10.881,10.834,10.442,8.665,5.926,7.787,8.379,10.463,7.432,9.689,8.77,6.307,12.7,12.119,13.666,14.909,10.342,8.484,13.982,3.336,9.876,15.217,7.334,14.914,9.284,11.657,12.265,8.629,15.217,10.907,8.835,10.596,14.661,11.236,10.945,12.304,11.606,13.056,13.488,11.485,10.482,9.078,9.239,7.594,2.868,7.734,10.061,5.162,9.222,15.069,12.421,2.233,10.48,13.419,7.213,13.71,10.83,10.493,5.664,9.166,9.986,8.548,11.833,9.6,5.709,8.373,7.677,10.936,8.327,9.238,7.096,10.219,9.434,9.285,9.781,12.482,10.246,11.478,12.245,12.706,9.486,10.864,9.451,11.349,9.049,9.529,11.035,6.638,11.382,11.824,8.805,11.012,10.94,11.891,7.85,11.825,11.294,9.941,10.622,9.405,11.105,10.913,10.399,9.265,9.732,8.766,9.325,9.112,9.428,7.368,3.307,11.484,8.594,8.442,8.866,12.306,8.432,8.918,10.452,8.526,9.687,0
9.474,11.271,11.306,8.76,9.338,13.171,9.165,13.83,10.067,12.844,13.823,9.355,13.049,14.052,12.077,11.943,10.857,12.628,14.504,11.078,10.507,15.993,10.506,10.635,10.415,10.861,14.542,13.596,9.259,12.614,12.585,8.758,8.498,7.752,7.248,9.665,8.146,10.295,9.551,9.881,10.817,10.677,6.083,5.492,9.108,10.089,13.075,9.469,11.46,9.052,3.472,9.48,9.666,8.772,13.502,9.271,5.606,12.731,9.728,2.036,9.518,10.778,7.254,10.787,2.888,7.492,8.913,10.715,6.508,7.162,5.714,10.493,10.321,7.666,3.217,6.966,5.739,13.729,10.972,10.549,7.43,10.411,8.902,12.161,9.249,8.54,8.559,11.14,10.469,9.259,7.179,8.052,8.399,11.375,8.209,9.484,8.328,6.042,10.711,12.668,12.56,12.816,8.628,8.647,14.461,3.036,9.262,15.854,8.66,12.967,8.52,10.919,11.757,8.129,15.919,9.378,9.031,11.023,12.621,11.743,12.36,13.561,11.774,12.647,12.49,10.377,11.359,9.815,8.339,5.855,5.508,7.792,9.286,4.935,8.721,12.762,12.334,6.227,9.937,13.92,7.214,13.83,11.311,11.563,4,9.941,8.705,7.204,11.397,10.626,5.692,8.293,8.679,10.875,9.004,9.115,7.098,10.624,9.189,10.14,8.982,11.027,9.291,10.412,12.619,13.383,10.527,10.387,9.812,12.542,9.807,9.495,10.989,3.878,12.38,10.942,8.152,12.112,10.365,11.314,7.603,12.49,11.786,9.281,10.526,9.36,10.231,9.107,10.659,8.861,9.451,9.075,8.771,8.583,9.631,5.229,3.406,11.605,9.204,6.352,8.833,11.642,8.076,9.995,10.793,8.691,8.321,0
8.893,11.763,10.732,9.469,9.07,12.93,9.043,14.38,10.609,13.316,14.123,10,14.008,14.345,11.597,11.001,10.37,12.627,14.622,11.366,9.368,15.8,7.208,9.405,9.73,10.78,14.117,14.119,8.082,12.677,12.81,9.537,9.041,5.741,9.569,11.037,8.365,8.795,8.557,9.895,11.121,11.879,5.615,7.275,8.938,9.647,12.406,8.71,11.74,7.608,6.094,11.112,8.168,8.395,12.648,7.757,3.733,6.677,9.791,2.945,9.185,10.979,8.289,9.016,2.963,6.791,9.689,11.244,5.053,8.916,4.818,11.702,11.238,7.718,3.186,7.941,4.385,14.631,11.123,10.986,9.697,11.502,8.985,12.628,8.122,8.16,8.149,10.018,10.333,8.148,6.19,10.228,8.26,10.75,9.58,10.435,9.465,5.252,9.652,12.499,12.616,11.821,9.146,7.123,13.931,3.963,10.168,15.757,8.829,11.936,9.158,11.012,12.11,7.192,15.785,9.002,8.69,9.384,11.35,11.866,12.524,12.192,11.234,12.245,12.493,9.515,10.979,8.297,8.077,7.872,2.233,7.033,10.204,5.092,9.827,11.747,13.211,5.517,9.603,12.911,7.278,13.707,11.341,8.266,4.818,9.506,8.315,7.055,10.932,10.657,6.033,8.383,9.491,11.182,8.548,9.331,7.563,11.047,8.844,8.534,7.988,8.491,9.64,11.23,12.385,13.42,5.322,11.406,10.23,13.014,9.361,9.134,10.923,7.647,12.579,10.922,8.051,12.004,10.318,11.27,7.523,12.392,11.531,9.409,11.142,9.997,11.102,9.462,11.326,9.325,10.327,9.026,8.612,9.486,9.521,4.485,6.215,11.477,8.943,5.511,8.316,12.1,7.84,9.721,10.325,8.061,7.201,0
9.294,11.668,12.285,9.625,9.935,12.514,9.175,14.846,12.518,13.554,13.984,9.775,14.771,15.479,11.534,11.885,11.97,12.997,14.132,11.726,10.532,16.149,9.17,10.579,11.606,10.734,14.789,14.824,10.005,13.855,15.846,9.733,9.207,8.07,7.401,9.279,9.647,13.541,12.444,10.447,10.805,10.21,6.746,7.02,9.462,10.077,12.734,9.24,11.547,9.396,6.414,9.091,10.822,8.423,13.386,9.955,6.895,7.502,9.759,2.233,9.615,10.152,4.453,11.826,5.975,7.369,9.329,10.813,4.406,6.17,7.32,10.524,11.433,7.755,5.15,9.704,5.027,13.278,11.59,11.298,9.21,11.876,10.615,11.694,9.685,9.493,10.325,11.114,10.418,11.129,8.725,10.395,10.266,10.525,8.712,9.622,9.944,2.07,11.037,12.793,13.817,13.783,11.286,10.185,15.157,3.888,11.432,16.033,9.465,13.938,10.265,11.525,11.691,10.195,16.041,9.31,10.237,11.036,13.402,13.709,11.429,12.772,12.799,11.668,13.791,10.323,10.28,8.039,9.544,8.973,4.426,9.244,10.367,5.35,7.227,13.824,12.208,5.579,11.622,13.483,10.282,14.689,10.807,10.594,6.117,9.883,8.518,7.556,11.666,10.837,5.784,7.577,9.722,10.687,8.867,10.023,7.242,10.715,10.289,8.912,9.804,12.3,9.286,10.552,11.877,13.283,9.721,10.181,10.688,12.187,9.31,10.638,10.61,7.694,12.055,11.833,9.618,11.477,10.712,11.285,7.783,11.358,11.278,10.037,10.964,9.182,10.861,8.107,9.481,9.371,10.034,9.448,8.615,9.717,9.568,8.142,4.579,12.863,9.413,7.262,7.488,11.275,6.8,9.468,10.679,10.088,9.194,0
9.008,11.54,12.411,9.538,9.587,12.509,8.71,14.694,12.419,14.262,14.547,9.658,13.381,14.089,11.137,11.142,11.484,11.94,14.841,12.49,9.723,15.953,9.247,10.931,10.913,10.825,14.552,14.709,8.854,13.816,14.556,9.497,9.602,7.759,8.323,10.062,9.389,11.875,11.161,10.738,11.079,10.582,7.152,6.609,9.147,9.469,12.186,8.619,11.635,8.756,5.838,10.241,10.898,8.073,13.702,9.301,7.033,7.279,9.026,1.678,10.73,10.168,8.152,10.898,7.129,7.221,8.975,10.911,4.517,8.075,6.481,11.346,8.94,7.986,6.073,9.197,4.087,14.207,12.26,11.826,10.599,11.772,10.053,12.79,10.998,8.875,8.693,10.438,10.567,9.016,7.234,12.354,9.778,10.795,9.218,9.434,10.991,2.561,10.424,13.104,13.82,14.922,10.059,8.496,14.412,5.315,11.393,15.8,8.505,14.805,10.278,11.287,12.144,9.359,15.803,9.284,9.445,8.705,14.597,12.674,11.237,13.342,11.016,11.549,13.648,11.545,10.663,8.339,9.696,8.6,3.597,7.895,10.519,6.127,9.27,14.913,13.303,7.001,10.919,12.961,9.133,14.028,10.161,9.53,5.511,9.616,7.969,7.45,11.098,10.71,6.331,7.669,8.246,10.996,8.425,10.248,7.732,9.734,9.452,8.85,11.282,10.867,8.985,10.495,12.264,13.132,6.517,10.458,10.564,13.035,8.688,9.282,10.804,6.922,12.475,11.975,10.165,12.042,10.048,11.997,8.072,11.936,10.675,9.692,11.296,9.882,11.595,9.223,10.924,9.082,9.694,9.36,8.666,9.378,9.482,7.698,3.406,11.585,9.175,6.531,8.146,10.781,7.42,9.714,10.874,10.45,8.326,0
9.105,11.848,12.049,9.236,9.538,12.349,9.493,14.07,11.838,13.138,14.045,9.564,14.472,15.075,11.012,11.789,10.696,11.97,15.034,11.953,9.674,15.366,11.246,8.809,8.636,10.205,14.724,14.539,8.261,13.273,12.717,9.155,8.927,6.801,8.187,10.121,8.496,9.513,9.144,11.13,11.025,11.092,6.399,6.096,9.658,9.182,12.493,8.986,11.61,6.261,5.644,10.425,7.691,9.079,13.934,9.07,6.428,7.583,9.058,3.548,9.304,10.248,9.186,8.36,4.138,7.398,8.458,11.069,5.285,6.671,7.029,10.703,10.689,8.126,2.907,9.395,4.263,13.61,9.92,9.987,6.511,11.991,10.434,11.495,7.147,8.863,9.703,11.965,10.836,8.377,3.644,9.705,8.205,10.264,8.95,9.348,9.121,3.459,9.346,12.659,13.23,11.273,10.33,11.716,14.599,5.612,10.822,15.119,7.062,10.758,9.966,11.228,11.969,5.789,15.199,8.467,9.344,10.3,10.529,13.255,11.345,13.62,13.534,12.405,13.193,8.928,10.913,7.397,9.328,8.81,3.916,6.997,9.996,4.977,9.238,10.954,12.787,4,11.548,13.499,9.382,13.455,10.885,8.618,3.392,9.692,8.594,7.621,11.635,10.223,7.48,8.887,7.532,10.424,9.679,9.708,7.051,11.515,9.772,7.97,8.055,8.457,9.206,10.456,11.931,12.845,4.632,10.321,9.636,11.685,9.518,10.442,10.832,7.262,11.383,11.946,8.205,11.337,10.647,11.579,7.675,11.545,11.245,9.471,10.657,9.51,11.124,10.116,9.956,9.182,9.766,10.406,8.543,9.866,9.589,7.052,2.433,13.602,8.941,6.995,8.728,11.44,7.743,9.615,9.677,9.327,7.351,0
