"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
1596.7,3334.9,38861.7,8008.7,1214.8,15706.8,1094.6,53802.5,20647,70089.3,24106.9,3580.7,27919.8,39255.5,30296.1,28392.5,45662.5,63620.3,38635.8,12518.5,35105,195809.5,18250.7,12104,26841.1,3001,17975.1,138683.7,10177,92350.7,105524.2,7347.7,5036.4,9026.3,2255,1499.6,6115.1,43621.7,21976.6,5628,8357.6,10242.5,265.7,248.2,2577,3349.1,15474.2,700.4,11161,9686.9,1404,1976.1,27343.6,630.7,6490.6,9391,3302.8,1317.1,1177.3,536.2,13546.9,2034.6,269.2,70709.4,3161.9,390.5,1133.2,1801.8,186,306.3,720.8,7108.5,11654.4,1701.4,664.7,929.9,38.6,9298.6,23395.7,9023,6309.1,3669.9,16489.8,13307,51073.6,3401.3,8466.1,2620.5,2551.5,60907.7,14395.7,2937.1,5673.7,3176.7,842.1,1632,16564.3,30.2,19121.1,29559.3,93346.8,115836.2,8986.3,17546.3,45562.3,1106.2,3232,177227,4517.1,118659.6,1905.6,13531.7,16178.6,6208.4,179583.6,5185.4,3795.4,20570.8,98151,33924.1,4490.1,4454.5,4491.9,16648.6,91367.9,18249.7,4241.8,1295.5,4692.7,511.3,1660.3,22055.5,2165.8,67.6,1486.7,118186.5,11988.4,25,13771,25013.2,4613.9,24594.1,4230,3801.1,981.7,2421.4,2592.7,484.8,12995.4,2032.8,191.6,741.9,5863.1,4448.9,1726.3,1941,910.9,498.6,2645.8,4381.8,22203.4,79856.3,878.4,6982.2,12538.1,15456.3,86452.8,1565.7,1147.4,11028.6,1404.2,3155,2569.1,272.6,12910.3,34259.3,13679.3,10288.7,5479.7,3695.1,3567.2,13201,8404.4,4793.1,4975,1968.3,4786.2,781,2690.8,1841.4,2095.6,1965.2,1568.7,2445.1,1686.5,390.8,33.4,7102.3,989.8,384.2,730.7,3974.6,1751.2,3015.8,4713.4,12247.8,5398.6,0
3119.9,10098,20376.2,9540.6,385,18400.8,2116.3,59616.4,32506.8,26240.8,88197.5,8856.8,33493,46390.8,33952.3,55601,37284.7,65991.9,17677.9,6968.4,5278.2,188102.5,37929.6,1305.3,15428,7545.2,29685.8,176969.9,7688.7,86452.7,60109.5,6200.1,6651.6,11541.7,3350.5,2073.2,5688,15595.3,6070.8,3808.7,3745.4,4310.9,36.4,347.2,4690.1,6426.6,31822.7,2003.3,18529.6,2902.4,186.5,958.2,4498.2,652.3,4665.4,8806.6,2077.8,1802.4,1194,82.1,1967.8,2411.6,322.3,14344.9,368.4,185.9,1640.1,5934.6,154,2750.8,19,21844.2,4407.2,921.9,125.6,2868.3,54.5,22563,5719.5,4076.9,1586.3,4669.9,5849.9,37724.5,10365.1,520.7,657.6,1565.5,1918.7,112659.3,54368.9,1710.8,4782.8,16102.6,1415.6,1335.9,112552.8,108.7,19540.4,16696,86926.8,55441.7,34072.1,1492.8,60861,1249.1,4076.1,163587.7,8474.2,60162.3,2706.4,9093.7,14784.3,1135.6,173049.9,5432.9,13962.4,9040.1,47744,42871.9,3880.4,5467.7,5503.7,10607.4,85861,1399.1,7849.1,2753.6,2297.8,1154.9,1524.3,86845.9,1865.3,46.8,1363.7,54037.6,47356.6,74.5,5430.6,43233.6,3559.4,53799.6,4363.5,8288.6,196.5,1493.4,2745,239.5,14983.7,4397.3,149.5,466,8493.8,5323.3,1427.2,2108.2,2113.9,507.3,2007.8,603.4,5069.9,15672.1,547.6,4682.4,15564.8,29388.7,8809.5,2179.9,2628.7,28668.2,1561.3,6395.7,1846,2415.6,24628.8,15007.9,6162.7,12092.5,4523.6,4878.4,3586,31273.1,11616.5,1837.9,7555.5,2536.1,3801.9,866.5,12354,164.4,1077.3,1399.6,2175.2,3251.2,3303.3,301,29.2,4707.7,2592.6,306.5,1591.1,10042.9,1089.5,2212.7,3912.2,5608.1,1770.4,0
2017.6,4387.6,8291.8,12303.9,970.1,14470,947.7,62114.3,51595,77673,48550.7,9271.5,29220,47797,10311.1,26698.7,26549.1,42410.9,19305.7,10141.2,14376.1,251076.3,6730,24077.1,7791.6,3942,21691,107284.3,6351.8,70049,66618.4,7485.8,7674.9,5395.9,1182.1,2518.9,2718.9,43553.2,16890.4,3502.1,4683.8,2974.1,74.4,426.4,1415.4,4032,14065.8,1458.5,8471.1,4066.6,600.2,1250.9,14395.3,1148.6,3410.6,10434.2,1616.4,758.5,1057.9,366.2,3789.4,1262.5,2912.1,45435.8,7489,581.3,871,3505.1,35.1,376.2,577,4044.4,4761.7,1653.3,502,2208.3,362.8,5424.1,5831.4,3047,68.4,3067.5,3006.8,34086,16331.4,2798.1,5938.4,1525.5,2508.5,26098.9,7808.7,827.1,4481.6,5354.1,834.6,4429.5,24951.6,101.9,15894.9,18303.5,72679.8,150410.1,33789.7,2455,34906.4,598.5,6400.3,210421.1,16214.8,162989.1,3151.9,5817.2,10300.9,2437.4,214162.5,4681.6,9464.6,9418,130088.8,42329,2974.7,3097.6,7788.5,5200.2,68194.6,47945.5,6838.2,1307.2,9572.5,2196.2,285.7,8379.4,2055.7,151.3,1005.8,168294.2,16742.2,33.4,11076.6,51669.1,2184.6,35764,4904.9,3696.5,470,2740.9,1857.7,549.4,6664,2410.6,366,1077.4,30641.4,5230.2,975.2,1274.9,2567.4,862.6,1825.3,1994.4,19108.3,49742.7,4553.3,5480.1,12518,34754.5,71051.2,2398.2,1606.8,11977.5,893.6,3793.7,2774.8,452.9,9517,8140,5403.3,5714.2,6782.7,4084.4,2506.8,6259.8,7442.5,1315.9,6595.5,1366.4,2545.2,2589,6910.3,1278.1,2393.7,2301.5,1988.6,2158,4869.2,945.1,214,11494.7,2338.3,811.8,4356.7,5950.6,2720.7,1260.9,4653.6,6932.3,7403.8,0
3083.9,5202.8,26386.6,6174,976,7623.3,961.3,60116.8,13700.7,71874.5,52462.9,6535.2,55114.4,66040.2,12964.3,14708.5,32855.2,43208.8,56072.8,8568.1,12757.7,173856.3,5732.6,5286.8,14963.1,3872.2,28171.5,175201.2,7979.8,106325.9,114008.9,5518.2,4339.6,2421.4,2423.7,1370.2,2523.2,50422.2,17986.8,5345.8,3837.2,3203.6,87.6,41.8,3286.6,3240,13595,1907.2,13233.4,5223.4,331.8,1150,24716.1,1983.2,10333.2,11713,1443.6,479.8,1592.6,15.5,6247.6,2658.2,159.6,47838.3,2353.3,319.6,1776.1,3310.4,55.9,729.4,653.8,3582.2,6032.1,947.8,461.8,2070.9,13.2,7439.5,13270.5,5668.5,2657.5,5611.1,7726.5,13505.5,23251.4,3187.1,8918.8,1352.1,2755,94161.4,18492.6,1727.3,6618.3,4198.9,580.2,2189.5,95968.6,363.2,16573.7,22395,109213.1,142578.5,22179.1,7059,54530.4,2052.8,5524.2,150909.9,13151.1,157212.4,2865.2,7700.5,15091.9,2255.5,152107.3,4822.3,7016.6,8370,138824.9,37163.8,4640.2,7375.5,6054.5,22705,98160,12195.2,4195.8,1023.2,4301.4,1506.2,1167.8,28626.3,2717,151.7,2075.4,160055.3,17769.3,314.9,13688.2,33804.1,2764.9,22996.3,3663.1,2737.5,548.3,2050.3,2005.5,590.5,12317.6,1580.3,510,718.9,22885,12361.8,6091,2036.6,1353.8,263.4,2401.2,2328.2,17216.7,54626.4,2100.8,7122.5,8377.9,14284.5,34692.1,2661.3,1206.2,14193.3,719.3,1798,3699.4,256.1,9688.1,27219.7,4600.4,6223.6,10294.3,3363.8,2538,7754.1,9799.2,1443.9,3599.7,523.2,6705.5,1857.9,12181.4,1831.5,1822.2,3141.9,1624,2729,3077.7,56.8,49.7,11908.6,973.4,1489.7,938.3,3909.2,2332.6,1937.7,3803.7,11602.9,2407.8,0
1588.8,3122.2,25439.5,7523.9,397,9153.8,1448,42005.7,6158.3,62083.3,28204.9,2999.4,34689.7,53946.2,10073.2,24352.6,43171.1,32634.2,47475.8,16947.9,24506.3,134665.9,4234.8,9132.3,7263,1942.6,27518,155982.9,10173.7,103818,84217.5,5449.4,6178.6,5541.3,2371.6,1787.6,2425.3,34989.5,12582.4,6375.2,3055.1,10214.3,94.9,843.7,1925.2,2448.4,8018.7,1008.7,6240.4,11979.2,50,1212.4,28090.5,1953.1,13547,14819.5,1932.2,1648.5,737.5,453.5,13882,2290.4,1162.3,49757,1752.3,357.3,1148.4,2533.7,454.7,976.1,605.1,2579.3,3456.7,1166.9,200.6,2649.1,40.5,8571.5,6567.8,4179.7,1487.3,4071.1,9034.7,11325.8,13469.3,4659,11421.8,1382.6,2585.1,37759.8,11420.9,1217.1,5831.8,4065.4,948.3,5474.7,15983.6,152.6,20275.4,24343.6,101546.1,122130,8077.6,6673.3,46347.3,626.7,3974.3,129255,11304.8,133316.2,3315.8,8862.3,8190.6,1957.6,128952.2,5995.7,3500.8,11672.8,113973,39734.9,3213.1,6626.7,5743.5,12783.4,88889.1,22776.2,2158.4,2743.1,2537,1055.5,714.5,17998.9,1733.4,48.3,1040.6,139258.6,8913.7,194.8,16538.8,28940.9,6699,28624.4,48021.7,5821,997.2,2906.6,1439.6,931.8,13648.3,1098.4,569.2,741.6,14170.3,8433.8,2038.7,2412.6,974,488.2,2010.1,1940.7,23207.6,54702,3478,7631.6,6917.2,18618.5,79867.3,2241.5,521.9,5844.3,500.8,4122.3,2228.7,491.1,8334.9,38083.4,7142.3,5407.9,8409.2,2415.9,1957.9,6474.5,6361.3,3074.9,4535,1577.7,5802.5,1005.4,4674.2,1338.4,1667,1571.7,1712.9,3672.8,5063.4,503.6,135.6,9200,1268,1130.5,2178.5,7603.9,1304.9,1111.2,3457,4901.8,3243.4,0
3859.7,6412.6,11109.1,8108.8,568,19477.3,1427.6,50376.4,3651.2,42855.3,58082.3,3558,36885.2,42930.4,10041.1,72929.1,22332.9,57411.7,21578.7,4454.6,11863.8,130033.2,15366.2,5480.1,8120.1,7735.7,53243.9,71741.5,13682.3,83345.3,68748.9,6598.1,6881.3,6986.2,1240.2,1332.5,3326.1,31942.4,13362.5,6651.2,6296.9,1882.8,85.4,302.5,2635.5,4906.1,6127.7,1887.1,14860.2,4429.5,41.5,669.4,22452.6,4124.6,6885.5,4459.4,3519.3,1159.1,1258.6,341.9,3515.1,5590.3,2204.9,37014.7,16187.4,296.2,3561,2908.3,146.3,406.9,175.1,5607.3,4238.1,903.4,188.3,3325.7,46,10281.4,11989.2,7608.1,5903.4,6483.2,4569.7,26470.3,11083.9,1438.5,1790.5,997.4,2379.9,57031.9,15232.5,944.1,3553.9,5966.9,886.5,2416.3,42003.3,48.2,15010.1,11976.5,78300.2,95671.8,11224.5,1581.3,52039.2,3017.6,3852.4,103496,14556.8,94389,2157.5,7238.3,8154.1,1141,121854.3,4056.6,2447,15992.6,82835.3,35162.8,2943.1,6134.3,5787.9,17322.3,77882.7,5469.7,3808.6,5098.4,2732.7,1376.8,575.2,20072.8,1143.7,88.2,2298.2,103718.6,26335.3,43.2,9082.1,61613.9,10312.9,34942.9,6658,12482.5,321.1,1395.3,5579.1,328.6,13784.6,6260.2,388.3,497.4,2570.3,4872,651.5,1217.3,904.3,758.1,1609.7,1555.2,15529,38803.2,3214.4,7628.4,13260.2,24610.5,27283.8,2699.3,716,16390,1530.7,3176.5,2231.7,1921.4,13445.7,9364.9,5922.1,10895.6,10860,3357.6,2966.6,18952,6726.7,2104.4,4628.8,1335.3,3011.7,1431.8,3901.4,1156.4,2783,1867.8,1187,3445.8,2534.4,779.7,31.5,8443.3,2530.4,2372,4154.9,15223.7,1364.5,2803.2,2996.3,6524,2184.2,0
1756.2,6196.9,28898.5,9281.8,1129.2,12519.4,1349.8,47218.3,28230.3,45954.7,35716.6,3836.8,50831,57252,20317.1,35043.1,59932,66775.8,49666.2,23285.3,18809.4,167945.5,11136.6,4483.5,9065.5,2554,25110.1,143156.8,6274.6,116907.9,59368.7,5679.2,6195.6,9832.3,1669,1803.5,2723.9,25057.6,10701.7,5980.9,6155.5,6320.7,302.7,239.7,2619.6,3613.1,15091.8,1348.4,11020.2,7724.3,86.1,1301.4,17394.5,2132,8120.7,11246.8,5728.1,1504.3,1059.7,372.3,11105.5,3259.9,1493.8,41152.9,4435.5,24.3,1480.4,4521,9.7,413.6,807,8224.2,4129.3,1167.8,288.7,2926.3,66.5,8863.2,10348.4,4604.8,3321,3189.9,8474,35020.7,14115.8,2819.4,7908.5,2338.7,2300.2,57156.2,14008.7,1344.3,6023.2,3003.9,765.1,1394.7,36900.3,22.4,42452,22694.8,121614.3,115660,21883.9,5736.7,39446.4,1790.8,4364.1,175720.1,8769.1,117917,2933.5,10881.5,15051.7,4427.8,163509.3,10289.3,8024,12067.6,96419.4,35079.7,3671.8,5853.4,7795.3,18655.3,114614.9,8173.7,3714.4,1247,2304.6,835.1,1245.9,22649.4,2193.4,56.2,1657.8,121793.6,16808.1,40.7,6887.9,16606.3,4568.8,38119.1,5655.9,5063.9,219.8,1192.3,1462.2,716.5,13171.8,2157.6,382.4,632.3,8789.9,6873.4,1262.9,2224,834,427.9,3329.2,2153.8,15517,46139.6,1564.7,6177.9,10034.4,14326.3,42047.4,3095.8,1329.7,25099.6,1538.2,5538.2,4274.1,652.5,16959.9,17348.9,9499.2,6783.6,7051.3,3186.3,6095.2,26732.6,6602.4,3279.1,6784.9,1962.6,10277.7,2038,4268,1512.6,2390,1967.4,871.4,4370.6,3132.4,59.3,115,7598.4,3118.3,865.7,6409.9,5223.5,1215.2,3295.6,3325.5,5673.8,3110.9,1
2358.2,5088.3,16651.5,10067.6,734.3,13890.5,1063.6,42870,15332,43844.1,54684.5,3919.1,40103.9,57594.7,14734.9,31811.6,18190.5,36097.3,33100.3,12265.8,15370.3,163666,11361.7,4700.6,17880.1,4349.6,36168.1,136434.1,10726,75984,41786.4,12245.7,5976,3883.7,2397.9,1041,7075.3,21671.2,9731.2,6090.4,5055.9,3620.3,375.5,437.6,6344.4,8788.1,10140.9,1563.4,7519.4,4588,242.1,1776.2,16572.1,1655.8,11406.2,9631.9,2926.4,1527,1135.3,574.1,4395.7,3273.5,166.8,31669.4,3546.6,202.7,1408.1,2872.3,28.2,860.3,240.5,5520,7441.3,1475.2,577.2,1434.6,20,9056.4,5801.5,3513.8,2099.9,3085.9,5564.6,11932.6,61282.5,7199.2,22423.7,1392.3,1941.3,14789.1,4872.3,1545.6,2197,2879.7,685.1,2688.8,56833.9,65.6,14671.1,19729.4,76890,132472,7730.7,2676.4,42670.3,4508.6,3864.2,162484,7027.3,140596.8,3162.2,10243.8,10530.8,1939.4,159692.3,3694.2,3302.1,12062.8,111459.1,73460.6,5246.2,5796.5,5198.5,19678.1,75188.2,9621.2,5378.5,2593.8,1936,1248.8,254.4,5929.9,1818.4,52.3,1809.1,137483.6,24414.1,37.5,16440.5,45280.3,1825.4,41012.8,5267.5,6778.3,683.2,3773,3034.6,926.4,5268.9,3461.1,619.7,528.5,8400.5,5760.3,1339,1338,1610.1,675.3,2385,1477.7,14476.2,35265.8,965.5,9676.6,12970.8,27351.2,28430.7,2979.3,1301,15891.1,1171.6,2003.3,2153.9,925.5,18350.1,11620,7268.5,12075.6,5594.4,3868.6,2759.3,7743.9,8115.6,1766.6,4329.3,1133.8,3607.8,1513.4,7928.6,1894.6,1432.1,1353.3,1179.4,3832.8,2603.8,41.5,112.1,6130.1,1464.4,610.4,5150,3623.8,927.3,1863.9,4999.1,6450.3,3008.4,1
2792.6,4715.5,27542,9250.4,444.4,14958.4,666.1,60975.5,12976.2,61357.3,40821.9,5511.1,29604,41646.1,32864.8,32339,32058.1,67876,45049.5,8180.2,33718.8,190846.7,4341.9,5442.3,8106.1,3672,35734.2,142045.1,6544.3,81356.3,95223.8,5959.7,6498.8,4258.9,939,2028.1,3761.3,38262.6,16931.7,4168.5,6296.5,12256.8,129.6,38.9,2323.5,2939.5,10125.4,1824.8,10962,4572.1,704.1,1170.7,30361.3,1335.4,6995.8,6549.7,1378,413.8,1269.9,228.5,8973.8,2635.9,656,55637.6,2197.5,400,1130.2,3069.7,176.9,310.8,482.6,5737.9,6214.3,1163.5,28.6,763.1,23.9,15105.8,11018.1,3736.8,2212.9,4638.7,6974,11622.4,22070.6,1662.3,3210.2,2179.3,2575.3,39194.9,8142.3,2101.3,4394.4,5071.3,845.4,2178.9,17700.8,96.8,19424.5,16671.3,82130.1,106481.4,10258.8,6139.4,45026.2,2268.5,3182.2,203270.7,6536.8,112390.5,1857,10008.8,14465.4,3053.7,199264.7,5191.5,3924,9277.1,81059.3,33848.5,5783,5166.4,4869.5,28047.5,76047.6,8882.9,4504.3,1816.6,2752.2,878.9,624.2,14505.5,2301.8,37.1,1226.3,115315.6,16179.4,169.6,20963.9,34777.5,1403.4,34027.4,4252.5,4803.6,452,1118.1,1761.7,233,12986.1,1981.5,162.7,952.5,9431.9,4687.2,1014.5,2453.5,1571.9,1501.4,2133.1,3899.7,14096.4,51416.5,834.2,5558.6,12910.5,19490.9,71911.4,3452.7,1388.3,18455.1,1391.6,3490.2,3078.1,506.2,12698.4,18051.1,3811.2,9460.2,4321.2,3492.9,2055.6,25686.9,12309.8,2882.5,3796.8,2536.1,5495.8,1547.8,4811.1,1967.3,2209.7,2553.3,1729.4,2896.1,3450.6,269,312.5,6885.6,2157.6,527.1,1472.3,4507.1,1062.1,2850.4,3680.8,3254.3,2866.1,1
2537.5,4464.7,15779.8,7031.3,625.1,9829.5,949.5,47545.8,11418.3,76676.7,46028.2,3005.4,83584.6,90052.1,14767.3,18097.2,32736.5,42773.1,112057.6,5653.4,16787.3,200314,9931.2,7211.4,5775.1,4046.3,57267.5,126514.2,3237.5,98187,130987.5,6913.8,4761.2,2983.7,8876.2,1805.8,3391.2,36024.9,12103.6,3104.1,4486.1,6975.5,181.1,281.1,1901.6,3051.6,6837.5,1263.6,11317,4037.7,556.9,1327.1,24191.7,1542.4,24576.8,6121.3,1677.6,849.1,1344.4,25,3897,2875,715.3,51560.9,3637.3,344.5,885.8,2758.4,120.6,448.5,1070.7,4703.2,5262.6,1252.6,49.7,1677.9,64.8,16433.3,8868.4,3983.2,2003.5,4411.6,6097.6,14479.8,9669.6,2997.9,8198.8,2288.2,3639.2,22681.3,6287.2,1310.6,3499.8,5171,377.1,4321.7,97692.7,179.2,8518.9,19331.4,104620,118522.8,6784.3,4991.7,63610.3,1091.6,4174.3,173897.7,8349.3,139847.3,3261,6302.2,12129.4,1118.3,160022.5,2280.7,3329.1,8121.3,117519.1,45084.9,5524.1,11583.9,16354.8,25995.9,93607.9,13742.3,3695.6,1474.4,2984.4,1392.3,332.3,8821.3,1526.7,51.3,1329.4,140326.8,15118,236.2,17030.2,31961.5,1941.3,24045.2,5485.4,3517.8,609.6,1959.9,1490.7,550.5,10856.2,3016,298.7,691.9,11154.4,9134.7,2433.1,2295.2,958.2,474.4,1799.7,1676.9,19783.6,55542.4,1403,4996.9,8530.2,14334.4,49205.9,3502.5,853.7,14487.4,996.4,2355.5,2285,325.7,9695.8,17092.1,4036.1,7543.6,7232.9,3761.6,3170.6,10502.8,8471.3,2314.2,4497.5,1365,5449.5,2006.8,4919.8,2501.2,1953.3,1758.6,1224.4,2127.9,4022.4,486,87.5,29198.6,1463.1,1546.5,1466.1,5315.3,1403.2,2356.6,3666.2,4435.9,3313.9,1
