"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.616648469,9.77316207,11.04618138,10.71487942,8.067269187,10.39558111,6.762321255,11.74592297,10.36571136,10.37083093,12.78042908,8.694875133,10.41997494,10.62936843,9.961957281,9.571427234,9.285117196,11.4674131,7.960966555,11.02227312,7.293040895,13.2997547,12.47966998,5.672920207,10.21185155,8.910375076,10.07483143,10.72439105,8.833117328,12.72288948,9.879250412,9.9983053,10.53286263,6.277603249,6.645883664,7.619931408,10.271301,6.989201592,5.822913866,7.87715177,8.820319455,7.800238371,3.241018782,4.283024286,8.229873147,8.251177755,11.78967715,7.192840475,9.175331653,10.28593088,3.128226432,6.881935169,5.401555765,6.831288531,5.862938058,7.031912229,8.160245613,4.47446824,6.315072623,4.8413925,8.716442144,6.56021909,3.152055407,7.254472568,9.375213815,2.731209642,6.946071558,9.10870558,2.620394221,7.000485183,4.300704494,8.93360435,9.392226736,5.699494886,4.618943653,7.065617363,3.450227963,7.029526703,9.878812868,9.187671828,9.114436116,8.504451058,10.11377856,9.053122158,10.27222996,8.188916104,9.873125158,7.350799764,6.792500985,10.56503387,8.897435027,7.494022858,7.898981147,8.131095967,7.281620157,7.028162944,7.315049273,2.945280563,10.38584506,10.22786066,12.7360563,8.468113092,11.24759337,5.805993174,12.38738668,6.470866934,9.282556218,13.23912146,10.6935325,8.411519871,9.317255197,9.607742616,8.436123786,6.978433743,13.15994395,8.65535595,10.02691001,8.379640402,8.283878716,11.14808156,6.771779279,7.43688558,8.09083261,6.042489279,12.63066398,5.604173101,9.325319424,7.588877881,7.615406295,7.020110744,5.482899314,9.292531918,8.263255765,5.410539603,8.020188478,8.542050018,12.4061115,3.416095047,7.107898206,11.77377074,11.15316978,11.22535164,7.746879834,9.358572068,6.861195655,7.164202315,8.750722891,3.210296993,8.546428055,7.899379271,3.261383274,6.191188603,9.97829096,8.881652863,2.919831798,6.339751774,7.17231498,9.352757761,8.281569189,4.738313242,7.408214367,7.111956305,6.899868234,7.691182566,10.19836007,10.43644094,3.690884779,7.107639119,8.271816032,11.09066804,7.431005414,8.226746968,7.361957203,6.149369205,9.112541996,10.33316568,9.396231097,9.403551877,7.791163449,8.331716648,6.420944117,9.446817381,9.163510155,8.391709968,8.232760949,6.344159395,8.736697155,6.229738918,8.411135166,6.208452371,6.433478714,8.27687843,6.612486414,7.863026687,7.731010003,4.991521455,4.548086094,8.581151625,8.299162763,5.747294726,7.696778829,7.557598593,6.993006345,8.783458512,7.768951043,9.340930712,7.979162565,0
7.589836739,9.735577995,9.175092118,8.075618717,7.635368073,11.80784547,6.579507303,11.4910994,9.581377585,8.76590823,12.17269585,7.830201391,9.658157479,10.20605726,9.364330096,10.03463126,7.259574131,11.5801734,7.409615887,8.587563723,7.600100264,13.2516167,11.41572653,6.040435086,7.048021738,8.035164977,9.038027773,10.20785605,8.250098547,11.82031044,11.55255061,6.907256375,7.858897174,5.944125883,5.667144658,7.483370682,8.671216534,7.124621588,6.157406703,8.264223793,8.678033298,6.030944954,3.06700221,4.257136081,7.173789969,8.224587626,7.482379284,6.909417442,9.606667852,9.233654123,5.365877844,7.225399365,4.822969049,6.683613317,5.584959214,6.666702192,11.06658191,5.66159721,7.141370568,3.378955772,7.445289932,6.384705223,3.786440985,7.856175051,7.857469494,2.693936997,7.252658146,8.965378847,2.790287721,6.599516269,3.573044741,7.944797851,6.203221588,5.341239407,4.793652179,6.36682296,2.827564565,7.927000882,8.961425077,7.962971983,7.93247888,8.358336046,8.203714221,9.221970485,8.156205292,6.784030266,8.879058138,6.763461888,7.001761829,9.629345623,7.731909291,6.270517831,8.208477503,8.142269166,7.543091754,8.63434281,4.117056818,3.386463112,7.336365494,9.599059914,11.75013224,8.06381708,9.52001299,5.619070117,11.29569375,8.26007311,6.6293589,13.14954795,10.28658049,7.892673387,6.731254182,9.206036243,9.444796173,5.538399428,13.08792727,5.787543975,8.319154946,8.422178456,7.68742443,10.33627962,7.435524816,7.016783604,6.900439029,7.268139867,11.56742501,5.118248811,9.162431838,7.422990368,7.54160609,6.17684248,3.167304823,8.294785212,8.150110864,5.234172634,8.30251269,7.979752706,11.48993156,3.413848706,6.890279693,11.1230602,6.825545876,10.81632916,8.034262462,9.078395116,6.126862554,7.484230165,8.059769852,3.671843256,9.421479209,8.085176801,3.048302579,6.26094634,9.16406367,7.782541806,3.989599741,6.287519756,7.673192612,9.661056273,8.398623372,4.875074022,5.927099123,7.752632806,8.355856623,8.206475806,11.54345497,10.29454047,5.536938531,7.235895747,7.653333134,10.89188565,7.351968893,10.03509167,8.042874144,4.82207877,8.208415323,8.732010233,6.907601678,9.253604462,9.007471597,8.575630529,5.986605698,9.261229069,9.670075737,7.929749821,8.820322276,7.174682376,9.635523169,7.052757528,7.523817391,8.05288897,7.823737366,9.062772884,7.272187304,8.492627621,7.764874914,10.314072,10.0701837,7.700723284,8.062251407,6.672129575,8.655093663,8.907698147,8.005320161,9.041535678,7.838559384,8.266540199,8.064355406,0
7.28384147,8.991962971,9.513925866,10.59038341,6.722693986,10.42621221,5.94409449,11.43517679,9.787411998,12.61462566,11.58355617,8.152454946,11.63646332,11.99453014,10.7712281,10.26773334,10.05526285,12.48700845,10.49845677,10.19136937,10.0352885,13.33812837,11.77940776,9.325936436,10.18042809,7.846605498,11.09926854,12.59949489,8.952348006,12.6949488,13.00114854,9.674020914,10.31431889,7.652532206,6.745571154,6.699431865,9.645809641,10.57096186,9.444805428,8.178391186,9.014057136,8.616291913,3.231499028,3.515762886,8.063626104,8.062408801,9.215424502,5.991607109,9.533312225,10.6353548,5.315933085,7.31419383,10.21938574,6.225354132,8.584487676,9.09079599,8.105570722,4.871263561,6.786864343,4.310073759,10.66775305,6.725474829,4.012830759,11.31121132,8.289130943,3.202348523,6.893799543,8.06496078,2.64693378,5.606661238,5.484664993,8.544340783,8.214174413,5.746171899,4.229385415,5.422150402,3.164610568,8.484177666,9.151637125,8.426130706,8.230719279,8.454598347,9.144669968,9.743360652,10.17171065,7.754727643,9.388994489,7.130816521,7.463799008,9.477666546,7.682616115,7.896925054,9.279863419,7.930192684,6.856335782,8.2088005,11.38145138,2.803564492,11.11781617,10.17287904,12.6679118,12.5777444,9.032583026,10.11507632,11.09794107,6.692557497,8.690822221,13.20521658,10.0837576,12.54153987,8.578420573,9.466149536,9.382007912,7.975997936,13.11663806,9.729812744,7.84150084,8.981065799,12.34618655,11.16065334,8.006441958,8.68887075,9.377362732,9.425193082,12.48629993,9.479684409,7.970814323,7.098027318,8.02991173,6.317576044,3.458259398,7.880031815,7.98470389,4.374830223,8.270874837,12.65715147,10.92971895,2.908051532,10.74442719,11.18122133,7.940157825,10.96194076,7.830740734,9.0185425,6.900892147,8.62919665,7.470788954,3.148759739,8.825303923,7.422689828,3.317453482,5.841864114,9.253302697,8.302917162,5.553885103,7.14527838,6.89807829,7.27958756,7.953328468,9.653042731,10.22322723,11.21112389,7.069321051,8.408083347,10.0759904,10.51189185,9.880880643,7.423452128,7.397770924,10.50255547,6.554509646,8.445907183,7.379692454,5.397485626,9.296360987,9.341456019,8.03245106,8.824845051,8.672661923,7.899348054,6.934264899,9.339265747,9.090623025,8.781233965,8.277122962,6.639763525,9.20269212,5.71037442,7.333562568,6.29005288,7.002559885,7.695769684,6.610765957,7.907886834,7.438112235,5.105072863,4.206838978,9.794076506,7.400521431,4.430448005,6.407996421,7.496203891,6.52729699,7.872003117,8.281341684,8.837812047,7.67771848,0
8.525320502,9.927568911,10.60773703,10.37285116,8.521194829,11.58190995,6.862092324,11.29629671,9.5245564,10.38884895,11.75236296,7.574820043,10.02637961,10.85107302,9.847948388,9.671876721,9.1173518,11.89694314,6.831310549,10.12914067,7.939557233,12.95380661,11.17700613,6.788586626,9.665329805,8.300048804,9.906586664,10.57734036,8.409245083,13.05872913,10.87562712,10.01295039,10.09195507,7.134516183,6.250059177,6.367913181,10.48408645,8.193044527,7.135834426,7.520504381,9.072579475,6.416404177,3.116625849,4.316384056,7.283872602,8.385743171,9.892784614,7.267405233,9.218084792,10.5197165,5.369638833,7.302761283,5.684575494,6.352863603,5.298697284,8.212235668,9.440023849,4.643195184,6.859799233,3.839651731,9.154337529,6.266470425,3.225323588,8.872191273,8.724561886,2.70879005,7.975988857,9.152641184,2.73683355,4.95081761,5.058107655,8.024373797,6.867132321,5.752432601,6.89019235,7.122590666,3.288415296,8.350391062,9.589664637,8.802068146,8.448147489,8.734647011,10.30087031,9.21872178,9.658034059,8.567738662,10.19500422,7.489599374,7.278697991,10.87326099,8.992966397,7.694321229,8.411690334,8.005055845,7.693651914,8.935181415,6.03338367,3.149754808,9.306664251,10.52245632,12.99741789,9.506406096,10.56909136,6.657354579,11.72122551,7.772769352,9.301624594,12.86699376,10.41828584,9.52842184,9.071180302,8.735181297,8.872002272,7.649850438,12.80426639,7.17176968,8.90701481,8.854564163,9.269122512,11.61850617,7.327570477,6.862523963,8.446409563,7.071980669,12.82731645,6.657446962,8.123643284,7.826072371,7.302998033,6.762684221,5.930265641,9.51752412,7.797869109,4.814199488,7.364927862,9.480987957,10.68435813,3.277474635,7.552208369,10.87600487,9.161315344,11.372308,9.285771811,9.966560368,6.441093504,7.895897881,7.061320396,3.385044365,9.908173267,8.19885967,3.594447192,5.66721622,9.538611569,7.740850648,3.472466706,6.700039672,7.186284142,8.945040682,7.930960556,4.926927767,7.356894583,8.946246039,6.378725877,7.933200843,11.38163314,10.59490799,3.306813419,7.286241793,7.335824417,11.08119883,7.015837622,8.045847948,7.552634025,5.218008672,8.952074003,10.38894617,9.264093711,9.64088749,8.688535008,7.975801408,6.429966876,9.787497862,9.777672147,8.381188596,8.25997228,7.681214536,8.860130629,7.109543308,7.346481172,8.088231349,7.266086929,7.654046984,7.181056218,7.961580938,7.51078877,9.420368785,9.537784357,9.327582739,7.100140191,6.000890034,5.745134082,8.533198419,7.244774779,8.468043992,8.75183471,9.773478963,7.546168192,0
7.65380751,9.023680954,9.661617871,9.074906238,8.223034392,11.85965258,6.104253455,10.97696198,9.847873186,11.37289194,11.92674548,7.054520863,10.72798537,11.12601459,9.387508808,9.990169244,9.46750978,12.34788202,8.770824835,9.377879409,9.059729674,13.24949704,11.80757649,7.658430797,9.038964094,7.648459353,8.899029403,11.77693103,8.100592252,12.314077,11.59916618,8.122063039,8.764364411,7.184636201,7.567902534,6.814650956,9.865467362,8.9776058,8.194179942,7.28226473,8.758857715,6.799044909,3.093869825,3.918338331,7.080180423,8.678411144,9.090041755,6.846503948,9.037581889,10.59110073,5.193906953,6.496977022,8.946127382,7.252382382,6.831385668,8.611544319,11.75848649,7.024960098,6.164622607,3.681977991,7.725175835,6.019768005,3.677851728,9.769726029,8.146310276,2.992743187,6.94360446,8.071519144,2.547606069,5.468640145,3.638560503,7.97400496,6.802160679,5.927369611,5.322456642,5.861178358,3.445695061,7.893509476,9.910526409,8.862467709,9.158994914,7.860807867,9.276777546,9.228339554,9.601521659,7.983682755,9.676655494,6.525497484,6.781331465,10.20359856,8.604378135,6.067516375,8.53859081,7.174162199,7.399302607,8.447983812,9.740322181,2.940124007,10.52977865,10.65010045,12.37244409,12.2002961,10.16894766,7.818188735,11.49481312,7.308738486,8.03790122,13.16730813,10.02942999,12.17734465,8.072190875,8.934621439,9.400206763,6.91472081,13.08959466,9.105676272,8.790885484,8.89119518,12.01847564,10.50561754,7.673916889,7.817092712,7.86390193,8.517872925,12.11153888,7.891386866,8.359945225,7.742129774,7.698843712,6.512871982,3.526697978,8.73529495,7.942989495,5.002668217,7.863210727,12.16423126,11.26801447,3.088778646,9.076502024,11.6213466,9.495908571,10.95542247,10.51639963,9.277575341,6.118346668,8.785442519,7.500702046,3.143317745,9.726257992,7.585164475,3.640444429,5.908635968,9.031970197,8.434251975,3.439564091,7.79615912,7.09437309,8.033708174,7.804174584,6.021715263,8.585541514,9.758895258,7.530758069,8.35095168,11.41548362,10.69011654,8.450963316,7.164234041,6.861880321,10.7958491,7.137475932,7.571414556,7.237370086,5.460767716,8.859943543,9.642414472,8.14680753,9.451980915,8.562313634,8.251059065,7.041777761,8.845983411,9.393690821,8.450070976,8.222303379,7.109447205,9.732175561,6.963618181,6.23234807,9.133584588,6.849420495,8.049837535,6.929972408,7.654893181,7.937740275,9.558128094,9.485187179,8.779324155,8.113993812,5.272450914,8.82872773,9.141000356,7.1955488,8.162377654,8.379154717,8.057042778,7.234494758,0
7.64683426,9.623941743,9.602771639,8.876559189,8.770189913,9.880401793,6.122361228,11.69790839,9.712185313,11.68249332,12.2442935,7.879537199,10.82729168,11.5895504,9.507737878,9.714219783,9.814726098,12.61860999,9.644754668,9.188939391,8.544907391,13.39077592,11.18087384,8.780572933,9.272473049,8.828356938,10.0579641,11.2000314,8.429024785,12.73563443,12.08802134,8.125820993,8.533893267,6.487392531,7.278369101,7.237118614,8.648504021,10.83505608,9.789593106,7.356007215,8.689303699,6.865542079,3.14287914,3.773527968,7.32318593,8.218555703,10.0531132,6.096093664,9.67734551,10.0668393,3.359943455,6.570020255,10.04338244,6.634015428,7.797823559,8.980635144,7.196919099,4.354770263,6.232562843,3.895080712,8.190479788,7.073378159,4.332568832,10.72974883,8.417376086,2.544711298,8.515882128,8.88024918,2.677677858,4.980998328,3.455004742,8.408165923,8.941242957,7.317380493,5.048607274,5.260020259,3.210450025,7.67938103,9.040807257,7.949636155,8.045749514,8.055086256,9.016850065,9.86452366,10.17100936,8.23121843,9.968270191,6.564787847,7.302058579,11.1440038,9.349013886,5.904553645,7.917353954,8.680029201,7.038300877,7.868247145,10.84719164,3.27578782,10.70085094,10.64999145,12.65181339,12.50535601,9.938805304,7.629637021,10.45876617,8.62871285,8.176760054,13.28398887,9.827704072,12.51624502,8.007164306,8.681374607,10.03211003,6.741481233,13.22516608,8.554346056,8.229827283,8.566445477,12.28047623,11.35752275,8.18271466,7.95568225,8.938780583,8.424930166,12.45993521,8.815935183,9.154089543,7.70596954,8.537478149,6.644524444,4.339578107,9.811780488,7.853570459,4.691453252,7.800170774,12.55316611,11.69123968,3.112893057,9.661726628,10.99939119,9.678826908,10.83680186,8.272487205,9.83442052,5.693614437,7.639372334,8.546582008,3.287061409,9.305860662,8.166070726,3.494672932,5.919426275,9.123855849,7.810172906,6.157056744,7.393896185,6.453155401,8.029581542,7.734345691,6.374676436,8.895360069,10.84181111,7.593978023,8.290318381,9.537242247,10.04303537,10.92547406,7.30356088,7.610411639,10.89327353,6.697881542,7.842612432,7.644554282,4.769127189,8.915458866,9.359248545,8.477159782,9.660892654,8.762641409,8.239658824,8.409014595,9.752904359,9.492311783,9.513985357,8.776217466,7.6256928,9.060552248,7.164344766,6.898333154,5.039550163,7.341043294,8.245068093,6.244518289,8.362210472,7.72942518,5.155561153,5.091681678,9.808499399,7.278740493,6.196560309,7.948173516,8.606296772,5.903163602,8.164190577,7.997976677,8.496525593,6.55487358,0
7.491108365,8.998286189,9.524976538,9.766655794,6.377526732,9.928695639,5.996813456,11.61390318,9.373780137,12.30193681,11.77535858,7.972866496,11.66755764,12.21159321,10.30724187,10.12937956,10.33826004,12.36200603,11.03187323,10.2490782,9.742668065,13.24568826,11.19850807,8.965578205,8.356797394,8.333114815,11.6682995,12.2559069,8.219820517,13.10271711,12.73349122,9.254587527,9.469362696,7.740877695,7.787780198,7.044363236,9.235106676,9.685333218,8.42547682,8.268960661,9.326651536,8.230549466,3.219956583,3.530793693,7.502732237,7.919917411,8.888598113,7.803259679,9.723806082,10.12978881,5.354069094,6.83763133,10.32043761,6.687604449,9.092941269,9.408593205,8.753006634,6.990546263,6.301433937,3.418238447,8.273877905,6.951373366,4.079348971,11.24088452,8.407385959,3.277820211,7.101172525,8.120108928,2.387944858,4.636226009,4.362027315,9.198325417,8.472620112,6.51978312,4.898198841,6.63073971,3.061801502,9.261137414,11.4891511,10.58699415,10.46995149,8.515668533,8.757675947,10.18537478,9.572189699,8.660323782,10.53102765,7.443480387,7.745004314,10.37415013,8.887749936,8.755025538,8.640059372,7.785992323,5.586113697,8.06854389,11.12273582,3.099129206,11.14737401,10.58073413,13.07127325,12.78805779,9.18143322,9.455485017,11.19945326,9.136259004,9.244286273,13.12281404,10.56735569,12.93298084,9.008982763,9.606582591,9.1682697,7.329772392,13.09763635,9.201860516,7.540441505,9.015676193,12.52925039,11.464029,8.582367063,8.526794408,9.656663779,8.948398939,12.85438707,8.999263448,8.730823949,7.399392813,8.14139842,7.628452264,3.029811882,9.269696098,7.518435856,4.326903586,7.825157865,12.78566352,10.34256219,3.146541782,10.47244427,12.24474871,9.126049993,10.93835455,8.005797276,9.377385233,5.037992346,7.059364092,7.443166236,4.746422405,7.967315942,7.595812137,2.872447862,6.064589809,9.546273221,9.063504285,5.797993658,7.971882137,7.127663064,8.517420863,7.803940407,7.226433515,9.657104512,11.24178432,6.771504721,9.1578066,9.391793076,9.870445742,9.806945107,8.295860095,6.574319487,10.05604794,6.837192178,9.117381245,7.17686461,6.030089412,9.035532145,9.176656165,8.077122733,9.406725002,7.802216612,9.108525095,8.788377405,9.921945031,9.028602212,8.234339079,7.945196566,6.656324912,9.39911867,8.583365435,6.330222313,7.980184244,7.07532216,6.940891186,6.522311406,7.565657672,7.445101207,5.021170111,3.712962478,10.35051841,6.993679631,3.987496682,6.897925975,8.839395855,7.486488554,7.301337619,8.024792785,9.086950348,7.906557578,0
8.365444488,9.742003833,9.906821457,8.660198774,7.581467136,11.00880414,6.545415001,11.93600882,9.570160872,10.40084927,11.75572859,7.481493225,11.04037508,11.39848473,9.885291511,9.612896231,8.094954887,11.03887216,9.424317909,9.329923746,7.287096442,13.29682415,11.41149659,6.878069328,8.629479196,8.464742869,11.15136234,11.19543672,8.006254803,12.98110865,10.76497463,7.352996141,8.433328941,5.721817307,6.741541615,6.661552618,9.336726644,8.934965501,8.013426087,8.153601496,8.276981089,7.284725398,3.292028534,4.234332757,7.789972128,9.435586742,8.767385243,6.77322797,9.762780043,8.726262576,4.17562076,7.244667156,6.764646357,8.129734031,8.433550021,7.553621015,6.156827751,5.696239415,7.987636999,3.406097906,6.771224872,7.063236284,3.571453973,8.805621251,7.851583962,3.295272712,7.013991652,8.955311637,2.732893373,5.846098096,5.168668989,7.695797112,7.144191575,6.212604399,6.625140247,6.464942939,3.486702817,9.123928752,8.530612462,7.523122547,7.578847803,9.14291366,8.851479699,9.18639279,9.249059452,7.402469093,9.597082381,6.765115167,7.012097623,7.688520394,5.689568613,6.267716946,7.367242441,7.711369125,7.776316901,7.555967464,6.222089243,2.816818945,9.592822488,9.882441724,12.92735583,9.622064394,8.563837219,5.617262423,11.99792424,6.502416103,7.539644545,13.18518067,10.28114048,9.68665683,7.573338657,8.616627561,9.534880011,5.992144187,13.11525898,7.826334368,7.49033378,7.400638383,9.393948834,10.36329519,7.529829563,8.200773868,8.44318877,10.18973483,12.74754075,6.907109005,9.023990589,6.103783732,6.384862123,6.588023555,2.567970629,6.295318691,8.746100187,5.247270319,8.179547063,9.645663965,11.09963383,3.362745954,8.155757593,11.51460716,6.009581364,11.22886434,8.460340971,8.228507042,7.245373226,8.043568362,6.908399509,3.012851794,8.749743136,8.290734838,3.214863941,6.69655331,9.40605514,8.29819276,3.967863516,6.538417922,6.626592811,9.009657849,8.431046941,5.707514731,7.0704717,8.854412413,6.899816563,7.308916922,10.69846784,10.52407421,4.568152837,7.911122184,7.683379464,11.23053324,7.918699966,8.078060514,7.785345382,5.832572946,9.348063278,9.291666015,7.023300758,8.627980576,8.736330113,8.274381243,4.764059125,9.608784811,9.617108215,7.546653401,8.300715757,7.353181955,8.850072152,6.206683889,6.470753616,7.826984627,6.9830734,9.01058043,7.237416019,8.242853754,7.259910401,8.502393246,8.30992528,8.243214199,7.971215276,4.380008585,7.39368648,7.793185393,7.536878485,8.378812149,8.639813883,7.958324579,8.034889314,0
7.953743053,8.780895915,8.877650029,9.426237372,7.561176299,11.51256121,7.100863908,11.54719074,10.10956182,11.00608491,11.99359359,8.279031448,10.62652471,11.16704198,9.310229182,9.345773719,7.215801902,11.78353325,7.242186361,8.958750686,7.705725466,13.48805593,11.74062786,7.110604429,8.262094875,8.789553967,9.268374902,10.79474783,8.707092175,12.74688529,10.64431619,8.961132893,9.203855338,6.539966498,5.472318222,9.254972042,10.05604988,8.614072696,7.904659634,8.006449985,9.176283529,7.562067135,3.242037351,4.297797246,8.18739692,8.602797337,10.63732897,6.749083886,9.370075641,9.900604304,3.010549429,7.232263888,7.182796434,7.564058049,6.297421063,7.469968137,8.207324567,6.359254115,7.138767111,3.475964693,6.206730339,6.646418897,3.423380502,8.778440892,9.15916637,3.829203259,7.201064146,8.058180823,2.456567122,6.892208536,3.424175622,9.19068988,7.143223051,5.129950764,4.667279806,6.357597601,2.851720796,6.677264561,8.954759045,8.280841864,8.169138223,8.706444049,8.274215854,9.108667975,7.988293472,7.58325633,9.484612369,6.055075258,7.277495492,8.40736177,6.982587587,6.145618503,6.431452425,7.319723324,7.824425601,8.100912822,9.639546002,2.974501177,8.284449664,9.741597873,12.72105748,11.01348418,9.233937505,4.616151638,11.52855918,8.062882746,8.121524785,13.39094955,10.39612107,11.06670298,8.158931553,9.065530132,9.290513746,6.244757681,13.30207701,6.922304885,8.29008458,8.127592728,10.79671618,9.85603676,7.235089486,7.45188869,8.372653122,7.373084348,12.53130365,7.362491405,8.859472066,7.204613202,6.907738992,6.216907188,2.728029471,7.263671968,8.521583802,5.17582562,8.28766951,11.0195215,11.6079737,3.460385623,8.144233955,11.51116825,7.962809147,10.97646179,9.04216651,8.747502785,7.157222031,8.330125877,8.374820836,3.147886351,8.476391383,7.550738243,3.90692028,6.238365608,9.366804639,8.037800054,3.047488441,5.695556108,8.654930365,8.467193266,8.088155434,4.920055627,7.530911252,8.720240032,7.442511875,8.199770775,10.75654975,10.70928112,5.500248011,7.935046979,7.925423501,11.37152547,7.554255932,8.756474134,8.076739028,6.301535004,9.114348327,8.536318683,7.133684091,9.287938836,9.079414386,9.063773079,5.919998122,9.754487131,9.899879249,8.201383948,9.218202481,6.984861489,9.698468588,5.328536789,8.051696112,6.791883907,7.627778965,8.470831547,7.235722019,8.60979533,7.996901588,8.389064833,8.157789765,8.325613583,8.557232104,5.161419584,8.148382878,8.925812398,6.549135006,8.541902688,8.585322999,8.205159014,6.209182839,0
8.376095011,9.037094531,9.865544456,10.81906777,7.970402931,10.55371487,6.050695754,11.54278031,9.479724198,10.3788083,11.92915628,7.80040673,11.30582951,11.57924824,10.07565389,9.887120459,9.352607275,11.66720278,9.291437213,9.857507062,7.953736921,13.30493222,11.76415154,6.701274964,8.097772693,8.682621013,10.77260397,10.89932571,8.020857554,13.11733001,11.12030271,9.856115522,10.56026998,7.029423473,6.494770774,7.809462745,10.21216673,8.138483429,7.362713812,7.690149297,8.841787261,6.295639333,3.42434178,4.303223232,8.764019739,8.560568334,9.7076072,6.987521719,9.903122327,10.2728107,4.503297689,7.442812946,8.007851472,7.242759274,6.85245997,8.217395348,8.658599424,5.867253974,7.211354458,3.983199854,7.829373703,6.85521223,3.165228504,8.810938356,8.953408544,3.440896964,6.559557747,8.28092489,2.539033011,6.884263423,6.774146822,8.65734072,6.896217178,5.549189356,5.307126718,6.387329809,3.673543726,9.212457029,9.817548236,8.625785888,8.691711409,8.629779029,8.713824471,9.159494143,9.002943425,7.373465426,9.67244202,6.875139967,7.270331975,8.137314488,6.573694808,6.968965137,7.249012884,8.222990751,7.635658066,8.441256525,8.470212364,2.993992024,9.166041392,10.32016519,13.04984658,9.195795973,9.810602825,6.435379979,11.78538827,7.583577591,8.549608189,13.17432858,10.47278755,9.247718584,8.477519463,9.097015529,9.071031564,5.758809907,13.09287774,7.322185274,8.414045909,8.432977808,8.959960074,10.390165,6.914517343,7.755116544,8.526456453,9.055301292,12.90447503,6.671237268,8.584561827,7.47144762,6.706715747,7.198377074,3.033390943,7.183320049,8.289001902,5.000465235,8.464687921,9.289259821,11.43339412,3.189948304,8.232473397,11.10546153,9.624249295,10.83124784,8.331961341,9.40776304,6.407030246,7.357713067,7.082325246,3.31685323,9.064795388,7.52110233,3.326033041,6.399801187,9.375959591,8.66071551,3.718402903,6.878202518,7.934235036,9.160262822,8.135756342,5.26600972,7.051812701,8.765119889,6.682257424,8.019925523,10.25501001,10.33872717,5.843425013,7.463165398,7.716925166,11.6957264,6.920153778,8.862550444,7.544346271,5.519860693,9.230540247,9.062155913,8.218371691,8.982541013,8.534935428,7.833901194,4.413154451,9.622195001,8.780225225,8.543092529,8.561982478,6.963987175,9.272815983,6.848193993,8.054648768,8.321925787,6.920158876,7.632742583,6.890640833,8.731601175,7.138790489,10.86901297,10.68420347,8.384284489,8.181371909,4.364838098,8.34773094,8.408644901,6.709737193,8.846447864,8.314007236,8.31133293,7.707816143,0
