"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
11.55487202,10.2504416,7.889559267,11.18900501,8.139668028,9.162445774,10.40035267,9.901059212,10.41132555,13.80496779,11.70969394,7.120045687,12.12792732,8.488428956,14.39669962,9.900559463,8.501541796,7.071824987,8.643823875,10.26658637,13.931989,7.897375469,10.51462831,11.24297748,8.696503595,9.115109664,7.772224939,8.906022014,8.606910318,9.537070773,7.986219624,7.280903889,9.333550495,10.02462627,8.095700393,6.875092943,8.45281387,8.617644142,6.456105283,10.52698445,7.016722115,9.801341803,8.582126904,7.085984367,8.180862238,8.376614808,8.613502743,7.930396119,9.373918167,6.844340477,8.937543609,6.952937244,7.440743157,8.237921217,7.743007005,8.192536751,9.521080675,7.415083816,6.521886234,9.280785827,9.756592174,6.829100686,8.246208683,8.122611788,9.560969675,11.11732996,7.749928305,7.444800464,8.916894783,7.597964947,11.54601542,10.30388789,9.542534752,10.2955946,8.435246588,11.05224547,10.0437502,7.11421001,11.67206355,12.6459975,9.913817369,9.02079734,8.687756786,7.815245601,9.653008438,8.079069401,11.34473933,8.288852371,8.63534912,7.474252221,6.97349265,7.580717802,12.4010042,10.84901591,8.3366004,7.577627275,7.93803492,12.689005,8.346816806,12.13712902,14.59488072,9.472483171,8.39503916,11.21240163,9.046488233,9.800556336,7.960110292,14.51696884,8.245894244,9.323471051,8.927084552,7.984215058,11.93139905,8.646400648,8.695576932,8.369955336,10.3962205,10.87374355,7.575589009,8.396872901,7.010093861,8.511130682,8.884450268,7.334558201,7.078731435,9.203571497,8.466801427,8.498228824,8.659216992,9.970818454,7.699937844,8.195874795,10.3917091,9.804166971,11.46633064,8.682103617,9.511604209,9.536073687,8.333187653,7.628115077,6.974258721,9.273738199,8.397639642,6.524486653,8.410977224,10.55590778,9.396534071,8.206228804,9.294901808,8.478058109,8.0620065,8.091963997,8.107599067,6.395251083,9.296065884,8.081985438,9.550607278,10.30073975,9.08684035,0
12.73859428,10.9288152,11.05031708,12.97128809,8.426881328,10.52720792,12.27570356,11.89595284,10.55638139,14.35992521,12.6887064,7.683717364,12.58848017,8.685497294,15.06254522,11.30453766,8.425935619,7.231778243,9.328548557,11.17579772,14.60196411,7.613629605,13.17252851,12.02217043,11.34972067,11.2247577,8.016143315,8.727121708,8.719149617,10.11883904,7.638246352,7.050156997,9.745720308,10.51542326,8.256077524,6.746989398,8.009057902,9.614579375,7.091202046,10.75850972,8.056502999,10.8128613,9.259945818,6.959588145,8.088987001,8.367419757,8.694235353,8.589981012,7.922979493,7.070500848,8.355534365,7.353482982,7.31244363,8.174098235,7.798978359,8.118906982,12.45141939,7.376492225,6.48508268,9.689664382,9.794271033,6.38768717,8.37896779,7.561130437,9.778238228,12.08609828,8.465743598,7.630055313,9.723158235,7.595349185,12.88398739,11.83261594,11.28917711,11.15429247,9.665951844,10.70737573,10.37342761,7.024942586,11.42087167,13.27625045,10.98519614,9.699982273,8.295012132,7.475195872,11.00654236,9.102714364,13.52063823,8.224291156,8.191643553,7.969594095,6.822402039,7.821693865,13.00236977,13.44384741,8.953287598,10.07956751,7.588753019,14.24664398,8.039865987,11.07768893,15.30797901,8.180035739,8.997235646,10.12998489,9.896760267,11.12460327,7.75103682,15.27860632,8.074083035,9.307200599,9.156928672,8.503853571,13.76022798,9.103671355,8.759055623,8.869798505,10.90992659,13.41549518,7.712086781,8.872122661,7.89038856,8.522961245,8.827096271,7.058617438,6.681534806,9.098859154,8.56941979,8.128933107,8.884344919,10.74590403,7.492111115,10.11440396,11.39385491,9.137628158,12.94737246,9.590224534,11.22980304,9.963513175,8.431712872,7.233388418,6.746766879,9.089550872,8.467609341,6.146601624,8.722248513,10.39264146,11.98661415,9.822469994,10.33952515,8.297803457,7.760128317,8.077278016,7.81065041,6.499065756,12.67715238,7.90782546,9.843629848,11.83567937,9.17376678,0
11.57512894,9.702245544,9.883116908,11.85552431,8.374726135,10.91574421,12.2836559,10.64790577,11.00327725,12.30711671,10.26795432,7.188378713,10.78569766,8.472322689,14.18704819,9.293505357,8.582710019,7.099404597,8.07868437,11.73616886,13.68634652,7.580235292,12.146689,11.49640852,9.381828522,10.16404397,6.915461683,7.981500392,9.095534228,10.53481596,7.631874372,7.247667555,8.541811445,9.505120322,7.876654463,6.873784366,7.719228709,9.789304597,7.616909452,10.44843129,6.637662948,8.995676322,8.634793758,7.11633405,8.170999219,8.396622265,8.727726274,8.535004623,8.142448994,6.689191976,8.251804978,6.853180343,7.497230797,7.895911428,7.223881323,8.071721641,12.120785,7.342556157,6.217319379,9.1036473,9.526423096,6.659532287,8.621186291,7.704382257,9.198607552,10.25101332,7.492219902,7.445826672,9.436644935,7.74686936,12.01349669,11.29797102,10.58285427,10.86033398,9.082073688,11.55097204,9.684285601,6.90278826,10.84860651,11.90061197,10.78941112,10.6013442,7.574145761,6.968940879,9.551032082,8.82159203,12.34000194,7.874142795,8.043844575,6.949083547,6.77996896,7.601786914,12.31983157,12.4959465,8.15660446,8.907797633,7.610568013,12.77282916,8.092834291,10.94763855,14.46756794,9.903741102,7.875070154,10.21013454,9.539573936,10.38222884,7.787614036,14.3015982,8.099613722,9.350540604,9.120196241,7.777833779,12.3511148,8.348681952,8.88073798,10.53404131,10.97360111,12.36698143,7.848934142,9.734232059,7.725695819,8.316848685,8.857089457,6.907307263,6.685180802,9.333885601,8.596325578,8.027277438,8.196023263,10.62749286,7.396231246,9.799015652,10.86242165,6.853768437,11.73203363,8.907415208,10.40050829,9.456934472,8.295527199,7.208817481,6.37509438,8.944420283,7.798229944,6.233699892,8.845894485,10.60789329,13.3410056,8.664804722,10.65488053,8.342092044,7.54876357,8.225052031,7.949579111,6.424215239,11.90211212,7.973856779,9.680988067,10.83476097,8.367052939,0
12.79757975,10.3613994,7.541651881,12.91963339,8.926879988,10.01976863,11.39473502,10.77392574,10.2329338,13.61014519,11.9314157,7.11806261,12.72623195,8.077183993,14.88781568,10.98138105,8.483965292,8.10989991,9.694396669,10.1245937,14.30763492,7.981810496,11.90775712,11.75409601,9.796256803,9.579279345,8.377081733,8.834084502,8.971332044,9.641319017,7.534678845,7.359673208,9.51422173,10.8531792,7.947286822,7.134500686,7.663273025,9.016192707,7.967868423,11.8590385,7.531428875,10.63147439,7.514186099,7.203968215,8.146975721,8.089197375,9.26687603,8.360279481,9.191585462,6.78849337,8.25169,7.471331421,7.547533379,7.843548533,8.04281394,7.978624785,9.202710148,7.178655034,6.042009493,9.36936846,9.889091379,6.363988396,8.379008346,7.503473831,10.13974175,11.26776402,8.692894731,7.572009624,12.11703949,7.449566189,12.23693799,10.71305155,9.807655183,10.15443743,9.156804136,11.69741688,11.33887638,7.008150869,10.57481601,11.84262662,10.61773923,8.922837205,8.915113334,8.045156332,10.50761193,8.161508643,11.55470119,8.708600312,8.729051205,7.256087131,6.850686134,7.48749882,12.39124524,11.86630571,7.876323372,7.265411831,7.587499426,13.00362343,7.889274047,11.89265943,14.87462859,10.32867264,7.412454986,11.07531658,10.7696621,11.54521004,8.646502204,14.79841195,8.225195506,9.424045772,8.900927983,7.751470629,11.59600009,9.467500589,8.705314214,8.427014493,11.57595455,11.67207504,7.529552888,9.077485264,7.664166227,8.426459937,8.804153623,6.995418067,7.894822803,9.407552341,8.507317393,8.84170809,7.995773096,11.95261759,7.340333263,7.849522538,11.60739261,10.09187122,12.54524549,9.209302398,10.35371562,9.542032659,8.656765327,7.500565821,6.747781171,9.658464471,8.326450915,6.669969459,8.651042724,11.05198985,11.20833965,8.774039819,11.12452736,8.15802762,7.841531868,7.935018544,7.876755016,6.237086326,8.988525271,8.283679148,10.21959347,11.2795631,8.866374478,0
13.2142843,10.86600379,8.561902072,13.11495233,9.795322968,11.69650768,12.92349942,11.52918308,10.11692173,14.01089016,11.69999542,8.094801168,12.68726656,8.384234683,14.89532322,10.2771637,8.511666674,7.93685902,9.64200618,12.83418709,14.60358876,7.607821182,13.99106066,12.75559782,9.939912208,10.6100307,8.993058743,9.984440899,8.74265562,11.83081521,8.180538115,7.653083653,9.613703009,11.3217344,7.741023957,6.927294709,7.734412502,9.696024986,7.959336127,11.47952952,7.721617866,10.68473293,8.45471231,6.889110671,7.837751619,8.043711953,9.429947454,8.822761036,8.489646494,6.633134068,8.22062157,7.767082069,7.425719364,7.786492165,8.297926453,7.998296629,13.84627323,7.333490498,6.113431096,9.546150214,10.12692511,6.582439243,8.790825231,7.404887875,10.52174317,12.29830848,8.554848326,7.390163805,11.16138516,7.561563127,13.56293196,12.47540408,11.539424,12.2141875,10.08856063,12.2746983,11.62544766,7.518659146,11.40197799,12.51148341,11.22774169,9.90893961,8.681385498,7.518306818,10.6071026,8.172753209,12.83382161,8.848394569,8.742072021,7.098235792,6.837359891,8.214539321,12.76695368,14.01582211,8.282810337,9.530997149,7.741979487,13.41714485,7.679792426,13.45105679,14.98586339,10.68126908,8.322692122,12.88673375,10.7069339,10.72555863,7.613444996,14.8734416,8.207328984,9.449108872,8.476857932,8.055017303,13.52851944,9.113668311,8.643466824,9.482851698,11.73265329,13.97472017,7.664776431,9.077443264,8.53821894,8.713692062,9.542823232,7.005534695,7.218761872,9.326696713,8.350541909,8.549055533,8.334916651,12.30864926,7.402649254,10.3626998,11.91953891,11.86320504,12.95193321,9.752312114,11.0351813,10.26591466,8.774482986,7.36652184,6.761968881,9.718463194,8.67092102,6.361925164,8.954713782,11.39333184,11.07103768,8.633677978,11.19141246,8.237961793,8.163739346,8.422593223,7.729132547,6.423190263,13.52079882,8.035967837,10.13070948,12.39795564,10.05607137,0
13.2169453,10.19647781,7.380768336,12.98199729,8.690983349,10.48563766,11.82335111,10.7238995,10.38562227,14.13787465,11.91560071,8.65333974,12.00359959,8.418714389,15.10112034,11.17958222,8.588730154,7.694689043,9.85469607,10.00670448,14.2923705,7.899768655,9.659593359,11.27814014,9.342043076,9.288993811,7.603678591,8.933876708,9.054358864,8.857825296,8.152806361,7.422114871,9.965286969,10.84352571,7.531670049,6.827842058,7.858126571,9.263668592,7.850541218,10.24816074,8.217413749,10.56924663,8.005257277,6.628819494,7.965909621,8.157390656,9.118935921,8.97993943,8.247650279,6.815118098,8.28307031,7.70038821,7.544053772,8.035721336,8.208640756,7.967639861,8.027525896,7.819344601,6.172973909,10.37813776,10.18561818,6.667254176,8.486890373,7.417594149,10.21212838,10.24217135,8.590698517,7.469814625,11.14022149,7.544200852,12.65852513,11.19310186,10.52398081,10.76584354,8.918810552,11.58657938,10.97039798,7.112576495,9.514977309,10.91009826,10.01309839,8.402939242,8.034248842,7.221022388,9.924079723,7.512525344,12.85874884,9.018030625,8.641611847,7.050697723,6.85120895,8.167281828,12.57434096,9.58768412,7.995624833,8.092987679,7.753974086,13.78607736,7.670801829,12.3896684,15.32764524,11.21723275,7.935452937,11.55593402,9.803856222,10.92833091,7.64680641,15.13489457,8.250448876,9.220523811,8.681183223,8.072299759,12.50450702,9.298785561,9.011842071,8.300864531,11.61013787,9.529244015,7.822590938,8.986898312,7.571335777,8.443550285,8.814997732,7.087790325,6.621177573,9.57280159,8.467160766,8.70853127,8.122764064,11.93206823,7.352995813,11.32200652,11.74689687,9.431195779,12.82149186,9.547562262,10.36000414,10.22336086,8.572739339,7.265505307,6.639795643,9.565771924,8.924293439,6.271051318,8.634303919,11.72677826,11.08403121,9.59494251,10.70121644,8.157569303,8.497169491,7.852586263,7.771723371,6.45048027,7.704664505,7.820656362,10.53450632,11.51012855,8.991015632,0
12.95680405,11.01200093,7.086835185,13.34285571,10.23063997,12.85330168,13.55625021,11.73046908,9.124371031,13.91732606,11.94034681,8.685008904,12.33145596,8.98101478,14.61679748,8.111895665,8.466427081,7.230304822,8.879274075,13.45377089,14.77053143,7.842397583,14.47870056,13.51922848,9.921416982,11.38879436,9.23762574,9.643770559,8.808960512,12.0230645,7.814674788,7.32460759,9.578852325,10.83580586,7.70804305,6.924530195,7.983544984,9.079401502,8.021868822,12.77935385,7.554594007,10.63889965,7.951659417,7.03057973,7.868364863,8.139982662,9.213144396,8.214027931,8.698027564,6.771871098,8.239171331,7.497482694,7.1783935,7.818404122,8.045212697,8.262635544,14.65828358,7.170456995,6.388249206,9.337982601,9.890674072,6.867130273,8.417345255,7.544997858,10.28855018,12.59698349,8.092491044,7.531055665,9.756910474,7.853340976,13.7539276,11.54632093,10.81107103,11.00160073,10.51126423,11.29351193,11.24649593,7.077023271,12.29592643,13.45582138,10.39572114,10.49926314,7.71448881,7.061013574,10.15764497,7.509158724,12.74060619,8.542241512,8.184494577,6.919067701,6.760520443,7.760107041,13.05573425,14.65317757,8.842615267,11.01941314,7.705354431,13.70466317,7.6223675,13.81146712,14.82485321,10.38918959,8.902199806,13.13478006,10.50960798,10.96208487,7.648272116,14.64717686,8.103863147,9.760464319,8.27662093,8.746706826,14.25404085,9.349616766,8.598211268,10.88168664,11.31056294,14.51646896,7.640851763,9.302553469,8.675578368,8.883579373,9.728406213,6.769875597,6.57421786,9.434212145,8.505125621,8.205932617,9.044437841,12.37178144,7.475994707,12.16177645,11.67031677,10.86073678,12.63097828,9.366523026,11.53303229,10.89665126,8.36827623,7.384668252,6.639683712,9.947346135,8.293135141,6.22288711,8.781746671,11.4264245,11.46709429,8.362648618,10.26529285,8.324743555,7.933993178,8.854333333,7.907924613,6.308242033,14.40123119,7.9154989,10.06434461,12.09894502,10.58132306,0
12.99924419,10.94923065,8.252029724,12.9770844,9.675703365,11.22673922,12.62222505,11.73102004,9.618154465,13.75903793,11.33000545,7.725573817,10.93410828,8.278451533,14.73281277,9.219551567,8.650586256,7.836116847,9.291101787,12.88285119,14.72217117,7.647321509,13.92887825,12.47531728,9.835269558,10.14436185,10.33339295,9.865401119,8.487109398,10.02019276,8.064190324,7.02091578,9.565474817,11.10281361,7.752934036,6.878816744,7.88030427,9.679280616,7.934229619,11.54324004,7.540151731,10.80801883,8.399081873,6.892545073,8.024163943,8.231861603,9.141067729,8.645883967,8.329579121,6.743040523,8.238272606,7.852625915,7.230534732,7.930338111,8.585142033,7.974636038,14.09538541,7.203134352,6.243143975,9.486660883,10.31530059,6.641801415,8.391439124,7.526972207,10.19086294,12.419679,8.427431717,7.440553108,11.59453664,7.475243768,13.63647299,12.64624175,11.87228484,12.28027766,10.11498692,12.20481051,11.85772482,6.973005378,10.83918319,11.9293867,10.16369463,9.257608584,7.96928491,7.157990271,10.0925312,7.843758513,11.6916295,8.95697312,8.149621368,6.953951164,6.954682394,7.620298692,12.70597509,14.01677561,7.980711358,9.243216959,7.768332185,13.82553732,7.897687005,11.73160354,14.9435205,10.10715837,8.132563193,11.34929064,10.52965358,10.92636035,7.764165067,14.69865659,7.99956933,9.517935969,8.696368554,8.102168731,13.56571607,9.946543339,8.846343854,9.249877391,11.73819218,13.88840718,7.556797057,9.717368685,7.145558177,8.601188544,9.07731692,6.83270992,6.830922033,9.512568537,8.423898647,8.869335726,8.220217479,12.28573478,7.435293989,10.7762694,11.663102,11.40014484,12.6862367,10.06069681,9.178754944,9.9624148,8.510547243,7.476887432,6.800448046,9.963944618,9.423017706,6.527383569,8.535653534,11.10446571,10.76966887,8.707258902,9.851431812,8.18172798,8.209969469,8.261692,7.927387332,6.29968004,13.69608669,7.912100051,9.935092418,10.49618994,10.16753826,0
12.83173458,11.97619468,8.722846744,13.07239701,8.61648497,11.98322106,13.11280807,10.76994971,9.807873454,14.26614666,12.31579587,7.602402141,12.80478045,8.610392364,14.86784052,10.31798505,8.809365284,7.651904855,7.939941744,13.12399177,14.75003487,8.2439834,13.71391373,13.74986595,10.60131608,11.63984928,8.096355947,9.130243603,8.763331789,10.11557956,9.9351591,7.992215883,9.651195009,9.562481064,7.846089831,6.785592544,7.729301561,9.096608577,7.46983849,13.12614425,7.76982314,8.99831281,8.274948512,6.8720147,7.969406183,8.286968319,8.414321316,9.164901097,8.682673971,6.729330049,8.218534925,7.008350042,7.401100586,8.034701128,7.762347386,8.250382984,12.4057075,7.21158508,6.451118639,9.835745807,9.338159669,6.713922151,8.585414623,7.463485537,10.33284108,13.29150696,7.829099525,7.624056975,10.63047091,7.454222321,12.91229858,12.32617064,11.73120483,12.02829087,9.450590528,12.1205855,10.16810215,7.228605092,11.08511688,11.56158159,11.13898513,10.86572957,9.125591364,7.778098688,11.06041752,8.534733161,13.03234769,8.314909233,8.45295467,7.193832867,6.912974315,8.410018326,12.46620847,13.73931703,9.07120261,10.87990547,8.53350712,14.45065935,7.835543106,13.20879807,15.03400694,11.7453105,8.634545313,12.17124151,10.34229393,11.021649,7.397997714,14.97916875,8.335336998,10.50418819,8.984385838,8.628128058,14.64404531,7.778261214,8.797746517,8.894512527,10.85610888,13.69720527,7.992524573,9.460516255,8.958072786,8.240698645,9.989837492,7.149570975,7.638406353,8.65644127,8.513296187,8.150581337,8.639437908,11.95614328,7.451867237,10.02802605,11.69708873,11.95359768,12.421606,8.658491015,11.36725931,11.29200718,8.575426084,7.385481572,6.443231612,9.416653135,8.180265157,6.253742435,9.049429628,11.52425215,11.52150677,8.578740517,10.51825584,8.156442796,7.7770699,8.082516345,7.730808977,6.252048156,12.33593125,7.938242583,9.768063974,11.73289355,9.176830014,0
12.25895115,11.39446711,10.09338439,12.23414105,7.960540689,10.43287662,11.79566166,12.3940249,9.198390539,12.80630689,9.474129885,6.987325353,13.48318871,8.314968734,14.88972967,10.95196782,8.404327053,6.822221702,8.091199795,11.8102875,14.31169254,7.23766725,12.61467677,12.8078102,11.11503243,10.29593258,6.738416308,8.861874804,8.330371248,9.408944773,7.670724537,6.946589115,9.560680396,11.29175103,8.159585372,6.923646299,7.693058922,9.479381371,7.177405405,12.83686208,7.097097974,10.64460545,7.936021621,6.801743752,7.947784913,8.419574296,8.689980358,7.7289176,7.900439816,6.687278286,8.305692664,7.788342308,7.298643582,7.908443088,8.329256956,8.08860736,10.03590015,6.974622604,6.189522634,9.127727885,9.418926103,6.494274965,8.641034562,7.47431755,9.134645398,12.08433211,7.789885793,7.453009802,9.606075842,7.479565439,12.01771805,11.02637548,10.12902836,10.38654709,8.844469714,11.82320113,10.26543423,6.720513141,11.67133419,12.91844987,9.644706668,9.257489895,9.210768847,7.988430487,11.95176152,11.4936544,12.79822333,8.131521515,9.142879217,8.826966102,6.974552655,7.840560937,12.3294374,12.71244504,8.620117659,9.794648195,8.163794459,13.83097329,7.835016855,10.95554733,15.09438332,9.663537105,8.450909722,10.08877997,11.25868433,11.75766904,8.395700809,14.93306311,8.233682916,9.645003359,8.112601633,8.314937732,13.45631195,9.517801445,8.324448208,8.435260577,12.29758746,12.57899329,7.614543798,9.226070827,8.91298505,8.907686688,8.553842438,6.938589485,7.349894559,9.327774139,8.224765398,8.40900049,8.726645566,10.86163219,7.248254742,8.037694357,11.46708884,10.74159101,12.37011315,9.317316022,12.08931254,10.50898813,9.799814372,7.253903921,7.136381477,9.047732579,8.136667415,6.292335557,8.666442499,10.91120341,12.10454233,10.79554981,11.4029836,8.028821089,7.480604859,8.052840614,7.806825628,6.340482944,9.587066061,7.863146622,9.923025078,11.55259272,8.956602492,0
