"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
8.490337,9.593335,9.750107,11.06595,6.658749,10.66594,6.668285,12.77301,11.84749,12.24187,11.95897,9.06452,11.22966,12.09821,9.689854,10.66043,9.378538,13.07747,10.76331,9.889536,9.095572,13.53497,11.76044,9.96329,9.980559,9.418627,11.83401,11.53353,10.22049,12.79271,12.92134,10.96953,10.60322,7.703951,9.687215,7.972559,8.391281,11.6706,10.09465,9.295425,9.084656,9.544717,3.779314,4.456167,8.548247,8.65189,9.327887,6.916928,10.4979,8.917759,11.44647,6.872014,11.04189,6.528362,9.014197,10.56158,9.369635,6.316607,8.122015,5.234077,8.147575,8.036604,3.821321,12.18741,9.528838,4.420216,7.054851,8.553505,3.25424,6.308665,6.404394,10.00408,8.375451,6.321117,3.726852,8.10245,3.772869,8.483805,10.86679,10.92841,9.873974,9.862237,9.771854,10.7964,9.951834,9.897744,10.91258,7.918685,7.890324,10.26114,8.429964,8.425945,9.575714,8.674788,6.372713,9.171854,11.0924,3.665831,11.35357,11.56029,12.79885,13.41633,11.06057,7.435732,12.51377,9.320253,8.755873,13.44902,10.41757,13.51259,8.268459,10.8416,10.97372,7.760547,13.49721,8.81242,9.395347,8.820669,13.23963,11.60744,8.682348,9.010674,8.735079,8.689634,12.76446,10.02572,9.056047,7.827416,9.871442,6.728675,4.700616,8.720592,8.392863,6.37611,7.269656,13.42477,10.75572,3.845592,10.70287,11.86431,9.712864,11.83798,8.643917,10.66726,5.863481,7.810998,8.111031,5.46442,11.17294,8.610546,6.177426,6.290913,9.933967,9.789936,6.883774,8.352596,7.001153,5.281921,7.765787,8.890828,9.904871,12.50552,8.840928,10.071,10.22509,10.52454,11.12148,8.947306,7.838477,10.28749,7.88657,8.015933,8.680878,5.268323,10.97945,10.31776,10.79331,10.97404,9.166882,9.385839,7.415119,10.4296,10.27286,9.148171,10.02681,8.71289,10.41416,7.177854,10.28464,6.995892,7.642855,8.259074,7.072624,7.667377,8.504611,4.855145,3.728296,9.592714,7.047992,6.339504,7.160549,10.08285,5.912402,8.676748,9.023637,10.00937,6.489064,0
7.858716,9.630857,10.28329,10.16461,6.810098,10.73669,6.92631,12.4704,11.80596,11.85282,13.15325,9.265367,10.58459,11.29908,8.992022,10.83488,13.20292,11.71295,9.372027,11.40661,7.823782,13.561,10.87387,8.546938,10.52493,9.134561,11.12151,11.58195,8.989431,12.75291,12.57239,9.701425,9.687873,8.609686,7.115325,9.592544,10.57642,9.404691,8.233699,8.608575,10.03576,8.978854,3.712082,5.006886,9.155179,9.992949,12.0699,7.392215,9.89106,8.17647,3.520563,7.369054,8.572323,7.114951,8.4723,10.54776,4.346703,7.220359,7.167229,6.803861,8.930195,8.095001,4.137341,10.7333,7.686767,4.491512,7.54815,8.919796,3.18881,8.3433,4.634868,9.740573,8.631209,6.588585,3.647447,8.159668,3.747935,9.254827,10.74421,10.11914,9.883327,9.453484,10.02599,10.49474,9.5023,9.594414,11.24691,7.671863,7.97125,11.99238,10.94592,9.089655,7.925068,8.719415,7.444354,7.788965,10.40736,3.7918,9.291393,11.80474,12.76249,12.3561,11.70921,8.993425,12.79713,7.064009,8.987873,13.51037,10.06308,12.35726,8.988815,10.07847,10.271,9.780539,13.4674,7.734402,11.03452,9.265712,12.14775,12.83681,7.726338,8.391115,8.025887,9.430715,12.69613,8.935026,10.06772,10.4418,8.172642,6.194971,7.648071,11.15439,8.301226,5.712993,8.34991,12.3247,12.63741,4.04797,9.953908,11.63538,12.96753,12.22913,9.858221,11.58473,6.461616,9.346609,8.635455,5.033174,9.732882,8.334288,4.734764,6.681479,9.479634,10.36228,8.246211,7.121132,9.002224,5.757685,7.672478,10.37194,8.064444,10.90014,8.743643,8.934317,10.37842,10.86717,9.017553,8.31867,7.620532,12.34129,7.254891,7.549352,9.074958,7.152276,11.28516,10.44299,11.68955,9.987726,9.225036,8.993034,8.478277,9.162822,10.07098,8.316505,9.447119,8.152606,8.95611,6.138056,10.29758,6.730683,7.380595,8.713811,8.130328,7.494779,9.064775,4.318602,3.624201,8.58165,9.703348,5.958716,8.699219,9.609316,6.926368,8.738895,8.993345,9.808272,7.96174,0
7.823833,9.974878,11.22026,9.591805,6.463627,11.27811,6.802532,12.86923,10.25691,11.45742,12.39535,8.722836,12.93703,13.53272,8.874149,12.51487,11.90163,11.59238,11.07028,11.27595,11.02448,13.62549,11.36833,8.755947,12.03192,9.114371,13.15566,13.46829,8.184616,13.63548,13.25859,8.236141,8.731899,12.23215,8.135153,7.427295,8.622433,13.48098,12.82462,8.47588,8.958777,8.23476,3.737289,4.823081,9.241045,9.201237,11.8803,7.213964,9.918707,11.28481,4.064878,7.4674,9.446593,6.892514,10.89817,10.16434,9.754021,6.349814,7.321542,4.356852,9.010039,8.600452,9.57154,12.0552,7.966146,4.399689,7.849937,9.140115,3.193289,6.063161,9.591106,9.016971,10.71716,6.56488,4.263471,8.30303,3.6838,10.24437,9.339447,8.53424,9.331279,9.197718,11.36691,9.82412,9.009792,7.658385,9.017441,9.73391,8.019248,12.9724,11.7926,7.911079,10.14215,9.670907,7.582026,8.787966,13.79994,4.200058,10.77117,11.13065,13.56886,13.5955,10.30294,7.129466,12.73669,9.303852,10.04253,13.51134,10.25511,13.54052,9.866957,9.459723,10.28758,8.850961,13.49166,8.952544,9.404586,10.60313,13.31855,12.71453,8.775957,10.31355,11.35956,10.94372,13.51247,8.685362,9.22731,5.661477,9.098558,7.674228,9.175377,12.31417,8.820576,6.826548,8.157456,13.59906,11.97652,3.949205,11.19039,12.32632,8.632143,11.3521,9.177695,7.489067,7.367499,7.843468,9.130571,4.116621,10.24223,8.425459,4.430929,7.032003,9.727149,10.32659,7.938816,8.216957,6.760802,5.310373,8.033489,11.44824,8.436399,12.37779,7.701488,9.852262,11.05587,10.61705,7.773197,9.925423,8.148739,10.91189,7.401765,9.752625,8.05257,7.105349,11.5111,11.58691,8.873113,10.07045,8.12527,9.296917,7.186287,8.922891,9.003121,9.156693,9.331035,7.713226,9.838295,9.163289,7.780329,7.321863,6.439677,8.353806,6.521094,8.022203,9.302453,5.028374,3.948921,11.63602,8.945715,5.255828,8.160406,8.610607,5.794249,8.81251,9.360271,10.02459,7.732968,0
8.762472,9.074188,10.07978,11.32585,5.884546,11.1036,6.59206,12.64715,12.33759,12.36596,13.30848,9.753213,12.85579,13.23956,10.0167,11.40485,12.6289,11.82659,12.02326,11.50869,10.00539,13.41619,10.98365,9.735836,10.73766,9.231766,12.97271,12.92859,8.787365,13.2412,13.60321,10.87199,10.72845,8.925518,8.256489,8.064987,9.889755,13.60525,12.70905,8.209595,9.128375,8.483809,3.83918,4.83914,8.369693,9.452953,11.28771,7.874083,10.06608,9.459608,3.908082,7.167307,10.14459,6.854911,11.43776,11.63665,4.367205,8.239729,7.22382,4.753802,8.766544,8.17288,4.368109,11.44604,6.268019,4.988784,7.437281,8.469545,3.117341,7.691759,4.593449,10.60289,8.31465,6.380363,3.999871,8.219292,3.922847,10.49433,11.98479,11.37491,10.92146,9.60774,9.952045,10.47977,10.49654,8.363255,9.744148,8.052627,8.635885,10.75953,9.478055,8.867523,7.904762,9.444025,7.105825,8.492199,13.243,3.798181,12.2457,11.56835,13.18691,13.05716,11.25756,6.906278,12.85394,7.465572,11.20308,13.27195,10.62019,13.08285,10.89589,9.766827,9.683899,7.331262,13.32136,10.47184,9.903771,9.317997,12.86644,12.71578,8.379253,10.53644,10.66422,10.21524,13.18462,10.19067,9.480825,9.196932,9.437048,9.541564,5.277796,9.858818,8.508577,6.732785,8.35547,12.99578,12.4849,3.79475,12.19398,12.08828,9.791338,12.10763,8.869646,10.91329,6.547756,7.599921,7.310987,3.833097,10.34994,8.52775,4.350746,6.885598,10.02154,9.803951,6.431642,7.386518,7.342486,6.236899,7.772736,7.655328,9.69231,11.84583,7.798194,9.527219,10.91305,10.8588,10.86907,8.586525,8.819958,11.36466,7.84805,9.935142,8.024685,6.401689,12.01384,10.49747,12.15289,10.94777,8.68678,9.54059,9.025268,9.858138,10.10134,8.513529,9.612122,8.02038,12.21863,6.771024,10.44355,7.170818,7.602481,8.759925,6.820198,8.154565,8.986216,4.762923,4.420865,11.06354,7.785642,6.525065,7.787079,9.372673,6.145003,8.163107,9.061741,9.325139,7.24683,0
8.157331,9.833757,10.39249,11.39187,6.520626,11.72909,7.350867,12.34224,9.63331,12.59269,11.75788,8.440557,11.38172,12.07839,9.837321,11.04961,11.69157,12.98978,10.02509,10.92931,9.693497,14.39472,12.01924,10.32089,10.7189,8.354019,10.89968,11.94745,9.13905,12.77323,13.09544,10.93828,10.77963,8.302955,9.167514,7.718723,10.0405,13.20961,11.90915,8.572562,9.950308,8.704303,3.802545,4.586191,7.719696,8.63266,10.95519,5.302583,9.955467,8.684971,4.143838,7.0529,10.66375,7.091265,8.815893,9.087818,5.5645,6.257583,7.354617,4.584849,9.719928,7.160637,4.051386,11.50635,10.20484,4.406569,7.706332,9.180726,3.208599,4.946475,4.74474,9.060608,8.439192,6.1362,3.876871,8.820024,3.998693,8.290517,10.64443,9.873643,9.54285,9.333315,10.1325,10.36827,9.507772,9.96495,11.10625,7.582925,8.254782,11.86013,9.584141,6.961949,11.00842,8.458623,7.399659,8.837641,7.494452,3.892476,10.79294,12.46904,12.72495,12.744,11.13229,7.381979,13.03122,7.681731,9.082575,14.34337,10.54845,12.87291,8.891481,10.52857,10.06879,6.946383,14.33327,8.807829,9.503635,10.29381,12.55931,12.50926,8.049985,8.731014,9.193242,10.23702,12.63919,10.76414,9.643251,7.577423,9.614733,6.92014,6.177831,10.0852,8.457897,6.388168,7.941998,12.75407,10.39298,4.012061,11.74968,11.6894,7.046559,11.84896,8.693637,9.742395,6.387816,8.277726,6.79789,4.503474,10.84393,8.316723,5.462906,6.563265,10.09496,9.49427,5.600675,6.806255,6.17151,6.687336,7.00891,7.383771,9.545715,11.79134,8.007588,10.05283,11.19671,10.61198,11.67701,8.208784,8.086748,10.44001,7.016764,8.546617,8.346642,5.616672,10.59433,10.69975,10.90206,10.7071,9.212659,9.103506,7.128443,11.69982,10.57352,9.701488,9.95821,8.10696,10.56541,7.767717,8.238863,7.856442,7.932277,8.453707,7.620494,7.890738,8.948838,4.521449,4.031927,10.0007,7.650233,5.487007,8.014335,9.175895,6.255335,9.106976,9.756873,9.455886,7.250669,0
8.859499,9.445463,10.85173,11.14781,7.795758,11.6071,6.437396,12.58597,9.770346,13.07944,12.44038,8.90319,11.96196,12.61983,10.4566,12.14177,12.02044,13.13356,11.64438,11.59833,9.92185,13.99116,12.35714,11.04273,12.43598,8.787013,11.22663,13.20409,8.593442,14.00883,13.98321,10.36998,10.50056,8.53589,8.574412,7.827833,9.336336,12.72477,11.92013,8.10359,9.244181,8.936253,3.797863,4.112932,8.591231,8.611425,12.76894,5.287512,10.1015,11.29682,5.656347,8.360954,11.55254,6.975439,9.628399,10.28016,6.724364,5.878627,7.314603,6.734377,11.12906,7.759675,4.168096,11.51565,10.2777,3.960628,7.630574,8.680061,3.306352,6.754735,5.619096,9.702332,11.13694,6.577559,4.221129,7.646924,3.920293,9.307655,10.63026,9.842806,10.08338,9.025363,11.14992,10.8839,12.18488,9.795781,11.22487,8.030031,7.905749,13.52778,12.47974,7.82101,9.641583,8.882266,6.101372,8.571687,10.77885,3.636753,12.16254,11.09921,14.03277,13.25314,10.96102,8.613148,13.09198,9.055664,9.61532,13.93194,10.1775,13.18388,9.427231,8.976267,10.45334,7.03232,13.86987,10.39135,9.460361,10.28134,12.9963,12.41813,9.060802,9.256722,10.06357,10.53156,13.96285,11.12779,9.465857,9.618137,9.260225,7.215175,8.332832,12.81048,7.98502,6.6781,8.736085,13.17238,11.69436,3.828946,10.15089,11.88121,9.278141,11.59318,9.404591,11.8501,6.25603,7.368003,7.924074,3.720116,10.51724,7.928896,4.330323,6.765365,9.55039,10.07169,5.376613,7.95102,6.418101,4.653324,7.70067,8.993942,10.26811,11.66554,7.560292,9.778636,11.29264,10.49202,10.56559,8.203695,8.402298,10.84781,7.596277,10.09883,7.675721,5.499691,11.34295,11.10994,10.13484,10.73244,8.947573,9.362185,7.318188,10.08293,9.174826,9.99606,9.184791,8.444698,9.232878,7.426081,7.380564,6.56794,6.599401,9.034461,6.782992,8.281849,9.01688,5.115828,5.041103,10.69257,8.264252,5.510528,8.758389,9.147453,5.848696,7.051641,9.140742,11.13747,8.157284,0
7.939565,9.209818,11.45379,11.36304,6.131882,10.5541,6.207481,12.2436,12.6782,12.04632,12.48833,8.854647,12.02872,12.82771,9.540558,11.11219,13.83902,12.61435,10.86305,12.21197,9.027622,13.60328,10.94727,9.679035,10.98732,8.94521,12.04408,13.0527,9.938789,13.94461,13.18096,11.40352,10.94511,9.962564,9.108533,8.048211,10.10549,11.39106,9.848303,8.656622,10.20821,9.269136,3.791264,4.317161,9.121094,9.192509,12.03772,8.530731,9.808525,10.61354,3.927654,7.268654,9.693898,7.084615,9.754905,11.62295,4.461157,7.441544,7.144989,4.399579,8.72623,7.96602,5.60078,10.84251,9.402369,4.275809,6.365844,8.276517,2.963057,5.942997,5.407064,9.396386,8.72992,5.210794,3.936981,6.900009,3.946805,9.264243,12.99271,12.44646,12.0464,8.925474,11.35583,9.902359,8.217059,8.174995,9.350977,8.672037,8.373073,12.41109,10.57768,10.13009,8.98317,10.00668,7.198066,8.311389,10.2286,3.677224,12.70278,11.87785,13.96918,13.28451,13.16561,7.644238,12.74546,7.924368,11.61574,13.50999,11.92691,13.36954,11.36033,10.21815,10.74601,7.443935,13.49813,10.68442,11.59191,10.48149,13.08632,12.88902,8.449404,9.345386,9.641474,10.31588,13.92447,9.764902,8.560935,10.17928,10.14755,9.312629,5.83631,10.5652,8.04068,6.116315,7.616214,13.23992,11.25065,3.978768,11.72939,11.73928,10.58933,11.68537,8.636579,11.90045,6.996776,8.312216,8.645656,4.785692,11.20615,8.262665,5.5091,6.642567,10.56399,9.657505,7.738898,8.113548,7.475909,5.989475,7.900503,7.387148,9.446796,11.16459,9.057907,10.06477,10.13365,11.17814,10.72353,8.60166,8.303953,11.22801,6.712466,9.087743,7.452652,6.303174,11.24507,11.79373,12.53611,10.74505,9.568068,9.045387,11.4807,9.911266,10.02684,8.834249,9.992345,8.531153,10.95563,6.692538,9.038418,7.319995,7.443223,8.443842,7.023239,7.854036,8.954996,4.876698,3.92714,10.49059,7.855488,6.825422,7.531199,9.905268,6.090438,8.293064,9.07235,9.326399,7.370802,0
7.827281,10.15591,10.09579,10.17078,7.032077,11.45395,6.314313,12.71863,11.95538,12.03347,12.54099,8.685657,12.16762,12.78765,9.577124,11.11376,11.31272,11.54698,12.02221,10.75106,8.308203,13.90882,10.74287,9.374033,10.52061,9.392661,12.50021,13.11277,10.30017,12.21054,13.30129,10.00162,9.480406,7.813509,8.780171,10.67579,8.729526,10.05061,8.928793,7.349689,9.422171,7.084122,4.030601,4.667952,8.652431,9.205568,10.74293,7.646183,9.775757,7.905639,3.915395,6.710495,9.867844,7.08613,10.24208,8.353849,6.85952,5.914388,7.606866,4.895457,9.446136,8.151443,4.062314,10.83877,8.912302,4.522235,8.908125,9.367655,3.048634,6.648598,4.710135,10.29251,9.067554,7.032965,3.680067,8.727515,3.664688,10.10568,9.401199,8.897052,9.007891,9.75182,10.33435,10.16788,9.350103,7.334551,8.434942,7.871451,8.602266,11.04338,9.208045,7.692678,7.499461,9.371684,7.521375,8.171375,13.00769,3.89791,10.53412,11.22987,12.18367,13.23674,12.60306,7.015877,12.54042,7.023686,9.353279,13.85248,9.778167,13.13357,9.250933,9.526588,10.24425,7.361242,13.90714,8.664396,11.78987,9.174005,13.03592,12.06241,8.635781,9.564039,9.916966,11.02182,12.09672,9.29052,9.402946,7.809522,9.109891,7.194884,5.45953,9.276235,8.577056,6.388657,8.475784,13.16389,11.90306,4.08148,10.63134,11.56277,7.834079,11.58674,9.683417,9.656073,6.003914,7.868786,7.245625,3.971924,10.25998,8.167589,4.154279,6.969129,9.790076,9.443417,7.9258,6.541924,7.741585,7.045249,7.984312,6.95569,8.415527,11.03402,8.586241,9.796065,11.18552,10.82247,10.2347,8.684988,8.475649,11.08039,7.287118,8.810587,7.657188,6.098299,11.17927,10.89059,10.13951,10.20688,8.576396,9.196867,7.35951,11.20647,10.33273,8.21416,9.241897,8.332094,9.408315,7.660872,9.046202,7.428976,7.954501,8.134064,7.420346,7.921282,8.968267,4.57486,3.628178,10.40432,8.6452,7.422315,8.873244,9.17262,6.195381,8.897249,8.445291,9.68911,9.045825,0
7.673878,9.850987,10.25836,9.68055,7.167081,11.60075,6.73061,12.81959,13.02067,11.29482,12.95752,9.414708,11.29894,12.15564,10.55441,12.44786,13.62693,12.78717,11.7389,12.47879,8.458927,13.58222,11.34009,8.894026,9.616586,9.451646,11.05489,11.38871,7.767141,14.23807,11.90261,9.191109,9.12893,9.19194,7.012199,6.852662,10.81099,10.98193,9.31987,8.75187,9.990355,9.154737,4.024583,4.627182,8.41643,8.402994,12.59478,7.637284,10.51021,10.61403,4.031642,7.87243,9.621278,7.062834,7.907314,11.09959,5.022078,6.044945,8.079494,4.278505,8.015835,8.278465,3.852776,10.506,9.769565,4.36973,8.119963,9.037591,3.212089,7.277791,4.492797,10.24405,8.749621,6.336558,3.681456,9.032094,3.761314,8.890756,10.09534,9.309898,9.221532,9.648952,10.33916,11.01222,7.590097,7.10158,8.573547,8.38838,8.336901,12.24515,10.76316,8.40934,8.149134,8.493487,7.378015,9.113007,12.13566,3.539994,10.66825,11.25221,14.23762,11.73848,12.19855,6.377361,12.96179,7.706743,9.79747,13.51688,10.77923,11.75139,9.812529,10.00848,10.41241,8.000559,13.53127,8.578131,10.50146,10.09952,11.5612,12.23044,8.626817,8.437208,9.628523,11.33088,14.20874,8.966798,8.833483,9.035747,9.289483,7.983654,6.935902,11.03111,8.5774,6.189651,8.121901,11.61933,12.25951,3.884175,11.37146,11.33253,10.07976,11.16211,8.74353,10.91778,7.020265,8.90062,8.304125,4.815425,10.51095,7.639638,5.080771,6.313102,10.12372,9.552938,8.195554,7.660772,7.050142,6.124289,8.069251,8.831272,8.327322,11.10582,8.343593,9.681664,11.19074,10.52766,9.936752,8.184757,7.947756,12.27615,7.538435,8.401834,8.136991,6.576127,11.50482,10.89948,10.54612,9.991745,8.861117,8.860723,8.203118,10.59245,10.11845,9.118121,9.266652,9.271364,11.16192,8.344254,10.15931,7.921497,7.224635,7.670125,6.928563,9.375425,9.396157,7.159355,7.677989,10.81483,8.30459,7.800211,8.917541,9.088137,6.819458,8.45189,8.371062,10.44497,6.631094,0
8.505915,9.397006,9.696523,10.23737,6.597938,10.9797,6.435946,12.09688,12.86327,13.06557,12.33383,9.300118,11.726,12.44518,10.18754,10.76424,9.904534,12.3512,11.27233,11.42839,10.29097,13.87463,12.00843,11.29045,11.26502,7.797412,11.41247,12.67187,8.694065,12.34858,13.40022,9.513824,9.358192,9.056738,8.604798,8.471041,9.440033,12.26213,10.71044,8.252103,9.046491,8.807193,3.915527,4.508159,8.414737,9.014769,10.98228,6.028487,9.693687,10.71964,4.538,8.411527,11.98493,6.355092,9.212017,9.575808,3.851427,7.620278,6.842979,4.906656,9.856688,7.609662,4.143956,12.81043,9.723698,4.728438,8.161121,8.653626,3.062887,7.027905,4.511019,10.6465,9.505062,6.524953,4.062007,8.188107,4.250268,9.539555,11.75607,11.10714,10.29283,8.776617,9.446982,10.14537,10.39995,10.0199,11.22491,7.958666,8.158896,13.27993,12.47802,8.592278,9.8783,8.841488,7.335733,8.105216,11.97847,3.331926,12.26509,11.65833,12.33024,13.59835,12.3746,8.149488,13.22697,7.269298,9.852057,13.75117,10.4289,13.73654,9.507126,10.2308,10.28572,8.388264,13.76025,10.52515,10.96851,9.481331,13.46284,12.44721,8.255861,9.022526,9.965199,9.277557,12.22786,11.64809,9.50346,8.522281,9.464385,7.728724,9.416016,13.15418,8.250049,6.675662,8.176064,13.66928,10.95212,3.964613,11.80673,11.56151,10.69186,12.31796,8.259147,10.52905,6.72597,8.615395,8.058052,4.318321,10.43021,7.84933,5.248131,6.705077,10.23488,9.515102,6.75695,7.533498,6.507358,5.668684,7.058243,7.67946,10.92064,13.16417,7.945107,9.557201,10.78618,10.976,12.97743,7.846356,8.018207,10.70219,7.521246,8.245836,8.183276,7.252323,10.27683,10.36541,11.34341,10.58643,8.821712,8.563292,7.112337,9.721195,10.55842,9.300118,9.071926,7.982053,10.75996,7.207633,10.59484,8.548752,7.947257,8.076514,8.002481,7.791149,8.761078,4.589602,4.311186,11.01896,7.734339,5.339803,7.86346,9.377505,6.244895,8.647746,9.378115,9.043213,7.688921,0
