"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
12.8636,10.8454,12.6964,12.2061,9.7034,11.1557,12.1478,12.3045,12.2573,11.8807,13.2022,12.0405,11.4767,11.3213,14.9405,11.6296,10.2327,10.5413,9.1061,11.626,13.8095,10.1438,13.7031,12.8926,8.6858,9.1507,10.5364,9.5633,9.4343,9.6879,11.2742,10.203,9.9161,9.6663,9.9648,5.3353,5.9669,9.2415,9.2439,10.0555,7.115,10.7754,10.7419,7.2066,7.8871,11.0812,10.1663,10.5747,10.8386,7.8371,8.8908,7.7398,2.504,10.4083,8.3757,8.5923,11.2368,9.3279,5.9811,7.953,9.9697,5.3156,5.6227,7.0199,9.0458,9.6426,7.8859,7.7455,8.156,2.9119,10.4137,10.9471,10.2346,7.4289,9.0379,9.813,10.9618,10.7368,9.6895,9.8699,9.0406,9.2549,12.7442,10.7175,9.0137,10.2767,9.6953,7.5335,8.8749,10.208,5.1862,11.321,11.6478,13.7358,12.8493,10.2032,8.8526,13.0696,10.0415,9.1244,14.9753,10.0369,13.0516,7.0805,11.0571,10.6074,10.4155,14.941,9.2873,9.399,10.8531,12.3908,12.1634,9.2992,10.6299,9.7863,10.7019,13.6131,10.5395,9.3322,7.9889,8.8168,7.7962,6.7357,10.9335,9.1767,4.6825,7.1064,12.8976,10.5567,6.275,10.5925,12.0312,7.9035,12.3679,8.7244,9.5416,5.7152,8.8326,8.5171,6.2381,10.4169,8.4932,6.2263,7.5157,10.3789,9.799,7.5155,8.4828,8.2132,7.4592,8.8921,9.0327,10.0039,11.7195,9.3974,10.0672,9.5564,9.2649,0
13.1223,12.1515,13.08,13.0132,10.256,11.9768,12.9343,12.4448,12.2528,13.029,13.3616,12.1626,11.7577,11.4394,14.5731,11.6692,10.3454,11.5207,9.4067,12.0074,13.4762,10.0388,13.9225,12.9863,9.542,9.0565,8.7513,8.8141,8.1933,10.891,12.0104,10.7552,9.9549,9.6286,10.8967,5.5727,5.9871,9.8472,9.5222,11.8821,8.2586,11.5027,10.143,5.3929,7.7079,11.8263,8.1239,10.8832,11.1971,8.7801,9.5376,7.4916,6.2547,9.4618,8.2716,6.401,12.0453,10.6402,4.9948,7.8755,9.6796,5.2989,4.8928,5.7129,11.535,10.8419,7.3093,4.5034,7.4906,2.8017,9.6094,11.6915,10.5615,9.7994,9.5305,9.9463,11.1789,10.9032,8.418,9.7289,8.2437,8.7575,13.1902,11.4668,9.4494,10.0102,10.3833,5.7904,8.0137,13.0009,4.5801,11.6068,11.7301,13.8565,14.2055,11.8556,8.2147,13.0651,8.8268,10.779,14.4376,8.4607,14.0624,10.0116,11.0876,11.5346,10.8026,14.4676,9.6683,10.6095,10.6088,13.951,12.7108,9.453,10.6341,10.2927,10.7917,13.7508,10.5851,9.4778,8.6334,9.5607,8.4178,7.2475,11.9517,8.5046,2.7287,6.9661,14.0924,11.4869,3.304,10.629,12.287,9.2876,12.5238,9.2371,11.2801,5.7504,8.3621,9.1663,4.9164,10.3513,8.9124,5.5801,6.706,9.5212,10.1841,8.5065,9.6581,7.9197,6.3438,8.7322,9.6394,11.4466,12.5982,8.2276,8.8578,10.4338,8.4247,0
12.9282,10.9034,13.4965,12.4328,9.0483,11.6219,12.5117,11.1311,11.729,11.0746,13.5847,11.81,12.2754,12.1968,15.1718,12.0126,11.0738,10.6986,9.465,10.3491,13.8246,10.6501,14.0581,12.4641,9.91,9.5114,10.7244,9.5191,7.6022,10.3068,10.5605,9.8386,10.0944,9.3679,9.4665,5.4318,6.7568,9.8974,9.5102,9.8622,7.7936,11.4171,10.9214,6.6831,7.3433,11.9271,8.3135,10.2827,12.0719,5.6272,10.2367,8.0172,2.5458,9.7773,8.6034,4.1311,12.0649,7.7693,5.0477,7.7294,10.3962,3.3883,3.9865,6.2774,10.2837,10.7574,7.7954,5.2611,8.8546,2.7907,9.019,9.9588,9.4385,7.0098,8.5327,9.4321,11.5409,10.8937,8.5072,9.1495,8.0178,8.5618,11.715,9.0917,10.2982,11.8882,9.3492,7.3563,8.9543,11.193,5.4572,12.4234,11.7424,14.0792,14.3821,10.9395,8.9994,12.6902,10.9845,9.3459,15.1365,8.9942,14.0669,8.4065,11.1006,11.5664,10.1255,15.1175,10.9353,9.8786,10.2789,14.0529,12.0698,9.5633,10.4911,9.5616,10.0011,13.9638,11.6619,8.3985,6.5713,8.598,6.7445,4.0424,10.1698,8.5792,4.1915,6.259,14.3411,10.5635,5.3757,12.9052,12.3725,8.5725,12.5228,10.0574,9.339,6.4959,8.0255,7.9059,5.8013,11.2255,8.4053,6.9375,6.7531,8.4429,11.2974,6.6079,7.5935,7.704,6.5032,8.8335,11.1894,11.6735,12.6542,7.7924,9.8733,9.1981,8.6861,0
13.0102,10.3362,13.0326,12.3343,9.0344,11.4699,12.4077,10.883,11.983,10.05,13.4066,11.4234,12.1691,11.3805,14.9382,12.2863,9.7266,10.0294,9.4609,10.9278,13.3037,10.4491,14.0555,13.8112,9.3087,9.2975,9.9474,10.7137,7.979,10.0488,9.6748,8.6386,9.492,10.6756,10.6944,4.7683,6.782,10.4386,9.5792,9.5504,6.7302,11.3712,11.9765,5.9725,7.1756,10.6502,8.6414,10.1983,10.5909,4.6851,11.6067,7.6053,1.8533,9.5742,8.0491,6.4229,11.5693,11.6663,5.942,8.3867,9.9055,4.8684,4.5068,5.9397,10.3315,9.7125,7.2748,5.9707,9.733,2.7075,8.6341,9.5059,9.2301,5.9608,9.3625,8.6369,11.0677,10.723,9.5376,10.704,8.2225,8.7626,11.1833,9.5803,10.0566,10.4044,9.1381,8.8344,9.6668,11.5847,5.0971,10.9311,11.5305,13.9504,13.7462,10.8619,8.4364,12.4751,10.4836,9.0425,14.8511,9.392,13.7077,8.0661,10.7354,10.6471,10.0752,14.8208,9.0697,9.9936,10.2835,13.3046,11.9988,9.0135,10.1764,9.7908,10.3784,13.94,10.0117,8.5815,7.3449,7.8818,7.2668,4.4355,9.9588,8.1772,4.2585,8.2822,13.6542,10.2598,3.7544,12.7001,12.4355,8.5039,12.4114,9.493,9.2461,6.1821,8.1698,8.7368,5.6334,11.1879,8.277,4.8222,7.2939,9.6707,10.8122,6.2373,9.1342,7.5702,6.9452,8.6375,10.6915,10.8995,11.919,7.733,9.2919,9.0446,9.1039,0
11.8851,10.0611,12.5529,10.9602,9.4349,9.333,11.8434,11.2659,10.6609,10.1244,12.4232,10.0943,9.5381,11.6688,14.1347,11.177,10.9917,9.1581,9.3388,10.055,12.0159,10.7479,12.5936,11.2772,8.5513,6.078,9.1828,6.1043,9.5811,9.7,10.8469,7.3205,10.1065,7.3337,9.998,6.1062,8.8792,9.0234,8.6099,7.5071,6.5985,11.1666,9.9577,7.0631,5.5552,11.6628,10.1575,9.6815,11.293,7.4885,10.3154,7.2928,5.0631,9.6366,7.5519,6.2797,11.1245,9.3568,8.4053,10.1229,10.0592,7.6079,5.0127,8.6457,10.6722,8.7916,8.0936,8.2014,7.9111,5.1811,7.5905,10.0472,9.8172,7.3414,8.7465,7.1426,10.9321,9.4722,9.972,9.4409,9.5023,10.2158,10.9388,10.145,9.2619,9.3419,9.5191,8.0869,9.4208,8.8684,4.7899,9.968,11.0614,12.6498,13.2409,8.3006,9.4957,11.7706,8.8598,9.1226,14.1733,11.5745,13.4202,6.7274,9.7074,9.7367,9.0226,14.0527,9.036,10.1368,10.165,12.4651,10.5432,8.8186,10.4632,10.4812,10.058,12.7582,11.1188,6.5422,5.3491,9.612,6.8197,5.5564,9.9997,7.679,7.0141,7.9967,13.3427,7.0638,4.7763,10.463,11.0013,8.5866,10.3669,9.423,9.4,8.7354,8.7303,9.2537,7.2593,10.9068,7.1567,6.9331,8.9793,12.3018,9.8955,8.7579,8.5703,8.8429,9.5895,7.8971,6.8503,9.6755,12.3565,9.4512,9.9845,7.8277,7.8816,0
11.7747,10.616,11.8417,10.315,9.323,9.3441,12.1017,10.566,9.173,9.9036,11.5781,10.057,9.0806,11.2957,13.5831,9.109,11.3879,7.6454,9.2025,10.7335,10.7086,10.1847,12.0961,11.3329,9.0347,8.3902,9.0569,6.1561,10.922,9.3978,11.8837,7.5544,10.0683,7.3783,8.4198,7.6715,6.8051,6.9715,6.5144,8.7352,5.1969,10.7855,9.6489,7.578,6.6109,11.0762,9.7085,10.0916,10.3478,8.7063,10.4918,5.857,5.4074,9.3642,8.3917,9.0026,9.8002,10.2678,8.4677,10.45,9.9818,7.7737,5.9893,9.2927,11.538,7.5789,8.8205,8.2051,8.0985,5.6823,7.314,9.5304,8.5089,7.4168,7.1333,7.6047,10.1932,8.0452,10.1465,9.3561,8.9349,10.0944,9.8223,9.7348,9.4354,9.2508,10.0217,8.482,8.4439,9.0487,8.6829,9.5399,10.8104,12.0649,11.6,7.0584,8.3638,11.469,7.5161,9.2256,13.3726,12.8362,10.6953,7.14,9.7073,9.5593,8.2011,13.6062,8.1471,10.2485,9.4735,10.7697,10.1938,9.9064,10.7307,10.1528,9.4545,11.7476,10.8694,6.7367,7.5921,8.4795,9.303,5.9909,9.7033,10.2146,6.3849,8.2523,11.6656,6.8189,5.9666,10.3459,11.0039,8.9845,9.8645,9.089,8.5428,8.5324,8.2637,9.8011,8.8455,10.9262,8.3976,6.785,9.229,12.4632,9.7728,9.1047,8.9927,7.6981,9.6542,8.984,8.3855,7.4502,10.9405,10.0981,9.2256,8.0116,7.3892,0
12.9371,10.8142,13.2301,13.0994,9.625,12.5361,13.2525,11.6285,11.4344,11.7593,13.2682,12.6694,12.0492,12.0113,14.7251,10.8285,11.4961,11.3971,8.9593,12.7258,13.6728,9.3663,14.1416,12.4595,10.455,10.4729,11.8765,10.7439,7.8197,10.6969,11.6212,10.6207,9.7596,9.3144,11.4078,5.6389,5.9982,9.1892,9.3363,10.4001,6.9803,10.9334,10.6253,6.6208,8.2141,12.1338,9.0741,10.6236,10.7777,7.9931,9.0009,7.9716,2.6906,9.4225,8.9796,7.4165,12.4634,10.3542,5.5247,8.1014,9.9581,4.6573,4.4852,6.3817,10.1105,10.5131,7.6314,4.9848,9.4792,2.3743,10.41,12.1639,11.0849,10.7772,9.3519,10.0689,11.6843,11.9549,8.7422,9.7394,8.5604,9.0296,11.2322,9.8584,9.1901,10.7642,9.3435,8.1926,8.4219,11.7736,4.7143,11.872,11.8565,13.9769,14.3237,11.1192,8.8105,13.0313,9.8472,10.5156,14.6448,9.5878,14.2925,9.2556,11.1345,10.457,9.9693,14.7002,10.0357,10.014,9.8332,14.0197,12.4914,9.8803,11.035,11.2566,11.1361,14.0013,12.1096,8.1079,7.3106,9.0139,8.3333,5.7197,10.3092,9.0075,4.4549,7.3358,14.137,11.41,5.1125,11.622,11.9233,8.9849,12.4994,9.4348,10.3971,3.6298,8.7299,8.8685,5.465,10.5973,8.2767,6.0881,6.9577,9.2736,11.2703,7.6268,8.7525,8.0869,7.4474,9.1774,7.8967,12.179,13.0135,8.0794,9.3158,9.8989,8.6419,0
13.343,10.4382,13.4205,12.2094,9.8969,11.2693,12.676,11.1889,12.3925,11.362,13.491,11.7926,11.4338,12.0104,14.9975,10.6151,11.6889,11.3637,9.3586,11.292,13.6422,10.1123,14.4962,12.6201,9.966,10.0629,11.5819,8.2156,8.7511,9.7759,12.0843,10.4409,10.1593,9.3043,9.6794,6.1507,6.0951,10.031,9.6134,10.1639,7.3863,11.1846,9.7295,6.8375,7.1568,11.8107,8.8848,10.9579,11.433,6.8414,9.609,8.0101,3.8525,9.5502,8.1021,4.4064,12.2053,10.9782,5.9189,8.5229,10.0234,6.1718,4.1782,7.3022,9.3925,11.0501,7.3408,6.6197,9.5542,3.4667,9.0431,10.0205,9.8148,6.2411,9.1333,9.5761,10.516,10.8018,9.4033,9.663,8.9662,9.2589,13.6452,11.6375,9.1037,10.2461,9.1316,7.8648,8.7119,10.336,5.8931,11.2279,11.8427,14.4418,14.5103,9.4745,9.5724,13.2339,9.9847,9.4042,14.9938,10.5719,14.1527,8.3814,11.1545,10.5487,11.0506,15.0847,8.5222,9.1729,11.3515,14.317,12.3459,8.5799,10.1153,9.8987,9.8922,14.316,12.3316,9.0348,7.3052,8.4531,7.3354,8.2378,12.397,9.1154,4.8643,6.3187,14.5392,9.6527,4.2901,11.6877,12.4145,8.6027,12.5111,8.4068,9.7936,5.6908,8.5085,8.4532,6.8985,11.0493,9.1096,3.6827,7.726,10.6671,10.3951,8.1593,8.7929,8.0869,7.3994,9.0113,9.8987,11.013,12.9038,9.0053,9.824,9.0294,9.1882,0
13.0008,11.282,13.8445,12.3334,9.5671,12.2125,13.1966,13.1892,12.3684,12.4334,13.2724,13.4297,11.688,12.536,15.1121,11.1314,12.2779,11.4069,8.8803,12.7684,14.0695,10.4254,14.1907,13.8827,9.838,9.91,10.2049,9.605,8.3143,9.7236,12.6153,11.8079,9.8688,10.1341,10.1184,4.9916,6.6433,8.8293,9.7336,11.3267,6.8175,11.0784,10.5061,6.7147,8.5973,12.862,9.0561,11.5519,11.1838,7.4566,9.1993,7.1312,5.8371,11.233,8.1427,6.9973,13.2296,9.1894,4.8121,6.9699,9.1965,3.4389,3.6325,7.0898,10.964,10.5123,7.9622,5.6129,8.0959,2.6093,10.2284,10.7576,10.1242,7.4149,9.3604,11.2679,11.0517,11.7672,9.6112,10.375,9.1454,9.2333,12.2275,10.112,9.03,10.1706,9.5141,7.489,8.8535,11.2987,3.0058,12.3805,12.1032,14.1952,14.6429,10.6167,9.7103,13.1571,8.8086,10.0777,15.1076,9.8707,14.4517,9.4313,11.3342,10.7194,10.9842,15.0737,10.1946,9.3678,11.0838,14.4993,12.6995,10.1742,11.6638,11.0311,10.524,14.1058,12.9099,9.3004,7.4742,9.2529,7.9198,5.7853,10.4998,8.7216,4.5198,7.1072,14.6398,10.4704,2.8919,11.8728,12.1135,8.7616,12.4526,8.6124,10.1354,6.7289,8.8916,8.4384,4.9346,10.6579,8.6031,2.2428,7.1755,9.9439,10.4849,8.4807,9.3126,7.2204,6.6341,9.2223,9.0444,11.9728,13.8723,8.4131,10.0409,10.3934,9.8782,0
12.9759,9.9278,13.2597,12.2225,9.2582,11.9793,12.9041,11.4067,12.1468,11.063,13.1116,12.2478,11.6852,11.6695,14.8111,12.3332,11.3564,10.5652,8.9817,11.3515,13.621,10.1176,13.6667,12.5578,9.3948,9.4583,9.9286,11.2202,8.113,8.1538,11.0325,10.1207,9.6827,9.4028,9.6705,5.7612,6.7302,8.9526,9.4126,10.9941,7.4858,11.2235,11.0788,7.4258,7.9384,11.781,8.9611,10.7573,11.9477,8.4069,9.5212,7.9462,3.4871,9.6683,8.909,6.1744,12.2497,7.3378,2.8548,7.947,9.9097,5.1812,4.5916,5.805,10.3254,10.0052,7.8548,6.1981,9.6399,2.8862,8.7283,10.3608,9.8925,8.2083,9.0951,9.4444,11.6336,11.3866,10.2051,11.4296,8.1931,9.0707,12.4112,10.6883,9.4537,10.024,9.4407,7.8242,8.7234,10.7369,5.6794,11.1002,11.7517,13.7047,14.2541,11.5152,8.9192,13.2534,10.4007,9.2435,14.8264,9.7907,14.0286,8.9248,10.8538,10.8702,9.9253,14.8103,9.4378,10.2607,10.0201,14.0291,12.2347,9.758,10.466,9.7677,9.934,13.6173,11.8166,8.9647,7.5489,8.7871,7.5634,6.0463,11.0313,8.9028,5.0372,8.8791,14.2875,10.2698,3.5174,11.3238,12.1059,7.2021,12.5374,9.7549,9.0718,5.9755,8.132,8.664,5.1832,10.9761,8.0234,2.2697,7.2052,9.8565,11.0125,7.0085,8.533,7.4721,7.7089,8.4182,7.8684,11.2729,12.631,8.3831,9.5081,8.6739,8.9462,0
