"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
1279.42,395.861,191.132,564.74,116.419,388.594,1043.55,340.614,622.51,109.755,605.071,98.0945,21.7118,40.4973,4793.17,182.483,66.3959,15.041,159.376,522.616,3362.47,82.5808,2249.34,878.141,323.214,769.84,14.5297,53.4149,86.4238,538.303,15.7933,14.7942,139.197,178.42,181.041,4.86071,15.4039,259.054,229.174,129.399,22.4813,384.927,43.3908,3.32689,31.4294,13.965,270.621,7.39096,113.572,3.02094,113.561,52.33,3.42565,43.9153,111.067,60.898,281.942,11.5851,16.8227,159.181,359.581,31.5481,107.979,58.9509,134.706,266.097,55.0571,27.7683,334.426,8.62582,164.425,158.353,250.307,16.9371,356.943,1106.19,381.345,73.2922,370.395,210.453,1162.56,247.432,64.0747,40.8838,1386.42,56.5463,229.406,70.5525,182.644,72.8716,4.92656,92.2158,1095.6,2345.14,19.2868,176.072,78.4396,2839.79,33.5484,370.207,6195.99,4852.08,8.75775,159.389,441.88,167.017,4.28269,6452.05,17.4029,248.829,213.513,8.90475,731.01,107.898,165.015,473.268,297.771,2172.21,159.02,202.526,42.967,177.171,35.1685,19.6672,7.40206,245.627,23.4014,71.2416,20.2134,110.577,6.96238,171.456,710.033,104.789,1956.12,91.8527,52.1182,85.6023,137.961,51.3824,9.03568,488.695,77.8202,72.2848,169.939,2921.02,6479.94,104.159,279.492,102.77,79.4922,192.119,62.0137,5.83099,545.358,306.441,328.534,113.643,131.626,0
1629.31,343.668,61.4626,666.187,76.6906,280.902,660.458,200.545,682.742,75.993,236.179,35.8939,124.686,79.3408,13786.7,244.216,76.452,10.7497,176.993,371.328,2416.85,41.189,655.424,265.94,160.48,248.374,14.9092,115.428,190.147,472.078,26.0129,10.2338,157.708,233.632,60.7193,23.8269,19.0251,172.037,165.156,357.395,38.7641,324.496,61.5971,29.3545,23.1444,63.119,94.9405,22.6421,37.7392,77.6072,115.97,69.9407,2.5395,49.5612,257.752,41.7467,90.6614,65.6514,27.1527,93.878,325.017,23.9734,33.6005,17.4267,195.265,664.164,37.5378,16.2064,174.546,3.36346,128.217,632.781,510.406,179.757,179.56,1158.31,551.328,63.4474,105.837,83.4029,713.246,222.583,21.877,6.29429,3125.12,9.98212,229.476,49.6759,243.14,39.5649,7.20615,33.9399,952.592,509,11.5276,121.35,27.8735,900.668,13.6083,105.176,14356.3,1438.42,8.90424,61.7328,745.03,395.064,8.20673,15929,52.0606,207.363,179.469,12.0704,347,374.731,158.212,336.425,347.442,533.777,52.9765,205.615,23.2879,54.2773,55.172,9.94907,15.3403,262.694,20.9181,43.2364,25.149,147.63,8.14118,54.5149,778.096,110.907,3558.41,183.945,84.4155,31.8725,126.442,57.4839,19.617,601.621,50.3655,31.9799,119.397,833.827,1845.46,198.48,371.85,57.0497,38.7522,61.6952,34.4427,16.0245,103.91,203.455,271.913,212.539,137.995,0
1763.14,368.797,48.3391,1185.42,119.794,206.221,458.701,176.704,1500.87,98.5961,1028.07,228.886,92.1961,189.347,8678.11,67.371,91.8563,38.5512,128.194,251.72,5670.09,90.8901,1733.02,7291.14,83.6057,800.374,1.26677,12.2821,198.033,130.01,37.2864,34.4975,128.022,371.617,71.2388,16.8131,76.7094,329.66,214.093,1563.49,26.1029,681.173,81.336,23.8788,19.4395,72.3418,212.337,27.4836,163.88,62.0936,113.878,51.5737,2.40167,87.6314,111.36,47.2295,119.818,27.8103,41.6403,117.654,445.468,42.3815,184.041,76.2456,171.008,906.156,5.66576,44.5571,380.368,6.07281,260.606,993.996,541.784,307.97,390.301,689.063,624.734,14.1571,170.306,118.542,340.497,180.777,93.1987,3.56827,3800.14,22.7247,203.219,80.3765,136.373,25.7992,2.6967,19.5254,886.093,1509.09,6.89518,128.56,54.1387,1190.81,28.0779,67.1379,8036.61,2156.26,3.99187,26.9209,414.905,426.02,223.02,7851,108.734,334.751,331.119,11.0352,953.797,173.917,262.498,362.707,64.8552,1511.41,19.0206,316.569,8.49712,113.775,130.013,9.67682,6.43052,196.038,46.9348,19.5546,11.4711,549.39,14.5812,135.461,1119.02,69.7084,3942.87,80.5466,17.4438,37.8821,62.0444,73.2372,3.63834,581.008,182.553,50.5154,166.112,3729.21,1774.98,377.732,106.593,79.4835,82.9282,88.4751,22.014,38.4938,126.61,190.498,366.763,91.692,133.673,0
2435.76,287.18,255.204,1149.94,123.23,305.208,678.398,154.59,817.121,78.5653,837.798,321.591,144.345,116.305,13105.9,282.426,145.253,26.7987,160.914,304.346,6077.34,75.6116,1099.66,5343.33,55.1815,285.668,17.7518,51.1093,143.301,110.003,96.9964,27.2114,130.403,353.06,200.751,14.4284,59.3746,108.532,160.027,2086.54,28.7119,638.211,26.1399,17.8386,12.8701,60.5924,110.335,225.448,28.8181,11.4222,93.954,82.2858,1.80305,33.9295,156.263,25.0094,303.057,40.0978,21.8013,152.155,280.616,8.28441,284.74,9.58263,294.011,392.888,33.1806,29.329,185.217,3.38517,118.979,1625.84,799.07,700.884,184.368,270.193,1537.84,195.952,92.3613,59.7551,149.539,159.067,60.9725,22.7265,2014.03,24.835,239.687,88.0735,162.918,253.772,15.7324,106.796,713.882,967.358,421.232,111.513,56.0697,474.444,6.40744,115.138,12296.4,1475.1,313.2,18.6544,322.801,326.267,19.5214,11481.9,93.8677,273.665,87.4369,256.444,1645.46,216.218,251.127,227.655,471.27,913.328,123.373,349.607,15.588,89.7438,18.8587,7.28436,39.1696,88.0503,89.7505,185.704,383.289,534.658,7.41488,161.761,1278.51,401.653,5282.21,235.167,38.0283,43.7794,113.023,99.5596,6.60739,583.829,133.524,28.3071,118.047,685.068,790.73,293.269,102.754,142.443,77.4211,19.6004,9.95188,22.1563,254.428,122.179,209.549,77.8702,173.83,0
2256.11,670.975,80.6361,1011.92,175.823,360.628,890.512,153.777,1544.45,29.0417,707.55,231.278,3.07074,104.587,6785.7,771.792,80.3488,5.97831,231.329,1434.9,12438.5,66.2446,2045.38,3580.96,122.535,314.254,2.69921,81.8221,210.153,135.432,10.8443,6.23593,152.955,355.538,16.4842,16.0397,28.8226,61.3462,347.216,1116.63,40.704,1201.35,26.0904,6.48512,14.7811,49.3255,139.568,7.94015,80.958,11.3064,82.7202,72.5203,3.60362,48.5255,226.371,14.4776,46.949,59.1338,33.8049,112.887,429.023,29.6165,648.577,27.4222,1004.91,167.552,63.11,21.2345,137.044,5.63484,16.1192,534.753,396.737,315.213,243.342,1568.03,659.622,220.484,91.7975,67.3459,439.452,156.141,23.4082,18.2765,4964.69,28.1231,251.083,112.073,216.923,30.5038,34.4673,47.0978,1575.1,2036.91,7.00123,201.123,79.1762,559.658,109.362,85.104,8343.38,1875.41,6.173,50.0807,328.986,503.57,9.46006,6282.46,33.4319,249.867,247.396,10.0995,1137.5,134.022,109.147,183.331,59.411,1983.45,65.2378,367.917,4.95703,128.252,50.5376,3.65902,13.2299,192.482,15.7438,133.848,9.70913,519.984,7.23162,127.317,1008.87,293.239,4272,161.042,12.5595,18.6666,60.354,75.7299,4.55789,561.576,143.616,22.2759,128.075,566.122,1871.96,336.375,123.953,99.4472,95.4496,55.0884,37.9905,8.45529,49.9783,176.107,275.43,420.315,76.694,0
1516.49,505.033,150.894,648.31,63.0596,55.3794,309.964,153.977,1105.96,88.8491,612.383,188.537,7.38506,114.668,12030.6,217.137,97.3574,12.785,137.566,233.223,2039.88,85.354,892.575,344.668,106.16,330.46,41.3981,79.1461,172.178,416.996,8.79666,7.45199,162.309,436.775,194.099,28.3041,49.1039,109.495,222.026,254.491,18.0071,499.776,50.8194,7.66716,41.7854,44.4032,521.665,32.4445,197.378,28.4133,96.1186,46.5814,2.48096,60.1744,142.322,18.3813,95.4953,46.5183,25.6414,133.044,299.116,41.5295,127.829,14.4904,142.964,171.751,42.3092,49.2194,203.023,5.52735,325.016,518.78,471.828,117.382,258.337,394.91,1157.66,31.7193,134.957,83.2434,643.099,183.373,4.99393,7.83025,2006.1,3.30059,225.638,95.3945,236.644,58.3061,40.9041,17.3524,755.559,870.267,17.8701,171.895,12.9733,601.516,11.1399,135.001,13337.5,2324.36,8.93956,19.9593,311.857,256.303,60.7085,13799,45.3013,209.873,310.953,21.8148,334.05,116.575,181.292,164.459,212.423,873.051,50.9298,175.183,7.59259,89.3272,45.7587,9.90719,47.9088,153.189,23.9743,151.435,45.0984,203.485,34.7357,116.693,767.03,41.218,3355.4,143.385,20.2015,24.5225,100.235,53.9696,15.3289,252.002,107.599,28.9731,150.01,624.365,452.06,526.199,61.1563,37.1374,76.2658,32.0302,19.0132,6.55151,105.701,203.897,260.579,46.6891,55.032,0
2816.4,189.612,144.675,1063.77,80.1609,346.628,714.492,267.279,1902.43,296.328,705.98,78.9193,65.118,113.204,11632.7,67.0788,104.048,10.9977,241.579,266.356,2591.66,54.5262,855.686,3787.17,50.5749,442.132,2.6754,56.046,219.987,234.812,102.302,21.8545,156.356,187.599,134.57,7.58751,127.99,194.186,172.583,519.508,38.6404,518.934,241.489,9.48343,36.9916,68.6252,232.542,143.332,49.7182,26.1398,106.216,78.6497,4.01163,38.1306,85.347,20.4443,277.806,84.114,41.7734,294.501,365.373,35.4064,19.6165,17.2806,131.291,141.705,41.6701,66.3313,246.263,8.32153,258.958,406.374,379.787,165.94,156.286,275.073,408.207,55.3032,252.283,195.704,591.098,247.893,12.0453,28.9283,657.873,21.8495,216.23,39.4877,144.605,15.2949,15.8143,82.7144,592.25,693.593,70.6636,121.2,69.4787,1499.29,42.8638,163.628,11085.5,1600.29,44.2528,90.9578,286.205,219.389,229.199,11909.9,92.5474,279.355,216.599,18.1761,232.025,160.073,354.612,277.95,188.493,789.387,111.886,260.847,20.5664,95.1427,94.4763,7.81608,9.39183,167.342,154.064,113.873,85.0069,408.418,7.84156,86.4167,1124.79,99.7373,5474.2,133.164,23.2453,20.596,126.553,51.5741,20.534,471.667,187.015,55.5569,146.876,729.645,1731.41,130.437,79.8877,43.548,76.4772,100.556,10.2923,17.0572,311.033,212.138,313.876,42.0047,130.977,0
2568.79,104.127,172.354,1211.29,228.072,147.143,284.31,174.136,3107.05,41.9831,1036.54,573.744,2.93893,54.1408,11294.6,260.475,68.7379,5.51168,213.177,1840.56,2879.75,35.163,1230.8,546.616,91.4488,266.678,2.85853,51.8604,187.515,183.57,19.672,7.29567,251.743,183.832,96.7449,7.48555,41.2018,49.7754,222.489,576.457,31.9458,1024.03,15.3379,4.90426,10.791,70.4142,292.148,22.6521,56.5239,23.7698,67.6459,87.8532,1.67825,30.4755,338.937,17.2071,52.1746,30.787,46.8563,168.455,424.309,19.1858,649.826,9.96766,364.554,276.117,21.9794,19.925,593.721,6.49697,74.1949,894.728,582.129,379.719,291.931,263.935,940.174,51.0284,46.5707,26.4874,480.347,226.323,34.613,11.9219,4790.93,15.8524,122.38,130.494,185.577,39.4459,51.2224,43.6562,1064.36,1233.73,8.55132,291.735,310.278,1488,8.46274,72.8155,10854.3,2563.44,5.50221,31.8313,469.319,560.794,53.5344,10800.3,22.4511,280.583,768.089,5.21811,502.944,248.503,109.415,122.224,200.784,1136.16,43.8684,408.116,4.63578,226.624,51.6553,5.04119,14.7696,185.545,23.2412,118.762,16.7257,451.476,3.51679,31.4127,1274.4,20.8437,7134.74,238.602,19.9695,47.7467,156.186,90.6059,20.3899,660.513,142.624,10.2219,152.164,2252.74,256.228,543.02,134.576,62.3095,67.4535,35.4509,17.1806,28.906,73.2801,200.294,227.252,162.232,41.9875,0
3101.69,110.871,137.766,1529.7,265.221,376.679,862.396,204.879,1969.98,105.071,500.1,458.933,415.995,129.674,13501,388.632,110.664,120.851,240.708,429.418,5833.24,123.693,1597.08,1232.14,231.431,575.863,43.4084,4.89753,153.702,283.522,114.335,57.1489,181.082,325.464,15.3156,6.56092,33.7969,115.59,154.042,1885.41,39.9297,1012.91,10.2682,15.501,16.3593,20.5488,83.8646,391.934,47.9584,17.4466,60.4515,40.1465,1.83075,31.1646,191.02,16.7604,218.555,34.4563,27.2675,149.508,314.211,20.1049,156.683,35.843,507.59,723.141,35.535,21.1948,380.71,3.2117,73.7016,456.736,330.843,260.545,222.135,199.378,1778.31,310.611,65.011,37.9654,256.893,142.72,95.8544,27.8439,5415.01,30.6436,126.841,127.343,127.236,29.0689,17.5892,135.197,965.609,1485.3,187.318,168.117,65.5704,2387.22,6.01079,107.77,12038,1919.77,76.9225,54.1011,202.033,627.219,12.3984,11227.3,97.3776,250.579,250.494,78.6504,1654.34,256.802,360.387,220.859,89.1357,1507.76,46.2719,392.221,13.0629,113.359,14.3936,4.44586,43.2447,163.007,17.9847,160.861,104.208,1043.64,8.19662,69.7708,1231.07,76.5809,6041.46,323.889,47.1911,24.7205,145.749,97.4249,6.61245,829.259,87.6458,18.2617,129.465,693.622,271.193,899.267,199.96,61.5041,156.496,31.9476,14.9234,19.3858,250.687,173.134,168.425,421.407,41.6958,0
2858.29,296.299,160.368,2014.84,133.897,524.427,1088.62,82.5917,1371.35,22.7423,378.311,166.404,4.60543,73.9051,12541.8,205.612,83.6779,8.1944,373.398,129.325,3267.7,21.2223,854.511,1339.82,71.7044,219.011,2.17894,1.68236,209.739,89.9537,5.76583,10.4932,223.511,357.868,54.438,32.7542,50.4505,91.262,331.866,751.773,37.7691,1002.97,15.8767,17.0159,22.7748,36.3198,113.892,7.91737,18.1968,9.32875,147.368,20.4767,2.38114,49.5601,189.266,11.5931,47.7952,40.2943,49.2555,227.428,313.57,20.237,422.849,8.38015,287.806,57.3684,63.6023,11.6994,309.891,5.66083,530.983,315.316,287.234,96.7076,343.855,102.388,999.279,2.79722,37.9561,15.1118,136.99,155.433,24.0782,13.1193,2943,7.68413,256.386,151.296,98.6576,6.08339,146.921,40.445,763.85,783.651,6.60946,84.2482,13.2312,340.698,8.43591,76.1167,12955.9,368.238,3.52428,52.2825,353.681,220.746,11.0569,13290.5,15.2708,172.212,55.2493,7.09358,323.698,128.97,95.4242,171.942,235.061,690.71,13.1404,241.726,18.237,41.9818,15.5473,5.85369,11.2041,146.652,27.7085,197.157,19.066,656.587,10.9092,59.3707,850.51,35.3245,4372.39,138.296,10.2552,9.13579,58.0307,49.0443,7.13347,509.462,399.218,19.549,79.9623,217.081,326.311,316.746,85.3401,165.454,223.026,8.375,11.0304,7.65141,52.4661,236.94,201.949,110.236,35.6467,0
