"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
8.822926691,9.050215016,9.824960677,8.706242119,8.168594938,11.59473219,7.139111068,12.05701136,10.83338758,10.08687429,12.44355999,7.799760233,10.27911456,11.53919452,9.917080816,11.10231857,10.03789004,12.2961764,10.09211008,9.63010034,8.299478407,13.49377322,12.07991753,7.263786809,9.040824074,8.074085814,10.71787394,11.96958089,8.208039642,13.52075459,11.17063887,8.867300369,8.414842594,7.145139552,6.253796452,7.934470672,9.669665202,9.011451861,7.663538763,7.462973106,8.712078373,9.205435673,3.713994329,4.220459867,7.842299353,9.012475565,10.70468696,7.780036716,9.954327999,11.35491437,5.007137168,6.928306492,7.321403547,6.805535395,7.43946052,8.846077501,7.445674526,4.538049098,8.005663852,4.521219367,7.136696375,7.2053894,4.304053129,9.141103209,9.742377401,3.628118384,7.214636793,8.455012823,2.108951889,6.231951136,5.200008617,8.929114162,8.820968135,5.842498185,3.819344109,7.080225801,3.490352771,9.515250765,9.653376785,9.350823254,8.334675813,9.072918687,9.708911974,11.17102737,9.7755651,7.436631056,9.117690467,7.026116152,7.667825924,11.98192558,10.66483865,7.388971092,9.796237818,8.159477354,6.846285293,8.242973966,10.27862269,2.418513071,8.824362451,10.93804836,13.52505668,9.83271297,10.1743519,8.154925988,12.55012762,8.889651223,8.481653696,13.38094054,9.31729416,10.23800087,7.515553101,9.518168857,9.79312694,6.745049782,13.20689013,7.0224037,7.825022935,10.50156588,9.809509027,10.03709551,8.21393459,7.773488135,8.15611897,9.758679055,13.34403318,7.698680099,8.872482422,9.144442964,8.619922826,7.118498511,4.689218712,10.59936827,8.389358226,5.488992503,7.784825581,9.829885749,11.20424078,2.992405996,9.30797795,12.04813262,8.432444353,12.46143861,8.117374194,10.59268347,7.13344449,5.910327742,7.309733561,4.464501282,10.16152911,8.709162041,2.936674847,6.59169311,9.537291934,8.806466325,6.420986859,6.201726946,7.483516386,7.482096657,7.409414683,7.942264829,7.168894077,9.538128113,7.46510951,8.670296447,10.97130396,11.06341905,8.208865612,7.876320896,8.177489997,11.68332607,7.850543178,7.901897801,7.664685424,5.022651701,9.651064255,10.75004284,9.076147623,10.48729797,8.937665073,8.671432578,7.41446351,10.17540391,9.921467585,9.86135629,9.41641176,7.695540224,9.540175865,8.188156285,9.073305548,8.332259024,7.241058797,8.672545899,7.129328766,7.774393953,7.806702617,4.421304362,3.637921092,9.235729012,7.582559702,5.997684167,7.975690326,9.715682454,7.885001957,7.150650582,9.26622889,9.861945146,6.658003735,0
8.19006028,8.692349317,9.914705774,9.710348934,7.479153846,10.85262127,6.432786106,12.30589274,10.06567647,12.42120031,12.14821104,8.376366824,11.07192807,11.830254,10.30789182,11.06600969,11.52818863,12.47790045,10.85370083,9.93583431,10.40741985,13.42224036,11.6896886,9.660536462,9.760180848,8.229556451,11.10328337,13.31971739,9.058148313,13.39015231,12.39292138,8.9655825,9.41401502,8.110061563,6.794038593,7.166651865,9.705414097,10.54968414,9.088760691,7.332115939,9.229804511,8.045685794,3.599066309,4.067581024,7.661964662,8.396197416,9.199722698,7.423524961,9.778075938,10.86070446,5.831502529,6.649957474,9.689495756,6.532194554,8.415479097,8.493103412,9.571611466,4.487027835,7.591211696,4.587929277,8.491848801,6.809161472,4.296314445,10.7604856,9.503177111,3.43216231,7.51844489,7.960214762,2.197584431,5.693941534,4.54136683,8.140018313,8.369165983,6.472386787,5.726302329,6.65311968,3.809613574,9.933864752,10.24306963,9.387438105,8.402407471,9.527467939,9.318019514,10.24045893,10.35219832,7.366966196,8.716285735,7.603749031,7.679529372,11.82129881,9.942417617,7.120396887,9.948923084,7.869398666,5.455423657,8.481587221,9.633371269,2.437203407,10.88092496,10.84226726,13.3355123,11.74809711,9.091171876,8.558912723,12.3696647,8.649652704,8.478180824,13.3746601,9.698332022,12.13414741,7.526931039,8.992795563,10.29433773,8.623459639,13.12458499,8.482768979,7.264197159,9.67494154,11.64673561,10.42998367,8.200816055,8.463552988,8.354941363,10.29598795,13.19016311,10.02591855,8.306656183,7.233341112,9.062514818,7.248062532,3.760274941,10.36292164,7.692375255,5.324998885,7.292232674,11.75783736,10.8499913,3.44036143,10.29442231,11.84889757,8.224846597,11.5930831,8.474625545,9.614167013,6.395290037,6.703341323,7.091321872,3.988623356,10.35322295,8.325561818,3.628946721,6.94302158,9.785227002,8.888936227,5.352670968,6.865632684,6.889234227,8.288876696,7.878604794,7.077495521,10.13582041,11.08901277,7.442136073,8.61986696,10.31585785,10.4545233,8.229805631,7.318163219,7.650946482,11.04139016,7.274326912,8.544193772,7.776816929,4.671287056,9.739117326,10.22477943,8.432623678,9.898935363,8.580460825,8.936777819,7.071769109,9.585950697,9.953938642,9.022157271,9.449712346,7.180596914,9.001525331,8.027394539,8.453305449,8.433221824,6.661683128,8.585492897,6.453122172,7.950354127,7.845660994,9.284651317,9.912204843,9.149931881,6.477808998,5.089945453,6.907262358,8.968148836,8.04205573,7.068602861,9.129568703,9.37063884,8.332569909,0
8.541252824,9.392392012,10.13495952,10.76728103,8.211130098,11.41219774,7.02144983,12.04601276,10.75515469,11.18125012,12.52742984,8.461563584,11.47309914,12.03518683,10.53710272,11.10013531,10.48807231,12.21895312,9.922590324,9.401449212,9.210444881,13.39854521,11.38992307,7.758936066,9.577511691,8.449214267,10.84873273,11.79249949,8.819566419,13.59037588,12.13111726,10.10455831,10.40465233,7.373919207,6.095092566,7.723456507,10.08748372,10.70362956,9.23164633,7.915189316,8.673070747,8.136282431,3.559107576,4.168818055,8.495799051,9.239613485,10.61238353,7.814034265,10.28348214,11.49609088,4.125629688,7.818520409,9.255874998,6.598720855,7.690539137,8.614558802,8.032524579,4.328639181,8.437496147,4.836628077,7.970716718,6.67579595,6.988397559,9.786500509,9.664821104,3.241038346,7.697796755,8.53555022,2.212079616,5.465090786,4.353048535,9.053290821,7.962669253,6.170061415,7.462764011,7.407609793,3.317882355,8.600400233,10.18818536,10.14840164,8.983858252,9.124924365,10.11366448,9.667047061,9.898787559,7.178967832,8.094694695,7.603749031,8.052482424,11.93632321,10.37349775,7.297914706,9.419850726,7.982087854,6.570292306,9.627912281,9.597583423,2.546535312,10.13323685,10.28715286,13.53601791,11.70287317,10.07690848,8.113785274,12.35787461,9.152667117,9.783366015,13.32854502,9.688666836,12.12983493,9.020166028,9.384551286,9.156574578,7.448209288,13.14547285,8.085996615,7.894051769,9.654051794,11.66404478,10.43021143,8.100424558,8.038179515,9.071228232,9.143032126,13.37244145,8.22355288,8.776110037,8.375033204,8.945956708,7.795313767,5.84872802,10.4869761,8.413476273,5.282554314,7.423298748,11.66916534,11.29178653,3.370250712,9.507276422,12.17453261,8.88496425,11.80504322,7.780826237,10.35112227,6.461068747,5.936262581,7.213621685,3.370841125,10.52169611,8.144297704,3.791439193,6.479983593,9.397291332,8.349863791,5.601143445,6.569872895,7.226311847,8.659499276,7.810166065,8.175759423,8.352373365,10.08123029,7.428534891,8.631164319,10.7398677,10.8167671,8.441866606,7.97043551,8.334825977,11.30849635,8.312309702,8.770158711,7.774314741,5.75221052,9.534903273,10.68649043,9.099879001,10.42522325,9.196405692,9.159869232,6.60854785,10.01535829,9.696309649,9.424433791,9.500626114,7.609980666,9.409448551,8.226264919,8.128000234,8.949325655,7.335542362,9.158259128,7.156302483,8.222089887,7.710994939,4.34333491,3.637921092,9.894887903,6.776539029,6.648898185,7.83427857,9.265084441,7.980975704,7.364867151,9.016905525,9.87717057,7.398831806,0
8.611754069,8.722367139,9.002581592,11.87231938,8.223070143,10.97703472,6.484617578,11.77664912,10.51944719,11.44339617,12.31634009,8.721283287,11.40585935,12.15515683,9.993386965,11.34362948,9.820884633,12.00317245,10.49538936,10.12954389,9.450899029,13.33762038,11.38497066,9.562383,9.051061729,8.232299135,11.60914716,12.51172983,8.217568636,12.9088984,13.49472842,10.51071926,11.67876202,7.935459503,6.449645964,7.95151981,9.751207563,10.75984198,9.480828152,7.752447892,8.46235401,7.753134941,3.570654914,4.662093216,7.801670908,9.223588171,10.71455557,7.309807197,9.878192193,10.8939099,4.463583264,7.220371941,9.98393794,8.119164564,7.870818839,9.112558728,7.527565583,4.258368375,7.675957683,4.719016122,8.867482102,6.927774334,4.565700508,9.725909153,9.778143626,3.94120205,7.413240701,8.041599452,2.249220756,6.373785173,3.967945269,8.318950976,8.495441818,5.956825003,5.678837841,8.31792347,3.503397706,9.912657906,9.093703206,9.232420397,8.482768979,9.164204954,8.80295326,10.4636256,10.18909191,7.074321008,8.111353694,7.594087917,7.83236309,11.09465587,9.908603282,7.670367095,10.08461272,7.916151832,6.589069355,7.958496658,8.704762098,2.509723229,11.0961122,10.16874218,12.8430575,11.12108022,10.15777682,7.53558904,12.05612071,8.283583839,10.29197265,13.30704827,10.56147302,11.53824003,9.488064618,8.837980969,9.370938268,7.684136517,13.07270863,9.52242402,8.298811078,9.126359831,11.05627893,10.89391352,7.874222172,7.993566534,9.409948768,9.616194102,12.67603197,10.16254812,9.236509364,8.893867296,8.208869941,8.770657997,3.620258212,10.18777864,8.222030503,5.486336527,8.037114027,11.12473152,11.35455246,3.131956389,9.536455107,11.35432708,9.116765884,12.28097575,7.602425047,10.41210758,7.132785899,7.124913249,6.946316653,3.447845647,10.34313174,8.207946609,3.249312576,6.820779216,10.13242811,9.508997048,5.160724473,6.654096338,7.566361081,7.300619674,7.767482793,7.822574589,8.12309358,9.92463568,8.065610313,7.720927302,10.58327743,11.06791964,10.51618052,7.694836425,8.171093299,10.98933316,8.383846767,9.562950534,7.384015475,5.347679762,9.771658448,9.097478195,8.434589057,9.85603716,8.152973828,8.945580353,6.010038626,9.118263845,9.12465641,8.544605169,9.128983022,7.703531953,8.875899034,7.070140358,8.830200707,7.933058079,6.544772682,8.728529778,6.433393385,7.606395353,7.911243678,4.12461426,3.599066309,10.00693722,7.563313245,5.385347292,7.915722067,9.272065829,8.663943669,6.25814796,9.091447694,9.816438918,7.782466305,0
8.676922039,9.042408141,9.344722078,9.278843242,8.320709675,11.31122249,6.279915851,11.92323103,10.3634567,10.45704217,11.84381914,8.105676249,10.41199473,11.59080336,9.697810563,11.39280563,9.526351473,12.14473837,10.53927265,8.74087281,8.574935324,13.50384752,11.97762996,8.552243041,9.085358265,7.859613872,10.8159053,12.30467679,7.353170736,12.796838,12.1350601,8.516837768,9.113065802,7.497596841,7.53151073,7.807378453,8.857237277,10.17382654,9.119510586,7.478207836,8.821038199,8.516774895,3.745469148,4.457017415,7.277302501,9.578985287,11.06392399,7.506890122,9.470456856,11.52300497,4.501016605,6.791947443,7.822553898,7.121915029,8.631927846,8.131047535,7.262608993,4.013618704,7.884968171,4.472585252,8.321708863,6.426637969,4.625543843,9.459731594,10.06282493,3.767999319,7.463309123,8.3493611,2.164915462,6.551304638,4.442869582,8.073741401,9.079086073,5.740923748,3.974865304,8.011189539,3.354507399,9.34969931,8.698988109,8.718385607,8.302395844,9.186544304,9.08128015,10.7302944,9.753821205,7.621806306,8.897931989,7.41461271,7.557447881,11.15211458,9.607829657,6.435207075,10.08248355,7.925645433,6.812588089,8.582201674,5.335115634,2.546535312,10.18390115,10.28541497,12.74079407,9.785288152,9.709463607,8.016928437,12.37685081,8.881171236,8.001485505,13.41443268,10.659454,10.19174335,7.132392333,8.733258568,9.953943182,6.511445402,13.14274043,8.362438515,7.543136917,9.844205572,9.752842094,10.08764935,7.869996815,8.572743551,8.518967137,9.768563156,12.55605178,9.140773329,8.996361213,8.914209996,8.242244709,6.579333819,3.591751073,9.519699115,8.22377702,5.770891835,8.266507037,9.852639229,10.5305467,3.10699739,8.982569129,11.71941874,7.767380759,12.17007329,8.116210398,10.45294081,7.095998256,5.723738812,6.513180173,3.863994464,11.0575911,8.452440419,3.294523017,6.887625223,10.3012108,8.917279496,5.601143445,5.968102779,6.870324637,7.399708366,7.213952924,8.403177246,7.126325061,9.737462508,8.564871168,7.976556495,10.8120659,10.99472274,9.992477704,7.798759109,7.989796233,11.12417925,8.355192034,8.477023167,7.583234866,5.001058309,9.424706235,9.682538772,8.181319001,10.1161847,8.023146297,8.84906205,6.021158473,9.569111815,9.489310874,9.139418987,9.19280322,7.291498835,8.638027052,7.817723049,8.359367899,8.367162282,6.610819754,8.669379476,6.55964784,7.71834774,8.078426889,3.848943001,3.279080287,9.759092193,7.548250697,6.384691561,8.529408406,8.893472136,7.872379586,6.886135953,9.380641754,8.994699125,7.437829854,0
8.251752232,9.573899515,9.721359222,11.54561218,8.488957595,11.41346681,6.421699599,12.0019667,10.27612006,10.21359582,12.16908064,8.773425811,11.12101827,11.90579165,9.810443483,11.86706188,10.48103092,11.67395863,9.138206149,11.10668097,9.402626315,13.34937368,11.75202037,8.289418789,9.719400803,8.212328554,11.49854018,12.38129248,8.569325179,13.6592249,13.28484036,10.9269881,11.08293493,9.834868772,7.323793389,8.787490151,11.0438267,9.867258954,9.023894151,8.009248479,8.646347141,8.169640369,3.993897301,4.584034764,8.402380952,9.061917203,11.37905656,7.45727111,9.826444773,10.93421203,4.2715137,7.223747546,9.697153979,7.465205576,7.025188216,10.0302721,6.432981443,4.171209501,7.812445637,5.032825326,7.590120303,6.738840314,3.639064181,9.022387238,9.902166911,3.970739802,8.033828596,8.899297425,2.154484327,6.324456632,3.475073938,9.10906537,8.840886258,5.691074757,4.397168062,7.790221216,3.490352771,9.34293745,9.301844337,9.327464655,9.420628238,9.342917972,10.1201192,10.82964047,9.90769452,7.514028045,8.541354307,7.510733182,7.814244797,12.05661751,10.7843226,8.028440437,9.502116414,8.281201142,7.561466102,8.78573204,9.556561972,2.662701989,10.06745679,10.24747285,13.60178707,10.89902868,10.20446572,7.052616791,12.45976575,8.886374557,10.21238204,13.29456687,10.68721487,11.20273122,9.495433118,9.676679071,9.175642184,6.892449522,13.0457367,8.328963445,8.142622489,9.71998369,10.8416623,10.86857077,7.823168119,7.208301651,8.532411572,9.694850539,13.47770026,8.977613416,9.481419855,8.605690159,8.663792092,8.137548826,5.705116625,11.35766103,8.575067061,5.434642562,8.680177768,10.88576972,11.53617731,3.49118353,9.23209984,11.63441251,9.871148769,11.79405004,7.870407886,10.45238381,7.401998585,7.05609909,7.036182817,3.808473364,10.23107123,8.827301273,3.424673927,6.680047703,10.08048004,9.235846704,4.166578761,6.49666957,8.040932087,6.997457139,7.247571003,7.166756425,8.008650925,9.291877485,8.49214829,8.006362411,11.08800192,10.88767957,8.40005542,8.344781007,8.534784031,10.95765599,8.080791874,9.366996053,7.330675248,5.409613934,9.636806932,10.33997859,9.215083399,10.50870756,8.954705666,8.938653993,7.390659101,9.390584486,9.364441846,8.970177475,9.177446931,7.35498001,9.55710179,7.875336661,7.554130914,7.796193238,6.348261958,8.673175704,6.616850613,7.452314239,7.794956501,4.289669991,3.351413169,9.371587435,7.751192278,6.857896168,9.142046449,8.815779527,7.623079171,6.771998375,9.254175904,10.77429346,7.607299266,0
7.763659667,9.207153327,10.76584455,11.07902802,6.868989852,10.88096119,6.449464097,11.80676661,11.44353773,11.35029394,12.21357595,8.445940495,11.61503959,12.14654934,11.19880271,11.75714763,11.51323649,11.98830846,10.25354064,11.3194691,8.320701064,13.80162007,11.46391082,9.097934667,10.07705705,8.481734854,9.979375774,11.75421667,10.25931068,13.75038177,12.50575218,11.06046387,10.72562745,9.580959389,7.462325622,8.24449879,10.71281235,9.856054283,8.367518142,8.623177865,10.43904054,11.69544379,3.759668459,4.350623183,9.242873196,8.612224938,12.00942061,7.390640806,9.946044713,9.905397538,4.463583264,7.129355165,10.7765779,6.890623316,8.068419219,9.723724835,6.623798389,3.778863168,7.001256355,5.057013066,7.723424325,7.471456264,6.780588406,10.20500167,11.6580873,4.22173434,8.306191158,8.488323138,1.954412657,6.638643843,3.901177049,10.06856267,8.744173449,7.438332301,3.987834856,8.2839424,3.358823909,8.090398111,10.2256979,10.02889689,9.538528825,8.60938007,10.63333022,10.71950554,9.35444041,10.23733544,11.20860444,8.828899165,7.247583677,12.61347633,10.99152696,6.660214649,10.3757711,9.411643428,7.397338155,7.810233997,12.70024615,2.3272787,10.38552989,11.10884743,13.70031438,12.48114639,11.19836857,10.31817057,11.83446272,2.288868353,9.632917832,13.81829759,10.2901111,12.79944495,8.72953125,9.792041313,10.23565639,6.98419122,13.52891886,8.397062781,9.472756288,9.949508599,12.46297891,10.31616877,9.293409033,8.108544302,9.512610345,8.263086456,13.58862779,9.537899187,9.494811347,9.123538513,8.965227301,7.785743337,6.023411338,11.62285473,7.8640128,4.753888206,8.060661913,12.55536679,11.15957387,2.649442693,9.42193893,11.45199878,8.157265656,11.545634,8.045446852,10.85258805,6.701179872,6.971914812,7.758999222,4.917254654,10.0701668,8.36529379,3.749919284,6.185913153,9.824829844,11.5029408,4.783099335,7.883888015,7.799449164,7.056655157,7.160706006,5.931559551,9.729300393,10.63487651,8.40749237,9.325785983,10.26552778,10.9392677,9.79907891,8.136002028,8.865397533,11.0789223,6.572131489,9.443924999,7.359348655,5.918677033,10.38728084,11.0674745,9.469880149,10.85596401,8.119959939,9.546943251,6.494100904,10.62686035,9.327080487,9.719058489,8.439299444,7.478196847,10.55091703,7.976808643,8.864871179,6.702945892,6.577748338,7.922018086,6.476635451,8.648052879,7.533680678,4.413433399,3.685946697,9.985256434,7.711578216,5.523700082,8.098037447,7.510952064,9.460675,7.079448159,9.365482573,11.10227461,6.97992081,0
8.68182965,8.901778836,10.03572516,9.783829011,8.364603078,11.48461278,6.235118484,11.90244305,10.50937929,10.67248364,12.22741164,7.725873135,10.6978083,11.64888517,10.27115991,11.98650007,12.83056941,12.19213409,10.7043781,10.23932312,9.003920742,13.53464147,11.72322648,8.340972779,9.755273114,7.790991371,10.57059529,12.3671072,8.329066769,13.28301172,11.7957022,9.706572471,9.702184811,7.94489944,6.958233045,8.038752083,9.803711925,9.784057177,8.54948607,7.165847306,9.093656127,8.525186384,3.651701758,4.460812056,7.99395928,9.021746392,10.80892326,6.920589001,9.619971047,11.71636521,4.85232805,6.802505598,7.932555218,6.485056738,7.741244093,8.950119851,7.824897245,12.78548114,7.788411684,4.274224549,8.125235843,7.035400561,4.339294311,9.45490213,10.14939049,3.613167265,7.413240701,8.369196044,2.303150416,6.719776407,5.2728868,8.305570587,8.856261396,6.088275447,6.337598143,7.449737734,3.544155965,9.360615065,9.106525915,8.476709417,8.213984671,9.581486311,9.887877419,10.58772882,10.11379319,9.090438839,10.63276849,7.872584199,7.407668967,11.91977047,10.40529127,8.506742803,9.732829435,7.790991371,6.355637539,8.757357787,9.512951769,2.455275269,10.4518213,11.1363344,13.23846391,10.39339797,10.58676434,8.47980068,12.35787461,9.033822336,9.610382155,13.43420387,9.756123173,10.76536711,8.871514188,9.332658024,9.757728109,6.871979581,13.17158449,8.482768979,8.185209002,9.986141499,10.22678185,10.65967005,8.348329452,8.536339188,8.110630347,10.1751828,13.04565849,8.940346111,8.650004986,9.121896955,8.809737056,7.575496275,5.050652958,10.53353123,7.685763695,5.176410164,8.256541861,10.43913297,11.27969768,3.242233549,9.523837012,11.85768626,8.52229139,12.05595709,8.144014077,10.60143685,7.095998256,6.471028673,6.728964982,4.471938749,10.10901741,8.081368901,3.22787169,6.626205865,9.560861229,8.843270974,7.233367237,6.846892655,6.416700145,6.172330616,7.732075017,9.550108232,7.50907821,9.623083566,7.09094018,8.692674975,11.04516088,10.18562748,9.457559825,7.844697406,7.911170916,11.12624678,7.861283751,8.733832759,7.859868777,4.845858399,10.01130374,10.4131111,9.592228655,10.29727243,8.340943465,8.955573392,7.074263026,9.974137786,9.354558685,8.601637138,9.39189654,7.475951084,9.534922378,8.416584133,8.709676171,7.898501331,6.840084067,8.256426627,6.518619065,7.446509261,8.090973546,6.898482425,7.758881784,8.948699925,7.054323041,5.715010275,8.480477894,8.530660034,8.242116622,6.9390068,8.947655623,10.63977625,7.375925504,0
8.887737541,9.081644356,9.411055884,10.1855228,8.518090529,11.63639062,6.83311014,12.03511676,11.16953276,11.35013273,12.36920386,8.605306649,11.30290363,12.09800329,10.31045349,11.08772806,10.78567678,12.39984238,10.20540209,9.524001285,9.740161737,13.84974017,11.75505011,8.441022492,10.41289149,8.286879886,10.82902694,12.73707283,8.189033232,13.33442278,12.33667635,9.537379465,9.931663057,8.043153976,5.511832544,7.948242946,9.608310599,10.19110899,8.764481006,7.473627301,8.90205125,8.615810655,3.773460223,4.766083821,8.03618504,9.47581859,10.11009779,7.309561197,10.04553283,11.65570445,5.462361961,7.388639424,8.558677415,6.760706381,9.017755852,8.237941752,7.679684586,4.376846077,8.15808032,4.719016122,8.272876059,7.121582276,5.696721285,9.939068794,9.65666018,3.640960468,7.179279887,8.599443028,2.465969007,5.575170173,4.386699294,8.237840965,8.683721019,6.770467811,6.723472119,7.003696538,3.602606245,8.895518623,9.811906687,9.281147335,8.555972472,9.272259737,9.903492354,9.958997782,10.66035578,7.262989152,8.451216657,7.507688254,8.280493963,11.82529898,9.853464213,7.467483525,9.770389375,7.586016596,6.462234082,8.706470168,7.380134545,2.615555537,10.45786683,10.55715451,13.31664184,10.10058337,9.263407072,8.562406763,12.04582341,9.126675262,9.366431362,13.79731908,9.010170341,10.44088531,8.448093626,9.667137266,9.554948878,7.756732208,13.49924892,8.594262214,7.69585865,9.910416894,10.05970096,10.28148088,8.598208369,8.605785544,8.740930703,9.233814312,13.11918202,9.065343236,9.272560699,8.416881124,8.439259323,7.311649766,4.888234663,9.990214938,8.762737236,5.217406941,7.592312252,10.1943897,11.11026315,3.239384235,9.679384768,11.78584856,8.685559115,11.95878278,8.140408806,10.65466144,6.735473439,6.840551373,7.399800581,3.863994464,10.27049819,8.381414559,3.405946736,6.70084091,9.143486112,8.362411264,5.631356261,6.935129535,6.820268349,8.786338418,8.207728366,8.48813605,7.752669191,10.17257429,7.37251441,9.388059852,10.96727005,11.04633934,9.857139283,8.064076377,8.360723126,11.36651682,8.251133698,9.12250273,7.662525824,5.374084662,9.54841449,10.17767906,8.564811294,10.26417259,8.700463999,9.233057377,6.662278076,10.21188919,9.789745007,10.0686707,9.207354447,7.610853015,9.305013668,8.198864017,8.083425673,9.080070053,7.568724111,9.104180258,6.925291361,8.061884204,7.393915532,4.533579271,3.429141045,9.857909096,6.472601517,5.400860351,6.786035762,8.845852657,8.386036354,7.510805005,9.251705437,9.880037556,7.632083347,0
8.192266503,9.890886411,9.209283739,11.06415036,8.281674052,11.18487803,7.343369248,12.09498167,10.95467727,11.97108207,13.27422335,9.141104278,11.90775225,12.54999487,9.995451376,9.420645693,8.565525285,11.81875773,10.3710443,11.36556077,9.422722076,13.64987816,11.98701944,9.652474024,10.10136134,8.66013289,11.2799628,12.04544665,8.857625648,13.3978538,12.79810638,10.88656659,10.6500021,7.36903007,4.410079456,8.880013038,10.88723237,10.70899285,9.135422915,8.352967628,8.365434464,9.351985293,3.708449746,4.745272305,8.746134473,8.993783347,11.02203582,6.727785902,9.259342109,10.92462106,4.312512196,7.340586056,10.52571972,6.740406643,8.93829939,9.126820775,8.723028126,5.35418905,7.657736984,5.354571891,9.118734665,6.44841837,3.853922511,9.590974339,10.01151661,3.871034261,7.369161213,9.129111193,2.69577767,5.942361356,4.304847035,8.317268861,8.764303175,5.666974305,5.294580532,8.042015205,3.45799253,8.578093191,9.324722459,9.021150063,8.529848276,9.262945217,8.985728789,9.322025882,10.82432792,8.435481181,9.924325728,7.661115385,7.93735142,10.3008664,9.872938264,7.858478131,10.6430426,8.034337448,7.374383267,8.318868869,10.28220728,2.6889703,10.60859408,10.29102475,13.35207415,12.007525,11.34681306,6.819049253,11.77665523,8.241044012,10.75074076,13.57697415,10.12972134,12.44718838,9.979265113,9.573725821,9.836879792,8.040530175,13.35165893,8.803722517,8.849338686,8.737432288,11.99353075,11.68821179,8.031746004,8.729447634,9.15870328,9.14966478,13.18017702,10.33254057,10.13575085,8.381271789,7.846529755,8.128382072,4.834834033,10.23834637,8.674043204,5.488939626,7.138579107,12.0386161,12.54577061,3.282061367,9.52173404,11.41362693,9.908703347,11.86639689,7.498844585,9.950003413,7.571765823,8.082715284,7.444762837,3.986450714,9.796245498,8.252997128,3.61657338,6.787041902,9.764522545,8.651316047,4.956190668,8.280960738,8.220128896,8.597747033,8.90625496,6.684729943,9.134381958,9.882041974,7.454562525,8.041079465,10.46316676,10.56789937,10.01795535,7.710625091,8.623574371,10.43629264,7.997623971,9.452992712,7.495208343,5.917055308,9.450009796,9.616279753,8.987718888,10.14884482,9.095165635,8.955960791,6.054344857,9.597867776,9.496633417,8.517703278,9.755884756,7.152509179,9.439552267,6.924241596,8.086669364,7.446998719,7.352359736,9.426383948,8.414266238,7.974636742,7.795519021,4.961575538,4.455924689,9.795367531,7.714605033,5.538419014,8.064690686,9.319182766,9.211768021,6.449676942,9.482323964,10.90988536,8.30127107,1
