"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.400499187,8.78297425,9.786221618,8.849378346,5.005262651,10.88110026,6.37464073,11.80247593,12.66039609,13.32182527,12.51850547,9.855426615,11.8951213,12.7128354,10.61506779,10.4395632,9.269209364,11.64028869,12.14684818,10.73739204,11.66446559,12.95299712,11.08166693,11.37705577,10.58728117,7.682382269,11.32985686,12.77838349,8.462206948,13.35354592,12.54189929,7.775025518,8.591784775,7.929471999,6.932534999,8.473412191,8.965759674,12.08674916,10.55285204,9.47772003,8.73866222,9.102999061,3.213587973,3.34192488,7.826774416,8.933312993,10.78971356,6.215473315,8.586623115,9.23181625,3.129088025,6.322913872,11.7657397,8.101062065,9.640157534,10.30737003,4.468289974,6.606444761,7.238333945,3.641766854,8.395591961,7.164757177,3.492622625,11.14224138,8.406855037,3.064549935,7.057498755,7.998111451,2.745904788,5.328621228,4.483226448,9.423135433,9.049163153,3.215412066,2.770120059,6.625406231,2.571570349,7.699135901,8.930586317,9.031151291,7.865250105,8.562470152,9.583868574,10.53707087,10.79006217,8.056800308,8.56169798,7.547020197,8.146983646,10.24275389,8.959820284,6.522254083,9.261496013,6.625237582,4.460774428,7.640981753,9.810612312,2.806328409,12.3054736,10.02630409,13.29883633,13.44199547,9.834586123,6.676304558,11.58006168,5.541983416,9.481586842,12.97324272,10.24127332,13.34281896,8.701134761,9.68364401,7.98136835,11.48126488,12.97388105,10.0411084,8.491381232,9.32115816,13.19243096,11.73490492,6.610488438,8.535654712,10.63546147,8.596991815,13.24200223,11.58235116,7.553629051,8.985160516,8.167555789,6.947237122,3.283479461,9.181252688,7.746948796,4.700829978,6.706041115,13.50253286,10.26985433,2.953961537,11.05121639,10.91316288,9.520489586,11.59279352,6.751957859,11.59337472,6.516427752,8.266610821,6.432281957,3.076191213,9.171801342,7.284247917,3.751173217,4.773661135,9.434334667,9.930417997,6.145527558,7.142463973,6.293268483,5.052932915,7.506012851,6.873425963,11.74984737,12.08231676,8.191702951,9.411050972,10.22905117,10.13048232,11.80429252,7.456017287,8.270064151,9.579691849,7.661623415,9.121521781,7.120439136,4.910719939,10.49598647,9.878493403,8.26610703,10.37581386,7.780560798,10.10106503,6.942091336,8.579999121,9.24953918,9.127129925,9.159719488,6.915591733,8.940060971,5.103668352,8.275627604,7.099646725,6.15618463,7.310221975,6.523218602,8.739662581,5.713687465,4.160774176,4.651980236,11.22763894,3.58920554,6.808347563,2.617735731,8.710186741,5.785560161,6.304976538,8.885939229,9.787192522,8.546231557,0
6.675420567,8.461372636,11.013966,9.189869669,5.316574039,11.09176307,6.235018966,11.34953145,11.37201525,13.44346653,12.40263586,9.729544188,12.5184616,12.94060545,10.9826842,10.12646235,8.75845731,11.63492437,13.07854915,10.54130279,11.90985124,13.08363938,10.17080518,11.97369138,11.6971032,7.789670403,12.504486,13.41380033,8.773013733,13.2578535,13.13895174,8.325084736,8.652349263,8.58465488,6.517675055,8.214177886,7.920311195,12.34137473,11.20006728,9.058132344,8.574559136,9.270806031,3.057236201,3.622434797,8.211665447,9.169136757,10.04772032,4.952461256,8.969006103,9.97223837,5.304226002,6.829281935,11.87867918,8.078308276,10.815481,10.70906261,3.395263671,6.896603866,7.146970101,3.611600258,7.942252016,7.144155468,3.883501728,11.74362758,8.097966395,2.812348091,6.386182998,7.73522162,2.534273961,4.651352418,6.127296056,10.38857848,10.66812434,4.374830566,3.120608199,5.745819512,2.852167346,8.823212067,10.08479137,10.05049447,8.565876484,8.043161406,10.40053426,10.39212527,11.70530107,8.379341259,9.625074898,7.391511421,8.532263711,9.270316825,7.557900441,8.120984484,9.69232512,7.117901802,5.013524345,7.044652987,13.04864331,3.00966666,11.66171998,10.30609449,13.19531043,13.68315074,10.52567584,7.538021799,11.52330333,7.664350849,10.11061187,13.16938041,10.12833786,13.74074963,9.507570002,9.707389249,8.670445877,10.79981237,13.06566767,8.951416352,8.266542084,9.204020756,13.55726113,12.08561011,7.346047253,9.782975175,11.49444196,8.974425974,13.1140589,12.26817432,8.1677813,7.996493944,7.968476033,8.385840372,3.313319025,7.872733113,7.178755302,4.327811949,7.759701848,13.75334529,10.1106505,2.967885657,11.23324446,10.98353033,8.558858466,11.65391883,7.019421503,10.34129028,5.725980087,7.803642645,6.952618717,3.07362959,9.298446332,7.18415534,3.79829806,4.281655103,9.701452679,10.62408115,7.493189028,8.155190236,6.240655567,5.050204171,8.190657742,7.408800615,11.7337337,12.64623685,8.252225136,8.497270906,10.14065037,10.423196,12.14032222,7.124833975,7.549601194,9.878413437,7.790175028,9.516067125,7.641652117,5.133358117,10.21054622,10.95530564,9.089207614,10.04529178,7.703185835,9.94855422,7.106119562,9.055995692,9.600253958,9.273384584,8.948467664,5.749896439,10.62205527,5.77337018,8.041126455,6.608224707,6.027055497,7.499432112,6.232674703,7.308566818,5.647047747,3.148265825,3.19037258,12.21979101,4.091710499,6.877183149,2.599772812,9.491072162,6.19047915,6.859243782,8.892316334,9.964669099,8.708271583,0
7.237998518,8.420851473,9.559639356,8.620486804,5.490861671,10.32521653,5.683812876,11.62742387,12.7351125,10.50659189,11.65456849,8.629538686,11.48998328,12.41664254,8.836323619,8.176391982,9.575470937,10.32061775,9.498566624,10.6878621,8.058065607,12.55900847,12.17900209,8.967404318,9.305796659,7.954313547,11.09649337,11.08471094,8.040038921,11.83540796,11.85024822,9.317108179,8.380694319,6.211987949,6.57203494,9.435164704,9.74177047,9.960445277,8.19096938,9.052659993,8.89887102,9.291217537,3.249505127,3.36126911,9.979560151,9.247457442,10.72594608,6.898130456,8.530679922,6.194580039,2.866153233,5.180092311,9.357017073,8.927917378,9.68922793,10.72385804,3.899263673,5.405213593,7.141976329,3.116950577,8.463786763,6.995091387,3.736372041,8.850820276,9.852403219,3.284508223,6.112697075,7.660195457,2.275046721,4.949486261,3.934303714,9.495412901,8.207005729,3.561686472,3.106536372,7.692202828,2.664929009,7.648538944,11.13658431,11.01454764,9.820081014,8.375517157,8.474065875,9.370929666,7.829983865,9.938300187,10.14857484,7.391796808,7.773242885,8.729179248,7.556350397,8.417991416,9.163058971,8.062431767,4.994161164,7.32217349,10.2344687,2.616472394,11.24761513,10.80688604,11.74206896,12.19664724,11.71982027,5.851548434,11.68755045,7.195806693,9.489912602,12.59194303,9.723529038,12.41238279,8.737274251,9.949687291,9.544820928,9.033303811,12.50538481,8.076315596,10.01394953,7.927398221,11.90595002,12.44293267,6.927279422,8.822602129,9.657537383,8.798953319,11.72270302,9.133743409,7.224457532,7.373888784,6.946905715,6.842966916,2.931022906,7.313424379,7.571268488,4.102281551,7.2120857,12.15461388,8.725141746,2.937981899,9.867852497,11.32951677,9.725866931,11.52050583,6.38826072,10.07449328,6.152114269,7.184876677,7.20749005,3.958670199,9.389710817,7.304980321,4.187223022,4.101853218,8.723702749,9.802480107,4.221945323,8.390259106,7.110103246,6.822570555,7.461019346,5.520523332,8.215625012,9.880669097,8.709048335,9.083466949,9.542747913,10.30900002,9.501563135,8.066901287,7.077586792,10.62967437,7.115847476,9.51031226,7.358101485,5.304372124,9.529491141,9.089945168,11.85663753,9.877316117,7.667559977,9.267623568,7.540746821,9.533698439,9.377057988,7.713279007,9.679162538,6.718828272,9.396455897,5.970900103,8.082527253,6.306102189,6.934482344,7.205430804,5.773136032,7.507280798,5.630108284,3.251230157,2.899954672,10.62899598,4.484118747,6.432926843,2.566442495,8.011168462,5.023950122,6.833846206,8.324661491,10.21323988,7.043371818,0
7.367492857,8.837626829,10.45657861,10.65723794,5.041418038,11.40279891,6.888850852,11.84760059,10.61160404,12.9464954,11.87520117,9.100084802,12.43108373,12.90424046,10.46390202,9.955847716,9.846587024,11.68797899,11.63907359,10.62145253,10.99628301,12.75287576,12.68427101,10.91095142,11.50643,8.36511842,11.54656159,12.91030893,9.539780439,12.74667818,13.23475102,10.3837486,10.29797801,8.131163359,7.39865083,7.689475639,7.969578565,13.20598666,12.58315532,8.736426052,8.991417884,7.997387158,2.823865333,3.215755821,7.732352415,8.996572902,10.87230352,5.979307885,9.181814945,9.339764191,4.110209443,6.909409425,11.49251135,8.101205484,9.50352567,9.604517394,3.794437328,5.374771655,7.824591862,4.07852418,9.333183503,7.095529291,3.356790764,11.14219162,5.587118629,3.274204935,5.168071793,7.989604867,2.853866782,4.803392439,5.122984609,9.693950699,9.57408405,4.425933783,2.836830567,7.224823897,2.741882274,8.902394795,11.10439005,10.90386885,10.05700283,8.810051076,9.649148484,9.977978465,11.62922246,8.340507333,9.64103019,7.302141503,8.293099843,11.06699521,9.86373799,7.343083971,9.346539682,7.790430213,5.22488146,6.74242135,12.18416462,2.467458181,11.48603472,10.59303654,12.70745192,13.36713883,10.93698812,7.343247403,11.26189082,6.412234995,10.41540435,12.89811667,9.797326278,13.27813151,9.97386788,9.27766061,8.678508279,9.810546417,12.72319029,9.261004634,9.131591606,9.063513297,13.10162194,12.36748011,6.969296965,8.526566869,10.77736263,8.669695562,12.56910639,11.29018653,8.358929761,8.470649519,9.318967003,8.285215241,3.814773726,9.88246526,7.274567583,4.478401512,7.629400973,13.37846163,9.975672881,2.938547029,10.55969929,11.69569146,8.766133994,11.93819973,7.330918491,10.65711998,5.67362963,7.735008928,6.421046097,3.033331373,9.413670955,7.386285346,4.491207524,4.541797437,7.515034797,9.688332927,6.13144656,8.488512515,5.470720643,5.127120771,7.630720776,8.362401006,10.92741861,11.96549968,8.350572856,8.640795051,10.70425424,9.972761311,11.83490657,7.485923612,6.900410435,9.459309126,7.535566882,9.183520361,7.518578836,4.827224851,10.16117721,10.37196883,10.7289761,10.5738887,7.083963527,9.296468357,8.329609915,9.868365512,9.857176592,8.182011795,9.283934007,6.084043078,10.37418101,5.914933199,7.512759381,6.875531125,6.432261634,8.118558761,6.437199535,7.053026517,5.85303785,2.944163045,2.894964772,11.37654215,4.390769045,6.904133363,2.544564998,8.938326539,5.030699563,7.404878554,8.261551346,9.301989193,8.09100549,0
7.496572201,9.270514161,11.04279622,8.726114987,5.339655369,11.83310343,7.1052262,11.61542942,12.13201678,12.78794173,12.183057,8.474901157,12.36502648,12.82199323,10.06914812,10.58962591,8.789662999,11.87202551,10.93376271,11.33388222,9.341779107,13.16964085,11.54795054,9.949687806,10.64305084,8.361330252,11.67308087,12.49883867,9.19712283,13.04129436,13.2871437,8.659358696,8.504404443,7.149655351,5.776684177,7.643828479,9.218130836,12.14312299,11.10031033,8.856863597,8.545057889,8.202404397,2.87754884,3.804623149,7.75997766,9.31814555,11.35551315,6.144835252,8.706315602,10.08397508,2.963391961,6.893455768,10.24517639,8.366509831,9.209253836,9.518278634,2.924423137,8.049417813,7.382211305,3.310325511,9.633832148,7.341709933,5.833479696,9.90185171,9.923970137,3.476471984,5.446798791,8.507410284,2.469928814,4.443144345,4.05165544,9.940487028,9.668935772,4.126575393,3.000922758,6.479747218,2.456747276,8.020966983,12.10969663,11.36001119,10.84303145,8.938045082,9.95375501,8.920314506,10.16529264,8.488923465,9.417241967,7.769981697,7.987346854,11.20133693,10.01270012,7.251851139,10.67779132,8.84798889,5.444249554,6.577847324,11.26456295,2.656363533,10.8129456,10.921141,12.99960925,13.11308374,11.42576552,7.461452024,11.62920807,9.847246364,9.265289009,13.23326697,9.121561966,13.15385766,8.774510515,10.18687628,9.394704353,8.610243448,13.05482459,8.353967585,9.384318711,8.85544536,12.8648727,12.05426924,7.148694305,8.446677173,10.53277239,9.209174754,12.86545103,10.20655599,9.055668081,8.530342113,8.160538574,7.294057773,3.354469931,9.71944613,7.402454991,4.44787123,7.56178722,13.15941549,10.45288033,2.985809213,9.343041596,11.21163276,7.815560505,12.32029767,7.599600921,10.72336595,5.710261151,8.113488135,6.103193746,3.565465727,9.624181035,7.40361471,3.6747914,4.183582545,8.398679196,10.46703584,6.488409786,7.663391773,6.14502496,6.677069959,7.731073305,7.720318097,9.558734449,10.7954264,8.030416,9.121371066,11.16832132,10.24131976,11.13439717,7.761114198,7.463149082,10.72093597,6.800189447,8.668610108,7.315974712,5.281294393,9.994002615,10.51939014,11.17905388,9.418866141,6.785182016,9.308891787,9.50935629,9.847888215,10.15834245,8.907747884,9.368252186,7.190811412,9.592281153,5.843395352,7.801372971,8.096933402,6.703496289,7.813732115,7.063661349,8.082943524,5.914205005,3.107954776,2.731396562,11.42585257,4.34555705,6.103177951,2.704088139,9.325837971,5.389119568,7.463625365,9.573111672,10.03523874,7.6513501,0
8.159723105,8.772850706,9.894589019,10.66913182,5.999775249,12.00861585,6.270783338,11.87326772,11.06433388,11.86829922,11.7636676,8.049671664,11.14024078,11.80040103,10.53461759,11.41046159,9.560015556,11.55257077,10.95490932,10.37217667,10.01419642,13.831345,12.18672713,9.647912874,9.949983417,7.631748514,11.63754412,12.60667976,8.434927405,12.49301704,12.60598167,10.50605305,10.32404264,7.171917354,7.43625382,8.787012889,10.2370525,10.47868361,9.327714214,8.350464926,9.643679383,7.660614922,3.05801612,3.26563289,7.242983277,9.389784022,10.60723175,6.107108781,9.32654659,7.305299046,3.37096589,6.284204608,9.574871614,7.418095095,8.981241129,9.171082001,2.960955125,5.839259477,8.255302269,3.223172437,8.6493361,7.238251871,3.694723375,9.305931754,10.38054829,3.694753091,7.592446697,8.140095735,2.617466366,4.578907606,4.255835897,10.18750028,9.43215752,5.15537848,2.969596404,6.96607886,2.540788605,9.072044188,10.07217491,9.494059349,8.581439415,8.632026481,9.290040486,9.063717334,9.529501876,8.049738459,9.055974179,7.346703496,7.782668779,10.03419474,8.713415627,8.040933502,10.20228237,7.382094249,5.315833001,7.4658314,10.77885923,2.891182962,10.75905737,10.78462848,12.48311467,12.62411997,9.579546393,6.260246784,11.87088414,8.002448631,8.813666575,13.85650932,9.600176723,12.63533803,8.262376604,9.92783673,9.142015277,7.679590746,13.63961344,8.667562947,7.997996021,9.806852618,12.34118388,11.26457082,7.069064748,8.321222681,9.292511741,9.915531818,12.32490775,9.907128062,8.49643291,6.316528718,8.328557651,6.78017388,3.084337086,8.186926479,7.318496975,4.475623834,7.032882428,12.70022667,10.11875224,2.779249564,9.661267009,11.51788231,7.767634416,11.87389993,8.469271533,8.410804017,5.389005032,8.04647971,6.153305454,2.899761239,9.956862913,6.706043281,4.041701875,4.456177128,8.018815459,9.871731686,8.226972097,7.374733533,5.160620215,4.941367771,8.078477938,7.866204834,8.174383835,10.14033991,7.103254764,9.112776579,11.38940562,10.14222175,10.21568923,7.05998002,7.550941785,10.35811196,7.306291302,10.2373444,7.265230589,5.124498655,9.879740587,9.610774755,8.860173775,9.800457665,7.414574931,9.475360389,6.863160253,9.604022856,10.25766118,8.527782457,9.476800064,7.59689523,9.55189724,5.901496839,7.732343528,8.204810061,7.329421692,7.259997126,6.885186813,7.826028088,5.984059279,3.212976332,2.842146294,10.56270035,4.917389497,6.594426803,2.969015755,9.378054167,5.61845172,8.136747589,7.863626594,9.377046839,7.325679886,0
6.96453416,8.028398201,10.78537568,12.04645027,5.691240906,9.406490708,5.282253586,10.81804058,9.967362462,9.271519965,9.621269524,8.242772469,8.242855495,9.228525571,9.189581344,8.159611762,5.940802731,10.7481251,7.266139176,9.307774531,7.363740838,12.93513318,13.0578243,8.3320685,6.923702943,7.641540113,9.373439348,9.279517507,7.204161808,11.18827626,11.58613672,11.38599305,11.83884084,7.195168525,8.105106658,6.669611261,7.940552543,11.70661508,9.288456282,8.819078819,8.613680403,6.794579163,2.776618024,3.45893994,6.558424874,7.752043054,7.292324501,5.8092271,8.855013429,5.294491509,2.861350802,6.163770071,8.601990423,8.258909888,6.971064731,6.021836597,2.944073581,5.340830543,6.363627903,3.5689411,8.980829299,6.63937619,3.578877274,9.464649332,11.19224804,3.384893023,5.652832851,7.255607942,2.377003841,5.825549614,4.086892493,9.808001342,8.020269356,3.489121186,3.108471864,6.815746206,2.70920502,7.278134357,10.95803253,11.4285555,9.63175747,7.898586578,9.66031161,8.994288072,6.518542978,10.37284502,10.05395641,6.666397255,6.73036009,11.56541577,9.331442733,8.213735357,10.94919285,7.83949259,4.776142973,7.8598049,8.919396713,2.588565494,10.76042326,9.909634237,11.16704502,10.47263631,9.720462875,5.090779312,11.85140402,8.001913482,8.063262911,12.96866648,10.96556088,10.90888095,6.847345813,8.939611731,8.117035971,8.340379031,13.01196907,7.001452016,8.214716136,7.994812489,10.07323952,11.57893303,6.298471669,7.698049362,8.048409677,6.149234807,11.0070906,8.766861762,6.295584016,5.808837487,6.816964385,6.215835757,6.397893545,10.03828922,7.683118181,4.981408201,7.281687479,10.54609987,6.150981964,2.588565494,9.067110171,10.34618816,8.013589717,10.96240804,5.41137937,9.620290214,5.80392181,7.400989837,6.682613299,3.620620004,9.501282232,6.273121393,4.377203516,5.167897897,9.619090272,9.169632067,6.805411822,6.647805661,6.11830135,6.529446446,6.732367785,5.071125659,7.324481975,10.89516389,8.278831033,8.602405553,9.03308581,9.9792598,7.638114363,6.789948288,7.609324694,8.954042233,6.299224782,8.878659196,7.330004393,5.320599219,6.841447401,10.61902908,9.041778153,9.853667689,6.84250335,8.060917952,6.637911189,8.805663228,8.820518303,6.869030579,9.466852673,7.041097182,9.394904067,5.134029485,9.763200273,6.254097685,5.193656815,7.006064197,6.81191324,6.501632683,6.367741209,3.346916245,2.911952016,7.152043319,4.623267105,5.815308601,3.057678259,8.170307153,5.50643372,7.008069619,8.500856197,8.191387548,5.549873404,0
7.82948446,8.196535341,10.11715647,8.51401317,5.094948287,10.1406337,5.901315075,11.539007,9.688906629,12.98285247,12.08627404,8.671030409,12.39935093,12.79981333,9.276441675,10.58760962,8.325775829,11.36321638,11.21217904,9.732207186,10.30800428,12.66631023,9.089740983,10.25916143,10.33208085,8.296768735,12.29125766,12.47474652,8.64809866,12.01134828,12.76610092,7.949178401,8.339086409,8.96009846,6.504825628,6.736752212,6.805331466,11.83762334,10.46848703,9.04381566,8.34594065,8.391666594,2.972185934,3.298089004,8.173164478,8.773975111,10.98376398,6.031167531,8.988107919,8.257493891,3.287486703,5.786799698,10.89888164,8.565566987,10.27983023,9.289186924,3.128792415,4.561121218,6.863734196,3.273366478,7.658042071,7.140403669,3.906848193,10.61380819,8.538263313,3.080469526,5.507453113,7.471791008,2.517122779,6.068938008,4.013173978,8.334678698,8.661620752,3.855741876,3.141644017,7.404338791,2.770410014,9.534904883,9.171179307,9.12082969,7.960319083,9.075307429,9.520599513,9.742194247,10.61292786,8.741185778,9.381310529,7.765369048,7.717746417,8.116955879,6.843609708,8.505429913,8.899930738,7.323902224,4.796013973,8.297019639,8.163111696,2.499433462,9.827887447,9.879008511,12.03367146,12.87535919,9.045665348,7.402126885,12.26043044,5.741944798,9.416023893,12.71937201,10.7375677,13.05708893,8.640651032,9.031242817,8.787446613,8.931972943,12.51394417,7.543978482,8.073313616,8.865834351,12.7594821,12.36631381,6.770586412,8.947224399,10.22292217,9.491586021,11.88900091,10.63622779,8.466222638,6.066492523,6.92838595,7.325167632,2.845161815,7.041584519,7.336803548,4.79805776,7.5112676,12.93613779,9.937810142,2.819642867,10.91823449,11.03704133,8.176739978,11.76870106,7.280127039,8.754183858,6.065013082,7.847861233,6.201026777,3.062460761,8.886946444,6.901085159,3.855521349,5.168663058,8.180092796,9.627124834,6.096408878,6.983139624,5.414279218,5.840863946,7.527974944,7.203632929,10.63003401,11.65104378,8.272098486,8.266517681,9.658535526,10.13033021,12.45643197,6.514503975,7.52369173,9.110669771,7.834145305,8.990104424,7.195831763,4.355965946,9.766123284,9.94252335,8.855906386,9.953607078,7.235841929,9.125442836,5.3250076,8.553963179,8.966847485,8.470411798,9.078750061,6.188509644,8.053611297,4.797265951,9.680449833,6.353169342,5.601002418,7.543537432,6.044006116,7.223401591,6.438634669,3.266468327,3.155903769,11.01847529,4.541753547,5.662229875,2.89832443,8.425602165,5.671226992,6.492253815,8.75074835,8.51241047,7.861684458,0
6.778974832,8.661656514,9.896686999,12.42571529,5.594736631,11.61086392,6.775276178,11.66708321,11.41405967,11.54795168,11.84695917,7.885345682,12.09397318,12.56640973,10.30176765,11.05847777,9.555899197,12.04829326,12.55099776,10.57556812,9.060363361,13.32567277,12.43517351,9.311558571,10.1429184,7.85252913,12.15433974,12.75500937,8.613362796,13.01300896,12.05723612,12.12464057,12.24876686,7.615061677,8.223765166,6.809801775,9.802040037,11.07986171,10.09649736,8.567573258,9.092206448,7.360177323,3.256486494,3.351413198,8.047955201,9.493533126,10.06139996,5.673262929,9.793784605,8.052378979,2.823328643,6.352338662,8.795761714,7.86098707,11.66562312,8.960100098,3.603625979,5.718026696,8.069110174,3.361985507,8.453965165,7.691489585,3.397246172,8.183717223,10.01921998,4.422270226,6.442578741,8.033899993,2.645754449,4.524105043,5.068148676,9.553792871,9.133376775,5.029424153,3.151798977,7.012702113,2.6069374,9.412153767,10.80204417,10.55616478,9.850462587,8.723273187,9.074327687,9.817707337,11.12405169,8.379385832,9.901112532,7.351318109,8.542544126,11.11987862,9.795069417,7.776155287,10.21457203,7.821829898,5.019865167,6.698651459,10.4797508,2.687453441,11.26409062,11.24822883,13.01414706,12.70852928,8.847586712,6.451608227,12.14169273,8.190184428,8.590348069,13.32787515,9.50023709,12.64478107,8.143661773,9.767064314,8.981159707,7.436888805,13.14056206,9.371929279,7.530745972,9.402562755,12.40787845,11.43536115,8.021898126,10.15159996,9.798566695,10.64335298,12.88017622,9.750400073,8.487813022,7.759960913,8.619852542,7.261533449,3.29865113,9.448739634,6.987223681,4.278514875,7.25414207,12.71351113,10.35218879,2.929910446,10.82810868,11.84549231,9.540409977,11.55441205,8.038691061,9.589000645,4.929423612,7.788761403,6.527961319,2.654554085,9.785602972,7.247641813,3.977133185,4.298137818,7.409833212,9.48632781,9.122124812,7.981688724,5.13642663,5.037299345,7.524661542,8.580929422,7.943217991,9.010325121,7.215462874,8.213892085,10.94998243,10.09683096,9.630454711,6.816765049,7.477454912,9.923632144,7.327163587,9.414833231,7.217757325,5.470073142,10.18921109,9.673608129,9.761998197,9.717957393,7.019774664,9.645741407,7.922807342,10.40403999,9.634907767,9.783818401,9.360863283,6.739161844,8.855584271,6.411350076,7.58180235,7.286358239,6.331434853,7.946624472,6.076240194,8.246020066,6.174088593,3.324466592,2.993646184,10.75230755,4.803524593,3.795697138,2.861182995,9.795851679,5.275631697,8.311484636,8.022912356,9.803205838,7.714838805,0
7.031083615,9.105596869,9.936692651,10.00250478,5.221975605,10.83637595,6.424606751,11.48200198,12.12859119,12.34937599,12.35743153,8.621171496,12.15472599,12.51458198,10.61793621,11.57705934,9.87275294,11.79830773,12.06329468,10.57519987,10.63568077,13.1195793,11.90187076,10.08928816,10.40185228,7.790049318,11.63657957,13.2498446,8.206263761,13.10493579,13.21163913,9.531349859,9.595913161,6.751109081,8.34322085,7.403638433,10.09418264,10.96915165,10.0384278,8.581405319,9.151180311,8.014729882,2.952839396,3.499768074,7.334459927,9.326879356,9.696198929,6.934903961,8.714270991,9.746770839,3.370006062,6.833861156,10.69776368,8.505135619,9.818240013,10.74479968,2.983031114,6.229139095,6.733909467,3.445064184,8.779712993,7.444307177,3.65984423,10.19364212,9.76504231,5.855448896,5.368385288,8.293601912,2.53954292,4.89807509,5.730644977,10.43225766,9.095297359,4.148265034,3.116715471,6.572457661,2.702111477,9.587108841,11.1939069,10.89520503,10.33325654,8.40520864,9.188934667,9.759912835,9.48612655,7.701781364,8.869400763,7.375752747,8.395428057,11.82829274,10.62222876,8.449943078,9.704353698,8.033386918,4.384968123,7.347576474,12.38584105,2.53257986,11.38872737,10.52132513,13.12586084,13.2763744,10.03385784,9.459075144,11.81401864,7.404680502,8.985596403,13.22900662,9.548737499,13.2908611,8.345635551,9.610196108,9.291487855,8.926223623,12.99086985,9.487438367,8.416488929,9.247981197,12.98345423,11.27050798,7.264633018,8.940769521,10.43989218,10.53397047,12.98194948,10.12120457,8.58637104,8.171368455,8.865501874,7.121542074,3.147404766,10.56191151,7.14258968,4.543332278,7.609053269,13.34000429,10.987452,2.892736167,9.988412742,10.88804162,8.136099229,11.54175039,7.367539306,10.23898497,5.362831628,7.095332309,7.171240969,2.557031914,11.6011031,6.894568682,4.026329975,4.499995113,7.541405127,10.01372891,7.761274661,8.155507864,6.234444268,5.918247432,7.721436174,8.327194766,9.790984585,10.95858682,8.073793798,8.462532816,10.0045536,9.901629734,11.52259985,7.103529177,7.400049642,9.855988513,7.160846789,8.973880365,5.638913258,4.800535486,10.42145056,9.844109944,10.08154604,9.670617766,7.116883175,9.234010959,10.72999773,9.633098327,9.255315047,9.152583574,9.438034235,6.603685122,10.60962665,5.601061315,8.009231529,7.519610044,5.608407917,7.350010111,5.553835826,7.478628511,6.096434316,3.140282972,3.029661762,11.11520948,4.640941393,7.292197941,2.999078146,9.230275017,5.267185247,7.01808718,8.424415808,9.907936156,8.222371373,0
