"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
10.54890907,11.01847694,10.34981422,10.41890864,9.519571557,10.97717753,11.17886681,9.268125615,9.685569701,10.24557558,10.40552234,9.514973513,9.8384054,7.870233161,12.23370018,9.946612525,7.815490444,8.828808783,5.778529933,9.734461782,9.007157213,6.931290739,11.9992944,12.2055874,7.615868477,7.232213773,8.004777095,4.891124558,7.367898553,8.334039297,8.525793231,6.853365599,7.436049837,7.055784404,9.424426007,3.183437629,4.639320465,6.320028657,5.875219206,10.29174568,3.97213467,7.201914197,9.554238759,3.318027688,5.977935289,8.715716724,8.007905247,6.802511877,9.641999293,3.661543832,5.950164985,5.550555602,4.647268588,6.010706125,5.486260362,4.930128798,8.811766514,7.711251064,3.21885727,6.21210155,7.91346295,3.139260755,5.967556462,5.023370445,8.594022442,7.286884371,3.669132742,3.779512532,5.999240145,5.291532092,8.175895784,10.87365249,10.92470121,10.04364326,8.617862343,8.688359628,7.744000986,5.297931925,7.13069887,8.08287461,8.878162848,7.769373479,8.536189491,7.37033705,9.374885051,7.908648928,7.530120345,4.789443253,6.686934163,10.52833029,3.346363607,10.77369184,10.14576212,12.02348342,10.51812125,8.328205891,5.774602643,11.68364195,5.419611011,8.577015142,12.12345594,5.944018763,10.71316703,7.554534038,8.566589749,7.323604334,9.219273471,12.13852674,10.01119224,7.928415696,8.834889305,10.10208921,10.75379758,6.193699949,7.964896219,8.415674476,7.847834792,11.96529507,8.492505059,6.508599798,7.010484907,7.256598992,6.645581855,3.897737358,7.145326401,7.839196582,5.758243663,5.801841961,10.67037152,8.240098846,4.013500371,8.963658769,9.238682627,7.671363861,10.01256764,5.047721731,10.03808332,6.462504275,7.044420438,5.467198897,3.325120735,7.645313203,6.38805645,3.823432073,5.497711652,7.483161896,7.788299184,4.287312724,7.043704401,5.443315463,4.601466102,7.960687264,6.090663275,6.657536505,8.72573791,6.912809764,7.411151689,8.278966362,4.529068271,0
10.42152053,9.491746943,11.15072565,9.889263508,7.975560005,9.897897656,10.27250356,9.105330536,9.740677787,9.956607911,10.24310605,9.346919168,9.758589033,9.444144305,12.36599879,10.59885393,9.063712866,9.030447515,5.248630145,9.531120409,12.0833173,7.117663403,11.76031606,12.51653024,8.936245336,9.127306047,7.190651293,6.986490421,7.485975062,7.472307818,8.957270829,7.857478962,7.514549328,7.021345566,8.245208515,3.059414285,4.736229772,6.413164108,5.566990104,8.841713596,3.511750158,7.45643287,8.100688343,3.58351719,5.883907827,8.505861515,8.730137152,7.822320489,8.335085423,3.759822783,5.677111211,5.156048556,4.335697977,8.684328692,5.693163147,4.657582473,9.082941029,6.93698293,3.237491806,5.775325382,7.72831121,3.046161982,6.407952888,4.735390649,7.891032168,7.21205508,3.99480469,3.929248765,5.929812929,5.277372627,8.830840856,9.319575835,9.865276072,9.25754645,7.209229204,7.70459895,8.534802336,7.156444509,7.841307017,8.33745719,7.746071377,7.242041055,10.02489612,8.450476645,7.700792822,8.400168732,6.981431151,4.569956421,6.991981299,10.5304417,3.26629199,8.6887674,10.13890302,11.79879644,12.25734355,8.295510757,5.860753419,11.33049201,5.917631294,7.422722937,12.34211922,7.77363293,12.41670979,6.619703292,9.040385464,7.879694164,7.797594143,12.19884849,8.083638504,8.052064162,8.014960395,11.87198813,10.20139001,6.462304347,8.622070865,7.887895905,9.288738357,11.7670502,9.985444093,7.116990273,5.163982189,7.664815191,6.258173285,5.125507874,7.972445311,7.760726604,5.754612452,6.174083629,12.33290328,7.766099933,4.104140958,8.453715627,9.3776068,5.504189865,10.72642829,5.757804668,8.192363067,6.45380304,6.57934634,5.50614715,3.015093233,8.527657211,6.389987775,3.961124322,5.833510102,8.341512045,8.445429024,4.594678782,6.396109919,5.182109438,4.184268927,6.943154336,6.931674977,7.420359105,8.765753466,7.307673277,8.024852451,5.723221426,5.637040981,0
10.91359736,12.24563105,9.186231979,12.59762901,8.635557839,9.877977858,10.84345611,8.387660107,10.51446073,10.20918606,11.26048543,9.954820842,8.418645975,9.237889051,12.49305,10.59907253,7.186276091,7.719036812,6.7788345,8.480478197,8.665873041,6.204335029,12.69782703,10.24579887,8.612436393,7.32850724,8.06389349,9.504503267,9.388152864,9.091729383,9.085630646,7.737204827,8.355518072,7.22488266,9.714809622,3.528318149,4.785912859,6.287432847,8.037771274,10.32931303,5.82836294,8.301285228,7.910834915,3.618925349,5.307677827,8.339801025,6.795107867,5.835780058,9.192629601,7.362322987,5.242182017,6.068253113,4.546139563,5.568857532,6.929231714,4.504102142,8.522170496,9.183955424,3.022529549,6.386983228,8.14538851,3.210381809,6.027729853,5.281792564,9.534129933,6.973935661,3.93905779,3.660348655,6.13945028,4.956966637,7.002698344,9.381856658,9.858711516,8.362417782,7.58325958,7.717134593,7.584357306,6.860746651,8.117597346,8.763251881,7.876048302,6.774078064,11.17733779,9.302920732,5.9987058,7.545517176,7.107213197,4.590431719,5.702319293,11.52470296,3.474687751,11.63490346,10.60084596,12.67557117,10.69281113,10.55855969,6.494942462,11.48422106,5.917424761,7.258229045,12.66786629,10.30901737,11.08088716,6.196290866,9.807758362,8.293979076,7.323047024,12.63445056,10.14519827,8.848681983,8.745656576,10.5940504,9.707157406,6.907737157,7.742691182,7.985096271,5.370419526,12.76884382,7.443662083,8.008117763,4.874066233,7.150943732,6.013871141,3.809224669,9.720879792,7.010814822,5.235494796,6.256143423,10.77898858,10.39830091,4.295577598,8.417308647,10.87541822,9.002337615,10.83145864,6.81154526,9.340930261,6.213254672,6.54175566,6.891576187,3.631234372,8.860845855,7.604398654,4.151408954,5.395798731,10.05503152,9.355514236,7.248061554,8.294109879,6.452842096,3.860186771,6.440626389,5.857681141,6.545645052,8.520692451,7.268816311,8.372885958,8.9161665,4.66428581,0
10.58845507,10.60058758,10.04842592,10.69622486,8.519475293,9.711248186,10.1790247,10.63379234,9.108878498,10.07874043,11.14229713,8.682931372,9.807128113,8.638575625,12.67960557,11.41393896,7.43414662,9.265500436,6.130777593,9.581332625,10.75845126,7.827349204,12.43285839,11.46020821,9.629496515,9.331338704,9.890533924,4.56182125,8.83168648,9.562523693,10.17988145,8.883535922,8.905420828,6.388676983,10.25540282,3.153822547,4.74015734,8.340445971,5.58710095,8.258952041,3.601325806,8.009711618,7.907315794,3.499418949,7.888723732,7.70213503,7.606678825,7.351513246,8.046093734,5.365300902,5.216999178,5.396475633,4.657106852,6.928976236,6.238930939,4.501532011,8.147158181,7.46858246,3.019649958,6.517807873,8.041572007,3.147672485,5.786822058,5.295733001,8.222124695,8.147006822,3.897164397,3.668635452,6.212716265,5.62442815,7.928747147,7.862900775,8.275438232,7.572369417,8.281114966,8.433203609,8.640221641,6.364442026,8.51926011,9.135247612,7.682493341,6.770219881,11.421208,10.08486435,7.790186788,9.274725918,8.489077645,4.788402522,8.356420052,9.529948265,3.430220241,10.42071915,10.48169105,12.43873314,10.91116534,10.35243397,6.185343719,11.41771747,6.198829136,8.649719906,12.48534563,6.441262461,11.02120758,7.58794478,8.78214472,8.222404749,7.495512531,12.53171368,9.604601852,9.529078007,7.993809738,10.37827176,10.00415042,7.407280087,7.818870682,8.113632768,7.715442418,12.3653429,7.839894288,7.292928896,7.250473886,7.435377095,6.266422661,5.004063082,10.04796898,7.932873312,5.669413803,6.297368347,11.03799463,8.490587528,4.357290612,7.024462429,9.161654612,5.877569995,10.56899683,5.874943696,9.91981429,6.54449142,6.817280918,5.517375568,3.642303399,7.600618868,6.660785575,3.622139738,5.666644152,7.403307939,8.679259811,4.217607877,6.745384885,5.619146033,6.753664681,6.882290522,6.600376103,5.937610955,7.851134408,7.762771881,8.406398038,9.972365264,4.443819796,0
9.936756009,9.409057936,11.53840242,9.124715356,8.011514366,9.844399789,10.53035349,8.789487306,8.527467295,8.212685155,10.13582058,9.963562899,8.578841453,9.432632419,12.53796866,8.846381736,8.654975088,8.477941319,4.384212165,10.1921688,10.88307114,7.253117952,10.84464795,10.22716839,6.344078454,6.547545063,7.569467552,4.754326495,7.218199872,6.854098136,10.32678472,8.480042401,7.919717132,6.840816472,8.280227068,3.342493679,4.983396728,5.853398884,5.423170354,8.95214655,3.233268403,7.153562139,7.900100318,3.555808953,5.598471981,8.941812881,7.26595543,9.212186518,7.279455815,4.544205841,5.532928332,5.025402739,4.437735138,6.748448387,5.27575877,4.64480473,8.779995803,6.025761198,3.075805257,6.220254318,7.375366297,3.175549472,6.00754851,5.555877043,7.453874064,8.065974357,3.818545141,3.956248804,6.164347163,5.223613219,8.324922652,8.180368798,8.722806626,7.386990671,7.71787547,7.798145954,7.832115094,6.47175211,6.90701199,7.602010187,7.529078493,7.141156242,9.338406941,7.314018184,7.121216466,8.952588594,7.332743335,4.198987005,6.79545063,8.687256946,3.411571355,7.819839703,9.495536681,10.93522252,10.86340318,8.038338027,6.192724185,11.23612817,5.932976895,7.71095651,12.44908202,6.773502373,10.97743235,6.81962368,8.417589919,7.302653141,8.422534589,12.43940763,6.654686588,7.559651481,8.040033628,10.35124041,9.814203832,7.061502543,9.013746101,7.790945988,8.245826941,10.88807779,9.401877085,6.35560426,4.817025668,7.387488793,6.490263519,3.960324627,7.104423674,7.44764382,5.740117416,5.753205366,10.93031962,6.681641278,4.122766544,8.21943704,8.522233899,4.948785175,9.866861313,6.057307502,8.017963823,6.09181949,7.051334606,5.496954812,3.324449592,8.090146484,6.281853665,4.107137493,5.842697987,7.85198632,8.360203621,5.152006295,6.14903249,4.484890531,4.790691935,6.849698006,6.894210578,6.541905306,8.866236506,7.727357616,8.147939382,4.671594596,5.059509355,0
10.69832029,10.88730528,10.93702914,10.92261227,7.811000473,11.39044957,11.89276055,9.287833098,9.44379438,12.49858695,10.9358984,11.07288284,8.903406061,8.917326068,12.33000908,10.56170149,8.735241499,8.637853597,8.07897992,9.799015369,10.5859491,6.71187486,12.7730935,10.94252809,8.747395678,9.430068835,6.618210964,7.568614694,7.66392708,8.653845023,8.874579571,7.688921485,8.593240259,7.132312529,8.189024332,3.428418914,4.407908603,7.677843224,6.401039541,9.58903852,3.63811682,10.66131822,8.613297055,3.58973604,6.139305372,8.725011074,8.310745895,8.115356778,9.801341569,4.997572592,6.454584075,5.635932389,4.294203579,5.831570603,6.165221805,4.315588526,8.949426251,8.473083444,3.159476567,5.414155444,8.240117466,2.87030321,5.87487665,4.453927144,7.543096584,7.564499721,3.956587472,3.6862407,6.84863707,5.15102518,7.831438775,8.722433585,9.244006461,8.694875803,8.942994349,8.381239206,9.18970862,7.141374333,7.558061382,8.085613958,7.836214463,7.728611608,10.33192015,9.37078359,7.065561835,8.956548111,7.120022145,5.262225988,6.159489755,12.24031302,3.356577704,9.47446465,9.709631096,12.77896196,11.25296408,8.948181662,7.954258026,11.53427586,6.307736079,7.635202859,12.27584108,10.82098472,11.33911743,6.447296135,9.290104603,10.26352898,9.891474664,12.19346863,8.530657592,8.423283722,8.054653202,10.72083604,10.32973094,6.417732494,8.768939433,9.687243297,6.022142184,12.74760841,9.170721445,7.322580292,6.370314654,6.813713562,6.581513827,4.034410148,9.20475034,7.76763526,5.763990879,5.983221183,11.27181217,8.580868658,3.994802558,7.539609046,9.925623738,7.841785522,10.60214746,5.86004309,9.124850446,6.277577591,6.920038307,5.982959029,3.080740776,8.250811858,6.951997587,4.133909239,5.816507758,10.19891769,8.697815096,5.91190033,7.159490723,5.738397113,4.915798433,6.776299159,6.311447962,8.073086199,8.858329068,8.127300493,8.413818909,8.473137621,5.123229845,0
9.184587143,10.26761067,10.43247038,8.556277339,7.972863566,9.416741488,10.59943669,7.307025646,8.395529624,7.339773411,9.507535367,7.070704672,7.754315649,8.553145718,11.56418331,8.947619525,9.407189804,7.265556196,5.139144318,8.784734232,9.456565741,6.386551175,10.80424137,10.72725124,5.463628711,6.681597721,6.175111877,5.515866598,6.77770074,6.224023374,10.07470975,7.986067359,7.486897155,6.713177425,6.780779336,3.348689702,5.150010324,5.421904419,4.971476703,8.366770287,3.355950588,6.38086269,7.985014405,4.112677618,5.636831212,8.321379531,6.90619693,7.760412372,7.672137064,3.825716531,5.846932716,4.741844884,4.745194387,5.562136233,5.233619098,4.826055931,8.722593574,6.766968286,3.254288207,5.773517585,6.57504879,2.996144833,6.023832965,6.070735611,7.299343416,6.878257922,3.967055005,4.371190823,5.858708413,5.58861508,6.964088723,7.011279136,8.832439384,7.721309917,6.393464936,7.463658721,6.850063578,5.177541998,6.957091008,6.872208072,8.336900806,6.988862699,8.20526092,7.170982916,6.637826646,7.499071569,7.458532175,4.348972888,5.30197022,9.359008026,3.418739218,8.892368859,7.976257558,10.94578287,10.58735146,7.203939133,5.946273111,10.0810762,5.093891734,7.154685314,11.37235467,9.001113928,10.91174894,6.685710597,7.557998433,5.724706123,7.910380703,11.65566849,6.48961117,8.100915186,7.809935695,10.27802549,9.635734367,6.124551802,8.668677087,8.423353328,5.121039715,11.18065959,9.486582223,5.722066662,4.603729903,6.49607391,6.832966514,4.344695532,7.050269273,7.062527124,6.501601377,6.082475544,10.73500942,5.136423469,4.467916787,7.554434906,7.572319519,5.984446821,9.178402494,4.971476703,7.991520638,6.491299477,6.754945107,5.829417797,3.180104589,7.903343653,5.768832103,4.214862944,6.122020259,9.886542948,7.808425605,3.88719926,6.432922257,5.649577774,4.816436949,6.960000219,6.126897031,6.746911361,8.521473926,7.540983611,7.82783568,5.461680413,5.01933517,0
10.91839628,11.93697535,12.72079626,11.17860744,10.2096562,11.68380117,11.73504056,10.64241703,11.32567157,9.977056752,11.33341032,12.27262621,10.79067007,10.50219038,12.68684228,11.75997304,10.25607344,10.84068536,6.442142335,9.412813737,12.51452835,7.114279638,12.87201894,12.02882363,7.317664777,7.365416649,8.911269197,6.533020472,8.528674639,8.766377698,10.70816875,9.933248837,8.651092421,8.499245411,9.146638777,3.225038534,4.291056232,6.939855459,5.770676443,10.61556076,3.811739149,8.691850319,11.13527544,3.669945372,7.010272879,10.71500874,7.207995626,9.14383223,10.06570029,4.059222637,5.43678639,5.525994926,4.940729755,8.403371245,5.701302327,5.540868029,11.61777529,6.112653535,2.985539729,6.404405032,7.487532588,2.979783604,6.245604144,5.066119231,9.242315979,7.541820472,3.784658751,3.777074254,6.017269614,5.324852097,7.649692902,9.533954679,9.881356409,8.990055362,7.918903496,8.812557081,8.989328556,9.344445166,8.257300118,9.145413436,8.197043325,7.470229584,11.47802998,10.74624699,8.287035243,7.453995928,7.166853767,4.452676989,7.673156919,10.11954239,3.42536368,10.65558311,9.992120622,12.94003656,13.33542953,9.435816965,8.136472273,11.07988818,5.589744977,9.573764552,12.60041255,7.628793173,13.33770072,8.915207461,9.678401672,7.543748827,10.18538395,12.49348144,10.5866904,8.635838672,9.219569969,13.34059898,11.80193477,6.671205872,9.070328751,9.672327217,6.588588743,12.89532901,10.81570948,6.836952465,7.609736174,8.141453736,7.486271642,5.730899816,10.62473402,7.629660927,5.612122637,6.23178121,13.41713822,9.838409319,3.861222964,9.282953252,10.16020212,8.803025733,10.68686984,5.490110218,9.859071226,7.114279638,7.593116769,5.511058358,3.008097398,7.903343653,6.642420642,3.816299448,5.885564747,7.860554328,8.852310455,4.168306292,7.650400888,5.502278014,4.212500826,6.625765363,6.258978267,10.74694208,11.27639346,6.88461377,8.061311735,8.74800614,7.411216437,0
10.14007885,11.19805307,11.65903637,10.9259552,7.682877059,10.45989184,10.59345169,9.542641603,9.202681551,11.60950368,11.1528183,9.445204514,9.231981007,9.593706062,12.6950359,10.63761169,9.03373615,7.620601496,5.469780327,8.335462943,10.7198134,6.590026287,12.06018018,10.69841808,7.831437407,7.65326768,6.30772965,9.663443318,7.934404628,7.74351681,9.061568469,7.756811407,7.821598067,7.240949459,7.89704039,3.239528405,4.760784799,6.310210077,6.321534738,10.39583508,3.665474526,6.987436549,7.670980662,3.719555752,5.500730367,9.329566313,6.87423814,7.24969121,8.445633613,6.607784288,5.084771206,5.006866804,4.122334389,5.876350219,5.797895328,4.413604713,10.39293238,8.769972262,2.977869961,6.21626074,7.696722791,2.888386832,6.545423471,4.961899957,7.340398218,6.673063625,4.252145072,3.879647822,5.785553842,5.438536729,7.27566264,8.112714386,8.634288807,8.057818484,6.607574149,8.026107562,8.433917202,7.259464683,9.941464885,10.66044769,8.375869428,7.290735548,11.37781835,10.62628955,6.834983516,6.661874138,7.00751093,5.312176497,5.607130626,9.691526737,3.600557713,10.17658628,10.33590237,12.06759041,11.76766786,9.727402998,6.25269351,10.35467051,5.747621173,7.55361597,12.58578896,7.219572971,11.7878753,6.85365485,9.232898575,7.808338873,9.336489844,12.50349082,9.966768353,9.282471131,8.023725126,11.38430359,10.19116421,6.392878671,8.251340365,8.837556984,5.164295366,12.00756123,9.664079868,6.996933007,4.937236612,7.190235562,5.92675878,4.962893616,10.65223062,7.196052929,5.520704117,6.120574571,11.79703831,9.250387933,4.188523639,7.974945614,9.644928958,6.713456043,10.50179288,6.154462332,7.463155481,7.501396244,7.487046096,6.70476129,3.221127268,7.750496476,7.043780625,4.088959986,5.686674366,7.930043252,9.059292238,5.263099448,6.228998811,5.975849289,4.104241853,6.312996072,6.452303714,8.321544449,10.16773982,7.538812173,8.61939191,7.451396267,4.759578626,0
11.09289774,9.773043016,11.68708207,11.04913388,8.258312583,10.34932568,10.38441452,9.552230072,10.76442142,10.367488,11.086403,10.42392312,11.4390567,8.960951893,12.78133895,10.75465785,9.03970774,10.65908246,5.967292237,10.22642253,12.17047006,7.998974077,11.58917608,11.85598236,10.14430286,9.884168738,7.570785602,8.31421322,6.986582245,8.242239197,9.122311808,8.145839462,7.922248435,7.686833632,7.957010424,3.369943097,4.469238006,6.762189753,6.009082607,10.01913504,4.015687824,8.368759131,7.628671976,3.70452675,6.06459178,8.733625804,7.599056175,8.634279051,8.600623378,3.966029823,5.807001973,5.647281297,4.431839509,8.30145084,5.917997886,4.198652887,9.240482286,7.714739038,2.822487902,5.942859332,7.508418594,3.156836622,5.823652767,5.063903774,8.434656465,8.713373674,4.243963647,3.811205821,5.607007402,5.413360007,9.134676639,10.73849649,10.91913531,10.36984286,8.154819644,9.19879097,8.124303123,8.91305677,7.566033348,8.296404857,7.709323143,7.01836503,10.33159147,9.140507395,8.296585647,8.494148088,7.268927726,5.290031315,6.941473656,8.33239731,3.388845422,10.36027593,10.42776818,11.64681122,12.69513507,10.03334773,6.295691764,11.42268263,6.087477665,8.655157662,12.75299096,7.192108037,12.69010913,7.712577721,9.400146914,8.70555764,8.338814624,12.68659839,10.0994944,9.214657004,8.721920267,12.36306304,10.24812481,7.614434733,8.83494212,9.245565162,8.594900695,11.48565227,9.770299285,7.218063181,6.625939158,8.814005952,5.91748884,6.294887309,8.76289653,7.423174331,5.505458029,6.321727672,12.96427526,9.566328915,3.93006349,8.192101898,10.31597893,6.934336926,10.23940018,7.177868847,8.576186003,6.801062991,6.814964891,5.509760334,3.213561309,8.589200501,6.202563174,3.881421791,5.590387422,7.659303627,8.694877577,5.306993102,6.446601064,4.903519528,3.933861238,6.726205334,8.004056724,7.662337106,8.969260124,7.560658568,7.810183292,7.688996247,5.699504171,0
