"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.920195,8.621902,10.406351,10.545418,5.4492307,11.04407,5.866651,11.564589,11.512712,12.796743,11.847932,8.294504,11.453404,11.942351,10.074139,11.534783,13.329546,12.56396,10.7425585,11.62788,9.172143,13.040916,11.692126,9.463913,10.857052,8.464893,11.323044,12.13356,8.8507395,12.89255,12.197502,10.462468,10.317371,9.066456,9.3661,6.7720118,9.835757,10.63835,9.857986,7.955574,9.491373,8.664618,3.6056268,4.02244,8.975889,8.838451,9.861685,7.0298753,9.802772,11.007261,2.894822,7.633797,9.950962,6.3095145,8.816772,10.631088,4.7149935,7.78273,6.4517756,4.600093,10.332513,7.8815556,3.5112784,11.226946,9.092622,3.7558808,7.1522865,7.946357,2.863577,6.0624614,6.048528,9.37712,9.638441,5.3097353,3.5829155,7.5010796,3.3338892,8.021063,11.908002,11.563136,11.859898,8.056982,9.998838,9.605401,9.907461,7.107516,8.494436,8.367183,7.834674,12.512077,10.937836,9.288659,10.163965,8.467133,5.763912,7.4706826,10.7529335,3.7671866,11.388521,11.457413,12.909151,13.008706,11.505089,8.2168665,12.451701,8.211047,9.691535,12.993313,10.058674,13.009099,9.603913,9.698028,10.12086,8.09243,12.962639,9.376974,9.811983,9.568319,12.804398,12.152453,8.734973,8.450556,9.922478,9.666189,12.764734,9.513035,9.242658,9.987314,8.926542,7.769217,6.892509,11.320146,7.653398,4.719392,7.9355507,13.033275,10.85313,3.29686,10.648212,11.315001,9.613476,11.119504,8.459744,11.5421505,6.516013,7.043398,7.8889227,4.0104537,9.511526,8.204933,2.9815104,5.486299,8.71083,9.981947,7.708819,8.537543,6.3520994,4.4740934,6.506528,7.989829,9.83443,11.23934,7.598489,9.346635,10.402293,10.268198,11.482161,7.782641,7.26555,10.057398,7.4012127,8.869801,7.136321,4.6748366,10.433494,10.025998,11.528029,10.141176,7.4551477,8.665827,11.539825,10.491402,9.259609,7.958903,8.323106,7.5742526,10.271564,6.789936,8.03713,7.4086227,6.9926167,8.022875,7.1090894,8.622583,7.5520115,3.4584768,3.132405,10.372893,7.1306195,5.5140862,7.6129103,8.671478,4.6513247,7.88161,8.442349,10.034687,7.6203384,0
7.7321453,9.528799,9.686473,10.124898,5.552063,11.05702,6.6791472,12.274724,10.677974,11.699107,12.227202,8.700891,10.905392,11.470583,8.650563,11.468814,11.2428465,12.667124,10.82964,8.970076,8.467127,12.860385,11.758969,9.607466,10.450116,8.937788,10.792658,12.033436,8.425068,13.083512,12.077639,9.372837,9.826786,7.5197983,9.694445,7.954466,8.6454935,9.819756,8.829383,8.293877,9.194239,7.9076858,3.3340473,4.351512,8.478888,8.2283125,8.7288685,7.9452243,10.38719,8.665363,3.5361218,6.294001,8.721382,5.9984274,8.874377,8.929689,5.92582,5.995888,8.320646,4.030041,9.19328,7.487014,3.768293,9.763837,8.348298,3.6515284,7.6187687,8.7295265,2.9105468,5.872913,4.7764096,9.732336,7.761862,5.418729,3.448188,8.626621,3.2619953,8.127209,9.857622,9.243585,8.942968,9.430482,9.326223,9.532115,9.860557,7.296991,9.147293,7.209241,7.5828705,11.482542,9.788591,6.47911,8.960329,7.9049344,6.3118863,8.069614,12.018707,3.6522775,11.207394,10.823358,13.037455,12.595944,10.04734,7.787984,11.181901,10.011879,8.146573,12.791723,9.140465,12.618666,7.981597,10.007098,10.118239,8.423664,12.867078,9.0384865,8.379831,9.5672035,12.317513,11.075493,7.977685,8.364952,8.336354,9.008265,12.945873,9.736069,9.007389,8.22286,9.139824,6.134207,4.53802,10.032161,7.98484,4.921546,7.814185,12.638621,11.335927,3.4089148,9.638739,12.440505,7.1937923,11.085395,8.524239,10.262086,5.3332763,6.4248238,6.777523,3.9872217,8.098846,8.734215,3.0421152,5.6956053,8.411552,8.592329,6.810331,7.649829,6.2947307,4.7265644,7.015891,8.1831665,8.180876,9.871202,7.4199433,9.145901,10.463169,9.538631,8.566743,7.558234,7.9092226,10.051796,7.2157335,10.020254,8.151926,5.5028925,9.519904,9.369087,9.788917,9.652782,8.680682,8.34788,8.179903,10.158008,9.306363,8.369676,8.751018,8.115181,9.118406,7.06356,7.631119,7.258796,6.9361286,8.571858,6.418321,8.222463,8.285131,3.6708217,3.1465502,8.98818,6.81306,5.5201674,7.103637,9.738434,5.342025,7.4822497,7.6838207,8.465144,7.91378,0
7.6596317,8.639975,9.807006,9.201597,5.440981,10.019035,5.389735,11.810902,11.87753,12.328707,11.995288,9.398558,12.322603,12.406048,9.409071,10.926455,10.986445,11.945307,11.674631,10.36456,9.533733,13.068253,10.52687,8.825504,9.26484,7.9055424,11.072854,12.256842,8.310807,12.9839,12.9433,8.838546,8.921917,8.910609,8.649469,7.8841643,8.375449,10.698098,9.699474,8.049709,8.800276,9.106701,3.4445553,3.9316795,8.394229,8.121589,11.59597,6.3109617,9.56655,9.533215,3.5126941,6.6020384,10.102549,5.5588503,8.186428,9.955495,6.794016,6.2620726,6.4691567,4.1033225,9.510723,7.6424384,3.464289,11.1179085,8.676125,3.446152,7.168278,7.8582397,2.8411534,7.527969,5.027458,9.215805,8.281838,5.3411484,3.9197075,7.268395,3.316451,9.31502,9.430555,9.200039,8.799835,8.495825,9.396609,9.679861,9.211754,7.456112,8.973044,7.5445824,8.006359,10.360656,8.945667,7.8141513,8.621236,8.240144,6.144367,7.858321,12.511665,3.514894,12.671672,10.798247,12.967912,12.649177,10.252089,8.237512,11.916799,6.3154607,8.015989,13.078086,9.701563,12.759976,7.8120155,9.837192,9.78217,9.088657,13.051521,10.782225,8.542101,9.4807005,12.458925,11.878242,7.8051176,8.1244335,9.486807,9.6117,12.810831,9.379416,8.640717,8.411009,8.171577,6.6045656,3.5151463,9.060218,7.282504,5.461954,7.53467,12.714877,11.022304,3.4845529,10.410813,10.914077,8.707001,11.102974,8.288117,10.376743,6.146756,6.88432,7.38272,3.818228,9.013317,7.82565,3.0994844,5.657729,8.871259,8.994289,6.987696,7.207907,6.1786857,4.9774585,6.4421625,8.442469,9.76557,11.210703,7.2954354,9.031569,9.813343,10.084865,12.059469,7.2306314,7.435057,10.961857,6.990762,8.582761,7.303908,5.176838,10.259698,9.539327,8.866811,9.797198,8.800666,9.388913,8.3054085,9.542809,8.832758,8.894439,8.468969,8.016901,9.793879,6.955731,9.885513,7.2706656,7.2738643,7.5641108,6.5284915,7.9273877,7.4275594,4.0689697,3.7554805,10.243082,6.553143,5.0592723,6.582707,9.076057,5.728566,7.661825,8.352941,8.400133,7.2741175,0
7.199732,9.474197,8.010867,11.178894,6.1301613,10.667717,6.358858,12.131291,11.118632,9.892317,11.20401,8.032941,9.86286,10.652508,8.312674,12.25765,7.9654417,12.822444,8.884411,8.888812,8.616683,13.402239,12.633848,7.410841,7.922989,8.367241,10.739887,12.318,8.00737,12.140329,10.126038,9.5877905,10.641117,6.088358,10.029135,6.506663,6.6972094,11.173893,10.318847,8.050344,8.870411,6.8494105,3.4981718,4.0018487,8.629235,8.535727,8.796279,6.3261514,10.490077,6.4049606,3.2324677,4.837551,5.640328,6.079267,6.350132,7.659745,4.517074,6.087199,6.6904063,3.710006,9.8453455,6.7310867,3.679105,7.4918833,9.6479435,3.8235857,7.794253,8.665899,2.8237176,6.7538033,4.1913424,10.37806,6.6200743,5.439994,3.7093668,6.8054457,3.9005225,8.738329,7.44778,7.1178503,7.1191845,9.19106,7.8872023,9.353606,8.334455,9.844543,11.365674,6.794149,7.540285,10.883476,9.322266,6.8158226,9.045767,8.379858,7.5553493,6.0670424,12.59996,3.4369411,9.528583,10.425372,12.08002,10.756466,10.062294,5.8700023,11.545808,8.745167,6.861261,13.350296,10.755188,10.862389,6.995379,9.109145,9.261201,5.7442217,13.337479,7.7180033,8.332933,10.50404,10.327785,10.902046,7.486556,7.480896,7.689761,9.029087,11.896567,7.710143,8.192967,5.9591265,9.958675,6.7504187,3.685706,9.578862,7.830502,5.2446423,7.9445505,10.711025,10.195707,3.325788,9.7619915,11.983556,6.259575,10.641543,8.3223295,8.193453,5.4440603,6.0460854,6.493957,3.436618,9.632856,7.6885924,3.517048,6.400212,9.615015,8.631721,7.944479,6.075986,5.583115,4.471465,6.436342,8.825127,5.877953,7.628192,6.826752,9.065979,10.279808,10.002607,5.883674,7.630184,7.3822217,10.671787,7.1745296,9.608462,7.8179145,5.874278,10.145532,7.9385886,7.313254,9.289135,8.930751,8.622599,7.1868687,9.710851,9.588563,8.9803,8.751358,7.685269,9.037582,6.4569836,8.207558,6.9367247,7.238093,8.034288,6.5594954,6.194727,8.07358,3.7538621,3.7734048,7.922108,7.161208,4.778101,7.146102,9.25676,5.748317,8.13363,7.5417104,5.999243,6.608085,0
8.425668,10.107517,8.837101,9.277594,6.0546026,11.272805,6.1171236,11.752205,12.852292,10.303095,11.990662,8.043471,11.248138,11.674328,8.811359,11.050549,12.418164,12.030672,9.710718,10.448475,8.239689,13.155726,10.9125595,6.449224,7.6243,9.652742,10.147933,9.967012,7.562748,12.909842,9.306403,8.800606,9.0485935,7.9884934,10.170107,10.067234,9.502795,7.6602,6.8602014,8.109585,9.933903,8.582962,3.5065165,4.452339,8.3220215,9.466253,10.462778,7.8462324,10.199207,9.809009,3.0479872,6.975831,6.4969416,6.2847867,5.9384694,11.033575,5.117797,6.2600307,7.673968,3.6909132,6.5147266,7.9930067,3.3511708,7.783942,9.495419,3.6673155,8.557403,9.292839,2.9146442,7.4736834,4.613058,9.20369,7.4099016,5.2309227,3.4830282,8.51811,3.1734858,7.4724703,8.225726,7.6293893,7.6002145,8.637997,8.330552,10.348837,7.2365723,6.103755,7.6887054,8.019748,7.494744,11.291666,10.225857,7.8472004,7.1958895,8.094939,7.9835057,7.531306,10.6397085,3.5944722,11.732393,10.354328,12.85284,9.150459,10.224344,6.442552,12.534846,6.199848,7.3416634,13.125017,9.714947,8.985886,7.394916,9.648142,10.028256,5.7531543,13.081856,9.894508,8.469616,8.87192,8.733064,10.932848,7.456506,6.7744255,9.076141,7.461675,12.742169,6.1828604,9.748334,8.865646,7.6590223,5.9653664,4.8569417,10.322504,7.916757,4.7951508,7.9540877,9.107549,11.123278,3.2683074,10.073442,11.257537,9.251362,11.1116495,9.110217,10.333708,6.288807,6.948318,6.6198325,3.9966366,8.688583,8.325023,3.1637392,5.5460534,8.4801035,9.364517,5.826281,7.177076,7.5362267,5.4916983,6.7154465,7.652584,7.414633,7.8919063,7.1541076,7.554295,10.544755,10.214512,7.8850064,7.0286818,7.8842854,12.666109,7.2350197,7.953126,7.6180673,6.5841994,10.773223,8.317271,7.6588206,9.982685,8.822787,9.855908,8.259068,9.460981,8.946194,8.247115,8.654926,8.627342,10.339878,5.711379,8.3111,7.511315,7.4099016,8.163105,6.6621523,9.231582,7.7665873,8.915151,10.007223,9.664872,8.226593,5.9246845,7.5600224,8.596082,7.445028,8.368845,7.935693,8.904412,7.1663766,0
7.638874,9.701811,10.147994,10.155026,6.0115705,11.44865,6.1241055,11.847659,12.928523,11.4903145,12.413899,9.247588,10.863731,11.389018,10.308252,10.553185,13.262929,12.104129,12.120205,11.334614,9.060004,13.013831,8.774152,8.378588,8.735286,9.4807625,9.252095,10.635858,8.85645,13.066344,11.369291,10.011345,9.862036,9.825676,7.1767445,9.642251,10.905385,9.453589,8.45935,8.926915,8.430559,6.6886,4.087224,4.1004467,8.6493025,8.637707,10.794686,7.9772596,9.490273,10.10869,2.839147,8.103063,9.742153,5.234654,6.119916,10.362095,3.6489215,5.936332,7.360087,4.111233,6.928145,7.3138676,5.752985,9.992663,10.631862,3.5717614,7.434884,9.018581,2.8052359,8.253455,4.630373,9.675941,6.7267175,5.7694964,3.569447,6.9627614,3.4059954,6.6881647,10.816199,10.525785,10.2391815,8.1285515,9.654109,8.896718,8.622031,6.4811206,8.213126,8.385932,8.122875,10.1397,8.724393,8.311391,6.5653834,8.809881,6.548364,8.101414,9.660578,3.5348952,11.588713,10.466337,13.020712,11.795214,10.114983,6.886769,11.340468,5.993045,8.770811,12.946619,9.731237,11.849775,8.7559395,9.353146,9.834279,7.35825,12.961292,9.715043,8.481466,9.169457,11.49813,11.801067,7.27057,6.6714635,9.120339,6.572044,12.905753,8.672377,8.692849,9.015972,8.099346,6.963818,3.762114,9.122241,7.9576526,5.0848045,8.058656,11.778994,11.576382,3.240379,10.682905,11.275759,8.94376,11.196663,8.223796,10.292095,6.910548,7.0572667,7.8424864,4.034935,8.374029,8.24312,3.0621972,5.931066,8.7544985,9.407024,5.712517,6.658331,5.600522,5.526494,6.352636,9.931113,9.760708,10.091593,6.6370816,8.804581,10.801225,9.884436,10.277901,7.5240426,7.4734263,12.012528,6.8723936,7.3288875,7.265929,7.1363378,10.303032,9.598645,9.640109,10.435395,8.32559,8.373611,7.1944833,10.241958,8.918107,7.229919,7.7994523,7.1976237,11.935606,6.8955984,9.4949665,6.864052,7.84698,7.9405684,6.560691,7.5529866,8.068329,10.048896,11.166693,10.018369,7.5676646,6.822214,7.169296,8.401615,7.6498604,8.289005,7.797044,9.928679,6.664788,0
7.167486,9.555096,9.562671,8.9658375,6.4590836,10.455177,6.6017847,11.186148,13.1464,11.982831,12.869924,8.617615,11.5228,12.02312,8.765362,10.378679,12.056739,11.685336,12.712359,10.485718,8.826938,13.185962,11.313236,8.091736,8.429516,7.9075365,10.384688,11.841099,7.6496973,12.825368,11.914766,8.601964,8.683908,8.50518,7.883834,9.54318,9.288354,9.684385,8.825967,8.531129,8.657282,9.06056,4.651975,4.2141542,9.359182,8.834986,10.819678,7.2483974,9.202165,8.818755,3.1403785,6.888278,8.612627,6.061265,6.7092257,9.9495,6.8279505,5.011258,6.202646,5.46669,7.4061527,8.248684,3.131354,10.452382,9.797493,4.0328393,7.672781,8.831526,2.8407388,7.399579,6.9025726,9.503341,8.047168,5.4775004,3.7858427,8.23362,3.0777237,8.596103,9.741374,9.066313,9.000437,7.624489,9.067583,9.607437,8.325535,7.241692,8.868541,7.9129143,7.517724,11.143139,9.667793,7.3615613,7.6790047,7.7252297,6.776436,6.8297067,11.539182,3.3047287,13.415205,10.7418585,12.802682,11.92838,11.101894,6.986584,12.06093,5.1563263,7.8412557,13.161284,9.642938,12.0218525,7.6443276,9.99964,9.938264,7.4607573,13.124875,12.042684,9.630682,8.977095,11.711766,11.572634,7.548466,7.00443,9.52945,8.460894,12.66517,8.272524,8.841416,8.825325,8.230671,6.54625,4.5743437,9.889259,7.1611056,5.067363,7.3272,11.982317,12.106321,3.5041702,10.664841,11.234289,9.749828,10.723897,8.643923,10.335368,6.6885586,8.211166,8.257162,3.9564621,9.082554,8.040107,3.0085833,5.599325,8.585591,9.979871,7.356062,7.372475,6.7158422,3.9684913,6.1321597,7.742169,9.065865,10.448273,7.777041,9.075025,9.882785,10.445488,10.481273,7.720945,8.530754,11.574068,6.999901,7.6106224,7.464465,7.385246,10.645422,9.047146,8.564228,10.345504,9.727103,8.6440525,8.269979,9.164232,8.71646,7.6362114,9.024881,7.39429,10.727132,7.1786337,9.386628,6.99619,7.3138647,7.978116,6.5191274,7.4301453,7.2845306,5.1400137,5.980513,10.239386,6.8701987,6.6264477,7.2046537,9.111179,8.339329,7.5040483,8.654696,9.976355,7.3339987,0
8.341385,9.320021,9.558942,8.392219,5.373624,10.485082,5.7807627,11.891459,12.436824,12.347195,12.621096,9.038002,11.701238,11.973337,8.948071,10.685432,12.122399,11.595974,13.29443,10.317317,9.535027,13.048767,10.528413,8.940954,9.511442,8.880457,11.748504,11.821531,7.9049444,12.788626,12.43315,7.803485,8.191259,7.7668815,8.3846035,9.600441,8.101852,10.576037,9.753835,8.36297,9.18985,9.176399,4.4812946,3.834037,7.7717686,8.672772,10.494677,7.6031656,9.774914,8.872884,3.2090266,6.495405,10.069641,5.639642,9.334932,9.480015,4.1168857,6.3845778,6.898825,4.3172426,8.065775,7.837285,4.261489,11.289351,8.576004,3.8568087,7.251389,8.556854,2.874989,8.614227,6.0262184,9.684004,8.190217,5.5881634,3.7942812,7.8640046,3.277558,8.962516,8.865743,8.417039,8.325978,8.602483,9.00097,9.758584,8.919336,6.5266175,8.1146755,7.735091,7.698889,10.948288,9.612175,7.680117,7.940903,8.580883,6.95045,7.7256136,11.106016,3.554243,10.99094,10.571657,12.782838,12.410211,10.068901,7.5111914,12.057226,6.797487,9.002619,12.994121,9.547062,12.483746,8.966135,10.118582,9.54285,8.189453,12.92962,9.128656,8.942024,9.092355,12.228112,11.706333,8.216831,8.596804,9.675978,8.832827,12.700296,8.907066,8.96454,7.9321795,8.03553,7.207311,4.036287,9.826272,7.481777,4.9654226,7.884873,12.466335,11.748174,3.3479502,10.557793,11.497177,9.954697,11.1078205,8.5924835,9.705618,6.299489,6.590303,7.4571114,3.6126714,7.853448,8.030054,2.863849,5.6437373,8.375318,10.7534,7.8247538,6.7828574,7.0562983,5.50275,6.664404,8.592511,9.702791,11.2303,6.930546,9.09305,10.101316,10.648245,11.527077,8.011368,9.14011,11.559192,7.0739503,8.601759,7.8308234,7.022795,11.179569,9.008,8.774309,9.828814,8.054311,9.834585,8.481366,9.222078,9.05062,8.41227,7.8501673,7.933055,10.324505,7.1285377,9.509238,7.1875734,6.958704,7.9519963,7.244138,8.693151,7.1368165,3.767828,3.4214845,10.153749,7.026922,6.1881104,6.7145815,8.382742,6.539035,8.052237,8.793112,9.186261,7.432265,0
6.9452662,9.173178,10.941299,9.323421,5.978307,9.778678,6.0048075,11.881895,11.936819,11.960231,12.178632,9.412081,11.402099,11.752386,9.803089,11.323072,12.195627,11.440945,10.373148,11.602758,8.796731,13.178961,11.048481,9.316694,8.862505,9.239946,10.895549,12.365547,8.544721,13.400096,12.461275,9.2202015,9.158918,10.371109,8.37282,8.915262,9.088703,10.665774,9.954116,7.753256,9.988329,7.3831806,3.5589473,4.4572353,7.915061,8.374711,12.788756,6.8977757,9.371422,11.082057,2.9885693,8.034822,10.199633,6.246824,8.433189,10.665772,4.2118115,7.7380085,6.384305,4.5871477,8.804711,7.6956596,9.918865,11.053264,9.314059,3.4172204,7.7573195,8.427898,2.9506915,8.343067,4.87549,10.781797,8.441427,6.125543,3.5061865,7.575077,3.3925598,8.427301,8.793356,8.582446,8.553589,7.891176,10.45069,9.291939,9.025941,9.120625,10.823283,7.684886,8.415611,11.124863,9.739068,8.681459,7.6617823,10.904915,7.2147126,7.567507,12.177972,3.543393,11.885414,10.237659,13.365329,13.693283,11.617384,7.9160724,11.358604,7.8579693,9.661039,13.174645,10.205383,13.598277,9.569759,9.13303,9.013292,8.271841,13.165031,10.159704,10.117836,9.506698,13.661029,12.037635,7.5790396,8.11318,9.124003,8.5803175,13.242793,9.325872,9.120545,6.767364,8.113916,7.9943466,4.063973,10.200746,7.4470105,4.646923,8.224636,13.66586,11.45042,3.2470279,9.837043,10.880453,9.628622,10.817138,8.516669,8.856673,7.1990004,7.1551104,7.0293946,3.743225,8.395613,8.502958,3.5212626,5.858549,8.951923,10.02436,5.4485683,8.363077,7.3123527,4.9471684,6.631952,8.433375,9.55331,10.932032,6.976855,9.046204,9.498227,9.702721,10.295721,7.9181128,8.263264,11.165482,7.223822,8.21445,7.3908877,6.8941665,10.892553,10.482453,11.951743,9.77611,9.1631365,9.115267,11.451618,10.011318,9.325853,7.6293774,8.470524,6.80576,11.528366,6.77004,9.559688,6.170713,7.86313,8.710657,6.5144095,8.505596,7.992603,3.6398683,3.2201848,9.634291,7.2148323,6.3665075,8.189064,8.066042,4.9427214,7.1766205,7.987528,9.941762,6.880577,0
7.8638515,8.620539,9.894802,11.62645,6.6109805,11.597482,5.472563,11.653432,12.566447,11.578793,12.6582575,8.164017,12.017478,12.307593,8.472267,12.064653,12.787066,11.4877615,10.69619,10.979453,9.402448,13.381052,10.579379,8.672482,10.331281,7.9399476,11.114143,12.248316,7.5313673,12.712861,12.687355,10.627598,11.355919,7.3586607,9.3661,8.063396,8.386879,12.360287,11.785854,7.9196506,9.8503895,8.043312,3.3091364,4.2846823,7.3823266,9.152557,10.782834,7.1706276,9.10757,9.089862,3.2782314,6.470621,9.852815,5.9938126,8.015203,10.565374,5.74257,10.219777,6.546018,4.261151,8.568238,7.7341604,3.5702431,10.47293,9.521502,3.3637357,6.3640847,7.9616385,2.8198876,7.3120804,4.7511177,9.971508,9.367233,5.888968,3.6964056,6.545673,3.3522089,8.782438,11.047292,10.483773,9.932396,8.281647,8.97419,9.889535,9.193104,8.865339,10.435587,8.300236,7.5489206,11.621086,10.243594,8.739503,8.437961,9.030288,7.223842,7.514502,12.99442,3.7114482,11.776088,10.8837,12.689642,12.422234,12.447895,6.7157135,11.896462,5.712503,9.855896,13.321641,9.873404,12.650593,9.808106,9.23659,9.063411,6.2459955,13.296316,9.575442,10.890045,10.239393,12.282138,11.809406,8.103136,8.0117035,10.058887,9.5323,12.568074,8.825773,9.152632,6.314938,9.417711,9.682702,6.233507,10.812697,7.206778,4.939808,7.336854,12.44821,11.872259,3.4899821,10.649925,11.427736,9.169363,11.115406,7.8771853,8.140186,6.7679667,6.485869,7.0411024,4.0166283,10.226648,7.8655734,3.1146226,6.0922503,9.1877985,9.424303,8.436225,7.1427827,5.7708626,4.187179,7.2628026,7.3071556,8.437574,10.571716,6.477014,8.028227,10.97509,10.364393,10.803474,7.300268,7.5122743,10.88541,7.469245,8.426569,7.173752,6.084381,11.258757,9.454564,10.690355,10.166502,8.427885,8.877616,6.502078,9.213747,9.189144,7.9195566,8.208492,8.121777,10.181241,6.8105087,9.526464,6.9914994,6.5079093,8.016681,6.0798116,7.7082872,7.0522423,3.880498,3.1225328,10.925106,6.205822,5.718836,5.9590573,9.221987,5.4753633,7.856339,7.7500734,10.192444,7.3056154,0
