"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
16599,546,3400,7430,542.2,4369,5723,2142,7225,347.1,11558,2089,5394,1957,32818,3206,770.9,703.7,1236,894.5,4825,678.9,9478,5603,544.7,348.5,2282,3159,150.1,1437,281.4,144.3,1464,635.9,267.3,40.3,110.2,1538,966,476.2,136.6,3827,514.9,86.3,196.5,400.6,366.6,1166,455.1,129.2,1361,382,3,268.3,387,154.7,862.6,582.8,44.6,542.1,1096,27,116.4,32.1,606.5,296.5,227.2,46.4,669.3,10.9,246.7,466.2,240,19,1262,254.2,1415,577.4,507.4,924.5,105.5,698.6,676.8,238,608,208.6,646.9,199.8,291.4,9034,39.8,3853,2810,9286,5472,2000,171.8,6032,1479,451.2,30318,1024,5364,226.4,1970,2513,928.7,25382,740.5,707.2,3908,4175,1548,795.2,952.5,783.6,470.5,8544,1128,1115,118.9,308,141,27.2,298.8,592.3,13.1,305.5,5623,1397,6,467.3,4492,375.7,4239,2157,313.2,80.2,143.2,546.5,150.3,2151,246,39.1,353.4,499.3,1721,181.2,216.5,268.7,162.1,422.4,2349,481.1,1129,285.9,746,450.3,164.5,0
7745,809.5,7280,4392,414.4,3355,7955,2161,4056,1436,9679,4790,3465,3534,27999,2895,2300,1520,852.1,2875,9977,738.3,13281,6980,1423,831.7,1226,1168,303.1,670.5,2548,1006,1086,590.7,413.1,60.3,167.7,977.7,938,947.5,134.2,2990,2376,172.1,158.2,3627,1113,1635,3319,252.6,496.7,213.9,52.1,738.2,215.4,112.8,4531,167.9,45.2,133.5,1143,7.4,18.7,86.7,563,1262,169.5,41.9,299.2,14.7,444,482.8,368.6,13.6,842.4,383.7,1731,3559,464.1,770.6,284.7,546.9,8029,2317,658.4,2355,741.7,343.8,526.8,2581,55.8,1434,2800,12326,16856,411.2,623.2,7708,2837,703.8,27648,995.7,16638,433.4,1323,2652,2147,28506,250,452.6,1578,13425,4057,440.2,1730,813.3,1420,12453,2738,635.2,129.1,297.9,160.2,55.2,3490,354.2,17.3,216.2,13709,978.4,12.5,2128,3230,535,6758,1226,376.7,82.8,236.6,313.6,81.3,3599,450.8,31.9,305.8,544.8,2183,456,436.5,124,216.6,566.9,627.8,3020,7365,221,1085,647.6,533,0
11986,860.7,7104,4415,319.9,2884,5840,1954,4623,901,8580,2884,6990,3577,30539,2160,2218,917.4,1278,2812,10628,563.5,11490,4418,939.7,768.9,511.4,1801,229.8,433.3,1591,673.1,1276,1235,1073,29.6,122.6,1491,803.4,1127,129.2,2763,6608,160.2,231.6,2342,1004,1357,3868,74.8,1444,219.6,5,422,252.6,99.4,3176,120.1,41.7,282.3,1169,3,86.6,95.9,710,872.1,208.8,12.1,682.5,14.1,193.5,435.4,288.2,42,711,605,1975,1303,475.2,674.9,146.2,593.4,1909,477.2,1241,2700,511.1,217.1,347.7,3602,82.1,2848,2566,11611,15303,911.9,491.1,6621,2238,563.9,31939,941.7,13369,297.3,1062,2836,1363,31144,542.7,488.8,1673,13125,5013,416.5,985.8,702.1,1287,11073,2832,751.5,189.2,185,127.8,25.3,548.8,537,14.7,299.9,14990,1240,35.1,4619,3079,309.2,4580,1049,988.6,102,271.9,393.6,133.7,2434,241.7,55.9,241.4,506.4,2808,62.2,370.5,286,125.7,385.3,1095,2015,5998,218.6,432.8,311,367.6,0
8877,1163,9733,6094,546.9,3648,6481,3086,7671,2859,11878,5452,3953,6258,29901,4318,3055,1735,965.2,2855,12070,1290,17226,6524,1069,924.8,1137,1408,195.2,1438,3864,2836,733.3,2549,627,35,85.3,904.3,883.5,1693,169.8,2900,4621,83.5,277.9,4940,560.5,1024,2239,465.7,1685,178.3,90.9,804.1,326,11.2,6718,3316,17,213.7,843.6,26.4,85.2,49.3,1229,1872,155,11.9,397.9,3,663.9,1464,630.5,473.6,606.4,1098,2966,2983,465.9,828.4,265.7,538.1,3517,881.6,481.6,1895,764.1,685.5,248.7,3339,13.1,2227,3005,15857,17913,914.6,599.2,6485,1591,1161,27502,1292,17591,947.7,2050,1867,1677,25215,528.9,485.6,2096,15569,5899,398.2,1324,1730,1366,16239,3092,859.7,131.2,319.8,218.5,41.3,1205,317.1,9.1,436.4,16455,3541,30.3,4445,3508,329,5604,1152,758.5,122,222,343.3,50.5,2065,254.2,6.2,98.7,251.4,1805,100.4,731.1,193.5,45.8,382.7,1241,3905,9211,115.2,1020,948.5,736,0
9891,1568,6770,4824,462.4,3758,6050,1782,4023,2169,9268,5495,3935,3119,15460,1142,2095,1002,1021,5748,8956,902.1,9220,4937,1071,1521,496.7,1022,400.7,1005,2342,1622,926.9,1570,951,33.9,87.6,950.5,942.1,1291,53.6,3906,1119,223.8,211.6,3423,401.9,1809,2308,425.6,1678,171.2,22.8,1140,300.6,155.8,4124,3612,26.3,166.6,845.7,27.2,142.8,29.8,1174,1490,170.2,10.1,765.3,8.9,771,589.1,229.2,38.1,866.5,791.5,1819,7060,460.8,909.3,227.3,599,2202,656.8,716.7,1304,1256,949.5,201.5,6361,50,1459,3458,9355,14494,582.9,289.1,5742,3796,940,14689,768.3,12060,706.9,3202,2220,1246,13218,398.2,434.8,1208,12196,5924,501.8,1976,1122,1042,8854,2150,877.8,92.3,263.3,162.4,34.8,831.8,416.7,6.8,386.9,14961,2675,31,2274,3570,349.3,4310,1364,557.7,112,223.7,408.9,53.3,2094,679.9,19.6,120.8,288.4,1224,187.2,384.6,222.9,100.1,520.1,253.5,2939,6405,159.9,612.6,328.9,504.8,0
9492,948.6,8747,5238,493.9,7626,12092,1792,5621,2933,5192,10459,2663,4415,24642,1075,1705,2187,616.3,11396,15758,1141,14210,12212,539.5,905.2,1032,599.4,227.4,476.9,3599,3046,597.1,782.7,1361,24.8,65.5,714.9,724,879.4,113.6,2450,943,59.9,371.9,2523,593.4,6457,1461,51.8,659.5,103.9,103.2,1565,434.4,463.8,5941,1150,35.5,146.2,552.7,48.6,136.8,114.3,776.4,1251,111.6,18.2,547.1,3.6,2936,2058,852.4,651.2,738.9,1055,1582,3360,348,608.7,453.9,595.2,2215,710.2,750.8,1214,762.5,517.6,107.6,1053,38.9,6204,2526,15471,15467,553.7,373,10608,252,1009,26347,681.7,14175,574.3,2222,1854,907.1,26260,1562,504.9,974.6,15683,5196,645.1,7592,2230,2284,13601,1956,769.8,166.8,354,219.2,65.9,829,355.9,9.1,477.6,15726,3086,5.7,2212,4230,294.6,7674,465,619.1,83.1,197.7,538,38.6,1036,445.2,31,88.8,268.7,1147,175.5,567.5,182.3,141.8,309.8,634.2,2556,8744,295.7,611.1,658.3,391.2,0
11017,1489,7052,5508,342.4,5676,9924,1450,7719,838.7,11373,3258,5552,3136,37956,3335,1650,583.2,1094,5084,8658,1271,15367,2577,404.1,555.3,729.3,744.9,182.1,426.3,1083,727,675.7,1161,181.4,66.3,143.5,1256,1103,2204,91.7,4430,2459,21.7,246.1,1720,350.7,694.5,2927,56.8,2204,84.2,8,539,235.9,10.9,2805,3265,45.4,155.9,1054,52.5,19.5,19.4,1063,2177,173.6,56.5,188.8,20.6,574.6,354.6,215.8,116.2,460.3,354.3,3134,1343,385.7,465.7,128.8,429,3300,919.2,1662,2650,552.7,1123,290.5,886.4,61.1,2691,2949,14848,15660,660.2,175.9,8410,4569,452.3,38510,888.5,11585,240.9,1994,1966,1134,33352,519.2,562.7,2362,12760,1975,516.7,1047,2107,686,14986,1650,1166,8,130,79.3,3.4,1483,409.6,11.7,529.4,17478,3496,8.8,4670,4244,136.8,5309,513.6,240.1,115.2,83.6,263.1,68.6,859.6,415.2,80.9,190.8,313.1,2813,182.1,158,133.2,57.1,513.7,758.7,1363,5034,266.3,1608,506.7,377.8,0
10115,1745,6849,4272,488.7,1730,3296,2317,5382,3828,9835,2333,3796,2537,30036,4863,1772,1685,760.3,1686,13786,1927,12908,6089,556,424.8,1385,2036,624,508.3,1431,1026,724.1,812.4,670.3,39.7,72.1,976.9,964.2,1014,84.6,2577,1247,4.1,147.8,1028,480.4,636,3224,444.3,709.4,157.4,10.5,1538,290.1,101,2283,2388,39.1,221.9,887.3,26.3,35,160.6,558.4,726.4,268.8,66.7,280,3.3,1209,1728,920.7,548.8,495.7,652.2,2264,1732,791.6,1540,171.1,522,5113,1215,548.3,2404,358.4,429,154.8,924.7,35.2,5149,3467,12498,7532,1451,493.7,5371,1869,323.8,28581,989,7378,172.6,1924,3009,774.5,25469,1401,790.6,2800,4905,3658,762.8,891.6,515.8,1138,11972,2324,738.5,94.2,221.5,92,66.7,1716,459.2,6.9,384.7,8420,2048,20.9,1295,3344,379.7,3536,913,590.2,62.9,288.7,251.5,48.4,2123,400.5,22.2,103.7,312.7,1784,146.3,264.4,101.1,51.8,506.3,361.4,1023,3292,154.9,684.9,657,578.9,0
9904,1196,15429,5541,844.7,4080,7450,3079,6552,4413,11527,9442,3782,8764,28236,3222,6082,975.8,925.3,2441,19288,2499,20041,12885,1763,2005,1316,2799,211.5,1103,4795,3796,824.2,1247,573.7,44,61.1,733.5,872.7,1307,91.4,2380,1325,107.8,350.8,8082,267.5,1567,2073,395.6,257.4,92.5,160.6,1236,290,68.4,10612,408.2,35.4,236.6,722.3,24.5,49.1,153.6,892.6,1858,314.6,15.7,812.6,6.9,1273,1310,495.3,258.4,541.8,706,1876,6111,543.9,1266,229.4,607.7,9525,2674,671.6,1551,547,709.1,163.5,3655,44.2,5805,3321,18680,21285,934.1,790.4,7300,937.1,1375,28611,406.5,18193,1194,2230,3383,3486,24449,1442,561.7,1751,18108,3638,766.8,1584,1680,1243,18341,8047,723.1,197.3,622,194.9,57.4,7653,312.9,9.8,525.8,20607,2643,8.3,5031,4108,357.5,6116,313.7,593.9,181.3,355.7,340.4,57.9,1264,226.9,37.5,107.2,412.9,1394,167.4,502,150.3,83.7,375.1,483.3,8967,17372,307.9,802.7,516.3,950.7,0
8729,1032,9462,4755,448.7,3636,6030,2553,6405,2040,10037,5996,4367,5227,30097,5326,2627,1423,628.1,3132,11073,1949,13885,9136,856,1031,1029,2430,198.7,605.7,2493,1775,911.6,1797,745.9,52.4,85.7,950.7,948.9,1541,76.1,2705,2232,92.1,309.4,4068,401.7,1218,2448,341.9,1066,212.8,77.3,1672,253.8,7.8,6437,3244,37.2,277.9,1034,4.8,57.6,105.5,1490,1075,246.6,87.3,682.2,8.7,594.1,866.8,362.8,199.9,680.9,861.1,2667,2872,444.3,1220,229.6,419,2842,911.9,699.6,1681,625.7,1234,189.5,2690,34.8,3274,2923,15416,16912,1209,632.6,6656,2473,509,30091,1095,14379,341.9,2054,2067,1806,27299,762.5,582.5,2943,14660,3842,574.1,1725,565.9,971.1,13354,3255,847.1,132.5,480.2,134.2,40.3,945.7,390.9,9.7,457.6,18007,2668,29.2,4425,3201,291.3,4843,682.3,852.2,104.1,226.8,402,156,847.2,326.2,24,102.9,280.8,2487,183.5,378.6,171.3,41.4,306,173.3,3323,10113,283.1,802.6,455.8,413,0
