"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
10.2296,10.732,10.7414,11.2287,9.9195,11.4438,9.7967,13.6808,8.2277,7.7675,13.4672,9.0047,9.96,10.0364,9.8329,13.034,14.0061,12.9202,9.9392,9.2661,7.8481,14.3268,10.3796,7.2355,5.8254,10.6323,11.901,14.2186,8.8331,12.9474,12.6236,10.6213,10.9963,7.1671,9.6534,8.7487,9.6024,7.0693,4.9871,10.8111,10.6489,9.3327,6.8336,7.8865,10.7156,7.9269,12.8969,8.865,12.6857,5.7271,3.6393,7.2106,6.8662,7.015,3.2721,11.6188,7.9931,6.4096,9.8898,4.1778,7.6368,10.7724,7.2933,7.6604,5.4282,8.7205,9.6318,10.5157,1.9479,8.9253,4.9366,10.3919,11.2545,8.4847,5.1291,11.0542,4.726,9.9928,11.7543,11.5898,9.5558,11.4575,8.3982,12.485,11.8276,7.4877,6.4465,9.5124,9.8502,5.5184,5.1544,11.9427,5.8038,10.0205,8.8838,10.3646,6.2777,5.8218,7.1025,13.0838,12.8051,4.2747,12.0867,8.7136,12.5783,7.3824,8.636,14.2077,12.8968,4.1411,7.1702,11.057,11.5681,2.5508,14.3048,7.0959,10.8163,10.5529,4.0341,12.1633,7.95,8.3533,9.0859,11.6844,12.7775,6.4305,10.5447,3.9445,10.0513,5.5325,3.7854,4.7353,9.4676,5.396,10.0918,4.4146,12.3964,6.0617,7.6589,12.9238,7.985,14.3654,10.8685,5.2865,5.1907,9.6288,9.3966,7.9914,12.4122,10.1896,6.7521,8.0517,11.6684,10.3244,11.4867,9.2024,9.1899,7.7386,7.3741,10.3673,6.1953,7.2942,10.0911,9.9177,11.4504,12.5296,5.6184,10.3638,9.3113,11.6937,10.5377,7.935,10.5538,9.0943,11.9153,10.5817,8.1872,11.6688,11.5652,9.8343,9.258,11.5398,11.8958,10.3525,11.0428,10.518,11.2255,8.9436,12.1276,9.0628,8.878,9.2859,9.2823,9.59,10.887,8.9674,4.8159,8.4683,10.541,4.5285,9.113,10.8495,7.7622,10.7238,9.9267,9.5079,8.1841,0
10.5113,10.577,13.8148,11.8481,9.434,12.5889,9.3856,14.1095,9.8281,6.5411,13.6915,8.3829,10.4475,10.7139,8.7889,12.534,7.075,13.359,8.3497,5.3241,6.082,15.7768,10.9978,7.057,4.5904,9.2079,9.3873,14.785,7.3703,12.1236,11.1275,10.5634,11.683,8.6356,8.3966,9.1543,8.7334,7.1431,5.4113,10.2743,10.8769,10.2596,6.6166,7.2384,10.2185,9.8348,14.6589,9.132,12.4137,4.3021,6.6637,6.9365,5.6201,8.8001,3.9524,9.003,7.0604,7.9467,9.8134,4.6304,9.8439,9.6837,7.6615,8.3587,4.1298,8.9367,10.4235,10.7245,6.587,11.076,4.411,11.3638,10.8052,8.3904,5.7767,11.4714,3.5981,7.9145,11.1819,11.3693,9.2452,11.374,12.4199,11.5937,11.6848,7.2574,6.224,9.7344,8.6693,7.7125,6.1375,14.9369,3.3349,9.9628,9.7323,10.5956,6.376,5.8977,5.4298,12.9486,11.9575,3.2028,9.6537,6.783,11.7159,6.2763,8.6227,15.683,13.2699,3.6886,7.9229,10.8337,11.0959,5.8632,15.7108,7.3773,9.2373,9.9193,2.7841,11.6352,8.816,8.8134,8.1631,12.2421,11.8468,5.8861,10.4716,7.5215,12.2102,4.4246,3.1991,5.6257,9.2165,5.9166,9.4343,3.9673,12.5326,6.7667,7.6306,13.85,10.0078,15.0296,10.5283,7.9991,5.6457,8.9495,7.9606,7.0957,12.5384,8.9925,4.5323,8.8654,12.5948,10.1002,12.5964,8.9675,4.7674,5.6894,8.246,7.8079,4.8175,8.305,9.5951,11.253,12.3057,13.6966,6.5089,10.1977,9.2178,13.2665,9.7039,6.8424,10.1204,8.7837,11.2227,13.8807,7.7994,10.6306,10.6622,10.9227,8.462,11.291,11.9424,8.9266,10.4665,9.489,11.5852,8.7053,13.8689,9.5607,8.854,8.8966,9.782,8.9516,10.1292,8.5508,4.9749,7.7873,9.6219,6.4409,9.9844,10.046,8.8013,10.1198,10.3995,9.2953,3.7166,0
11.2939,11.6226,12.0172,13.2032,8.9601,13.6468,9.8941,14.3445,10.7391,7.7445,14.1433,9.3337,10.9904,11.7202,9.0502,13.226,12.5921,12.8238,9.4528,10.3916,8.8783,15.0443,10.5279,6.6933,3.9392,10.5121,10.449,14.4434,8.2852,13.0222,12.9494,11.4981,13.257,7.8762,9.3017,9.1394,10.0617,5.3586,4.6226,10.9215,10.5045,11.4456,6.5883,8.3532,8.8738,9.7986,13.7107,10.8083,13.1335,5.1191,5.131,7.9654,6.573,8.8325,3.392,9.3084,6.9812,7.7821,9.0222,2.6687,6.8251,9.9946,7.2812,8.643,4.6242,8.4363,10.0095,11.0765,4.9473,10.7297,4.2762,10.7796,10.9023,7.7602,2.3963,10.9948,2.7529,7.8215,10.5335,10.7741,8.8118,12.4191,10.3171,12.2401,6.6107,7.3061,5.9954,9.2319,9.3052,5.8823,2.0479,12.8607,3.5983,10.317,10.413,9.575,5.5834,5.3081,5.9155,12.5265,12.9939,3.6482,11.8105,8.7812,10.6259,3.7356,7.8831,14.9371,12.7237,3.0199,4.8474,10.6465,10.9591,4.8724,14.8974,6.3349,9.9625,10.3369,3.5215,11.986,8.7324,8.7201,8.4503,8.6553,12.8134,5.0056,10.9483,7.4878,10.7857,6.6633,2.5705,3.0603,9.4159,3.6683,9.6921,2.8769,13.4161,4.7228,9.8512,13.8714,8.3477,14.4716,10.7073,9.0146,4.9513,8.9608,8.1802,7.522,11.7417,10.5113,5.659,8.3862,11.8867,10.2746,11.777,10.0218,8.6485,7.9831,8.0234,6.976,6.2478,8.4019,9.8667,10.6439,13.1273,13.2538,6.8818,9.6445,8.8688,12.6139,10.1396,7.2641,10.2622,9.9735,12.2279,11.8729,6.8667,10.9655,10.8699,10.8072,8.4155,11.5921,11.3713,9.398,10.5569,10.227,11.5318,8.9588,12.7632,9.4443,8.5993,9.5428,8.9366,8.4787,10.0604,6.1262,5.718,8.0046,10.1392,6.8342,10.8118,10.2354,8.8773,9.8385,10.335,8.9151,4.1436,0
10.9449,10.7297,10.4318,11.0652,7.9375,11.9578,9.3627,13.741,10.2551,10.7592,13.215,9.7613,11.1237,11.897,9.5086,12.8588,7.2685,12.5658,10.1925,9.4812,9.6924,15.1749,10.8109,7.3854,3.7285,9.1194,10.3436,14.3399,8.3352,10.7394,11.4277,10.9322,11.0191,6.233,9.8663,9.6226,8.973,9.1843,7.5133,10.9669,10.4692,8.9366,7.0294,7.6856,9.5482,8.5018,12.5136,9.7784,11.2963,6.5191,6.5804,9.8127,6.9726,8.8604,4.6905,8.6764,6.5105,8.7835,9.5224,5.2506,9.6777,9.7536,7.8304,8.5525,7.1303,7.9367,10.4362,10.4531,6.8522,10.2046,4.6626,11.9421,10.7695,7.1428,5.4353,9.2881,5.4716,10.5775,10.7653,10.5025,6.7289,11.0868,7.203,12.0577,5.2663,7.5768,6.8926,10.8921,9.5471,9.2332,9.032,11.9625,6.743,10.0213,9.1824,11.3497,6.9185,7.4769,8.0645,11.872,10.7954,4.3035,10.1829,7.6037,11.5402,9.3968,9.3613,15.0577,13.2318,4.9031,8.5683,10.8634,11.5417,9.3679,15.0821,7.672,9.9923,10.8703,3.8341,11.962,8.065,9.6113,9.0864,10.6035,10.7677,6.5427,10.5022,7.735,11.205,7.9464,4.3851,5.618,9.819,5.2475,9.5485,5.9583,10.2909,7.3571,9.5937,12.9505,9.4639,14.012,10.7753,8.4102,5.6167,8.9625,9.1051,7.0016,12.8115,7.7373,8.2282,9.4713,12.6654,9.9152,10.2698,8.3809,6.1899,8.462,8.6253,8.6148,6.5415,7.6403,9.896,11.0326,11.6828,12.5117,7.2739,9.2604,10.0435,11.9108,10.2485,8.7512,10.2868,8.7015,10.7553,9.763,5.8738,10.9612,11.0146,10.5292,9.1006,10.6152,11.8502,10.0189,11.0841,9.6991,11.6841,8.5318,14.2956,9.0065,9.5473,9.6238,10.0485,9.7678,10.3102,6.9972,6.9108,8.9045,9.4994,6.9939,9.2155,10.6557,9.4599,10.165,10.128,8.859,5.7238,0
10.7791,11.2741,12.3015,11.2595,8.0804,13.0593,9.1589,14.2174,10.1598,9.7967,13.6845,9.1628,10.5012,11.432,10.111,12.9868,6.819,12.9053,7.0242,5.6549,8.7187,16.2233,8.9838,8.4189,7.5901,10.0978,10.5231,13.6847,5.5377,11.8983,7.9947,10.4192,10.5471,4.7684,10.3591,9.7059,10.5778,9.1699,7.0287,10.4583,10.6838,9.8442,6.8877,4.323,10.0966,9.2655,9.2339,10.0041,12.3617,5.7555,4.3634,6.3144,8.2001,9.1755,4.8333,7.8856,6.2641,9.0786,9.6932,4.1686,5.3196,10.4991,6.6529,8.1637,6.3069,7.8238,11.0918,10.8354,6.5075,9.5855,6.2583,9.1985,9.463,8.4543,7.7994,9.6514,3.958,9.0542,12.2212,11.9966,8.5413,10.205,9.3406,12.3004,6.08,9.1221,9.8957,10.1496,9.1527,4.9898,7.7046,13.3115,5.4281,11.0366,8.0417,9.9078,7.8144,3.6239,4.4204,12.3594,11.8126,5.1137,12.7219,11.674,13.1403,7.7316,8.1876,15.8678,11.4505,3.7501,6.2717,9.5699,12.2244,6.4208,15.9745,7.794,10.1803,9.614,4.5943,12.042,9.6717,9.9953,9.0391,10.5706,11.5516,7.0408,10.5727,7.4482,10.9475,5.6672,4.8007,7.4226,9.5039,7.3142,9.4687,6.0361,11.3699,6.0985,8.3296,13.1669,13.2019,15.0312,11.6349,8.705,5.8328,8.4327,9.4108,5.3432,12.1831,9.2831,7.8308,8.9144,11.5453,10.6541,9.9016,7.7701,8.9582,8.5734,7.6634,8.6523,6.4808,7.7913,9.3148,10.5748,12.5252,12.7368,6.6429,9.5163,9.9566,12.1944,10.086,7.4251,10.7427,8.9402,10.395,11.6255,7.8186,11.3654,10.6249,9.8723,7.6351,10.3195,11.9158,7.6713,10.6908,9.6867,11.4511,9.2991,13.7152,5.5668,9.3,9.7101,9.5219,9.7745,11.7074,7.0467,5.3254,8.8062,10.9783,8.3342,12.8932,10.7572,7.5899,10.0987,9.8274,8.3854,7.9798,0
10.3583,10.6785,11.1802,10.7233,9.4058,11.5847,9.2723,13.1712,10.0058,8.341,12.3967,9.2739,12.5425,13.3615,10.5084,12.942,9.1996,11.9769,11.4742,8.4898,9.257,16.1986,11.1733,9.5368,6.019,9.7903,10.7564,14.3381,8.6448,11.3936,12.1269,9.2896,10.3026,7.1613,8.5663,8.1175,9.1952,9.3666,7.9459,10.4399,9.9227,9.6707,4.4056,7.9676,9.349,9.9225,11.7187,9.2346,11.2485,7.3564,5.3723,7.0249,8.3406,9.6984,12.2052,9.1298,5.876,8.9856,8.3916,6.0642,6.2484,8.5273,9.1707,10.2424,5.7304,5.0625,9.4517,10.7771,6.5561,11.2189,6.424,11.0786,9.8484,8.0238,4.9213,10.3706,4.9208,10.9159,10.7149,10.871,8.4112,9.8857,7.7482,10.9871,9.1823,9.414,9.6858,8.4355,9.8718,9.4507,8.8697,13.1265,8.6278,9.7452,9.5297,10.3668,8.9122,8.3645,8.245,11.9794,11.4316,7.2076,9.5935,9.8873,12.9765,9.4658,9.4538,16.1475,12.1149,5.678,9.4982,10.4867,10.5381,8.2278,16.1774,9.8,10.2511,10.4455,5.541,10.7461,7.0233,12.1303,11.2712,10.5673,11.0108,9.3277,10.0632,9.43,10.5189,9.1613,3.3422,6.4933,9.9208,6.6194,9.5468,4.9516,11.2563,7.2156,9.1031,12.8793,10.4353,14.7157,11.0772,9.7338,5.9891,9.0568,9.459,8.1584,11.7784,6.251,8.843,9.5683,12.3399,9.8843,10.8732,8.5636,6.8987,9.1087,8.8372,8.5782,7.1293,9.6406,9.4207,10.2482,11.7116,12.596,6.0694,9.6887,10.095,11.672,9.5371,10.3463,9.9413,9.2078,11.1091,10.1282,8.8163,10.7166,11.2068,10.6165,6.3032,8.9875,10.933,8.9042,10.3068,8.9108,10.7995,8.7435,13.5897,6.4756,9.1942,9.2304,9.9613,10.1508,10.6752,6.6129,7.1252,11.2984,8.6477,6.3852,9.9581,9.9751,10.0089,9.3531,9.8847,7.2399,7.0667,0
9.8815,11.8221,12.0454,12.0995,8.9656,12.6681,9.4556,13.7606,11.2721,3.6218,13.666,9.0022,10.0939,10.625,9.3823,13.8141,12.3265,11.4072,9.9666,5.4204,5.9372,15.1192,7.3302,7.342,4.7898,9.7052,10.9603,14.0637,8.4313,12.7774,13.5861,9.5276,11.8303,8.8678,6.1284,8.5586,9.235,6.9885,6.096,11.2236,11.9478,11.0454,7.1275,8.0016,9.8173,10.0363,13.8828,9.5831,11.8941,6.3242,6.3406,3.1701,6.7943,8.8681,3.7214,10.2944,7.6175,9.2328,8.7957,2.834,8.7118,9.6542,6.9265,7.8786,6.8922,7.5401,9.3406,11.4267,6.5826,10.8395,4.635,10.3684,10.1643,7.8597,3.726,9.2528,5.1263,12.1615,12.5076,12.222,10.7884,11.028,10.7276,12.3283,8.229,9.7867,10.6009,10.822,9.8507,6.0679,6.5455,14.2357,6.3577,10.5549,10.2553,9.2776,11.9815,3.4136,6.0409,12.8727,12.8566,9.0141,11.3086,10.9039,11.3322,7.6825,9.036,15.1504,11.2603,8.2597,8.1175,10.0844,10.4772,8.2051,15.1628,5.5837,10.2614,9.9986,6.7426,12.0941,9.8503,8.3559,8.6898,8.6943,12.6807,6.0209,10.869,7.7857,9.4867,7.2349,4.4477,6.0397,9.4938,5.9624,9.4559,8.2121,12.6993,6.353,8.4087,13.3397,11.3778,14.6359,10.8772,9.5477,5.9092,7.545,8.969,7.0088,12.0871,10.0884,6.4585,8.5792,11.1339,9.4037,9.8801,8.6491,9.6633,8.4452,8.1653,10.2319,7.0517,7.7655,8.5403,11.7353,12.7249,12.3836,4.7723,9.8785,9.3824,11.6907,9.6435,8.2298,10.2059,8.1464,11.6179,11.4208,8.0823,11.1961,11.136,10.427,8.6928,10.7744,10.5746,9.4793,10.8589,9.4091,10.3611,8.6855,13.1966,7.9054,9.2858,9.0757,9.3348,9.7987,9.8097,5.4902,7.6771,8.1096,10.3245,7.065,11.1558,10.7007,8.5259,9.5531,10.4976,10.4427,8.0104,0
10.1426,11.427,12.3626,11.5627,9.1676,12.7779,9.3546,14.0578,10.2086,9.3101,13.6368,10.4181,11.1887,11.4842,9.3703,13.4914,8.7902,12.2673,9.5708,7.5786,5.7584,15.2769,10.6115,7.0491,5.8872,10.5511,13.6516,14.1784,7.2322,13.582,9.9001,9.8546,10.9811,7.7037,10.1258,8.8684,10.1016,7.8953,5.2965,11.0419,9.5558,9.628,5.9885,6.718,9.5479,10.6972,13.4306,10.3322,12.2791,7.7118,4.459,7.0408,6.2237,9.7812,9.0101,7.4793,8.7988,6.8439,9.7967,3.8575,4.7578,10.4655,7.3806,7.3487,5.9774,8.7462,9.2667,10.8353,5.4859,11.743,5.2598,10.7193,11.9479,8.1713,4.0391,11.5628,4.1559,8.7415,11.1361,10.8663,9.7147,11.4859,10.6213,11.1073,5.9674,7.7638,7.1257,9.7612,9.7207,7.2848,4.3212,14.5556,5.9817,10.048,10.1222,9.8449,3.5634,3.1506,3.7539,12.433,13.5989,4.1923,10.2784,8.4969,12.4583,7.6117,8.1044,15.2681,11.5361,3.8994,5.1965,11.1969,11.1103,7.2763,15.2494,7.3493,9.85,11.2168,4.1102,12.2854,8.9727,10.1352,8.9967,12.8519,13.4668,6.2261,11.1091,7.3326,11.624,6.888,5.7415,5.7088,9.8898,4.9204,9.6193,3.5194,12.9872,3.3304,10.0152,13.9898,7.2751,14.7053,11.1813,6.2399,5.2777,8.8286,8.4495,5.326,12.6136,9.485,7.3769,8.2506,11.466,9.3863,11.9756,9.2683,8.1433,7.3821,7.0904,7.1158,4.4483,8.1346,9.4098,11.131,12.3652,13.1843,3.9768,10.2499,9.4963,11.9851,9.2388,7.9035,10.0526,8.6141,11.6638,11.4746,7.9332,11.3937,11.1974,11.3961,8.154,10.7674,11.1877,10.5998,10.4981,9.4253,11.2897,8.8306,13.9028,8.9012,9.361,10.1394,9.4551,9.3483,10.1735,4.5869,6.8117,8.7748,9.7386,6.212,10.3513,9.9955,7.7296,9.6781,10.1531,9.8276,4.033,0
11.0897,10.9259,10.7224,11.3294,9.3525,12.4435,9.8933,13.8247,10.0761,9.6298,13.1817,9.4528,11.1691,11.335,9.4695,12.5711,10.153,12.3411,9.4987,7.7977,5.8774,15.276,10.0015,8.1535,5.6959,9.7079,11.3383,14.6402,7.8175,13.0327,13.0605,9.8664,11.2485,6.7577,7.8762,9.447,9.9543,8.2808,5.3287,11.6288,10.3741,8.8064,4.8697,8.1548,9.5948,10.1406,14.1175,9.0716,11.8489,6.9355,7.4907,4.3642,8.042,10.1968,8.6484,6.7155,7.1924,7.7644,8.9389,3.5293,10.0309,8.9858,8.4119,8.7371,7.5213,8.7119,9.9963,10.9952,5.4101,11.6409,5.1674,11.0647,10.635,8.5664,3.9765,10.1151,5.8978,8.8803,11.6087,12.1185,9.8238,11.044,9.0119,11.8785,8.5102,7.8714,5.8437,9.8061,9.5408,7.7629,6.0401,13.8264,6.922,10.2443,9.8095,8.9515,8.1432,7.5525,6.7588,12.6787,12.9685,3.8751,10.3796,7.5578,12.3758,7.9748,9.3028,15.2592,11.3988,4.1833,8.781,11.0415,10.8475,9.5687,15.2678,7.7383,10.166,10.4148,4.0771,11.842,9.1492,10.3508,9.6274,13.2144,12.9173,6.1213,11.2895,7.866,9.5461,7.6566,4.1978,4.5248,9.0743,6.3485,9.7469,4.7594,11.6174,5.6893,7.6018,12.6863,8.4505,14.6407,10.6899,6.86,8.0492,9.2424,7.6942,5.6618,12.4104,8.9503,8.382,9.1594,11.6117,10.4149,11.8829,7.9307,6.8316,8.2471,6.2455,7.8169,5.6183,8.0622,9.3889,10.5315,12.4446,13.0759,5.2478,9.6192,9.6016,12.2545,9.1272,8.0329,9.3559,7.9843,11.2579,9.4125,8.2965,11.5718,11.3172,10.5314,8.2598,10.6881,10.4521,10.0752,10.62,9.4612,11.3878,8.3631,13.7405,8.6832,9.0778,9.9968,9.1322,9.3858,10.408,8.0295,7.5182,9.7604,9.612,4.9843,10.4251,9.1273,8.9045,9.6786,10.856,7.664,5.4212,0
10.2762,11.5444,12.642,13.8817,8.6848,13.2728,9.7186,13.461,12.9372,7.4291,13.673,9.063,10.9588,11.5857,9.9443,13.8421,2.6032,12.4518,8.7708,4.412,6.5465,14.5129,10.1436,7.1228,6.7347,10.4111,7.7132,14.2207,7.3345,13.3395,8.3158,12.7706,13.8075,3.3619,9.1828,10.4179,11.8098,8.2602,5.6278,12.0809,10.809,10.8421,6.8238,7.0474,8.4531,9.8876,9.5166,9.3456,12.1808,6.7042,5.7189,4.8231,7.7498,9.3918,3.9962,11.378,6.3378,7.9604,9.0776,4.3309,5.8483,9.7805,7.2846,6.9343,9.654,7.6166,8.607,11.3781,4.9819,9.7617,4.0846,10.6913,12.6012,7.8089,4.0149,10.5957,4.4512,12.0048,9.1314,9.5265,5.6054,11.8991,10.5066,11.1244,2.8483,10.2558,12.1437,11.0371,9.2529,7.7014,6.6942,13.152,7.6703,10.8579,9.3778,8.6933,6.4703,4.5595,4.2999,12.5619,13.3294,3.8399,13.171,5.5691,12.0944,6.8619,7.5557,14.4276,11.5426,3.6319,6.8598,11.2001,11.8722,5.2816,14.4399,7.8667,10.9334,11.5724,3.311,11.0109,8.7589,9.6237,9.1818,7.2393,13.2526,6.5675,11.6979,7.8431,8.9478,7.3667,6.3012,5.3719,9.3814,4.5792,9.2583,4.061,12.9576,6.8125,9.9917,12.8338,11.5402,13.5566,10.4524,8.6968,5.4475,9.541,9.6064,8.7424,12.5659,9.9905,7.4546,8.4192,11.3129,10.6991,10.6766,10.3492,7.9313,10.5379,7.5853,7.6074,6.4496,7.2304,9.9127,11.7522,12.5984,12.638,11.5349,10.1869,9.2695,12.043,5.3256,7.0571,9.9196,7.9324,11.0001,11.6952,7.5799,11.4744,10.8571,10.3592,8.9564,12.3869,11.1792,12.6361,10.9917,9.7984,11.1885,9.6603,11.897,8.4959,9.2525,9.4977,9.777,9.626,10.1161,8.1032,8.2201,8.846,9.6308,6.8572,10.9573,10.6569,7.2028,9.0143,9.9028,10.7399,7.3841,0
