"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.679121427,9.466105499,10.50135511,9.587813227,7.538940625,11.77577028,7.414860173,11.67094805,10.4189624,12.44490268,11.68007905,8.305480249,12.02092091,11.81414016,11.11656741,11.05075346,10.58141416,11.74129688,11.76083854,11.35827688,10.43116481,12.67016823,10.67167651,10.52470593,11.08098866,7.767888166,10.90408561,12.33152473,9.315038177,11.7187604,12.48446126,10.32814291,9.544128901,8.615097915,7.525679599,7.215517535,9.676886488,10.9487983,10.34850043,9.563328277,8.72440951,8.960951062,3.28650698,3.236729504,8.080587728,6.878251502,11.18497582,7.787039319,10.09645812,10.43507606,6.603887677,7.58262119,11.92864818,6.502009097,10.2315555,9.582699954,10.18345549,6.192591789,7.420732777,5.45421185,11.70270618,7.891480531,6.516993911,12.11652185,7.982962263,4.789786184,7.177400925,9.082082527,2.331822857,6.728837266,4.91880222,9.320480454,9.555752293,6.709126724,1.649509376,5.604519636,2.941640843,9.367322324,9.824664396,10.0983277,8.607045218,8.957037109,9.091637831,10.06693493,11.70941649,8.342901508,8.905643748,8.213391975,8.174067245,10.92485228,10.47266066,8.733540641,9.21310626,8.783187302,7.421044521,8.679259624,12.06672896,3.880864997,11.76860158,10.98940467,11.57631427,12.36533877,11.27897923,9.979180868,12.30846335,7.246878807,9.886811735,12.57538594,9.345933635,12.64062151,8.934463258,9.631625001,10.25104801,9.501477163,12.61473532,10.76038415,9.638799398,9.420094036,12.68867517,11.60084067,8.382464558,10.08235712,10.94164327,10.49817406,11.53338914,10.95844275,8.278695992,9.03057015,10.0071163,7.43087567,6.223633797,9.462957261,7.789209802,2.940668617,6.790672063,12.36901578,10.91692328,4.627902542,10.90181533,10.92373053,11.3771573,11.37888585,10.53231828,9.096091165,7.356030828,7.700221821,7.398639842,5.492471284,9.651724512,6.160508099,5.036374548,6.754158779,8.83900317,9.442367241,7.064550861,8.657835618,6.905781083,8.088686497,8.234970182,8.091114649,10.63502518,12.19932387,8.273339907,8.777558464,11.19631493,10.2197763,12.21729261,7.452958217,6.819256244,9.559122347,6.741138048,9.200782227,8.103508447,5.275731521,10.12334807,10.4529381,10.69312508,10.12138458,8.060974844,8.493001701,8.52668068,9.463715121,9.942226801,8.036627185,9.460142032,7.468480565,9.70337791,7.041470503,9.112536239,7.693868048,7.757669397,8.197409018,7.124902443,7.467625847,7.139062029,9.399046995,8.808305298,10.06230584,6.648822225,5.571661071,7.880883754,9.010042475,7.493175106,7.765894179,7.758237942,9.971546964,8.109781071,0
8.075829837,9.457063972,10.05695278,9.361641483,8.243308723,11.07965612,7.292288498,11.60919474,10.0071163,12.00565696,12.13388249,7.892627281,11.14798572,11.42805267,10.71104884,10.70581856,10.35001321,11.67774142,10.90980749,10.04197259,9.638799398,12.61826651,10.9487983,9.024179012,9.807506413,8.372530649,9.842385348,11.41731182,8.928644019,11.97103412,11.1778867,9.835654191,9.260821739,7.587508563,8.313388126,8.070555703,9.839142356,9.91372535,8.99002001,8.852916209,8.712859529,7.847148081,4.733649541,5.577744949,6.916385312,7.742216823,9.222943784,8.255205652,10.10317572,10.58945847,6.125599952,7.476362701,10.75445279,8.70276764,8.904000826,8.953440643,9.374029696,6.404926826,7.742387658,2.088598814,8.524099283,7.820611961,6.318046419,11.02381295,9.632061123,5.058101196,8.150886228,9.145068232,2.786842951,6.250227294,4.805307643,8.987126791,8.047164921,7.052827425,5.747270315,7.892424369,2.789911889,8.574466846,9.459003612,9.663658086,8.205689066,8.809340284,8.776548336,9.207436112,9.665502279,8.851353355,9.780188179,8.297196454,7.986610005,11.04174556,10.74226332,7.675144083,8.557589535,8.792943114,7.289298942,8.769985277,8.960951062,3.281476553,11.45521452,11.06912164,11.92516789,12.07026033,10.15776791,8.835918136,12.03697878,7.142040488,9.008600908,12.54872733,10.02287619,12.20294536,7.761802313,10.36843103,10.07195196,8.557357623,12.5688193,9.946135802,8.708382204,8.762865021,12.1786567,11.00165026,8.555285186,9.205836362,8.968347479,9.460546464,11.91030286,9.147892239,8.638957863,9.161888214,9.386330871,7.032054686,5.438481575,9.69512848,7.644642011,2.846111256,7.620910416,11.96186283,11.53149887,4.660654493,9.687359356,11.06504509,9.460972079,11.37888585,9.369548675,9.742775477,3.462869368,7.97739306,7.464050304,4.661858411,9.690534468,7.088393555,5.393117526,6.538203707,9.355736283,8.736790911,6.252226645,8.473447294,7.141398517,9.048208555,7.983329044,7.162735678,9.912046142,11.32841578,8.733792637,8.54545534,10.28509525,10.35663237,10.91568598,7.710142341,7.205089692,10.00822714,7.282613816,8.837481076,7.669522405,5.452403544,9.607582786,9.931295892,9.039036028,10.10735484,8.442531747,9.03287056,9.036975514,9.455493429,9.89664216,7.698094758,9.672335872,7.303444187,9.996318516,8.071901258,8.852123906,8.355141301,7.833018997,8.485962245,7.459301651,7.597891346,7.273652285,8.902044673,8.716858285,9.293311103,7.067338046,6.500638583,7.781366187,8.521232302,7.137477338,7.826071117,7.886559733,8.865386421,7.113424081,0
7.213452091,9.114411712,11.24120692,10.34850043,7.983329044,11.36530919,6.906108858,11.53149887,10.8103866,12.08701445,12.02092091,7.609740766,11.14516404,11.4978948,10.90980749,10.9295309,9.088739658,12.12331721,10.24456109,10.88103912,9.339807204,12.87626712,11.68886484,8.753286343,10.47437373,7.862195272,8.476248192,11.70045597,8.68511972,12.06035266,11.48497415,11.07695962,10.31089787,8.327777281,7.321503167,8.150284931,10.70186722,9.402089363,8.449755655,9.641525798,9.30576336,7.612334231,1.197809101,5.782677202,8.221007559,7.245460075,9.393037642,7.096847279,9.795941438,10.29670177,7.012930988,7.302278483,9.973261765,6.880476174,7.997840177,9.495380389,10.12018941,5.67922834,7.02387672,1.360580969,10.65949987,7.306243323,6.544366096,10.31239814,9.31976367,5.025864058,7.438804902,8.709097989,1.227486903,5.157442456,5.528768161,9.348195947,8.4932326,7.277328648,6.584460828,5.262606549,1.866301369,7.442092734,9.366989391,9.361641483,7.614809457,8.530898513,10.04484848,9.60449041,10.67261883,9.587383771,11.01884993,8.153457945,7.608668818,11.6822817,11.37183756,7.606589074,10.0928995,7.877821473,6.919877063,9.06299027,10.22699297,4.175738028,11.03016702,10.99074006,12.05081202,11.76860158,11.40844048,10.028603,11.38219067,6.267789617,9.501477163,12.76417927,9.623949073,11.95599704,8.977184481,9.757193874,10.35373954,8.46134654,12.79597974,10.10126556,9.977105513,9.238777715,11.73879715,10.9404352,8.561936232,8.057919174,9.542541695,8.539711094,11.96472612,9.275799325,7.829863945,9.420094036,9.5537616,7.384228596,6.527064502,10.19119083,7.778450248,1.905749548,7.443292474,11.81927487,11.42080193,1.724533786,8.82313256,11.21542794,9.851524044,11.01013625,7.995933058,10.05871436,6.76496524,7.340203598,7.208593195,4.528664656,10.15898227,7.556780256,5.436735378,5.429584645,9.430255878,9.777277339,6.25896942,8.607989296,5.724132696,8.490546186,8.191290516,8.547054233,9.826633257,10.61022146,7.854295618,8.546826019,10.46623573,10.69498138,10.37814669,7.626972621,5.86271881,9.685118333,6.314806241,8.620553017,7.77367174,6.347208295,9.431690198,10.83998658,11.05075346,9.778715723,8.663199886,8.792450933,8.062729833,8.20485828,9.88008117,8.906428471,9.015394532,7.808427288,9.425696171,8.033372656,8.400918296,8.184230567,8.420010619,7.943262039,7.327544025,7.881613435,8.032266212,8.429435143,7.83060769,9.516161971,8.092457555,7.177740565,8.86916835,9.019525996,7.430059169,8.62970618,7.924640475,9.156517912,7.053461201,0
8.645086462,9.535754548,9.641525798,8.832601583,7.80433423,11.93785244,8.049151911,12.20294536,10.34778604,11.70045597,12.31848591,8.310645441,10.76456195,11.30126131,10.3871066,10.41510915,10.63591044,11.86929591,9.729902102,9.527690209,9.239473144,12.79195469,11.1662703,8.640173833,10.50135511,9.283636912,9.816070629,10.96195407,9.018621212,12.351488,11.36858744,8.501690956,8.478938006,7.978278377,7.357017499,7.80413777,9.03287056,9.15830126,8.362327013,8.251556982,8.611118741,7.685727438,4.17333982,4.748138654,8.566146246,9.172417609,10.72627925,8.848035412,10.74535539,10.30307665,6.349778415,8.194612007,9.54043273,8.28263384,7.777915585,8.169608685,6.495330499,7.182069486,7.304548813,2.163714735,8.463160998,7.71138432,6.211320513,10.12203555,8.920853317,4.843236887,8.396183825,8.922016945,3.661378941,4.712547792,3.16725638,8.967235377,8.33259531,7.231611907,4.578909208,8.15069181,2.406937579,7.442390499,9.534081422,9.262560809,7.567543023,8.913272931,7.742387658,9.604108789,9.433302237,6.065457007,6.861548868,7.677381422,7.721105539,10.23759263,9.053455829,7.265862392,9.16602599,9.049944364,7.326895683,8.22638162,8.536485348,4.168408339,9.767147115,10.28174957,12.24890358,10.57346256,9.787128713,8.131725819,12.11003695,7.353936233,8.852916209,12.69549637,9.742340117,10.80206379,7.632335461,9.107835116,10.40609917,8.230923075,12.64715666,8.263865852,8.456904322,8.862700982,10.40238971,10.45051671,7.747516431,8.161587659,8.61838379,9.178210107,12.29783306,8.589277976,9.958790217,7.334979053,9.243921224,8.02861071,4.886864607,8.572862337,8.493673801,1.916745433,7.360356747,10.57525384,11.61320792,5.131081109,8.94858241,11.53149887,9.507996168,11.82723253,11.13653106,9.364882761,5.118965295,7.528592695,8.922282029,3.925491004,9.52070891,8.509124013,5.534674101,6.597736999,10.04770992,9.165088618,4.946434385,8.009279967,7.486272082,9.959930198,8.366979619,7.393347039,9.462179019,10.58856968,8.276769937,8.137425496,11.29629093,10.57883826,6.778758498,8.240437264,8.632260847,10.82452801,8.092847036,8.63967989,8.298776898,5.979760111,9.939452865,9.163507729,8.938188821,9.956045972,8.276992003,10.00196919,7.120788039,9.718852218,9.153328848,7.88361889,9.261845233,7.719469101,9.137120159,7.950811238,7.678303537,7.654395879,7.665103817,9.471701587,7.168231134,8.55504303,8.392993881,9.49294079,8.967823256,8.566371953,9.067560311,6.818222796,9.452841432,9.604923091,7.807556462,8.626810357,8.935871985,8.568494257,7.048642426,0
7.684138234,9.364184007,11.2214214,10.31946302,7.305725905,11.55764278,7.137954778,11.6822817,11.49983949,12.25240906,12.26310527,9.186896057,11.53936886,11.65645766,11.20934879,10.99309871,11.07567916,11.48314819,10.84660461,11.62969599,10.45371389,12.83077124,11.91909179,9.98575309,11.36347304,8.368008847,9.937259122,11.81414016,9.315731099,12.20653012,11.96790224,10.7513476,10.25918431,9.704313995,9.040221161,8.67708498,10.4767968,10.27681041,9.499492806,9.875993244,9.28163981,8.983738943,4.036079859,4.909891673,8.611118741,7.045801444,11.51369857,7.847148081,10.13106224,10.79765365,5.33702859,8.064491145,11.43372508,7.897942732,8.956757654,9.181417267,7.073361702,6.752752245,7.861039804,1.437799931,10.14921191,7.565971577,5.846826223,12.08701445,10.52806543,5.248994638,7.320055649,8.796200586,1.256042321,6.671372664,7.660727103,10.59662633,8.607045218,7.203197007,0.545742308,6.749429573,2.845708916,7.638508261,10.82223475,10.76356136,9.311066801,8.836458357,10.11660393,10.23624659,11.26368684,9.170439677,10.3470384,8.729286721,7.972073257,10.78475173,10.10188189,9.313958847,8.512832138,8.904000826,7.8026858,8.56684996,11.92516789,4.464234897,10.92256719,11.03140616,12.24212718,12.38897238,10.94625915,9.436338188,11.70723666,7.021708579,10.46855108,12.94411135,9.378451018,12.47443821,9.70337791,10.27273023,9.676435252,9.898862008,12.88560334,9.580653156,9.360106552,9.075288301,12.64715666,11.39406594,8.069198594,9.385902809,9.863770033,9.843343952,12.14446774,10.56014995,8.077393806,9.772897114,10.47517875,8.189467218,5.13502405,8.912412928,8.259804706,1.850763776,7.22744643,12.27035271,11.49629275,4.673328061,10.69597262,10.79661997,11.33972001,11.58019746,8.200463989,10.22104257,5.684868448,7.643042159,7.897038744,5.162739974,9.207140228,7.353609232,5.008204698,6.565002069,9.642340554,10.40760731,6.522644512,9.078745052,7.510479415,9.02446909,7.989225267,7.222301476,10.65189652,12.16767651,7.597724957,8.923665182,10.79348591,10.27202575,11.34480692,7.710350191,8.327362234,10.43263919,6.840595395,9.324458405,7.990526208,6.559978107,10.62042733,11.18650796,10.83768996,9.993418135,7.92427192,8.784472131,8.433720176,10.33468955,9.763427722,9.752475106,9.412813742,7.124401531,10.57883826,7.620544793,9.594537143,7.234784026,7.415041744,8.099803323,7.500324311,7.816639797,6.69212891,9.724389368,8.630868132,9.795448749,6.75939348,6.431178611,7.008468952,8.60921412,6.482538066,8.170214495,8.002506636,10.02455949,7.253491259,0
7.463243284,9.182776066,10.45371389,8.909613172,7.547481905,12.10337945,7.987541786,12.33502917,10.82452801,11.56988768,12.06359819,7.946638893,11.3838726,11.69115923,10.74432196,11.00165026,10.31015575,12.05396483,10.54770643,10.58768439,9.417484402,12.70496618,10.89844686,8.411721276,9.8606916,8.928102179,9.873442579,11.90147976,8.972636309,12.00249646,11.81680402,9.130099457,8.641609516,8.197409018,7.990152547,7.81683402,9.025649867,10.2471344,9.727646981,9.068151552,8.975783395,7.791717567,4.799058799,2.983359421,7.879317229,8.255639295,9.972112521,8.10520169,10.51283849,10.29000532,5.822479511,7.054513341,10.3857501,8.683159435,8.345002781,9.09520428,8.985148982,6.241495195,7.132498275,2.846502882,9.144088,6.756455276,6.963557674,10.49228287,8.422366061,4.856692633,8.655845749,8.798807169,3.365647106,5.455790011,5.179562563,9.36453716,8.251556982,7.221977597,5.599746097,6.9892983,3.144133367,9.089379845,9.940038569,10.2315555,9.045511179,8.672636289,9.385537169,10.07424573,9.240517372,9.579292454,9.840684489,7.693705175,7.704270429,11.31904502,10.74226332,7.818605068,9.574603748,8.710856416,6.092036817,8.87221254,11.90438191,3.822581636,9.937760827,10.78693916,11.89843629,11.99952229,10.12624841,8.503956627,12.11314089,7.963853679,9.43063147,12.66004583,10.01397426,12.16767651,8.090018732,9.096381937,10.1485313,8.687094072,12.59877946,8.930894969,8.926135865,8.689277215,11.91616476,11.20208866,7.960887474,8.503740948,9.371429018,9.937259122,11.76083854,8.302960786,8.946627258,8.993817564,8.800130572,7.650988645,5.162196011,10.13298764,8.000490142,1.81383247,7.685003386,12.00889643,11.29962166,5.088118667,10.43035621,11.311112,9.476513704,11.49983949,9.107259339,9.248009927,5.038149273,7.277835271,8.49458426,4.697354885,9.942773338,7.516207548,4.404911236,6.668659133,10.13726537,9.890773405,6.228284786,8.754063333,7.524322642,8.472765149,8.023463153,8.860583705,9.867816061,11.11236799,8.728499275,9.188527421,11.46442671,10.51630414,10.13418336,7.917891652,7.399326019,10.38424103,7.129832755,8.847492556,8.259606675,4.567728589,9.548191514,10.39697098,9.76533454,9.931295892,8.973496782,9.6526994,8.359129981,9.814081351,9.927945304,7.396616289,9.18886035,7.984700592,9.665019281,7.839025504,8.808543326,7.424400456,8.093041787,8.72413703,7.239282954,8.419527389,8.194612007,8.600774725,7.382214943,9.672335872,7.845458647,7.234610585,8.478938006,8.682427946,7.58856963,8.114807867,8.090385142,9.249060158,6.60911042,0
7.446423607,9.502251994,10.37368562,10.73630935,7.234440194,10.29538275,7.166799431,11.29170706,9.75962484,11.9496956,11.91616476,8.072854997,11.49983949,11.76860158,11.12324284,10.16596887,11.34480692,12.37872132,10.74226332,10.55493224,10.45622473,12.56543363,11.46821715,9.267373022,9.609384927,7.861271454,9.923995199,11.53936886,9.277171986,12.351488,11.55363745,11.23346829,10.72427357,8.230294209,8.521671421,8.08138052,10.26124821,9.479627699,9.190464935,8.973223648,9.704697414,8.939558345,3.349714386,5.450509029,7.617078602,7.524672102,10.98187951,8.056233965,9.721232803,9.804926183,5.761335772,7.543358123,10.98687899,7.733040568,9.329933473,9.461746162,8.289144939,5.81945788,6.992668995,1.553016867,8.189857825,7.839025504,5.824911292,11.04946923,9.706586313,3.885918247,7.836498031,8.851353355,3.926420282,5.723602261,2.763939761,9.721676188,8.740550913,7.472193014,2.203031911,6.713375389,2.586552571,8.180208037,10.33098123,10.26255216,8.818998486,8.197409018,8.650550662,9.017095368,9.742775477,8.286245769,9.251136668,7.2664924,8.138781107,11.81414016,11.54548368,7.848544263,9.461333996,8.703001567,7.667013911,7.595328615,11.70723666,4.038294675,10.53488597,10.69123724,12.33502917,12.08701445,10.80932215,10.07886997,11.78056388,6.963121474,9.196051565,12.62181647,9.660858169,12.38213713,8.120445555,9.950042929,9.720770608,8.976915552,12.52634305,9.033763007,9.242926144,9.001340325,12.23132999,11.48497415,8.233381812,9.412079907,9.879072311,8.944134245,12.096549,9.627591073,8.506236898,7.878718185,10.51877846,7.277982428,5.875149509,10.77295427,7.440797436,2.599207132,7.615319377,12.09303259,11.23202154,4.14050254,9.817093869,11.30126131,10.67552265,11.53338914,8.902604242,8.500754325,4.636522575,7.460541282,8.263053244,5.315918755,10.29599284,7.660543435,4.986721413,6.391499388,9.243921224,9.392262981,7.657598286,7.992215733,7.034849543,8.40471356,7.764459118,7.223234011,10.24305162,11.26368684,8.153047008,8.659579533,9.572047113,9.894491677,10.78910342,7.651338172,7.213951731,10.41806451,7.161497151,9.04378249,8.01083256,5.546536795,9.287774686,9.865253918,9.047908255,9.999116882,7.60623725,8.690759072,11.01771662,10.68531924,9.711654943,9.331395636,9.154256399,7.894300495,9.91372535,8.119052836,7.83502258,7.538152185,8.226993651,8.358525254,7.496402152,8.381789732,7.443810395,5.485838927,4.908576484,10.17896577,7.646391602,6.761604316,8.368008847,9.007741268,7.801449952,7.764995958,7.811972605,9.081463653,7.321851814,0
7.867415555,9.470514956,10.29000532,7.828582456,8.458925394,12.34800685,7.173737129,12.00565696,11.12476098,11.95304392,11.99630936,8.330036437,10.84548138,11.32367164,10.09773676,10.89025801,9.405841223,11.43372508,10.38282639,9.807506413,9.234770798,12.7081192,11.03901147,9.109353575,9.251136668,8.008902011,9.312533313,11.67323509,8.615554407,11.6152548,11.53936886,8.136244232,7.785796003,7.177099487,8.509352499,8.213610386,8.876983715,9.366269636,8.288937973,8.979710243,8.625615613,7.324129891,3.786469392,5.418026287,6.879163683,7.906838009,9.748677386,8.396820628,9.929041861,9.543681583,5.372625013,7.012037749,10.25918431,7.741356821,9.079069849,9.009165561,10.29198609,7.45143483,7.625260717,2.854174275,8.91014752,7.850710033,5.453165415,10.54429511,8.665896116,4.642138148,8.02861071,9.022941844,3.010631493,5.434092384,4.337245672,8.969498882,7.949537574,7.462098016,4.358890516,6.502427426,3.194698315,7.639629541,10.01780153,9.820125405,8.351551151,8.818998486,9.249060158,9.564587635,10.31089787,10.01224042,11.0934831,8.201846069,7.608332047,10.62133678,9.944411691,6.84752093,8.086615114,8.886273941,7.582791263,8.662202566,11.88388301,4.178475535,9.967653771,10.72920444,11.62120493,12.32525573,10.96933139,7.478009621,12.03347647,8.012701307,8.73959017,12.69549637,9.956045972,12.5101899,7.253981578,8.814531568,10.53231828,8.075222381,12.67665752,8.687828521,9.276460917,9.262195912,12.45142624,11.2473923,8.075024985,8.792450933,9.256769352,8.864856281,11.50759214,9.421217112,9.03083329,8.653651687,8.730321418,6.964611341,4.514346667,8.941819723,7.981209465,2.71157354,7.034233715,12.28412916,11.2214214,3.334889313,9.1053949,11.54548368,8.924479742,11.60283954,8.848849543,8.432464295,5.329921333,7.826989117,7.954469394,4.977098563,10.7513476,7.787965471,4.428159464,6.272577093,9.639695811,8.561694371,6.427635326,7.526707396,7.213312826,9.76533454,8.491447037,6.936061111,9.060655949,10.85315823,8.694649222,8.707104061,11.89252587,10.46549094,10.72530122,8.20124923,7.144368773,10.13171984,6.721100649,8.847232232,7.765156899,5.086402975,10.02512984,9.824664396,9.226687143,9.567071903,7.662707878,9.256475349,7.858527391,9.204910163,10.00655873,7.777197204,9.774326927,7.274636489,9.292231912,7.98884581,7.774807628,7.718233408,7.364859721,9.226346281,7.692622076,8.413869349,7.315523601,9.923437812,9.505989735,9.420858791,7.456644262,7.180789558,9.30142928,8.735776497,7.209385932,8.475594797,7.635249453,8.82476187,7.829490509,0
7.808985885,9.39490946,10.18091103,8.403138953,7.428901364,12.29093666,7.628703763,11.93154816,11.37888585,11.49629275,12.22069851,8.291167846,11.1662703,11.44443129,10.06342241,10.71104884,9.517797457,11.53149887,10.57084677,10.4459111,9.011860729,12.81527566,11.47956595,8.512832138,8.4365472,8.090018732,9.308950167,11.77577028,9.185566492,11.82213903,11.7187604,8.924479742,8.03012875,6.846299272,8.350930086,8.451512814,9.006866993,8.473227177,7.300156603,8.698261543,9.341950702,6.784973757,2.119648034,5.514966288,7.174078633,7.39548046,9.384469748,8.228428751,9.701007999,9.977547675,5.827458796,6.922123014,8.7899233,7.818454903,8.918822294,9.167308633,10.95246033,6.63429009,7.589801777,2.950558553,8.602377485,7.070622032,5.965600537,9.625308428,9.039337749,5.216330027,8.010273246,9.16632918,0.762638075,5.504149188,5.175266091,9.047601939,7.674487231,7.677746087,4.566453931,4.779529469,2.875705129,8.433113209,9.109666116,9.162850366,7.59255564,8.549571775,8.733792637,10.17171324,8.82262608,9.700567695,11.21542794,8.400490992,7.382055371,11.35305837,10.1744496,6.671675602,8.391863929,8.702028124,6.957082277,8.564207131,12.42235951,4.135457042,10.17702119,10.77295427,11.59674548,11.98676102,11.18788833,7.452958217,12.26310527,8.252929482,8.718814325,12.75373507,8.862424876,12.14446774,8.123910602,9.18719283,10.17507032,8.369108078,12.73725449,9.253799707,9.630290007,9.900882529,11.98365257,11.2214214,7.928901638,8.646770095,9.079069849,8.183031872,11.64251607,8.341208879,8.567549912,9.215017541,8.921442251,6.60571833,4.380082092,9.440091641,8.031236966,2.563024842,5.707139659,12.01780146,11.4136597,4.207475248,8.81136724,11.30932117,8.338391394,11.61117473,8.969498882,9.691989139,3.754357597,8.260417066,8.015187104,5.526676934,9.720308786,7.679791778,6.122333856,6.668207534,10.04715612,9.06691948,7.252348622,7.178384745,7.435599317,9.62042256,8.345002781,7.696350144,8.489212952,9.969264545,7.313054924,9.499081026,11.79578131,10.34778604,7.501865143,8.340771841,7.17661406,10.1416512,7.432222972,9.21310626,7.354769857,4.859388051,10.19307402,10.02057499,9.51083024,9.676886488,8.216621596,9.264561342,7.527190415,9.632061123,9.984638005,7.974531352,9.267734274,7.576237223,9.717399605,7.842222628,8.20105164,7.93556746,7.68269379,9.006294471,7.888195029,8.800409733,7.431357082,9.98575309,9.24525651,9.509251015,7.574003147,7.006554896,9.441188668,8.878111833,6.994360014,8.875675099,7.539963575,9.207140228,7.59396293,0
8.483215626,9.568321484,10.87440507,8.607045218,7.844524416,11.29794499,7.182531191,12.07347023,9.83314764,11.40464996,11.91909179,8.152869395,11.43705658,11.60084067,11.1778867,10.28931757,11.2108754,11.80091972,10.37891178,10.63783129,8.670701708,12.62817362,10.84996652,7.981209465,9.397202793,8.063913069,10.25918431,10.99309871,8.288322391,12.11989824,11.89528159,9.59159229,8.550705425,7.289134204,8.322783467,7.45229867,9.634812495,9.906779488,8.58248842,9.046379301,8.549781425,6.927298996,4.439461981,5.276592938,8.531591304,7.874684087,11.44258599,8.920853317,9.423411245,11.42982286,5.881953537,7.880552116,8.335016376,7.321503167,8.160558532,8.966955472,7.071991277,5.109618045,7.812154759,1.583337616,8.28934327,7.321678708,6.41241084,9.730291718,8.842932175,4.500061993,7.7227043,8.923665182,3.320162076,6.042664382,2.544437556,9.601128774,8.703001567,6.496802008,4.352199308,8.331303171,2.186437511,8.840606984,9.686479616,9.538685568,7.727921518,9.02623011,9.555752293,8.260785054,8.138401368,7.925585918,8.033196232,7.781689452,7.757000906,12.43176955,12.01190761,7.982367481,10.21917991,8.898291577,8.090385142,8.119052836,10.81566502,1.268923238,10.14482726,10.69214172,11.84949693,11.87813792,11.12057033,7.968715923,12.15445683,8.176253522,9.830646489,12.5196183,9.965892367,12.21011035,8.849985883,9.683359749,10.4529381,7.797133094,12.55548265,8.592793794,9.416284288,8.683903362,12.04048526,11.66146707,7.337175141,8.101357362,9.41470483,8.370805909,12.03061503,8.255840857,8.107661894,10.20498459,8.984859681,7.676865563,8.149081704,11.29629093,8.35829979,2.859629522,7.347717656,11.89252587,10.9295309,3.808108015,8.85803857,10.80320384,11.31738298,11.84118727,9.063569685,10.55576885,4.934505324,7.649894563,6.765273862,4.69983441,9.867816061,7.87121295,5.311103657,6.165104368,9.859167129,10.09109795,5.632452026,9.099151115,6.770126871,9.271964379,8.208966477,7.805189146,8.615554407,10.04256978,9.074106967,8.316287122,10.27000012,10.21656565,9.069395437,7.539451825,7.718403191,10.17375641,6.926976193,8.290127813,7.716539831,5.731092863,9.642340554,10.49722543,11.22424452,10.13789949,8.108615932,8.399398231,8.560095156,10.23891621,9.647142775,8.544993666,8.559855172,7.450915874,10.09953273,7.222146314,9.307876822,8.262219208,7.467118293,9.09735364,7.224039356,8.499411088,7.618329721,9.157082102,8.928357551,9.922344382,7.544844836,6.962815497,8.946894804,8.284738111,6.937156309,7.444454144,7.921130694,9.384804342,7.368658348,0
