"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
12.61411813,12.67446698,11.64792895,13.18088021,9.43588038,11.34978765,12.50520245,12.8082116,12.60579717,10.1485976,13.53644314,12.38974282,11.70912026,10.4148949,15.41406714,11.51058003,9.581054164,9.188000504,9.956318987,12.62179167,12.96763998,8.93496019,13.84864954,12.96752649,7.606782342,8.264318881,8.327674256,9.263034785,9.213930419,10.7996303,10.26689383,8.956838665,9.839199614,9.50832263,8.153613472,6.625116128,7.275182192,9.344795723,9.702961151,9.917873402,6.737337308,11.40327435,11.22631023,5.169605108,7.892439141,10.56374747,11.157662,11.1283288,12.77617111,7.272286887,10.42628028,8.580990103,3.733437608,8.995229666,9.089500756,5.199024738,10.06250766,9.892011859,6.338646343,9.359646898,10.5353587,7.462393142,6.161518812,7.548176334,10.59469868,8.739185703,6.961518086,6.255760314,9.118239517,4.709254784,10.40144044,8.50785637,8.76257516,5.194962916,8.927720436,8.193479594,11.71305103,8.622190091,9.038222101,8.712049301,8.163766031,9.121819724,9.657563627,8.753807182,9.622233959,9.394370422,10.78671217,7.958897602,9.456272136,12.14878497,6.883058793,8.418571258,11.70752227,13.71016372,13.01839802,11.17223238,6.06334089,13.47230508,12.45751613,9.170331054,15.30780454,11.85967796,12.81078367,7.593155909,10.28712113,10.07371783,8.296267279,15.2189558,8.571208107,10.52352342,9.49936985,12.20069162,12.44408636,9.857923169,11.16386272,9.924101119,10.03651808,13.63595523,9.609899241,9.275885706,7.628670248,7.065692257,8.419143643,7.291285873,8.142718369,9.57368777,6.147061492,9.622274851,12.87698803,11.5174362,5.032219953,9.687012998,11.98943943,8.014626136,12.85236407,9.92801526,9.285020933,5.703687494,7.922653899,9.328442351,4.912051208,10.7019676,8.771505277,5.586148152,8.613921067,11.70893085,10.47397164,6.46722069,8.658835269,8.591923853,9.000302059,9.059854505,11.27322352,9.301127286,10.38231274,9.017638535,8.171446982,7.474289763,8.258518654,0
13.23503429,10.11329923,10.67288075,12.74023357,9.440786334,11.24864499,12.21420343,12.06117086,11.22148577,11.13520981,11.92427965,9.880387723,11.24692168,9.470060593,15.52950923,12.50190124,9.726619117,4.822695861,9.044033834,11.79014536,13.78021835,8.434637913,13.40167605,11.8227632,9.855817869,10.53994548,11.18586677,11.2549851,9.644922295,9.347025325,9.529232975,6.609999143,9.88658477,9.433928472,10.05186773,6.411119399,5.522053263,6.38364928,8.578471351,9.392580818,7.473332963,10.56934744,8.324370977,4.482010619,6.915122843,9.182691877,10.93805349,9.829103597,11.11018345,7.769175244,10.68052485,7.297228206,3.925240845,8.073784503,7.910776449,8.515641033,12.59027922,7.535808767,6.545139685,9.084893334,11.15712344,7.334369734,4.326379225,7.599039159,10.02551176,9.851262595,6.772061318,2.232771891,9.761188705,5.029501567,12.6322291,10.4939714,10.90042451,5.690301122,10.40664661,9.639743193,10.69789331,5.940537066,10.48087556,11.75978739,11.88754914,9.747864767,10.3001216,8.979015728,9.146793046,10.10386432,10.46008859,6.047297249,7.620813941,9.847308613,6.252946034,8.949033177,11.85203076,13.47201972,11.08942754,7.841721443,7.806423159,13.42868164,9.432027928,10.01271943,15.93407125,12.50253895,10.30284572,9.22321329,10.50205277,9.483441034,7.886184989,15.51350394,6.768899331,7.060311361,8.412410785,10.25837426,13.1187037,10.04078435,11.32420079,10.9216925,11.02397215,13.35216452,10.00172969,8.511000122,6.508952729,8.013528317,9.044699799,4.753491654,8.291555804,9.614455877,6.144303406,8.049206793,10.72640122,10.72447495,4.337556888,11.01110006,11.70519002,5.509852127,11.71503764,8.580141256,8.766056681,7.245961686,7.31112266,7.402654068,6.478016427,11.32956488,8.523188951,6.952499245,9.123756101,12.89523394,15.54939761,7.810159991,8.133642684,6.861274595,9.527416861,8.694948675,3.942956024,7.754698825,12.19561258,8.889764476,9.259752551,7.173715486,8.618489948,0
13.3355989,13.13556559,11.52432802,13.23469694,8.772078632,10.9050199,12.08563328,11.9578675,12.1206544,11.20213532,13.86165132,11.20252183,13.22050879,9.825361349,14.13655163,13.39796973,8.647697798,10.14306002,8.876985905,11.82200132,13.91084036,8.547308429,14.37799481,11.89301806,10.30406593,10.97685384,7.197712951,11.00710361,4.911295268,10.6593688,10.08375784,8.733574162,9.399658533,9.393142694,9.348593592,5.664901205,5.644712874,9.713060509,9.027197022,10.45137735,6.194673091,10.88763274,11.3106378,6.926462304,7.910804798,9.826642943,10.59016162,10.28103628,12.26251567,7.752413942,9.143211269,7.859558964,4.418963619,8.320879912,8.254315252,8.064359614,11.78247356,11.65463262,6.46485745,7.984054347,11.08818947,6.247884863,4.855504508,7.521316687,10.24917095,10.66319065,6.779414912,6.541166362,10.03174961,7.388073967,12.03300492,10.90125371,10.83895896,9.070576141,10.85663892,9.552291741,12.19525205,9.349872562,9.619265809,10.56266731,10.28282635,9.739201211,9.96080711,9.643770018,9.68024301,11.72197315,10.2564373,8.239829243,8.69070905,11.61184382,4.415270865,8.683552539,11.97967834,14.24145388,11.53320928,9.106640681,8.402966007,13.49764676,12.59678993,10.14567155,14.45740267,10.09198779,11.44305267,8.97823235,9.921699764,10.7939039,8.523485893,14.61990857,7.054791573,6.82902697,10.25773838,11.20053446,13.3839911,10.09830692,10.65973346,9.854190245,11.28141589,14.17021941,9.950035166,9.307351276,6.603308156,8.586339196,8.680114947,4.680081095,8.947641857,9.106450872,7.569586855,7.949310004,11.72412746,11.50650823,4.469053841,11.90416774,11.74681609,7.861171851,12.25133503,9.39009781,7.972891292,8.595972392,9.144537579,7.961562631,4.706670192,11.42957325,8.305663138,6.538980159,8.678259807,11.44426626,13.92940446,8.470476695,8.153175416,5.167907107,8.593676401,9.41099397,7.352461945,8.085175196,11.8963879,8.783511296,8.784853881,9.20094943,9.873261096,0
12.62981412,12.62599458,15.30863459,13.38581778,9.718445828,11.63640816,12.51013855,12.66095268,12.91932842,12.24961817,14.72578828,12.3515078,10.12872939,12.75347056,15.44451137,12.08301565,11.74204576,9.843038372,8.661216512,12.16071228,15.009211,9.609426452,14.1605231,12.08780315,9.456810585,10.3496665,8.970576785,9.430418609,6.157962597,9.876485689,11.7650121,9.875936818,9.986776055,12.64295569,8.716471311,6.141748334,5.202650936,10.27954325,9.809769332,9.577207518,7.27233565,10.90405648,11.65626624,7.658464703,8.662595064,12.39341394,10.53982599,11.02138183,11.97440714,9.669840042,11.34960709,7.582632665,4.365878829,9.47676778,8.372357626,7.528105555,12.08029084,9.736203998,7.017611971,9.073657097,11.1378077,5.397908297,4.671475626,8.063199234,10.69640861,10.63313231,6.583866367,6.729394835,9.673055421,4.595009977,11.25715581,9.977205244,10.51935832,6.618398773,9.913945368,9.342435268,10.69623403,10.18626232,8.851376081,9.283398009,9.733365908,10.00010452,8.290244344,6.570096302,9.589247501,9.841993737,10.70523504,6.686238797,8.173529872,10.82508086,6.958549232,9.805595134,11.76312129,13.82043724,15.05369177,9.934866594,8.849767765,13.94807005,8.77264066,10.54794317,15.35339396,12.58804391,15.0517663,10.00610395,10.91626851,10.25820562,11.64937487,15.19984153,9.659185207,10.12880842,10.01836619,14.64402533,12.35544874,9.775486893,11.07819356,10.76464049,11.49858959,13.99962148,12.58523824,8.908579354,7.29183647,7.772336993,8.695602153,4.691387806,6.703290529,8.388352912,6.26739684,7.530115374,14.90097867,10.96649772,4.566152697,11.77208835,11.72877763,8.638606099,12.48148505,8.918875276,9.972500746,8.504510657,8.877339243,8.58228026,4.729815453,10.54094022,6.190135598,3.097275939,8.246616269,13.2052519,13.57693273,7.947725554,9.517586305,8.678576774,8.173930949,9.32219761,10.64804292,12.06262467,13.03707736,9.129639235,9.579908464,6.7842353,9.479767105,0
13.40078366,10.16645242,12.21122849,12.24874004,9.024968097,11.49012774,12.62642029,11.23586679,12.60079218,10.65355737,13.89259965,11.78647348,11.36319718,11.00952267,14.90742296,11.28993653,10.49682518,7.879421732,9.973304183,11.82327278,13.33958701,9.036363039,14.60884859,12.31756994,8.13698394,9.707281379,9.09371129,9.826732212,7.929472935,9.570869776,9.785686637,9.286671947,8.983020198,10.30600651,8.862017901,7.828236543,5.94738197,10.9089384,8.581995142,10.76509936,6.756000997,11.59369793,9.929388827,7.555797209,8.104655905,10.80968838,10.37950003,11.24886922,12.30381513,7.531657373,9.84713183,8.027797081,4.482393075,8.280189664,9.050260159,5.710443713,10.97816188,8.621723704,7.230860849,9.76474751,11.25437685,5.09115905,5.22716797,4.661149045,9.860204004,9.590576411,8.530101847,5.131162852,9.174710638,4.127551879,10.97051728,8.966078699,9.277256841,4.245693826,10.3466621,8.362525115,10.89089601,7.521752678,7.492550558,8.748029895,10.51802277,9.988590618,9.539400189,8.12698511,8.492150574,8.205299314,10.65760578,9.04677036,8.199883358,12.77656167,4.74608634,8.591641783,9.7302587,14.52685694,13.0164947,3.555888073,8.833611443,12.85863227,10.7587327,9.369855389,15.27082925,12.60766342,12.34054925,8.900161299,10.69095135,10.36638699,9.684391824,14.74789027,5.747322422,9.404284711,10.44512157,12.63553112,11.65921719,9.389625832,11.54179605,10.75490702,9.87598773,14.47643103,10.94805912,9.932281832,4.45454399,8.617387205,9.173787348,6.373749504,9.210667063,8.693659488,6.609651056,9.831622131,12.86294384,10.99644751,4.035255954,10.17851806,11.59793248,8.445304092,12.558904,9.467527677,10.14431794,9.04950228,8.818696534,8.532635221,2.678688335,10.58563957,9.086292071,5.243648905,10.03669642,13.42170347,13.17357426,8.229175513,9.462711225,9.544611148,8.755472513,10.13928115,10.54616627,9.184094465,10.6763739,10.31496357,10.08234179,6.611672582,8.804393959,0
12.86074614,11.48364791,11.05887635,13.84306477,8.630408814,10.49778476,11.69471519,11.5157923,9.895022407,11.10702816,13.57262027,10.8625127,10.32568657,10.33515681,14.80980977,10.46790931,9.986307224,6.754194161,11.97702968,10.90517389,12.94657445,10.31887731,14.47621292,11.17322099,8.131273552,8.849947023,9.251687912,8.644605924,9.461376727,9.4313024,8.840087808,6.093584126,8.81846374,9.69049275,8.97197416,7.673601384,5.679220884,6.469141782,8.157375108,10.73043339,2.562648661,14.01155398,8.29354317,4.195108729,9.092628613,9.800847903,9.805888414,10.92091967,10.72818985,8.5113406,9.63244327,8.492116916,3.763776392,8.649295211,8.534547895,7.184535263,10.01250075,9.646678067,7.965596994,8.863715912,10.35118998,7.010239992,4.141638537,8.731934605,10.54040336,8.981903987,8.707671461,7.625919838,8.917865277,4.142015083,10.69112788,8.977847502,9.500999809,5.272564851,9.059197071,8.555873989,10.81791708,8.447013002,9.218936248,8.117436775,10.14563636,10.48642161,9.301011263,8.474166155,9.195714104,8.261934366,10.59354025,9.196404265,8.507129329,12.61235355,4.940685971,6.519291758,11.62825929,14.5099641,11.37010478,10.38723307,5.726471164,13.114714,8.666714683,10.18165309,15.10589174,12.26158121,11.00961221,9.661486414,9.849940769,10.61166337,8.999519461,15.03817861,8.344266233,10.92257241,8.586432764,10.62889016,12.14480535,9.274929924,11.05320505,10.04331832,8.407139883,14.33223727,10.55815024,10.30724356,8.390502238,7.829805452,8.928980821,4.998870873,8.153093371,10.4679247,9.526258129,8.171063604,11.20188484,12.87103655,5.025092831,8.998101373,11.23450478,8.575007135,12.384725,9.136070647,10.04120076,9.282527499,7.445392316,9.853198058,6.834234275,11.23197269,7.849539761,7.32350827,9.836000582,12.11394844,13.29041894,4.051244283,9.266337874,10.316899,9.495837206,8.737627938,5.375434513,8.026282535,9.898217314,10.08153044,9.980598472,7.770289966,7.471858144,0
12.64142343,9.598032581,10.64146627,12.87240206,9.119104487,10.74776002,11.95693388,11.47520253,12.68942675,8.649504845,14.01166093,9.379608207,11.33394579,9.908279093,15.63118882,9.404758283,8.976253189,7.060895323,9.011012583,11.22986287,10.85341958,9.136905729,12.62201785,13.20761,8.759197164,9.294147025,8.23541823,10.9667561,9.6466136,11.1552334,7.497593992,6.277924061,9.946878766,10.44309185,8.233665818,6.492197507,8.408087966,9.85842595,9.488750532,9.008995806,6.662812629,11.64732247,9.243169042,5.184031273,7.404881953,8.866524615,10.2559638,11.16034154,10.63299916,9.145377046,10.30705394,7.515121288,3.322794626,7.790720345,8.877213023,5.136021497,8.36421912,10.60327525,6.574565958,8.145456178,10.30696066,6.859867387,4.038045439,7.388476878,9.164029238,9.107461458,6.723146048,6.633072872,10.59905492,3.539363678,9.885180478,8.032434561,8.580962204,4.829322674,9.057003231,9.995666688,11.31436509,7.445572332,10.80483701,11.94493073,8.487981075,9.945128927,12.93050494,11.73910146,10.276853,7.558764389,10.06447,11.91244631,8.452253301,11.2078547,4.414935001,8.421037173,11.59283607,12.54341845,11.75363426,10.10119844,8.03396457,13.34040348,10.03159369,8.257153901,15.43644699,11.14283974,10.70023114,8.432182164,10.60311469,11.84359837,9.796934626,15.23888876,7.961474445,9.905756569,9.469888244,10.95335441,10.93288517,9.864941802,10.80726708,9.852884372,10.93683365,12.29395548,8.735614611,9.819634169,6.913683509,7.323673454,7.576628912,6.654183847,11.88855512,9.40240054,6.995280691,9.702251522,11.42003391,11.15551675,4.630536504,8.805556426,12.7037215,8.319811659,11.77417254,9.685507495,5.841309415,8.88815639,7.940076248,9.529113404,5.949562853,10.39763735,9.582917972,5.915936809,8.781304363,10.22626333,9.972223478,9.135869576,8.326842181,9.256966551,8.632159388,8.867814174,8.697207104,6.300468207,8.34277328,9.947986717,9.317240874,9.843942572,8.902169196,0
13.20556324,10.91915213,12.70877784,12.32039971,8.823061145,11.77332885,13.17895899,11.75727055,13.28278833,10.92426194,13.79247448,12.71089084,11.73316257,12.28393172,14.9913909,11.50182109,11.95383012,10.21238703,12.63950312,12.41257408,14.43406347,8.684174485,14.34715207,13.50675006,9.27022185,10.10559733,8.417752616,10.77450165,9.242496906,9.123243739,12.1924561,11.03453222,9.796945029,11.11915861,9.548509634,6.164369633,8.343903521,8.799938747,10.48746492,12.09693685,6.490300413,11.71916205,9.927237081,7.48738988,7.68912651,11.78714204,10.19441742,13.07136856,11.0485357,4.178472415,10.27826498,7.165061332,3.056989504,10.36662251,8.413826879,9.317557756,10.61358924,9.943897363,5.557620415,8.418305549,10.56251804,7.592247024,5.224810185,4.198238122,10.03314173,10.99051769,8.352690378,4.839687515,9.452163794,4.904220512,10.5626067,9.705593478,9.660383792,9.286495763,9.010752262,9.396302622,11.19967322,9.567094719,9.907436253,9.859270787,9.260419648,10.08323434,7.501146659,3.941182783,8.746941597,9.459271918,9.487225791,8.344513443,9.390147085,12.18880709,3.857822852,9.676089157,11.13278256,14.20433289,14.95175382,7.942922595,9.323680398,13.48790117,10.32978579,9.936767556,14.93267703,13.33076169,14.74567037,9.246100871,10.48976237,10.91318503,9.939693778,14.6124255,8.889608909,9.272921349,10.76967378,14.17124257,12.47197777,9.862713861,12.54630207,11.21591497,10.46418755,14.2279877,11.71408348,9.250613838,5.468349114,9.050200106,7.7312618,6.948103774,6.831672749,9.575122571,6.307257995,9.847864087,14.69749633,10.78872852,3.979348346,12.07609369,12.32967829,8.091129539,12.33673962,8.646071242,10.16979826,9.131212439,9.049170768,8.582972079,6.612462289,10.95928708,9.285812108,6.299266466,9.725943335,12.64845104,12.17502683,8.773069995,9.636031231,7.277886945,7.537676805,9.637515309,9.045565921,8.926024522,11.53524727,10.31463629,10.37382567,7.236230695,9.449039166,0
12.90491116,10.72077444,10.03373654,12.12599967,9.245891844,11.26322597,12.71352451,11.12572278,12.98796579,8.546784311,13.34838504,10.71751266,12.28212337,10.96547489,14.80226946,12.02054272,8.552411093,8.167968606,10.68644543,10.97925334,12.3815991,8.452518979,14.297283,12.86056292,7.832133202,9.403280624,9.4156588,11.05723121,9.955537705,11.44597497,8.235948102,4.831029996,10.02726152,9.068246447,9.030869689,3.107384877,7.574998128,10.16584883,10.7370999,12.68173669,7.235644444,11.92405499,9.908630039,4.997167377,8.258972682,8.891111228,9.282734667,10.6632785,11.43555599,7.396409569,9.912886541,7.729226928,2.972898192,7.69413646,8.750855107,7.617957226,9.073094923,9.676809941,7.435235551,8.602421196,10.94257659,6.996712271,7.710697574,7.831052479,10.46539466,10.64445137,6.267978304,7.280878202,8.769315192,5.076588946,9.957703383,10.89066715,9.77642771,8.701411639,9.194818712,8.72125185,10.60027602,5.286374132,9.171526969,9.372069314,8.75643316,9.624525818,12.74120963,10.57715979,9.667543828,7.737736975,9.737496209,9.843069939,10.13320677,13.2907148,6.499394682,8.68892598,10.645764,14.52058557,12.84432579,9.296988584,7.408189663,12.14740156,10.48361168,9.36639277,15.0926486,11.9331956,12.00513743,8.413849031,10.58257603,10.46224005,8.636140039,14.86726267,7.51031321,9.014649611,10.43004479,11.96458936,12.53792048,9.368918466,11.10742813,10.87787264,8.705547014,14.3652365,8.364284318,10.77581808,7.091981144,9.64771058,5.709741315,7.925530916,11.54307188,9.266511829,5.954831495,9.425368535,12.39657066,12.25044093,4.062052012,11.86981017,12.367735,9.433147646,13.10561966,10.27091662,8.855741926,8.865141939,8.832921653,9.227150341,6.663818888,10.1940524,9.488229783,2.505206773,9.143058232,11.50776074,11.83967802,6.852204094,7.86558846,9.033145467,7.735049052,7.785760792,10.01985011,6.767878913,9.106670898,9.534719487,8.98991999,7.040063258,8.180463026,0
13.35360823,10.58537949,13.19736932,11.5281784,9.162640258,11.92321494,12.24214162,12.00695564,12.08007203,10.65674067,13.19912032,11.66026915,11.66917234,11.77058333,16.23147463,12.39258802,10.91049162,7.982326061,10.47610925,12.57957941,14.7243093,8.960619604,13.15905102,12.92315956,7.99798121,10.935233,8.865263088,8.708946502,9.46562057,8.683566637,11.21694379,9.988435808,10.18611058,9.637078913,10.59477061,3.585568343,7.196596674,10.6045924,9.283409955,7.277779123,5.879238949,10.64472067,10.09352964,8.383144092,5.878279262,11.00839107,11.18562622,11.6671131,11.27714523,3.563918697,9.655406171,5.837316491,4.115956443,9.569161951,6.074006734,8.637625987,11.10370566,8.775441209,7.309953349,9.854952665,11.18609162,7.28464679,7.101328054,4.955175147,9.062825225,10.59402601,7.924835958,2.420208028,10.88095093,4.201443821,12.39780162,10.71353893,10.1728112,10.69633521,10.56400772,10.23816448,11.58036139,8.946665231,11.77544076,10.81494245,10.73102137,10.00423776,8.566396719,8.653685672,9.938503297,10.36119565,10.07162434,8.228670318,7.879655041,12.08693661,3.829182668,10.67330917,10.67449366,13.20337463,12.86441897,10.0191602,8.242318425,12.75722602,11.02275566,9.306774697,16.13600971,13.17184425,12.58407554,9.52834536,10.89975126,9.886636464,9.871409742,15.90128414,9.833243039,10.76661377,11.02318835,13.36849593,12.78133336,9.635696278,12.14434003,11.23754878,10.15971518,13.12304769,11.16038431,9.481269083,5.434627302,8.155523893,7.854696264,7.127273128,8.971850163,10.03316435,7.141789402,8.92310218,12.85612231,10.62562746,3.517068685,11.56282766,11.96041447,7.653754743,12.09089821,8.999056708,9.293178936,9.408035411,10.18999699,8.157509702,4.067265219,10.44117888,9.165814061,8.650659912,10.47085907,13.61606491,13.48634313,7.878222815,8.304281415,7.993525097,6.993117993,9.245594771,9.232164084,10.16250716,11.40073922,9.697674775,10.38582686,8.74209856,8.614337268,0
