"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
8.017398371,10.89319852,10.27153913,10.27251377,9.186059241,12.59660131,7.945858338,11.58443807,10.43167167,11.6083526,12.21246132,8.697326313,10.67885099,11.75058662,10.7828814,10.83351205,8.617629809,12.13365461,7.45094412,11.66555767,9.113698243,13.34805417,12.22882517,8.43348076,9.972859184,7.810046262,10.34809979,11.53482884,8.527072411,12.51258404,11.29683272,10.75753498,10.26150577,8.586666398,7.808212729,8.693729185,10.12609138,8.533927824,8.570792895,9.461062056,9.611625184,8.223838801,4.682755178,6.606688641,9.064577848,7.969465994,11.73268266,8.441423035,10.26538547,10.91679007,6.608540798,8.164453799,8.215055359,8.83358827,6.677149878,9.568760089,11.06704787,8.213894253,7.634176554,6.272199198,8.503776349,7.750891017,7.123518754,10.35382781,9.492721511,4.476623893,9.614241578,10.75855821,4.212892538,7.112436639,6.587063322,9.515793745,8.18731513,6.180935609,6.296226436,9.137723108,7.2487906,9.108602963,9.905075459,10.10811582,9.030075857,8.931232458,9.636559514,9.742271891,8.875641811,9.082740687,10.66431062,8.460069683,7.710426673,10.66953134,9.249412061,8.037525882,9.174908974,8.750305582,7.69241057,9.67802378,6.588619401,4.851797781,9.935263894,10.95887165,12.51874525,13.18907161,11.22833938,7.696583715,12.05303249,8.562559971,8.801414391,13.29254888,10.86935737,13.26903702,8.543763014,10.29474242,10.62395215,9.086112158,13.32929124,9.235700387,9.756072055,9.450204648,12.61671327,11.8022613,8.639820592,9.071699596,8.660833943,8.49447567,12.24765759,8.307365752,8.773082803,8.379152103,10.12816513,7.367693371,5.422050972,9.084135208,9.264425345,6.849063465,8.536127445,13.24767305,11.3177369,5.596650464,8.367263361,11.99800578,8.995209359,11.7417196,11.01833305,9.908846278,7.32271196,9.023103637,8.746400809,4.850689979,10.65716259,8.840786306,7.170062651,7.503126338,10.62239861,9.513579298,5.017687964,8.574700646,7.725635602,9.530653282,9.234494347,6.859874682,9.32976035,10.24357883,8.984699048,9.678672298,11.84232652,10.76506436,6.941160511,8.4193379,8.374334152,10.69048934,8.801644264,8.419071531,8.987873652,5.819968224,9.176759315,10.10970207,9.12622966,10.12851992,9.279679999,9.442043351,8.892366298,9.763263439,10.71562033,9.41832932,10.14211473,7.920595178,11.16163593,9.139772153,9.203000362,9.945375978,7.399669498,8.921529512,8.465693858,9.218742275,8.0501124,11.48359669,10.73345514,9.822926743,7.54677052,8.066738835,8.941981245,8.991706055,9.457963826,8.750087435,8.552618655,8.806938664,9.699695955,0
8.769770282,10.3772316,10.48808975,10.03710152,9.177163002,11.73932274,7.756576695,11.97528063,10.57957189,12.63144458,12.87340119,9.109590443,11.4580004,12.4635794,11.137246,11.20995898,11.01202477,12.29579713,11.41957309,10.70624116,10.39645377,13.36398921,11.76130837,9.701173031,10.20433926,8.607006714,11.41101759,12.38164337,9.598753258,13.00471693,11.69915915,10.2295107,10.03518772,8.164846689,8.613617118,8.878804292,10.31645386,10.4246671,10.09189469,9.374928235,10.06297434,8.698399282,4.851534106,6.542828206,8.656049197,8.181460397,10.09745274,8.516603462,10.65843505,11.34042652,6.567474686,8.367157041,11.36849288,9.458986673,9.67580497,9.654265501,9.981221606,7.328225478,8.179672089,6.577806331,8.946477193,8.37436327,7.88941498,11.81177441,9.672051075,4.249440734,9.161370979,10.29088513,4.089335128,7.366783077,6.36370135,10.03489754,8.427446952,7.054191664,6.605750687,9.015704333,7.082962165,9.534149711,10.3237223,10.43113402,9.29181761,9.3372766,10.00228171,10.22323183,10.15901477,9.370928183,11.02687312,9.380043425,8.638443197,11.64086726,10.80505996,8.492117642,9.013002575,9.549251074,7.626437728,9.349424051,9.511432545,4.829223277,11.70025184,11.58332153,13.02004795,13.19812929,10.75774397,9.717151438,12.47555558,7.977630453,9.878812888,13.3279901,10.88986965,13.19691516,9.162059863,10.87437559,10.52466192,9.312661883,13.38228127,10.8275846,9.48828884,9.486374462,12.69882088,11.53306031,9.492367161,9.977650198,9.506142429,10.03814962,12.8841866,9.529074296,9.224177476,9.595522678,9.909923661,7.969984794,5.394303782,10.50639352,9.252580758,6.948795192,9.208007203,13.23464667,12.24190684,5.323652423,10.31442486,11.49288012,9.65031842,11.95226917,9.860522617,10.94311973,7.570746168,8.89435056,8.439205103,4.89967943,10.66813881,8.739363216,6.969638449,7.463117466,10.42099723,10.02283857,6.158539276,9.021684059,8.067653718,9.396419277,9.054162556,7.595235284,10.80098292,11.70039615,9.284430452,9.646084332,10.86007187,10.93665899,11.68264543,8.335848397,8.453621055,11.1259925,8.194776504,9.454901886,8.87111751,6.080698252,10.00403931,10.40566127,9.544937274,10.78714266,9.732624045,9.98724443,9.953926437,10.18770668,10.19715152,9.635865432,10.1283391,8.460728956,11.24515552,8.403766415,9.32499078,9.341967973,8.033360915,8.966566369,8.366114051,8.88893669,8.296566548,10.25846493,9.440862233,10.4331336,8.035854846,7.616168488,8.772585665,9.304371639,8.695202871,8.757598385,8.708109677,9.241547174,7.86148673,0
9.312051217,10.93345947,10.48849618,9.823156526,9.614509296,12.88795813,8.274521864,12.43566379,10.791623,11.34511457,12.77521847,9.006422841,11.25098968,12.28271646,11.0298646,10.55373416,9.117840693,12.58132442,9.184951615,10.83504233,8.533889963,13.80662436,11.77067345,7.669749226,8.777242999,9.08820545,10.7503072,11.11295562,7.995913714,13.00531161,10.63286655,10.18391635,9.788271559,8.901576073,8.870766418,8.793640387,10.36530846,8.675617304,8.871680563,9.557454873,10.3485091,7.4330608,4.687245893,6.814685561,9.41851068,8.948308992,11.31432386,9.01029828,10.63174198,11.63193174,6.689457626,8.599364859,8.552229904,8.712533298,7.677136481,7.66002618,11.84035871,7.704886621,9.413765271,6.180388035,8.041357651,7.834186882,7.057317878,9.824182252,8.863275069,4.084073644,9.251688271,10.75177778,4.130355083,7.918487584,6.097260489,10.7264384,7.197380041,6.510707912,6.023395709,7.821312375,7.35395894,8.687102198,10.36767245,10.20451799,9.371093752,9.910226251,9.826837867,10.24023888,8.709549278,8.560219346,10.48335151,8.685151828,7.938487375,11.17668313,10.56757074,7.152584486,8.497504386,9.158451683,8.628433044,10.19956409,9.814679474,4.852897043,10.43815874,11.0059512,12.95504675,12.47823242,11.08684034,7.324565081,12.27159278,10.88203008,9.373031386,13.74689705,10.86465311,12.58472543,8.682870247,10.02841479,10.77223072,7.828703051,13.75001494,9.614783146,9.536934474,8.598899037,11.93090045,11.65352597,9.20842974,9.444147999,9.058510491,10.66334184,12.82938619,7.268651827,8.920232655,8.839081048,10.06751078,7.790790672,5.31741261,10.14274706,9.477100072,7.006468053,9.127329419,12.50613212,12.11678129,5.445320543,8.272352706,12.26481826,10.22727213,12.13236836,9.525200966,10.26850506,7.392945484,8.738103213,9.015014106,4.974844937,10.76618207,9.308997373,6.862692421,7.569394722,10.60124698,10.05916816,5.332326676,8.403638951,8.482920737,10.5581638,9.562517307,7.01942373,8.809912074,9.79267054,8.996284866,8.753522776,12.19977844,11.08611408,6.586017208,8.801027096,9.26297078,11.58841493,8.870504107,8.982049488,8.823327594,6.353658596,10.72820686,10.22807584,10.3248373,10.70382007,9.471471173,10.12353466,7.342282487,10.60133254,10.9879674,9.385638146,9.808041829,8.848628867,10.7890432,8.713455572,9.68926881,9.981884546,8.53845997,9.513153374,8.417717915,9.581516217,8.519321168,12.02480141,11.46706796,9.633862971,9.035615566,8.093895021,9.900207865,10.47881425,8.736361629,9.877027829,9.207526692,9.667062205,8.381066656,0
8.544080656,10.61786853,11.62880735,10.20813805,9.228589281,13.12823907,7.759685916,12.11482947,10.65935271,12.31638921,12.56450567,9.307571897,12.22719466,12.8876505,11.0577155,11.14741005,10.19698892,12.50771739,11.61139945,11.78213603,9.762012814,13.48084948,12.15027075,9.581020205,11.27574285,9.052355677,12.08481306,12.70801594,9.745042655,12.89193295,12.63240644,10.86321414,10.13741453,7.603782053,7.735192038,9.258837059,11.19518454,10.15232467,9.795599652,9.717729954,10.03073866,8.543001742,4.711957337,6.38598034,8.661430826,8.390449271,11.18210569,9.210536495,10.85462954,11.41855444,6.641623226,8.200802266,10.48531383,9.648446299,9.522533504,9.838981395,11.03044695,7.354245162,8.793975785,6.454643367,10.56154011,8.259403919,7.629226479,11.51369519,8.974566241,4.246992972,9.311440478,10.51399255,4.118579614,7.359837412,6.173651929,9.958542907,8.545362091,6.793027731,6.739444786,7.54775395,7.117917473,9.687325564,10.74176576,10.80868233,9.560427091,9.198084858,10.79123295,10.65567103,11.30477571,10.2451115,11.68192816,9.219883238,8.609308317,11.83637137,10.72646744,9.703357603,10.00897723,9.328726158,8.146235032,9.793885051,11.05687281,4.868709692,11.19307469,11.29765812,12.86327067,13.30439254,11.40909355,9.417628288,12.35711482,9.177631529,10.56138508,13.46470137,10.47057781,13.30549459,9.936431086,10.25890586,10.53700729,9.19954455,13.46167674,10.6883554,9.904689145,9.586900635,12.75344112,12.78520746,9.282916241,9.955338573,10.51645693,10.11069758,12.73209525,9.536282979,9.053713435,9.261706969,10.00420109,8.339939253,5.376321668,10.44183816,9.200317132,6.972563792,9.176144048,13.31340467,11.90806291,5.310354875,10.15228842,12.11791337,10.26182688,12.45079246,10.62054454,10.44637305,7.794546928,9.000903986,8.447709777,4.882487,10.67593153,9.008772906,6.827037823,7.749377116,10.22305239,10.22146804,6.122730139,8.082909155,8.527512913,9.743599829,9.255726524,7.891141742,10.39499089,11.32318059,8.832493732,9.822412887,12.52975628,11.1782566,10.58554519,8.828817449,8.657805086,11.12229506,8.363598142,10.01738749,8.91009122,5.925658451,10.0717381,11.22829399,10.47445582,10.6555223,9.831379423,10.16605703,8.220123368,10.42831841,10.89822222,9.620916835,10.06986114,8.97426659,10.2425918,8.73383472,9.002360781,9.233181408,8.563657096,9.608075925,8.604183251,9.354082301,8.409677389,11.10092107,10.38877635,11.11450426,8.459401226,8.157307181,9.57902725,10.01805537,9.239076887,9.283322903,9.226640914,10.55361203,8.053801293,0
8.342786377,9.673755859,11.52401889,12.2050192,8.500099948,11.7326808,7.435537293,12.08889674,11.51775281,13.45786623,12.39560357,9.955876542,12.24182257,13.12746377,11.97028849,12.07490392,12.02284043,12.88176978,12.61330295,12.454186,12.16339445,13.45001913,11.71795803,11.70534313,11.29746673,8.191838959,11.50888755,13.68746011,10.18976984,13.51473333,13.03110784,12.10897405,12.20599991,9.390048267,7.369383763,9.304443992,10.48801134,11.63467989,11.53036489,9.989065857,10.79082884,10.55391781,4.512005738,6.208412957,9.45298575,7.948134667,11.46552062,7.787108845,10.82665886,11.58066404,8.337513592,9.052982969,12.80641728,8.102684041,10.04290743,11.04207631,9.065975577,11.32907429,8.111391277,6.68605451,11.34592221,8.268701298,7.054992741,13.26053637,10.4959484,3.988505006,8.073606943,9.598225712,4.043010839,7.318783758,8.452755835,10.85714406,9.869128801,6.887230444,6.407096424,8.237079141,7.023622839,9.163597979,10.19702958,10.32278092,9.296238048,9.40287144,10.99273547,11.38975308,12.11888301,9.247147367,10.96519778,9.513028235,8.692277618,12.1724868,11.34018559,9.066020985,10.07217752,9.53106175,7.506122694,8.504078808,12.69732375,4.806034789,12.79404964,11.78219242,13.50850569,13.95848913,11.38639904,10.33684594,12.30855916,8.204873399,10.94109859,13.42249107,10.90963295,13.90168146,10.10519092,10.5806226,10.78728735,11.53218926,13.43942272,12.09000561,9.681333993,10.54006335,13.55652231,12.26775394,10.03257338,10.24164997,10.76313973,10.43681898,13.36066083,11.66770242,8.588071337,9.840972145,11.12879065,8.444527819,6.318214143,10.86878224,8.931049663,6.981999452,9.146513323,13.95121589,11.72103615,5.272030243,11.92563591,11.63872499,9.531960933,11.9540425,9.153217288,11.02615482,8.205143263,8.644265313,8.624149743,5.136987823,10.97774849,8.572886179,6.835738965,7.426860642,10.31615337,11.01535167,7.000744392,9.575064077,7.341003409,8.54570425,9.032803192,9.657384616,12.61101954,13.21171825,8.565376279,10.2842212,10.90985455,10.84230358,13.72782137,8.510296613,8.479710514,11.22883092,8.397369899,10.17415242,8.718353752,5.986752446,10.38876526,11.30641925,10.88337593,10.95667879,9.237810366,9.808083988,9.406989493,10.77721586,10.31980449,10.21816254,9.225537198,8.800019524,10.38634481,8.347435002,8.62835217,8.059932937,8.054840699,8.591360902,8.30466714,9.189493545,8.221129562,7.919479305,6.91045665,11.82369177,8.202221438,7.145074835,9.067370509,9.350200917,8.643613034,8.796930246,8.820209597,10.66995542,9.222063843,0
8.413296783,10.8259566,11.13554088,10.06066252,9.023041016,12.8235357,8.161389523,12.17301301,10.22302334,12.28499156,12.67386596,8.732824638,11.52539395,12.42265514,11.43557421,11.55795856,10.03109619,12.17201355,11.29189614,10.80561657,9.850330495,13.47379643,11.56194414,8.975990565,9.955909891,8.113906852,11.49211357,12.5172249,9.070180146,13.10818811,11.91469427,10.25024732,10.12691464,8.303311029,7.014283895,8.617116298,10.95125099,9.94247896,9.822253352,9.539673585,10.02190605,8.746005328,4.503385629,6.699438431,8.753541037,8.091757116,10.50350649,8.192469776,10.57801164,11.20015682,6.741172766,8.365994295,10.22918711,8.92936587,8.524920282,9.555587225,9.874321037,7.403332702,8.417981894,6.664277862,9.819152025,8.263313421,8.337461546,11.28299065,9.59631313,4.519998303,8.270819104,10.69109139,4.393662326,7.603818732,6.966273381,9.949127278,8.013593348,6.190685055,7.566370723,7.820642353,6.975339061,9.682617302,10.23576074,10.22275652,9.620762312,9.683664516,10.53048688,10.33445549,10.32238698,9.857666147,11.62198184,9.528056859,8.528922185,11.50623902,11.04536771,9.060932433,9.453220166,9.340274891,8.247238101,10.13524844,10.16407987,4.84533567,10.47984415,11.01227044,13.067718,12.60137253,11.00649597,9.603684326,11.98969433,8.748597717,10.19587181,13.43495365,9.807881345,12.65843901,9.602862164,10.65025288,10.2126841,8.804868427,13.42500958,9.897513483,9.866449983,9.561321799,11.99779071,11.77941448,9.097746231,9.556649311,9.485103869,10.20912883,12.98663901,8.724227504,9.086042766,9.69139175,10.2375417,8.086424716,6.80278344,10.25724667,9.467135577,6.895404405,9.844854387,12.49201736,12.12066156,5.609634601,9.061139894,11.8020922,9.810339413,11.96438765,9.537285861,10.52283344,7.871557611,8.178201106,7.76186278,4.927449909,10.76446121,8.519733681,6.903663299,7.40352122,9.927752012,9.792181496,5.592210636,8.674768973,7.956780149,9.605162093,8.96420537,7.999984449,10.02268739,11.08721232,8.836324186,9.316042071,11.86938226,10.66784523,10.39415184,8.399755007,8.235216473,11.4157463,8.425486034,9.839151811,9.033410348,6.190646643,9.583041847,10.96649414,10.41267362,10.57136069,9.605996943,9.850489127,8.838160897,10.26599281,10.30607364,9.938475936,9.811309213,8.212406314,10.2611588,8.934557283,8.342488609,10.38416081,8.244413015,8.868113075,8.375506115,8.661066155,8.507315293,10.71607813,9.837857235,9.6540719,8.496435052,8.157598002,10.05096943,9.571417193,9.017438776,8.534381721,8.523790652,9.822210307,8.521910411,0
8.004462912,10.42178134,10.86883789,11.43317056,8.578013488,11.25118859,7.488821094,11.75675853,10.4657812,12.64949187,12.80364451,9.168564687,12.09476948,12.95164663,11.74155687,10.89879607,12.01239707,13.13786037,11.5586824,11.30302936,11.15982742,13.55735828,12.21170651,10.01492041,10.23688697,8.282640162,11.63421843,12.65858232,10.01098504,13.69812871,12.40451199,11.6462475,11.41355635,8.839187705,8.912059695,9.075370379,11.03994359,10.28739268,10.14656688,9.643669347,10.86335875,9.805465197,4.682410699,6.640694582,8.864816624,8.299096322,11.95936084,8.456746494,10.41852303,10.75234979,6.969650363,8.72017345,11.71707771,8.637785045,10.16705251,10.23706311,8.924897342,6.729362654,7.430847695,6.505220167,8.83147815,8.417736139,7.561650754,11.92044078,10.00614649,3.916670257,8.853236592,10.33018484,4.085989297,7.094037153,5.93031893,10.78756465,9.134437437,7.442383209,6.016315723,7.759431598,7.217038778,9.031406961,11.07196355,11.16739422,9.971073191,8.538095347,9.918589766,10.29036259,10.35474664,8.9383634,10.84761315,8.77453117,8.799200917,12.48440191,11.65178542,8.616621038,10.02386304,9.419689422,8.080745479,8.204680763,12.33494862,4.908627063,11.18521463,11.33348917,13.72253223,13.43987129,11.59478875,10.96155134,12.36228143,7.609936785,10.10297834,13.53039052,10.836371,13.43406066,9.330433434,10.61266015,10.41505207,9.884502543,13.53186936,10.34534326,10.02131446,9.611870724,12.96503263,12.12582606,9.626078107,10.36938185,10.5486784,9.44372212,13.58442306,9.996034931,9.174180628,8.624616415,10.6820565,8.124301599,6.309973669,11.42608869,8.8136325,7.065788863,9.269011402,13.43597827,12.13553437,5.412881166,10.36113736,12.01744072,11.07594502,12.31490287,9.651435423,10.20606917,7.693465052,8.246809349,9.520615074,4.842940366,11.02039193,9.22922845,7.104314356,7.586045237,10.33880518,10.66678326,7.754844737,8.338201098,8.117743236,8.942899612,8.953180604,7.783656524,10.97297466,11.810147,8.727723519,9.706920512,10.49722526,11.04238393,11.65379168,8.52604356,8.610591676,11.55215007,8.241710378,10.07032323,8.927033301,5.856744319,9.817607689,10.55068763,9.610556114,10.84385413,8.916810991,9.83032456,11.63686301,11.32970207,10.22181069,11.01033904,9.767043323,8.52941973,11.22125603,8.415121654,8.306379309,8.329619896,8.742222178,8.930548821,8.355220323,9.363762764,8.515185197,7.183935438,6.913568365,11.43828743,8.689221729,7.629331853,9.388881689,9.918752886,9.002871649,8.596158342,8.892290551,9.639304314,8.06227445,0
8.873586748,10.07940447,11.21293122,11.73012483,9.013202616,12.72743638,7.96734196,12.2989007,10.63436606,12.84137859,12.9114369,10.12728548,12.29433251,12.97587256,11.83652157,11.93963239,11.8189002,12.81111086,11.76055825,11.93706903,10.40581855,13.59173628,13.40186937,10.04404453,10.86136133,8.646882919,11.94028909,12.83901523,9.870574877,13.58848712,12.64524902,11.2801844,11.61174719,10.62412639,9.396377506,9.307382638,11.17473719,10.50023854,10.43362743,10.36514501,10.58919175,10.05053283,4.780606537,6.489617673,9.660368955,8.640184768,12.07715694,8.082235716,10.83272349,11.56277431,6.341418455,8.954694285,11.16846817,9.021583574,9.543357031,10.33985078,8.680619041,7.75691593,8.541833331,6.645138623,9.864174981,8.804546382,7.12959276,11.9359208,9.596619643,4.940470696,9.14426879,9.99484687,4.169839587,7.757685137,6.146810429,10.59550602,8.99263366,7.126448293,5.451909125,6.999164336,6.956396116,9.753770743,11.29776976,11.314841,10.37101758,10.00294772,10.68620686,10.92767221,10.8494624,8.993911092,10.88381108,9.116145266,8.907853637,12.45258171,11.59513047,8.3422595,9.685488081,9.438622964,8.386726785,9.398785772,13.13110784,4.994509755,11.52002969,11.39424031,13.5697307,13.43130218,11.08219751,10.05373746,12.57638274,8.710386175,11.03288897,13.55712402,10.35691654,13.35957915,10.41022166,10.52753913,10.40416436,9.839764459,13.56026846,10.89548717,9.744550707,10.17611859,13.00750285,12.04344287,9.878189527,9.824795104,10.55890482,9.713856832,13.46089593,9.835109673,9.075286696,9.089245947,10.55029303,9.392472785,5.375600409,11.0054227,9.510241893,6.761872021,9.646199635,13.53736288,12.42145479,5.60297236,10.64003907,12.07267955,10.45160663,11.90519544,9.530904325,10.44484143,7.972576248,8.65523728,10.54826349,5.068272725,10.86081944,8.329602295,6.752037262,7.424605365,10.24797125,10.89544333,6.631172009,9.214569756,8.059171875,7.871685945,9.359735381,8.421220514,10.95449315,11.70581483,8.994064041,9.785903768,11.9226654,11.22064276,11.43147897,8.650789553,8.69020057,11.46144528,8.588666651,10.18775775,9.129457395,6.867010617,10.54589566,10.89994324,11.29588683,10.97779703,9.312459838,9.810746859,10.77456287,11.04631418,10.40329027,11.07310085,9.901945492,8.812569124,10.69571732,8.810663537,9.214763272,8.76099838,8.40831903,8.98688908,8.081331383,10.06272346,8.150581709,6.713077575,6.286173818,11.22710212,8.46579325,6.586751383,7.085092923,10.09798794,8.736902883,8.805894353,9.146110763,10.65912099,9.158537976,0
8.952404814,10.65747973,10.98514441,11.35916111,8.660459815,11.98213094,8.210106639,12.53208866,10.56932625,11.53686666,12.74614284,9.248474692,11.54222846,12.59846248,11.18221081,11.28631568,11.52423629,12.35029885,10.06028362,10.84538955,9.292999652,13.62367169,12.65083989,8.640485733,9.488845458,9.453654473,11.74327846,11.46893213,9.740938029,13.58936333,11.87984136,11.44419969,11.31351192,8.593247698,8.851995128,8.846905002,10.476689,9.409530501,9.192901051,10.26308761,10.77162221,9.433636354,4.727419671,6.405021569,9.593295497,8.865791091,11.30743067,9.231711364,10.82025866,11.45616092,6.563121745,8.739672703,9.573579018,8.989723468,8.434843792,9.84845725,7.909722033,7.616157383,9.188925565,6.431805983,8.187283741,8.271589863,7.240305589,10.40970476,10.77367562,4.367798794,9.294555135,10.59905255,4.141898841,7.593681601,6.291603121,10.61040217,7.950811732,6.679471786,6.438476945,7.530522204,7.32729923,9.359344628,10.57738051,10.63978077,9.406354011,9.893953487,10.18103438,10.47223892,8.979879175,9.221341848,10.98435189,9.017226747,8.313891592,11.35465315,10.38922517,8.827408551,8.209437417,9.648904174,8.3572544,8.876038773,10.73739818,4.940818848,9.918006742,10.9452902,13.57172095,11.42342954,10.33940155,8.156776516,12.27212063,8.336376266,10.37537656,13.58092687,10.15291306,11.48754737,9.667151716,10.22323883,10.67583435,8.403789427,13.60766617,8.963156614,9.248702566,9.20342451,10.78856912,11.44459267,8.827639002,9.513314425,9.417570368,10.35138184,13.4921141,8.481144835,8.902499111,9.354349041,10.06221146,8.575644468,4.966875267,10.01089918,9.645829913,6.89363278,9.072725054,11.42703052,12.06781011,5.518553402,9.26271552,12.026446,9.834105047,12.23903256,9.770559369,10.91566723,7.767189655,8.083248207,9.972410805,5.436591206,10.54714743,9.49429282,6.916230911,7.375742096,10.11270469,10.21346123,5.686711849,9.418818309,8.462706767,10.25996783,9.043293306,7.588994242,9.16537858,10.23303905,8.874236212,9.124506397,11.07175746,11.2766228,8.74179524,8.732509577,9.360864433,11.43178859,8.686346322,9.976040941,9.163555875,6.398623378,10.4250514,10.55361703,10.21941741,10.73709133,10.07872063,10.03848509,8.973918003,10.78402622,10.47742854,9.981983915,9.904217442,8.607580216,10.90337547,8.55850906,9.270420724,8.14930857,8.252574982,9.5647835,8.458152272,9.128328903,8.280388011,8.076887017,7.257572538,10.17628207,8.550195632,7.701241395,8.705558692,9.987451174,9.119000724,9.206209836,8.977221443,9.951459851,7.229036036,0
8.400662757,10.36497732,10.94380006,11.11707643,8.826728292,12.01424595,7.740542031,12.02295777,11.23739876,12.5564968,12.8762797,9.320587612,11.95799784,12.83046845,11.54103905,11.05917117,11.93782683,12.64009216,10.90814107,11.40422059,10.70550166,13.63192577,11.83608815,9.729586309,9.983585674,8.680407899,11.50873995,12.41813982,9.072039486,13.35028554,12.49572778,11.22289248,11.09230968,9.156906086,7.725475524,8.416065214,10.12795058,10.1224795,10.05847466,9.54376329,10.17941069,8.958087434,4.620459996,6.616069132,9.399459095,8.113456615,11.15927771,7.858721571,10.76216869,11.63698418,6.856307865,8.493494569,10.88738368,8.935637973,9.150290247,8.956031979,9.297247422,8.049812129,8.538842408,7.036132292,9.439380321,8.265809034,7.541512054,11.95915505,9.888958712,4.93130109,8.358749897,10.23973199,4.210016952,7.756868956,6.619145331,9.982744437,8.263965175,6.333764047,7.230504597,7.564274953,7.049837827,9.229770459,11.03955804,11.07490383,10.21354976,9.619008365,10.14251904,10.62119175,10.00413182,9.011930923,10.85383108,8.996587582,8.35820691,11.42647054,10.81984238,9.722399482,9.84184322,9.492443471,8.639509243,9.966751528,12.86919319,4.976517764,10.95775443,11.17836322,13.35306496,13.27760576,10.52107449,10.78868706,12.36458333,8.604570082,10.52932273,13.61303207,10.93109214,13.35401025,9.826564497,10.18457761,10.02452232,9.81011266,13.61067306,10.21646698,9.355750246,9.492729098,12.69026437,11.64728985,8.875230396,9.685399002,10.45348225,10.07827861,13.23921674,9.607634966,9.021494237,9.569459954,10.71457408,8.53138705,5.408331655,10.21817572,9.512935497,6.959681175,9.365435569,13.30647812,12.42306106,5.822092985,10.17697358,11.74250957,11.09519749,11.78520797,9.889196534,10.98324209,8.293398653,8.318546504,8.921407321,4.931974856,10.61184378,8.794108093,6.770136596,7.728619308,10.73467339,10.73372133,5.956493717,8.799267086,7.569020887,9.784213152,9.05665549,9.25348339,10.82423495,11.79649196,8.694529634,9.515539304,11.09046997,10.674667,11.26253185,8.282267506,8.72690394,11.34596702,8.494416587,9.64327731,9.007680216,6.163083751,9.862688266,10.81639838,10.95119665,10.71896139,9.573150962,9.460244428,8.947063009,10.7026222,10.1143135,10.02762305,9.867178521,8.454767146,10.91286431,8.12207355,9.010209862,9.510012414,8.175047915,9.023801713,8.475860493,9.081763808,8.336868112,11.59493148,10.73799202,10.99342667,8.424515865,7.616717071,9.444471093,10.00147559,9.264945175,8.571913929,8.952957244,10.00687026,8.119576366,0
