"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.190081582,9.421218821,9.513714765,10.00647232,7.259279633,11.18042676,7.724479045,10.86403461,11.78784195,12.07147072,11.86298453,8.595691205,11.70146129,12.14182619,10.49192455,11.33323751,13.53727922,11.57001474,9.956202009,11.27423991,9.479524909,12.95790942,11.38547279,9.184036156,9.110457714,7.531417485,11.19951652,12.32021153,8.689770709,12.94668464,12.0227365,9.389065771,9.586745919,8.951367536,8.727406407,8.326617592,9.319564817,9.933829164,9.212577788,8.492347801,9.14353948,9.259714633,4.376908258,5.996374366,8.309521872,6.712053228,10.59260799,5.98528991,9.792632344,9.856030361,5.556568735,7.600626167,9.807073663,8.379746417,8.718479081,9.649708171,7.536628834,7.331971992,6.452044696,6.882589126,7.474825209,7.320974336,5.892986104,9.871222244,9.681139334,4.455696358,8.417626974,9.285561783,4.122773743,7.039533699,6.131805715,9.345032605,8.141633764,5.519791326,6.779877931,7.18797529,6.811269162,9.512406974,9.001179166,8.656585794,8.447186318,8.695731837,8.492234331,10.13859496,8.349998722,7.848052779,9.141493834,8.610845473,8.139984348,11.78151797,10.77692476,9.636169309,9.695563282,8.585460429,6.861831471,8.589920533,9.747642375,4.066262317,12.15342212,10.25528344,12.92941465,11.88871212,10.22793137,7.350079239,12.28124772,7.644034253,9.631189878,12.76844074,10.88168042,11.88752017,8.881983093,9.095444131,9.400751635,7.044178953,12.85107805,12.13381718,9.394420234,9.021745787,11.18394865,11.68860806,7.644976552,9.223308117,9.683608323,10.19749964,12.71185421,9.610237721,8.322229207,10.39625197,9.154921395,7.647639754,6.034038645,11.06284372,8.551519594,6.528721521,8.820060542,11.92602139,10.8442709,5.857877466,9.458995793,10.43599003,9.89666263,10.84947498,8.343222158,11.35288555,8.026655224,8.559779402,7.154021659,4.602442444,9.553526287,7.734718971,5.346267996,7.528668789,10.80121458,9.574785264,7.249304918,8.884339967,7.083320018,7.338493539,8.463116386,9.265179995,10.50560012,9.910598746,8.382956164,8.998994492,10.63134312,10.39706103,9.938400379,7.762502031,7.89142992,10.45619858,7.713705344,9.397033646,8.228499446,5.494672461,9.694855739,9.309763772,9.537962959,9.152868164,9.50597391,8.428163059,7.370761783,9.994389569,9.180472948,9.595252811,8.785401111,7.76774857,10.63669775,6.856946788,7.899442626,7.457451085,7.45749785,7.694497893,8.20644259,8.261898856,8.512770195,10.3853831,9.789479449,10.04249509,8.03368917,7.666885383,8.370558915,8.615809308,8.849021491,7.430434813,8.315892789,9.247414908,6.712734275,0
8.594486533,9.767256868,9.829832067,11.13493236,8.755750808,11.45212862,7.150019412,12.40395977,10.90289882,11.76562639,12.26541865,8.882269476,10.68465214,11.28221747,11.21995045,11.01967736,11.02238955,12.47491691,8.238841646,10.47631829,9.496250473,13.33744684,12.56692184,8.623191544,8.064761323,8.746439914,9.949147553,11.59154287,8.477323393,12.97118948,11.20307154,10.67343574,10.96845689,7.818606268,7.222885845,8.325113148,9.527120075,8.938069742,8.384069804,8.377643987,9.780605268,8.962204137,4.488376616,6.302957092,8.430262274,8.182555336,11.62576826,7.557881515,11.20742,10.9827252,6.408322239,8.010276591,8.471778619,8.209676176,6.487768698,9.848073776,8.96430785,7.297901404,8.07547494,5.993986154,8.075123958,7.027470176,5.77188,9.76269569,10.20825608,3.783086871,8.040586729,9.470679806,3.652487856,7.447719114,7.553051439,11.40272284,7.31045836,6.284846696,8.463028935,7.724757385,6.743967254,8.554327168,9.682762861,8.958781605,9.316520603,8.816782426,8.918748668,9.535679233,8.900261635,8.116999546,10.02890401,8.291919306,7.660724159,10.64200058,9.527401869,7.738310414,9.396581355,8.708095182,7.669581237,10.09550892,6.667194378,4.29380828,10.06045769,10.52741164,12.96036822,11.63390801,10.38603122,8.283239785,12.03321278,9.403674303,9.108373407,13.1991481,11.511545,11.63586624,8.328918219,9.713916867,10.22919493,6.996260832,13.34232716,9.533289978,9.739823134,9.012806842,10.9992482,10.50730475,8.600171024,8.946927474,8.685810491,9.001781826,12.77094528,8.418687059,8.879966697,9.70194239,9.21780988,7.565145757,5.432502476,9.458715645,9.444036552,6.81405047,9.092298336,11.610782,11.31489823,5.814301441,8.039362737,11.81257616,8.759925748,11.34090251,9.885233168,11.03312521,7.92115822,8.901891981,8.272472769,4.083192882,10.41972876,8.418073469,5.492066108,7.838044825,9.790181622,9.480360216,4.880331913,8.656869983,8.052662513,8.161631557,9.047407823,7.526461927,9.348995687,9.979727275,8.914460484,8.371829152,11.00833803,10.49706258,7.316027668,7.686057437,8.010735092,11.74679651,8.626803238,8.906373643,8.539673915,5.745456499,9.322057584,9.285232353,9.498279542,9.789089821,9.677443111,9.576541877,8.034620096,9.730963358,10.156029,9.151338204,9.26016307,8.444502699,10.53084463,8.264509597,7.958683509,10.66310857,7.864219192,8.85239614,8.052319786,8.717822341,9.056060209,11.31972817,11.0467138,8.560250921,8.560589715,8.254797121,9.081118784,9.456146819,8.530530595,8.070883909,8.892344836,8.482504165,7.434896203,0
8.259992493,10.40789601,9.305922055,8.287868446,8.086197623,10.96187501,8.100787109,11.98256427,10.7321428,11.95438534,12.35945803,10.10931495,11.10026156,11.86242284,11.02119406,10.83720888,10.28333661,12.21567921,8.175506492,9.032221496,9.221661946,13.28914387,9.893926648,8.430070639,10.19541676,8.940067838,11.5446614,11.89616765,8.817031636,12.85373555,11.78261028,7.93636748,8.083169123,7.546021766,7.19861777,9.351577797,8.901226936,8.962332545,8.419003128,9.428468158,9.184984196,8.036811614,4.638351915,6.283431895,9.265110231,7.258158008,9.545708245,7.411264906,10.40008154,9.482513847,5.53835854,7.257883009,8.743123683,9.282449531,12.32549542,8.835429547,6.186001539,6.292486906,8.393600825,5.49019087,8.748612853,8.347926757,7.16250767,9.622694551,7.701781112,3.808369302,8.098812713,10.20234873,3.68019048,7.320433334,5.675011704,9.414265151,7.78741574,5.57833222,5.701673693,8.435550934,6.419472925,8.969147802,9.804225015,9.938713347,9.713266781,8.888650364,9.300128835,10.04714811,9.672341511,8.248306775,9.323529026,7.779492247,8.580987302,10.89565117,9.741340917,8.713810768,9.160295918,9.557175759,7.935642599,9.843201089,10.19390524,4.213462812,10.41604639,10.55771136,12.84966975,13.7113602,10.94746197,10.12372903,10.13714537,8.255003424,8.713967942,13.14909419,10.94682381,13.42064818,7.9894018,10.44614096,9.917981106,9.036473441,13.26227032,9.89418141,9.715054317,9.00806624,13.35917807,11.72572169,8.579943207,12.17437309,9.280248635,6.664785489,12.66216597,8.344518689,9.590955222,8.728769493,9.021764083,7.077981991,5.214719526,9.352355186,9.015485308,6.511887117,9.656551172,13.69351408,11.5043014,5.878994639,8.07916389,11.52307034,9.244224936,12.35569269,8.895737997,10.25429403,6.975686093,8.320241379,7.727664637,4.4457777,10.24298316,9.530373466,5.406233177,7.274787332,10.18619067,10.21830606,9.007131132,7.944077581,8.305067917,10.76290143,8.620919615,10.61051977,9.020704861,9.659882987,8.557443534,9.257740552,10.26891187,10.02842665,6.675835857,9.26550207,8.320210198,11.5553362,9.326465691,9.759227084,8.692375233,5.814084847,9.562311656,9.449744882,11.64544897,10.90701296,10.46913095,9.492853298,9.959392743,10.18773807,10.48544313,8.903464127,9.380178495,8.246675444,10.78376051,7.920153796,8.741885602,8.920097885,9.566425246,8.475897224,8.22628083,8.567187258,8.259540954,7.369904379,4.967933643,9.556462751,8.395971255,8.776050229,8.55451114,10.16100669,7.913016606,7.888981991,8.681033031,8.22616642,7.981989293,0
9.544449863,10.97393717,10.15263894,8.826198112,8.581426152,12.05538947,7.965457527,11.85228751,11.48608177,11.14245988,12.39061715,8.749743344,10.08187598,10.89886133,11.04977891,10.74820599,8.70902448,11.67226251,6.485209634,9.775572627,8.576098684,13.56952921,11.9529208,8.017132105,10.10437655,9.71228244,9.059342032,10.64341878,7.913475321,13.31188203,11.61644709,8.995147853,8.682596174,8.280200975,8.180119466,9.42640315,10.16189584,8.912772602,8.319994925,8.835293166,9.221526758,7.659314304,4.677973238,6.388499127,9.336754259,8.377316047,10.95679421,7.610848601,10.89116074,11.4576939,5.711739185,7.930940085,7.805243343,9.311532927,7.164796372,9.3810592,9.598969795,6.895600421,8.285234256,5.82045427,8.45145159,7.381350898,5.529152506,9.497098494,9.125743796,3.857248132,9.046926964,10.64049032,3.639962541,7.121405693,5.591761666,9.674798503,7.763436285,6.908385115,6.848837427,8.25078316,6.592176175,7.983914583,11.28082605,11.47533148,10.98237205,9.551369422,10.25340201,10.76069969,9.602085569,8.404923896,9.711142734,8.187084269,8.480336117,11.60906434,10.40187497,7.649419836,9.261009661,10.75716085,8.046368633,9.980968126,8.248576889,4.323752458,9.901110605,11.01390979,13.31935952,12.40248817,10.88457787,7.610992069,11.83396595,7.901322771,10.07376867,13.44008373,10.01419515,12.38541824,9.160507986,10.14117106,10.96077056,8.340373601,13.55756004,9.225486032,9.440669902,8.745470684,11.74865895,11.17670155,8.836136712,8.412158104,8.364492365,7.028946643,13.15882163,7.821678375,9.508569156,8.509244352,9.6331785,7.902890018,5.749984487,10.12123647,8.885263931,6.723588185,8.878135919,12.3898673,11.6673676,5.862161008,7.843205727,11.79632442,10.19813768,12.16897295,9.962541054,10.23694656,7.072261255,8.696682077,8.425623106,4.502094775,10.38060072,9.535598472,5.400591882,7.484970959,10.01145821,9.163944799,5.158392492,8.018760998,8.04703497,9.162186141,8.705882554,7.021234504,8.744656838,9.593678097,8.747136663,8.627227843,11.2833088,10.60779521,5.583575102,8.74706314,8.971649003,11.76429782,8.782902101,8.72376024,8.606152269,5.701324575,9.878923394,10.02965074,10.57318082,10.88975321,10.35321274,9.613139956,7.830815819,10.71471998,10.13613642,9.544331749,9.393414842,8.390327563,10.79573802,8.334527481,8.225275193,8.860385526,8.253503417,9.496510067,8.689453383,9.405560977,8.188299061,11.24759465,10.91310399,8.887533702,8.539538843,8.086776636,9.239398306,9.590385853,8.144476532,8.972213264,8.861261399,9.202332008,7.280998365,0
8.637028804,11.21007062,10.94162351,8.636831857,9.340485507,12.84373619,7.703798808,12.12116282,9.679519371,11.26250133,12.6098443,8.825693308,10.0260175,11.00039649,11.03506911,10.29277937,8.15520689,11.5642144,7.452209083,10.58103615,9.049315718,13.13389005,12.20459184,7.957688433,9.804661408,8.948610914,11.10407788,11.0662866,8.507851083,12.40856562,10.62652809,9.128341408,8.618158308,7.691737575,8.355132908,8.243195509,9.971291812,8.244792714,7.51356963,8.928180955,9.292950788,7.376287516,4.746324076,6.413024004,7.671937872,8.207426678,10.09134253,8.069145877,10.29833429,9.99427922,5.565661401,7.735930469,7.998164091,9.922988846,6.59290019,9.027115053,8.806844604,6.782781561,7.755862758,5.623998984,7.806272656,7.578677364,5.704706331,9.563128161,9.118355945,3.636976154,9.085957139,10.79116657,3.741434512,6.524161206,5.795778028,8.963736307,7.898601052,7.17633463,6.353231856,8.605382709,6.378885001,8.087408866,9.675825106,9.821822244,9.250904638,9.070385353,10.58053403,9.72177524,9.035210375,11.04297887,11.72235165,8.218118475,7.967579213,9.190164944,7.727715433,7.771145007,8.52819277,8.969445973,7.136358561,9.614474801,8.507844307,4.278307676,9.7013828,11.01863501,12.37170926,10.82763535,11.4044201,6.948125343,11.57296618,8.215873032,9.320838635,13.00138153,10.90198434,10.74985062,8.292657358,10.07062238,10.67701219,8.135863129,13.15159203,9.005068179,9.918830934,8.77926486,10.11377145,11.44882938,8.943043508,8.440368313,8.476642198,6.970534203,12.16293949,7.645736664,9.643524532,8.310118563,8.663130203,7.179145109,5.239769157,7.487295939,8.992256737,6.629292784,8.427639189,10.79367469,11.55931541,5.825527648,7.92514945,11.05014489,8.065430655,11.91019416,10.6237357,10.16275206,7.195368433,10.07173165,8.56638564,4.413104076,10.46878853,9.258983509,5.462962022,7.520580133,10.53338375,8.783388081,5.196595498,7.509121614,8.21942254,9.756790544,9.283925395,6.939948345,8.919849228,9.615262916,8.753260115,8.920325953,12.32303849,10.89942378,5.985047475,8.328370285,8.417159571,11.09682345,8.590967642,8.94295159,8.897702424,4.670879093,8.678068177,10.78832991,8.715740577,10.41556675,10.04168161,9.562099678,7.449328398,10.0730939,10.83024278,9.440109825,9.201670598,8.413257231,10.03227492,8.211394202,7.566676219,9.409618262,7.772349693,9.30452291,8.366906209,9.122243245,8.086604781,11.61610604,11.228157,8.476314378,7.952866045,8.202630945,7.700170258,9.345343378,8.294370894,8.995501691,8.406176078,8.480673469,7.698855102,0
8.051547896,10.79630891,10.88377746,10.55655246,8.334853233,10.35486095,7.44603262,11.50462679,11.09616517,12.38735887,12.15236077,9.566606931,11.59012895,12.32497068,11.71679136,10.83004603,11.52455688,12.35656605,9.534387289,10.28086232,10.96096434,13.33595754,11.37796573,9.745120139,10.71983061,8.508775584,10.70860702,12.23906603,9.322228743,13.37975898,12.43518295,10.6124885,10.37082409,7.921990861,8.499460945,9.23146007,10.96486872,10.25441149,9.42773344,9.800331645,9.795496796,9.48877845,4.8571893,5.976084951,8.204479098,7.832665091,10.47517861,7.047827195,9.736537762,11.21258845,6.696180277,8.388248613,10.96583476,9.82119675,7.750701922,9.242490827,5.664689137,7.030948296,7.649936007,5.895866002,9.636104036,7.204233259,7.510770714,10.84559356,9.744254305,3.764566558,8.646580836,10.51232671,3.75192397,6.514767605,6.309258962,9.511261608,8.477321339,6.043052941,7.08375086,7.940973668,6.611444496,8.429985721,10.99460159,11.25733938,10.66705343,8.940862268,10.87014404,10.17777149,10.07419672,9.928823411,10.66478482,8.911216174,8.42910746,11.27895383,10.09050343,9.492511557,9.83473325,9.503763345,6.65758202,9.229077348,11.79549206,4.26051508,10.97592058,10.98194072,13.36679637,13.02238387,10.68390843,11.17718935,11.59746617,7.057400224,11.0053897,13.17746878,10.55035543,12.86213999,10.0736138,10.5846877,9.481258068,9.919527119,13.33506764,10.14887831,9.333936637,9.127449728,12.49500548,11.68391426,8.934832245,8.870402212,10.31046823,7.805939668,13.17756078,9.691560402,9.478379361,8.687583144,9.698630734,8.706784944,5.205864921,10.02410237,8.851236774,6.730411035,8.18747735,13.07729238,11.00947973,5.963328854,9.849046386,11.12592443,10.14841966,12.01008335,7.762504184,10.87441612,7.225538374,8.634061174,7.412014704,4.369463035,10.02429802,9.046500784,5.280531588,7.533065788,10.4317097,10.64767945,5.335214954,8.244808034,7.676701859,9.02044745,8.81601036,9.231224139,9.915061432,11.02925112,8.582297562,9.763178743,9.821210841,10.6757475,11.00214876,8.608186655,8.808858952,10.68347081,8.087508599,10.07627467,8.601035295,4.978204872,9.56092655,10.76646372,10.77365386,10.73735354,10.0413736,9.283745537,9.817273605,10.67983211,9.132742091,9.361593409,8.906410807,7.934260219,11.87270624,7.602816747,7.788808584,8.255749499,7.775267842,8.408719098,8.020773237,8.7241225,8.21650529,8.767213897,7.836650043,10.74229347,7.509287088,8.619384068,7.739565028,8.72163212,8.605849869,7.508647944,8.90898035,9.757383386,7.505481386,0
8.304805339,10.40844152,10.04716373,8.560359662,8.899548472,11.8696413,7.615898587,11.86606956,10.82938055,11.34081149,11.282416,8.979018185,9.908469265,10.92965365,11.11939374,10.31808879,9.996650665,12.13997431,8.477271542,10.2932659,9.298140833,13.32814494,12.65081813,9.859693485,9.059037687,8.587207184,10.10672372,11.16003584,8.474535114,12.90438125,12.27547768,8.928024501,8.350808399,7.770278881,7.522713547,8.351168105,9.408929868,9.137918439,7.776795289,9.461572497,9.250147336,8.606220071,4.4435746,6.103425318,8.099647733,7.242188058,10.38046115,6.993035668,10.02760739,10.56253147,5.886195801,7.599037809,10.27345414,10.27074859,7.902667845,8.845596679,10.8891958,7.748286897,8.078261913,5.712841068,7.99302545,7.193035599,6.481056803,9.923943872,9.382049628,3.565568823,8.720733135,9.959054532,3.751786927,6.551438995,5.698124021,9.518657454,7.626194165,6.240708877,5.80805224,7.295947903,6.633646923,8.613871443,10.97216696,11.16069516,9.694292725,8.567804067,9.252468068,10.14639566,7.814019516,10.44267426,10.61513374,8.591769578,8.288220596,11.45912282,9.802069811,7.358338193,9.610539383,9.296370732,6.212322997,10.1575278,10.3713031,4.341546605,9.300263663,11.0306207,12.91019804,12.02332266,11.54406543,9.319503236,11.69903818,8.037364457,9.039169568,13.17685141,10.72988734,12.01536423,8.012261174,9.485928447,9.393392365,8.283370677,13.3254837,8.176187003,9.98970412,9.753840873,11.33912076,11.46717648,8.605800088,9.163703639,9.083534555,7.956916493,12.74169142,9.963684834,8.244732539,8.110947169,9.455627353,7.432934501,5.618341034,9.852621564,9.098696608,6.807851456,7.650600746,11.97256951,9.264099099,6.069319395,8.209332287,10.58641023,9.794251987,12.1725676,9.593111857,10.68809818,7.102843922,8.896024051,8.551179553,4.651336628,10.08235961,8.438480836,5.574389478,7.6838095,10.79642,9.501711,4.759711964,7.865052001,7.797804279,9.138879504,9.189798895,7.338306253,8.554547782,10.15521428,8.371359342,9.106440607,11.19978763,11.07995666,9.616578452,8.027667801,8.445575745,11.36956145,8.200108219,9.614287663,8.624349595,4.905517657,8.590754019,9.279854509,9.941258027,10.6389927,9.685983921,8.64890827,8.287191432,10.49986082,10.180861,9.666782121,8.920696854,7.721921638,10.56939876,7.586989734,8.747744523,9.018169121,8.188466214,8.195914364,8.298019263,8.627413891,8.195964391,10.59851789,10.89625278,9.534938409,7.095681481,8.163079963,6.630947499,9.588524581,8.709358699,8.25536024,8.826223162,8.432396623,7.68675892,0
8.113476213,10.36253864,10.08350953,10.14474531,8.916535809,11.10062644,7.731131201,12.04513185,10.08877228,12.31784103,12.52224758,9.501861544,11.93983487,12.46038548,10.95433848,10.72731605,10.05999101,11.75188664,10.86692737,9.298964234,9.46397812,12.84114788,12.47658471,8.700421123,9.550411963,8.486134044,12.48851544,12.62956555,9.129612187,12.72884591,12.12203002,9.978805028,9.984203902,7.152652336,6.591133649,7.735022911,10.01650861,8.876249935,8.518167721,9.523462834,9.840152203,10.06159532,4.932265535,6.081100638,8.536376355,7.835625512,10.90970747,7.224435911,10.41814751,10.67111299,5.750413965,7.514741039,8.107298589,9.141272976,9.671850692,8.387737769,7.467292255,7.16516194,7.731804422,6.076315885,8.509347751,7.32274967,5.939271492,9.593906585,8.129459698,3.97658979,8.736419012,10.12083163,3.778591878,6.796078817,5.709061363,9.113777008,7.31654704,6.40745634,6.886645239,7.813771766,6.474713451,10.21987003,9.834645715,9.962424126,9.516954531,9.642634294,9.99942988,9.942761241,9.266634375,9.29221323,10.57799453,8.435081073,8.343976442,11.46613104,10.30694999,8.264318076,9.325623155,9.727898751,8.000905228,8.565274375,9.611654746,4.391019181,9.972109843,10.90709876,12.73839836,11.7774106,10.65607904,8.607840786,11.94067989,7.116973652,9.928079056,12.69110936,9.698126354,11.68571495,9.361733239,9.810873076,9.839711199,9.21691484,12.87974644,9.914437686,9.638282809,8.49822068,11.10988464,11.7949171,9.080657105,9.768427869,9.789306479,9.800343861,12.50575843,8.543834189,8.723655258,8.107658018,9.868287257,8.094399694,5.68154889,10.06926963,9.629259397,6.685355402,8.753125871,11.81744801,11.78294592,6.163975859,9.161250796,11.38044519,9.271751896,12.09002884,8.964387875,9.597360659,7.548368407,8.438640899,8.874316893,4.740614413,9.614599925,8.172931626,5.219752108,7.416607366,9.434804569,9.60446038,5.534109261,7.971230828,7.762663909,9.203850535,9.079917401,7.750670063,9.552616087,9.474582111,8.299950868,8.329573772,10.38631311,10.80491952,7.398918275,8.187413525,8.50656194,11.11937412,8.330011175,9.354432405,8.691237059,5.510072325,9.235467212,9.856572159,10.6815801,10.63955038,10.15000827,8.951161418,6.590685911,10.02748102,9.757680668,10.31751995,8.979724604,7.669687726,10.51565831,6.864393355,7.698805554,7.929978734,7.948779867,8.685113508,8.061813811,8.887242004,8.063780737,9.340627389,8.611744577,10.68326214,8.37245694,6.470973229,8.779619951,8.837298104,8.507029571,8.293175679,8.577590749,8.753758408,7.518271146,0
7.906704447,10.26050762,10.77733533,10.17054283,8.645824561,12.1764672,7.431186227,11.3237191,10.70685117,12.17085196,12.06517061,9.021510488,11.10545483,11.82317212,10.81455622,11.22279912,10.5570508,11.91612483,10.68640696,10.17991736,10.17934945,13.3289551,11.66675991,8.517840154,10.8603372,7.804083037,10.84287285,12.88674729,8.399621132,12.74971335,11.93097524,9.78711396,9.908799661,7.089580009,6.682436692,8.65787941,10.58982168,9.146053368,8.674934114,9.472504023,9.831691247,8.099647733,4.353534989,6.188841182,8.099647733,7.545194222,10.68451772,6.990555626,9.883122892,10.74336145,6.145086209,8.065873614,8.473169736,9.148633085,8.690488634,8.405889035,9.601476829,6.725305745,7.171137318,5.914879859,8.980918245,7.192025355,6.97017702,9.757822734,8.558367489,3.771353331,7.881605926,9.997837015,3.69922534,6.92326515,5.917541863,9.260722248,8.21314022,5.576472568,7.284424276,6.821150307,6.476838232,9.011011089,10.23605117,10.27481912,9.934408349,8.907250831,10.55417045,10.05775524,10.08500398,9.740090383,11.12525161,8.268954397,8.204148338,11.53591144,10.37822699,8.586587194,9.755215829,9.445015406,7.251985126,9.120336159,10.05224008,4.441126671,9.803983457,10.94751525,12.74320452,11.71606625,10.96826423,9.224312585,12.10149551,7.65184287,10.14215412,13.17561914,9.389617571,11.67122478,9.198956829,10.00817158,9.708762403,8.976441027,13.29864299,9.521825892,9.861032097,9.206624794,11.07120245,12.10938426,8.556021352,9.084556189,9.154196781,8.141621449,12.49771245,8.31105298,8.913106811,9.280760741,9.490627965,7.756013528,6.104520838,10.18684476,8.7343614,6.564475923,8.852998637,11.65581403,11.32026016,5.970477566,8.347387245,11.2772679,9.586148026,12.09960278,9.076971455,10.72246012,7.38867721,8.871178009,8.179284926,4.76632693,10.30967794,8.645374794,5.558122553,7.437236097,9.714547721,9.959231068,6.047562078,7.833180006,7.72327855,9.146422311,8.599838417,8.635814512,8.99280094,9.712695384,8.283695921,8.942639108,11.59049989,10.49077185,12.40820384,8.135881239,7.864001132,10.57343033,7.909827221,9.427864487,8.428418598,5.231556419,9.526292164,10.71208091,9.991244316,10.47181798,10.05652407,8.978375791,8.266000315,10.07668127,9.74820114,8.972590261,8.978088532,7.541487956,10.15750509,7.594756701,7.875780117,8.712491266,8.178775406,8.570210243,8.492354753,8.573774704,8.132360551,10.6988287,10.18926044,9.936759419,8.12408523,7.644271472,8.567553818,9.179648915,8.561033476,8.309367674,8.479645414,9.430824927,7.854639199,0
8.1655733,9.160817852,10.70865078,10.39747732,8.427588519,10.83969628,7.036009382,11.37196434,10.55447717,12.86510595,11.75338946,9.201997209,12.26740059,12.78741616,11.61140979,11.6434592,11.01282754,12.17205792,11.47488097,10.37899782,11.10049156,12.91677616,11.58520369,9.111225112,11.28969197,7.326884987,11.76610148,13.41955538,8.659964478,12.84282606,12.87178589,10.06898341,10.11849832,8.365677117,7.733565756,7.821399493,9.688153081,10.61937418,9.757301362,9.373873486,9.984106999,8.873020019,4.344912697,6.017476971,8.234505246,6.913764246,11.2429241,6.08900046,10.22529211,10.93268393,6.873070107,8.028468287,11.06290331,9.065130279,8.229031256,9.883691051,7.899298456,7.565438128,7.721130578,6.024184402,9.932006072,7.209542216,5.927969671,11.30644866,9.58363087,4.288325845,7.934071427,9.101141528,3.745682982,8.04338886,5.784486688,9.280447294,8.017425025,5.844039121,8.212084461,7.581327831,6.426463321,10.25042383,10.44929121,10.48446276,9.951536902,9.145553795,10.45459288,10.19483604,10.748211,8.834221589,10.36800226,8.574597626,8.437369944,11.31522099,10.10942413,9.263891418,10.29051217,9.340115128,6.855737216,9.592081415,11.68943617,4.167709385,9.009798101,10.878355,12.83910175,12.91441069,10.338209,9.296074422,12.38222307,8.222906926,10.33396019,12.7664322,10.14435805,12.80956109,9.533834406,9.866460691,9.527757275,9.553723934,13.03543523,8.623183596,9.267965173,9.178037814,12.2057643,12.22003744,8.477572582,9.084543877,10.27157576,10.38526853,12.67436082,9.013612167,8.5781764,9.300102691,9.855983643,7.869357106,6.107605445,9.931155049,8.75247869,6.688030004,8.86298185,12.88259344,10.93601837,5.902440029,10.23493356,10.88733497,10.25409701,11.75035804,9.210726762,10.54941213,7.738838413,7.945975635,7.642611491,4.512961394,10.2625335,7.613857588,5.388675429,7.449693888,9.992009168,10.17991842,6.067969733,7.948673696,7.142964378,7.589670251,8.477412382,8.975765814,10.94083663,11.27473665,8.284003277,8.690729647,10.29560298,10.13614324,11.81215985,7.828874102,8.026711284,10.93471925,8.489462354,9.703271637,8.395880195,5.42782266,9.489283058,10.29458704,10.36090555,10.18995336,9.969970574,8.884951297,7.826693591,9.735982799,9.393907486,9.241969411,8.578645854,7.435796931,9.711847527,7.565543513,9.661425116,9.597415948,7.579033646,7.974218859,8.093634662,8.378356584,8.316670869,10.19021529,9.63968639,10.9620367,7.779237012,7.22626084,9.154212122,8.859754222,8.412140098,7.690549672,8.679956047,9.591566431,8.140479525,0
