"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.4615073,7.17627,11.274876,10.422202,4.993185,10.724791,4.1403313,11.192978,9.263966,12.153851,11.8742,7.240994,12.307589,12.541614,10.146441,11.823464,12.978057,12.042561,11.95368,11.72508,8.450924,13.420691,11.641144,8.184033,11.1754055,7.352005,11.177898,13.368853,8.322493,13.752264,12.607885,11.113729,9.868588,8.190808,8.591747,8.264458,11.585045,11.754397,10.373873,6.869792,9.045943,7.011099,2.667071,2.1454887,8.388945,8.357158,10.753845,5.318049,9.750483,10.323428,2.6206589,6.691827,8.53998,5.79613,9.790991,9.900442,6.429973,3.5945454,5.7934446,4.0548515,10.214706,7.0782576,5.1125593,10.107766,8.81197,3.02617,4.685881,6.2641854,2.4929147,3.9908745,5.1108036,8.902544,10.875304,5.7016253,2.2799869,6.1271157,2.5029542,8.920673,10.661232,9.777179,8.51416,8.811025,9.658121,9.684246,10.887025,5.112761,8.052873,7.334,6.968265,13.735472,11.940941,8.616258,8.5965605,7.8336596,5.356947,7.565513,12.970181,2.3992624,10.013276,11.240509,13.828342,11.70178,10.910229,8.785088,12.907405,7.0682173,9.751556,13.135852,8.383413,12.00511,9.864491,8.389407,10.020554,4.2549963,13.011449,8.103242,8.914993,10.451221,11.82121,12.922602,7.879006,8.225731,9.712798,10.371856,13.648391,9.082432,7.8181133,10.398963,8.326055,6.65007,5.5894256,13.327726,6.2227325,2.0545082,6.507118,11.6654625,10.654388,2.2240021,10.0584955,11.44081,10.521846,11.167713,6.888398,11.473682,5.97753,6.339787,7.9137836,2.6053987,10.80048,5.918099,3.3527057,3.2962737,8.600148,9.431013,5.8297243,6.8296423,3.3502455,3.9599178,5.520709,8.675168,9.041139,10.266073,6.4175725,8.646081,9.357887,10.407374,9.30751,6.2013493,6.208809,10.302839,4.5534797,8.411996,4.955119,4.9036307,10.0917425,10.712252,9.964727,8.989582,7.4866853,7.918288,6.257353,9.279127,9.040013,8.872234,8.924685,5.957364,9.636173,6.320408,7.4685893,5.6201506,5.4943657,7.5376062,4.8647056,7.0459495,8.361037,2.4563868,2.405856,10.671585,6.028268,5.1202507,7.5844564,7.437852,4.3190536,7.0362244,7.053667,12.108077,7.4338346,0
7.595214,8.511003,8.809489,8.172631,2.54302,10.631796,5.0271196,11.724654,11.67842,11.165829,13.793534,9.112176,12.524071,12.723244,8.612253,10.649712,11.889218,11.831614,13.962885,11.908362,10.358072,12.702856,10.792664,7.499571,9.004776,8.297077,11.158969,12.084203,7.226409,12.919931,11.751961,9.06479,7.8100343,8.7039995,7.337158,4.8933363,8.863361,12.1666975,11.174858,7.685164,7.8696837,8.719316,2.6440089,2.169526,9.26246,8.9009695,12.414507,7.8162065,9.671675,9.286947,2.5327086,6.304456,8.122476,5.790677,9.837012,10.506193,3.0282595,3.0949237,6.0619497,2.480386,7.25415,7.5818324,2.936165,12.221788,7.849066,2.856519,6.4909425,7.5411096,2.505928,5.6350927,2.0952966,9.066376,7.863412,5.931644,2.275739,6.8011866,2.5549836,8.279708,12.791116,11.635634,10.704294,8.838547,7.1917543,8.675877,8.285492,6.1192427,9.379668,5.7385907,6.944525,11.960178,10.101925,7.036958,7.7255163,6.322388,6.7500076,7.473366,13.30313,2.4269953,13.3791065,10.857578,12.928377,13.026486,11.734816,4.7421255,11.652657,7.2823954,9.524504,12.486753,8.127109,12.955121,9.466469,8.9948,9.764931,4.775468,12.299772,12.020855,10.828156,9.517416,13.041047,13.0231905,6.8070164,8.519201,8.958914,9.914367,12.717289,8.411516,8.67629,10.518305,9.363499,7.2634954,3.6706755,10.770267,6.6794724,2.0414853,5.943783,12.9149275,13.260188,2.2287989,11.310888,12.154831,8.424948,11.678803,7.9664993,11.151712,5.567703,6.713446,10.778969,2.9493027,9.5504465,6.129241,3.2747474,3.5512993,8.144705,9.518436,8.748943,6.7070446,4.843883,4.4440293,5.8973303,5.235038,8.266787,12.264679,5.8636446,7.2193675,9.225586,10.136673,6.924492,6.8866944,6.60923,11.731877,5.0622497,6.3626585,6.9348264,6.939144,10.203409,8.6383295,10.333489,8.791159,7.880992,8.470675,9.63446,8.621801,9.325405,6.3187637,9.302666,5.451744,9.74726,5.9327574,8.590163,5.7736626,5.1350284,8.543276,5.7621675,7.6201596,7.964057,2.5387106,2.4429405,9.497686,4.6985197,6.8439236,5.83634,8.218915,3.5248578,6.6883545,7.0180006,8.693461,7.1183796,0
7.78816,8.305364,9.330051,11.055618,2.5451086,11.835425,4.806548,11.909258,9.455194,11.441783,11.084692,8.301902,11.604338,12.103443,8.72947,11.388089,11.86707,12.339344,12.298978,10.084228,8.929626,13.697192,12.085536,9.206108,10.782829,6.6536274,11.603012,12.623632,7.7529044,13.604594,11.425227,10.751485,10.603724,8.207544,7.8195467,7.4082165,8.840799,9.628468,8.069817,6.3128757,9.322318,7.5701976,2.6933644,2.1715665,7.1788125,8.356087,9.282438,6.43964,9.283132,7.192652,2.5141706,5.4440045,8.765173,5.0166516,10.223397,9.158179,5.498438,5.081246,6.8528643,2.4492886,8.152623,6.6967435,2.9442844,9.513796,8.581051,3.005546,5.6694193,7.1396704,2.5056076,2.8276772,3.2186127,7.746198,7.418289,5.408245,2.2589977,6.490432,2.532596,7.071237,11.284912,10.05907,8.724949,9.03069,7.6592813,9.938065,9.284309,5.0641947,8.328991,5.2486954,6.2850323,12.227686,10.193809,6.311376,8.663124,5.3929424,5.527232,7.894166,11.408943,2.416934,12.177502,11.312899,13.702221,12.433953,8.944216,5.1551886,12.207026,8.257056,6.9168286,13.433821,7.5669365,12.580085,7.0053196,9.327699,10.890272,7.1536903,13.309242,10.149277,6.678561,10.071051,12.569178,11.022631,7.7506795,8.998251,8.443066,9.041809,13.489411,10.29266,7.4196873,8.405991,7.836887,5.3077564,2.7052286,10.981747,6.8059316,2.0419583,5.760753,12.333144,9.609045,2.228854,9.81734,12.426521,7.7354226,11.460932,6.4699407,9.683303,3.789931,6.3785305,5.660323,2.465681,9.692022,5.9066377,3.4201133,3.7617183,8.21215,9.566132,7.1622252,5.5992084,3.8446593,3.9401183,6.323117,8.428604,8.007591,9.827271,6.2566595,8.709297,10.380362,9.862762,8.3379135,6.1661453,5.834422,8.998779,5.285383,9.416129,5.3267064,3.645152,9.211954,9.160372,10.00448,8.618046,7.4150767,7.9176893,6.7685986,9.279303,9.177004,8.500639,10.139476,6.9870925,8.626722,5.5449963,7.3124146,6.7360206,5.9897437,7.4011497,4.424963,7.4297214,7.634697,2.5237105,2.4905834,10.0012455,5.3588095,3.7241132,5.193931,8.627839,3.675652,8.070585,7.416385,8.631512,6.9854016,0
6.9363494,8.7570505,8.628652,11.916885,2.6024895,10.233764,4.941148,11.325096,9.547058,11.414128,12.817255,7.703235,12.734924,12.831904,7.963031,9.239439,11.676652,11.311225,10.775732,9.2794695,7.3808007,13.532232,11.871706,7.713144,8.847254,7.6210327,11.372935,12.159341,7.2815886,13.029019,12.361768,11.962488,11.815485,10.215924,8.123028,3.9292922,7.8458843,12.535377,10.992399,5.4546494,8.223258,6.169998,2.7392485,2.191929,8.753226,7.9513693,8.405892,6.4556985,9.634307,10.046225,2.5753117,6.50934,8.111386,4.8737426,9.318928,8.20345,3.2361708,2.0806062,5.7016354,2.510278,7.2795577,6.634824,3.042351,8.929018,8.013023,3.833675,6.637883,7.916012,2.544457,4.619952,2.3062887,7.462512,9.456582,4.8493586,2.297738,5.9366126,2.6008766,9.18929,9.453334,9.072992,7.6776295,8.984903,7.1899734,9.427124,7.734992,5.4404774,8.599194,5.848854,6.0555577,11.513851,9.681905,5.761547,7.4828577,7.403453,7.562124,6.91302,10.642016,2.473689,13.226598,10.023714,13.055203,11.215922,9.425265,10.2176895,12.960491,6.3270926,8.252561,13.329499,9.53244,11.155939,8.446951,8.650726,8.567621,5.732336,13.193842,11.20726,7.004474,8.416796,10.957414,12.493016,6.709618,8.313949,9.936102,8.7505245,12.865633,9.414664,7.5809655,8.528921,7.5403833,6.7488484,3.2474637,11.610519,6.62091,2.0785005,6.0361047,10.785376,11.626295,2.2554147,9.661856,12.203809,7.7423034,11.532209,6.883627,10.284588,3.9006186,6.5071363,6.550396,2.6892738,9.949674,7.5854893,3.6192768,3.915673,9.318253,8.683654,4.722353,4.6866903,5.723706,6.158928,5.227442,7.438295,9.18341,9.4949255,6.718777,7.321513,9.012835,9.999219,8.445055,7.0106087,6.4806194,11.091028,5.0441513,8.236122,5.785811,6.3577127,9.62531,8.299213,10.351435,9.415287,7.5067663,7.589245,6.8123636,8.9130335,8.460316,7.552634,8.435539,5.9786916,10.623651,4.3250628,7.386437,5.534319,5.6999326,7.465919,4.720141,6.130615,8.211222,2.5346982,2.584413,10.193943,6.9104395,2.868444,7.4436655,7.955058,4.1939783,6.8499694,8.263377,7.815073,5.6967754,0
6.154394,8.06554,8.843128,10.452198,2.5374622,10.948343,4.9363213,11.7094,9.400346,12.329259,11.745481,7.701416,11.565479,12.105309,8.72805,10.512694,10.015653,12.050587,10.4001465,11.128767,9.763662,13.573698,11.345841,9.430235,10.38085,8.2152,9.597095,12.541823,8.4559,12.924997,11.623713,10.920143,10.195799,8.135006,8.199163,8.9841585,8.833524,11.807182,10.259062,6.4678974,8.765756,6.485801,2.743507,2.1598053,8.302732,8.750585,9.794474,4.8420496,10.448741,8.8305235,3.108713,5.14167,11.274067,5.0809054,8.075146,10.060922,4.762888,5.843284,4.5957828,2.5083034,8.101198,6.306641,2.9823236,11.047867,9.796094,3.6554942,5.112086,7.123,2.5133238,3.021977,4.3578987,8.300035,9.36738,4.892253,2.2743907,5.2737455,2.567227,5.8706083,11.839834,10.783356,9.855684,8.718304,7.489491,9.384097,9.667203,5.2204003,8.29725,4.903768,6.2638745,12.23016,9.421254,4.060809,9.968225,6.314781,4.4887943,8.17917,11.087294,2.427412,12.110851,10.777636,12.947557,13.349664,11.60125,6.5908403,11.858506,9.644228,8.208334,13.339024,8.173189,13.455626,7.855559,9.552056,10.224509,6.872092,13.26381,9.969131,8.910557,9.999241,13.725946,12.858986,7.1449723,7.9414935,8.462503,9.411657,12.718109,10.868574,6.813445,7.143275,8.473546,5.719318,2.5695739,10.581722,6.3025913,2.0603611,5.2349067,13.246596,10.307808,2.2364464,10.244437,11.76389,6.8359113,11.630405,7.1227903,8.903759,4.095768,6.7271805,6.300516,2.6361098,10.15328,6.6076913,3.5234723,3.6643016,8.583743,10.1250725,7.142254,7.652956,3.7138205,3.5569715,5.839073,8.45288,10.024792,11.275494,6.4541717,9.64884,9.478078,10.27173,12.158371,6.674801,6.0477996,9.723137,6.055483,8.090026,6.403912,4.356044,9.253713,8.69949,9.930643,9.151199,6.8546333,8.470424,9.195357,9.525175,9.970185,7.371232,10.02811,8.327523,8.728815,5.7828646,6.765145,6.3916416,5.1419554,7.8488417,4.7855973,7.1562214,7.8240266,2.494545,2.4997435,10.327087,4.82392,3.7708213,4.3079276,8.87965,3.725068,7.5173326,8.088055,8.440651,7.6109204,0
6.861149,8.108412,9.448563,8.854857,2.637536,10.353237,4.145858,11.412375,11.714596,12.694135,12.32072,7.936612,12.260252,12.662413,9.294615,10.410276,12.810295,11.755319,12.844005,9.414207,9.742384,13.351458,10.342253,9.66947,10.021012,7.583807,11.906781,12.988424,7.98538,13.2183895,12.176304,9.254548,8.280811,8.323453,8.732384,6.4521074,8.632775,11.832047,10.151093,7.2677937,8.40255,7.811311,2.6738734,2.1662467,7.8586082,8.5136795,8.631859,5.678415,9.401808,8.449075,2.530501,5.433866,10.84239,5.883668,10.861409,9.481759,3.2366836,3.1742542,6.05007,3.574949,7.9277506,7.096958,2.9301426,11.267383,8.083308,3.010448,5.550659,7.013133,2.47185,4.18783,4.1989565,7.4537454,8.378916,5.611123,2.27327,7.0888805,2.5103846,8.527876,9.029712,8.212756,6.696903,9.126318,7.9642057,9.655699,9.330434,4.8560476,7.3964624,6.1142907,6.8173385,11.525545,9.177032,5.405405,8.361384,5.9149117,4.3836145,7.9028573,12.701289,2.404253,10.808004,10.780779,13.269115,13.051188,9.809934,7.7791142,12.664312,4.3928537,8.586996,13.154783,8.502892,13.149347,8.254178,9.6913185,9.432174,6.3667507,13.0725565,8.260327,6.9762855,9.743731,13.010787,11.678457,7.108549,9.202738,9.619817,9.876823,13.0000725,10.799234,7.675934,8.004573,8.212731,7.0993786,2.3711076,10.676382,6.4570746,2.0528061,4.819083,12.994632,10.725198,2.2259169,10.721264,11.298407,7.940042,11.048846,6.6001687,9.988632,4.2996635,7.4031706,6.307255,2.7622736,10.591802,6.2700224,3.4946256,3.704662,8.892405,8.9636965,6.0045977,5.54081,4.1479397,4.558929,5.746776,8.916272,10.564443,11.498603,7.0503325,7.8796105,9.036559,10.535335,12.070976,6.403857,6.5322747,11.39275,4.9213686,8.224974,6.3233843,4.4115005,9.386691,8.873891,7.786663,9.024799,8.054529,8.279114,6.3191776,8.891298,8.7951565,7.3085947,8.976747,5.533561,9.318791,5.2965407,7.7872615,5.9213605,5.857426,6.978215,4.645294,6.6236653,7.837218,4.9975376,5.9783173,10.423105,4.625394,4.944153,4.4380465,8.347809,5.3640924,6.9168177,7.4149833,9.2242,6.573463,0
7.0764523,6.873128,11.038784,9.626131,2.5349636,10.54974,4.368303,11.150371,9.054872,13.367871,11.34778,8.129768,13.147497,13.11219,9.485028,10.590283,11.46955,11.947288,13.136061,11.700934,10.035773,13.565252,10.199956,9.54822,11.979322,6.28467,12.013557,13.347336,9.069572,12.917591,12.561922,10.878145,9.325148,8.703262,8.305887,5.6323175,9.377398,12.442068,11.238346,6.605406,8.718963,7.4947557,2.681276,2.1459234,7.4258385,8.262453,11.132943,4.1521306,8.987608,8.565062,2.523951,5.3695183,11.078634,5.423435,11.718478,8.624978,4.8636694,2.5590162,5.9149103,4.0216837,9.839359,7.3946257,2.9400654,11.82617,6.9456296,3.0398605,5.3100123,6.047085,2.4806633,3.6375506,3.8946126,7.7290177,11.308025,5.5993614,2.2494273,5.114691,2.5243783,8.998246,10.618425,9.694641,8.375895,8.238115,9.552161,9.841469,11.380734,6.4133983,9.320776,6.9540963,7.2427936,11.617978,9.144002,8.093863,8.854911,6.584944,4.8547344,7.887187,10.158894,2.408924,9.996477,11.291592,12.906416,13.353056,11.140525,8.584702,12.87129,5.21451,9.883356,13.314283,8.891651,13.4411545,9.66946,9.07996,9.935039,7.0756044,13.181393,7.4824085,8.429849,10.039221,13.591308,12.680588,7.7192883,10.072458,9.716322,10.122606,12.7572975,10.341078,7.3483906,7.343783,8.228281,6.467109,4.2673693,10.172342,5.938333,2.0500262,5.568734,13.347672,9.434151,2.2251663,10.798278,11.233167,9.249252,11.198469,6.4181595,9.115403,5.4463525,7.7175827,6.574072,2.7995148,10.0493765,5.27715,3.547083,3.7270265,8.6006,9.6810055,7.2389383,7.05108,4.2705693,3.9047825,5.215512,9.243348,11.502782,11.994585,7.444988,8.313683,9.186775,10.384915,11.985508,6.07486,5.4199996,9.539056,5.171902,8.461575,5.3290243,3.5526597,9.703059,10.724781,10.341221,8.969484,7.2717695,8.150802,7.885527,9.246191,8.773381,7.7057376,9.037925,5.5295,8.104682,4.937975,8.086055,5.035926,5.9249043,6.8127747,5.4353757,5.9753733,8.067596,2.4661365,2.5025864,10.622902,3.532769,3.0089042,4.8938107,8.520288,3.7798903,7.5056057,7.3057666,10.181475,7.826592,0
5.948586,8.333211,9.109494,8.511388,2.6413167,10.697119,4.136176,11.237579,9.063599,11.564121,11.677293,7.9909067,13.512398,13.487987,8.214893,9.566768,11.779979,10.595592,12.349452,9.173487,9.273825,13.706899,10.0317,8.425028,9.834732,6.9943123,11.529518,11.25469,7.744781,12.978199,12.149653,8.478303,8.020658,7.9347053,9.103628,7.3616924,8.441568,11.271048,9.312847,6.9856305,8.020394,6.945901,2.7071447,2.179245,8.74414,9.096411,9.779667,6.0200124,9.063979,7.2794847,2.5396605,4.8550005,9.115896,5.992182,9.818187,11.045221,3.7082283,2.9413755,5.827771,2.5106592,6.8771534,7.060202,2.9822001,9.952291,8.999749,3.0327916,5.3385324,7.5304875,2.5064921,2.4299262,2.0839584,6.674912,9.164367,4.66078,2.2835813,6.6974325,2.5718002,7.0644836,8.529645,8.103106,6.017029,8.299292,8.095452,9.708069,8.332675,5.969504,8.4671545,6.6033363,7.117455,11.570309,9.077178,7.620554,8.219329,5.560313,5.3794584,7.234964,13.274904,2.4322798,11.578981,11.1838,13.014044,11.853605,9.50983,5.9070315,12.894152,4.8630123,8.103401,13.524885,9.082359,12.079244,7.6228724,9.32888,8.7822,5.229572,13.535736,8.514131,7.4358644,8.880964,11.748494,11.558079,5.361976,8.364369,10.568572,8.542312,12.860977,9.46112,8.2944975,6.77252,7.034704,5.224818,2.5022464,10.578752,6.2207727,2.0581913,4.755963,11.774352,9.4119215,2.2361255,10.16508,11.235648,8.255672,11.295229,5.90121,9.204649,3.8616846,7.2531357,7.0798793,2.8190587,9.30996,6.3704786,3.7604144,3.76123,9.116515,9.533252,7.144393,4.6579885,6.5401397,4.013156,4.7907166,8.494064,9.298444,10.592774,7.3641057,8.426281,9.412927,10.826202,9.998068,6.312919,7.555835,10.136015,5.1590858,7.2620897,6.5501904,3.6035118,9.002292,8.541675,6.843375,9.484501,8.211798,8.791001,5.6808248,8.414907,8.186014,7.293767,9.464038,5.9502044,8.58549,4.017534,7.861521,5.133266,4.79539,7.8071957,4.6671786,6.5057583,7.4421277,3.0991673,3.3406918,10.575052,3.7291355,3.976174,2.8364432,7.5195,4.1446257,6.560521,7.67884,10.555607,6.41118,0
6.9333525,7.569536,9.858006,8.408791,2.5586243,10.534505,4.1913857,11.884254,9.49706,11.883732,12.178532,8.320858,12.879727,12.994839,9.495553,10.711011,11.0778675,11.289066,12.329242,9.751103,8.627153,13.239252,10.3043785,8.67418,9.988026,7.744563,12.237556,12.980634,11.166855,13.230593,12.569501,9.195145,8.161625,8.256126,8.229747,4.4089603,7.545027,12.053746,10.59022,6.800025,8.488216,8.288193,2.6606884,2.1655934,8.130991,8.241738,10.1731205,7.0204163,9.239606,9.07775,2.53437,5.3540106,8.984364,5.476216,10.959467,10.252011,3.1242785,3.1308825,6.765794,2.583098,7.981303,7.2112594,4.2243476,10.893852,8.199749,2.9408588,6.0359974,6.42562,2.445353,4.2473564,2.0811744,9.105831,9.27047,6.074812,2.2397952,6.9414883,2.4937,9.281533,10.940529,9.988454,8.964689,8.828676,8.940663,9.301173,8.818761,5.1275797,8.253166,6.2473164,7.130463,10.995753,8.314119,6.4203978,8.444692,7.4256735,4.3830647,7.960631,10.824752,2.3880463,8.79501,11.164303,13.213627,12.089248,10.779652,10.051375,12.52412,7.298681,9.768331,13.056618,8.533341,12.383778,9.603382,9.469698,10.41796,8.265479,12.993187,6.0164056,7.6642637,9.266977,12.189495,12.221463,7.5750995,9.988571,10.171506,9.361976,13.01215,9.107608,7.5548825,7.646414,7.50224,7.550212,2.8257203,9.095343,6.477925,2.025771,5.2973075,12.134126,10.983269,2.2253795,10.908709,11.810429,8.48512,10.990871,6.8601093,9.643854,3.8333414,7.0022597,6.4094157,3.35176,10.284506,6.402641,3.4717228,3.2181623,8.309568,8.516448,6.5041933,6.9706726,5.8568993,4.980843,5.788344,7.066987,8.758806,11.150582,6.117285,8.451675,9.065368,9.937118,9.355061,7.351904,6.5793657,10.005692,5.2947216,8.54125,6.1941457,4.740904,9.564457,9.751983,10.481726,9.291608,8.056412,8.340576,11.061366,8.548662,8.660449,7.177004,8.765591,6.9725895,9.161172,6.1360316,8.221576,5.203214,5.4689136,7.3448553,4.9419317,7.2637677,8.091083,2.457583,2.412103,10.866608,5.0206966,4.1013904,4.500903,8.000481,3.414415,7.353389,7.0086226,8.607871,8.450235,0
7.1236577,8.338189,11.049673,12.044486,6.8252106,10.922835,5.1251917,10.832134,9.078409,9.62491,11.30171,6.7309866,10.374512,11.312374,8.92504,10.476949,10.41592,12.103959,10.238701,10.397706,6.981951,13.175201,12.3783655,7.5562167,9.076985,7.1020613,10.1138115,10.572872,8.467327,13.619652,11.6436405,11.305644,11.738713,8.422472,7.2651024,6.082491,10.318449,13.221472,11.9991865,7.03872,9.46937,7.3928003,2.71885,2.1685443,8.905258,7.7727814,10.946602,5.413256,9.45172,10.570207,2.5486789,8.187317,5.372818,5.1682134,7.3791575,7.5795584,5.984123,2.0483608,6.4946785,2.4599376,7.5744886,7.2787046,3.0382586,6.7698307,9.020881,2.8615482,6.245908,7.560587,2.5121748,2.7520657,2.068165,7.6743364,8.697227,6.0513973,2.2878618,6.420084,2.5797212,6.4246635,10.468194,9.830007,7.9895773,8.998636,10.014818,9.756845,7.9471083,6.8485336,9.2573,5.5757027,6.3226876,13.0354185,11.113773,5.0043135,8.333349,5.8603272,4.686141,7.638898,8.085621,2.4413433,8.087457,10.297615,13.69213,10.712539,10.947752,6.7377524,13.498618,7.491271,7.2426963,12.927612,8.878096,11.011496,6.4515314,9.699955,8.57365,4.486145,12.906617,4.6815724,8.094469,9.778881,10.492536,11.16333,7.6337442,7.686263,7.810342,9.3982,13.528774,7.5403614,7.295411,7.625807,7.417493,5.0418673,6.6564126,12.587777,5.5176153,2.0641155,5.041016,10.582591,8.397028,2.2419915,9.135485,11.49046,7.718542,11.264381,6.938494,10.780434,5.0783286,6.6650987,7.5354357,3.266304,10.672414,6.7132444,5.3700156,2.9950182,8.673335,8.598198,5.033369,5.3276424,3.3880463,5.78822,6.531353,6.142414,4.830635,7.14373,7.1783047,8.089259,9.52803,9.794867,1.865427,5.7468076,6.2004232,10.576522,4.0083857,8.611439,6.9492574,4.081585,10.441069,10.771455,8.673277,9.890942,7.9789963,7.7760696,5.175251,9.0219,8.247061,9.551816,9.564347,6.623974,8.721594,5.6172214,6.3292847,5.5893626,6.297499,7.6800857,4.4995728,5.731392,7.598116,2.4952369,2.5112176,8.714048,4.388184,3.981679,4.4004097,8.37704,4.063835,7.3693604,7.111531,10.648089,7.008476,0
