"200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","35156_at","36711_at","58780_s_at","survival"
10.582438,10.262542,10.557429,11.095763,7.835017,10.442739,11.607513,10.104078,8.811706,8.463244,9.873698,9.995009,9.884625,8.850891,12.14136,8.620864,9.904369,7.914526,6.686994,11.310338,10.33066,7.14632,12.026875,11.75884,5.223171,7.425032,5.161676,5.582153,8.174154,8.250909,9.435746,8.4196,7.618681,6.493768,7.69917,3.527706,5.366584,6.730216,7.913764,9.051869,3.621905,8.06066,8.12719,4.130136,6.434481,9.677796,8.061241,8.116034,9.779353,3.61026,5.945979,4.857375,4.629478,6.764317,5.002318,6.067096,9.254146,7.652336,3.070556,6.610737,7.77167,2.884358,6.509196,5.108265,8.260943,6.64696,3.189675,4.363999,7.048578,4.514112,7.874569,7.550269,7.182259,6.332029,7.525282,7.889581,9.463928,8.467347,7.763751,7.708323,6.851338,7.431156,10.457576,8.90172,6.669963,8.235349,7.733715,5.567722,6.533897,8.93073,3.793333,10.343551,8.620519,12.050561,11.693176,8.276273,6.280301,10.48792,5.338532,8.347456,11.857167,7.175508,12.045853,7.805441,8.312429,7.069151,9.133937,12.03153,7.170428,7.53837,7.604452,11.689741,10.116783,6.206006,9.248974,9.32671,7.796043,12.032209,9.98148,6.434016,5.816828,7.085086,6.817375,4.863313,10.292574,7.510765,6.599922,5.674356,11.61572,9.489292,4.047599,9.488568,9.826692,8.162812,10.494425,5.597306,8.647798,6.454597,6.271937,6.773534,2.872878,5.968576,7.209092,3.269809,6.594466,7.745023,8.686401,4.900178,7.005314,7.231455,4.614761,6.66974,6.312679,8.404605,9.682041,6.088886,7.956733,8.424759,6.228941,0
9.744624,10.611059,9.623208,10.651579,7.245728,11.195136,11.732332,9.824221,10.393351,9.827209,10.607345,11.210399,9.376606,9.175264,12.895881,9.690086,7.94799,7.542477,5.290088,11.378075,11.490253,7.12604,12.109196,11.44569,5.993689,7.725787,5.56021,5.948103,7.974675,8.409619,7.87596,8.327209,6.906353,7.269182,7.583856,3.335999,5.623961,6.712364,6.949124,8.83552,3.16598,8.559863,7.438143,3.944066,6.678864,8.151957,7.411125,9.495533,7.861407,3.728617,6.365827,4.284787,4.361619,6.650397,5.762799,6.163945,8.383526,7.944465,3.057362,6.340195,8.016243,3.250149,5.987287,6.003233,8.526976,6.796912,3.43219,4.345717,7.261556,4.413282,8.900873,6.85333,5.961951,6.695694,6.208377,7.494407,8.50833,7.750083,6.557052,7.448479,6.705298,7.966811,8.838208,7.411601,7.225939,7.309774,7.202256,5.705042,5.431175,9.41813,3.753709,8.917127,8.92043,12.08394,11.397361,7.480658,6.042034,10.587337,5.772324,8.454752,12.37748,5.411278,11.425357,8.106846,8.371312,8.199766,7.34805,12.398263,7.76424,8.118823,8.182875,11.345081,10.292549,6.606814,9.835315,8.902721,8.469016,12.08645,7.750172,7.225172,6.238266,6.926607,6.487673,4.439969,7.50346,7.46645,6.338255,6.506447,11.244665,10.816509,4.554894,7.839589,8.99564,4.853032,9.865302,6.07764,8.337195,6.721081,6.575721,5.644655,3.192144,6.43536,6.628081,2.998466,6.357605,6.353903,8.09222,5.94351,5.99407,6.473116,4.585249,6.27561,7.55245,7.725823,8.449782,6.45315,7.343885,6.036657,5.268065,0
10.447506,10.536329,9.99226,10.201803,7.627846,10.190856,10.950675,9.338557,9.25798,8.249609,9.924758,9.747537,8.635173,9.395699,13.290794,8.182473,8.254404,7.690069,5.916795,10.412331,10.638432,6.684999,12.34898,11.731537,6.354549,7.343159,5.021507,6.013422,7.387672,8.176007,8.810033,8.817657,7.349347,7.022288,7.444032,3.380133,5.647131,6.882916,7.77753,8.541105,3.23662,9.07262,8.558302,4.012597,6.730267,8.070698,7.245719,8.445964,8.898732,3.752148,6.452846,4.404556,4.397894,6.441398,4.85733,6.300009,8.714405,6.961837,3.311381,6.360158,7.30066,3.033988,5.779274,5.202813,7.861911,7.547576,3.698718,4.149494,6.632333,4.32343,9.163852,7.79131,7.326077,6.800504,6.454415,9.100549,8.304445,6.839298,7.588942,8.647124,6.85568,7.853862,8.590659,6.211454,7.414817,7.025094,7.448511,5.154028,6.529317,7.161608,3.761939,8.469949,8.467655,12.255367,10.464658,6.969048,6.866105,11.000449,6.389019,8.032003,12.773949,5.551007,10.58011,7.855349,9.028224,8.515003,8.608986,12.829108,7.110689,7.684129,8.162788,10.240094,10.501885,7.244273,9.04382,7.969989,7.713899,12.306533,8.311226,7.338971,5.773557,6.91273,6.326066,4.31055,6.371874,7.778755,6.715346,6.378873,10.365703,9.680201,4.278284,8.236695,9.255066,6.957309,10.370282,5.728339,8.400485,6.619094,6.256016,5.923717,2.987237,6.148481,6.94518,3.21107,6.52059,6.870216,8.096949,5.270576,5.99088,7.295974,5.243503,6.349441,7.788308,7.648524,8.967006,6.291234,7.630803,6.829246,5.207356,0
10.052257,10.165512,9.96992,10.564628,7.955162,11.535139,11.841784,9.642924,10.091935,6.340459,9.522837,10.892182,9.629233,9.141739,12.242769,8.923973,9.10483,7.866565,5.128075,11.822569,11.623974,7.504036,11.542324,12.6138,4.79439,7.76266,4.848613,5.250506,8.712181,7.847723,8.852755,8.71403,7.088433,6.740579,7.381271,3.01451,5.446705,6.833826,7.596989,8.645921,2.900912,7.387402,9.19936,4.092057,6.090282,9.142607,8.425876,9.633736,8.219062,3.420173,6.664104,4.948223,4.671098,6.840738,5.110134,6.131742,8.671463,5.47841,3.102487,5.889802,7.654257,3.170514,5.975879,5.437116,8.026083,6.965258,3.268745,4.256392,6.587959,4.427248,8.981234,9.721826,9.229322,8.963036,6.705739,8.215757,9.08433,7.623443,7.624604,7.611148,6.813422,8.170605,8.852494,7.349582,7.470402,8.484176,6.938358,5.409661,6.261688,9.274562,3.794585,10.090331,8.624707,11.642043,11.683222,9.179212,5.602514,9.965064,6.444885,9.107672,12.031581,6.527755,11.785066,8.61883,8.581461,7.099701,8.27368,11.942344,8.870491,8.926418,8.570247,11.69877,10.709681,5.878864,9.675706,10.322531,7.459675,11.437077,9.024884,7.858256,6.622849,7.07208,7.11492,4.623324,7.839351,7.547186,6.742909,6.111266,11.826348,10.34269,4.600596,8.868916,8.433338,6.947108,10.329977,5.636017,8.813546,6.557065,6.56607,5.23529,2.935006,6.544102,6.592175,3.202135,6.666904,7.193206,8.910132,5.226843,6.331847,6.866737,4.882919,6.940564,7.947195,7.930284,8.778521,7.261765,7.797666,7.009143,6.362078,0
10.205189,9.12174,10.478271,10.05258,7.696635,10.474003,11.240986,9.646114,10.294853,6.506724,10.001108,10.210226,9.103453,9.34333,12.043191,9.80493,9.797061,9.542852,5.449383,10.837597,11.653849,7.305622,11.624206,12.015143,5.26504,7.589961,5.130699,5.500464,7.655339,7.282625,9.283519,9.266761,6.812665,6.848133,7.449978,3.273765,5.835982,6.674139,7.112851,7.536807,2.976366,8.07834,9.370266,4.086536,6.238625,9.802644,7.717169,8.863707,8.33894,3.415706,6.291291,4.485972,5.040002,7.886635,5.006573,6.18692,9.823717,5.93853,3.273104,6.119167,7.703436,3.21108,6.205168,7.492946,7.607725,7.164436,3.178822,4.44996,7.660209,4.420468,8.801505,7.790041,7.502215,7.244573,6.434655,8.226757,9.274507,9.170549,7.238542,7.751313,6.663786,7.535658,8.456922,6.615327,7.58631,8.743686,7.367344,5.457533,5.84972,8.393281,3.806682,9.623,8.747609,11.974494,11.763501,7.897339,6.829697,9.851784,6.37167,8.545476,12.094188,6.237482,11.98345,8.208924,8.2869,7.620694,8.587971,12.033871,8.128532,8.233415,8.120313,11.831445,10.149676,6.379128,9.627905,9.118367,7.912025,11.745977,9.335215,7.666945,7.433943,6.902592,6.88318,4.810603,6.976209,7.54643,6.928165,6.409663,11.971736,9.789368,4.410393,8.700407,9.130013,6.489317,10.154451,5.621594,9.565416,6.738581,6.20742,5.767428,3.014205,6.392674,6.651508,3.23988,6.583132,7.218656,8.750471,4.187655,7.024372,6.840518,4.766442,6.620067,6.822752,8.583221,9.856758,6.798646,7.541271,5.951545,6.185108,0
10.29075,11.506511,10.409085,11.055059,8.100991,10.86216,11.339546,9.673856,9.633984,8.963813,11.015052,12.01957,9.237635,9.255904,12.424633,9.163047,9.093192,8.509327,5.574202,10.672722,11.265237,6.999084,12.462466,11.874297,4.991673,7.099613,5.584135,5.438259,8.628063,7.923593,9.110973,8.970743,7.424473,7.529055,7.877187,3.267684,5.381127,6.604047,7.441341,9.626089,3.113883,7.80815,8.762751,4.028973,6.705818,9.257602,7.653747,8.916475,9.155785,3.607072,5.839304,4.277151,4.477267,7.031554,4.997201,5.950292,9.453159,6.974963,2.956949,6.251882,7.610221,2.98782,6.474208,5.94493,8.624641,6.822669,3.624383,4.267835,7.341917,4.302849,8.411262,8.029795,7.864195,7.155131,6.120711,8.626011,9.270214,7.883253,7.293939,7.490387,7.043491,7.898659,9.267143,7.358288,7.048351,7.747043,7.1418,5.042095,5.347627,9.912204,3.775004,9.034353,9.055486,12.5594,11.354351,8.254669,7.20557,10.828943,5.754356,8.081462,12.279441,6.724085,11.437005,8.079707,8.715395,8.104205,8.282438,12.274821,7.677481,8.177824,8.353454,11.199235,9.794345,6.380651,9.287763,8.863761,7.572968,12.523361,9.208047,7.700724,5.837252,7.032941,6.604471,4.684907,7.908422,7.377006,6.677815,6.017189,11.339221,10.440183,4.083245,8.367227,9.070401,7.471775,10.279679,5.699369,8.43263,6.606215,6.562297,6.093785,2.792774,6.327811,6.847897,3.12398,6.554213,7.205373,8.754575,6.324222,6.752586,6.623996,4.304174,6.483816,7.472397,7.937442,9.822288,6.379406,7.804763,7.363439,5.760075,0
10.039823,8.941976,10.44235,10.211613,7.923296,11.213424,11.764937,9.446878,10.469033,8.708886,9.706208,10.744462,9.146121,9.491335,12.487848,10.044723,9.550059,8.846488,5.200439,11.303173,12.087537,7.499374,12.363473,12.011901,7.246394,8.503889,5.902097,6.444932,7.257244,8.288745,8.855185,8.752814,6.910432,7.819031,8.198956,3.35195,5.624898,6.443226,7.437711,7.943515,2.883094,8.200889,9.418773,4.081396,6.255628,9.681119,8.127206,8.90912,8.956583,3.625577,7.130958,4.566258,4.596684,7.224028,5.313409,6.01462,9.518023,7.064086,3.853482,5.738746,7.676263,3.032676,5.569395,5.261601,8.317731,7.763226,3.311853,4.389724,7.00879,4.151581,9.176062,8.681151,8.601102,8.222015,6.437303,8.532075,8.961556,8.874596,7.633507,8.1494,7.220031,7.667972,10.30322,8.610018,7.515778,8.601832,7.214144,5.189171,6.191707,10.566117,3.75525,10.265973,9.514099,12.407007,12.405148,8.635209,6.614435,10.417078,6.231113,8.822601,12.229201,6.202088,12.443422,8.469628,8.608522,7.934585,9.051178,12.257238,8.7435,8.480406,8.39168,12.330733,10.657771,7.303364,9.563867,9.674629,8.582754,12.39839,9.328145,7.255059,7.755983,8.324818,6.721792,5.487675,9.04207,7.474437,6.576397,6.370774,12.43919,9.8404,4.353628,8.935645,8.807689,6.108724,10.124768,5.577096,9.682757,6.625892,6.454709,5.761893,2.939384,7.524924,6.560987,3.407461,6.453908,6.970834,8.777126,6.021147,6.812239,6.186269,4.587998,6.625838,7.138075,8.344312,9.749583,6.510466,7.511117,6.976591,6.240564,0
10.130749,10.111962,10.268665,10.276394,7.746826,11.255988,11.411855,9.316257,9.668849,6.551037,10.000161,10.63109,9.479372,9.188716,12.501137,10.011543,9.163091,8.51548,5.442793,10.93812,11.251694,7.321708,12.001021,12.105862,5.380854,7.891245,4.61618,5.996045,9.430993,8.169385,8.964919,8.872188,6.797532,6.662039,7.214121,3.289675,5.758054,7.889765,7.133539,8.480509,2.928156,8.07774,8.482813,4.266784,6.243081,9.534941,7.422651,10.04257,9.571085,3.812442,7.843424,4.65568,4.535859,7.515332,5.089332,5.898225,8.913235,8.251535,3.00784,6.066344,7.844381,3.039278,6.535183,5.308249,8.674886,7.630661,3.580314,4.20024,7.251,4.466141,8.485315,7.627527,7.330102,7.249275,7.354483,7.81132,8.759554,9.136606,7.581177,8.332691,6.749363,7.880696,9.015473,7.872255,7.188936,7.93233,7.134361,5.531868,5.830428,9.201411,3.812568,8.638403,8.619486,12.285983,12.235103,8.711795,6.74821,10.145937,7.446882,8.930859,12.460754,4.653599,12.131726,8.60302,8.936865,8.023914,7.967803,12.325424,7.598747,8.811097,8.263521,12.305724,10.933825,6.935508,10.349443,9.344755,6.837291,12.06682,8.974977,7.393029,7.381039,6.907879,6.522291,4.999878,8.077775,7.511288,6.400646,6.154633,12.298106,10.158533,4.597108,8.251141,8.671477,5.42757,10.446235,5.65223,9.286604,6.633374,6.298002,5.133282,3.101981,6.111633,6.756087,3.3809,6.522103,6.671307,8.778756,5.30668,6.732028,6.873603,5.098481,6.594487,6.376659,8.244706,9.188202,6.304849,7.719676,6.952422,6.14405,0
9.797782,9.691431,10.435256,9.781877,7.428464,10.340605,11.280634,9.547365,9.426316,9.463276,10.280546,10.485743,9.668821,9.435411,12.580155,10.152318,9.43664,9.611232,5.449455,10.701657,11.146093,7.422105,12.403467,11.823476,6.63686,7.664638,4.980612,6.087476,7.588443,7.61071,9.124567,8.680936,6.539376,6.891229,7.525772,3.505904,5.648142,6.198023,6.538293,8.990075,3.140214,8.12215,9.055155,4.160269,5.864537,9.601878,7.508577,9.009646,8.827501,4.037431,6.951635,4.435872,4.370836,8.107952,5.250802,6.172813,9.912007,6.853181,3.01258,5.778014,7.463476,3.12991,6.00894,6.15668,7.79566,7.109204,3.604286,4.383357,6.210787,4.494501,8.111666,9.061127,8.438356,7.934635,5.359653,8.603358,8.509133,9.42786,7.627869,7.491288,7.349072,7.457487,9.663485,7.049711,7.073878,7.425309,7.851313,4.923724,5.588054,9.555923,3.782174,10.230373,9.268774,12.314957,12.081662,8.100536,6.491488,11.148907,5.773091,8.318825,12.238809,5.143084,12.200814,8.01812,8.845407,8.02884,8.446975,12.249816,7.878861,8.885378,7.974141,11.970219,10.575682,6.903471,9.74865,8.035765,8.161812,12.424253,9.585298,6.574461,6.057404,7.05072,6.641805,5.346975,8.029724,7.560811,6.82865,5.455852,12.163541,8.067556,4.54573,8.84206,9.110078,5.095115,10.051223,5.63677,9.279371,6.814517,6.759277,5.391553,3.066005,6.755285,6.587542,3.519002,6.472955,6.810927,8.516607,5.069206,6.285468,6.564676,4.789269,6.812968,6.754995,7.992672,10.445721,6.255722,7.841012,5.212571,6.010075,0
9.385028,9.410811,9.4346,8.802625,8.056936,11.309763,11.632115,8.798477,9.94207,7.795697,8.716565,10.231518,9.794341,8.38294,11.974259,8.611298,8.406189,9.444338,4.873563,11.924785,10.943893,7.127743,10.896293,12.188411,5.372172,7.123616,4.022688,5.136402,7.695594,9.670958,8.258025,8.209812,6.137819,5.820673,8.036087,3.214714,5.302479,6.88413,8.098671,9.434677,3.187961,7.299358,8.340034,4.173222,5.723604,6.921769,7.717431,10.502081,9.077495,3.82309,6.453678,4.514154,4.436828,6.505345,4.63179,6.266947,7.004288,5.716858,3.13002,5.61225,7.601106,3.324481,6.193475,5.687926,6.727032,9.642594,3.446979,4.288849,6.343827,4.428946,8.212125,8.060579,7.606367,7.283941,7.015537,8.410507,8.222607,8.931526,7.500093,7.699295,7.41105,8.165573,8.224813,6.576033,7.395659,7.780628,6.968118,4.964168,4.869182,6.743548,3.714424,7.471091,8.23521,10.959086,10.780063,8.088421,6.375729,10.079389,5.764928,9.356019,11.485754,5.014198,10.775273,8.818983,8.382882,7.064494,7.189148,11.48337,6.518457,8.806757,8.132558,10.775759,10.972004,5.497315,10.911373,8.997202,7.354815,10.966664,8.332018,7.631455,5.744681,6.118643,7.127552,4.57707,7.326159,7.873286,7.085893,5.286861,10.783357,7.842123,4.558832,7.335113,10.078451,7.311717,10.913868,5.508695,8.279689,6.932576,6.968368,5.2936,3.093876,5.777043,6.565139,3.329202,6.780811,6.857855,7.537119,4.339494,7.441726,7.062631,5.101586,6.788293,8.027119,6.114669,7.401382,6.315372,8.72283,8.331082,7.243494,0
