"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
492,481.4,572.2,2287.9,42.8,2801.4,120.5,7276.8,771.2,652.2,4302.5,904.9,2593.6,3671.5,779.4,3960,1790,7676.8,262.5,1722.3,468,11883.8,1745.1,21.7,647.5,515.7,5214,1178.5,92.9,4977.6,2974.4,660.2,1602.9,135.9,32.3,56.6,52.3,6176.1,3984.3,182.1,364.5,28.9,6.1,10.1,304.1,560.8,1324.4,343.4,2461.1,447.9,13,58.2,10.2,26.2,207.7,236.2,374.2,12.9,205.8,13,451.5,214.3,8.9,5181.9,468.2,50,154.5,328.3,7.6,76.1,226.5,1159.9,457.5,124.3,2.1,259.4,6.2,102.8,161.4,91.7,65.7,2219,251.6,1480.5,174.6,25.9,39.5,48.8,112.2,4942,2423.6,1172.1,380.2,796.3,130.6,161.9,8125.7,0.8,4084.9,1007.9,4958.8,247,1388.8,307.2,2528.2,325.5,111.4,10946.8,1886.5,251.5,69.5,194.2,851.3,8.1,11452.8,1196.3,451.5,314,200.1,4627.3,230.4,123.5,587,1327.2,4809.5,8.2,418.2,69.4,182.3,36.9,58.3,3309.1,151.8,1.9,235.7,277.4,2203.6,0.8,117.8,3404.5,29.7,4007.9,765.9,155.5,19.2,38.1,125.2,7.6,1321.7,295,8.2,70.6,751.3,1028,21.2,99.8,49,16.5,78.2,362.2,54,5208,77.7,164,1845.2,1450.1,0.6,149.4,222,2959.5,133.5,129,130.1,173.3,2067.1,483.4,449.1,377.6,99.5,330.1,52.4,691.6,613.4,52.6,399.8,364.8,211.4,97.3,211.9,560.3,65.8,231.9,31.4,57.1,203.5,155.4,81.3,588.5,242.7,113.1,205.8,300.9,21.2,617.6,331.6,2150.3,26.2,0
124.5,228,3305.6,1682.8,51.9,768.1,66.6,3117.1,4001.9,3720.5,4295.4,565,2352.1,3891.9,1613.2,1053.1,3203.6,3295.2,2034.6,2629.2,1728.1,9933,1482.2,984.8,5507,181.2,545,5385.8,212.2,6400.8,5776.1,2363.1,1249.6,1285.7,294.5,88.5,763.1,3548.2,1230.5,347.6,553.5,637.6,14.2,12.7,241.2,212.2,2435.8,114.1,569.9,927.5,62.8,145,2662.9,32.3,144.6,939.7,164,3.6,126.7,31.9,1848.8,214.6,33,6660.8,1007.6,91.8,61.7,145.7,12.4,44.2,3,923.9,1960.3,103.9,8.1,42.4,2.4,126.6,1307.2,1087.2,344.3,463,1609.4,623.7,3190,425,1072.6,420.6,137.4,4564.1,1436,1616.4,783.6,445.7,64.6,311.8,9553.4,12.3,9365.3,3387.8,6323.8,4938,2810.5,1543.5,5639.6,109.4,428.3,8488,848.3,6043.1,283.7,852.6,1238.8,214.9,8294,2854.9,569.5,617.2,5001.3,3564.1,293.5,113.1,766.2,459.3,6397.3,1504.9,209.8,497.6,173.7,49.5,183.9,1966.8,111.2,2.9,81.1,4754.6,1454.9,1.8,1479.2,1584.6,623.9,1784.1,222.1,1319.5,42.1,160.2,72.9,35.1,995.5,86.3,9.9,26.7,1035.1,1963.8,146.2,125.3,52.6,23.7,78.7,187,1275.2,6067.6,169.3,460.4,578.4,1170.9,382.3,153.4,251.3,1537.1,26.7,219.9,160.9,56.2,2141.7,3668,1446.8,858.1,311.9,166.8,277.5,771.7,1023.6,105.1,373.8,137.5,1479.2,99.3,489.6,138.9,91.5,88,76,61.4,269.9,41.4,32.2,676.7,108.6,122.6,60.8,338.7,45.5,384.8,274.1,4370.2,128.2,0
344.3,363.6,876,2188.6,28.5,1911.8,67,4219.1,3271,1888.3,4818.4,607.3,2503.1,3430.6,539.4,968.1,2830.3,5874,1088.2,855.7,408.1,8830.6,1836.3,76.5,752.7,333.2,3453,3235.2,106.4,4565.6,1106.2,1555.9,1799.4,162.8,120.4,47.2,229.7,4178.7,2316.6,169.2,386.7,102.4,11.9,15.8,337.8,1162.6,812.6,177.8,1657.5,1011.3,6.5,93.7,70.9,19.8,251.2,389,114.5,14,118.1,41.5,361.9,177.8,37.4,2955.9,222,79.9,83.9,204.5,5.3,48.8,560.4,1931.3,235.3,78.6,49.1,447.5,7.9,141.6,341.6,184.4,108.3,945.6,258.2,693.8,812,52.3,110.7,85.2,108.7,6962.8,3254.8,433.3,829.9,1109.8,142.9,190.1,6925.8,6.4,9215,2286,4496.9,1434.4,502.8,600.9,2990.8,165.7,226.9,7803.4,2159.2,1709.8,132.8,363.5,1014.8,150.9,8291.4,4904.3,115.5,270.8,1030.3,3976.2,165.1,186.6,570.8,1274.4,4413.7,59.3,861.7,47.8,61.8,67.7,153.9,5514.5,113.7,1.5,117.4,1614.9,2493.1,1.7,240.1,3062.2,86,2260.5,237.2,136,74.1,57.5,149,19.2,951.3,200.2,11.7,57.3,905.1,1162.7,104,82.9,34.7,31.9,79.9,67.7,167.3,2887.4,137.6,433.6,1177.8,917.9,0.8,191.8,161,2661.7,101.1,132.3,124.2,59.1,1384,726.6,185,574.6,487.7,233.3,70.9,570.6,826.7,31.6,296.8,270.9,466.9,148.1,273,738.7,115,114.3,51.3,74.3,153.3,1387.2,1627.8,539.3,108.1,60.9,81.9,310.8,28.3,156.8,266.4,657.6,80.9,0
267.3,366.1,961,3518.6,25.2,2200,88.1,3492,364.4,2996.9,3374.9,260.1,2182.1,3314.3,1895.5,1278.1,1251.6,3636.5,452.5,357.6,1541.2,8711.8,3024.3,142.2,2372.6,262.4,235.8,6280.2,193.1,3740.2,2360.4,3558.1,3082.6,224.4,234,71.9,73.6,1622.1,909.8,241.9,417.8,1124.4,9.5,14.6,379.4,462.2,1175.2,165.2,922,857.5,523.1,80,840.7,13.4,261.2,923.1,264.1,23.1,131.1,23.6,89.1,145.7,115.2,1635.1,1018,11.3,49.4,203.9,5.8,70.3,191.5,1312.8,514.2,164.7,172.7,72.7,2.4,92,4770.3,2748.4,2308.9,146.4,436.5,1040.6,1502.7,262.7,705.3,141.3,180.2,518.7,190.1,104,104.6,213.1,44.5,111.2,2569.5,5.2,1130.3,1725.5,3711,6452.5,688.8,469.7,2884.1,30.2,129.3,8088.8,1114.4,6739.7,73.6,645.9,1360.4,303,8470.1,286.1,177.8,304.2,5413.7,1916.5,392.6,147.6,950.1,310,3622,150.5,539.6,111.4,671.1,43.4,0.9,138.9,85,0.8,125.1,6594,1736.6,4.6,1089.2,3164.8,1297.9,2681.5,325.5,282.5,15.5,48,254.7,32.4,1152.3,280.5,0.5,31.7,1047.1,523.5,50.1,221.6,77.7,30.8,73.6,65.4,973.2,1583.6,172.1,500.4,1208.3,1667.5,594,238,77.2,1102.6,69.7,125.2,196.3,114,1295.7,849.7,555.5,997.3,66.3,395.3,273.8,865.1,522.8,124.8,480.6,188,175.5,126.2,542.6,99.2,77.6,69,73.3,161.8,248.1,8.6,9.8,1216,134.4,11.2,206.7,448.3,11,479.9,305.6,307.5,295.7,0
229.9,516.2,1558.2,433.3,21,2182.1,92.9,4449.8,651.1,3056.8,3234.1,204.2,1696.1,2881.5,1756.3,2061.6,1217.2,4155.3,515.6,252.2,939.7,9470.7,1677.1,93.1,2963.8,326.1,236.6,4169.2,2105.4,3886,3257.2,270.4,246.6,426,205.7,102.4,38,512.8,251.1,119.2,708.7,284.1,8.4,29.4,278.9,421.6,217.7,201.9,808.3,406.7,0.3,44,354.8,19.8,154,130.8,102.8,13.2,86.5,24.8,64.8,125,9.1,625,425.9,10.5,106.3,327.6,6.2,51.2,28.2,986.7,196.6,105,0.9,132.5,1.4,103.7,1448.6,718.5,470,260.7,778.7,1228.5,2432.2,303.7,1305.5,214.2,141.8,3911.5,1272.8,171.3,139.4,178.5,64.3,114.4,2433.9,2.9,1137.6,1322.3,3845.7,4922.1,2011.1,1430,1077.7,23.1,104.1,9127.8,1195.4,5055.7,73.5,910.8,541.9,253.6,9184.7,213.3,579,306.5,3936.4,1912.1,254.1,138.8,998.9,108.4,3575.7,93.2,373.5,227.2,536.7,22.8,133.1,1649.8,131.8,2.2,179.2,5203.1,1605.8,1.2,226.9,2919.6,70,3025.5,353.7,611.2,46,37.4,105.5,30.6,724,327.9,8.1,45.9,754.8,837.6,74.3,60.7,79.8,28.9,63.4,69,253.1,641.1,101.2,446.1,1556.8,1128.3,270.9,176.9,15.6,1591.9,50.5,97.5,159.1,50.4,1471.4,1378.7,694.8,861.2,219,361.3,373,1357.2,405.9,90.8,185.8,165.5,178.9,373.4,265.8,102.7,227.9,43.9,134,101.8,345.3,13.1,2.7,824.9,324.9,30.4,627.7,542.4,13.9,267.8,314.8,255.5,243.2,0
244.3,313,512.8,891.6,45.9,3782.6,65.9,7834.2,1085.6,1140.5,3447.5,365.5,2361.9,3483.3,1426.3,1509.5,2151.7,2559,916.9,270.1,485.3,8096.2,1131.3,104,850.2,481.7,610.2,1958,277,3636.8,1368.9,832.1,679.4,165.2,457.8,41,73.2,519.3,243.6,203.1,298.3,216.2,3.8,27.5,768.9,1101.9,712.3,121.2,1594.8,900.9,11.9,70,96.3,29.6,451.2,292.1,37.6,107.7,223.7,14,23.5,103.6,195.6,134.8,204.6,26.5,176.9,163.2,1,39.7,23.9,756.8,101.5,58.2,15.6,485.4,1.3,169.5,504.4,427.1,214.2,621.1,273.1,356.2,728,534,1445.1,129,227.8,3389.6,1645.6,133.8,46.6,127.9,67.5,100.9,2312.3,5.5,557.3,1488,3678.3,935.7,862.5,562.8,1229.3,175.7,105.4,6500.4,1293.9,883.2,71.6,382.3,462.2,140.1,6667.6,168.5,230.7,540.5,769.5,1179.7,98.4,317.7,849.2,122.7,3451.9,122.9,397.9,435.3,248.6,31.6,32.9,1450.4,329.6,2.4,191.3,911.6,1806.5,7,201.7,2908.1,89.3,3593.4,510.1,806.4,13.9,71.9,107.2,31.1,1215.9,122.8,0.6,43.2,948,342.7,146.6,46.4,76.7,75.4,77,27.9,71.4,129.9,246.6,793.6,2649.8,1585.7,20.2,216.3,193.4,2538.5,577.5,181.9,78.4,102.2,948.5,471.1,412.2,724.1,359.8,661,323.8,1939.2,1534.1,129.7,720,234.5,515.8,91.6,169.6,107.1,150.8,154.6,201.7,111.5,200.8,16.9,1.2,982.6,198.7,46.5,129.6,245.7,28.4,131.6,233,712.8,124.1,0
335.8,419.6,282.3,726.5,87.2,2258.8,107.3,4289.3,1574.7,803.1,4494.6,530.1,1643.3,2736.8,1009.1,1804.4,6442.5,3747.7,314.7,1179.8,227.7,8557.4,2590.8,21.9,601.6,366.9,2203.4,1491.4,110.3,4257,609.6,574.6,458.3,342,22.9,64.5,181.1,69.5,36.4,282,154.4,170.2,7,12,312.1,348.8,445.4,182.5,1612,688.9,1.3,131.7,27.5,24.6,183.8,641.1,175.3,67.4,429,7.5,180.3,214.1,52.9,4290.8,147.1,61.7,118.5,208.2,7.2,62.1,8,927.1,188.7,107.6,1.2,170,0.7,104.5,959.5,770,378.3,310.6,159.9,681.3,18.5,29.5,33.8,12.4,167.8,357,133.2,139.2,564,759.5,286.7,177.6,7004.2,0.7,7335,1821,4329.4,348.7,364.9,65.1,2544.3,191.4,87.6,7374.2,1082.7,292.8,65.3,515.9,912.5,31.3,7516.9,2824.1,127.5,446.6,230.6,2733.4,171.6,118.7,523.8,925.6,4071.3,23.2,174.2,176.8,34.6,21.4,11.5,147.6,134.8,2,120.4,279.9,2349,1.4,163.2,2442.3,48.2,2739.5,662.1,320.3,29.2,58.2,72.4,14.1,850.8,213.1,3.3,29.7,1503.2,643.4,103,128,47.6,136,93.4,49.9,48.2,3889.8,132.8,892,1452.6,1683.3,0.3,168.6,145.2,1361.1,93.3,132.4,224,86.5,2177.2,336,112.7,696,214.6,274.3,140.2,1910,1262,52.3,603.3,167.5,699.3,99.7,453,376.6,124,104.3,83.8,144.7,172.1,752.4,1003.6,726.8,110.9,140.8,90.8,371.3,10.8,721.9,298.6,320.9,37.4,1
123.7,645,1002.1,1477.7,70.2,1361.3,96.8,3275.5,4791.9,980.9,4443.7,412.2,1501,2534.7,1360.9,616.8,1090.4,4669.7,1703.2,2231.7,188.9,9926.3,2686.3,64,639.9,238.2,3810.2,1523,119.8,2242.3,1655.9,733.8,1219.9,125,52.8,150.6,55.6,225.9,93.8,210.6,292.5,68.8,6.3,8.1,826.1,235.6,1638.6,93.5,1504.3,508.5,3.6,57.3,34.6,33.6,162.1,896.7,144,8.8,193.3,0.6,592.9,87.4,69.9,3379.4,410.4,72.6,97.9,298.3,9,75.8,4.7,1393.1,482.7,71.8,1.2,286.4,1.1,117.1,932.3,531.3,348.2,450.1,339.1,886.6,241.3,46.4,84.3,22.7,194.6,369.9,91.1,319.2,1233.5,615,277.5,164.3,2068.5,7.7,7315.1,1312.2,2231.2,3141.8,1802,59.9,2642,158.7,245.2,8009.1,1760.7,3262,215.8,425.4,1136,47.4,8771.7,2146.3,532.8,177.1,2378.6,3042.3,160.5,118.4,322.8,422.7,1878.8,48.9,319.9,169.9,51,41.3,10.1,140.7,163.3,1.2,285.7,3398.3,1993.3,1.6,91.4,2589.5,66.5,1865.2,407.5,435.9,55.3,77.9,253.2,22.1,1239.1,198.4,14.9,52.5,1033.8,1365.7,199.8,74.8,40.8,135.2,67.8,21.7,72.9,3388.6,181,466.9,823.7,863.8,0.6,243.4,179.5,1259.3,154.3,211.7,175.2,122.1,1149.5,817,166,724.2,304,121,44.3,2811.8,984.6,62.3,492.7,116.6,849.9,173.4,435.8,985.5,166.2,120.8,61.8,52,114.7,250.2,309.1,378.3,237.6,83.2,244.4,407.2,16.4,615.2,316.2,369.7,86,1
188.5,388.6,2038.2,1416.8,47.3,1482.7,61.4,4512,5732.2,2081.7,4413.8,644.8,3551.7,4923.7,666.3,1546.8,2767.2,4257.9,318.6,2199.7,833.1,11283,1836.5,178.9,3550.3,289.4,414.4,4448.7,111.2,4692.1,3311.6,764.1,962.7,390.2,141.8,80,136.6,1368.8,634.4,216.9,519.8,432.2,16.5,16,324.4,290.1,1802.5,138.3,853.4,528.1,1.3,64.3,107.3,13.4,115.3,340.7,173.6,47.7,180.3,2.5,538.6,143.9,1.9,5040.8,542.9,37.1,123.2,237.4,0.9,58.3,12.5,1559.5,1192.5,109.1,58.5,214.8,0.7,82.6,1035.2,556.6,397.8,659.6,988.2,678.5,903.6,185.1,593,106.4,104.6,1284.5,441.3,1149.3,771.2,888.6,262,188.7,9195.5,0.9,7062.4,2068.9,4660.9,1650.6,2249.5,1701.1,4684.6,46.3,81.9,9682.1,1975.1,1708.7,44.5,603.7,727.6,55,10455.1,2257.2,546.2,366.2,1098.1,3769.2,187.2,126.6,1289.6,262.2,4466.2,222,227.9,138.3,323.8,22.9,41.6,506.5,155.1,1.7,129.8,1723.1,2346.5,1.2,314,2646.5,158.5,2880.7,436.8,398.1,65.1,60.8,86.1,36.6,921.3,221.7,4.5,52.9,429,1151.9,37.6,111.2,59,22.1,54.9,56.9,226,4772.7,131.3,889.3,901.3,1261.7,1.3,216.3,172.2,1431.9,38.9,157.3,78.2,58.3,2401.3,1946.5,1212.8,656.1,255.9,282.6,242.7,1178.9,916.4,82.5,218.5,276,1109.1,215,405.1,173.8,179.3,117.5,91.8,47.6,206,46.3,25.7,1190.4,126,105,158,316.4,2.1,306,286.9,1507.7,77,1
262.1,395.4,1903.1,834.5,3.2,1951.3,80.6,5076,2650.8,764.5,6983.7,746.8,5592.8,6010.4,442,2010.1,4282.5,2443.5,4137.4,3355.6,194.1,11147.8,914.5,44.8,2699.3,419.7,6069,5557.7,327.5,5067.9,2755.5,467.7,565.4,646.1,59,91.6,90.5,236.7,109.2,278.5,242.6,300.9,1.7,19.7,247.8,353.3,3357.7,283.4,1120.9,543.4,7.1,106.5,86.8,40.2,1968.7,87.5,79.5,17.5,117.1,13.4,1037.9,236.1,1.3,1984.6,466.8,56.5,96.3,218.2,5.2,170.8,1.5,1214.7,1160.1,103.1,2.6,99.5,0.9,1122.5,1025.5,539,296.2,460,902,498.6,194.7,45,39.4,190.2,166.9,2286,783,2078.8,371.5,1521.4,169.5,75.8,4813.9,2,8095.5,817,5432,614.1,951.4,356.7,8444,119.8,414.9,9955,883.2,668.6,291.3,285.2,771.2,22.9,10040.4,4165.1,333.3,333.3,628.1,3259.3,190.5,775.9,1307.1,1785.6,4901.5,71.6,301.2,213.6,40.3,71.9,54,1360,124.8,4.5,200.7,618.3,3236.8,9.6,310.5,3207.3,236.7,3453.4,434.7,375.9,64.4,38.8,23.1,17.2,585.9,311.2,9.9,52.9,2014.8,1002.6,130.8,272.2,70.8,41.7,78.8,62,52.2,1967.5,93.4,623.4,1394.4,1685.4,1.8,166.7,410.1,1909.1,73.7,227.2,70,181.6,2771.7,1973.2,318.3,624.1,123.9,370.9,59.8,543.5,639.1,58.4,330,141.3,761.4,90,793,207.6,71.2,173.4,65.4,91.2,242.1,99,61.1,1551.8,221.1,31.5,110.3,222.9,22.5,282.8,228.2,2344.4,29.1,1
