"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.279857477,8.693331312,11.42278488,7.976488301,3.086515995,11.36262642,5.681416956,13.08054972,10.03525166,10.8242215,13.85105106,8.204445461,14.9627912,14.61616276,7.584654688,10.91511235,10.53850925,10.90598385,13.9860903,11.07670465,5.433472604,14.60394144,9.583644151,5.527620288,7.993432572,8.041408646,13.77668457,14.1528792,6.575032401,12.96145185,10.88916381,7.500842981,7.367716985,5.659627026,6.630773648,7.599447876,6.983305592,9.293149345,8.641222669,7.584362091,8.972205002,9.680093404,3.159743436,2.18017619,9.622850857,10.13928316,11.32903072,7.071019266,10.19398062,6.723811364,2.496581899,6.310808828,3.235497714,7.591158466,12.97323814,6.679499155,2.58308935,2.181055683,8.418411133,3.814854569,8.457322208,10.17234633,3.994242796,6.250839129,6.624500283,3.921420212,6.580381294,7.647927925,2.57850595,5.693939191,1.882282163,10.45703993,10.28049078,8.152855381,2.227082509,5.805934486,2.626166702,13.18693799,11.0681939,9.688777761,9.741580011,11.69117181,10.01499262,9.882601174,6.648135921,4.995273221,7.359427135,8.838856936,8.384031322,7.90336886,5.740779013,9.614164848,6.012829199,9.343212326,6.892615432,8.457114809,8.343516852,2.452420924,6.792186758,11.90477112,13.00055665,10.47760815,7.833335946,6.797639429,14.3452855,2.473135261,9.404509373,13.98725132,9.018246708,10.40788191,9.873139342,10.01267175,11.30107267,2.079577793,14.00295836,4.938625545,6.327237558,8.854774887,9.90608965,13.3831831,9.33859261,12.41120346,12.12876717,12.59368352,12.90328889,5.961759949,9.686661274,3.670003333,8.175013765,8.705238508,2.401850661,6.554212697,7.545722748,1.662327657,9.105385222,10.41797843,13.06201633,2.076847032,9.843044769,12.62707649,6.06992576,11.55618087,8.303499245,4.243989847,3.289662043,7.715416869,3.560205193,3.661203419,11.04108039,7.901547445,3.581076244,5.018888099,6.866964386,11.05509662,8.798976487,8.789604612,3.261204171,7.858554342,7.087994995,6.616924528,7.209611999,5.930836753,8.32553764,8.363398719,10.09811462,11.92084023,2.373705639,7.443005081,7.881412057,10.80445275,5.731768637,9.670848197,6.29459356,7.943263181,11.62507299,11.66556615,6.105612893,9.263068475,8.799489327,10.35655875,4.201059108,9.351759494,10.01638154,8.378860581,8.971410044,6.785537822,9.641128791,7.608561505,7.783440027,7.23028982,7.807872484,8.709702084,6.218390906,9.527253925,9.548499691,2.214601252,2.418424274,12.976355,7.449190748,2.774250933,10.09965,9.485906313,2.317205708,8.476637772,8.087738326,8.809684174,6.452298083,0
7.648066469,8.315119542,11.83115758,8.415476247,2.523066495,11.7674946,5.854277379,12.88858192,9.673717204,10.1289552,13.88839017,8.657060583,15.07191118,14.63372596,7.853475135,11.64200097,11.50861171,10.93792207,13.25385531,10.75865803,6.140037615,14.24894281,10.45895277,5.558858956,5.579221352,8.295111427,14.13552926,14.92434779,6.006295172,13.42723792,11.93198822,8.011291485,7.633074624,5.489459133,7.476233686,7.284425562,8.123906704,10.47301923,9.770060096,7.367500771,9.026967428,9.499010244,3.24765213,2.228142876,9.647992384,10.3616847,11.1676073,7.167597073,10.432277,6.019599176,2.589381817,7.084065577,3.125650785,8.490340434,13.16023344,7.598766067,2.729734534,2.225860855,8.286618454,3.019749843,8.056372634,10.57925914,4.299872068,6.24238321,5.329721732,3.448945496,5.692110036,7.215116663,2.718539671,5.599981373,1.909242083,10.50580036,10.70870635,7.417698936,2.265592663,5.839900547,2.631947475,13.76111624,11.09913725,9.525389869,9.546854417,12.18762457,10.19459614,10.14864706,3.00635388,4.7623538,7.48561663,9.454041024,8.891308967,6.883707691,5.242717267,9.990351268,6.664519785,9.45550559,6.818649879,7.78607374,3.768748426,2.492424395,6.844909739,11.99084175,13.50056556,10.5505527,8.750879642,6.792704542,14.69697482,2.505082454,8.808455479,13.697884,9.523149376,10.42557241,9.300468542,9.74776875,11.29395208,2.099137354,13.59764985,6.078036241,7.074010517,8.817350404,10.05741279,13.63112758,9.78771163,12.56254791,11.99301721,12.93381308,13.49161627,5.327243582,9.381054295,4.825147754,7.672542497,8.355280277,2.465629979,5.501403999,6.979159547,1.671761783,9.033946053,10.53097083,13.12611555,2.112382751,10.83155743,12.62459772,8.490201274,11.73602458,8.703810223,5.397071173,3.64709749,7.716406008,2.790815541,2.474650223,11.2866199,8.210421156,3.664051589,4.953498957,6.791739359,11.82226454,8.943644883,8.419641672,4.461371972,6.717101739,7.861399884,6.663551672,7.718559495,5.604042276,8.06538878,7.697189647,10.37801603,11.82594636,2.374002569,7.630118357,8.198065555,10.94013549,6.551623911,9.590874748,5.456021325,7.558272224,11.63309817,12.03585005,5.72531618,9.182717836,9.179009038,10.28351686,4.512197088,9.330315027,9.879837966,8.161166963,8.564260913,6.038293698,9.719727072,6.57079127,7.826529005,7.783605461,7.707267054,9.239440159,6.159553752,9.735453473,9.419595081,2.235168448,2.482410457,12.69588981,7.619696142,2.791352441,9.433480855,9.287992128,2.530405711,8.756316036,8.47691064,8.774464579,7.786049128,0
7.863371431,8.394936744,11.54416085,8.720916883,3.157198358,11.22471735,5.695915748,13.14741841,10.96558116,12.98999657,13.67413387,8.567270154,15.05645696,14.73297382,8.254992576,11.61536257,11.61725387,11.08034113,14.5876422,11.39148058,7.820236771,14.7270859,8.761677002,7.394705598,10.34969626,8.457766129,13.68137041,15.01510763,6.575702962,13.88529624,12.71219548,8.437130439,8.350905471,6.959802348,6.472102434,6.108720893,8.236047211,11.12257091,10.65348845,7.262906715,9.364895542,10.99333725,3.134775429,2.157777463,9.381909951,10.21923613,10.95618989,6.63826582,10.1529238,5.803797231,2.9882839,6.853928994,6.240096525,7.820920119,13.66798067,6.93360052,3.477270115,2.174812,8.204548544,2.914937787,9.037215063,10.15903961,4.355015666,8.258023841,6.754763833,3.584662715,6.061426026,7.340998629,2.573305993,5.737523503,1.869988904,10.0644064,10.10968122,9.476761255,2.206433733,6.315989635,2.574771558,13.0229512,11.22551691,9.831745276,9.810932662,11.91405163,9.961383582,10.52636708,9.260483251,5.240829687,8.353594166,8.885146559,8.809268345,7.325275828,5.235044515,8.57979436,6.63592717,9.477785325,6.760388298,7.842973847,10.20533031,2.435406836,9.496014923,12.50560602,13.98585884,11.51906165,8.717790855,6.658383975,14.50302892,2.457191467,9.768749146,14.08731485,9.541751498,11.36983583,10.08474078,9.852643836,10.76303645,3.090840624,14.14459458,8.665826937,7.433114074,9.215544847,10.78636759,13.54655775,9.631962504,12.85588727,12.00358276,12.19763091,13.84491451,7.825207132,9.684645536,6.50611898,8.048604956,8.946296782,2.386483116,6.428095894,7.128683185,1.6500874,9.255023178,11.42549799,12.90485948,2.055118538,10.53781698,12.64696666,8.374777584,11.73451291,8.332473231,8.333060628,3.604659377,7.472576136,2.921662056,2.839818697,11.4596101,8.193638327,3.559773406,5.093213574,6.797558307,11.18014571,9.135041133,8.53686309,3.981928862,8.319706996,8.6041146,6.628498914,9.49611893,8.001256737,8.133657665,7.967873944,9.795775636,11.93485812,8.049691673,7.670940179,8.191206236,10.84212628,5.752040331,10.36697388,5.789013725,7.573004326,11.5717271,11.84727631,6.956511105,9.4594235,8.538580067,10.32979945,5.342776324,9.246949373,10.24132412,8.263389347,8.90637645,6.506992173,9.337814047,6.867049147,7.420900006,7.151371983,7.562674533,8.834262696,5.842789564,9.520483759,9.353259414,2.205698085,2.413496947,12.67385213,7.633203898,3.389201789,9.512993066,9.473050755,2.322609589,8.511798805,8.253122047,9.296812561,6.696031292,0
7.691448925,8.554418967,11.51214476,8.352133657,3.156085956,11.55384514,5.929312859,13.12764947,9.89875454,10.18544705,13.83109177,8.32356102,15.19135322,14.75935847,8.595049275,12.29182936,12.34730709,11.02689555,13.67900737,11.26687007,7.280856661,14.10694721,9.79053691,5.780732949,8.569591173,8.41709687,14.09946167,14.48580007,6.418474563,13.47081464,11.48605357,7.932349249,7.957805817,4.852891039,7.182969428,6.787634074,8.539906074,11.46425541,10.87195185,7.673857951,9.060121457,8.98004057,3.133095483,2.158435485,9.627798687,10.22303102,11.56189375,7.370305349,10.43823925,6.247572869,2.510294817,6.880732628,3.227888947,8.436276778,12.62796624,8.092131407,2.635357043,2.178024135,8.055943159,2.806687901,8.817009006,10.50331847,4.006810205,8.755973325,7.585234546,3.738320945,6.075684494,7.565137033,2.568502889,5.57952755,1.873244921,10.48196018,10.22335157,6.888063571,2.207613603,6.474739156,2.577564252,13.36669674,11.42833155,10.24352654,10.01460618,11.78197866,10.20055417,10.12389624,6.4120985,5.314521704,7.909583344,9.234051907,8.441838121,8.532328116,6.734435964,9.731276455,7.417220744,9.719198449,6.927783294,7.697916959,8.343031073,2.427275467,5.68502609,11.76974251,13.58875731,12.43940959,9.379005419,8.005801249,14.71692728,2.466002816,10.01378541,13.52428149,9.335585137,12.36251742,10.20654217,10.18601433,10.55252933,2.086936595,13.48468805,4.887142256,8.126516798,9.54062315,11.89223639,13.8405482,9.586755353,12.13366991,12.30793665,12.84662895,13.50657618,5.35264053,9.540531865,4.349537252,8.301930289,9.321295037,2.385333195,7.765722838,7.280209551,1.656398277,8.911533656,12.36293339,12.87413136,2.057181771,10.64558244,12.89373102,9.616483391,11.58267664,9.008241711,5.237048385,3.500345544,7.506653877,3.484869617,3.521833525,10.8648184,8.300956675,3.537857231,5.125029766,6.724489255,11.25733155,9.183963973,8.350206859,3.348877311,7.676819805,8.044156862,7.730487416,7.461346162,8.33844003,7.628547957,8.029914739,10.18393223,11.72049737,2.349467294,7.757656171,7.878668226,10.63834816,6.260758304,9.757010422,5.696920973,7.44665817,11.63318256,11.90803313,6.433789927,9.353330175,8.897688718,10.36574214,4.812401427,9.503558542,9.825994173,8.050218918,8.738103903,6.303333929,9.61874401,6.836646504,7.420313123,7.732897277,7.680579786,8.896132843,5.424914404,9.720302497,9.546333584,2.205630157,2.394205462,12.89609282,7.666686691,3.003908205,9.929868615,9.429930267,2.324461567,8.729380683,7.692922084,9.585949498,6.555375646,0
7.131806063,8.616895081,11.63741463,8.413499083,3.200499185,11.74283089,5.622132862,13.14779656,9.963900782,10.10619264,13.7574535,8.724696185,15.03266237,14.57303858,7.627961431,11.37363763,11.25627705,10.93421598,13.05716564,10.93732084,6.555638319,14.22593033,8.859173849,4.263303585,12.08325288,7.847910234,13.85116388,14.3082268,6.58231768,12.92385691,11.46675864,8.308198163,7.96813932,4.927170378,7.236518464,7.524405674,8.245297337,10.63649384,9.955805911,7.754796369,9.213098941,9.587257509,3.161747779,2.169023402,10.19832531,10.03711197,11.2636408,6.674799728,10.41999692,5.821741417,2.485654788,6.376908213,3.091517934,8.055018933,13.35988025,7.836335963,3.761128049,2.188930332,8.212999244,4.472988028,9.755928526,10.4007597,4.443176329,6.732496411,8.261223363,3.256399359,6.062922301,7.427086355,2.570576885,5.312041596,1.881222869,10.62569672,9.819165708,7.630999252,2.218145846,6.711028303,2.58977289,13.41711849,12.26447838,11.03700187,10.66602959,11.57363155,10.10871888,9.962921183,10.13412364,5.542406072,8.290970539,8.954691328,8.387919851,8.152093282,6.292326489,9.725922022,6.740896179,9.026763671,6.868841067,7.796618907,4.659823963,2.444632974,5.72641303,11.85908447,12.94874591,11.2179273,8.701868726,7.632738692,14.71849114,2.470521083,9.138684981,13.65194155,8.991409166,11.27524316,9.470603078,9.775408183,11.37482634,2.093755022,13.58821166,4.243948597,7.451170506,9.25024416,10.77427249,13.82145203,9.634651328,12.56942534,12.10264721,12.85330673,12.95074058,4.777638367,9.364016492,3.570046682,8.498494979,8.242765397,2.397174506,7.180774095,7.144981163,1.666806023,9.010128751,11.27898213,12.95369067,2.070384884,10.68072348,12.61577875,8.375118767,11.68068295,9.083839875,3.520824917,3.536350077,7.708152308,3.560205193,4.094334139,11.15631787,8.04856473,3.555610964,4.560745217,6.865315797,10.99749226,8.291774632,8.3647128,3.351960493,7.405470378,8.075675151,8.468342751,6.852453271,6.191813441,8.018706994,8.51297921,10.27083214,11.85204701,2.318176065,7.574195272,7.85247033,10.65640728,6.41100523,9.12483145,6.039722782,7.815473914,11.47091151,11.92629051,6.770446602,9.241373468,8.785556481,10.29380717,4.745445585,9.599600685,10.07674604,7.944625113,8.916225908,7.105915255,9.160039975,7.575184435,7.038722871,7.261702195,8.068727864,8.836800332,5.658531595,8.751626002,9.241438383,2.221205861,2.416485802,12.7769176,7.56078826,2.778962536,10.42314181,9.481745925,2.388012484,9.068766804,7.792308193,8.95076674,6.425854788,0
7.880117995,8.450630289,11.5427419,9.748079722,2.694933722,12.22524593,5.244901613,13.40587892,8.629619771,10.99079986,13.30201728,8.757420594,14.49077241,14.23188126,9.396782596,12.28965633,11.5605336,11.84009277,12.33202327,10.16420771,6.97820251,14.72471407,10.59959127,6.552522774,9.638750853,8.081297555,12.89211677,14.57522416,6.960703992,13.04868481,11.03176387,9.675049218,9.269070879,8.197026106,6.547489165,7.91489925,7.80956883,12.20552477,11.68451092,7.002562733,10.10167331,9.478657296,3.07567167,2.133304787,9.3032578,10.40767683,11.34595546,8.261493317,10.31167661,9.017639336,2.424761756,5.907269274,4.670126158,8.129039395,12.4264071,8.461268552,3.34294769,2.142308838,8.197690361,3.784473235,9.097312833,9.615514494,4.058967152,6.818930095,5.134197244,2.856803423,6.588968044,7.325136819,2.510270347,5.465794709,1.843993236,10.70982556,9.920158157,7.516259188,2.166579281,6.185391389,2.504343204,13.09443602,11.50750476,10.00457764,9.8943805,10.78212056,9.94502839,10.25251799,8.070773902,5.247060313,7.85853725,7.845374748,8.162494267,10.7661009,8.742453078,8.822895329,8.303387153,8.086342138,6.635364113,7.464258867,3.832917502,2.375356393,9.729564101,11.83918048,13.04396893,11.3275507,8.367674043,8.384882697,14.19164439,2.420540714,6.742632808,14.10288139,9.27382121,11.25783711,7.195641913,9.509709331,11.4173501,2.124960253,14.06920398,8.794400728,6.714032546,10.13153456,10.85264827,13.18328561,9.684933884,12.0284375,11.65825679,12.7471351,13.02706542,6.93582658,9.395967594,7.997343431,9.233896596,5.661849707,2.338522058,9.678627603,6.962164821,1.63320032,8.477751739,11.18789851,12.35407852,2.017688215,10.18020791,13.14672218,6.060736603,11.97589962,8.685622687,8.789755699,3.173153243,7.304511107,3.293882107,3.591133386,11.83164386,8.283577556,3.424493043,4.863085863,6.867377256,11.32787135,8.471081036,6.64515203,3.478628189,7.271100407,6.543692521,9.491051744,6.920995131,6.685241466,7.7883999,8.312509309,10.64797043,12.0414684,2.858522277,7.479768625,7.329589934,11.13793222,7.494449779,8.718388219,6.074466165,7.696439717,11.79301003,11.96893872,8.264541822,9.305239205,8.557151085,10.80971177,5.260707878,9.197773685,10.29768778,7.939412056,9.01607177,7.116862416,9.022146145,7.386082016,8.052650558,7.056223297,7.687744518,8.630017126,5.762382306,9.372630092,9.215976769,2.182100879,2.336488479,12.67896626,7.459151095,2.734718992,9.8308575,8.806204656,2.272834851,8.866311492,8.309042911,8.177569583,7.051673845,0
7.036053988,8.717821219,10.72029679,9.588533282,3.224700858,11.26441785,5.66820448,13.40038305,9.12066986,12.14563775,13.19214447,6.974215756,12.75025431,12.60647256,8.205126298,10.72220382,10.40298871,11.39757614,12.28025446,10.59744646,7.332122791,15.19222661,7.845830475,7.01546863,6.750677216,8.520592329,12.04669658,14.42898901,6.993999866,12.32724084,11.73234683,9.463422508,9.122100859,5.825283322,7.153665623,8.308091596,6.456652539,10.68854811,9.921044716,6.840954981,10.49340504,11.10000705,3.146238675,2.163865292,9.118906406,10.12547339,12.33256384,7.47617793,9.923733806,6.95188898,2.64098032,6.145896894,6.447263766,7.558465425,11.48740089,7.086857379,3.490661726,2.18873952,7.915352995,2.999086055,9.27125567,9.281858124,4.178135589,7.194422656,5.828140064,3.042866858,7.131866647,7.740301861,2.566012976,6.866774863,1.883953617,8.926589719,9.712641208,7.696023948,2.215135823,6.392974537,2.622297793,12.91531107,10.76021433,9.142022013,8.901404096,10.69549497,9.020486889,10.28217473,7.511367781,5.355228232,8.314640997,7.802744663,6.938499535,8.921519903,6.64380653,7.943238708,7.915828444,8.334908771,6.71617444,8.439726064,5.735809091,2.439987429,11.52760417,11.76604935,12.31889285,9.849540975,8.220783075,7.961788499,13.07586718,2.470859613,6.29399956,14.63783405,9.611432436,9.920041557,6.892697412,9.721199662,11.90876378,2.094157072,14.64776297,10.60256136,6.276458934,8.836009729,9.099172226,11.09477581,9.911261316,11.40662836,8.702260808,12.86607877,12.24630209,7.679910702,9.912029117,7.659916203,8.284842531,5.205245609,2.397316859,7.828701773,7.077003362,1.670162898,8.973344464,9.741220561,12.36956235,2.066302286,9.07572495,12.63137125,6.05875438,11.64934737,7.980480963,8.938553849,2.345199565,7.496588838,4.211788099,4.275343806,11.32432472,7.93041229,3.547439099,4.956570189,6.927684055,10.48685881,7.027370743,7.297246558,3.349340942,9.14620643,5.601490428,8.945447848,7.743054894,6.903078171,8.034543467,8.750310883,9.927801308,12.2375047,9.002521091,7.577321518,7.817425558,11.18731635,5.311384843,5.982076752,6.583193828,7.392529941,11.66854043,10.88512018,6.774796609,9.166471991,8.638413117,10.5929786,5.36037155,9.508411443,9.982202858,7.530299015,9.434785153,7.278440477,8.807850763,7.55263087,8.932553684,6.286714599,8.329194795,7.980660431,6.15807768,8.364631898,10.08035469,2.21259953,2.405964386,10.21272048,8.033342101,2.761476251,10.1526392,9.485432869,2.32223849,8.268031546,8.098448058,7.832259291,6.275079352,1
7.565590569,8.966748395,11.125667,9.011187085,3.950573856,11.44697435,5.764947391,13.56033937,9.419218995,11.92491456,13.4011725,7.367081338,13.88991547,13.72319519,8.241657833,11.35921718,10.35495355,11.31204905,13.14887975,10.92183221,7.101565462,14.93505225,7.565608197,4.804256585,9.333219577,8.59967866,12.56779322,14.50722916,6.584089708,12.67206559,11.04628514,9.11514326,8.569612811,6.714103526,7.182969428,7.945606418,7.274138066,10.34951828,9.580498938,7.099469068,9.469514252,10.32720263,3.137447359,2.164413716,9.183339824,10.21357952,10.78230582,7.630904442,10.22815486,6.686360196,2.481555206,6.050093479,3.090401392,7.266047236,12.05894606,7.160505925,4.575970349,2.179256233,8.274864102,7.763507929,9.192682902,9.732244588,4.438995715,4.484415702,8.04143905,3.142104013,6.900528819,7.97588043,2.554460745,6.725616938,2.041071838,9.085140381,9.644300352,7.773951175,2.210954758,6.180736411,2.594085137,12.83599781,10.79980456,9.31640346,9.152311188,10.97746328,9.548656602,9.893021865,8.355836019,5.345313524,7.950234218,8.036151638,7.368443983,8.836346588,6.504483826,8.346228435,7.788940134,8.140743256,7.181026883,8.164962833,9.665217807,2.43019268,10.11175886,11.86488362,12.7272171,8.928162728,8.732729071,7.170185958,13.55100006,2.591927369,6.850766075,14.38543265,9.51968114,9.052464351,6.92852294,9.41546948,11.6167339,2.096057924,14.38809471,9.269308479,7.169314031,9.068981626,8.319264724,11.92087829,9.503004597,11.72256788,10.05225913,12.84422679,12.65598413,4.507391234,9.691907828,7.473649503,8.307372831,6.365533451,2.388918675,7.569110759,7.338419056,1.659987343,8.812727186,8.927676784,12.55749795,2.061122097,9.119349299,12.75295123,6.114425943,11.65708929,7.937247474,8.478765583,2.626499411,7.461233376,3.723134579,3.629714604,11.39881262,8.025286377,3.496925065,4.918208749,6.680502934,10.19867718,7.471598557,7.395462636,3.347219489,8.895550686,6.649254926,8.888342611,7.187041285,4.498982333,8.076080335,8.531255327,9.870133502,12.20614039,2.351868166,7.632679774,7.898090351,11.19083801,6.02940584,7.295892399,6.406350188,7.934841909,11.63422998,11.47992686,7.024087082,9.250024403,8.592215044,10.60034192,5.244997295,9.557601366,9.965347801,7.566068139,9.200265668,6.94706878,8.827753044,7.402721633,9.199421137,6.611469936,8.114918601,8.463424765,6.214937013,8.435241941,9.687814988,2.209907641,2.395124801,11.3605453,7.769864114,2.764561268,9.907588182,9.398772726,2.322262307,8.276043286,8.23865854,8.297137593,6.271490359,1
7.741423373,8.819961373,11.20873517,9.536458431,3.802013365,11.13470989,5.504695427,13.43537244,9.573911822,11.2594297,13.119311,7.543896167,13.06613544,13.31227527,8.590268455,10.33056755,10.48598004,11.11778075,12.54813689,10.66659315,7.22928557,15.03744335,8.01364617,6.495951853,10.74211081,8.63316123,12.38573051,14.54510808,7.149980454,12.72603844,11.80376526,10.2883821,9.139937651,6.163386053,7.659193943,8.153891691,7.41535016,10.97903975,9.811654534,7.045501274,10.22563705,10.28582633,4.201255464,2.142705613,8.991047294,9.938395012,12.53211877,7.526512563,9.936763043,6.289505853,2.418284818,6.692417819,4.295992005,7.197610402,11.70694402,7.228615999,5.064220849,2.143369369,8.11240402,4.576769475,9.072683906,10.13187659,3.96727261,8.111071622,6.810124969,2.974375909,6.954148396,7.740301861,2.483197233,6.247491032,1.846300015,9.272126662,9.175724675,8.012192626,2.167720032,6.042953444,2.537262902,12.4176647,10.35284295,8.975820974,8.411361888,10.5438496,9.186740767,10.45864531,8.440446906,6.346020662,8.374872359,8.281492366,7.413709136,9.128981349,6.908064989,8.141983164,7.904879025,8.220327027,6.605801102,8.468752002,9.130766558,2.376792938,10.41417114,12.28623749,12.68632656,10.4414706,8.431327206,6.590220235,13.1494467,3.344077449,6.640359197,14.50226478,9.890697658,10.35354039,6.447548609,10.52564446,11.97592392,3.199294901,14.54336366,8.919679149,7.092429953,9.459764799,9.862095033,11.80613004,10.11910552,11.55882499,9.522414465,12.93145978,12.62022541,6.706326668,9.421902202,7.421912157,8.020312165,6.14327409,2.34297549,7.79385658,6.566459528,1.634921339,8.045540394,10.32793657,11.77031259,2.031622807,9.813972887,12.52510509,6.181591223,11.80648791,7.778742933,9.110817961,2.576304824,8.069111661,4.093586959,4.016282674,10.95938493,8.31808124,3.474066761,4.582506652,6.960102223,10.0653193,6.776373183,7.507159915,3.329665647,9.239553246,6.326055066,8.967669791,7.90558048,8.161112889,7.684008353,8.801396978,9.760141515,12.3254238,6.853304308,7.607233612,8.091343642,11.38655256,5.565629204,7.534718465,6.514745011,7.148457882,11.13365636,11.81228557,7.370680431,9.697987506,9.325058035,10.29739986,6.205873953,10.08945786,10.24498367,7.299019735,8.906734159,6.897027443,8.91278478,7.316133735,10.30911224,6.961867501,8.065443845,7.770283048,6.544440131,8.713369771,9.251157779,2.16718272,2.330621503,10.95266726,6.066743419,2.749805738,8.95570658,9.17239585,2.277398622,8.970564663,8.26332683,8.295283319,5.973588037,1
7.416124293,9.20921062,10.88471688,8.728880043,3.738155804,11.62908111,5.323310447,13.47615379,9.324596386,11.20272146,13.28734388,6.738219807,12.71012867,12.60118073,7.926656051,10.52054379,9.888475762,11.20823574,11.91558988,10.59901145,7.035993719,15.19955335,7.352632955,5.8753432,11.97679019,8.61454793,11.79775503,14.10185228,6.493337326,12.16911231,10.77293332,8.919132365,8.151368526,6.756021431,6.624466439,8.315910084,6.896064119,10.38086786,9.606390839,7.104991465,9.1885876,10.58264472,3.095647995,2.156269618,8.891430917,10.19744336,10.42820001,7.75158415,9.84230618,8.21303418,2.442254888,5.951367491,5.416600187,7.074112724,11.37355835,6.344112971,3.576233312,2.153993256,7.971549682,10.10516232,9.1501428,9.308008937,3.892707771,6.252820986,8.224639948,3.471684019,6.763246298,8.188671255,2.508682708,6.587096905,1.856664604,9.055972017,9.006906346,7.877926783,2.190889392,6.97736034,2.544619794,12.64415849,10.44140978,9.004566226,8.907654434,10.54050131,9.265835148,9.827066896,10.34151459,5.527778758,8.024169345,7.744556235,7.187367288,8.660726121,6.298406299,7.722208901,6.632327691,7.737786656,6.879146696,8.270718988,7.230491387,2.389877125,9.837605764,11.79902713,12.25340565,8.923578907,8.431878491,7.588915274,12.95064429,2.408919997,5.83789995,14.71630082,9.958890451,9.043081081,5.42071259,9.596685301,12.14278323,2.084302505,14.69536272,8.903341495,7.02093786,8.923603791,8.613181611,11.25844852,9.439765254,11.21413683,9.186944558,12.57890302,12.11574635,6.199401076,9.849198679,6.135945738,8.216773057,4.957703215,2.361603391,7.291194385,7.128809888,1.639232994,8.860870025,9.059721227,12.38951744,2.038306503,8.228724905,12.80784123,5.845049014,11.76725846,7.881647811,7.632107343,2.469828659,8.120004352,3.421523414,3.698097755,11.12980879,8.315430272,3.457581452,4.854531801,7.110294415,10.64453684,6.30360355,7.099316434,3.334816308,9.544139497,6.012745914,7.858206871,7.281705759,6.039952229,8.00784101,8.601140434,10.14437762,12.31804287,2.352310799,7.549802973,8.140913714,11.48444569,5.345593604,5.599607293,6.197138162,7.58916957,11.78400785,11.20053158,7.180457285,9.538267343,8.58522774,10.97274152,4.557524541,9.084426156,9.702137794,7.411740814,9.319943069,7.139305714,9.084698258,7.235045464,9.343986621,6.566085335,8.099335544,8.035986792,6.299711147,8.123738918,10.09682877,2.191094038,2.375238991,10.57835604,8.073744468,2.739227882,10.02705911,9.148935863,2.276946004,8.514071314,8.081116082,8.624650849,5.363923024,1
