"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
146.236,434.1,813.037,433.556,36.363,563.732,124.17,1745.653,404.947,6498.817,1986.69,583.967,1422.816,2472.955,790.786,2132.678,2376.155,4161.694,1025.845,666.719,2436.273,6849.966,942.586,1863.757,1201.14,703.145,562.685,4726,447.158,6127.461,2028.709,406.382,359.867,696.571,1711.952,98.626,212.158,1162.829,607.925,308.72,457.848,249.795,25.656,39.158,229.152,230.867,930.778,110.797,982.993,425.329,20.787,193.872,829.122,270.945,638.722,670.429,202.577,292.798,140.708,96.374,610.561,219.525,33.998,1698.131,432.284,19.99,93.795,472.175,36.107,62.672,43.001,481.974,314.855,132.934,44.338,623.265,1,170.988,2022.006,1944.955,1921.484,457.494,691.228,874.89,2194.823,184.568,286.353,122.988,200.947,1738.298,867.833,842.748,441.454,269.135,149.985,311.839,377.502,30.078,714.102,1853.623,5872.194,5085.222,825.783,250.841,3710.694,222.814,214.916,6439.772,361.525,4817.202,149.12,479.81,538.25,879.883,6317.409,521.516,503.787,392.633,4560.055,2112.065,325.882,297.932,458.975,285.283,5348.452,1996.525,186.256,662.896,439.874,72.166,57.878,840.427,296.48,16.532,306.678,5071.59,2318.033,11.806,773.951,1866.551,151.11,1948.266,221.072,1053.839,79.75,127,303.342,13.241,792.962,202.105,80.906,71.197,412.96,961.29,74.585,209.735,47.053,61.003,87.873,72.813,1394.49,1855.135,186.541,349.764,645.362,849.817,4014.636,104.355,197.509,503.478,167.685,188.763,134.03,93.42,1602.434,1375.123,698.789,714.374,257.237,384.723,184.221,1283.853,371.406,400.437,526.801,277.492,194.983,135.309,215.769,102.354,137.291,298.792,156.027,204.318,480.287,29.49,11.695,657.899,243.555,362.263,158.861,565.898,70.952,170.53,202.903,164.65,114.896,0
105.522,321.473,607.346,411.783,55.142,466.928,69.566,1402.9,258.056,4854.598,1847.546,155.364,2088.597,3477.445,631.287,2405.659,858.896,2111.029,1549.136,467.865,679.047,6054.055,749.149,623.687,313.646,670.547,2505.853,3343.486,303.6,4860.914,1543.307,405.961,374.548,442.638,1313.344,50.659,203.303,782.006,373.97,240.244,390.512,503.319,16.617,27.488,167.946,167.507,1063.807,70.18,1017.532,391.193,21.148,99.448,503.679,347.549,2480.248,732.961,166.907,279.526,78.405,73.15,213.901,202.832,45.175,1598.535,455.338,30.321,98.854,386.657,34.606,39.641,29.962,550.609,189.408,113.86,24.552,546.787,12.266,464.786,488.326,530.855,451.581,232.24,488.61,840.045,873.839,138.605,227.855,95.72,173.363,1064.427,563.942,434.438,155.301,283.436,111.392,327.91,814.954,34.598,769.049,1277.8,4386.6,4449.568,1075.987,93.58,3828.797,49.664,271.72,5714.495,323.653,4330.535,176.9,432.486,479.536,405.015,5745.383,543.751,710.766,334.032,3963.826,1826.428,350.007,1042.361,574.115,884.184,4122.076,679.755,162.765,156.363,328.035,64.779,34.189,553.611,219.476,37.852,215.701,4359.029,1845.33,9.487,760.459,2555.443,62.681,1146.08,208.855,329.886,54.938,45.705,160.507,16.872,874.913,202.013,78.71,56.115,387.089,635.89,30.36,202.978,54.431,58.693,60.581,54.465,927.611,1767.599,190.522,268.991,635.504,745.914,2248.52,141.342,202.424,691.047,79.096,165.752,121.547,90.793,1379.655,955.777,270.696,772.643,264.069,200.344,112.034,1312.152,233.029,146.981,469.797,132.706,214.857,73.119,130.455,76.789,93.544,115.321,124.941,141.897,392.508,29.963,12.328,663.285,191.864,236.575,356.044,327.869,62.001,87.855,150.216,109.056,68.135,0
112.361,506.974,543.161,586.17,63.346,792.323,77.912,1629.57,1006.119,4494.388,2083.865,357.507,586.365,1229.22,713.713,1850.996,944.913,2577.192,635.896,856.083,983.221,10125.139,562.407,1147.587,576.96,731.826,505.73,1793.15,291.907,4374.212,1346.621,612.974,494.816,179.772,1079.021,298.722,550.895,772.306,300.895,358.623,384.068,203.405,35.673,17.242,314.03,144.21,2318.182,66.39,1093.598,627.204,29.035,136.714,800.233,218.089,476.592,657.371,214.762,604.077,131.09,12.112,287.401,199.143,23.351,1055.996,516.499,52.223,200.321,487.215,49.826,69.952,20.312,734.091,234.639,121.452,45.881,385.218,8.929,131.822,1507.389,1329.672,1108.174,318.049,420.921,571.135,1042.048,187.546,273.438,84.743,104.145,592.954,261.977,345.268,181.714,566.505,108.74,305.749,2986.115,33.679,430.16,1166.653,4070.659,4621.393,1189.028,123.58,2726.356,76.897,296.02,9675.791,387.149,4388.045,169.061,470.895,580.966,444.378,9427.054,221.55,836.391,505.644,3900.26,2545.065,302.118,217.82,313.255,364.72,3605.692,1053.524,189.963,225.268,266.118,79.906,21.685,274.936,321.94,21.735,237.762,4725.98,2399.001,25.565,837.551,1537.025,119.996,2341.942,175.751,412.707,46.164,107.21,196.577,29.436,1070.957,167.65,81.524,48.935,496.724,594.77,89.244,209.152,70.443,50.372,115.792,44.085,888.385,1258.834,120.288,399.104,947.87,636.974,1342.029,142.271,234.747,568.147,151.641,149.573,104.184,142.023,1088.743,719.139,1175.267,597.725,204.391,192.508,147.322,1965.327,363.795,119.042,694.786,220.313,343.905,102.137,274.846,130.809,115.934,871.215,137.657,189.704,327.596,67.597,5.366,455.921,99.294,326.364,131.978,281.532,58.832,145.027,170.175,371.268,56.79,0
159.195,419.677,910.245,679.92,46.848,569.84,90.244,1505.63,1773.03,5881.411,1788.77,411.121,2225.158,3035.881,675.139,1234.938,1383.344,3366.535,2192.404,748.278,1377.009,7253.636,938.922,1460.493,1119.318,621.31,1825.427,4945.024,217.431,6325.509,1757.172,548.679,538.648,275.071,1607.549,127.179,430.884,1248.578,650.055,323.738,179.685,231.565,16.033,19.415,212.55,290.965,622.557,90.221,919.525,428.723,69.02,152.644,663.255,277.486,2475.838,474.087,89.461,272.54,136.642,50.796,459.928,166.009,45.824,907.769,263.938,53.272,79.612,446.201,38.193,64.82,43.382,569.295,492.997,145.141,33.889,428.406,3.481,597.525,384.424,346.558,261.205,316.253,715.638,667.43,1994.103,153.118,234.624,166.671,225.69,3857.131,2417.008,293.718,169.998,308.21,93.205,226.432,6964.447,26.314,451.545,1108.057,6042.321,2789.831,703.213,173.139,5148.455,966.958,537.627,6743.012,353.699,2750.5,392.569,503.815,526.236,419.552,6672.397,253.18,440.118,555.8,2358.838,1573.556,354.032,990.975,667.598,584.987,5309.212,1520.506,193.67,130.25,353.266,135.868,189.072,2370.05,331.439,18.358,167.639,2877.656,1852.637,6.895,1081.319,1691.575,250.167,1427.241,200.688,247.494,44.087,131.285,128.466,12.335,879.086,157.66,76.122,53.806,528.258,829.341,214.567,223.652,68.438,91.805,127.834,266.821,819.573,1089.604,179.09,367.233,599.272,740.897,2049.412,159.489,235.447,913.844,227.145,242.347,110.063,111.136,1150.32,1141.937,401.417,593.264,268.809,312.572,171.366,912.293,573.755,321.473,561.603,120.988,479.503,114.38,299.788,120.258,121.843,338.59,172.073,179.156,258.013,50.961,13.003,949.049,214.384,251.387,50.797,377.964,51.71,156.22,187.247,192.879,73.506,0
107.677,537.514,563.08,500.212,57.49,518.53,141.382,1287.343,4711.29,4326.288,3119.952,1259.072,435.48,824.435,977.905,3348.747,991.847,3376.286,1335.516,792.581,356.839,7476.979,923.046,1469.091,437.775,965.295,428.781,2721.307,148.553,5013.098,577.731,509.869,445.617,564.779,127.842,163.762,317.931,720.529,357.695,268.985,431.678,112.582,9.65,25.409,232.684,232.082,2024.892,119.778,680.346,1138.082,16.169,228.209,363.747,110.968,273.479,161.599,127.633,422.75,103.447,29.168,178.994,148.483,37.955,119.084,379.205,54.964,144.289,558.536,45.706,172.996,29.367,679.17,220.303,101.037,23.594,1240.998,10.356,97.011,154.593,127.69,133.308,248.796,421.322,1517.269,2173.405,259.458,369.427,169.149,124.93,4302.983,2988.517,108.246,158.901,391.882,122.486,245.789,1519.429,24.032,2582.15,1462.718,4784.933,498.848,1554.06,31.526,2891.72,187.86,216.024,6979.412,520.278,467.107,153.402,378.035,1255.31,538.152,6876.797,1932.726,1197.53,240.908,440.867,2375.591,229.342,134.462,184.637,129.697,4175.321,1639.603,295.869,193.224,1274.94,53.582,165.5,2725.915,224.71,13.774,272.135,468.836,3301.772,12.12,154.482,1984.153,118.069,4207.661,274.455,297.389,84.875,178.354,145.298,17.524,890.379,286.696,78.819,58.019,743.98,513.496,261.03,81.581,223.694,90.025,100.088,262.162,108.283,157.999,390.452,707.897,498.245,880.835,24.971,283.774,215.98,1442.193,309.548,419.278,125.704,258.696,1646.445,834.891,579.809,543.363,315.382,277.96,191.879,637.411,716.363,93.626,1115.581,117.564,165.812,118.449,382.343,30.755,104.379,258.227,196.275,286.245,332.861,42.389,17.92,162.923,285.264,69.92,219.255,228.888,93.165,125.009,175.823,315.351,31.211,0
35.243,331.625,165.181,64.663,109.587,289.034,149.087,1552.875,1710.841,3419.683,1432.979,278.415,703.691,1443.339,518.373,846.486,317.651,821.595,768.367,580.79,578.995,5250.711,363.201,1247.385,185.07,446.409,633.418,3636.392,458.385,1909.012,2116.427,102.168,113.738,108.852,110.393,55.619,73.787,254.237,102.23,247.2,271.801,405.763,15.256,44.657,112.86,110.921,2362.623,83.543,408.738,263.899,44.244,82.575,257.17,283.578,749.453,394.702,48.415,144.809,62.336,15.552,303.796,128.617,50.572,606.568,332.736,23.364,99.586,319.186,44.27,154.447,14.503,361.173,109.977,81.213,35.366,166.282,4.434,469.355,322.125,267.261,191.44,186.364,149.77,1399.383,312.697,119.044,228.072,248.854,151.211,500.121,282.282,221.148,70.143,142.466,110.984,126.976,1064.782,29.537,373.851,1245.245,1590.524,2154.906,2082.452,57.456,1508.929,28.884,239.093,4941.824,196.532,2154.211,145.694,322.857,427.437,453.957,4997.058,275.954,1361.733,279.833,1820.365,2938.829,125.612,304.85,286.064,458.574,1332.44,1240.115,125.529,370.333,137.125,78.553,12.582,225.63,308.049,31.288,146.467,2193.866,1835.63,40.37,233.292,2422.574,195.51,913.665,202.452,610.873,149.352,307.034,83.785,21.432,1239.105,221.801,96.466,76.869,320.445,399.644,44.532,322.494,106.711,51.428,89.152,21.551,277.118,793.466,253.371,139.426,340.654,587.952,1185.932,108.281,221.01,858.906,98.176,112.471,118.058,91.331,1198.292,210.021,325.602,426.444,286.257,104.398,202.957,226.718,136.193,124.189,594.674,54.404,127.38,69.221,383.077,21.55,164.047,97.922,86.303,201.943,224.501,40.583,13.227,289.475,196.244,96.342,278.499,246.862,118.109,83.363,145.221,78.4,165.171,0
118.914,820.36,789.904,567.945,91.151,733.119,190.786,2259.125,468.058,7413.403,1436.498,350.102,1473.134,2721.554,1182.77,1809.702,971.629,3706.369,1491.078,1954.697,2606.345,4793.904,1184.75,2829.741,1831.588,564.065,669.801,3340.295,316.817,4311.948,2019.369,579.68,452.551,980.636,2092.573,95.398,364.051,1009.576,386.141,367.005,205.563,165.692,25.31,22.464,505.347,164.922,815.614,83.831,984.891,334.289,19.636,119.666,2119.194,168.574,931.563,1702.08,63.291,195.143,172.31,25.26,292.989,175.754,31.955,3188.662,138.444,46.882,69.274,854.72,68.144,26.519,49.384,304.687,535.5,112.327,29.291,428.345,2.674,131.227,333.065,273.924,184.062,265.38,586.839,462.416,2460.792,150.629,272.56,124.774,173.783,3183.939,1435.613,211.007,287.582,164.835,359.813,168.301,1132.5,21.922,846.324,1835.005,3946.535,6639.517,1011.158,304.935,2993.267,463.505,288.765,4584.931,317.157,6633.804,190.886,573.888,855.598,761.111,4616.181,373.554,395.25,502.286,6473.581,1094.576,260.915,249.548,481.545,1058.655,3593.59,2992.14,148.576,68.642,689.814,56.973,149.218,1254.6,309.977,22.059,161.573,6511.162,1155.229,11.34,1047.949,1514.311,79.105,1120.051,211.886,168.271,82.433,150.732,132.329,58.238,1758.263,175.567,119.105,50.422,439.529,647.646,47.071,160.006,35.824,55.558,179.189,87.325,2183.397,3607.031,144.623,459.326,750.738,615.224,4221.815,151.75,196.75,1015.227,103.932,165.085,134.563,31.652,938.316,886.344,525.643,532.007,232.579,271.931,167.366,678.455,274.522,679.141,780.744,109.506,211.797,114.106,103.779,161.905,150.877,229.837,90.184,115.06,137.467,35.333,7.267,521.338,117.843,84.552,100.225,268.513,64.352,142.857,201.612,149.712,163.876,0
63.016,540.409,1432.022,493.779,59.962,931.816,153.738,1225.092,1301.294,2705.29,1152.526,591.519,746.78,1031.402,1234.635,1828.085,671.069,2416.948,1170.621,381.721,309.747,6943.603,879.405,562.531,1050.185,641.73,662.041,3468.258,249.776,5978.19,1685.595,611.199,538.988,295.518,494.617,166.022,224.462,937.838,450.093,396.986,197.485,283.18,24.236,33.401,127.019,275.878,716.289,67.304,884.179,773.015,28.359,386.332,450.659,131.286,643.427,403.098,401.678,519.872,131.358,23.952,105.115,147.758,42.266,470.496,422.84,34.533,153.304,514.44,16.747,80.94,28.733,438.412,617.311,110.683,12.679,777.76,4.972,180.168,205.094,144.375,132.33,224.802,949.614,1399.613,2095.934,354.045,525.184,1084.772,178.984,3914.718,3057.08,107.691,292.767,511.017,97.364,156.226,1305.484,29.661,493.341,1260.935,5863.842,1518.403,923.501,54.504,2309.599,316.437,700.482,6623.883,282.561,1555.113,565.119,383.275,517.703,646.897,6498.117,179.246,536.089,378.538,1326.553,3615.595,212.817,340.897,283.545,250.167,4952.691,657.478,223.273,321.561,497.507,81.005,225.367,2632.479,241.845,5.587,184.037,1572.821,999.617,15.093,449.425,2697.331,510.832,1642.384,309.771,675.47,77.411,347.773,114.036,47.071,723.742,452.514,84.372,72.869,253.018,240.25,138.221,102.218,265.164,46.943,171.546,42.275,304.69,511.291,110.731,497.302,1036.263,942.383,466.465,228.169,161.804,803.473,166.124,421.785,127.903,129.073,1080.502,1302.877,867.672,573.517,338.299,496.819,157.361,489.673,497.971,156.237,441.637,184.33,109.494,62.962,345.068,51.568,121.378,205.648,210.584,167.429,112.513,8.207,28.321,268.739,170.612,26.464,207.087,718.107,78.669,146.343,142.95,449.008,106.429,0
85.802,481.942,620.703,973.957,72.698,1142.213,87.93,1922.469,930.322,3634.993,4277.632,156.319,1167.868,2679.862,743.717,1491.735,1372.89,5906.601,1507.086,455.083,1619.443,5102.686,801.001,1035.314,451.515,700.057,1418.878,1455.553,170.739,3166.239,1042.762,504.572,781.178,1210.153,1033.825,86.883,129.384,723.829,330.465,148.343,266.573,166.423,14.388,9.256,457.688,456.087,806.845,85.066,1010.013,220.149,15.643,125.327,973.724,131.114,1117.215,382.425,396.327,1076.08,96.169,42.67,210.347,143.523,246.698,1892.298,411.782,50.455,146.765,421.641,47.099,41.63,54.833,512.648,350.466,118.864,11.003,925.887,1,81.015,177.694,96.223,105.756,301.959,264.468,549.298,691.308,73.378,220.568,84.815,112.948,702.223,432.382,178.303,333.411,191.059,286.68,316.972,4321.505,5.547,534.558,1314.638,2968.53,5461.003,711.995,220.074,3153.132,487.565,235.491,5005.365,383.993,5403.738,119.662,893.439,248.948,237.053,4876.678,211.025,280.819,401.712,5007.68,1293.739,154.168,348.466,357.464,377.233,2465.86,1078.226,156.919,225.041,393.875,58.956,21.909,391.996,143.318,20.89,203.476,5600.173,3660.947,25.604,217.435,1360.61,98.527,1482.232,523.415,605.571,42.513,115.271,186.372,31.727,1546.35,442.154,101.85,52.065,424.152,1208.024,56.825,121.156,62.173,81.231,135.31,37.648,702.087,2285.422,230.75,156.338,922.991,424.659,1156.706,159.759,173.194,805.192,235.254,160.709,279.274,114.916,984.571,533.309,573.163,796.658,225.628,272.116,188.287,886.232,381.438,157.9,792.806,187.507,307.012,106.996,188.822,170.185,117.365,93.844,80.279,124.939,149.207,45.542,9.952,361.685,120.369,139.722,49.438,285.555,80.328,231.952,180.143,75.822,82.178,0
65.31,347.444,1049.787,698.711,80.985,693.95,71.822,1652.152,853.362,7203.959,2314.351,383.369,2137.18,3300.671,1504.954,1853.26,2635.385,2432.372,1487.043,1156.834,3091.834,6469.87,1212.598,2457.876,996.87,480.191,1380.632,5193.299,265.141,5914.573,2043.671,705.933,537.298,321.142,611.642,143.777,325.785,1981.404,910.537,325.698,237.122,515.11,19.277,21.824,125.544,177.515,1183.299,62.168,667.319,644.68,24.503,161.013,1963.675,122.304,1027.787,815.807,70.27,221.476,82.623,34.755,328.638,214.457,79.978,3570.282,168.932,31.241,66.053,306.051,56.967,55.035,28.131,518.402,400.246,103.171,19.663,311.63,3.449,526.943,222.457,167.578,105.312,195.047,681.933,898.254,2157.795,157.262,331.696,297.008,166.775,2125.72,885.273,219.176,159.3,207.218,118.931,262.444,1820.021,26.712,1144.406,1036.067,5692.872,6714.75,685.073,229.779,5166.248,167.876,504.584,6184.805,387.622,7224.794,379.237,541.155,420.256,840.811,5981.598,708.98,319.431,595.57,7307.569,1896.413,186.234,349.427,829.024,911.198,5359.038,2713.626,191.828,333.776,955.479,101.6,56.818,855.121,224.227,27.235,197.959,6974.339,1818.543,17.127,865.83,1466.324,378.613,1480.742,221.329,743.486,113.973,185.907,107.317,23.221,1325.614,132.317,132.493,71.497,453.134,656.858,78.383,202.061,49.606,63.479,143.194,98.421,2539.608,3827.155,90.86,384.254,776.014,730.492,4469.806,124.797,164.719,642.209,131.397,175.867,124.549,63.286,966.737,1336.052,1872.362,579.645,207.529,265.699,568.203,395.602,412.291,213.742,392.379,133.082,332.796,112.567,198.457,84.228,143.714,90.531,89.482,123.083,171.056,32.229,22.187,942.74,127.594,120.04,155.218,250.467,94.863,96.227,197.109,207.028,197.932,0
