"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
6.360010956,9.88127422,7.485997982,3.619741615,8.343806693,6.377599922,8.386744218,7.846080598,8.67445506,7.91427467,7.243018509,6.511109545,5.433204155,8.230818658,8.647751456,6.951709512,8.655117468,8.987649681,7.075823402,6.557651942,8.388577655,7.479436331,4.343679803,10.19540126,5.32310721,7.865478023,8.747050441,6.313892889,6.684353835,9.116409575,7.522720261,7.35732903,7.3996312,1.937741446,9.461502759,7.439815612,8.321385804,6.954745125,2.918743315,8.953404036,8.157329223,4.503882975,5.255993315,4.744055119,7.688481753,5.813148292,6.540075661,7.441955981,8.574016636,7.447236544,4.572175418,5.04398221,9.999500142,8.59705852,4.16588608,7.762424894,6.081287178,7.022485641,7.505345117,2.560539723,7.506969954,3.913712941,2.649592332,7.209464338,9.844127337,6.377443749,8.544596838,7.175509938,5.7900089,3.822330146,6.098592756,8.225353411,7.502184151,2.275209577,3.624369547,6.534929414,3.069954521,5.283713306,7.2520378,10.09535408,5.08251079,11.59134658,5.035645588,4.968341029,2.704547034,9.028178019,7.468457072,9.359421683,7.026302081,9.954347666,7.34090805,5.857202394,7.87471332,4.96648925,6.467305312,6.371948806,7.255823095,3.61394952,8.722817602,8.261265621,9.38187272,6.445027257,9.53534977,4.237261446,8.559689191,6.740869835,6.793426666,4.787290562,11.62712522,6.423451514,6.369532173,7.432645016,8.526584404,5.921618468,8.140744989,6.816749526,7.504556461,7.566669335,7.094345251,8.973895414,6.106281787,7.613077912,7.54886594,7.115845652,8.275351563,9.844669986,6.273790174,3.451317532,7.532884525,6.115733248,4.284280031,11.14718439,7.696367448,4.705851706,7.50364993,6.184691582,4.087306442,6.941455382,7.086560131,8.723658174,8.090600166,9.241266156,7.252557557,3.90795777,7.615704011,8.264519018,6.039924948,7.686890247,8.927510948,7.226531169,4.518996974,7.521451899,11.0481615,7.731537724,7.117069647,2.325690177,7.149373865,6.867701025,7.490907202,5.029677615,4.671769021,7.378064338,7.925741951,8.800980892,5.641972833,8.477261076,5.7813664,5.156412242,7.656937704,7.121800108,6.140681293,8.458402781,8.718360834,6.292530606,7.620878079,6.071685375,7.050776368,7.719281399,7.14700236,6.602118943,2.790280959,3.056336852,8.387028719,6.057869763,8.575569405,4.241690409,6.642308221,7.374078604,8.641571905,6.066453464,5.724483934,7.558112203,7.675958482,7.190182554,7.110961663,7.699469794,6.246190134,6.420455788,5.176130847,7.354233458,5.787832647,10.46134877,8.297896994,8.517677513,8.039388709,11.41611863,6.805064808,0
7.044552695,8.902633276,10.46069121,9.014974313,8.678294005,5.68671708,7.548465736,10.35497064,9.652195556,8.481534079,10.8218236,7.377413592,6.344709888,11.61003685,8.865836846,6.731257282,7.129782091,10.88684563,7.737780701,8.285721223,7.655784771,8.954125776,11.42894617,10.64810765,6.924782649,8.350654089,7.354124185,6.069662374,7.760324744,10.42097687,6.199172151,11.21894645,8.98580876,6.630697397,5.48347404,4.118208078,7.658436126,13.40773959,6.332616614,9.987719239,9.094160068,6.295156612,3.480277381,3.294669414,9.1638272,4.930757309,7.376881408,8.891877898,8.817143678,7.274899637,5.199337187,6.262237516,11.00652122,7.421631273,6.55018718,7.80067117,5.706178405,5.285441339,7.847873043,1.934229213,5.997883355,6.140053091,5.128357198,8.638926129,9.466146952,6.570484306,6.771617796,7.628222982,5.71794589,2.763620977,5.431789723,9.633910851,9.283755602,4.9496756,2.955452784,5.834842586,2.349832009,5.815983653,10.87086353,12.24200095,6.670681107,11.97523481,6.443180898,6.189163871,3.219054735,9.526223198,9.057203955,8.520007604,6.607053828,10.97203681,7.961316577,5.278994025,10.93862192,4.306601764,5.308461986,7.662953645,11.22737958,4.065627514,10.27264099,10.0371149,10.27843891,8.835024775,11.31584001,10.29849253,11.22017673,6.492967088,6.940595618,9.276878873,10.89960042,9.798569119,3.365895658,6.732577149,8.973349815,7.635511677,10.46042468,6.76960277,7.696840862,7.352530882,8.837126808,11.5846108,5.638046641,8.132710041,8.631119979,7.427232659,10.7515734,10.62373725,5.489925114,5.740828979,7.435970615,6.885662953,5.356322561,11.5368104,7.046378715,2.915832883,7.050976033,8.728408371,2.061451293,6.013380934,8.838119522,9.347638879,8.651087747,11.31075146,6.968453244,9.921343533,5.410887615,8.204027775,6.873620858,7.362541185,10.05313362,6.390044483,6.74550367,6.311853325,10.86387882,6.826565064,7.160195287,6.829299567,6.273487118,9.134210213,6.999441605,2.701077759,6.721945097,9.396300504,7.586988148,7.946962458,7.583452827,8.078246249,6.663014401,7.456627365,8.029024643,5.660097022,3.901111669,9.700255389,8.698917925,7.228550787,7.239714355,7.988540372,9.578933741,9.056109415,8.384986246,7.297210614,4.982845798,5.659139341,9.728956078,6.375477895,9.026870023,7.024642883,9.469097462,6.363691297,8.475331706,7.656230716,5.24180601,7.229905908,6.143864772,7.629548351,7.055792896,6.542452,3.640534757,5.339382888,5.591041654,6.659932308,5.042391884,10.55152121,6.015507282,8.10450668,8.091791216,12.35265866,9.627382297,0
5.897111593,9.351622019,9.397732985,6.099610734,8.253123085,5.193085769,7.826344355,9.519977194,10.1674403,9.310032028,10.10375288,6.095636227,6.312770588,10.71501023,8.557291087,6.813424705,8.615405596,10.54576217,8.511116917,8.576902105,7.224960864,7.649963387,11.03693516,10.0001716,7.096482952,7.28963739,7.23598869,6.706265281,6.92130143,9.858402749,5.178059339,8.110972969,7.439796366,5.595294316,11.18071357,6.96989894,8.653670294,9.876216481,1.788776686,9.534655098,9.730057039,6.831892665,7.289415277,5.437830685,9.551474753,5.683216886,7.607083914,9.155143664,9.55280972,6.542977654,4.485077213,6.49157612,11.1055551,6.882220115,4.505761351,7.981807906,6.181314666,5.658923485,7.730146504,1.528703781,6.373620605,5.565901882,6.809049586,8.260899185,11.06375315,5.973836981,6.743584232,7.447323562,5.128274047,3.252360201,3.594875787,10.36649898,7.97153169,3.279466817,6.026683577,2.622320691,3.372643054,6.774627861,9.406696963,11.10051258,4.579979491,11.18393125,2.41054054,7.636424572,5.550525451,9.32368308,8.557162895,9.665071966,6.96516289,10.83089477,8.946466936,6.085836197,8.553510613,3.69626496,5.104702375,7.193085999,10.07985141,2.422088267,10.87467917,10.35289613,10.04166698,9.229501769,11.40861268,6.476854576,9.645362585,6.166672089,7.674043958,9.196146684,9.888447272,9.9722313,5.487857911,7.802142043,10.26375178,6.749357737,10.18007409,7.078363939,7.944302022,7.133138434,8.871511625,10.84634849,2.327211114,7.647643624,7.828334876,6.302487866,9.958601412,9.827930764,1.641491955,5.531336139,6.562832044,6.14707121,5.25509633,12.03893144,6.94876828,3.236357994,5.309237977,9.022429625,2.636731003,5.224012341,8.323172145,9.426318374,8.965305662,10.83798727,7.304866936,8.104728416,6.872552596,7.867009853,7.006481581,7.542960394,9.048752667,6.704024458,6.251849949,4.554117313,9.707152082,6.616701112,5.055793146,6.80424381,6.620087928,7.674801733,7.199756568,6.01545465,6.34370422,8.973137687,7.764496523,8.765165686,7.144614602,8.000947616,6.466414831,7.288766111,6.63288451,7.966732055,6.011935352,8.765765926,7.988794415,4.246545573,6.671933063,7.114660551,7.647381831,8.645213522,7.660363266,7.557439176,5.093456831,4.767678456,10.05472862,6.513873183,9.445242545,6.048191738,7.020067001,6.168696933,8.778558533,7.167611379,6.020519601,5.870040721,6.365731719,7.536037847,6.667628319,4.744081088,5.972872243,4.357849515,5.375462547,6.29971828,4.404507835,10.83863719,8.998155802,8.160050826,7.709180159,12.3531809,8.510518624,0
6.313440566,9.555971354,10.61790195,7.131383494,7.691947159,6.031460714,8.617682554,9.677670404,10.25015135,7.902682462,9.668292177,6.410899712,6.032047519,11.15772575,9.089265332,7.336974656,7.220580617,11.07844253,8.28693927,9.870837003,8.329406219,7.381176532,9.714920241,10.80985919,7.837215814,7.851283607,7.080181224,7.233235437,7.449401733,9.853434629,7.388364656,10.21401477,8.072566299,6.491034244,8.845862799,6.258226095,8.843987112,10.33118781,6.092201018,9.200383593,10.53547842,6.752280658,5.998524071,3.52151316,8.56640281,5.779358462,6.50153452,8.894770385,9.21466956,4.7006266,3.201751048,6.039368372,11.13517964,8.015319338,7.401077618,7.648929292,4.864793842,6.02845866,7.923904808,1.4035749,6.413717587,4.831917617,5.113606475,7.809711875,7.338177158,6.582309445,6.064252919,7.796626451,5.079818294,3.102031964,5.769074947,9.221700992,9.912789987,3.431758404,5.149298432,6.77801494,4.157087207,4.357495843,11.8045234,13.09030973,8.652353038,11.47488923,2.868714499,6.913015985,6.288035264,9.201916673,7.704119072,8.888474971,7.191586096,10.24850638,4.928095556,3.696219113,10.92705473,5.820907496,2.609843062,8.032683595,12.29582026,1.793808189,8.389097015,9.617250406,9.610746831,8.864653898,12.14021035,7.491804276,10.05230735,4.786351558,7.904998656,7.928112754,10.54920304,10.10297924,3.455216717,7.197107652,9.306382179,6.895753567,9.571045478,5.110012918,6.894919747,7.137937498,9.179013133,11.88017943,3.155140892,8.032706979,8.453920097,7.178175494,10.17481918,11.1557178,3.800033815,3.031954674,6.639263171,5.659543881,5.493980806,9.342913777,6.620726029,2.164491688,7.153393655,9.523363961,2.946814825,4.00564518,8.06649117,9.2888846,7.271092412,10.39298787,7.646450567,8.969651871,6.52348421,8.326626223,5.23180909,7.348145117,9.736008359,5.631331517,6.090641752,5.974921034,10.24623407,6.900660584,6.601203865,6.980028938,4.240068256,6.46767381,7.210636653,6.043740547,6.861645578,8.470341413,6.920430236,8.324613933,7.274495652,8.609273096,5.151959014,6.285732055,7.492632969,5.976339667,6.418853811,10.53398137,7.817307618,5.889674358,6.677744297,7.919202551,8.690236199,7.981325704,8.201849011,6.977488169,5.833786883,6.758302618,9.900684759,4.532731977,8.943155633,6.732835798,7.713030077,4.174867996,7.836043481,7.135801153,5.890962186,7.388287344,6.307679671,7.09621635,6.935045597,7.046133903,5.821335935,5.082711316,6.779986756,6.499868529,6.12917421,11.20407084,6.902406824,7.993824835,7.794267512,12.1298561,9.702885149,0
6.670741916,9.098580452,11.19444998,3.238347567,10.04165478,6.02796513,8.231927575,9.390658024,9.768901834,9.253231114,9.758699841,6.517251703,7.982096472,12.56054408,8.462803944,7.825557236,8.08478916,10.61491606,6.56307367,9.395987181,8.002337297,8.461449366,7.591588037,11.198532,7.711825822,8.666962033,8.17875383,6.260643598,5.896237786,9.900601987,6.454565265,8.066666482,7.080652332,6.351094166,6.800431254,6.419917874,8.628067792,12.38242142,3.47464569,9.583981444,10.28872981,3.878204916,7.343962895,5.705049134,9.96878783,3.847435557,7.999322725,8.983767675,9.682764122,7.222369538,1.074568904,7.20777886,10.88575836,7.793704725,6.574689836,9.084526325,5.227270271,5.420920822,7.818659786,2.084337758,7.339662687,6.024021571,9.770613283,8.901481702,8.596456561,6.941024552,6.023940454,7.933661387,4.880360878,3.395673855,5.664314396,9.725802587,7.976692775,3.100030933,3.62889734,4.83685535,2.475212164,6.113082837,10.62363091,12.53599313,6.641062513,11.62695186,3.312922583,6.734284983,6.149810572,8.860193503,8.019614835,10.11000497,7.195888617,10.13654512,6.914239106,5.689114791,8.16952099,4.949888582,4.798609538,8.780621397,10.098779,4.774855234,9.190772468,9.524906702,9.971000193,10.02211332,11.90469681,6.82817033,11.19956449,7.278227852,8.271478242,7.425862202,10.87120985,10.47927939,3.216257166,6.984198719,8.637844046,7.694833082,9.955993709,6.307116018,8.39422481,6.292072031,9.691960647,12.43424173,2.868090832,8.220486032,10.21739359,6.947320528,10.51731792,11.06767756,1.845855971,5.244406153,7.20762517,6.486234772,2.129927425,10.15900912,7.842939977,2.392247018,6.561586231,10.15502981,4.093674534,4.013137501,8.800308493,8.96600843,9.212586127,11.45834218,7.146928232,9.347270677,5.747725766,7.997049816,7.049748968,6.982232244,9.486960994,5.674225168,5.623542729,7.311031965,10.96549807,2.801493837,5.874021003,6.850757954,6.675782759,6.362936509,6.302295349,6.232523155,5.899017533,8.263159289,7.657692018,7.961616673,7.545368498,9.136822398,5.727032513,7.683382501,7.231555119,7.167454279,5.699658533,9.386850367,8.494173701,5.646360441,7.005167048,7.998542003,9.333872954,7.711162051,8.403002485,4.557590822,6.610268551,2.880176079,10.06915967,4.212181965,9.064328187,5.769113673,8.775980536,5.263801338,8.13505331,7.371952153,5.555278806,6.202959395,6.652536386,6.339808471,6.529838748,4.814314955,3.503300747,6.350925126,6.261416248,6.897282487,5.763168044,10.14237952,7.52851962,7.41241967,8.446059689,13.741794,9.8785721,0
7.061518971,8.825102655,11.7446931,7.25685761,9.188269274,4.574233709,7.944276407,8.657257208,8.869468732,8.935481811,8.88080133,7.160512243,6.313263596,10.61680618,9.132466418,7.609859946,7.184961736,10.32151576,7.605235536,9.563704714,7.619202158,6.642908308,9.370610155,11.02346232,7.724881422,6.556500953,7.725292121,6.585458894,7.945716361,10.10932055,6.708380261,10.55281655,6.667766733,6.06331781,8.181920061,6.374807587,9.429840075,11.59128779,6.029248507,9.518436835,10.80059168,4.834663973,5.955208532,6.033140323,8.369928309,2.655181757,6.912180348,8.387608538,8.613524011,7.497024371,2.411879138,7.729738038,10.98178468,7.27335811,6.564762406,7.402406375,6.064402899,6.639357979,7.588172497,3.823568025,5.680636731,4.733777612,3.834023171,8.498185414,9.67664308,6.240014242,6.057920754,7.584950846,1.904844684,2.639190955,6.136445053,7.825574996,10.1507025,1.414871409,6.593750151,6.187285142,2.70838332,5.031471529,10.87006051,12.35400973,7.265803365,11.43667349,3.229839326,6.280543307,6.730326223,8.947722191,8.439152792,8.895620069,7.245423719,10.01558878,5.783885097,6.00188957,10.59371307,4.331639799,3.657321932,8.616849606,11.40876995,4.408230846,9.335518022,9.381117099,10.12748663,7.756260445,11.18996803,7.903326118,9.935671205,7.092068584,7.165577415,7.289794364,10.73074896,9.540354743,3.595806006,7.007916762,9.32339883,7.267955724,9.771506073,6.867873199,7.066969606,7.656178214,8.880577395,11.48019349,4.447958158,7.711900696,8.134827219,7.123417473,10.30979433,11.48485351,5.881741287,5.797051037,6.225439836,4.35845861,2.507260811,9.922150688,7.505583206,3.015236529,7.061894401,8.614153985,2.325905934,2.366742325,8.26598554,9.012442126,7.849480619,10.13700615,7.220616393,9.592312275,6.629141832,8.212347104,6.127123425,7.400087351,9.899771376,6.843630006,7.058771437,7.048969667,10.83556322,6.546134272,5.470032638,7.089782352,3.74856104,7.85017415,6.801994391,6.207364489,4.585106186,8.86802212,7.123869172,8.404967817,7.215863169,8.347166467,4.037981897,7.659211615,6.94235385,5.931839572,6.049290403,9.761675741,8.566524428,3.891343419,7.298367044,8.039930935,8.73889742,8.251554176,7.796524106,6.850399717,5.319549712,3.107919621,9.904897917,5.900851023,8.519252849,7.557378577,7.940160301,6.786451984,7.245250293,7.060165433,5.24610566,7.08724463,6.828189419,7.32099848,6.401117259,4.455376654,1.548490541,5.468434501,5.634751311,6.026074725,3.212525444,10.9089954,8.65625705,7.056792552,8.160231527,13.49353985,10.67258309,0
6.616071312,9.238646653,9.480288435,1.955575263,8.162281709,6.481500613,7.93001344,8.795022634,10.30308305,9.036739295,9.571624455,4.651040978,6.18183782,10.72628971,9.496717855,6.787694486,7.788562059,10.12322794,9.065062092,7.70888664,8.418475509,7.060547173,10.56413214,9.873994087,4.274429848,5.80899167,7.332041988,6.502545541,6.343179799,8.992744185,5.043808732,8.538021549,6.74274521,5.730069461,9.836395901,6.539603939,9.194703204,8.465721521,3.289170382,9.907150118,10.50060924,6.763889122,7.022587795,4.804591235,8.493737338,6.794120394,7.255749375,8.584461335,8.160357691,6.193833246,5.852926861,5.678094824,10.6620887,7.258482566,5.874876559,7.259653007,5.814287528,3.807250723,7.694177148,1.828129101,6.821959943,4.500986641,6.521086173,7.94521245,10.15988455,5.779909241,7.345672741,8.659458275,4.58746725,5.148370106,4.380305469,7.294053889,7.863736214,1.925766655,4.715088882,5.004564133,2.668546823,6.842760621,8.753601577,10.46099462,7.051899324,10.39745057,5.196564883,6.198155823,4.194417018,9.581133224,8.923704159,9.426687798,6.004780229,10.81327001,7.788480977,5.868316005,8.956978501,5.884117736,2.999616695,7.145318596,9.559821954,3.013747053,8.997018456,9.382617287,9.239163978,7.403783088,11.10404597,6.048031009,10.34960843,5.740493129,6.742550055,8.124475462,9.289301412,7.673140651,6.622414,7.379986208,9.539997634,6.81027592,11.66421682,7.236802529,6.854262967,6.45045538,7.685471609,10.48025016,5.204308569,7.823052571,7.960800627,6.04741222,9.969087444,9.323185457,4.288297582,5.097974452,6.534844123,5.629646773,3.324855835,10.36792647,7.59637495,3.278579664,6.954146788,6.968893163,4.236988779,2.810269155,8.721031916,9.276557953,7.888213431,10.22628152,6.826296354,8.413859507,6.811704865,8.186369066,6.649473605,8.048856765,9.088693093,6.937064184,2.461089529,6.309913129,9.805371578,7.757378209,6.896242735,7.09774241,5.334114374,6.794540346,7.232653987,6.089710347,4.553108426,7.590300812,8.645707994,8.130896433,7.325772557,9.127399421,4.727454558,5.117029951,6.803967749,8.763048563,4.647697126,7.617733959,9.324591613,5.966843345,6.058789052,7.743242249,7.412026749,8.356294635,7.699275577,7.405695762,5.866885183,4.250056509,9.227728486,5.977183451,9.790301337,6.015135718,7.659463218,5.634262211,7.171412882,7.392730349,5.243437768,8.226270021,6.250152362,7.760056209,6.998577444,5.183506287,7.597292757,5.241727467,3.505257625,6.463125079,3.153312204,9.544896283,9.488372885,7.598512566,7.732296407,12.96882959,8.170417426,0
5.067782227,7.808523579,11.16440398,5.735697374,8.001861669,5.703504112,6.352597119,8.165279067,8.462458445,8.685862339,9.130594976,7.407469124,7.855517326,10.52294531,9.474673318,7.010052161,6.887952357,10.38720936,7.748000208,8.894889259,7.131594528,5.212812264,7.160613053,10.4770132,7.079802093,8.037576125,6.894236602,6.17717714,7.79995347,9.838978379,7.41918433,9.020588554,7.42543422,6.524762829,7.207287405,6.610530409,9.867501826,11.24898971,5.772208054,7.933004061,10.39564382,4.665587153,6.193561937,5.698176476,7.66984828,2.003996379,7.639331619,8.49938008,8.241553351,5.334158954,4.363482895,7.207971004,11.53613771,8.124368692,7.692662692,7.35671845,4.136945597,4.276428134,8.333522767,6.091663332,6.286877222,6.668016641,6.739421933,7.840396548,9.214185898,5.899516337,8.057434133,7.694469359,3.183206347,5.395732277,6.580545322,8.671343519,9.393105548,6.128269785,4.412942835,5.262535235,2.536470637,2.530718609,12.27741034,13.33430698,8.784335278,11.26003694,5.847786299,4.310553509,1.80974979,9.184425197,8.13267463,7.72638115,6.858114644,10.86904004,6.764357028,7.35786772,9.739343047,6.921238063,5.349737342,7.08899833,9.972737341,1.624133093,7.953849671,10.42623084,10.23468486,8.369587608,12.50356272,6.511821699,10.49642713,7.711824007,7.963066703,9.17570261,9.100118352,7.120971366,5.287764261,7.087219225,8.26178301,6.360641295,9.564351685,3.445015134,8.245707396,7.701581757,8.13923463,11.15911401,4.312401628,7.556364737,8.122497182,6.021413317,10.32284989,10.39124513,2.720652292,5.383685212,6.980542048,6.917370124,3.914151376,11.16508961,7.598241223,5.023350319,7.991395389,7.658087396,5.378237003,4.759927759,7.318457659,8.24562409,7.37296857,10.12746043,7.496203966,9.736790848,6.656201923,6.284113483,6.879253286,7.260504136,9.132443663,7.333100417,7.032430673,7.158014241,10.31809138,5.972221538,7.121185362,7.271358167,6.810230353,6.227760077,6.019650777,3.764753547,6.76649878,6.681774164,8.937884887,2.659632008,2.662737176,8.779854812,6.058134839,4.084841732,7.934308035,6.346418975,4.821393197,8.097269929,7.896448225,6.434547857,7.206804071,8.72270317,10.19735381,9.224393185,7.872101852,8.022428982,7.39885318,4.28585853,10.21887842,5.727588302,8.973021502,7.619766192,5.982847257,5.04668478,8.54856212,6.515398025,6.662750372,8.167465195,7.218538539,7.32883426,7.138224259,2.738222493,4.784797164,6.757656987,4.774382994,4.230884131,2.618179177,10.27638679,7.105570841,8.419497294,7.681887419,13.85112236,8.486841543,0
7.085278949,8.765654499,9.646172801,3.642232533,6.385721742,7.033238204,7.809276881,9.462970864,9.943107335,8.753960522,8.778497344,6.911730939,6.861153162,10.89182764,9.066497629,7.885050667,7.465736107,8.845100499,6.76419362,8.244078127,7.801608475,8.373459133,6.888195134,9.826637978,6.835833787,8.310995346,6.703465716,3.988608869,6.805280974,9.906661256,7.028250503,10.06615524,6.954176169,7.236131606,7.257168704,7.21389189,7.366829922,10.89912162,2.636477501,9.302138018,10.2038228,6.143121678,5.530646787,5.790783214,8.209847458,6.492379059,10.0157557,8.246560008,8.01518885,6.753166144,6.074583826,7.52263649,9.888478495,7.537267576,7.470963187,8.727890645,2.836154089,7.081132606,7.962539394,6.030567146,6.20792476,4.296339773,9.910640652,7.352250167,8.864112758,6.997734815,7.491992601,7.732770479,1.449856241,4.978198149,5.612790417,9.369947134,8.981497432,6.482632985,5.424297813,3.3086646,4.921213775,5.322375551,8.757664245,11.27147506,5.389023494,11.75569531,6.005978194,7.198047114,5.329555144,7.571946767,5.40598299,8.915193994,5.918782937,8.573151024,6.448146055,7.156704799,8.08628904,7.447321097,6.229667158,7.035791826,9.235642851,1.394779263,6.082025925,9.22881006,9.8795365,7.341105779,12.0291989,4.335911725,10.00075885,7.694998159,7.94457982,6.540057921,9.918620656,7.22967109,2.123515798,6.883187784,8.744466284,6.680932189,11.11134425,6.715478214,8.473290885,7.605277369,8.318282759,11.6222489,5.81840395,8.479759709,8.510102387,6.26161331,9.842733897,9.605061377,5.035626184,6.588237786,6.444659623,3.55839867,4.135081783,9.546280429,8.869806868,6.787009368,5.462195033,7.365960723,3.624264467,2.563313481,8.624206247,8.978174766,8.674456484,9.782644839,5.736872646,10.02638304,6.996591581,8.961148307,7.160499095,5.8516847,9.632078076,5.176762619,6.267083162,5.454103069,10.40017116,7.081551731,6.762949357,6.70763224,6.837835202,7.98132971,7.199291543,5.990005431,1.747608154,6.997016487,7.632437207,7.88818956,3.934548292,8.668882772,6.918067433,5.906321416,7.499495002,7.608201018,4.564926115,9.640936772,8.067728616,4.111781591,7.314668548,6.509486702,9.540321698,8.793245365,8.739986381,5.434914564,5.602925398,2.646509002,9.887650435,3.852446707,9.848312907,7.016608818,8.100695117,6.445840028,8.128604989,3.614607773,4.099619846,7.488103689,7.341392761,6.602942277,7.075181387,6.906122796,5.722807067,5.675283567,2.531689444,6.535944338,3.67139458,8.584275283,7.867306467,7.926340965,7.473566865,12.68099726,8.204672034,0
7.495279852,9.274898495,9.668538724,6.885768574,7.672000468,6.456313134,8.349879112,10.6200704,9.461635807,8.424899297,10.66486529,6.868906191,7.169743197,10.78686269,9.933020664,6.208037279,8.430892887,10.23984114,7.638160695,7.297817487,7.752063542,9.331457585,9.146776298,8.310717156,7.42780183,9.378301658,7.247327036,7.900999989,8.620981713,9.565835825,5.136543014,9.417952934,6.643123825,5.862978889,6.265850733,5.84830222,9.319014159,7.190025493,6.50469622,7.906962877,10.4708879,5.836110324,5.803210787,5.068537871,8.385361294,5.695328085,7.289469904,8.532956328,8.910871179,7.187256691,6.280602289,6.899010209,7.551328733,7.722802507,6.701631412,8.020735632,2.987383708,3.919983989,8.234386842,4.664487791,6.218052961,5.947378383,8.211107654,7.92209469,5.476359928,4.509464163,7.680071039,8.989625216,2.639144953,2.828691368,6.920913538,8.565649402,7.358113289,5.293124881,4.91106013,3.673674289,3.220660081,5.662219439,9.106747686,10.07718624,7.27275467,12.46484672,2.766952867,7.145751026,5.201854987,7.680434409,6.349783097,8.574350978,5.021477437,8.038541819,5.89558722,5.018823378,8.711817671,6.43251524,6.043695878,8.175311952,9.323610558,5.493224356,7.702752649,10.06652709,8.534196521,8.6356669,10.59700496,8.371383656,10.11075791,6.174199624,7.655836958,9.457616428,9.597458688,9.142129208,4.572749317,7.514269769,9.210632841,8.059765276,10.68301469,5.371669814,8.000393184,6.63287308,8.325435535,9.823814711,4.279617918,7.870799611,8.235689549,6.764975254,9.547547566,7.761909679,3.869750276,6.405557978,7.105719479,5.151880361,4.952159525,7.13588901,8.009258832,2.11754665,6.523338817,8.80003694,4.117470884,2.259967791,8.349209936,9.378221598,9.20813381,10.34377491,7.593766943,10.97851783,5.018120154,7.277401268,7.043575054,7.112375641,9.371545815,7.476734607,6.244761642,6.90731126,8.269543653,7.177878067,7.286021964,6.616189215,4.5843205,7.862371241,7.270408871,4.776113157,6.751571152,7.655733723,8.520320862,7.882627178,7.402039331,8.391439236,6.648797497,6.78679822,8.454941427,9.265157148,2.76230437,8.259513287,9.030947592,6.40796156,3.937354378,8.018544025,8.27754793,8.453014065,7.552295471,7.352191373,4.670081515,3.99760341,9.834569611,4.921221909,9.374152781,7.439590293,6.854607276,5.870690976,9.088601068,7.285239065,1.757131786,8.014971061,6.264085973,7.608233698,6.956887864,2.914701086,4.338962005,4.560487038,5.44963105,5.545368066,1.577310033,9.908911887,6.591844136,9.173115374,7.362305748,13.15501178,9.984910896,0
