"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
6.869891,8.189001,8.978183,8.145374,6.059666,8.447391,5.787054,9.644819,8.605891,10.17193,9.406786,6.838344,9.190957,9.4737,8.745064,8.22517,8.365602,9.833883,8.98238,9.109021,9.369405,10.51281,8.930873,8.304755,9.950517,7.436182,8.023556,9.907319,7.33495,9.849264,8.774233,8.530273,7.82783,8.150233,7.816724,5.936624,7.451709,9.025105,8.044754,7.84726,7.70252,8.329259,4.512755,4.382884,7.329666,7.69735,9.49447,6.007814,8.738734,8.621135,6.31807,5.758877,9.593852,7.28221,7.207593,8.673,6.739102,7.586688,6.600558,4.89385,8.51692,6.860215,2.913502,9.718922,8.342144,3.858805,5.935503,7.55906,3.456558,3.408454,4.623893,7.988418,8.721178,6.142323,2.644621,7.546178,1.961613,6.251768,7.176701,7.558282,6.238434,7.587408,8.184892,8.342215,9.536681,7.240065,7.89584,6.102638,6.395755,8.524437,7.203688,8.314162,8.494958,6.690632,5.79822,7.49308,8.917545,3.527503,8.741172,9.235328,9.861703,10.36512,9.143205,7.29675,9.502312,7.922716,7.326296,10.47359,8.354268,10.57328,6.789487,8.1601,8.077673,7.931733,10.50409,7.103799,7.197878,7.844766,10.55689,9.836325,7.344223,7.023108,7.2132,7.492177,9.8265,8.712947,7.080547,5.183176,7.013111,5.93318,4.646323,7.120423,6.145302,2.461458,6.312027,10.35697,7.94081,2.858183,9.124114,8.991424,6.617525,9.01102,7.429233,6.885085,5.713767,6.624055,6.244488,5.465239,9.09217,6.314612,4.886615,5.06714,7.918546,7.857922,6.258422,6.544102,4.81954,4.648958,6.176346,6.780008,9.299029,10.03717,6.250121,7.578391,7.911466,7.554822,9.6801,6.289908,5.778822,7.9655,5.820311,6.740388,6.830567,4.879399,8.604933,8.904188,8.175646,8.030359,6.658889,7.48271,6.310237,8.705633,8.305525,6.783425,6.959405,7.153623,6.775774,6.243831,6.666216,6.814085,6.668339,6.422266,5.846385,6.743274,6.304706,3.854327,1.496295,8.273194,6.190961,6.620923,6.299625,7.867304,5.285014,6.926439,6.775365,8.787682,7.280214,0
6.533889,7.529867,9.451032,8.143623,6.473385,8.475002,5.578314,9.442758,8.294633,10.05471,9.367076,6.65638,10.13465,10.22056,8.708001,8.897782,9.049485,9.771686,10.41729,9.051853,9.128453,10.30887,8.501483,7.940944,9.870232,7.260442,9.485781,10.09706,7.27564,9.91479,9.390516,8.565063,7.946477,9.468714,8.607324,4.75701,7.122484,9.114428,8.207796,8.020043,7.70726,7.61568,4.975433,4.448423,7.17647,7.946052,7.593411,5.952695,8.371803,8.450539,4.035862,6.04318,9.325167,7.142745,9.225143,8.65576,5.827398,4.762536,6.892248,3.643795,8.364174,7.296599,3.658417,9.12398,8.056034,4.992697,6.166856,6.820299,3.01066,4.058245,5.310686,7.560331,8.640178,6.59141,2.006945,7.785771,0.9036331,7.199403,8.569279,9.008011,8.020296,7.399735,8.754688,8.495067,10.04955,7.176881,8.114416,6.862718,7.014178,8.867486,7.714414,8.333838,8.088517,6.862791,5.394306,7.358987,10.64256,3.120442,8.511884,9.126952,9.950905,10.27746,8.258343,7.251211,9.922592,7.289456,7.849767,10.25802,7.968772,10.46262,7.366302,8.264438,8.142375,7.791326,10.19971,6.773689,6.136917,8.096748,10.42698,9.132493,7.556906,8.897344,8.622586,7.990521,9.972221,8.546614,7.033746,5.961939,7.594457,6.74207,5.861741,7.539762,5.946095,2.822002,6.704565,10.26449,7.991422,1.875618,9.228346,9.082033,7.354869,8.752032,7.6238,7.266054,5.25221,6.098148,5.867898,5.436245,8.558408,5.844788,5.147367,5.444279,7.544125,8.174336,6.976323,7.019863,4.973875,4.937524,6.349104,7.64693,9.0677,9.403121,6.86398,7.977584,7.931205,7.639095,9.330828,6.593648,5.614123,7.74317,6.054048,7.414833,7.091179,4.896186,8.453916,9.480664,8.514866,8.02025,7.158058,7.802967,6.60863,8.43463,7.850708,7.841392,8.253248,6.438885,7.020811,6.478976,6.538039,7.57555,6.247141,6.482481,5.581115,6.41868,6.323621,4.013319,2.174771,9.760557,5.733524,5.47187,6.243507,7.575484,4.953718,6.75915,6.831454,8.532075,7.431744,0
7.25295,8.14595,8.596673,6.910738,5.505081,8.70779,5.289311,9.453304,9.519792,9.675688,10.52974,6.388961,9.804274,10.03723,8.569784,9.16864,8.296743,10.22141,9.93964,8.147452,7.119655,10.89939,9.040574,6.46507,8.311824,7.656999,9.43406,9.813384,6.865836,10.04549,9.214577,6.993663,6.540836,7.820263,8.491722,5.908712,7.389726,8.342209,7.441204,7.317992,7.452293,8.174107,4.728426,4.183748,7.646938,7.881816,8.08115,6.332308,8.633642,7.886413,2.605441,5.572094,7.039594,7.206748,7.840325,7.810068,6.920522,7.768903,7.082156,4.016963,7.013463,6.988653,3.277936,7.959478,8.576967,4.153927,6.835388,7.275219,2.626769,5.443426,3.213539,8.439777,7.01835,6.25125,1.906159,5.752602,1.670288,7.479696,7.307207,7.496147,6.28829,7.42329,7.800977,9.092453,7.54736,5.109814,5.902839,6.430112,6.629513,7.708719,6.956923,7.315193,7.54634,7.393096,5.821062,7.11287,9.975227,1.507353,8.546925,8.95797,10.08401,10.49489,8.326946,5.246307,10.15464,8.235074,7.083186,10.80422,8.11387,10.57834,6.847257,7.881172,8.107778,6.46752,10.88416,6.523429,6.38002,7.575522,10.53464,9.52804,7.289265,7.747347,7.879404,8.562508,10.0399,6.432451,7.428773,5.05942,6.059715,6.358298,2.840444,6.967315,5.537592,2.568252,6.16224,10.50159,9.469117,3.60734,7.952606,9.00431,6.358791,9.57174,7.31766,6.657738,4.226794,5.624793,6.922586,4.617543,8.613235,6.719856,4.47294,5.024083,7.707567,8.051786,5.977271,6.652398,6.18112,5.469159,6.02398,4.717813,7.047621,8.590998,5.491106,7.195391,8.330211,8.041735,6.641908,6.699835,6.343872,8.733302,6.205636,6.818666,6.386874,5.089479,8.85539,8.718953,6.759474,8.25331,7.14288,7.626386,6.065417,9.120503,8.206485,7.114377,7.596716,6.3276,7.218388,6.877648,8.541347,6.46554,6.549597,6.394174,6.090912,6.687772,6.94554,2.323639,3.594288,8.695692,6.361932,7.20815,6.613117,7.574054,5.076342,6.284042,6.961806,6.937633,6.259693,0
7.609585,7.875323,9.52628,8.738316,4.067877,9.354093,5.816636,10.2341,8.56081,10.63437,10.47281,6.896688,9.367848,9.846782,9.221042,9.133853,10.20872,10.79231,9.328125,7.806888,9.736046,11.04387,9.535571,7.43204,9.867023,8.022098,8.375982,10.4108,7.388868,10.85151,9.141354,9.06864,8.489054,8.048981,8.369383,5.760078,7.659633,9.826167,9.236374,7.718907,7.89221,8.5632,4.267849,3.925201,7.358841,8.085644,9.001832,6.290487,9.580542,8.56254,5.756947,6.418889,9.532083,6.461686,7.183371,8.103033,6.75462,7.193626,6.829843,4.65187,8.579197,6.682285,3.909207,10.0503,8.883497,0.1634967,6.199668,7.03693,2.312614,4.693684,4.718423,8.111305,8.20383,6.718049,2.769878,7.740627,1.406267,6.230439,7.810109,8.134045,7.256521,7.579007,8.597731,8.546705,9.689913,6.634622,7.459039,6.749053,6.471797,10.72691,9.7041,6.581826,7.153148,7.987338,5.663782,6.835731,10.26826,3.729556,8.488647,9.189583,10.85904,10.79419,8.171912,7.221433,10.54504,7.970416,7.379158,10.85856,8.378602,10.9101,6.714256,7.772174,8.53574,7.978494,10.9964,6.578114,6.134993,8.547033,10.93369,9.191219,7.401808,6.737909,7.510453,7.662918,10.8553,7.941067,7.421701,6.625632,7.237606,6.305941,5.535792,9.85724,5.837746,2.650094,6.030202,10.73319,9.278799,1.517036,9.348253,9.81027,7.310797,9.710573,7.678173,8.533358,4.634195,5.810268,7.000247,4.770774,8.513827,7.151706,4.264151,5.016935,7.861882,7.821903,6.078641,8.07527,5.784795,4.482221,6.341597,6.745988,9.299903,10.31656,5.168948,7.937188,8.999793,8.394,9.716443,6.274106,6.016338,8.594919,6.690365,6.429926,6.017508,5.465937,9.20526,9.61752,8.260926,8.458645,6.602955,8.000131,6.659586,9.012931,7.581974,6.869438,7.833248,6.972172,6.763502,6.315602,6.916706,5.905759,6.22497,8.302008,5.593473,7.681545,6.3789,3.466628,1.162803,8.23678,6.169872,5.730526,4.759266,7.546892,5.126829,6.967014,6.887806,8.138461,6.560157,0
7.032886,8.100489,9.142739,7.602551,5.835687,8.882432,5.681472,9.244987,9.770405,9.617165,9.985298,6.957553,9.18974,9.678156,8.877985,9.702383,8.147299,9.8721,9.1427,8.365492,7.281284,10.19576,8.896155,7.559314,9.64199,7.861246,8.781423,10.01362,7.763059,9.929954,9.378162,7.605548,7.235639,8.93191,7.216091,5.627052,6.710545,8.905968,8.078963,7.528948,7.246595,8.170404,3.427555,4.046936,6.974683,7.265478,9.735772,6.243454,8.632015,8.77866,3.715619,5.776577,8.091412,6.4327,7.321406,8.095339,5.957168,7.761285,7.583678,2.671019,6.763223,7.503836,2.49843,8.637928,8.028446,3.795039,5.338073,7.378334,-0.04637922,5.780106,3.814694,8.583111,7.955713,5.613695,1.44232,6.704288,3.148426,6.64439,7.130128,7.398089,6.538651,7.354472,8.209168,8.748144,9.809928,6.419693,7.455768,6.178368,6.412113,9.724393,9.069532,6.121682,8.154367,7.669297,5.269217,6.887216,10.1334,1.892655,9.80626,8.77517,9.940883,10.04808,9.543252,6.324472,9.473483,6.847746,7.75089,10.08316,7.659988,10.21904,7.43591,8.032141,8.604938,7.073754,10.06307,8.180036,7.97132,8.956135,10.1266,9.935995,7.277598,6.93662,7.559251,8.249772,9.953497,7.916553,7.001778,5.899074,7.527663,6.437335,5.584391,9.195424,5.466206,1.623889,5.753342,10.02059,9.098875,3.044325,8.549758,9.06921,6.523685,9.384863,7.781839,7.162694,4.960472,6.070229,6.913666,4.975981,8.387826,7.307768,5.026737,4.897138,7.278283,8.319626,6.887693,5.843063,5.634273,4.761161,6.091152,5.32495,7.776925,8.854238,5.942341,8.184446,8.39753,7.349486,9.373288,6.810899,6.928167,8.259884,6.383022,7.52851,6.981987,6.285776,8.796643,9.021137,8.211541,7.966536,7.016724,7.280182,6.662327,8.770762,8.026623,6.60964,7.884628,7.027757,7.103673,6.555011,8.44083,6.234689,5.246988,6.596166,5.689617,6.733405,6.691008,1.552176,1.995624,8.387426,6.999762,6.901243,6.437017,8.747375,5.069336,6.393824,6.879476,7.854877,6.280626,0
7.115183,7.719253,9.09887,7.714674,6.110767,8.501562,5.652771,9.35223,7.814887,10.01322,9.205796,6.518803,8.839494,9.26863,8.650714,8.655695,8.95152,9.81191,9.446498,8.41229,9.324858,10.56923,9.074872,7.901788,9.82592,7.186439,8.538859,10.039,7.36638,9.693867,9.476138,7.866394,7.367028,8.042747,8.175379,6.091349,7.196161,9.11539,8.195445,7.836996,7.522684,7.891692,4.568347,4.331532,7.11659,7.472718,7.967765,5.976062,8.547356,7.95372,4.568045,6.18894,9.351231,7.219938,7.707419,8.537785,6.519317,6.516086,6.714955,4.600392,8.96645,6.894474,3.213764,9.924251,7.898172,4.539741,6.648084,7.114852,2.831927,5.167695,4.715218,7.629539,8.092016,6.158076,4.4861,6.403875,3.671934,7.351398,7.962597,8.270107,7.2797,7.094564,8.189088,8.417212,10.23402,6.972452,7.61146,6.845034,6.598121,8.982835,7.681313,6.989285,8.7717,6.815223,4.8713,7.250368,10.3772,1.502348,8.808035,8.73572,9.719746,10.12763,7.975794,7.892777,9.65577,6.508591,7.09555,10.43185,8.293904,10.33974,6.299794,7.99261,8.569138,7.525028,10.42419,7.2661,6.221383,7.938792,10.19299,8.944743,7.569724,7.132635,7.270072,8.58956,9.740109,8.473497,6.94642,5.458445,7.925204,5.887947,4.593696,7.653653,5.887148,2.295975,6.450926,10.09045,7.84881,2.891024,8.375464,9.444835,6.875239,9.05916,7.46881,6.851658,5.049369,6.231286,6.225064,5.395929,8.760783,6.50882,3.978249,5.316576,7.448132,8.10527,6.556918,6.835918,4.336318,5.398963,6.014594,6.476401,8.912493,10.0505,6.134143,7.436163,7.985202,7.610641,9.532329,6.488953,5.537424,7.873535,6.148313,7.027334,6.664846,4.88716,8.766187,9.094847,7.539286,8.215876,6.935331,7.5691,6.642528,8.275761,7.77486,7.966568,7.622548,6.577553,7.176885,6.580128,7.744668,7.153116,6.285026,6.600975,5.692615,6.82278,6.208306,3.455246,2.463847,8.454628,5.960759,6.054041,6.267378,7.297762,5.132015,7.02864,6.963355,8.17853,7.385209,0
6.509639,8.745278,9.512307,7.655301,4.871126,9.235542,5.553914,9.950998,7.854183,8.968953,9.627645,7.435922,8.830727,9.306346,7.513427,9.682965,8.430096,9.554158,8.900173,6.995862,8.247989,10.23316,8.863446,4.918854,7.639148,7.837956,8.47283,9.740328,9.011554,9.79192,7.396817,8.519295,7.243083,7.098872,7.693313,5.423511,6.315986,7.389077,6.538658,8.222917,8.16412,8.31232,3.659878,3.575986,6.229104,9.022884,8.321472,6.684911,8.795486,5.35511,3.885415,5.678453,6.344374,6.364173,7.893631,7.81061,7.784027,6.418057,7.113261,3.479004,9.148753,7.136981,1.002937,7.865348,8.598592,1.693807,6.320147,8.033945,2.821217,5.028904,3.661234,7.911587,7.028132,6.489527,7.996381,7.886667,0.3506997,7.586183,6.862922,7.141808,5.917172,7.526416,8.702615,9.076535,7.242098,6.922968,8.0096,6.239508,6.218131,9.80496,9.004724,4.740482,7.173426,8.008022,5.122473,5.85015,9.415878,3.48892,8.72114,9.228776,9.843665,8.983669,8.898953,4.563601,9.630443,4.1383,6.818466,10.12303,8.038192,9.087868,6.530128,7.5806,8.390143,6.82388,10.07439,6.858353,6.86604,7.61959,9.086664,9.785911,7.25771,7.512382,6.943872,8.672494,9.849372,5.265827,7.689758,5.197553,6.865213,5.7279,3.691236,8.887496,5.587582,2.487121,5.662324,8.958266,8.467048,1.291572,6.760829,9.712532,8.299278,9.727117,8.220421,6.673732,4.697702,5.276828,7.052516,5.471189,8.101667,7.326362,3.447342,4.712814,7.583974,7.80106,5.10679,5.360808,5.924562,6.148667,6.804583,4.685235,7.183066,8.17856,5.029512,8.091116,8.770022,8.668725,6.777263,6.220932,5.278204,8.254245,6.705223,7.128047,6.875392,3.863949,8.856524,9.316976,7.555467,7.732223,6.350208,8.503881,5.538953,7.624485,7.90301,5.949096,7.723172,6.085514,6.693041,5.918029,7.788808,5.44248,5.11563,6.273508,5.151126,6.953025,6.836479,0.5467546,1.196608,7.903188,6.522288,3.054448,6.719843,8.115768,5.042571,7.041515,7.417836,7.631441,5.884396,0
7.591563,7.754958,8.707625,6.55226,6.206063,8.775737,5.398798,9.736452,7.52226,9.525904,9.996464,6.33758,8.960925,9.304826,8.476802,7.489305,7.72236,9.804563,9.115226,8.289956,7.850748,10.40374,8.326918,6.937776,8.254762,7.994954,8.903286,9.525235,7.792194,9.718727,9.034118,7.010608,6.096574,9.209767,7.929606,4.945925,7.489474,8.034593,7.075212,7.488325,6.256893,9.077956,5.040232,4.359955,6.88089,8.24684,9.141522,6.872966,8.280502,6.331644,3.740363,5.311046,7.927862,7.096848,8.06989,6.818512,6.072979,6.754472,6.598259,3.301316,7.62474,6.708859,2.120953,8.316078,8.536833,4.050299,6.30905,6.99983,0.5451069,3.745104,4.394646,7.921283,7.31609,5.933818,3.574808,6.87158,3.451638,6.844945,8.501944,8.635947,7.218912,7.748061,7.95746,8.429344,8.376477,5.685128,6.369814,5.832885,6.39674,8.53824,7.464586,7.594481,7.706633,6.249063,6.850083,7.021461,8.61142,1.523525,8.729347,8.706109,9.733105,10.01169,8.422844,6.139519,9.42488,7.030983,7.150798,10.32162,8.199302,10.09784,6.473469,8.451908,8.359438,8.298254,10.33607,6.875355,6.523897,6.85031,10.10484,8.514908,7.044371,7.500825,6.576013,7.658902,9.726298,7.424068,7.541341,5.110715,6.244491,5.67561,3.888933,7.426643,6.193868,2.730077,6.521052,9.95516,8.818962,2.044243,7.543937,10.03113,6.471709,9.283828,7.01976,6.416592,4.984023,6.496399,7.284647,4.669673,8.351622,6.900079,4.571138,5.384313,7.973548,7.863444,5.397517,7.627176,6.183868,6.122842,6.301593,5.570723,7.589615,8.775316,7.078359,7.87833,8.2612,8.022348,8.234119,6.759715,6.507062,8.347697,6.717181,6.21881,6.926677,4.121371,9.080089,8.53449,7.494599,8.041895,6.739194,8.132263,5.664129,9.088033,8.408314,6.532723,7.598529,7.164944,6.925461,6.630026,6.518987,7.394422,6.713525,6.862918,6.743827,6.771792,6.527998,2.677477,2.181834,7.712864,6.859316,3.265529,5.853132,8.058706,4.988913,7.173487,6.600966,7.858148,6.997695,0
7.46688,7.890074,9.244667,7.380605,5.939262,8.69758,5.787098,9.877818,8.583779,9.632758,9.326225,6.570713,8.772244,9.184358,8.76527,8.728285,9.018186,10.03282,9.109375,9.120925,8.744717,10.37554,9.510655,7.621709,9.246681,7.637266,8.169044,9.722201,7.805981,9.931365,9.461186,7.645072,6.991501,8.5197,8.00062,4.872816,8.246118,8.983482,8.175193,7.963383,7.279284,7.100089,4.520708,4.264508,7.706617,7.744522,7.756047,6.354232,8.631886,8.89393,4.340658,5.454857,8.72824,6.794887,7.235739,9.122369,5.787133,7.247263,7.556825,0.8845718,7.910755,6.963349,3.655502,8.665487,7.63078,3.499517,6.146256,7.14768,2.977873,4.331263,4.448416,7.534881,8.234434,6.070974,3.052184,7.097312,2.036076,6.915301,8.28626,8.39578,7.443666,7.49185,8.28106,8.425467,9.079512,6.589185,7.48328,6.73317,6.667885,9.70946,8.735597,7.530012,8.49404,6.707283,6.760422,7.40894,9.60586,3.158315,8.51553,8.984353,9.90279,9.987503,9.143015,7.079207,9.569046,8.247228,7.305262,10.23358,7.64534,10.17866,6.911693,8.320162,8.651108,7.707724,10.24881,6.590572,7.039441,7.915175,10.09912,9.040922,6.904272,7.077487,6.84805,7.158396,9.893745,7.8922,7.137299,5.187994,7.73911,5.810436,5.105212,8.696707,5.899733,2.744036,6.59362,9.930976,7.81468,1.481646,8.901956,9.258445,7.028318,9.057235,7.37668,6.596294,4.931346,6.202925,7.003195,5.65563,9.188467,6.180042,4.412018,4.843202,7.567275,8.253803,5.880771,7.466504,5.093467,4.687039,6.348683,7.25529,7.919755,9.21071,5.892584,7.624861,8.14439,7.749667,8.894393,6.67847,6.001862,8.491978,6.525912,7.272536,6.934717,4.316199,8.614687,9.150803,8.297484,8.197501,6.770754,7.856055,6.190524,8.448422,8.402223,7.765572,7.687439,6.882134,6.55969,6.272538,6.97341,8.350942,6.461161,7.074955,6.286224,6.634345,6.373441,3.479858,1.7697,8.239878,6.158966,5.572925,6.34348,7.476563,4.808946,6.906833,7.04664,8.891056,7.205888,0
7.428648,7.863392,8.998428,7.82423,6.079007,8.357956,5.570678,9.525327,8.379615,10.05464,9.089715,6.490705,8.607461,9.216945,8.648512,8.521512,9.669779,9.863756,9.319212,8.842602,9.352358,10.25999,9.136362,7.804874,9.631275,7.357851,8.046182,10.10588,7.854073,9.778275,8.760733,8.085912,7.445633,9.11139,8.01247,5.520733,6.648849,9.221112,8.348597,7.948667,7.352669,7.944727,4.437427,4.020423,7.649464,7.782657,8.154342,6.286546,8.43886,7.653377,4.998913,5.570817,9.41583,6.90097,7.45112,8.489578,6.320753,5.665028,6.871725,2.472877,8.194721,7.192699,3.980706,9.504539,8.483564,4.03693,5.773955,6.959511,3.084614,4.398348,5.473958,7.817179,8.115508,6.225304,3.159243,5.747228,0.1663177,6.597028,8.191404,8.56267,7.596607,7.345204,8.086116,8.278678,9.550491,7.362881,8.125736,6.765357,6.573682,8.88386,7.652989,6.726515,8.620151,6.570698,5.691652,7.297912,8.970374,2.640171,8.723153,8.97029,9.810024,10.083,8.480668,8.435614,9.230892,7.25593,7.023141,10.09888,7.324324,10.24531,6.542549,8.32798,8.495286,8.207955,10.12832,6.913511,6.478779,8.386971,10.23165,9.175023,7.388012,7.172783,7.391135,8.210973,9.796807,8.211009,6.892363,5.588372,8.081558,5.287371,4.630453,7.645951,5.7844,2.42021,5.745974,10.04578,7.561909,1.764041,9.012194,9.015997,7.203672,8.718951,7.470758,7.185243,4.667831,6.701879,6.548562,5.519773,8.738794,6.118052,4.253816,5.166905,7.263794,8.316715,6.308513,6.835542,4.729449,4.669771,6.332172,6.987251,9.026336,9.799929,5.526128,7.889631,7.836843,7.566554,9.595459,6.559866,5.222213,8.3704,6.234588,6.891573,6.915443,4.934547,8.637991,9.089763,7.916616,8.220715,6.804865,7.510584,6.79458,8.33531,8.354137,6.722562,7.742867,6.951088,6.47602,6.601707,6.876649,6.727686,6.613376,6.665115,5.923095,6.584971,6.35819,3.480928,2.694516,8.131243,5.755368,5.953032,5.830493,7.55477,5.226644,6.891804,7.177295,8.05689,7.7713,0
