"1553954_at","1554078_s_at","1555832_s_at","1555950_a_at","1560089_at","1560587_s_at","1563796_s_at","200006_at","200632_s_at","200665_s_at","200738_s_at","200827_at","200838_at","200839_s_at","200931_s_at","200983_x_at","201012_at","201022_s_at","201141_at","201170_s_at","201185_at","201217_x_at","201243_s_at","201261_x_at","201289_at","201323_at","201422_at","201426_s_at","201578_at","201590_x_at","201666_at","201925_s_at","201926_s_at","201939_at","201951_at","202022_at","202068_s_at","202237_at","202238_s_at","202419_at","202457_s_at","202478_at","202490_at","202707_at","202814_s_at","202839_s_at","202887_s_at","202904_s_at","202939_at","202949_s_at","203001_s_at","203072_at","203083_at","203147_s_at","203382_s_at","203476_at","203895_at","204179_at","204264_at","204338_s_at","204472_at","204544_at","204584_at","204620_s_at","204679_at","205386_s_at","205677_s_at","205963_s_at","206426_at","206686_at","207016_s_at","207543_s_at","207574_s_at","208089_s_at","208399_s_at","208490_x_at","208538_at","208885_at","208891_at","208892_s_at","208893_s_at","208918_s_at","208961_s_at","209043_at","209101_at","209184_s_at","209185_s_at","209193_at","209345_s_at","209386_at","209387_s_at","209457_at","209487_at","209545_s_at","209624_s_at","209711_at","209875_s_at","210016_at","210095_s_at","210275_s_at","210427_x_at","210495_x_at","210512_s_at","210517_s_at","210592_s_at","210652_s_at","210845_s_at","211073_x_at","211074_at","211719_x_at","211924_s_at","211928_at","211988_at","212013_at","212039_x_at","212143_s_at","212171_x_at","212463_at","212464_s_at","212501_at","212632_at","212884_x_at","213274_s_at","213293_s_at","213503_x_at","213905_x_at","214527_s_at","214581_x_at","214620_x_at","214866_at","215033_at","215034_s_at","215792_s_at","216143_at","216392_s_at","216442_x_at","217356_s_at","217434_at","217762_s_at","217773_s_at","217996_at","218213_s_at","218698_at","218856_at","218881_s_at","218902_at","219038_at","219171_s_at","219206_x_at","219539_at","220719_at","221306_at","221419_s_at","221479_s_at","221523_s_at","221563_at","221591_s_at","221648_s_at","221656_s_at","221667_s_at","221730_at","221731_x_at","221745_at","222421_at","222994_at","223003_at","223122_s_at","223163_s_at","223172_s_at","223193_x_at","223312_at","223454_at","223455_at","224314_s_at","224602_at","224606_at","224657_at","224777_s_at","224806_at","224890_s_at","224911_s_at","225010_at","225011_at","225337_at","225494_at","225670_at","225750_at","226041_at","226452_at","226594_at","226648_at","226727_at","226987_at","227143_s_at","227338_at","227735_s_at","227736_at","227961_at","229676_at","230630_at","231576_at","234983_at","241355_at","242648_at","35156_at","36711_at","58780_s_at","survival"
7.98129026,8.792799726,10.67004027,9.417826918,7.294526573,10.31016627,6.675182615,11.15612502,13.0103145,12.68003951,12.4552773,8.248809062,11.76120997,12.53329366,10.31052796,10.78593862,11.78481927,11.22075019,12.61485306,11.4682675,9.437585332,12.53787908,11.25219765,9.125852682,11.1874897,8.902506923,11.05265478,12.62566454,8.539160689,12.98959934,12.21539832,9.890790002,9.093003317,8.365324601,9.589563539,8.382106475,10.44056021,10.52389589,9.674090103,9.750120095,8.77384404,8.208250676,6.46945005,6.668964868,8.123729707,8.666527308,11.25165224,7.290996571,9.53792977,8.430130914,6.116397201,7.292248149,10.74073453,7.944705668,8.483816671,10.12913993,6.376085733,6.878705694,7.843752229,6.587677391,9.552974447,8.412209434,6.52236294,10.59491271,10.66563137,6.798566877,7.309935032,7.962224946,5.953766169,7.593136723,6.744438582,9.93220206,8.558579563,6.989016905,6.293219952,8.522950442,5.986270874,8.963443381,10.56459271,10.01361688,9.772103531,8.358545277,9.922047494,10.22109851,10.77731657,8.709901545,9.30113385,8.576196942,7.871778896,11.50614643,10.61362435,8.764134938,8.506247714,8.835274543,7.442869838,7.798495286,11.95051339,6.137676314,11.05509797,10.85695083,13.04749803,13.27332262,11.54832711,8.011914103,12.20096216,6.964832553,10.31656907,12.55159108,9.364395846,13.20703118,10.02947738,9.763398964,9.504929535,8.198101528,12.5650248,9.268614117,9.483054739,9.266848492,13.07067036,11.20583254,8.202178033,8.737289845,9.709305928,9.73487975,12.89466607,9.123735885,8.458314942,7.448371516,8.302947552,8.035944,7.633981,10.29164,7.730489,7.023715,8.156299,13.27132,11.13192,6.26766,10.01141,11.36062,9.705738,11.07144,8.912537,8.678886,7.077275,8.009444,8.6378,6.600124,9.345652,7.587257,6.13969,7.754976,8.221566,10.1404,7.540327,8.794794,7.344063,6.397308,7.531307,7.34928,10.25332,11.27191,8.167717,8.629164,9.885657,9.729736,10.65995,7.700031,7.37698,11.7972,7.466449,8.448017,7.904387,6.89835,10.49174,10.57807,9.382502,10.17974,8.306341,9.312,8.042011,9.240958,9.07531,8.933214,8.635029,8.1333,9.910046,7.415548,10.05511,8.274368,6.917979,7.830722,7.24276,8.183659,7.621007,6.534076,6.428136,10.40978,7.105951,7.413992,7.353595,7.98567,7.431607,7.426253,8.374278,10.01686,8.133058,0
8.412011137,9.681585269,9.325171555,9.676983839,7.096906156,11.56468379,7.03565808,11.88121828,13.73302351,11.42414461,12.02791117,8.903303625,11.90014744,13.17106476,10.48316691,11.83520442,11.53635765,11.8515319,11.75886654,8.920347377,9.048692311,13.38517466,11.27759447,8.441841797,9.557944795,9.136683444,11.1951797,12.05846431,8.695871522,13.58037332,11.67234961,9.130652491,9.135496528,8.249997593,10.36835809,8.167607218,7.584887772,9.283021788,8.740394745,9.336847913,9.57645456,8.193353068,6.348815599,6.637905236,8.325144909,8.753562176,10.70310681,6.999792705,9.830776277,7.571632141,6.080794927,7.155503868,9.023656107,8.302008989,8.71048168,8.809190729,7.158508708,7.284915134,7.970227984,6.388881092,8.348240388,8.733691677,6.325823137,8.685935198,7.824491791,6.283674577,8.191385004,8.930062607,5.935706577,7.576560368,6.8689514,9.675243548,8.666912456,6.970297958,6.208210014,8.170240858,5.948788911,8.731888384,9.495297884,8.816235811,9.562167332,9.139541907,9.112363833,10.90206032,9.102120483,7.66879763,8.140407398,7.646100758,7.984214361,11.31533077,10.64122875,8.412948329,8.370189077,7.902301513,7.386159543,7.840400047,12.41385825,6.243039607,10.12221412,10.64111849,13.63466541,12.54381216,9.895902943,7.746962042,12.44321503,7.975511353,8.021439163,13.35817205,8.202519305,11.95881242,8.240797316,9.562378927,9.459303888,8.857123852,13.36841158,8.83563578,9.204561974,9.722770646,11.65927931,11.05933249,7.870985698,8.424441539,9.973358877,9.537444148,13.50651136,8.528718994,8.995670375,8.139710255,7.323749679,7.239818,7.008557,10.80385,8.016568,6.993008,8.92855,11.94457,11.32219,6.228858,9.61114,11.06801,7.558816,11.89067,9.428946,9.929108,6.921927,8.421391,7.405953,6.364507,9.774869,7.910918,6.174509,7.524812,7.675864,10.26136,7.660882,7.616552,7.525349,6.767211,7.723572,8.011948,8.307487,9.314072,8.688884,10.08024,11.09231,9.553765,7.944308,8.165246,7.737999,12.62971,8.027102,8.657843,7.841562,7.338514,10.89158,9.802782,9.324594,10.92533,9.360048,10.07177,8.118917,10.58472,8.856045,10.93005,9.087156,8.582318,9.76187,8.306217,9.134365,8.691229,7.675573,8.20881,7.279662,10.86102,7.858343,7.51479,7.789426,10.81363,7.861391,7.797487,7.340144,9.042829,7.347634,7.749312,8.58631,8.348198,7.352358,0
7.998699738,9.280260206,10.65482108,9.45508412,7.283149599,10.98870498,6.993575127,11.77926728,13.32869243,12.94524642,13.27759951,8.614343966,11.76437542,12.42599433,10.76281901,10.53002764,10.78153381,12.87307036,12.87412767,10.04735789,10.00126521,12.83222394,10.81641633,10.37043616,11.96940783,8.949556707,11.41338291,12.91702795,9.028037892,12.95715333,11.74700099,9.383192485,8.957254932,8.913750616,8.819774951,8.921686591,8.310554119,11.63393564,10.94645454,9.312093831,9.182005527,8.9522288,6.29553227,6.359976856,8.794824292,8.70190696,11.38261538,7.54382914,9.873276077,9.230913258,6.338475942,7.095691084,11.34389581,8.162730599,9.903497651,9.772243819,6.972220997,7.867833318,7.889326411,6.376324134,9.107847689,8.648968865,6.712811754,11.54608296,9.814464223,6.261996424,7.904544478,8.581457573,5.921515899,8.044958865,6.730737527,11.54357378,9.271861994,7.069637203,5.913859364,8.02837719,5.868985086,9.710724484,10.19914811,9.568257537,9.474870343,8.700951657,9.873927912,10.45407443,11.12233121,8.289442984,9.093431235,7.637217503,7.676029866,10.69914685,10.02965322,8.169909448,8.335695738,8.14562748,7.416332712,7.763622884,13.38540415,6.166476245,13.1283453,10.95970187,12.99695937,13.75110247,11.99112136,8.174162944,12.17522066,8.605052086,9.22348725,12.85504223,9.165175545,13.59531174,9.093954627,9.676796731,10.00092239,10.14312273,12.8537301,11.83183117,10.16714466,9.051955301,13.59546302,11.54068564,8.194351146,9.693772578,9.195855885,10.48495945,12.86996522,10.41228707,9.143861001,8.097933232,8.892868421,7.744775,6.903221,9.529723,7.607487,6.544034,8.934686,13.77613,12.46919,6.283033,10.00866,12.35081,8.52608,11.59056,8.552124,9.484699,6.879497,7.845257,7.848812,6.454802,9.75693,8.340876,6.335554,6.962941,8.019905,10.58679,9.381581,7.785538,7.323945,6.869283,8.229002,7.38175,10.66651,12.04792,8.265457,9.635487,10.40516,9.140977,11.25959,8.138868,7.72969,12.58351,8.105565,8.467044,7.894611,8.146865,11.65202,10.62146,10.3163,10.54172,9.130735,9.622684,8.450932,10.40524,9.182454,9.211208,9.428389,8.276563,10.46044,7.60705,10.59702,7.822294,7.484394,8.032035,7.268866,8.998591,7.708326,6.307556,6.275275,10.01999,7.145166,8.230916,7.380663,10.11704,6.807125,7.599565,8.347475,8.851172,7.943045,0
8.083246704,8.992169966,10.67784059,9.273488761,7.402449214,10.7816799,6.863016805,11.36163799,11.71917071,13.13486117,12.6199676,8.048993131,12.38909936,12.91492498,10.46474046,11.06692944,11.02815423,11.77125197,11.82700751,10.43489579,10.46846893,12.79642216,11.9967154,9.836654004,12.00578626,8.415406016,11.63450187,12.60803641,8.19894738,12.84011619,12.55901212,9.643779704,8.762157372,9.026142662,10.39603515,8.502328033,9.793130211,11.23568014,10.42812893,9.811100686,9.886739636,9.370485449,6.384479645,6.607699369,8.00343084,9.027467256,11.93276636,7.66542246,9.57035912,8.657712963,5.960229472,6.897361549,11.33496601,8.783183177,9.180691758,10.40486396,7.848516815,6.686866915,7.584394979,6.553732278,9.235780571,8.829486621,6.429826351,11.64927148,9.8390355,6.70575139,7.65580081,8.257150704,5.98739259,7.190974619,6.607383658,10.29104393,9.186295256,6.837760326,5.990111299,7.954545268,6.068412957,9.181549292,10.86469317,10.39296214,10.00181686,8.432381528,9.983381862,10.76432034,11.30773724,8.41765126,9.185351154,7.778379771,7.708319036,11.58480421,10.98942438,8.053189611,8.798142681,8.436856761,7.018484751,8.129463083,12.8891783,6.258734139,12.40312789,11.54318334,12.92868535,13.59015367,10.63970263,8.006640943,12.80612023,6.405323911,9.397019938,12.77657332,9.387770842,13.57994667,9.296858801,9.035138702,10.40825521,9.518041934,12.65916235,11.06936333,8.575740927,9.285243137,13.54340925,10.84609171,8.10666974,9.096157592,9.523269421,10.29785665,12.7318091,9.821863638,8.537909209,9.325354942,8.892333612,7.708404,6.847004,10.40646,7.298128,6.954454,8.33338,13.61124,11.62921,6.305677,9.969642,11.83136,10.55398,11.29617,8.543886,10.50031,6.998234,8.607243,8.351784,6.624489,9.622506,7.730574,6.249857,7.193125,8.065159,10.3844,7.390071,8.120907,7.543449,6.413528,7.413553,7.713434,11.0692,12.29578,8.363144,9.000037,10.07949,9.664713,11.34054,7.696274,7.17808,11.51684,7.458837,8.603883,8.036151,6.591819,10.92077,10.57794,9.99647,9.80213,8.178819,10.09886,9.122187,9.14452,8.872377,8.725096,9.123337,8.551454,8.85272,7.715274,9.690254,7.590217,6.971703,7.717266,7.087525,8.796009,7.585655,6.144881,6.323312,10.32033,7.16906,7.394791,7.857257,9.015201,7.337095,8.050089,8.533768,9.501788,8.145661,0
7.980762487,9.375726869,9.628823156,9.182154086,7.297154887,10.46521929,7.20140938,11.59451217,12.72634343,12.32994087,12.822869,9.173114982,12.79208675,13.38461753,10.25381439,10.79869149,12.16371457,11.98783302,11.85768949,10.06261348,10.25121078,12.97028711,11.20776024,9.399480363,10.16425365,8.718909356,11.47374099,12.54133345,8.609812768,13.09332644,12.8976382,9.191999249,8.745345794,8.491474298,9.266513981,8.514307011,9.578038342,10.4612737,9.708382354,9.800491776,9.234968024,9.273904338,6.684051877,6.468659134,8.437076728,9.137405374,11.14680491,7.686742556,9.531353724,8.463450873,6.350514515,7.173554957,10.81874165,8.504739779,9.410650294,10.24549766,8.646078656,6.606657326,7.823158243,6.267794044,8.862695635,8.876439886,6.348367064,10.91980743,9.854842925,6.36024983,7.849702244,8.529176731,5.979118404,7.481215608,7.011218058,10.30668138,8.211182708,7.067536729,6.093088589,7.692287118,5.947289653,8.897271412,10.51024596,9.979561029,10.12737544,8.564688774,9.135603587,10.059993,9.905710382,8.239419644,9.127161989,7.631621158,7.863096247,10.35712851,9.727807384,7.381213802,9.055340175,8.378902492,7.046227764,7.701740286,13.35660257,6.246047439,13.52781409,11.1665698,13.1408248,13.40872266,11.27626879,8.850570357,12.48750407,7.181012204,8.935463206,12.94943969,9.190806808,13.35202846,8.917587701,9.491943979,9.580944537,8.577075835,12.93043116,12.39646602,9.418085024,9.385751617,13.26608896,10.462475,8.081870807,8.937614247,10.54127745,9.923882775,13.04560854,9.579484432,8.891156068,8.382766902,8.60198673,7.86,6.610901,9.402874,7.520972,6.925611,8.689754,13.38928,11.83417,6.399649,9.862234,11.80841,9.962671,11.22453,8.87187,9.604648,6.778143,8.142459,8.205737,6.848104,9.589631,7.956123,6.264803,7.264811,7.968877,10.28133,7.988533,7.380346,7.23836,6.932634,7.664316,7.795162,10.10495,11.57945,8.448502,9.82044,10.06079,9.820542,10.95208,8.049173,7.961261,11.03679,7.640511,8.408114,8.119751,7.209816,11.03517,9.521791,9.363825,10.33397,9.010341,10.69601,8.396579,9.675281,9.24185,9.750329,9.134565,8.545344,9.995891,7.45245,9.756513,7.991797,7.319539,8.250636,7.352406,8.519958,7.429322,6.727814,6.780333,11.27683,7.392071,7.856311,7.322306,9.1233,7.391171,7.681165,8.502646,9.23974,7.956633,0
7.870898359,9.335512521,9.826332262,10.14454632,7.117160152,11.44137173,7.004735764,10.99680826,13.33207487,12.34106796,12.8872079,8.95494811,13.27736438,13.54777674,10.82003886,11.51388434,11.21059545,12.15111004,13.74442367,10.92654184,8.878526299,13.5221313,12.18411929,9.510297618,10.40610665,8.352248992,10.36038639,11.42544534,8.720381403,13.41230057,12.41048914,9.871388482,9.761754133,8.978366363,9.931245269,8.325897709,8.350084638,10.06348576,9.338874239,9.505685703,10.26264033,9.912173166,6.234276939,6.639041069,7.911630664,8.004767811,12.61746057,7.269517356,9.881439186,9.917551783,6.015370935,7.295642696,10.02647294,8.186180156,8.125969786,10.48544728,7.126992998,7.764552551,7.772991041,6.354205708,9.254684275,8.373948463,6.072623795,10.68161037,9.998754878,6.25308798,7.740274449,8.549735517,5.907619016,7.233229529,6.618930053,11.35460301,8.390624947,6.814666008,6.09308773,8.553095044,5.989720421,8.239722317,10.18533407,9.831222943,9.733711652,9.343036496,9.338448866,11.29870013,9.514060365,7.539678804,8.323116805,7.658061004,8.960883152,10.83232651,10.19683685,8.468806387,9.037427989,8.070550516,7.24330592,7.688588295,12.12650378,6.255209187,12.67375761,10.57706328,13.40163725,13.1929604,11.37597209,8.244285247,12.67393961,7.233040488,8.584798191,13.48848892,9.230243126,13.12165109,8.53236419,10.52863042,9.172765522,8.773360939,13.49467481,11.28035982,9.648168305,9.531596375,12.97091343,11.52546063,7.582994594,8.343965227,10.94385694,9.693309931,13.26476481,9.861435234,8.509608515,9.791948828,8.40919481,7.617426,6.65786,9.843044,7.660608,6.969066,8.29667,13.19131,11.74306,6.33694,9.922919,11.6036,9.333878,11.14382,8.541359,11.20072,7.042966,7.913302,8.021447,6.444241,9.403801,7.767359,6.323622,7.297066,7.903295,10.66178,8.278856,8.266119,7.22947,6.583954,7.615501,9.026392,9.697673,11.22722,7.982195,9.365211,10.72263,9.222735,10.67726,7.67788,8.453755,11.44682,7.702391,8.677188,7.931975,7.256081,11.58196,9.879396,9.895812,10.38002,8.505118,9.718686,8.353581,10.0319,8.793612,9.095231,8.975096,8.207174,10.92337,7.736511,8.645352,8.727116,7.579516,7.735511,7.401455,8.790154,7.529957,8.232391,8.631685,11.19299,7.516648,7.42338,7.469131,9.692336,7.586258,8.148723,8.383281,9.87692,7.848742,0
7.243192198,9.879280484,9.612356701,8.653158039,7.40325948,10.07375555,7.176071235,11.09656465,12.1971321,11.94855557,11.64856497,7.644061206,12.51014522,13.12961607,10.19901054,10.56226253,12.09997183,12.51483385,13.46979082,9.34881773,9.581104863,12.92456695,9.037807982,10.19869623,11.8625499,8.899732917,10.39049733,12.33503177,7.768129524,12.73628047,12.06702271,9.013110754,8.404259459,8.234905413,8.18207071,9.194409196,6.971269248,9.616723915,8.771027823,9.873191531,9.683382978,9.242901796,6.429933259,6.604630236,8.981665626,8.719457982,9.875558009,8.329302638,9.448327034,8.57422811,5.940108618,7.232090299,9.221091496,8.152324897,8.479885323,10.44237961,5.823368708,6.570867791,8.01505965,6.802647528,9.477268965,8.711507126,6.353635654,10.45489609,8.667156173,6.472885665,8.032207513,9.04618037,5.945031264,7.273437479,6.653322772,9.873861835,7.885094134,7.771836762,11.85330174,8.828423307,5.855964567,8.446930787,10.63289769,10.07980115,9.917789859,8.39195917,9.168190282,10.71436214,11.78002508,10.58725567,11.59447321,8.456017063,8.059142094,8.798607326,8.343392614,8.055715439,7.882200605,8.425609821,6.817383517,7.282183964,12.95233688,6.186748032,9.884119874,11.18672422,12.76352496,12.916799,10.86987789,10.17791743,12.11327466,6.347205358,8.480691749,12.9292396,9.197997104,12.8735433,8.395440753,9.764613435,10.30484688,8.123371743,12.91068447,8.43568936,8.858137091,9.337027932,12.67011382,11.26338592,7.668651769,8.432300138,10.23796412,8.975213172,12.64288726,10.45170598,8.804820572,7.262839562,8.18755299,7.208729,6.28526,7.585113,7.789572,6.88842,8.599413,12.90823,10.5017,6.180831,10.20471,11.59705,8.925332,11.18403,9.095225,8.360502,6.956778,8.503065,7.026,6.787405,9.45243,8.091523,6.181215,7.383291,8.028596,10.8638,6.524494,6.867337,7.889059,6.108032,7.398976,6.827253,9.206911,11.10841,8.027899,8.95284,9.442017,9.482879,6.290378,8.31569,6.927193,10.62636,7.385569,7.610341,8.227871,7.188485,11.00528,9.578955,8.820074,10.16747,9.051324,9.646493,8.746271,9.767942,8.930989,8.643297,8.808971,9.023734,8.896312,8.161143,9.540331,7.646215,7.797077,7.688305,7.267294,8.262195,7.807602,6.416876,6.340877,11.06089,7.78257,7.154984,7.485951,8.421678,8.328064,8.358163,8.787555,9.762786,8.251879,0
7.859852643,10.20942226,10.48485943,9.5793294,7.306042705,10.49189939,6.9034191,11.38184796,10.96685931,12.03182889,12.11676813,8.155478543,12.59058778,12.99851874,10.61832788,10.8349905,10.78171251,11.812303,12.59934411,9.864706669,8.83282226,13.29605895,10.81939097,8.635499539,11.72109483,8.485767692,12.05612729,12.69952995,8.435543085,12.69998767,12.58141373,9.447442015,8.977100103,7.67818523,10.6266574,8.540188367,8.815029526,10.80240541,10.10912761,9.607177298,9.126271407,8.768192495,6.446185028,6.436980148,8.09873733,9.108168476,10.46501398,7.263459827,9.499528508,8.48728667,6.093290485,7.31045944,10.09984662,8.779726476,9.611761488,9.52392133,6.9936813,6.381678581,7.637113699,6.34597987,9.179586061,8.961116476,6.325750027,10.36374064,10.04678304,6.718814196,8.227555719,9.139269363,5.814768051,7.563921602,6.74726059,10.66096002,9.176522079,7.150910511,6.038232654,8.18115727,6.091396958,9.706413202,10.43915381,9.881566957,9.75785498,8.778096634,9.975838575,10.35704319,11.52986088,8.729503938,9.317117766,8.158708106,7.83883877,10.12924933,9.550973683,8.788302382,8.617741757,9.149256531,7.55297198,7.756184676,12.45416449,6.209647153,10.25876271,10.78710064,12.73690345,13.08982368,10.27799294,8.220623903,12.42396559,6.824533882,9.336679067,13.26559887,9.418738776,13.1348553,9.338939269,9.889029164,9.771871475,7.631994711,13.18157529,8.94967648,8.543443026,8.79118632,12.93185256,10.86775953,8.223664339,9.256187777,10.34950536,10.52957832,12.65354759,8.738390605,8.699537932,7.459931649,9.092627764,7.945996,6.529444,9.30063,7.389465,7.006186,8.840729,13.16016,10.93316,6.20961,9.363884,11.45643,8.571793,11.41693,8.708409,8.50578,6.990249,8.031228,7.415927,6.519448,9.980845,8.256589,6.195473,7.11737,7.982027,10.06294,7.908147,7.740522,7.153764,6.726551,7.672905,7.564287,9.443066,10.98479,8.745246,8.80925,10.01768,9.81619,8.458877,8.136542,7.583632,11.02021,7.804352,8.549792,8.270131,7.087259,10.93439,10.51196,9.24918,10.32219,9.063111,10.32077,8.158554,9.81468,9.073979,8.924458,9.494754,8.172367,9.119339,7.51657,9.815878,7.612422,7.29746,8.314733,7.257669,8.842799,7.628725,6.838796,7.012891,11.22846,7.843466,7.266988,7.568041,9.128355,7.112979,8.242251,8.548706,9.557589,7.783739,0
7.515564938,9.224780386,9.906688569,9.410690436,7.653529842,10.46694801,6.703875231,11.2068363,10.74948989,12.12249727,12.01987557,7.817294356,12.35422203,12.9267727,9.777189757,10.85817565,11.59672768,10.95180992,13.691089,10.2217226,8.764225362,13.00222282,11.26631996,8.787045455,11.13947308,8.174809756,11.58747602,12.17679769,8.761320669,12.05931752,11.56917105,9.589970263,8.984036553,8.010279121,8.898222968,7.7653465,8.839541566,9.889507866,9.089670313,9.822347511,10.2624732,9.103894492,6.34909795,6.426854657,8.441623101,8.985110921,9.946298305,7.49793319,8.812387064,7.640085026,6.134042615,6.875634813,9.992637379,8.748549888,9.666697592,8.907026988,6.498734962,6.411322309,7.616927778,6.769174491,9.351887412,9.101430621,6.31226832,10.43225291,10.33532215,6.502758312,8.082625619,8.403458605,5.955721896,7.064232355,6.643451637,9.475769154,8.444436984,7.370832058,6.047149215,9.324420636,5.978858447,8.937170139,9.801729739,9.122329207,9.006030361,8.42424357,9.373645111,9.460361157,11.15457754,9.289413874,10.1754854,7.992250113,7.801281409,10.84789544,10.30121674,8.17928125,8.872980588,8.711258459,7.570168603,7.775137049,13.12985307,6.244321208,13.01768153,11.59425229,12.15592743,12.72769492,11.1947114,7.562861814,12.4133951,6.66363603,8.959036035,12.99062609,9.374145836,12.65743957,8.960381433,9.733494383,9.469833692,8.205481369,12.98501353,11.62417378,9.205664127,9.302857638,12.44278824,11.10583692,7.932150537,9.423987434,10.1656835,11.63460323,12.01452713,8.8859582,8.533534342,7.889582561,8.095174174,7.506694,6.761702,9.930661,7.306493,6.657677,8.708038,12.69918,10.90782,6.244835,9.294495,12.07898,7.908834,11.11851,8.967744,9.068411,6.969003,8.0072,8.108374,6.751409,9.727222,8.125895,6.415745,7.147653,7.92906,10.04804,8.446069,7.454833,7.435636,6.797022,7.283858,8.264171,9.837455,10.93671,8.470467,10.06557,9.894798,9.488964,10.39283,7.960788,7.68079,11.40205,7.399156,8.199314,8.259513,7.451807,10.0996,9.960242,8.789946,10.33886,9.081803,9.232927,7.569852,9.756505,8.707989,10.39971,9.151753,7.920646,9.034449,7.591846,9.376857,8.014996,7.438898,7.820731,7.205309,8.880205,7.621561,6.53179,6.373316,11.2549,7.760494,6.7286,7.694644,8.365098,7.586851,8.3401,8.657712,9.729601,7.806031,0
7.766644567,8.882237223,10.78562932,9.912694268,7.459538695,10.70417261,6.911501911,11.39330158,12.82392981,12.42294464,12.56718495,8.629289173,12.15520557,12.9263577,10.21191283,10.68390305,12.88515823,11.83608703,13.04603199,10.39737472,9.367512756,12.86840756,11.82437055,9.400742713,10.70388984,8.851911855,11.10830791,12.08710585,8.350307707,13.45575804,11.82765054,9.71365742,9.380257426,8.960097221,9.316553207,9.507311934,10.06079599,10.60381674,9.897491032,9.98940285,9.355427473,8.723001805,6.324219798,6.622615326,8.095494788,9.126890729,10.3628756,7.506119785,9.506371496,8.943266083,6.321704586,7.187483203,10.55919002,8.245940267,8.591239641,10.22047349,6.675726581,6.697196705,7.554476975,6.24324897,8.429031642,8.752188527,6.319288772,10.87797098,9.884612438,6.277739669,7.795240268,8.146728322,5.949202963,7.42546828,6.939477206,10.16200535,9.019565514,6.859626394,6.227958971,8.132112864,5.974932582,8.580784413,10.00220922,9.434208403,9.862587362,8.549624341,10.26331706,9.867561305,10.16619841,8.703384946,9.364121592,8.038508306,7.972226132,12.03481278,11.46465288,8.285538233,8.18956251,8.396567983,7.273636753,7.982659355,13.46069681,6.216475931,13.22139907,11.23783308,13.43164579,12.88621858,10.55617244,8.001413275,12.64881755,7.357338211,8.972873913,12.77741175,8.146311279,12.76019687,8.636815229,9.307049863,9.478010185,8.694443717,12.81088691,11.60433157,8.917617494,8.962488309,12.63817384,11.02850952,7.829673395,8.566534781,10.45405426,9.558363751,13.3615249,9.741717593,8.730404014,8.525439872,7.999824336,7.6921,7.424023,11.50675,7.693097,6.688605,8.667328,12.83086,11.28402,6.233177,9.90439,11.40087,9.912193,11.23835,8.708296,10.2665,6.971366,8.157822,8.399047,6.656538,9.320842,8.070067,5.878075,7.447537,7.678833,10.36838,8.786069,8.022762,7.557308,6.517461,7.571622,8.528652,9.838635,11.49924,8.534137,9.914366,10.21421,9.747979,11.04548,8.136841,7.436682,11.87574,7.84299,8.382975,7.81184,7.221534,10.7405,10.81813,9.225464,10.15772,8.883903,10.11205,7.985589,9.682047,9.101846,9.596132,9.435761,8.290365,9.986165,7.155723,9.399758,7.922677,7.229303,8.219172,7.254801,8.478443,7.415807,6.810072,6.793158,11.02158,7.115308,7.613826,7.223483,9.424715,7.831452,7.589554,8.45977,9.829721,7.648587,0
